PERSONNAGES de la Comedie.	PERSONNAGES de la Comédie.
MOCLES.	MOCLES.
Peut eſtre, Madame, qu’on ne goûtera pas long-temps la joye du mépris que l’on fait de nous.	Peut être, Madame, qu'on ne goûtera pas longtemps la joie du mépris que l'on fait de nous.
RISTTONE.	RISTONE.
Je pardonne toutes ces menaces, aux chagrins d’un amour qui ſe croit oſſenſé, & nous n’en verrons pas avec moins de tranquilité la Feſte des jeux Pythiens.	Je pardonne toutes ces menaces, aux chagrins d'un amour qui se croit ossensé, et nous n'en verrons pas avec moins de tranquillité la Fête des jeux Pysthiens.
Allons y de ce pas, & couronnons par ce pompeux ſpedacle, cette merveil.	Allons y de ce pas, et couronnons par ce pompeux spédacle, cette merveil.
leuſe journée.	leuze journée.
SIXIE'ME INTERMEDE,	SIXIE'ME INTERMÈDE,
qui eſt la ſolemnité des jeux Pythiens.	qui est la solennité des jeux Pythiens.
E Theatre eſt une grande Salle en maniere Dd’Amphitheatre, ouvert d’une grande arcade, dans le fond, au deſſus de laquelle eſt une Tribune fermée d’un rideau;	 Theatre est une grande Salle en manière Déd'Amphithéâtre, ouvert d'une grande arcade, dans le fond, au dessus de laquelle est une Tribune fermée d'un rideau;
& dans l’éloignement un Autel pour le Sacrifice.	et dans l'éloignement un Autel pour le Sacrifice.
Six hommes habillez, comme s’ils eſtoient preſques nuds, portant chacun une hâche ſur l’epaule, comme Miniſtres du Sacrifice, entrent par le portique, au ſon des Violons, & ſont ſuivis de deux Sacrificateurs Muſiciens, d’une Preſtreſſe Muſicienne, & leur ſuite.	Six hommes habillez, comme s'ils étaient presques nus, portant chacun une hâche sur l’epaule, comme Ministres du Sacrifice, entrent par le portique, au son des Violons, et sont suivis de deux Sacrificateurs Musiciens, d'une Prêtresse Musicienne, et leur suite.
LA	LA
LA PRESTRESSE.	LA PRÊTRESSE.
n Hantez, peuples, chantez en mille & mille lieux Du Dieu que neus ſervons les brillantes merveilles, Parcourez la Terre & les Cieux.	n' Hantez, peuples, chantez en mille et mille lieux Du Dieu que nus servons les brillantes merveilles, Parcourez la Terre et les Cieux.
Vous ne ſçauriez chanter rien de plus precieux, Rien de plus doux pour les oreilles.	Vous ne sauriez chanter rien de plus précieux, Rien de plus doux pour les oreilles.
SGRECQUE.	SGRÊQUE.
A ce Dieu plein de force, à ce Dieu plein d’appas, Il n’eſt rien qui reſiſte.	À ce Dieu plein de force, à ce Dieu plein d'appas, Il n'est rien qui résiste.
AUTRE GEECQUE, Il n’eſt rien icy bas Qui par ſes bien-faits ne ſubſiſte.	AUTRE GECQUE, Il n'est rien ici bas Qui par ses bienfaits ne subsiste.
AUTRE GRECQUE.	AUTRE GRECQUE.
Toute la Terre eſt triſte Quand on ne le voit pas.	Toute la Terre est triste Quand on ne le voit pas.
LE CHOEUR.	LE CHOEUR.
Pouſſons à ſa Memoire Des concerts ſi touchants, Que du haut de ſa gloire Il ecoute nos chants.	Poussons à sa Mémoire Des concerts si touchants, Que du haut de sa gloire Il ecte nos chants.
PRE	PRÉ
PREMIERE ENTRE’E DE BALLET.	PREMIÈRE ENTRE DE DE BALLET.
Es ſix hommes portant les haches, font entreL eux une dance ornée de toutes les attitudes que peuvent exprimer des gens qui étudient leur force, puis il ſe retirent aux deux côtez du Theatre pour faire place à ſix Voltigeurs.	Es six hommes portant les haches, font entreL eux une dance ornée de toutes les attitudes que peuvent exprimer des gens qui étudient leur force, puis il se retirent aux deux côtés du Théâtre pour faire place à six Voltigeurs.
DEUXIE'ME ENTRE’E DE BALLET.	DEUXIE'ME ENTRE DE DE BALLET.
C Ix Voltigeurs font paroiſtre en cadence, leur adreſſe ſur des chevaux de bois, qui ſont apportea pal des Eltiaves.	Ç Ix Voltigeurs font paraître en cadence, leur adresse sur des chevaux de bois, qui sont apportea pal des Éltiaves.
TROISIE'ME ENTRE’E DE BALLET.	TROISIE'ME ENTRE DE BALLET.
Uatre Conducteurs d’Eſclaves amenent en ca* dence douze Eſclaves qui danſent, en marquant la joye qu’ils ont.	Uatre Conducteurs d'Esclaves amènent en ca* denee douze Esclaves qui dansent, en marquant la joie qu'ils ont.
d’avoir recouvré leur liberté.	d'avoir recouvré leur liberté.
QUATRIE’ME ENTRE’E DE BALLET.	QUATRIE'ME ENTRE DE DE BALLET.
Uatre hommes, & quatre femmes armez à  la Grecque, font enſemble une maniere de jeu pour les armes.	Uatre hommes, et quatre femmes armés à la Grecque, font ensemble une manière de jeu pour les armes.
La Tribune s’ouvre, un Heraut, ſix Trompettes & un Timballier ſe meſlant à tous les inſtrumens, annonce avec un grand bruit la venuë d’Appollon.	La Tribune s'ouvre, un Héraut, six Trompettes et un Timballier se mêlant à tous les instruments, annonce avec un grand bruit la venue d'Apollon.
LE CHOEUR.	LE CHOEUR.
Vvrons tous nos yeux A l’éclat ſuprême Qui brille en ces lieux.	Veurons tous nos yeux A l'éclat suprême Qui brille en ces lieux.
Quelle grace extrême!	Quelle grâce extrême!
Quel port glorieux!	Quel port glorieux!
on vull on dts Ebua Qui ſoient faits de meſme!	on vull on dts Ébua Qui soient faits de même!
Appollon au bruit des Trompettes & des Vio.	Apollon au bruit des Trompettes et des Vio.
Ions entre par le Portique, precedé de ſix jeunes gens, qui portent des Lauriers entre-laſſez autour d’un bâton, & un Soleil d’or au deſſus avec la deviſe Royale en maniere de trophée.	Ions entre par le Portique, précédé de six jeunes gens, qui portent des Lauriers entre-lassez autour d'un bâton, et un Soleil d'or au dessus avec la devise Royale en manière de trophée.
Les fix jeunes gens, pour dancer avec Apollon, donnent leur trophée à tenir aux ſix hommes qui portent les haches, & commencent avec Apollon une dance heroïque, à laquelle ſe joignent en diverſes manieres les ſix hommes portant les trophées, les quatre femmes armées avec leurs timbres, & les quatre hommes armez avec leurs tambours, tandis que les ſix Trompettes, le Timballier, les Sacrificateurs, la Preſtreſſe & le Chœur de Muſique accompagnent tout cela en s’y meſlant par diverſes repriſes;	Les six jeunes gens, pour dancer avec Apollon, donnent leur trophée à tenir aux six hommes qui portent les haches, et commencent avec Apollon une dance héroïque, à laquelle se joignent en diverses manières les six hommes portant les trophées, les quatre femmes armées avec leurs timbres, et les quatre hommes armés avec leurs tambours, tandis que les six Trompettes, le Timballier, les Sacrificateurs, la Prêtresse et le Chœur de Musique accompagnent tout cela en s'y mêlant par diverses reprises;
ce qui finit la Feſte des jeux Pythiens, & tout le divertiſſement.	ce qui finit la Fête des jeux Pythiens, et tout le divertissement.
CINQUIE’ME & DERNIERE ENTRE’E de Ballet.	CINQUIE'ME et DERNIÈRE ENTRE de Ballet.
APOLLUN, & ſix jelnes gens de ſa ſuite.	APOLUN, et six jelnes gens de sa suite.
Chœur de Muſique.	Chœur de Musique.
Pour LE ROY, Repreſentant le SOLEIL.	Pour LE ROY, Représentant le SOLEIL.
TE ſuis la ſource des Clartez, J Et les Aſtres les plus vantez Dont le beau Cercle m'environne, Ne ſont brillans & reſpectez Que par l’éclat que je leur donne.	TE suis la source des Clartés, JRôt les Astres les plus vantez Dont le beau Cercle m'environne, Ne sont brillants et respectez Que par l'éclat que je leur donne.
Du char où je me puis aſſeoir Je voy le deſir de me voir Peſſeder la Nature entiere, Et le Monde n’a ſon eſpoir Qu’aux ſeuls bienfaits de ma lumiere.	Du char où je me puis asseoir Je vois le désir de me voir Pesseder la Nature entière, Et le Monde n'a son espoir Qu'aux seuls bienfaits de ma lumière.
Bren neureujes de foutes pans Et pleines d’exquiſes richeſſes Les Terres, où de mes regards J'arreſte les douces careſſes.	Bren neureujes de foutes pans Et pleines d'exquises richesses Les Terres, où de mes regards J'arrête les douces caresses.
POUR MONSIEUR LE GRAND.	POUR MONSIEUR LE GRAND.
Suivant d’APOLLON.	Suivant d'APOLLON.
Bien qu'auprés du Soleil tout autre éclat s'effaes S’en éloigner pourtant n’eſt pas ce que l’on veut, Et vous voyez bien quoy qu’il faſſe Qui l'on t'en tient toujours le plus prét que l’on peut.	Bien qu'auprès du Soleil tout autre éclat s'effaes S'en éloigner pourtant n'est pas ce que l'on veut, Et vous voyez bien quoi qu'il fasse Qui l'on t'en tient toujours le plus prêt que l'on peut.
POUR	POUR
POUR LE MARQUIS DE VILLEROY, Suivant d’APOLLON.	POUR LE MARQUIS DE VILLEROY, Suivant d'APOLLON.
De nôtre Maiſtre incomparable Vous me voyez inſeparable, Et le zele puiſſant qui m’attache à ſes vœux Le juit parmy tes eaux, ie juit parmy les feux.	De notre Maître incomparable Vous me voyez inséparable, Et le zèle puissant qui m'attache à ses vœux Le juit parmi tes eaux, se rvit parmi les feux.
POUR LE MARQUIS DE RASSENT, Suivant d’APOLLON.	POUR LE MARQUIS DE RASSENT, Suivant d'APOLLON.
Je ne ſeray pas vain quand je ne croiray pas Qu'un autre mieux que moy ſuive par tout ſes pat.	Je ne serai pas vain quand je ne croirai pas Qu'un autre mieux que moi suive par tout ses pat.
POUR LE MARQUIS DE VILLEROY, Suivant d’APOLLON.	POUR LE MARQUIS DE VILLEROY, Suivant d'APOLLON.
De nôtre Maiſtre incomparable Vous me voyez inſeparable, Et le zele puiſſant qui m’attache à ſes vœux Le juit parmy tes eaux, ie juit parmy les feux.	De notre Maître incomparable Vous me voyez inséparable, Et le zèle puissant qui m'attache à ses vœux Le juit parmi tes eaux, se rvit parmi les feux.
POUR LE MARQUIS DE RASSENT, Suivant d’APOLLON.	POUR LE MARQUIS DE RASSENT, Suivant d'APOLLON.
Je ne ſeray pas vain quand je ne croiray pas Qu'un autre mieux que moy ſuive par tout ſes pat.	Je ne serai pas vain quand je ne croirai pas Qu'un autre mieux que moi suive par tout ses pat.
