a ded	a déd
POLIANTE, ORANTE.	POLIANTE, ORANTE.
POLIANTE.	POLIANTE.
Equoy s’entretenoit le braue Cleomire?	Equoi s'entretenait le brave Clomire?
Q ORANTE.	Q ORANTE.
Des vertus a vn Stigneur que tout ie monde admire;	Des vertus a un Stigneur que tout ie monde admire;
De ce fils que le Ciel accomplit de tout point;	De ce fils que le Ciel accomplit de tout point;
Et certes ce penſer ne m’abandonne point.	Et certes ce penser ne m'abandonne point.
POLIANTE.	POLIANTE.
Lamitie vous degon, ainſi qu'ente m'abuſe;	Lamitie vous dégon, ainsi qu'ente m'abuse;
Les deffauts d’vn amy ne manquent pas d’excuſe;	Les défauts d'un ami ne manquent pas d'excuse;
L’œil flatte ce qu’il aime;	L'œil flatte ce qu'il aime;
& mon fils n'eſt parfait, Deſirant vous ſeruir qu’au vœu qu’il en a fait.	et mon fils n'est parfait, Désirant vous servir qu'au vœu qu'il en a fait.
ORANTE.	ORANTE.
On ne ſçauroit cacher vne ſi belle vie, Qui fait parler l’Hiſtoire, & fait taire l’enuie.	On ne saurait cacher une si belle vie, Qui fait parler l'Histoire, et fait taire l'envie.
Mais comme ſa valeur dés ſes plus ieunes ans, A mis la poudre aux yeux à tous les Courtiſans;	Mais comme sa valeur dès ses plus jeunes ans, A mis la poudre aux yeux à tous les Courtisans;
Et que ſuiuant vos pas aux dangers de l’armee, Il a pris bonne part à voſtre renommée, Uous deuriez deſormais l’arreſter en ces lieux;	Et que suivant vos pas aux dangers de l'armée, Il a pris bonne part à votre renommée, Uous devriez désormais l'arrêter en ces lieux;
Songez que la fortune eſt vn monſtre ſans yeux, Et qu'elle peut frapper ceux qu'elle fauoriſe:	Songez que la fortune est un monstre sans yeux, Et qu'elle peut frapper ceux qu'elle favorise:
Donnons-luy des deſirs que le voſtre authoriſe;	Donnons-lui dés désirs que le vôtre autorise;
22jia que durrejtam,cemeu ſaprepos, Les derniers de vos iours ſe coulent en repos.	22jà que durrejoutam,cemu saprepos, Les derniers de vos jours se coulent en repos.
POLIANTE.	POLIANTE.
Ce que vous propoſez eſt le but où i’aſpire;	Ce que vous proposez est le but où j'aspire;
C’eſt vn bien que ie cherche, & pourqui ie ſouſpire, Mais ie ne trouue pointoú borner ce deſir.	C'est un bien que ici cherche, et pourqui jour soupire, Mais tu ne trouve pointoù borner ce désir.
ORANTE.	ORANTE.
Peut-eſtre en cét Himen voulez vous trop choiſir:	Peut-être en cet Hymen voulez -vous trop choisir:
POLIANTE.	POLIANTE.
Nullement;	Nullement;
mon esprit n’a point cette foibleſſe:	mon esprit n'a point cette faiblesse:
Pourueu que la vertu ſe ioigne à la Nobleſſe, Ie ſeray ſatisfait, ie ne cherche point l’or, Ces qualitez chez moy tiendront lieu de threſor.	Pourvu que la vertu se joigne à la Noblesse, Je serai satisfait, toujours ne cherche point l'or, Ces qualités chez moi tiendront lieu de trésor.
ORANTE.	ORANTE.
mounquouot rupomu unc importance extréme:	mounquouot rupomu unc importance extrême:
Quel?	Quel?
POLIANTE.	POLIANTE.
ORANTE.	ORANTE.
qu’il aime vne fille, & qu’vne fille l’aime.	qu'il aime une fille, et qu'une fille l'aime.
POLIANTE.	POLIANTE.
Ie ne l’oubliois pas, i’y ſuis trop diſpoſé;	Je ne l'oubliais pas, j'y suis trop disposé;
Mais eſtant neceſſaire, il eſt preſupposé.	Mais étant nécessaire, il est presupposé.
Ces marchez d’intereſt, ſont des maux qu’on doit craindre;	Ces marchés d'intérêt, sont des maux qu'on doit craindre;
Eti aime trop mon fils pour le vouloir contraindre;	Eti aime trop mon fils pour le vouloir contraindre;
Außi loing d’yſonger ie blaſme ces parents, Qui pere comme moydeuiennent des tirans.	Aussi loin d'ysonger votre blâme ces parents, Qui père comme moydeuiennent des tyrans.
ORANTE.	ORANTE.
Et ſi ie vous nommois, vne fille eſtimée;	Et si ici vous nommais, une fille estimée;
Honneſte, noble, riche, & qui plus eſt, aimée;	Honnête, noble, riche, et qui plus est, aimée;
Y conſentiriez vous?	Y consentiriez -vous?
POLIANTE.	POLIANTE.
N’en doutez nullement:	N'en doutez nullement:
Mais Naples n’en apoint, ſelon mon iugement;	Mais Naples n'en apoint, selon mon jugement;
Et ſi vous la ſçauez, mon ame eſt ignorante:	Et si vous la savez, mon âme est ignorante:
ORANTE.	ORANTE.
IupeZ ſi ie me Irompe, en voas nommant Orante:	Jupez si belle me Irompe, en vœux nommant Orante:
POLIANTE.	POLIANTE.
Orante (a ce qu’on dit) a ces trois qualitez:	Orante (a ce qu'on dit) a ces trois qualités:
Mais on ne peut finir ce que vous proiettez.	Mais on ne peut finir ce que vous proyettez.
La haine hereditaire ( execrable folie, Qui ſemble estre fatale à toute l’Italie) Bien que contre mon ſens, & contre la raiſon, A touſiours diuisé, les ſiens, & ma maiſon.	La haine héréditaire ( exécrable folie, Qui semble être fatale à toute l'Italie) Bien que contre mon sens, et contre la raison, A toujours divisé, les siens, et ma maison.
Et ie ne puis penſer, comme ſans la connoiſtre, L’amour dont vous parlez auroit iamais pù naiſtre.	Et ici ne puis penser, comme sans la connaître, L'amour dont vous parlez aurait jamais pù naître.
ORANTE.	ORANTE.
Il eſt nay cependant:	Il est né cependant:
& s’eſt bien rendu tel, Que d’vne part & d’autre il doit eſtre immortel.	et s'est bien rendu tel, Que d'une part et d'autre il doit été immortel.
Les haines des parens ſont de foibles obſtacles;	Les haines des parents sont de faibles obstacles;
Et l’Amour eſt vn Dieu, qui ſe plaiſt aux miracles.	Et l'Amour est un Dieu, qui se plaît aux miracles.
Cette vieille querelle a deſia trop duré;	Cette vieille querelle a déjà trop duré;
Elle deſplaiſt au Ciel;	Elle déplaît au Ciel;
ſoyez en aſſuré:	soyez en assuré:
Il n’aſſemble les cœurs d’vn fils & d’vne fille, Que pour mettre en repos l’vne & l’autre famille.	Il n'assemble les cœurs d'un fils et d'une fille, Que pour mettre en repos l'une et l'autre famille.
Mais pourtant leurs esprits qui ſçauent leur deuoir.	Mais pourtant leurs esprits qui sçauent leur devoir.
Rangent leurs volontez, deſſous voſtre pouuoir:	Rangent leurs volontés, dessous votre pouvoir:
Tous preſts de ſe priuer du iourqui les eſclaire, Piumoſt queu'dcmeuer tien qui vons puſt deſplaire.	Tous prêts de se priver du jourqui les éclaire, Piumôt queudcmeuer tien qui vons pût déplaire.
POLIANTE.	POLIANTE.
Pardonnez Cleomire, à mon eſtonnement;	Pardonnez Clomire, à mon étonnement;
Mon espritpenſe faire vn beau ſonge endormant.	Mon espritpense faire un beau songe endormant.
Ceque vous m'apprenez eſt ſi plein de merueille, Que meſme en vous parlant ie doute ſi ie veille.	Ceque vous m'apprenez est si plein de merveille, Que même en vous parlant ie doute si belle veille.
Que ce penſer profond ne vous ſoit pas ſuſpect;	Que ce penser profond ne vous soit pas suspect;
I'eſtime cét amourautantque ſon respect;	J'estime cet amourautantque son respect;
Et pour voir auiourd’huy ſes peines terminées, le nu leleie ſaaracene desaessnets.	Et pour voir aujourd'hui ses peines terminées, le nu leletie saaracène desaessnets.
Ouy, dites à ce fils qui vous a fait parler, Que i’approuue le feu dont il oſa bruſler.	Oui, dites à ce fils qui vous a fait parler, Que j'approuve le feu dont il osa brûler.
ORANTE.	ORANTE.
Ha!	Ha!
formez quelques pas, que i’enbaiſe les traces;	formez quelques pas, que j'enbaise les traces;
Außi bien que ce fils ie vous dois rendre graces:	Aussi bien que ce fils ie vous dois rendre grâces:
C’eſt moy qui ſuis.	C'est moi qui suis.
qui ſuis.	qui suis.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
CLINDOR, POLIANTE, ORANTE.	CLINDOR, POLIANTE, ORANTE.
CLINDOR.	CLINDOR.
E viens vous aduertir Que mon Maiſtre a querelle, & qu’on l’a veu ſortir Auec ſa longue espée, & ſans nul equipage:	E viens vous avertir Que mon Maître a querelle, et qu'on l'a vu sortir Avec sa longue espée, et sans nul équipage:
POLIANTE.	POLIANTE.
Quel qu'vn le conduit-il?	Quel qu'un le conduit-il?
CLINDOR.	CLINDOR.
Ouy Monſeigneur, vn Page, De liurée inconnuë;	Oui Monseigneur, un Page, De livrée inconnue;
& qui nous fait iuger, Que celuy qui l’enuoye, eſt ſans doute Estranger.	et qui nous fait juger, Que celui qui l'envoie, est sans doute Étranger.
ORANTE.	ORANTE.
Quelles ſont ſes couleurs?	Quelles sont ses couleurs?
CLINDOR.	CLINDOR.
Incarnat, blanc, & verd:	Incarnat, blanc, et verd:
Si monœil ne s’abuſe,	Si monœil ne s'abuse,
ORANTE.	ORANTE.
Elle par Dieux, que ie ſuis confuſe!	Elle par Dieux, que Seigneur suis confuse!
iebas	imbas
POLIANTE.	POLIANTE.
Que ne le ſuiuez vous?	Que ne le suivez -vous?
CLINDOR.	CLINDOR.
en vain ie l’ay taſché;	en vain ici l'ai tâché;
Et contre mon deuoir il a paru faſché.	Et contre mon devoir il a paru fâché.
POLIANTE.	POLIANTE.
Viſte, viste, a cheual, qu'on batte la campagne;	Vite, vite, a cheval, qu'on batte la campagne;
Empeſchons ce duel.	Empêchons ce duel.
ORANTE.	ORANTE.
Quelmal-heur m’acompagne!	Quelmalheur m'acompagne!
Sans doute c’eſt Ormin, car ce Page eſt à luy.	Sans doute c'est Ormin, car ce Page est à lui.
Reprenons nos habits, il est temps auiourd huy;	Reprenons nos habits, il est temps aujourd' hui;
Afin que ſi du ſort les loix me ſont fatales, Ie le, puiſſe thancir enttiay aes e siales.	Afin que si du sort les lois me sont fatales, Je le, puisse thancir enttiai aes é siales.
C’eſt vn port aſſuré qui s’offre à ma douleur:	C'est un port assuré qui s'offre à ma douleur:
Mes feux ſont eternels, außi bien que le leur.	Mes feux sont éternels, aussi bien que le leur.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
ORMIN.	ORMIN.
Eſt icy que ma main ſe va remplir de gloire;	Est ici que ma main se va remplir de gloire;
C’eſticy qu’on verra le champ de ma victoire;	C'étici qu'on verra le champ de ma victoire;
Icy i’effaceray la marque d’vn affront, Par la rougeur du ſang oſtant celle du front.	Ici j'effacerai la marque d'Hô affront, Par la rougeur du sang ôtant celle du front.
Le terrain eſt fort bon:	Le terrain est fort bon:
dans l’ardeur qui me preſſe, Que n’auons nous au moins, entre nous la Maiſtreſſe;	dans l'ardeur qui me presse, Que n'avons nous au moins, entre nous la Maîtresse;
Pour la faire reſtercomme vn prix amoureux, Nonpas au plus ruſe, mais au plus genereux.	Pour la faire restercomme un prix amoureux, Nonpas au plus ruse, mais au plus généreux.
Afin que le peril plus aiſément i'eſcarte, Dois-ie porter en tierce?	Afin que le péril plus aisément j'écarte, Dois-je porter en tierce?
ou bien plus toſt en quarte?	ou bien plus tôt en quarte?
Acons pun nrumre conpste prepurt jueners, Ie paſſerayſur luy, car ie ſuis aſſez fort.	Acons pun nrhumre compte prépurt jueners, Je passeraisur ton, car On suis assez fort.
SCENE SIXIESME.	SCÈNE SIXIÈME.
FLORANGE, ARGAMOR, GERTIMANT, ORMIN.	FLORANGE, ARGAMOR, GERTIMANT, ORMIN.
FLORANGE.	FLORANGE.
Ain baſſe Compagnons:	Ain basse Compagnons:
ORMIN.	ORMIN.
Que faites vous Florange?	Que faites -vous Florange?
FLORANGE.	FLORANGE.
Ie fais ce que ie dois;	Je fais ce que vertu dois;
ie punis, ie me vange.	Elle punis, Seigneur me venge.
O iij	Ô Ôjà
ORMIN.	ORMIN.
Auuslsy veda cacislseara	Auûlsy véda cacislseara
FLORANGE.	FLORANGE.
Ie le trouue à punir, Un qui donne ſa foy, pour ne la pas tenir.	Je le trouve à punir, Un qui donne sa foi, pour ne la pas tenir.
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
ISIMANDRE, LERISTE, GERTIMANT, ARGAMOR, FLORANGE, ORMIN.	ISIMANDRE, LERISTE, GERTIMANT, ARGAMOR, FLORANGE, ORMIN.
ISIMANDRE.	ISIMANDRE.
Entends vnbruit d’efpée;	Entends vnbruit d'efpée;
aduançons:	avançons:
6 LERISTE.	6 LERISTE.
ha!	ha!
le traiſtre;	le traître;
Florange, Monſeigneur, aſſaßine mon Maiſtre:	Florange, Monseigneur, assassine mon Maître:
ISIMANDRE.	ISIMANDRE.
Ie ne ſçaurois ſouffrir ce complot inhumain:	Je ne saurais souffrir ce complot inhumain:
Le Ciel te deſtinoit à mourir de ma main;	Le Ciel te destinait à mourir de ma main;
La ſeconde rencontre, acheue la premiere:	La seconde rencontre, achève la première:
Fuyons, ARCAMOR.	Fuyons, ARCAMOR.
FLORANGE.	FLORANGE.
ie perds l’espoir, auecque la lumiere.	Ne perds l'espoir, avec la lumière.
ISIMANDRE.	ISIMANDRE.
Le ſort pour m’obliger, en ce iour a permis, Qu'vn ennemy pour vous combat vos ennemis;	Le sort pour m'obliger, en ce jour a permis, Qu'un ennemi pour vous combat vos ennemis;
Afin que l’honneur ſauf, ſa voix vous faſſe entendre, Qu'amon, & lu tueſon ont conumuiſmandre:	Afin que l'honneur sauf, sa voix vous fasse entendre, Qu'amon, et lu tues ont conumuismandre:
Ie ſuis ce mal-heureux que vous allez cherchant;	Je suis ce malheureux que vous allez cherchant;
Vous le voyez ſoldat, & l’auez veu Marchant.	Vous le voyez soldat, et l'avez vu Marchant.
ORMIN.	ORMIN.
Pour vn cœur genereux, les biens-faits ont des charmes;	Pour un cœur généreux, les biens-faits ont des charmes;
Et vous me de jarmez en conjernamumrurmes:	Et vous me de jarmez en conjernamumrmes:
Vous venez de me vaincre, en me rendant vainqueur;	Vous venez de me vaincre, en me rendant vainqueur;
Au lieu d’en teſmoigner ie manquerois de cœur, Se ie vous disputois vne palme obtenuë;	Au lieu d'en témoigner ici manquerais de cœur, Seprendre vous disputais une palme obtenue;
Ma colere s’en va comme elle eſtoit venuë;	Ma colère s'en va comme elle était venue;
Elle s’eſuanoüit;	Elle s'esuanoüit;
& dedans ce moment, Vous auez triomphé de mon reſſentiment.	et dedans ce moment, Vous avez triomphé de mon ressentiment.
Ie connois mon erreur;	Je connais mon erreur;
elle eſt toute apparente, Mais ne vous ſouuenez que des beautez d’O rante:	elle est toute apparente, Mais ne vous souvenez que des beautés d'Ô rante:
Poſſedez la paiſible;	Possédez la paisible;
& in’accordez ce point, (Au nomde vostre amour) de ne me haïr point.	et in'accordez ce point, (Au nomde votre amour) de ne me haïr point.
Bornons en fia le cours d’vne haine ancienne, u perd voprt Mratſon, & quideſtruit la mienne;	Bornons en fia le cours d'une haine ancienne, perd voprt Mratson, et quidestruit la mienne;
Faites ſouſcrire vn pere auecque mon deſir:	Faites souscrire un père auecque mon désir:
ISIMANDRE.	ISIMANDRE.
Mon ame eſt dans mes yeux, iugez de ſon plaiſir.	Mon âme est dans mes yeux, jugez de son plaisir.
Ie ne puis exprimer les transports de ma ioye;	Je ne puis exprimer les transports de ma joie;
Et moncœur veut s’ouurir, à deſſein qu’on la voye.	Et moncœur veut s'ouvrir, à dessein qu'on la voie.
Ouy, ouy, ſoyons vnis;	Oui, oui, soyons unis;
mon pere eſt appaiſe;	mon père est apaise;
Le chemin de ſon ame eſt vn chemin aiſé;	Le chemin de son âme est un chemin aisé;
Le repos eſt vn bien que ſon eſprit ſouhaite:	Le repos est un bien que son esprit souhaite:
Mais Monſieur il eſt temps de faire la retraite;	Mais Monsieur il est temps de faire la retraite;
Naples vous peut reuoir, y venant quant & moy:	Naples vous peut revoir, y venant quant et moi:
ORANTE.	ORANTE.
Ie marche ſans frayeur, marchant ſur voſtre foy.	Je marche sans frayeur, marchant sur votre foi.
SCENE	SCÈNE
SCENE HVICTIESME.	SCÈNE HVICTIESME.
LVCINDE, PALINICE.	LUCINDE, PALINICE.
I LVCINDE.	I LUCINDE.
Oyant ce rauiſſeur, qui paſſoit dans la ruë, MEl ay quitté la fenestre, & i’y ſuis accouruë;	Oyant ce ravisseur, qui passait dans la rue, MEl ai quitté la fenêtre, et j'y suis accourue;
Mais commme il ſe cachoit, de peur d’eſtre connu, Ie n’ay ſceu dans trois pas, ce qu’il est deuenu;	Mais commme il se cachait, de peur d'être connu, Je n'ai su dans trois pas, ce qu'il est devenu;
Son extréme viſteſſe a trompé ma pourſuite;	Son extrême vitesse à trompé ma poursuite;
A peine mes regards ont deſcounert ja fuite, (Choſe qui m’a faſchée, & qui l’a reſioüy) Qu'en eſclair, en phantoſme, il s’eſt eſuanoüy.	À peine mes regards ont décounert ja fuite, (Chose qui m'a fâchée, et qui l'a réjoui) Qu'en éclair, en phantôme, il s'est évanoui.
PALINICE.	PALINICE.
Patientez vn peu, nous le verrons ſans doute:	Patientez un peu, nous le verrons sans doute:
Ie me mocque d’vn mal que vostre esprit redoute;	Je me moque d'un mal que votre esprit redoute;
Puis qu’il paroiſt icy, ie le tiens innocent;	Puis qu'il paraît ici, tu le tiens innocent;
Voſtre fille est ſa femme, & ſon pere y conſent:	Votre fille est sa femme, et son père y consent:
Vn nouueau poſſeſſeur eſt ardent & fidelle;	Un nouveau possesseur est ardent et fidèle;
S’il la tenoit cachée il ſeroit aupres d’ella;	S'il la tenait cachée il serait auprès d'elle;
Ces plaiſirs dérobez attachent tout le iour;	Ces plaisirs dérobez attachent tout le jour;
Ie la crois plus à luy, puis qu’il a moins d’amour.	Je la crois plus à Rome, puis qu'il a moins d'amour.
LVCINDE.	LUCINDE.
Plûſt au Ciel que ce mal eust enfin bonne iſſuë;	Plût au Ciel que ce mal eût enfin bonne issue;
Et qu’elle fuſt ainſi que vous l’auez conçeuë;	Et qu'elle fût ainsi que vous l'avez conçue;
Ie me conſolerois;	Je me consolerais;
ma fille auroit bien fait;	ma fille aurait bien fait;
Jl eſt noſtre ennemy, mais il eſt tout parfait.	Il est notre ennemi, mais il est tout parfait.
PALINICE.	PALINICE.
Mettons nous dans ce lieu qui regarde la porte;	Mettons nous dans ce lieu qui regarde la porte;
Nous le de ſcouurirons, ſoit qu’ilentre, ou qu’il ſorte:	Nous le dé couvrirons, soit qu'ilentre, ou qu'il sorte:
DODED IDIDME.	DODED IDIDME.
POLIANTE, CLINDOR.	POLIANTE, CLINDOR.
POLIANTE.	POLIANTE.
’Amitié m’abuſoit;	Amitié m'abusait;
ſon conſeil estoit faux;	son conseil était faux;
En le conſiderant i'en ay veu les deffaux:	En le considérant j'en ai vu les défauts:
Si ie ſuiuois mon fils, en ſuiuant mon enuie, Ie perdrois ſon honneur pour luyſauuer la vie:	Si ici suivais mon fils, en suivant mon envie, Je perdrais son honneur pour luysauuer la vie:
Qu'il reuienne vainqueur, ou qu'il reſte vaincu, Je deſire qu'il meure ainſi qu'il a veſcu.	Qu'il revienne vainqueur, ou qu'il reste vaincu, Je désire qu'il meure ainsi qu'il a vécu.
eſt vn iuste tribut qu’on doit à la Nature:	est un juste tribut qu'on doit à la Nature:
En voyant ſon berceau, ie vis ſa ſepulture, Ie naſquis pour mourir;	En voyant son berceau, je vis sa sépulture, Je nasquis pour mourir;
ie l’ay fait naiſtre tel;	Il l'ai fait naître tel;
Mais vne bellemort le peut rendre immortel.	Mais une bellemort le peut rendre immortel.
CLINDOR.	CLINDOR.
Celle Philoſopme et vn peutrop duſiere;	Celle Philosopme et un peutrop dusière;
POLIANTE.	POLIANTE.
Tu verrois dans mon cœur que ie ſuis homme, & pere:	Tu verrais dans mon cœur que je suis homme, et père:
Ien ay le ſentiment;	Jen ai le sentiment;
mais it eſt combatu, Des armes du diſcours que preste la vertu.	mais Uit est combattu, Des armes du discours que prête la vertu.
CTINDOR Ha Monſieur le voicy!	CTINDOR Ha Monsieur le voici!
POLIANTE.	POLIANTE.
n’ay-ie pas bonne veuë?	n'ai-je pas bonne vue?
Mon ame de raiſon eſt-elle bien pourueuë?	Mon âme de raison est-elle bien pourvue?
Ie reconnois Ormin, ce n’eſt point vne erreur;	Je reconnais Ormin, ce n'est point une erreur;
Ie l’ay veumaintesfois aupres de l’Empereur.	Je l'ai veumaintesfois auprès de l'Empereur.
SCENE DIXIESME.	SCÈNE DIXIÈME.
ORMIN, POLIANTE, ISIMANDRE, CLINDOR, LERISTE.	ORMIN, POLIANTE, ISIMANDRE, CLINDOR, LERISTE.
ORMIN.	ORMIN.
ML n’eſt riẽ d’eternel en la terre où nous ſommes:	ML n'est riẽ d'éternel en la terre où nous sommes:
La hainc doit finir außi bien que les hommes;	La hain doit finir aussi bien que les hommes;
Le merite d’vn fils eſteignant mon courrous, Ie viens vous aſſurer que ie ſuis tout à vous.	Le mérite d'être fils éteignant mon courrous, Je viens vous assurer que ici suis tout à vous.
OLIANTE.	OLIANTE.
Dans l’accommodement ainſi qu’à la Victoire, Zrmarenca premnes jalapremere gioinre;	Dans l'accommodement ainsi qu'à la Victoire, Zrmarenca premnes jalapremere gioinre;
Mais puis que vos bontez me la veulent rauir, Ie garderay pour moy celle de vous ſeruir.	Mais puis que vos bontés me la veulent ravir, Je garderai pour moi celle de vous servir.
SCENE ONZIESME.	SCÈNE ONZIÈME.
LVCINDE, PALINICE, POLIANTE, ORMIN, ISIMANDRE, CLINDOR, LERISTE.	LUCINDE, PALINICE, POLIANTE, ORMIN, ISIMANDRE, CLINDOR, LERISTE.
21 LVCINDE.	21 LUCINDE.
Ay ma part à la paix außi bien qu’à laguerre:	Ai ma part à la paix aussi bien qu'à laguerre:
Ie crois auoir acquis le reſte de la terre, Pui ſque par cét accord on me donne pouuoir, E naouer mpals que lenojon renotr.	Je crois avoir acquis le reste de la terre, Pui sque par cet accord on me donne pouvoir, E nouver mons que lenojon renptr.
POLIANTE.	POLIANTE.
Madame, esperez tout de mon obeïſſance;	Madame, espérez tout de mon obéissance;
Naples que ie gouuerne eſt en voſtre puiſſance;	Naples que ici gouverne est en votre puissance;
Et tantque i’y ſeray, voſtre commandement, Aura touſiours le droict d’agir abſolument.	Et tantque j'y serai, votre commandement, Aura toujours le droit d'agir absolument.
OKMIN.	OÙMIN.
Oublions le paſſé (mon cœur) ie t’en coniure:	Oublions le passé (mon cœur) a ppren conjure:
PALINICE.	PALINICE.
Voſtre ſeul repentir efface mon iniure.	Votre seul repentir efface mon injure.
ISIMANDRE.	ISIMANDRE.
Uous qui pouuez donner à mon cœur amoureux, La fortune proſpere, ou le ſort mal-heureux, Si vous auez pitié de me voir dans la flame, Commandez à ce corps d’aller querir ſon ame.	Uous qui pouvez donner à mon cœur amoureux, La fortune prospère, ou le sort malheureux, Si vous avez pitié de me voir dans la flamme, Commandez à ce corps d'aller quérir son âme.
POLIANTE.	POLIANTE.
Il parle d’vn Amy que la ſienne cherit:	Il parle d'un Ami que la sienne chérit:
Allez;	Allez;
qu’il vienne voir comme le Ciel nous rit:	qu'il vienne voir comme le Ciel nous rit:
Jamais deux volontez ne furent mieux vnies;	Jamais deux volontés ne furent mieux unies;
Leur accord va paſſant toutes les harmonies;	Leur accord va passant toutes les harmonies;
Chaque iour l’vn à l’autre ils parlent en ſecret;	Chaque jour l'Hommes à l'autre ils parlent en secret;
Et la nuit les ſepare auec bien du regret.	Et la nuit les sépare avec bien du regret.
ORMIN.	ORMIN.
Ie me doute à peu pres quelamy ce peut eſtre:	Je me doute à peu près quelami ce peut être:
Ha!	Ha!
ſans faute c’eſt luy, car ie le voyparoiſtre;	sans faute c'est venir, car ainsi le voyparoistre;
Mais ſouz vn autre habit que vous ne l’auez veu:	Mais souz un autre habit que vous ne l'avez vu:
C e lessse s de Quel prodige nouueau m’attaque à l’impourueu?	Ç eu lessse s de Quel prodige nouveau m'attaque à l'impourvu?
SCENE DERNIERE.	SCÈNE DERNIÈRE.
ISTNANDRT, LVCINDE, ORANTE, ORMIN, POLIANTE, PALINICE, NERINE, CLINDOR, LERISTE.	ISTNANDRT, LUCINDE, ORANTE, ORMIN, POLIANTE, PALINICE, NERINE, CLINDOR, LERISTE.
ISIMANDRE.	ISIMANDRE.
Adame, ie vous rends vn bien ineſtimable;	Adame, je vous rends un bien inestimable;
Moy ſeulayfait la faute, elle n'eſt point blaſmable:	Moi seulayfait la faute, elle n'est point blâmable:
LVCINDE.	LUCINDE.
Pour l’amour d’lſimandre il faut luy pardonner:	Pour l'amour d'lsimandre il faut deux pardonner:
Et ie ne la reprens que pour vous la donner,	Et grande ne la reprends que pour vous la donner,
ORANTE.	ORANTE.
Mon ſitence, & monteint vous parten ue ma honte:	Mon sitence, et monteint vous parten ue ma honte:
LVCINDE.	LUCINDE.
Soyez deſormais ſage, ayant esté trop prompte:	Soyez désormais sage, ayant été trop prompte:
Ou nant le paſſé qui ne nous ſert de rien, Ne parlons plus d’vn malqui nous produit vn bien.	Ou nant le passé qui ne nous sert de rien, Ne parlons plus d'un malqui nous produit un bien.
ORMIN.	ORMIN.
C’eſt de vous maintenant que ce couple fidelle, Attend vne faueur qu’il vient de prendre d’elle:	C'est de vous maintenant que ce couple fidèle, Attend un faveur qu'il vient de prendre d'elle:
Monſieur, ſoyez bon pere en exauçant leurs vœux:	Monsieur, soyez bon père en exauçant leurs vœux:
POLIANTE.	POLIANTE.
Ce braue Caualier ſçait bien que ie le veux.	Ce brave Cavalier ait bien que ie le veux.
Sous l’vn & l’autre habit eſgalement i’admire, Iantoſt la belle Orante, & tantost ( leomire;	Sous l'autre et l'autre habit également j'admire, Iantost la belle Orante, et tantôt ( leomire;
Mon cœur n’eſt pas vn bien que ie donne à demy;	Mon cœur n'est pas un bien que tu donne à demi;
Ie l’aime comme fille, & l’aimois comme amy.	Je l'aime comme fille, et l'aimais comme ami.
ORANTE.	ORANTE.
Et ie vous ſeruiray pour tous les deux enſemble:	Et ici vous servirai pour tous les deux ensemble:
POLIANTE.	POLIANTE.
On nepeut ſeparer ce que le Ciel aſſemble.	On neput séparer ce que le Ciel assemble.
Il acertains reſſorts qu’on ne peut deſcouurir:	Il acertains ressorts qu'on ne peut découvrir:
C’eſt vnliure fermé qu’on ne ſçauroit ouurir:	C'est vnliure fermé qu'on ne saurait ouvrir:
Et la fin des deſſeins, nonplus que des années, Ne ſe voit que des Dieux, qui font nos deſtinées:	Et la fin des desseins, nonplus que des années, Ne se voit que des Dieux, qui font nos destinées:
C’est à nous d’obeïr aux Maiſtres des humains:	C'est à nous d'obéir aux Maîtres des humains:
Außi ie tends vers eux, l’œil, le cœur, & les mains;	Aussi ici tends vers eux, l'œil, le cœur, et les mains;
Et demande pour vous vne trame choiſie;	Et demande pour vous une trame choisie;
Vne amour ſans froideur, comme ſans ialouſie;	Une amour sans froideur, comme sans jalousie;
Et pour comble de ioye, & de proſperité, Des Enfans außi bons que vous l'aurez eſté.	Et pour comble de joie, et de prospérité, Des Enfants aussi bons que vous l'aurez été.
1 N.	1 N.
