TRAGI-COMEDIE.	TRAGI-COMÉDIE.
Ain baſſe, Compagnons.	Ain basse, Compagnons.
ONMIN Que faites-vous Florange.	ONMIN Que faites-vous Florange.
FLORANGE.	FLORANGE.
L jau ce que ie dois;	 Lau ce que vertu dois;
ie punis, ie me vange.	Elle punis, Seigneur me venge.
ORMIN.	ORMIN.
Oubliez-vous l’honneus?	Oubliez-vous l'honnus?
FLORANGE.	FLORANGE.
Ie le troaut à punir, Vn qui donne ſa fop pour ne ia pas tenit.	Je le troaut à punir, Un qui donne sa fop pour ne ja pas tenit.
SCENE VII.	SCÈNE VII.
ISIMANDRE, LERISTE, GERTIMANT, ARGAMOR, FLORANGE, ORMIN.	ISIMANDRE, LERISTE, GERTIMANT, ARGAMOR, FLORANGE, ORMIN.
IS MANDRE.	IS MANDRE.
Entends vn bruit d’eſpée aduançont;	Entends un bruit d'épée aduançont;
L LERISTE Ha!	 LERISTE Ha!
le traiſtre, Florange, Monſei gneur aſſaßine mon Maiſtre.	le traître, Florange, Monsei gneur assassine mon Maître.
SIMANDRE.	SIMANDRE.
Ie ne ſçaurois ſouffrir ce complot inhumain, Ls Ciel te deſtinoit à mourir de ma main;	Je ne saurais souffrir ce complot inhumain, Ls Ciel te destinait à mourir de ma main;
vu ſeconue rentontre atntue la premiere:	vu seconue rentontre atntue la première:
Frjons, ARCAMOR.	Frons, ARCAMOR.
FLORANGE Ie perds l’eſpoir, auecque la lumiere.	FLORANGE Je perds l'espoir, auecque la lumière.
ISIMANDRE.	ISIMANDRE.
Le ſort pour m’obliger, en ce iour a permis.	Le sort pour m'obliger, en ce jour a permis.
Qu’vn ennemy pour vous tombat vos ennemis;	Qu'un ennemi pour vous tombât vos ennemis;
Afin que l’honneur ſauf, ſa voix vous faſſe entendre Qu'amour & la raiſon ont conduit ſimandre, Ie ſuu ce mal-heureux que vous aliez cherchant, Vous le voyez Seldat, & l’auez veu Marchand.	Afin que l'honneur sauf, sa voix vous fasse entendre Qu'amour et la raison ont conduit simandre, Je su ce malheureux que vous aliez cherchant, Vous le voyez Seldat, et l'avez vu Marchand.
ORMIN.	ORMIN.
Pour vn cœur genereux les bien-faits ont des charmes Et vous me deſarmez en conſeruant mes armes.	Pour un cœur généreux les bienfaits ont des charmes Et vous me désarmés en conservant mes armes.
Vous venez de me vaincre en me rendant vainqueur, Au lieu d’en teſmoigner ie manquerois de cœur, Si ie vous diſputois vne palms obtenuë.	Vous venez de me vaincre en me rendant vainqueur, Au lieu d'en témoigner ici manquerais de cœur, Si ie vous disputois une palms obtenue.
Ma colert s’en va comme elle eſtoit venuë, Elle s’eſuanoüit & dedans ce moment, Vous auez triomphé de mon reſſentiment.	Ma colert s'en va comme elle était venue, Elle s'esuanoüit et dedans ce moment, Vous avez triomphé de mon ressentiment.
Ia connois mon erreur elle eſt toute apparente.	Ia connais mon erreur elle est toute apparente.
Mais ne vous ſouuenez que des beautez d’hrante:	Mais ne vous souvenez que des beautés d'hrante:
eſſed2-la pa ſible & m’aciordez ce point, Au nom de voſtre amour ) de ne me haïr point.	esséd2-la pay sible et m'acjordez ce point, Au nom de votre amour ) de ne me haïr point.
uuns enfin le cours d’vns hains ancienne, ed voſtre Maiſon & qui deſtruit la mienns, oujertus vn pere autoque mon deſir.	uuns enfin le cours d'uns hains ancienne, ed votre Maison et qui détruit la mienns, oujertus un père autoque mon désir.
ISIMANDRE.	ISIMANDRE.
Mon ame eſt dans mes yeux iugez de ſon plaiſir.	Mon âme est dans mes yeux jugés de son plaisir.
Ie ne puis exprimer les tranſports de ma ioye Et mon cœur veut s’ouurir, à deſſ-in qu’on la voye Ouy ouy, ſoyons vnis, mon pere eſt appaiſé;	Je ne puis exprimer les transports de ma joie Et mon cœur veut s'ouvrir, à dess-in qu'on la voie Oui oui, soyons unis, mon père est apaisé;
Le chemin de ſon ame eſt vn chimin aiſé;	Le chemin de son âme est un chimin aisé;
Le repos eſt vn bien que ſon eſprit ſouhaite:	Le repos est un bien que son esprit souhaite:
Mαa Monſeur n eſ timps de faire la retraite;	 Majeur n ' imps de faire la retraite;
Naplis vous peut reuoir, y venant quant & moy:	Naplis vous peut revoir, y venant quant et moi:
ORANTE.	ORANTE.
Ie marche ſans fraysur, marchant ſur veſtrs foy.	Je marche sans fraysur, marchant sur vêtrs foi.
SCENE VIII.	SCÈNE VIII.
LVCINDT.	LUCINDT.
PALINICE.	PALINICE.
LVCINDE.	LUCINDE.
7 Ojant ce rauiſſeur, qui paſſoit dans la ruë, V I’ay quitté la feneſtre & i’y ſuis accouruë;	7 Ojant ce ravisseur, qui passait dans la rue, V 'ai quitté la fenêtre et j'y suis accourue;
Mais comme il ſe cachoit de peur d’eſtre connu, Ie n’ay ſçeu dans trois pas ce qu'il eſt deuenu, con cxtrejme vitrjje à trompz ma pouijuie, Apeine mes regards ont deſcouuert ſa faitte, (Choſe qui m’a faſthés & qui l’a reſiouy) Qu’en eſclair en fantoſme il s’eſt eſuanouy.	Mais comme il se cachait de peur d'être connu, Je n'ai su dans trois pas ce qu'il est devenu, con cxtrejême vitrij à tromps ma pouijuie, Apeine mes regards ont découvert sa faites, (Chose qui m'a fasthés et qui l'a réjoui) Qu'en éclair en fantôme il s'est évanoui.
PALINICE.	PALINICE.
Patientez vn pex, nous le verrons ſans doute Ie me mocque d’vn mal que veſtos eſprit redoutt;	Patientez un pex, nous le verrons sans doute Je me moque d'un mal que vêtos esprit redout;
Puis qu’il paroiſt icy, ie le tiens innocent Voſtre fille eſt ſa femme & ſon pire y cenſent, nmnouueau poſſeſſeur eſt ardent & fidelle, il la tenoit cachée il ſeroit auprés d'elle, es plaiſirs deſrobez attachent tout le iour, Microiς plus à luy, puis qu’il a moins d’amous.	Puis qu'il paraît ici, je le tiens innocent Votre fille est sa femme et son pire y censent, nmnouueau possesseur est ardent et fidèle, il la tenait cachée il serait auprès d'elle, ais plaisirs dérobez attachent tout le jour, Microivez plus à Se, puis d'il a moins d'amous.
LVCINDE.	LUCINDE.
ûs au Ciel que ce mal euſt en fin bonne iſſuë qu’elle fuſt ainſi que vous l’auez conçeuë.	 eut Ainsi que ce mal eût en fin bonne issue qu'elle fût ainsi que vous l'avez conçue.
it cunjoieron, mna fluli durait bien jaits.	it cunjoyeron, ména fluli durait bien jaits.
eſt noſtre ennemy mais il eſt tout parfait	est notre ennemi mais il est tout parfait
PALINICE.	PALINICE.
det tenamummmmm jaiuiquii la poige, tous le deſcouurirons, ſoit qu’il entre ou qu’il ſorte	dét tenamummmmm jaiuiquii la poige, tous le découvrirons, soit qu'il entre ou qu'il sorte
SCENE IX.	SCÈNE IX.
POLIANTE, CLINDOR.	POLIANTE, CLINDOR.
POLIANTE.	POLIANTE.
’Amitié m’abuſoit, ſon conſeil eſtoit faux.	Amitié m'abusait, son conseil était faux.
CEn le confiderant i’en ay veu les deffauts, Sιις ſuiuois mon fils en ſaiuant mon enuie, eperdrois ſon honneur pour luy ſauuer la vie:	CEn le considérant j'en ai vu les défauts, Sιις suiuois mon fils en saivant mon envie, éperdrais son honneur pour lui sauver la vie:
u’il reuienne vainqueur ou qu’il reſte vaincu, e deſire qu’il meure ainſi qu’il a veſcu.	Ou'il revienne vainqueur ou qu'il reste vaincu, e ire qu'il meure ainsi qu'il a vécu.
eſt vn iuſte tribut qu’on doît à la Nature, a vorant ſon berctau ie vis ſa ſepulture, naſquis pous mourir is l’ay fait naiſtre til, Eais vne belle mort le peut rendre immorteb.	est un juste tribut qu'on doît à la Nature, a vorant son berctau avait vis sa sépulture, nasquis pous mourir is l'ai fait naître ty,Rés belle mort le peut rendre immorteb.
CLINDOR.	CLINDOR.
Etta Chiloſophis eſt vn peu trop auſtere.	Etta Chilosophis est un peu trop austère.
POLIANTE.	POLIANTE.
Tu vesrois dans mon cœur que ie ſais homme & pt I’en ay le ſent ment, mau il eſt combâtu.	Tu vesrois dans mon cœur que tu sais homme et pt Yen ai le sent ment, mau il est combattu.
Des armes du diſcours que preſte la vertu.	Des armes du discours que prête la vertu.
CLINDOR.	CLINDOR.
Ha!	Ha!
Monſieur, le voicy.	Monsieur, le voici.
POLIANTE.	POLIANTE.
n’ay-ie pas bonne ver;	n'ai-je pas bonne ver;
Mon ame de raiſon eſt-elle bien pourueuë?	Mon âme de raison est-elle bien pourvue?
Ie reconnois Oimin, ce n’eſt point vne erreu?	Je reconnais Oimin, ce n'est point une erreu?
Ie l’ay veu maintes fois aupres de l’Empereur.	Je l'ai vu maintes fois auprès de l'Empereur.
Ued lau X.	Uéd lau X.
ORMIN, POLIANTE, IGIMANDRE, CLINDOR, LERISTE.	ORMIN, POLIANTE, IGIMANDRE, CLINDOR, LERISTE.
ORMIN.	ORMIN.
L n'oſt ritn d’éternel en la terre où neus ſomm· I La haine doit finir außi-bien que les hommes, Le merite d’vn jils eſteignant mon courroux, Is viens vous aſſeurer que ie ſuis tout à vous.	 L'ost ritn d'éternel en la terre où nus somm· I La haine doit finir aussi-bien que les hommes, Le mérite d'H jils éteignant mon courroux, Is viens vous assurer que je suis tout à vous.
POCIANTE.	POCIANTE.
Dans l’accommodement ainſi qu’à la victoire, Qui marche le premiez a la primiere gloire;	Dans l'accommodement ainsi qu'à la victoire, Qui marche le premiés a la primière gloire;
Mais puis que vos bantez me la veulent reuis, Ie garderay pour moy celle de vous ſereir.	Mais puis que vos bantez me la veulent revis, Je garderai pour moi celle de vous sereir.
SCENE XI.	SCÈNE XI.
LVCINDE, PALINICE, POLIANTE, ORMIN, ISIMANDRE, CLINDOR, LERISIE.	LUCINDE, PALINICE, POLIANTE, ORMIN, ISIMANDRE, CLINDOR, LERISIE.
LVCINDE.	LUCINDE.
Ay ma part à la paix auſſi bun qu’à la guerre;	Ai ma part à la paix aussi bun qu'à la guerre;
I Ie crois auoir acquis le reſte de la terre, Puiſque par cét accord on me donne pouuoir, D’habiter vn païs que ie n’oſois reuoir.	I Je crois avoir acquis le reste de la terre, Puisque par cet accord on me donne pouvoir, D'habiter un pays que sans n'osais revoir.
POLIANTE.	POLIANTE.
Madame, eſperez tout de mon obeïſſance:	Madame, espérez tout de mon obéissance:
raupres que le goηHεrhι c' in vaſre puiſſants;	rauprès que le goηHεrhι hommes in vasre puissants;
Et tant que i’y ſeray, voſtre commandiment, Mura touſours le droict d’agit abſolument.	Et tant que j'y serai, votre commandiment, Mura tous le droit d'agit absolument.
ORMIN.	ORMIN.
Dublions le paſſe, mon cœur, is ten coniure:	Dublions le passe, mon cœur, is ten conjure:
PALINICE.	PALINICE.
oſtre ſaul repentir efface mon iniure.	ôtre saul repentir efface mon injure.
ISIMANDRE.	ISIMANDRE.
9uy qui pauiez danner à mon cœur amoureux, La fortune proſpere ou le ſort mal-heureux, Si vous auez pitié de me voir dans la flame, Commandez à ce corps dalier querir jon ume.	9ui qui paviez danner à mon cœur amoureux, La fortune prospère ou le sort malheureux, Si vous avez pitié de me voir dans la flamme, Commandez à ce corps dalier quérir jon ume.
Iæmais	Iæmais
POLIANTE.	POLIANTE.
I parle d’vn amy que la ſienne cherit:	I parle d'un ami que la sienne chérit:
Allez;	Allez;
qu’il vienne voir cemme ls ciel nous rit:	qu'il vienne voir cème l âme nous rit:
Iamais deux volontez ne furent mieux vnies;	Jamais deux volontés ne furent mieux unies;
Leur acord va paſſant toutes les harmouiss Chaque iour l’vn & l’autre ils parent en ſecret, Et la nuit les ſepare autc bien du regres.	Leur acord va passant toutes les harmouiss Chaque jour l'un et l'autre ils parent en secret, Et la nuit les sépare aut bien du rères.
ORMIN.	ORMIN.
Ie me doute à pu pres quel amy ce peut eſtre;	Je me doute à pu pres quel ami ce peut être;
aaur juns jaute t’eſtiuy em teil voj paroifre, Mau ſoubz vn autre habit que vous ne l’autz veu.	aaur juns jaute t'estiuy emil te voj parfre, Maute sous un autre habit que vous ne l'auts vu.
T'OLIANTE.	T'OLIANTE.
Quel prodigt nouueau m’aisaque a l’impourueu?	Quel prodigt nouveau m'aisaque à l'impouru?
SCENE DERNIERE.	SCÈNE DERNIÈRE.
ISIMANDRE, LVCINDE, ORANTEORMIN, POLIANTE, PALINICE, NERINE, CLINDOR, LERISTE.	ISIMANDRE, LUCINDE, ORANTEORMIN, POLIANTE, PALINICE, NERINE, CLINDOR, LERISTE.
Pour l'amour à ſimandre il faut luy pardonnez:	Pour l'amour à simandre il faut venir pardonnés:
Et it ne la reprens que pour vous la donner,	Et it ne la reprends que pour vous la donner,
ISIMAINDRE.	ISIMAINDRE.
Adame, ie vous rends vn bien ineſtimable, me malt ſtuvuy puit tu jaute ens n eſ poiut blaſmable:	Adame, je vous rends un bien inestimable, me malt stuv puit tu jaute ens n ' ai blâmable:
LVCINDE.	LUCINDE.
ORANTE.	ORANTE.
Mon filence, & mon teint vous parlent de ina hont?	Mon silence, et mon teint vous parlent de ina hont?
LVCINDE.	LUCINDE.
Sovez deſormais ſage ayant eſté trop prompte:	Souez désormais sage ayant été trop prompte:
Oubliant le paſſé qui ne nous ſert de rien Ne parlons plus d’vn mal qui nous produit vn bien.	Oubliant le passé qui ne nous sert de rien Ne parlons plus d'un mal qui nous produit un bien.
ORMIN.	ORMIN.
C’eſt de vous maintenant que o touple fidelle, Atiend vne faueur qu’il vient de prendre d’elle, Monſieur, ſoyez bon pers en exauçant leurs væux.	C'est de vous maintenant que ô touple fidèle, Atiend une faveur qu'il vient de prendre d'elle, Monsieur, soyez bon pers en exauçant leurs væux.
POLIANTE parlant d’Orante.	POLIANTE parlant d'Orante.
Ce braue Caualier ſçait bien que ie le veux Sous l’vn & l'autre habit eſgalement i’admire, Tantoſt la belle Orante, & tantoſt Cleomire, Mon cœur n’eſt pai vn bien que ie donne à demy, Ie l’aime comme fille & l’aimois comme amy.	Ce brave Cavalier sçait Mon que n' est bien Que demi, et l'autre habit également j'admire, Tantôt la belle Orante, et tantôt Comire, Mon cœur n'est paimer bien que tu donne à demi, Je l'aime comme fille et l'aime comme ami.
ORANTE.	ORANTE.
Et ie vous ſeruiray pour tous les deux enſemble.	Et ici vous servirai pour tous les deux ensemble.
POLIANTE.	POLIANTE.
On ne peut ſeparer ce que le Cul aſſemble, Il a certains reſſorts qu’on ne peut deſcouurir, C’eſt vn liure ferme qu'on ne ſçaurois ouurir, Et la fin des deſſeins non plus que des années, Ne ſe voit que des Dieux qui foet nos deſtinées, C’eſt à nous d'ob ïr aux Maiſtres des humains.	On ne peut séparer ce que le Cul assemble, Il a certains ressorts qu'on ne peut découvrir, C'est un livre ferme qu'on ne saurais ouvrir, Et la fin des desseins non plus que des années, Ne se voit que des Dieux qui foet nos destinées, C'est à nous d'ob ïr aux Maîtres des humains.
Aηßι ie tends vers eux l’œi lεραην, & les mains, Bu denmue pounvoua vno ſrame choiſie, Vne amour ſans froideur comme ſans ialouſie, Et pour comble di iuys& de proſperité, Das ur ſans außi bour que Vous l’aurez eſté.	Aηssι ie tends vers eux lεραην, et les mains, Beau beau tends v srame choisie, eux l' froideur l' Un ialousie, Et pour le iuyset de mains, B ur sans mue pounoua Un sraurez choisie,
