Suivant la Copie imprimée	Suivant la Copie imprimée
Fortune, quelques maux que ta rigueur m’envoye, J’ay trouvé les moyens d’en tirer de la joye, Et puis voir aujourd’huy le combat ſans terreur, Les morts ſans deſeſpoir, les vainqueurs ſans horreur.	Fortune, quelques maux que ta rigueur m'envoie, J'ai trouvé les moyens d'en tirer de la joie, Et puis voir aujourd'hui le combat sans terreur, Les morts sans désespoir, les vainqueurs sans horreur.
Flateuſe illuſion, erreur douce & groſſiere, Vain effort de mon ame, impuiſſante lumiere.	Flateuse illusion, erreur douce et grossière, Vain effort de mon âme, impuissante lumière.
De qui le faux brillant prend droit de m’ébloüir, Que tu ſçais peu durer, & toſt t’évanoüir!	De qui le faux brillant prend droit de m'éblouir, Que tu sais peu durer, et tôt t'évanouir!
Pareille à ces éclairs qui dans le fort des ombres Pouſſent un jour qui fuit & rend les nuits plus ſombres, Tu n’as frapé mes yeux d’un moment de clarté Que pour les abyſmer dans plus d’obſcurité.	Pareille à ces éclairs qui dans le fort des ombres Poussent un jour qui fuit et rend les nuits plus sombres, Tu n'as frappé mes yeux d'un moment de clarté Que pour les abîmer dans plus d'obscurité.
che Tu charmois trop ma peine, & le Ciel qui s’en fâMe vend deſia bien cher ce moment de relâche.	che Tu charmais trop ma peine, et le Ciel qui s'en fâMe vend déjà bien cher ce moment de relâche.
Je ſens mon triſte cœur percé de tous les coups Qui m’oſtent maintenant un frere, ou mon époux:	Je sens mon triste cœur percé de tous les coups Qui m'ôtent maintenant un frère, ou mon époux:
Quãd je ſonge à leur mort, quoy que je me propoſe, Ie ſonge par quels bras, & non pour quelle cauſe, Et ne voy les vainqueurs en ieur.	Quand je songe à leur mort, quoi que je me propose, Je songe par quels bras, et non pour quelle cause, Et ne vois les vainqueurs en jeur.
Que pour conſiderer aux dépens de quel ſang.	Que pour considérer aux dépens de quel sang.
La maiſon des vaincus touche ſeule mon ame, En l’une je ſuis fille, en l’autre je ſuis femme, Et tiens à toutes deux par de ſi forts liens, Qu’on ne peut triompher que par la mort des miẽs.	La maison des vaincus touche seule mon âme, En l'une je suis fille, en l'autre je suis femme, Et tiens à toutes deux par de si forts liens, Qu'on ne peut triompher que par la mort des miẽs.
C’eſt là donc cette paix que j’ay tant ſouhaitée !	C'est là donc cette paix que j'ai tant souhaitée !
Trop favorables Dieux, vous m’avez écoutée !	Trop favorables Dieux, vous m'avez écoutée !
Quels ſoudies fancez-vons quand vous vous irritez, Si meſme vos faveurs ont tant de cruautez, Et de quelle façon puniſſez-vous l’offence Si vous traitez ainſi les vœux de l’innocence?	Quels soudiez fancez-vons quand vous vous irritez, Si même vos faveurs ont tant de cruautés, Et de quelle façon punissez-vous l'offense Si vous traitez ainsi les vœux de l'innocence?
SCENE II.	SCÈNE II.
SABINDI Jeden.	SABINDI Jeden.
I SABINE.	I SABINE.
N eſt-ce fait, Julie, & que m’apportez-vous?	N est-ce fait, Julie, et que m'apportez-vous?
Eſt-ce la mort d’un frere, ou celle d’un époux?	Est-ce la mort d'un frère, ou celle d'un époux?
Le funeſte ſuccés de leurs armes impies De tous les combatans a-t’il fait des hoſties.	Le funeste succès de leurs armes impies De tous les combattants a-t-il fait des hosties.
Et m’enviant l’horreur que j’aurois des vainqueurs, Pour tous tant qu’ils eſtoient demande-t’il mes ULIE.	Et m'enviant l'horreur que j'aurais des vainqueurs, Pour tous tant qu'ils étaient demande-t-il mes ULIE.
pleurs?	pleurs?
Quoy, ce qui s’eſt paſſé, vous l’ignorez encore?	Quoi, ce qui s'est passé, vous l'ignorez encore?
SABINE.	SABINE.
vous faut-il étonner de ce que je l’ignore, Et ne ſçavez-vous point que de cette maiſon Pour Camille & pour moy l’on fait une priſon?	vous faut-il étonner de ce que je l'ignore, Et ne savez-vous point que de cette maison Pour Camille et pour moi l'on fait une prison?
juile;	juile;
oi fous renferme, on a peur de nos larmes, Sans cela nous ſerions au milieu de leurs armes, Et par les deſeſpoirs d’une chaſte amitié Nous aurions des deux camps tiré quelque pitié.	oi fous renferme, on a peur de nos larmes, Sans cela nous serions au milieu de leurs armes, Et par les désespoirs d'une chaste amitié Nous aurions des deux camps tiré quelque pitié.
LIE.	LIE.
Il n’eſtoit pas beſoin d’un ſi tendre ſpectacle, Leur veuë à leur combat apporte aſſez d’obſtacle.	Il n'était pas besoin d'un si tendre spectacle, Leur vue à leur combat apporte assez d'obstacle.
Si-toſt qu’ils ont paru preſts à ſe meſurer, On a dans les deux camps entendu murmurer;	Si-tôt qu'ils ont paru prêts à se mesurer, On a dans les deux camps entendu murmurer;
A voir de tels amis, des perſonnes ſi proches, venir pour leur patrie aux mortelles approches, L’un s’émeut de pitié, l’autre eſt ſaiſi d’horreur, L’autre d’un ſi grand zele admire la fureur, Tel porte juſqu’aux Cieux leur vertu ſans égale, Et teri oie nomer ſacrilege & brutale.	À voir de tels amis, des personnes si proches, venir pour leur patrie aux mortelles approches, L'un s'émut de pitié, l'autre est saisi d'horreur, L'autre d'un si grand zèle admire la fureur, Tel porte jusqu'aux Cieux leur vertu sans égale, Et teri oie nomer sacrilège et brutale.
Ces divers ſentimens n’ont pourtant qu’une voix, Tous accuſent leurs Chefs, tous deteſtent leur choix, Et ne pouvant ſouffrir un combat ſi barbare, On s’écrie, on s’avance, enfin on les ſepare.	Ces divers sentiments n'ont pourtant qu'une voix, Tous accusent leurs Chefs, tous détestent leur choix, Et ne pouvant souffrir un combat si barbare, On s'écrie, on s'avance, enfin on les sépare.
m’exaucez!	m'exaucez!
SABINE.	SABINE.
JULIE.	JULIE.
Vous n’eſtes pas, Sabine, encore où vous penſez, Vous pouvez eſperer, vous avez moins à craindre, Mais il vous reſte encore aſſez dequoy vous plaindre.	Vous n'êtes pas, Sabine, encore où vous pensez, Vous pouvez espérer, vous avez moins à craindre, Mais il vous reste encore assez dequoy vous plaindre.
En vain d’un ſort ſi triſte on les veut garantir, Ces cruels genereux n’y peuvent conſentir.	En vain d'un sort si triste on les veut garantir, Ces cruels généreux n'y peuvent consentir.
La gloire de ce choix leur eſt ſi precieuſe, Et charme tellement leur ame ambitieuſe, Qu’alors qu’on les déplore ils s’eſtiment heureux, Et prennent pour affront la pitié qu’on a d’eux.	La gloire de ce choix leur est si précieuse, Et charme tellement leur âme ambitieuse, Qu'alors qu'on les déplore ils s'estiment heureux, Et prennent pour affront la pitié qu'on a d'eux.
Le trouble des deux camps ſoüille leur renommée, Ils combatront plûtoſt & l’une & l’autre armée, Et mourront par les mains qui leur font d’autres loix, (tel choix.	Le trouble des deux camps sourille leur renommée, Ils combattront plutôt et l'une et l'autre armée, Et mourront par les mains qui leur font d'autres lois, (tel choix.
Qu’aucun d’entre eux renonce aux honneurs d’un	Qu'aucun d'entre eux renonce aux honneurs d'un
SABINE.	SABINE.
Quoy?	Quoi?
dans leur dureté ces cœurs de fer s’obſtinẽt!	dans leur dureté ces cœurs de fer s'obstinent!
ULIE.	ULIE.
Ils le font, mais d’ailleurs les deux cãps ſe mutinẽt, Et leurs cris des deux parts pouſſez en meſme tẽps Demandent la bataille, ou d’autres combatans.	Ils le font, mais d'ailleurs les deux cãps se mutinent, Et leurs cris des deux parts poussez en même tẽps Demandent la bataille, ou d'autres combattants.
La preſence des Chefs à peine eſt reſpectée, Leur pouvoir eſt douteux, leur voix mal écoutée, Le Roy meſme s’étonne, & pour dernier effort, Puiſque chacun, dit-il, s’échauffe en ce diſcord, Conſultons des grands Dieux la Majeſté ſacrée, Et voyons ſi ce change à leurs bontez agrée;	La présence des Chefs à peine est respectée, Leur pouvoir est douteux, leur voix mal écoutée, Le Roi même s'étonne, et pour dernier effort, Puisque chacun, dit-il, s'échauffe en ce discord, Consultons des grands Dieux la Majesté sacrée, Et voyons si ce change à leurs bontés agrée;
Quel impie oſera ſe prendre à leur vouloir, Lors qu’en un ſacrifice ils nous l’auront fait voir?	Quel impie osera se prendre à leur vouloir, Lors qu'en un sacrifice ils nous l'auront fait voir?
Il ſe taiſt, & ces mots ſemblent eſtre des charmes, Meſme aux ſix combatans ils arrachent les armes, Et ce deſir d’honneur qui leur ferme les yeux, Tout aveugle qu’il eſt, reſpecte encor les Dieux.	Il se taît, et ces mots semblent être des charmes, Même aux six combattants ils arrachent les armes, Et ce désir d'honneur qui leur ferme les yeux, Tout aveugle qu'il est, respecte encor les Dieux.
Leur plus boüillante ardeur cede a l’aquis de Tune, Et Et ſoit par déference, ou par un prompt ſcrupule, Dans l’une & l’autre armée on s’en fait une loy, Comme ſi toutes deux le connoiſſoient pour Roy.	Leur plus bouillante ardeur cède à l'aquis de Tune, Et Et soit par déférence, ou par un prompt scrupule, Dans l'une et l'autre armée on s'en fait une loi, Comme si toutes deux le connaissaient pour Roi.
Le reſte s’apprendra par la mort des victimes.	Le reste s'apprendra par la mort des victimes.
SABINE.	SABINE.
Les Dieux n’avoûront point un combat plein de crimes, J’en eſpere beaucoup puiſqu’il eſt differé, Et je commence à voir ce que j’ay deſiré.	Les Dieux n'avoueront point un combat plein de crimes, J'en espère beaucoup puisqu'il est différé, Et je commence à voir ce que j'ai désiré.
SCENE III.	SCÈNE III.
SABINE, CAMILLE, JULIE.	SABINE, CAMILLE, JULIE.
SABINE.	SABINE.
MA ſœur, que je vous die une bonne nouvelle.	MA sœur, que je vous die une bonne nouvelle.
CAMILLE.	CAMILLE.
Je penſe la ſçavoir, s’il faut la nommer telle, On l’a dite à mon pere, & j’eſtois avec luy;	Je pense la savoir, s'il faut la nommer telle, On l'a dite à mon père, et j'étais avec lui;
Mais je n’en conçoy rien qui flate mon ennuy.	Mais je n'en conçois rien qui flatte mon ennui.
De delay de nos lllad a ledla leurs coups plus rudes, Ce n’eſt qu’un plus long terme à nos inquietudes, Et tout l’allegement qu’il en faut elperer, C’eſt de pleurer plus tard ceux qu’il faudra pleurer.	De délai de nos lllad a leda leurs coups plus rudes, Ce n'est qu'un plus long terme à nos inquiétudes, Et tout l'allégement qu'il en faut élpérer, C'est de pleurer plus tard ceux qu'il faudra pleurer.
SABINE.	SABINE.
Les Dieux n’ont pas en vain inſpiré ce tumulte.	Les Dieux n'ont pas en vain inspiré ce tumulte.
CAMILLE.	CAMILLE.
Diſons plûtoſt, ma ſœur, qu’en vain on les conſulte, Ces meſmes Dieux à Tulle ont inſpiré ce choix, Et la voix du Public n’eſt pas toûjours leur voix, Ils deſcendent bien moins dans de ſi bas étages, Que dans l’ame des Rois, leurs vivantes images, De qui l’independante & ſainte autorité Eſt un rayon ſecret de leur divinité.	Disons plutôt, ma sœur, qu'en vain on les consulte, Ces mêmes Dieux à Tulle ont inspiré ce choix, Et la voix du Public n'est pas toujours leur voix, Ils descendent bien moins dans de si bas étages, Que dans l'âme des Rois, leurs vivantes images, De qui l'indépendante et sainte autorité Est un rayon secret de leur divinité.
ULIE.	ULIE.
C’eſt vouloir ſans raiſon vous former des obſtacles, Que de chercher leur voix ailleurs qu’en leurs Oracles, Et vous ne vous pouvez figurer tout perdu, vans dementir celuy qui vous rut hier rendu.	C'est vouloir sans raison vous former des obstacles, Que de chercher leur voix ailleurs qu'en leurs Oracles, Et vous ne vous pouvez figurer tout perdu, ans démentir celui qui vous rut hier rendu.
CAMILLE.	CAMILLE.
Un Oracle jamais ne ſe laiſſe comprendre, On l’entend d’autant moins que plus on croit l’entendre, nal ramde danedleriat an palen AHele, Qui n’y voit rien d’obſcur, doit croire que tout l’eſt.	Un Oracle jamais ne se laisse comprendre, On l'entend d'autant moins que plus on croit l'entendre, nal ramde danédleriat an palen LE, Qui n'y voit rien d'obscur, doit croire que tout l'est.
SABINE.	SABINE.
Sur ce qui fait pour nous prenons plus d’aſſeurance, Et ſouffrons les douceurs d’une juſte eſperance.	Sur ce qui fait pour nous prenons plus d'assurance, Et souffrons les douceurs d'une juste espérance.
Quand la faveur du Ciel ouvre à demy ſes bras, Quine denpromet hen do lainemte pas:	Quand la faveur du Ciel ouvre à demi ses bras, Quine denpromet hen do lainemette pas:
Il empeſche ſouvent qu’elle ne ſe déploye, Et lors qu’elle deſcend ſon refus la renvoye.	Il empêche souvent qu'elle ne se déploie, Et lors qu'elle descend son refus la renvoie.
CAMILLE.	CAMILLE.
Le Ciel agit ſans nous en ces evenemens, Et ne les regle point deſſus nos ſentimens.	Le Ciel agit sans nous en ces événements, Et ne les règle point dessus nos sentiments.
ULIE.	ULIE.
Il ne vous a fait peur que pour vous faire grace, Adieu, je vay ſçavoir comme enfin tout ſe paſſe, Moderez vos mayeurs, felpere à mon retour Ne vous entretenir que de propos d’amour, Et que nous n’emploîrons la fin de la journée Qu’aux doux preparatifs d’un heureux Hymenée.	Il ne vous a fait peur que pour vous faire grâce, Adieu, je vais savoir comme enfin tout se passe, Modérez vos maïeurs, felpère à mon retour Ne vous entretenir que de propos d'amour, Et que nous n'emploîrons la fin de la journée Qu'aux doux préparatifs d'un heureux Hyménée.
SABINE.	SABINE.
J’oſe encor l’eſperer.	J'ose encor l'espérer.
CAMILLE.	CAMILLE.
Moy, je n’eſpere rien.	Moi, je n'espère rien.
JULIE.	JULIE.
L’effet vous fera voir que nous en jugeons bien.	L'effet vous fera voir que nous en jugeons bien.
SABINE.	SABINE.
y Army nos déplaiſirs ſouffrez que je vous blâme, Je ne puis approuver tant de trouble en voſtre ame, Que feriez-vous, ma ſœur, au point où je me voy, Si vous aviez à craindre autant que je le doy, Et ſi vous attendiez de leurs armes fatales Des maux pareils aux miens, & des pertes égales?	y Armi nos déplaisirs souffrez que je vous blâme, Je ne puis approuver tant de trouble en votre âme, Que feriez-vous, ma sœur, au point où je me vois, Si vous aviez à craindre autant que je le dois, Et si vous attendiez de leurs armes fatales Des maux pareils aux miens, et des pertes égales?
CAMILLE.	CAMILLE.
Parlez plus ſainement de vos maux & des miens.	Parlez plus sainement de vos maux et des miens.
Chacun voit ceux d’autruy d’un autre œil que les ſiens, Mais à bien regarder ceux où le Ciel me plonge, Les voſtres auprés d’eux vous ſembleront un ſonge.	Chacun voit ceux d'autrui d'un autre œil que les siens, Mais à bien regarder ceux où le Ciel me plonge, Les vôtres auprès d'eux vous sembleront un songe.
La ſeule mort d’Horace eſt à craindre pour vous, Des freres ne ſont rien à l’égal d’un époux, L’Hymen qui nous attache en une autre famille, Nous détache de celle où l’on a veſcu fille, On voit d’un œil divers des nœuds ſi differens, Et pour ſuivre un mary l’on quitte ſes parens.	La seule mort d'Horace est à craindre pour vous, Des frères ne sont rien à l'égal d'un époux, L'Hymen qui nous attache en une autre famille, Nous détache de celle où l'on a vécu fille, On voit d'un œil divers des nœuds si différents, Et pour suivre un mari l'on quitte ses parents.
