LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
O Hymen qui le premier, Filas le lien nopcier, Et toy feconde Lucine, Et toy paiſible Ericine,	Ô Hymen qui le premier, Filas le lien nopcier, Et toi féconde Lucine, Et toi paisible Ericine,
Fauo	Favo
Fauoriſez les Amans De tous leurs Contentemens,	Favorisez les Amants De tous leurs Contentements,
TRACHIN.	TRACHIN.
Enfans en ſon honneur recommençons encore:	Enfants en son honneur recommençons encore:
Mais d’où vient que d’icy s’eſt abſenté Pelore, Ie ne luy ſçache point auoir en rien meſpris, Le voicy qui paroiſt ainſi que d’ire eſpris, quetateident t'aunpe en ta joye commune, Enuers les inuiteZ as tu quelque rancune?	Mais d'où vient que d'ici s'est absenté Pelore, Je ne reste sache point avoir en rien mépris, Le voici qui paraît ainsi que d'ire épris, quetateident t'aunpe en ta joie commune, Envers les invitez as tu quelque rancune?
ELORE.	ÉLORE.
Ie ne veux mal qu’à moy d’eſtre ſinegligent, Pour ce que mon honneur touche le plus vrgent.	Je ne veux mal qu'à moi d'être sinegligent, Pour ce que mon honneur touche le plus vrgent.
TROVPE.	TROUPE.
Sur quels propos cela.	Sur quels propos cela.
TELORE.	TÉLORE.
D’vne part du butin eſcheuë à mon merite.	D'une part du butin échue à mon mérite.
II.	II.
PIRATE.	PIRATE.
Aucun à mon auis ne te la veut nier.	Aucun à mon avis ne te la veut nier.
BLe n E.	BLène n E.
Aucun ne ſçauroit trop'ma valeur premier;	Aucun ne saurait trop'ma valeur premier;
Cauſe de la victoire en la barque ennemie, M'expoſant le premier a la Parque bleſmie.	Cause de la victoire en la barque ennemie, M'exposant le premier a la Parque blêmie.
TRACHIN.	TRACHIN.
Vous n'en sõmes pas là, mais preſts de t’accorder out ce que l’equité te permet demander.	Vous n'en semmes pas là, mais prêts de t'accorder ou ce que l'équité te permet demander.
PELORE.	PELORE.
Ie ne demande rien que la captiue à femme.	Je ne demande rien que la captive à femme.
TRACHIN.	TRACHIN.
Ah?	Ah?
point, elle exceptée, idole qui m’enflamme Pour ma moitié choiſie, & voüee à mon lict, Fut il de plus grand poids tu n’en ſeras dé dit.	point, elle exceptée, idole qui m'enflamme Pour ma moitié choisie, et vue à mon lit, Fut il de plus grand poids tu n'en seras dé dit.
PELORE.	PELORE.
3opa puoyumopon palable, Que noſtre loy ce choix me donne inuiolable.	3opa puoiumopon palable, Que notre loi ce choix me donne inviolable.
TRACHIN.	TRACHIN.
Autheur de ceſte loyie la puis retracter, L’Hymen que tu pourſuis venant de contracter	Auteur de cette loyie la puis rétracter, L'Hymen que tu pours venant de contracter
PELORE.	PELORE.
Tu as donc contracté d'vne force abſoluë, mudiunscuu defcen de tar derge conceue.	Tu as donc contracté d'une force absolue, mudiunscu défens de tar derge conçue.
TRACHIN.	TRACHIN.
La vierge n'en eſt pas moins contente que moy.	La vierge n'en est pas moins contente que moi.
PELORE.	PELORE.
Donnons luy donc le choix, & qu’il en face foy	Donnons ainsi donc le choix, et qu'il en face foi
TRACHIN.	TRACHIN.
Le choix aux compagnons apartient tolerable, dinuid d mufuuour quiueun ejecomparable.	Le choix aux compagnons appartient tolérable, dinuid d mufuvour quiveun eécomparable.
PELORE.	PELORE.
Inferieur celny ſans tequet tu n'aurois, Dequoy te preualoir de butin ny de choix?	Inférieur celui sans tequet tu n'aurais, Dequoi te prévaloir de butin ny de choix?
TRACHIN.	TRACHIN.
N'entrons ie te ſupplie dauantage en querelle.	N'entrons belle te supplie davantage en querelle.
PELORE.	PELORE.
Ie le veux du loyer me cedant ceſte belle.	Je le veux du loyer me cédant cette belle.
TRACHIN.	TRACHIN.
Jout autre cas demande, & te prens à l’inſtant.	Jout autre cas demande, et te prends à l'instant.
PELORE.	PELORE.
De l’Empire des Cieux ie ſerois mal content.	De l'Empire des Cieux Je serais mal content.
TRACHIN.	TRACHIN.
Sois mal content ou non, ie ne puis autre choſe.	Sois mal content ou non, je ne puis autre chose.
PELORE.	PELORE.
Quoy que ta tyrannie en la ſorte diſpoſe Ou fruit de nos labeurs?	Quoi que ta tyrannie en la sorte dispose Ou fruit de nos labeurs?
vſurpe à tous les coups, e qui nous apartient franc de notre çourroux, Allez mes compagnons aux alarmes boüillãtes;	use à tous les coups, eu qui nous appartient franc de notre çourroux, Allez mes compagnons aux alarmes boüillãtes;
expoſer deſormais vos poitrines vaillantes, rodiguer voſtre ſang, vn outrageux Lion lt-ccra vos ver lasa ene veocuton, En requerant le ſruict que ſa rage gloütonne, Te ſou ffrira qu'aucun iuſtement ſe guerdonne.	exposer désormais vos poitrines vaillantes, rodiguer votre sang, outrageux Lion l'encra vos ver lasa ene véocuton, En requérant le sroit que sa rage gloutonne, Te sou ffrira qu'aucun justement se guerdonne.
TRACHIN.	TRACHIN.
Ah!	Ah!
c’eſt trop que cela, ſi tu m’en parle plus.	c'est trop que cela, si tu m'en parle plus.
PELORE.	PELORE.
S’ils ſont de l’endurer quant à eux reſolus, ar la timidité, ie n’en ay point d’enuie.	S'ils sont de l'endurer quant à eux résolus, ar la timidité, Elle n'en ai point d'envie.
TRACHIN.	TRACHIN.
Ton orgueil inſ enſé te couſtera la vie, Ie ſouffrez mes amis qu'vne temerité oule à vos yeux l’honneur de mon authorité, Preſtez, preſtez ſecours,	Ton orgueil ins ensé te coûtera la vie, Je souffrez mes amis qu'une témérité oule à vos yeux l'honneur de mon autorité, Prêtez, prêtez secours,
PELORE.	PELORE.
Mais vous braues courages,	Mais vous braves courages,
E ij eDararentinen cextjscavonages,	 Ejà eDarentinen cextiscavonages,
I.	I.
PIRATE.	PIRATE.
Ie ne connois qu'’vn chef, & pour luy ie mourra	Je ne connais qu'un chef, et pour nô ie mourra
II.	II.
PIRATE.	PIRATE.
Moy pour le bien public le droit ie ſecourray.	Moi pour le bien public le droit Seigneur secourrai.
THEAGENE.	THÉGENE.
O combat delectable!	Ô combat délectable!
O heureuſe allegeance?	Ô heureuse allégeance?
Entrer dans la meslée;	Entrer dans la mêlée;
il faut en diligence Te ietter Theagene, & ne point deſiſter, Tant qu'vn de ces brigands du choc puiſſe reſter:	il faut en diligence Te jeter Thagène, et ne point désister, Tant qu'un de ces brigands du choc puisse rester:
Mais que voy-je bõs Dieux?	Mais que vois-je bons Dieux?
ma prudẽte guerriere Lancer dards deſſus dards à leur preſſe en derrier Son exemple me rend inuincible du tout, Vne ardeur de combatre en ma poitrine bout.	ma prudente guerrière Lancer dards dessus dards à leur presse en derrier Son exemple me rend invincible du tout, Une ardeur de combattre en ma poitrine bout.
CALASIRE, Attendant le ſuccez de leur rage mutine, Le mieux ſera pour moy de gagner la coline.	CALASIRE, Attendant le succès de leur rage mutine, Le mieux sera pour moi de gagner la coline.
TRACHIN.	TRACHIN.
Ie ſuis mort mes amis, & vous laiſſe à venger, Voſtre chef qu’à vos bras on vient de ſaccager.	Je suis mort mes amis, et vous laisse à venger, Votre chef qu'à vos bras on vient de saccager.
PELORE.	PELORE.
M’abordent ces vengeurs.	M'abordent ces vengeurs.
Iupiter!	Jupiter!
quel eſclar dre, Quel carnage ſoudain?	quel esclar dre, Quel carnage soudain?
ie ne le puis comprendre, Il ſemble que les Dieux nous ayent coniurez, Iuſqu'à vn moiſſonné de leurs coups deſſerreZ Ne reſtant plus que moy de la flote ſtupide, Vois tu pas l’eſtranger du ſang des tiens auide, Autheur de ce dommage il vient à moy dernier, Et faut jatranijon de jon ſang expier.	Les ne le puis comprendre, Il semble que les Dieux nous aient conjurés, Jusqu'à un moissonné de leurs coups desserreZ Ne restant plus que moi de la flotte stupide, Vois -tu pas l'étranger du sang des tiens aujà Auteur de ce dommage il vient à moi dernier, Et faut jatranijon de jon sang expier.
CARICLE’E.	CARICLÉLÉ.
Les armes m’ont manqué;	Les armes m'ont manqué;
Theagene mon amé, Monſtre icy quel amour tu portes à ta Dame, con honneur conſerué depend de ta valeur, Serois tu ſurmonté d’vn infame voleur;	Théagène mon amé, Montre ici quel amour tu portes à ta Dame, con honneur conservé dépend de ta valeur, Serais tu surmonté d'un infâme voleur;
Las!	Las!
ie tremble voyant ſa longue reſiſtance, De t’auoir enhardy, ie erains la repentance, l recule, courage acheue mon Soleil, Ce chef d’œuure guerrier qui n’eut onc ſon pareil,	Elle tremble voyant sa longue résistance, De t'avoir enhardi, était erains la repentance, l recule, courage achève mon Soleil, Ce chef d'œuvre guerrier qui n'eut onc son pareil,
PELORE.	PELORE.
Receuez Dieux d’Enfer vne ombre diffamée, e meurs, ie perds d’vn coup & vie & renommée.	Recez Dieux d'Enfer une ombre diffamée, est mûrs, Elle perds d'un coup et vie et renommée.
SCENE TY.	SCÈNE TY.
ET DERN.	ET DERN.
THEAGENE, ET CARICLEE.	THÉGENE, ET CARICLE.
A ITEIRCENL H!	À ITEICENL H!
que ie ſuis bleſſé, que foible ie me ſens, LYMes yeux ne voyẽt plus le iour s’esbloüiſsãs a parole me fault, ſecourez moy Princeſſe.	que je suis blessé, que faible on me sens, LYMes yeux ne vient plus le jour s'éblouissants a parole me sault, secourez moi Princesse.
CARICLEE.	CARICLE.
Tirons nous tant ſoit peu de ceſte moite preſſe, appuye hardiment ſur mon col enlaſſé;	Tirons nous tant soit peu de cette moite presse, appuie hardiment sur mon col enlacé;
ſus dorenauant te voila bien placé, tardons d’arreſter le ſang de tes bleſſûres:	sus dorénavant te voilà bien placé, tardons d'arrêter le sang de tes blessûres:
E iij	 Ejà
Maintefois ie l’ay fait par magiques murmures Iltombe en paſmoiſon, ô Cieux!	Maintefois Seigneur l'ai fait par magiques murmures Iltombe en pâmoison, ô Cieux!
ô Cieux!	ô Cieux!
helas, Mon Pere où étes vous noſtre commun ſoulas Que feray-je ſeulette?	hélas, Mon Père où êtes vous notre commun soûlas Que ferai-je seulette?
où ſeramt recourſe, Maintenant que la nuit precipite ſa courſe, Ie couuriray ſon corps de tous mes veſtemens, Attendant la mercy des Aſtres inclements.	où seramt recourse, Maintenant que la nuit précipite sa course, Je couvrirai son corps de tous mes vêtements, Attendant la merci des Astres incléments.
Fin de la premiere Iournée.	Fin de la première Journée.
SOMMAIRE DV SVIET DE LA SECONDE	SOMMAIRE DU SVIET DE LA SECONDE
3 NE ſeconde trouppe de Pirates venuë pour butiner, deſcouurent ſur le riuage Theagene couuert de playes, & demy-mort entre les bras de ſa Maiſtreſſe, ces barbares les prennent d’abord, pour quelques Deitez, & la verité recognuë, paſſent outre au reſte du butin, où rencontrez par Thyamis (autre chef de Corſaires, ) ils ſont mis en fuitte.	3 NE seconde troupe de Pirates venue pour butiner, découvrent sur le rivage Théagène couvert de plaies, et demi-mort entre les bras de sa Maîtresse, ces barbares les prennent d'abord, pour quelques Déités, et la vérité reconnue, passent outre au reste du butin, où rencontrez par Thyamis (autre chef de Corsaires, ) ils sont mis en fuite.
Apres la victoire, Thyamis à la premiere veuë deuient priſonnier de la beauté de ſa belle captiue Cariclèe, s’informe de ſon auanture laquelle ſçeüe, & l’impetrant des ſiens pour ſa part du butin, il proteſte 4 la vouloir eſpouſer, Cariclée luy promet feintement que cela ſera lors que dépoſée de ſa ſacrificature au premier temple, telle alliance n’aura plus d’obſtacle.	Après la victoire, Thymis à la première vue dévient prisonnier de la beauté de sa belle captive Cariclée, s'informe de son aventure laquelle sue, et l'impétrant des siens pour sa part du butin, il proteste 4 la vouloir épouser, Cariclée lui promet feintement que cela sera lors que déposée de sa crificature au premier temple, telle alliance n'aura plus d'obstacle.
Thyamis accepte l’excuſe, & commet à la garde de Gnemon ſien domeſtique, Cariclée & Theagene qu’elle aduoüe pour frere.	Thymis accepte l'excuse, et commet à la garde de Gémon sien domestique, Cariclée et Thagène qu'elle aduoüe pour frère.
Theagene conçoit vn deſeſpoir de jalouſie, ſur la promeſſe faite au Corſaire par ſa Cariclée, qui ſe iuſtifiant là deſſus le conſole, & luy fait approuuer vn ſi gentil ſtratageme amoureux.	Théagène conçoit un désespoir de jalousie, sur la promesse faite au Corsaire par sa Cariclée, qui se justifiant là -dessus le console, et Seigneur fait approuver un si gentil stratagème amoureux.
Gnemon pendant la nuit raconte à ces deux priſonniers l’hiſtoire de ſa fortune, leur donne bonne eſperance pour le regard de Thyamis, & promet à Theagene gueriſon de ſes bleſſûres, par l’application d’vn ſimple qu’il va chercher;	Gémon pendant la nuit raconte à ces deux prisonniers l'histoire de sa fortune, leur donne bonne espérance pour le regard de Thyamis, et promet à Théagène guérison de ses blessûres, par l'application d'un simple qu'il va chercher;
cependant les Pirates naguieres vaincus, reprennent courage, & auec ſuffiſant renfort, viennent pour charger Thyamis & ſa troupe;	cependant les Pirates naguières vaincus, reprennent courage, et toujours suffisant renfort, viennent pour charger Thamis et sa troupe;
Gnemon les deſfs.	Gémon les défs.
¬2 * couure, & en auertit sõ maiſtre, que le deſeſpoir de ſes affaires, & l’apprehenſion ialouſe qu’vn autre ne vienne à cueillir la fleur virginale de Cariclée, le font reſoudre a la tuer;	¬2 * couvre, et en avertit sommes maître, que le désespoir de ses affaires, et l'appréhension jalouse qu'un autre ne vienne à cueillir la fleur virginale de Cariclée, le font résoudre a la tuer;
il s’achemine à cét effet en la cauerne où elle eſtoit gardée, mais au lieu de Cariclée deçeu tãt par quelque reſemblance, que par l’obſcurité des lieux, il tuë Thiſbé que ſon Eſcuyer Thermutis y venoit d’enfermer;	il s'achemine à cet effet en la caverne où elle était gardée, mais au lieu de Cariclée deçeu tãt par quelque résermblance, que par l'obscurité des lieux, il tuë Hisbé que son Escuyer Thermutis y venait d'enfermer;
de là retournant au combat trouue les ſiens en deſroute, & eſt pris priſonnier des ennemis qui l’eſpargnent a cauſe de la recompenſe promiſe par ſon frere à qui le luy pourroit amener vif, ce qui ferme noſtre ſecond ſujet.	de là retournant au combat trouve les siens en déroute, et est pris prisonnier des ennemis qui l'épargnent a cause de la récompense promise par son frère à qui le lui pourrait amener vif, ce qui ferme notre second sujet.
TROVPPE DE PASTRES.	TROUPPE DE PÂTRES.
CARICLEE.	CARICLE.
SECONDE IOVRNE’E, ACTE I.	SECONDE IOURNE, ACTE I.
I.	I.
TROVPE DE PIRATES, THEAGENE, CARIGLEE.	TROUPE DE PIRATES, THÉGENE, CARIGLE.
II.	II.
TR.	TR.
OV PASTRES, THYAMTe, Ce GREMON.	OU PÂTRES, THyAMTe, Ce GREMON.
SCENE I.	SCÈNE I.
I.	I.
PIRATE.	PIRATE.
2 E Fils d’Hyperion tire ſa teſte blonde, Du moite ſein des eaux pour eſclairer le monde, deNil eſt iour, compagnõs deſſus hors de ſon creux Seslance pour quit ter l’animal genereux, Et nous tous aggrauez de ſomme & de pare Perdons l’occaſion que l’heure nous adreſſe;	2 E Fils d'Hypérion tire sa tête blonde, Du moite sein des eaux pour éclairer le monde, deNil est jour, compagnons dessus hors de son creux Sélance pour quit ter pour animal généreux, Et nous tous aggravez de somme et de pare Perdons l'occasion que l'heure nous adresse;
Et nous à ce matin du bon-heur inuitez N’allons point deſcouurir les riuages hantez N’allons point rechercher l’ordinaire curée, Comme ſi nous auions vne vie aſſûrèe;	Et nous à ce matin du bonheur invitez N'allons point découvrir les rivages hantez N'allons point rechercher l'ordinaire curée, Comme si nous avions une vie assurée;
