dMmMlM dHO.	dMmlM dHO.
SCENE IV.	SCÈNE IV.
D.	D.
LOPE, D.	LOPE, D.
GARCIE.	GARCIE.
D.	D.
LOPE.	LOPE.
O Eigneur, je viens vous informet D’un ſecret dont vos feux ont droit de s’allarmer.	Ô Ôigneur, je viens vous informet D'un secret dont vos feux ont droit de s'alarmer.
D.	D.
GARCIE.	GARCIE.
Ne me viens point parler de ſecret, ny d’allarme Dans les doux mouvemens du tranſport qui me charme, Aprés ce qu’à mes yeux on vient de preſenter, Il n’en pomt de ſoupçons que je doive écouter;	Ne me viens point parler de secret, ni d'alarme Dans les doux mouvements du transport qui me charme, Après ce qu'à mes yeux on vient de présenter, Il n'en pompt de soupçons que je doive écouter;
Et d’un divin objet la bonté ſans pareille, A tous ces vains rapports, doit fermer mon oreille, Ne m’en fais plus.	Et d'un divin objet la bonté sans pareille, À tous ces vains rapports, doit fermer mon oreille, Ne m'en fais plus.
LOPE.	LOPE.
Seigneur, je veux ce qu’il vous plaiſt, Mes ſoins en tout cecy n’ont que voſtre intereſt;	Seigneur, je veux ce qu'il vous plaît, Mes soins en tout ceci n'ont que votre intérêt;
J’ay crû que le ſecret que je viens de ſurprendre Meritoit bien qu’en haſte on vous le vinſt apprendre;	J'ai cru que le secret que je viens de surprendre Méritait bien qu'en hâte on vous le vinst apprendre;
Mais puiſque vous voulez que je n’en touche rien, Je vous diray, Seigneur, pour changer d’entretien, Que deja dans Leon on voit chaque famille Lever le maſque au bruit des Trouppes de Caſtille, Et que ſur tout le Peuple y fait pour ſon vray Roy Un eclat à donner au Tyran de l’effroy.	Mais puisque vous voulez que je n'en touche rien, Je vous dirai, Seigneur, pour changer d'entretien, Que déjà dans Léon on voit chaque famille Lever le masque au bruit des Troupes de Castille, Et que sur tout le Peuple y fait pour son vrai Roi Un éclat à donner au Tyran de l'effroi.
D.	D.
GAR	GAR
D.	D.
GARCIE.	GARCIE.
La Caſtille du moins n’aura pas la victoire, Sans que nous eſſayons d’en partager la gloire;	La Castille du moins n'aura pas la victoire, Sans que nous essayons d'en partager la gloire;
Et nos Trouppes auſſi peuvent eſtre en eſtat, D’imprimer quelque crainte au cœur de Mauregat.	Et nos Troupes aussi peuvent être en état, D'imprimer quelque crainte au cœur de Mauregat.
Mais quel eſt ce ſecret, dont tu voulois m’inſtruire, Voyons un peu ?	Mais quel est ce secret, dont tu voulais m'instruire, Voyons un peu ?
D BOJE.	DO BOJE.
Seigneur, je n’ay rien à vous dire.	Seigneur, je n'ai rien à vous dire.
D.	D.
GARCIE.	GARCIE.
Va, va, parle, mon cœur t’en donne le pouvoir.	Va, va, parle, mon cœur t'en donne le pouvoir.
D.	D.
LOPE.	LOPE.
Vos paroles, Seigneur, m’en ont trop fait ſçavoir, Et puiſque mes avis ont dequoy vous déplaire, je Igaulay deromais trouver l’aſt de me taire.	Vos paroles, Seigneur, m'en ont trop fait savoir; Et puisque mes avis ont dequoy vous déplaire, je Igaulai deromais trouver l'ât de me taire.
D.	D.
GARCIE.	GARCIE.
Enfin, je veux ſçavoir la choſe abſolument.	Enfin, je veux sçavoir la chose absolument.
D.	D.
LOPES.	LOPES.
Je ne replique point à ce commandement;	Je ne réplique point à ce commandement;
Mais, Seigneur, en ce lieu le devoir de mon zele Trahiroit le ſecret d’une telle nouvelle.	Mais, Seigneur, en ce lieu le devoir de mon zèle Trahirait le secret d'une telle nouvelle.
Sortons pour vous l’apprendre, & ſans rien embraſſer, Vous meſme vous verrez ce qu’on en doit penſer.	Sortons pour vous l'apprendre; et sans rien embrasser, Vous -même vous verrez ce qu'on en doit penser.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
SCENE.	SCÈNE.
I.	I.
D.	D.
ELUIRE, ELISE.	ÉLUIRE, ÉLISE.
D.	D.
ELUIAE.	ÉLUIAE.
Liſe, que dis tu de l’étrange foibleſſe, Que vient de témoigner le cœur d’une Princeſſe?	Lise, que dis -tu de l'étrange faiblesse, Que vient de témoigner le cœur d'une Princesse?
Que dis-tu de me voir tomber ſi promptement, De toute la chaleur de mon reſſentiment;	Que dis-tu de me voir tomber si promptement, De toute la chaleur de mon ressentiment;
Et mmalgré tant d’éclat relaſcher mon courage aan pardon trop honteux d’un ſi cruel outrage?	Et mémalgré tant d'éclat relâcher mon courage aan pardon trop honteux d'un si cruel outrage?
ELISE.	ÉLISE.
Moy, je dis que d’un cœur que nous pouvons cherir, Une injure ſans doute eſt bien dure à ſouffrir:	Moi, je dis que d'un cœur que nous pouvons chérir, Une injure sans doute est bien dure à souffrir:
Mais que s’il n’en eſt point qui davantage irrite, Il n’en eſt point auſſi qu’on pardonne ſi viſte;	Mais que s'il n'en est point qui davantage irrite, Il n'en est point aussi qu'on pardonne si vite;
Et qu’un coupable aimé triomphe à nos genoux De tous les prompts tranſports du plus boüillant courroux, D’autant plus aiſément, Madame, quand l’offence Dans un excez d’amour peut trouver ſa naiſſance;	Et qu'un coupable aimé triomphe à nos genoux De tous les prompts transports du plus bouillant courroux, D'autant plus aisément, Madame, quand l'offense Dans un excès d'amour peut trouver sa naissance;
Ainſi quelque dépit que l’on vous ait cauſé, je ne m’étonne point de le voir appaiſé;	Ainsi quelque dépit que l'on vous ait causé, je ne m'étonne point de le voir apaisé;
Et je ſçay quel pouvoir malgré voſtre menace, A de pareils forfaits donnera toûjours grace,	Et je sais quel pouvoir malgré votre menace, A de pareils forfaits donnera toujours grâce,
D.	D.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
ſçache quelque ardeur qui m’impoſe des loix, Que mon front a rougi pour la derniere fois, Et que ſi deſormais on pouſſe ma colere, Il n’eſt point de retour qu’il faille qu’on eſpere.	sache quelque ardeur qui m'impose des lois, Que mon front a rougi pour la dernière fois, Et que si désormais on pousse ma colère, Il n'est point de retour qu'il faille qu'on espère.
Quand je pourrois reprendre un tendre ſentiment, C’eſt aſſez contre luy que l’éclat d’un ſerment;	Quand je pourrais reprendre un tendre sentiment, C'est assez contre deux que l'éclat d'un serment;
Car enfin un eſprit qu’un peu d’orgueil inſpire, Trouve beaucoup de honte à ſe pouvoir dédire;	Car enfin un esprit qu'un peu d'orgueil inspire, Trouve beaucoup de honte à se pouvoir dédire;
Et ſouvent aux dépens d’un penible combat, Fait ſur ſes propres vœux un illuſtre attentat, S’obſtine par honneur, & n’a rien qu’il n’immole A la noble fierté de tenir ſa parole.	Et souvent aux dépens d'un pénible combat, Fait sur ses propres vœux un illustre attentat, S'obstine par honneur, et n'a rien qu'il n'immole À la noble fierté de tenir sa parole.
Ainſi dans le pardon que l’on vient d’obtenir, Ne prens point de clartez pour regler l’avenir;	Ainsi dans le pardon que l'on vient d'obtenir, Ne prends point de clartés pour régler l'avenir;
Et quoy qu’à mes deſtins la fortune prepare, Crois que je ne puis eſtre au Prince de Navarre, Que de ces noirs accez qui troublent ſa raiſon, Il n’ait fait éclater l’entiere gueriſon, Et reduit tout mon cœur que ce mal perſecute, A n’en A n’eb plus redouter l’afront d’une fechleute.	Et quoi qu’à mes destins la fortune prépare, Crois que je ne puis être au Prince de Navarre, Que de ces noirs accès qui troublent sa raison, Il n'ait fait éclater l'entière guérison, Et réduit tout mon cœur que ce mal persécute, A n'en A n'eb plus redouter l'afront d'une fechleute.
ELISE.	ÉLISE.
Mais quel affront nous fait le tranſport d’unjaloux?	Mais quel affront nous fait le transport d'unjaloux?
D.	D.
ELUIRE.	ÉLUIRE.
En eſt il un qui ſoit plus digne de courroux?	En est il un qui soit plus digne de courroux?
Et puis que noſtre cœur fait un effort extrême, Lors qu’il ſe peut reſoudre à confeſſer qu’il aime?	Et puis que notre cœur fait un effort extrême, Lors qu'il se peut résoudre à confesser qu'il aime?
Puiſque l’honneur du Sexe en tout temps rigoureux, Oppoſe un fort obſtacle à de pareils aveux.	Puisque l'honneur du Sexe en tout temps rigoureux, Oppose un fort obstacle à de pareils aveux.
L’Amant qui voit pour luy franchir un tel obſtacle, boit i'impunement douter de cet Oracle?	L'Amant qui voit pour lui franchir un tel obstacle, boit j'impunément douter de cet Oracle?
Et n’eſt il pas coupable, alors qu’il ne croit pas, Ce qu’on ne dit jamais qu’aprés de grands combats.	Et n'est il pas coupable, alors qu'il ne croit pas, Ce qu'on ne dit jamais qu'après de grands combats.
ELISE.	ÉLISE.
Moy, je tiens que toûjours un peu de déſiance, En ces occaſions n’a rien qui nous offence;	Moi, je tiens que toujours un peu de désiance, En ces occasions n'a rien qui nous offense;
Et qu’il eſt dangereux qu’un cœurqu’on a charmé, Soit trop perſuade, Madame, d’eſtre aimé.	Et qu'il est dangereux qu'un cœurqu'on a charmé, Soit trop persuade, Madame, d'être aimé.
Si.	Si.
D.	D.
ELUIRE.	ÉLUIRE.
N’en diſputons plus, chacun a ſa penſée, C’eſt un ſcrupule, enfin, dont mon ame eſt bleſſée;	N'en disputons plus, chacun a sa pensée, C'est un scrupule, enfin, dont mon âme est blessée;
Et contre mes deſirs, je ſens je ne ſçay quoy, Me prédire un éclat entre le Prince & moy;	Et contre mes désirs, je sens je ne sais quoi, Me prédire un éclat entre le Prince et moi;
Qui maigle ce qu'on uoit dun vertus dont il brille.	Qui maigle ce qu'on uait dun vertus dont il brille.
Mais ô Ciel!	Mais ô Ciel!
en ces lieux, D.	en ces lieux, D.
Sylve de Caſtille;	Sylve de Castille;
Ah!	Ah!
Seigneur, par quel ſort vous vois-je maintenant?	Seigneur, par quel sort vous vois-je maintenant?
SCENE II.	SCÈNE II.
D.	D.
SYLVE, D.	SYLVE, D.
ELUIRE, ELISE.	ÉLUIRE, ÉLISE.
D.	D.
SYLVE.	SYLVE.
E ſçay que mon abord, Madame, eſt ſurprenant, J Et qu’eſtre ſans éclat entré dans cette ville, Dont l’ordre d’un Rival rend l'accez difficile;	É sais que mon abord, Madame, est surprenant, JU Et qu'être sans éclat entré dans cette ville, Dont l'ordre d'un Rival rend l'accès difficile;
Qu’avoir pû me ſouſtraire aux yeux de les Solduts, C’eſt C’eſt un évenement que vous n’attendiezapas, Maisſij’ay dans ces lieux franchi quelques obſtacles I'ardeur de vous revoir peut bien d’autres miracles, Tout mon cœur a ſenti par de trop rudes coups Le rigoureux deſtin d’eſtre éloigné de vous;	Qu'avoir pu me soustraire aux yeux de les Solduts, C'est C'est un événement que vous n'attendiezapas, Maissij’ay dans ces lieux franchi quelques obstacles J'ardeur de vous revoir peut bien d'autres miracles, Tout mon cœur a senti par de trop rudes coups Le rigoureux destin d'être éloigné de vous;
Et je n’ay pû nier au tourment qui le tuë, Quelques momens ſecrets d’une ſi chere veuë.	Et je n'ai pu nier au tourment qui le tue, Quelques momens secrets d'une si chère vue.
Je viens vous dire donc que je rends grace aux Cieux.	Je viens vous dire donc que je rends grâce aux Cieux.
De vous voir hors des mains d’un Tyran odieux;	De vous voir hors des mains d'un Tyran odieux;
Mais parmy les douceurs d’une telle avanture, Ce qui m’eſt un ſujet d’éternelle torture, C’eſt de voir qu’à mon bras les rigueurs de mon ſort Ont envié l’honneur de cet illuſtre effort, Et fait à mon Rival, avec trop d’injuſtice, Offrir les doux perils d’un ſi fameux ſervice;	Mais parmi les douceurs d'une telle aventure, Ce qui m'est un sujet d'éternelle torture, C'est de voir qu'à mon bras les rigueurs de mon sort Ont envié l'honneur de cet illustre effort, Et fait à mon Rival, avec trop d'injustice, Offrir les doux périls d'un si fameux service;
Oüy, Madame, j’avois pour rompre vos liens Des ſentimens ſans doute auſſi beaux que les ſiens;	Oui, Madame, j'avois Madame rompre vos liens Des sentiments sans doute aussi beaux que les siens;
Et je pouvois pour vous gagner cette victoire, Si le Ciel n’euſt voulu m’en dérober la gloire.	Et je pouvais pour vous gagner cette victoire, Si le Ciel n'eût voulu m'en dérober la gloire.
D.	D.
ELUIRE.	ÉLUIRE.
Je ſçay, Seigneur, je ſçay, que vous avez un cœur, Qui des plus grands perils vous peut rendre vainqueur;	Je sais, Seigneur, je sai, que vous avez un cœur, Qui des plus grands périls vous peut rendre vainqueur;
Et je ne doute point que ce genereux zele, Dont la chaleur vous pouſſe à vanger ma querelle, N’euſt contre les efforts d’un indigne projet Pû faire en ma faveur tout ce qu’un autre a fait, Mais ſans cette action, dont vous eſtiez capable, Mon ſort à la Caſtille eſt aſſez redevable;	Et je ne doute point que ce généreux zèle, Dont la chaleur vous pousse à venger ma querelle, N'eût contre les efforts d'un indigne projet Pû faire en ma faveur tout ce qu'un autre a fait, Mais sans cette action, dont vous étiez capable, Mon sort à la Castille est assez redevable;
On ſçait ce qu’en amy, plein d’ardeur & de foy, Le Comte voſtre Pere a fait pour le feu Roy.	On sais ce qu'en ami, plein d'ardeur et de foi, Le Comte votre Père a fait pour le feu Roi.
Aprés l’avoir aidé, juſqu’à l’heure derniere, Il donne en ſes Eſtats un azile à mon Frere.	Après l'avoir aidé, jusqu'à l'heure dernière, Il donne en ses États un asile à mon Frère.
Quatre Luſtres entiers, il y cache ſon ſort, Aux barbares fureurs de quelque lache effort;	Quatre Lustres entiers, il y cache son sort, Aux barbares fureurs de quelque lâche effort;
Et pour rendre à ſon Hont reciat d'une couromne, Cantre nos raviſieurs vous marchez en perſonne.	Et pour rendre à son Hont réciat d'une couromne, Cantre nos ravisieurs vous marchez en personne.
N’eſtesN’eſtes-vous pas content, & ces ſoins genereux, Ne m’attachent-ils point par d’aſſez puiſſans nœuds?	N'êtesN'êtes-vous pas content, et ces soins généreux, Ne m'attachent-ils point par d'assez puissants nœuds?
Quoy voſtre ame, Seigneur, ſeroit-elle obſtinée A vouloir aſſervir toute ma deſtinée;	Quoy Votre âme, Seigneur, serait-elle obstinée À vouloir asservir toute ma destinée;
Et faut-il que jamais il ne tombe ſur nous L’ombre d’un ſeul bien-fait qu’il ne vienne de vous ?	Et faut-il que jamais il ne tombe sur nous L'ombre d'un seul bienfait qu'il ne vienne de vous ?
poſe, Ah!	pose, Ah!
ſouffrez dans les maux, où mon deſtin m’exQu’aux ſoins d’un autre auſſi, je doive quelque choſe :	souffrez dans les maux, où mon destin m'exQu'aux soins d'un autre aussi, je doive quelque chose :
Et ne vous plaignez point de voir un autre bras, Acquerir de la gloire, où le voſtre n’eſt pas.	Et ne vous plaignez point de voir un autre bras, Acquérir de la gloire, où le vôtre n'est pas.
D.	D.
SYLVE.	SYLVE.
Oüy, Madame, mon cœur doit ceſſer de s’en plaindre, Avec trop de raiſon vous voulez m’y contraindre, Et c’eſt injuſtement qu’on ſe plaint d’un malheur, Quand un autre plus grand s’offre à noſtre douleur.	Oui, Madame, mon cœur doit cesser de s'en plaindre, Avec trop de raison vous voulez m'y contraindre, Et c'est injustement qu'on se plaint d'un malheur, Quand un autre plus grand s'offre à notre douleur.
Ce ſecours d’un Rival m’eſt un cruel martyre;	Ce secours d'un Rival m'est un cruel martyre;
Mais, helas!	Mais, hélas!
de mes maux, ce n’eſt pas là le pire, Le coup, le rude coup, dont je ſuis atterré, C’eſt de me voir par vous ce Rival preferé.	de mes maux, ce n'est pas là le pire, Le coup, le rude coup, dont je suis atterré, C'est de me voir par vous ce Rival préféré.
re Oüy, je ne vois quetrop, que ſes feux pleints de gloiSur les miens dans vôtre ame emportent la victoire;	re Oui, je ne vois quetrop, que ses feux pleins de gloiSur les miens dans votre âme emportent la victoire;
Et cette occaſion de ſervir vos appas, Cet avantage offert de ſignaler ſon bras, Cet éclatant exploit qui vous fut ſalutaire, N’eſt que le pur effet du bonheur de vous plaire;	Et cette occasion de servir vos appas, Cet avantage offert de signaler son bras, Cet éclatant exploit qui vous fut salutaire, N'est que le pur effet du bonheur de vous plaire;
Que le ſecret pouvoir d’un aſtre merveilleux, Qui fait tomber la gloire, où s’attachent vos vœux.	Que le secret pouvoir d'un astre merveilleux, Qui fait tomber la gloire, où s'attachent vos vœux.
Ainſi tous mes efforts ne ſeront que fumée, Contre vos fiers Tyraiis je conduis une armée.	Ainsi tous mes efforts ne seront que fumée, Contre vos fiers Tyraiis je conduis une armée.
Mais je marche en tremblant à cet illuſtre employ, Aſſuré que vos vœux ne ſeront pas pour moy, Et que s’ils ſont ſuivis, la fortune prepare (re.	Mais je marche en tremblant à cet illustre emploi, Assuré que vos vœux ne seront pas pour moi, Et que s'ils sont suivis, la fortune prépare (re.
