ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
Nous ſçavons toutes deux ce qu’il faut taire, ou dire, Et n’avons pas beſoin ſur ce point de leçons.	Nous Savons toutes deux ce qu'il faut taire, ou dire, Et n'avons pas besoin sur ce point de leçons.
Le Zéphire enleve les deux Sœurs de Pſiché dans iin nüage qui deſcend juſqu’à terre, & dans lequel il les emporte avec raptaite.	Le Zéphire enlève les deux Sœurs de Psiché dans jin nuage qui descend jusqu'à terre, et dans lequel il les emporte avec rapaite.
SCENE III.	SCÈNE III.
L’AMOUR, PSICHE'	L'AMOUR, PSICHÉE
L'AMOUR.	L'AMOUR.
Nfin vous êtes ſeule;	Nfin vous êtes seule;
& je puis vous redire, L Sans avoir pour témoins vos importunes Sœurs, Ce que des yeux ſi beaux ont pris ſur mot d’empire, Et quel excés ont les douceurs Qu’une ſincere ardeur inſpire Si-tôt qu’elle aſſemble deux cœurs.	et je puis vous redire, L Ans avoir pour témoins vos importunes Sœurs, Ce que des yeux si beaux ont pris sur mot d'empire, Et quel excès ont les douceurs Qu'une sincère ardeur inspire Si-tôt qu'elle assemble deux cœurs.
Je puis vous expliquer de mon ame ravie Les amoureux empreſſemens,  Et vous jurer qu’à vous ſeule aſſervie Elle n’a pour objet de ces raviſſemens, Que de voir cette ardeur de même ardeur ſuivie Ne concevoir plus d’autre envie Que de iegler mes vœux ſur vos deſirs, Et de ce qui vous prart rane tous mes plaiſirs.	Je puis vous expliquer de mon âme ravie Les amoureux empressements, Et vous jurer qu'à vous seule asservie Elle n'a pour objet de ces ravissements, Que de voir cette ardeur de même ardeur suivie Ne concevoir plus d'autre envie Que de iegler mes vœux sur vos désirs, Et de ce qui vous prart rane tous mes plaisirs.
Mais d’où vient qu’un triſte nuage Semble offuſquer l’éclat de ces beaux yeux?	Mais d'où vient qu'un triste nuage Semble offusquer l'éclat de ces beaux yeux?
Vous manque-t-il quelque choſe en ces lieux?	Vous manque-t-il quelque chose en ces lieux?
Des vœux qu’on vous y rend dédaignez vous l’homSTCHE'.	Des vœux qu'on vous y rend dédaignez -vous l'homSTCHÉE.
mage?	mage?
Non, Seigneur.	Non, Seigneur.
lap a Mouo.	lap a Mouo.
L'AMOUR.	L'AMOUR.
Qu'eſt ce donc, & d’où vient mon malheur!	Qu'est ce donc, et d'où vient mon malheur!
J’entens moins de ſoûpirs d’amour que de douleur, Je voi de vôtre teint les roſes amorties Marquer un déplaiſir ſecret;	J'entends moins de soupirs d'amour que de douleur, Je voi de votre teint les roses amorties Marquer un déplaisir secret;
Vos Sœurs à peine ſont parties, Que vous ſoûpirez de regret!	Vos Sœurs à peine sont parties, Que vous soupirez de regret!
Ah, Pſiche, de deux cœurs quãd l’ardeur eſt la même, Ont-ils des ſoûpirs differens;	Ah, Psiche, de deux cœurs quand l'ardeur est la même, Ont-ils des soupirs différents;
Et quand on aime bien, & qu’on voit ce qu’on aime, Peut-on ſonger à des Parens?	Et quand on aime bien, et qu'on voit ce qu'on aime, Peut-on songer à des Parents?
SICHE'.	SICHÉE.
Ce n’eſt point là ce qui m’afflige.	Ce n'est point là ce qui m'afflige.
L AMOOR Eſt-ce l’abſcence d’un Rival, Et d’un Rival aimé qui fait qu’on me neglige?	 AMOOR Est-ce l'abscence d'un Rival, Et d'un Rival aimé qui fait qu'on me néglige?
SICHE'.	SICHÉE.
Dans un cœur tout à vous que vous penetrez mal?	Dans un cœur tout à vous que vous pénétrez mal?
Je vous aime, Seigneur, & mon amour s’irrite De l’indigne ſoupçon que vous avez formé:	Je vous aime, Seigneur, et mon amour s'irrite De l'indigne soupçon que vous avez formé:
Vous ne connoiſſez pas quel eſt vôtre merite, Si vous craignez de n’être pas aimé Je vous aime, & depuis que j’ay veu la lumiere, Je me ſuis montrée aſſez fiere.	Vous ne connaissez pas quel est votre mérite, Si vous craignez de n'être pas aimé Je vous aime, et depuis que j'ai vu la lumière, Je me suis montrée assez fière.
Pour dédaigner les vœux de plus d’un Roy:	Pour dédaigner les vœux de plus d'un Roi:
Et s’il vous faut ouvrir mon ame toute entiere, Je n’ay trouvé que vous qui fut digne de moi.	Et s'il vous faut ouvrir mon âme toute entière, Je n'ai trouvé que vous qui fut digne de moi.
Cependant j’ay quelque triſteſſe Qu’en vain je voudrois vous cacher, Un noir chagrin ſe mêle à toute ma tendreſſe, Dont je ne la puis detacher.	Cependant j'ai quelque tristesse Qu'en vain je voudrais vous cacher, Un noir chagrin se mêle à toute ma tendresse, Dont je ne la puis détacher.
Ne m’en demandez point la cauſe, Peut-être la ſçachant, voudrez-vous m’en punis Et ſi j’oſe aſpirer encor à quelque choſe, Je luis leurc du moins de ne point l’obtenire	Ne m'en demandez point la cause, Peut-être la sçachant, voudrez-vous m'en punis Et si j'ose aspirer encor à quelque chose, Je luis leurc du moins de ne point l'obtenire
L’AMOUR.	L'AMOUR.
Et ne craignez-vous point qu’à mon tour je m’irrite, Que vous connoiſſiez mal quel eſt vôtre merite, Ou feigniez de ne pas ſçavoir Quél eſt ſur moi vôtre abſolu pouvoir ?	Et ne craignez-vous point qu'à mon tour je m'irrite, Que vous connaissiez mal quel est votre mérite, Ou feigniez de ne pas savoir Quel est sur moi votre absolu pouvoir ?
Ah ſi vous en doutez, ioyez derabuſée, Pailez.	Ah si vous en doutez, joyez derabusée, Pailez.
1 4	1 4
I1OIuI.	I1OII.
J’aurai l’affront de me voir refuſée.	J'aurai l'affront de me voir refusée.
L’AMOUR.	L'AMOUR.
Prenez en ma faveur de meilleurs ſentimens, L’experience en eſt aiſée;	Prenez en ma faveur de meilleurs sentiments, L'expérience en est aisée;
Parlez, tout ſe tient prêt à vos commandemens.	Parlez, tout se tient prêt à vos commandements.
Si pour m’en croire il vous faut des ſermens.	Si pour m'en croire il vous faut des serments.
J’en jure vos beaux yeux, ces maîtres de mon ame, Ces divins autheurs de ma flame;	J'en jure vos beaux yeux, ces maîtres de mon âme, Ces divins auteurs de ma flamme;
Et ſi ce n’eſt aſſez d’en jurer vos beaux yeux, J’en jure par le Styx, comme jurent les Dieux.	Et si ce n'est assez d'en jurer vos beaux yeux, J'en jure par le Styx, comme jurent les Dieux.
SICHE'.	SICHÉE.
J’oſe craindre un peu moins apres cette aſſurance.	J'ose craindre un peu moins après cette assurance.
Seigneur, je vois icy la pompe & l’abondance, Je vous adore, & vous m’aimez, Mon cœur enent fary;	Seigneur, je vois ici la pompe et l'abondance, Je vous adore, et vous m'aimez, Mon cœur enent sari;
mes ſens en ſont charmez;	mes sens en sont charmés;
Mais parmy ce bonheur ſupréme j'ay te marneur de neſçavonr qui j’aime.	Mais parmi ce bonheur suprême j'ai te marneur de nesçavonr qui j'aime.
Diſſipez cet aveuglement.	Dissipez cet aveuglement.
Et faites-moi connoiſtre un ſi parfait Amant.	Et faites-moi connaître un si parfait Amant.
L’AMOUR.	L'AMOUR.
Pſiché, que venez-vous de dire	Psiché, que venez-vous de dire
ICHE'.	ICHÉE.
Que c’eſt le bonheur où j’aſpire:	Que c'est le bonheur où j'aspire:
Et ſi vous ne me l’accordez.	Et si vous ne me l'accordez.
L’AMOUR.	L'AMOUR.
Je l’ai juré je n’en ſuis, plus le maîtreMais vous ne ſçavez pas ce que vous demandezLaiſſez moi mon ſecret;	Je l'ai juré je n'en suis, plus le maîtreMais vous ne savez pas ce que vous demandezLaissez moi mon secret;
ſi je me fais connoître, Je voue perdoy uemommm perdez.	si je me fais connaître, Je voue perdais emomm perdez.
Le ſeul remede eſt de vous en dedire.	Le seul remède est de vous en dédire.
{RC IEAIT C’eſt là ſur vous mon ſouverain empire?	ÇRC JÉAIT C'est là sur vous mon souverain empire?
L’AIMOUR.	L'AIMOUR.
Vous pouvez tout, & je ſuis tout à vous;	Vous pouvez tout, et je suis tout à vous;
Mais ſi nos feux vous ſemblent doux.	Mais si nos feux vous semblent doux.
Me mettez point d’obſtacle à leur charmante ſuite a Ice me lorcempomt à la Iuite :	Me mettez point d'obstacle à leur charmante suite a Ice me lorcempompt à la Juite :
C’eſt le moindre malheur qui nous puiſſe arriver.	C'est le moindre malheur qui nous puisse arriver.
D’un ſouhait qui vous a ſeduite.	D'un souhait qui vous a séduite.
PSICHE'.	PSICHÉE.
Seigneur, vous voulez m’éprouver, Mais je ſçay ce que j’en doi croire.	Seigneur, vou lez m'éprouver, Mais je sais ce que j'en dois croire.
De grace, aprenez-moi l’excés de ma gloire .	De grâce, apprenez-moi l'excès de ma gloire .
Et ne me euenez plus pour quer frruitte choix.	Et ne me euenez plus pour quer fruitte choix.
J’ai rejetté les vœux de tant de Rois.	J'ai rejetté les vœux de tant de Rois.
Le voulez-vous?	Le voulez-vous?
L’AMOUR.	L'AMOUR.
PSIC HE', Souffrez que je vous en conjure.	PSIC HÉ, Souffrez que je vous en conjure.
Daal ai do Re.	Da ai do Re.
Si vous ſçaviez, Pſiché, la cruelle avanture Que par la vous vous attirez.	Si vous savez, Psiché, la cruelle aventure Que par la vous vous attirez.
SICHE'.	SICHÉE.
Seigneur, vous me deſeſperez.	Seigneur, vous me désespérez.
L’AMOUR.	L'AMOUR.
Penſez-y bien, je puis encor me taire.	Pensez-y bien, je puis encor me taire.
SICHF'.	SICHF'.
Faites-vous des ſermens pour n’y point ſatisftiret	Faites-vous des serments pour n'y point satisftyret
L'AMOUR.	L'AMOUR.
Hé bien, je ſuis le Dieu le plus puiſſant des Dieux, Abſolu ſur la Terre, abſolu dans les Cieux;	Hé bien, je suis le Dieu le plus puissant des Dieux, Absolu sur la Terre, absolu dans les Cieux;
Dans les eaux, dans les airs mon pouvoir eſt ſuptéme En un mot je fuis l’Amour même, Qui de mes, propres traits m’étoitibleſſé pour vous;	Dans les eaux, dans les airs mon pouvoir est suptéme En un mot je fuis l'Amour même, Qui de mes, propres traits m'étoitiblessé pour vous;
Et ſans la violence, helas!	Et sans la violence, hélas!
que vous me faites, Et qui vient de changer mon amour en couroux, Vous m’alliez avoir pour Epoux.	que vous me faites, Et qui vient de changer mon amour en courroux, Vous m'alliez avoir pour Époux.
Vos volontez ſont ſatisfaites, Vous avez ſçeu qui vous aimiez, Vous connnoiſſiez l’Amant que vous charmiez, Pſiché, voyez où vous en êtes.	Vos volontés sont satisfaites, Vous avez su qui vous aimiez, Vous connaissiez l'Amant que vous charmiez, Psiché, voyez où vous en êtes.
Vous me forcez vous-même à vous quitter, Vous me forcez vous-même à vous ôter Tout l’effet de vôtre victoire:	Vous me forcez vous-même à vous quitter, Vous me forcez vous-même à vous ôter Tout l'effet de votre victoire:
Peut-être vos beaux yeux ne me reverront plus;	Peut-être vos beaux yeux ne me reverront plus;
Ce Palais, ces Jardins avec moi diſparus Vont faire évanoüir vôtre naiſſante gloire;	Ce Palais, ces Jardins avec moi disparus Vont faire évanouir votre naissante gloire;
Vous n’avez pas voulu m’en croire;	Vous n'avez pas voulu m'en croire;
Et pour tout fruit de ce doute éclaircy, Le Deſtin ſous qui le Ciel tremble,	Et pour tout fruit de ce doute éclairci, Le Destin sous qui le Ciel tremble,
L'Amour diſparoit, & dans l'inſtant qu’il s'envole, le ſuperbe fardin s’évanoüit.	L'Amour disparaît, et dans l'instant qu'il s'envole, le superbe fardin s'évanoüit.
Pſiché demeure ſeule au milieu d’une vaſte Campagne, & ſur le bord ſauvaga d’un grand Fleuve où e le ſe veut précipiter.	Psiché demeure seule au milieu d'une vaste Campagne, et sur le bord sauvaga d'un grand Fleuve où e le se veut précipiter.
Le Dieu du Fleuve paroît aſſis ſur un amas de ſoncs & de Ro	Le Dieu du Fleuve paraît assis sur un amas de soncs et de Ro
Plus fort que mon atnour, que tous les Dieux enſemVous va montrer ſa haine, & me chaſſe d’icy.	Plus fort que mon atnour, que tous les Dieux ensemUous va montrer sa haine, et me chasse d'ici.
ble,	blé,
e e dAql 1r	 eût dAql 1r
PSICHE', Ruel Deſtin!	PSICHÉE', Ruel Destin!
funeſte inquiétude!	funeste inquiétude!
C Fatale curioſité!	Ç Fatale curiosité!
Qu’avez-vous fait, affreuſe Solitude, De toute ma felicité;	Qu'avez-vous fait, affreuse Solitude, De toute ma félicité;
J’aimois un Dieu, j’en étois adorée, Mon bonheur redoubloit de moment en moment, 1 Et je me voi ſeule, éplorée, Au milieu d’un Deſert, où pour accablement, Et confuſe, & deſeſperée.	J'aimais un Dieu, j'en étais adorée, Mon bonheur redoublait de moment en moment, 1 Et je me voi seule, éplorée, Au milieu d'un Désert, où pour accablement, Et confuse, et désespérée.
Je ſens croitre l’amour, quand j’ar perdu l’Amant, Le ſouvenir m’en charme & m’empoiſonne, Sa douceur tyrranniſe un cœur infortuné Qu’au plus cuiſans chagrins ma flame a condamné.	Je sens croître l'amour, quand j'ar perdu l'Amant, Le souvenir m'en charme et m'empoisonne, Sa douceur tyrrannise un cœur infortuné Qu'au plus cuisants chagrins ma flamme a condamné.
O Ciel!	Ô Ciel!
quand l’amour m’abandonne, Pourquoy me laiſſe-t-il l’amour qu’il m’a donné?	quand l'amour m'abandonne, Pourquoi me laisse-t-il l'amour qu'il m'a donné?
Source de tous les biens inépuiſab e & pure, Maîtte des Hommes & des Dieux, Cher Autheur des maux que j’endure, Etes-vous pour jamais diſparu de mes yeux?	Source de tous les biens inépuisab eût et pure, Maîtte des Hommes et des Dieux, Cher Auteur des maux que j'endure, Ées-vous pour jamais disparu de mes yeux?
Je vous en ai banni moi même;	Je vous en ai banni moi -même;
Dans un exces d’amour, dans un bonheur extréme, Cœur ingrat, tu n’avois qu’un feu mal allumé, Et l’on ne peut vouloir du moment que l’on aime, Que ce que veut l’Objet aimé.	Dans un excès d'amour, dans un bonheur extrême, Cœur ingrat, tu n'avais qu'un feu mal allumé, Et l'on ne peut vouloir du moment que l'on aime, Que ce que veut l'Objet aimé.
Mourons, c’eſt le party qui ſeul me reſte à ſuivre, Apres la perte que je fais.	Mourons, c'est le parti qui seul me reste à suivre, Après la perte que je fais.
Pour qui, grands Dieux, voudrois je vivre, Et pour qui former des ſouhaits?	Pour qui, grands Dieux, voudrais je vivre, Et pour qui former des souhaits?
Fleuve, de qui les eaux baignent ces triſtes fables, Enſevely mon crime dans tes flots, Et pour finir des maux ſi deplorables;	Fleuve, de qui les eaux baignent ces tristes fables, Ensevely mon crime dans tes flots, Et pour finir des maux si déplorables;
Laiſſe-moi dans ton lit aſſurer mon repos.	Laisse-moi dans ton lit assurer mon repos.
LE DIEU DU FLEUVE.	LE DIE DU FLEUVE.
Ton trépas ſoûilleroit mes ondes, Pſiché.	Ton trépas souillerait mes ondes, Psiché.
le Ciel te le défend, Et peut-être qu’apres des douleurs ſi profondes Un autre ſort t'attend.	le Ciel te le défend, Et peut-être qu'après des douleurs si profondes Un autre sort t'attend.
Fui plûtôt de Venus l’implacable colere;	Fui plutôt de Venus l'implacable colère;
de la voy qui de encienc a qui te veut pun, L’amour du Fils a fait la ha ne de la Mere, Fuy, je ſçauray la retenir.	de la vois qui de encienc à qui te veut pun, L'amour du Fils a fait la ha ne de la Mère, Fui, je saurai la retenir.
ICHE' J’attens ſes Fureurs vangereſſes, Qu'auront-elles pour moi qui ne me ſoit trop doux?	ICHE J'attends ses Fureurs vengeresses, Qu'auront-elles pour moi qui ne me soit trop doux?
Qui cherche le trépas, ne craint Dieux, ny Déeſſes, Et peut braver tout leur couroux.	Qui cherche le trépas, ne craint Dieux, ni Déesses, Et peut braver tout leur courroux.
SCLNE II.	SCLNE II.
VENUS, PSICHE'.	VENUS, PSICHÉE'.
*ENUS.	*ENUS.
Rgueilleuſe Pſiché, vous m’oſez donc attendre, O Apres m’avoir ſur Terre enlevé mes honneurs, A pres que vos traits ſuborneurs Ont reçû les ençẽns qu’aux miens ſeuls on doit rendre J’ay veu mes Temples deſertez, j'ai veu tous les Mortels ſéduits par vos beautez Idolâtrer en vous la beauté ſouveraine, Vous offiir des reſpects juſqu’àlors inconnus, Et ne ſe mettre pas en peine s’il étoit une autre Vénus:	Reilleuse Psiché, vous m'osez donc attendre, Ô Pres m'avoir sur Terre enlevé mes honneurs, A pres que vos traits suborneurs Ont reçu les ençẽns qu'aux miens seuls on doit rendre J'ai vu mes Temples désertés, j'ai vu tous les Mortels séduits par vos beautés Idolâtrer en vous la beauté souveraine, Vous offir des respects jusqu'àlors inconnus, Et ne se mettre pas en peine s'il était une autre Vénus:
