An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
Ie veux choiſir l’Antre le plus ſauuage, Pour acheuer le reſte de mon aage, En regrettant vos yeux mes beaux Soleils, Qui n’eurent onc icy bas de pareils, Dont la clarté pour moy ſeul eclipſée, Eſclairera les yeux de ma penſée, Car bien qu’amour n’ait peu vous allumer, Ie ne lairray pourtant de vous aymer Toute ma vie, & malgré voſtre haine, Vous me ſereZ cut ma ioye, où ma peine:	Je veux choisir l'Antre le plus sauvage, Pour achever le reste de mon âge, En regrettant vos yeux mes beaux Soleils, Qui n'eurent onc ici bas de pareils, Dont la clarté pour moi seul eclipsée, Eséeclairera les yeux de ma pensée, Car bien qu'amour n'ait peu vous allumer, Je ne lairrai pourtant de vous aimer Toute ma vie, et malgré votre haine, Vous me sereZ cut ma joie, où ma peine:
Et iour & nuict, i’auray pour mes regrets Ces beaux cheueux, où l’amour tend ſes rets, Et teſte bouche, où tes plus belles Roſes, Sont en Hyuer, comme au Printemps eſcloſes, Inceſſamment deuant mon ſonuenir Ie me verray ces graces reuenir, Qui peurent bien, telle eſtoit leur puiſſance, Dans vos refus arreſter ma conſtance.	Et jour et nuit, j'aurai pour mes regrets Ces beaux cheveux, où l'amour tend ses rets, Et tête bouche, où tes plus belles Roses, Sont en Hiver, comme au Printemps écloses, Incessamment devant mon sonvenir Je me verrai ces grâces revenir, Qui peurent bien, telle était leur puissance, Dans vos refus arrêter ma constance.
Mais las Adieu Hie tarde trop long temps!	Mais las Adieu Hie tarde trop long temps!
Veillent les Cieux bien-heurer vos beaux ans!	Veillent les Cieux bienheurer vos beaux ans!
Touſiours fleuriſſe en vigueur, e lieſſe, Ent jon Oemiu roprt belle ieuneſſe!	Toujours fleurisse en vigueur, e liesse, Ent jon Omiv roproût belle jeunesse!
Et ſi les Dieux, pour vanger mes douleurs, Vouloyent vn iour vous obliger aux pleurs, Puiſſe ma teſte eſtre ſeule en la terre	Et si les Dieux, pour venger mes douleurs, Voulaient un jour vous obliger aux pleurs, Puisse ma tête être seule en la terre
L iij	 Lijà
Lycoris.	Lycoris.
Adieu Paſteur!	Adieu Pasteur!
ſi ce loingtain ſeiour Dedans mes yeux-i’a fait trouuer l’amour, Ie ne puis mais de ta perte aduenuë:	si ce loingtain seiour Dedans mes yeux-jà fait trouver l'amour, Je ne puis mais de ta perte avenue:
Ie ne pouuois me cacher à ta veuë.	Je ne pouvais me cacher à ta vue.
Hylas.	Hylas.
Dure beauté, vous me regrettereZ Lors qu’au tõbeau mes membres vous verreZi Vous pouuieZ bien ſans vous bleſſér voue meſme, Donner remede à ma douleur extreſme, Mais i’attribuë à mon indignité Plus ce refus, qu’à voſtre cruauté.	Dure beauté, vous me regretterez Lors qu'au tombeau mes membres vous verrez Toujours cruauté bien sans vous blesser voue même, Donner remède à ma douleur extrême, Mais j'attribue à mon indignité Plus ce refus, qu'à votre cruauté.
Lycoris.	Lycoris.
Dieu vueille en toy monſtrer ſa prouidence, Et i’apporter remede par l’abſence!	Dieu veuille en toi montrer sa providence, Et j'apporter remède par l'absence!
SCENE .	SCÈNE .
V ATRIESME SECOND ACTE.	V VTRIESME SECOND ACTE.
Hylas.	Hylas.
Echo.	Écho.
Pres auoir de ma Bergere apris, P e mes trauaux n’aurõt que du mépru,	Pres avoir de ma Bergère appris, P ère mes travaux n'auront que du mépru,
Ie m’en vay donc, e telle eſt l’ordonnance De Lycoris, & du ſort qui m’offence!	Je m'en vais donc, eu telle est l'ordonnance De Lycoris, et du sort qui m'offense!
O champs heureux, où i’ay ſi peu reſté!	Ô champs heureux, où j'ai si peu resté!
Et trop long temps!	Et trop long temps!
puis que ma liberté, De tous mes biens le reſte pitoyable, Y giſt perduë, & me rend miſerable!	puis que ma liberté, De tous mes biens le reste pitoyable, Y gît perdue, et me rend misérable!
O terre heureuſe, où feroyent leur ſeiour pluſtoſt qu’en Cypre, & Venus, & l’ Amour!	Ô terre heureuse, où feraient leur séjour plutôt qu'en Cypre, et Venus, et l' Amour!
Seiour plaiſant!	Séjour plaisant!
demeure fortunée!	demeure fortunée!
Non pour te voir des Eaux enuironnée, Non pour auoir ſur tes Monts ſpatieux, Et dans tes bois, le cœur des demi Dieux!	Non pour te voir des Eaux environnée, Non pour avoir sur tes Monts spatieux, Et dans tes bois, le cœur des demi Dieux!
Non pour les bleds qui couronnent tes plaines, Non pour tes fruicts, Boccages & Fontaines, Non pour tes PreZ, eſmailleZ, & fleuris, Mais pour y voir la chaſte Lyeoris, Laquelle eſclaire entre les Paſtorelles, Comme Phebus luit parmy les Eſtoilles!	Non pour les bleds qui couronnent tes plaines, Non pour tes fruits, Boccages et Fontaines, Non pour tes PreZ, émaillez, et fleuris, Mais pour y voir la chaste Lyéoris, Laquelle éclaire entre les Pastorelles, Comme Phebus luit parmi les Étoilles!
O cher pais!	Ô cher pais!
que ne peuuent mes os T’eſtre donneZ par ma mort en depo!	que ne peuvent mes os T'être donnez par ma mort en dépo!
Ma froide cendre encore qu’inſenſible, Y pourroit prendre vn ſomme plus paiſible, Ma Lycoris paſſant peut eſtre vn iour Sur le cercueil d'vn qui l’ayma d' Amour;	Ma froide cendre encore qu'insensible, Y pourrait prendre un somme plus paisible, Ma Lycoris passant peut -être un jour Sur le cercueil d'un qui l'aima d' Amour;
Lyſant deſſus le fatal Epigramme?	Lysant dessus le fatal Épigramme?
Qui de rigueur accuſeroit ſon ame, Etſe voyant la cauſe de ma mort,	Qui de rigueur accuserait son âme, Etse voyant la cause de ma mort,
AO De DergerInconneu, Ne pourroit pas ſe commander ſi fort, Vn prompt ſouſpir ne ſortit par contrainte, Hors de ſa bouche, e peut eſtre vne plainte!	À Deux DergerInconnu, Ne pourrait pas se commander si fort, Un prompt soupir ne sortit par contrainte, Hors de sa bouche, e st être une plainte!
Et moüilleroit ſes beaux yeux tant aymeZ, Pour appaiſer mes Manes enfermeZ.	Et mêlerait ses beaux yeux tant aimés, Pour apaiser mes Manes enfermés.
O fol eſpoir, tu fais vne grand faute, De te promettre vne faueur ſi haute!	Ô fol espoir, tu fais une grand faute, De te promettre un faveur si haute!
Mon noir deſtin eſt trop infortuné Vn tel honneur ne m’eſt point ordonné, Pour aſpirer ceſte gloire indiſcible Ma belle Nymphe a l’humeur trop terrible:	Mon noir destin est trop infortuné Un tel honneur ne m'est point ordonné, Pour aspirer cette gloire indiscible Ma belle Nymphe a l'humeur trop terrible:
Et ſi mes ſeux n’ont peu bruſler ſon cœur, Pourroit ma cendre eſchauffer ſa rigueur?	Et si mes seux n'ont peu brûler son cœur, Pourrait ma cendre échauffer sa rigueur?
Non ie dois eſtre, a ma dure inhumaine Et vif, & mort, la cauſe de ſa haine, Ce qui me doit contraindre à l’eſlongner, O DeiteZ de ces Mons tutelaires, Vous n’orreZ plus mes plaintes ordinaires!	Non grande dois être, à ma dure inhumaine Et vif, et mort, la cause de sa haine, Ce qui me doit contraindre à l'élongner, Ô DeiteZ de ces Mons tutélaires, Vous n'orrez plus mes plaintes ordinaires!
Mes triſtes cris parmy l’air eſpandus Ne ſeront plus dans vos bois entendus!	Mes tristes cris parmi l'air épandus Ne seront plus dans vos bois entendus!
q a anpa d ſaulle ceurounees, Par mes accents ſeront importunées!	q a anpa d aulle ceurounees, Par mes accents seront importunées!
Adieu Rochers qui borneZ ce ſainct lieu Bois, PreZ, Vallons, & Fontaines Adieu.	Adieu Rochers qui bornés ce saint lieu Bois, PreZ, Vallons, et Fontaines Adieu.
ECHO.	ECHO.
Adieu!	Adieu!
Q ECHO.	Q ECHO.
Adieu!	Adieu!
V’oy-iereſpondre à ma plainte mortelle?	V'ois-ierespondre à ma plainte mortelle?
Seroit-ce Echo noſtre Oracle fidelle?	Serait-ce Écho notre Oracle fidèle?
Elle.	Elle.
Tu viens donc plaindre auec moy mon treſpas.	Tu viens donc plaindre avec moi mon trépas.
Et les ennuis du matheureux Hylas?	Et les ennuis du matheureux Hylas?
Las!	Las!
tu me plains!	tu me plains!
mon mal qui t’eſt notoire Las.	mon mal qui t'est notoire Las.
Apeumollir ton ſein blanc comme Yuotre.	Apeumollir ton sein blanc comme Yvotre.
Voire.	Voire.
O belle Echo qui me vas eſcoutant, Que de douleurs mon cœur vont agitant!	Ô belle Écho qui me vas écoutant, Que de douleurs mon cœur vont agitant!
Tant.	Tant.
Or ie m'abſente, & prés mon ennemie Qu'euſt eu mon ame, en ſes beaux yeuxrauie?	Or ie m'absente, et près mon ennemie Qu'eût eu mon âme, en ses beaux yeuxravie?
Vie.	Vie.
Et quel ſuccez pourroit auoir mon ſort, Quittant ce lieu dont le regret me mord?	Et quel succès pourrait avoir mon sort, Quittant ce lieu dont le regret me mord?
Mort.	Mort.
Et demeurant en lieu qui tant me plaiſe, Quel fruit aura ma fortune mauuaiſe?	Et demeurant en lieu qui tant me plaise, Quel fruit aura ma fortune mauvaise?
Ie ne te croy:	Je ne te crois:
ſon cœur non ſatisfait Aiſe.	son cœur non satisfait Aise.
De me geſner ſon plus beau renom fait.	De me gêner son plus beau renom fait.
Non fait.	Non fait.
Que ſeroit donc, ô voix qui me conſole, Son ame, à qui tant de ſouſpirs i’immole?	Que serait donc, ô voix qui me console, Son âme, à qui tant de soupirs j'immole?
Molle.	Molle.
Son cœur, n’aguere en mes maux reſiouy, S’eſt fait plus mol apres m’auoir ouy?	Son cœur, n'aguère en mes maux réjoui, S'est fait plus mol après m'avoir oui?
Doy-ie aduancer?	Dois-je avancer?
le Ciel qui me regarde, Ouy.	le Ciel qui me regarde, Oui.
D’vn mauuais œil, ne veut que ie retarde.	D'un mauvais œil, ne veut que Ne retarde.
Tarde.	Tarde.
Mais celle-là qui me rend tout tranſi, Par ſes rigueurs, ve le veut pas ainſi?	Mais celle-là qui me rend tout transi, Par ses rigueurs, ve le veut pas ainsi?
Qu’ay-ie laiſſé dans ſes yeux plains de charmes, * M’eſlongnãt d’elle entre cẽt mille allarmes?	Qu'ai-je laissé dans ses yeux plains de charmes, * M'eslongnãt d'elle entre consomme mille alarmes?
Larmes.	Larmes.
Larmes?	Larmes?
ô Dieu!	ô Dieu!
mais dy finallement, Puis-ie attirer ce fer par quelque Eymant?	mais dis finallement, Puis-je attirer ce fer par quelque Eimmant?
Aymant.	Aimant.
I’aymeray donc quand ie deurois moy-meſme Mourir cent fois en ce peril extreſme.	J'aimerai donc quand ici devrais moi-même Mourir cent fois en ce péril extrême.
M Eme.	M Même.
Diuers aduis en mes amours conjoint!	Divers avis en mes amours conjoint!
Ma Lycoris dit qu’elle n’ayme point, Qu’en la ſeruant i’appriuoiſe vne Fere, Ceſte autre icy me dit tout le contraire:	Ma Lycoris dit qu'elle n'aime point, Qu'en la servant j'apprivoise une Fère, Cette autre ici me dit tout le contraire:
Qui de ces deux me dit la verité?	Qui de ces deux me dit la vérité?
C'eſt Lycoris:	C'est Lycoris:
car de ſa volonté 2 Non d’vn Rocher deſpend ma deſtinee.	car de sa volonté 2 Non d'un Rocher dépend ma destine.
Echo, cent fois le iour importunée, Par les Bergers les trompe a tous propos, Et ſon menſonge engendre ſon repos.	Écho, cent fois le jour importunée, Par les Bergers les trompe à tous propos, Et son mensonge engendre son repos.
Là pauure Echo, par ſa reſponce vaine, Trompant mon cœur, penſe tromper ma peine;	Là pauvre Écho, par sa réponce vaine, Trompant mon cœur, pense tromper ma peine;
Et reculer le deſeſpoir ſanglant, Dont la fureur ma raiſon aueuglant, Ne repreſente à mon proche voyage Qu'horreurs, & morts, que perte, e que naufrage.	Et reculer le désespoir sanglant, Dont la fureur ma raison aveuglant, Ne représente à mon proche voyage Qu'horreurs, et morts, que perte, e que naufrage.
Gentille Echo, trop belle pour Narcys, Las!	Gentille Écho, trop belle pour Narcis, Las!
pleuſt à Dieu, que les Cieux endurcis, Dont la fureur ſur mon chef ſe décoche, Euſſent changé mon corps en ceſte roche, Pour t’y loger;	plût à Dieu, que les Cieux endurcis, Dont la fureur sur mon chef se décoche, Eussent changé mon corps en cette roche, Pour t'y loger;
car außi bien mon ſort, Et mes malheurs, te reſſemblent bien fort.	car aussi bien mon sort, Et mes malheurs, te ressemblent bien fort.
Par ton aduis ma fortune aduertie, Ne tardera pourtant ma departie:	Par ton avis ma fortune avertie, Ne tardera pourtant ma départie:
Vn point me reſte:	Un point me reste:
il faut prendre congé De ces Paſteurs, qui m'ont tant obligé.	il faut prendre congé De ces Pasteurs, qui m'ont tant obligé.
„ Il ne faut pas qu'vn Hylas pitoyable Demeure ingrat, comme il eſt miſerable:	„ Il ne faut pas qu'une Hylas pitoyable Demeure ingrat, comme il est misérable:
Ie vay les voir en ce champeſtre lieu Pour leur donner le Bonjour, & l’Adieu.	Je vais les voir en ce champêtre lieu Pour leur donner le Bonjour, et l'Adieu.
SCENE CINQVIESME DV SECOND ACTE.	SCÈNE CINQUIÈME DU SECOND ACTE.
Lycoris.	Lycoris.
Myrthine.	Myrthine.
M Lycoris.	M Mycoris.
Ay peu ſouffrir, ſans reſpandre vne larme, Qu'il s’en allaſt:	Ai peu souffrir, sans répandre une larme, Qu'il s'en allât:
que la nature m’arme De cruauté!	que la nature m'arme De cruauté!
que mon ſuperbe ſein Couure en ſa glace vn merueilleux deſdair!	que mon superbe sein Couvre en sa glace un merveilleux dédair!
Ie me veux mal d’eſtre tant inhumaine:	Je me veux mal d'être tant inhumaine:
Et mon cœur meſme abhorre außi ma haine.	Et mon cœur même abhorre aussi ma haine.
Fille cruelle!	Fille cruelle!
il faut que la rigueur I’aiſt mis au ſein vn roe, au lieu d’vn eœur.	il faut que la rigueur J'ait mis au sein un roe, au lieu d'un eœur.
Ieune on te fiſt tetter la felonnie, Ou quelque Tygre aux deſeris d’Hyrcanie, Puis que tu peux, voyant tant d’amitié,	Jeune on te fît téter la félonnie, Ou quelque Tibre aux déséris d'Hircanie, Puis que tu peux, voyant tant d'amitié,
24 Le Berger Inconneu, Eſtre inſenſible aux coups de la pitié!	24 Le Berger Inconnu, Être insensible aux coups de la pitié!
Mais las que dis ie ?	Mais las que disgrès ?
au milieu de mon ame Ie ſens bruſler cruellement ſa flamme!	au milieu de mon âme Je sens brûler cruellement sa flamme!
S’il ne la veu, c’eſt ma diſcretion Qui luy vouloit couurir ma paßion, », Car ç’euſt eſté choſe bien mal ſeante, » D’vn premier coup de me dire eſtre Amãte, 3 Vn grand guerrier, dans vn mur enfermé, „ Ne ſe rend pas ſi toſt qu’il eſt ſommé, », A tout le moins auant qu’il ſe deſarme, 7 Où qu’il compoſe, il endure vne alarme:	il ne la , est ma discrétion Qui lui vouloit couurir ma passion, », Car eût esté chose bien mal séante, » premier coup de me dire être Amãte, 3 grand guerrier, dans mur enfermé, Ne se rend pas si tôt S'il ne somméa vu, C' est ma moins auant Quil se desarme, 7 Ouvrir ma passion, il endure Ç alarme:
» Et la prudence à ceder aux guerriers, " En temps & lieu, n’arrache nos Lauriers.	" Et la prudence à céder aux guerriers, " En temps et lieu, n'arrache nos Lauriers.
Mais las ie crains, qu’en differant ſon aide, Il n’aiſt pluſtoſt la mort, que le remede!	Mais las était crains, qu'en différant son aide, Il n'ait plutôt la mort, que le remède!
Et puis l’abſence à iamais de ces lieux, Et de mon cœur, eclipſe ſes beaux yeux!	Et puis l'absence à jamais de ces lieux, Et de mon cœur, eclipse ses beaux yeux!
Il va mourir en quelque Antre ſauuage, Où deteſtant mon rebelle courage.	Il va mourir en quelque Antre sauvage, Où détestant mon rebelle courage.
Et conteſtant l’inexorable ſort, Il l’aigrira pour luy vanger ſa mort, Mais gardons bien d’eſtre, en ce point doutable, A nous cruelle, & vers luy pitoyable, Et qu’en tirant vn autre de danger, Au danger meſme il nous faille plonger.	Et contestant l'inexorable sortable, Il l'aigrira pour nous manger sa mort, Mais gardons bien d'être, en ce point doutable, À nous cruelle, et vers lui pitoyable, Et qu'en tirant un autre de danger, Au danger amour il nous faille plonger.
Et puis voicy ce Doralis, qui penſe	Et puis voici ce Doralis, qui pense
Tenir	Tenir
Tenir ma foy, bien que ſans apparence.	Tenir ma foi, bien que sans apparence.
Que de penſers me viennent expoſer Au deſeſpoir, pour me tiranniſer!	Que de pensers me viennent exposer Au désespoir, pour me tyranniser!
Et que pour eſtre en tout irreſoluë, Diuers deſſains s’offrent deuant ma veuë!	Et que pour être en tout irrésolue, Divers dessains s'offrent devant ma vue!
