Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
L’OREADE.	L'ORÉADE.
Tout ce que i’en ay peu ſçauoir (Philodice) c’eſt que ſon Maiſtre & luy, ſe meirent ſur mer, auec deſſain de s’en aller en vn païs fort loingtain, qu’on nomme l’Arabie heureuſe.	Tout ce que j'en ai peu savoir (Philodice) c'est que son Maître et seigneur, se meirent sur mer, avec dessain de s'en aller en un pays fort loingtain, qu'on nomme l'Arabie heureuse.
Mais voilà nos diſcours finis touchant ceſte matiere;	Mais voilà nos discours finis touchant cette matière;
reuenons maintenant à Cleanthe, le retour de laquelle me met fort en peine, & ie ſuis d’auis pour moy, que nous ſoyons quelque temps ſans rien dire:	revenons maintenant à Cléanthe, le retour de laquelle me met fort en peine, et quelque suis d'avis pour moi, que nous soyons quelque temps sans rien dire:
car poſſible nous pourrions bien l’ouïr.	car possible nous pourrions bien l'ouïr.
PHILOD.	PHILOD.
Ie ſuis bien trompee, ſi ie ne viens d’ouyt vne trompe, le ſon de laquelle aproche fort de celle de Cleanthe.	Je suis bien trompe, si ici ne viens d'ouit un trompe, le son de laquelle approche fort de celle de Cléanthe.
C’eſt elle ſans doute;	C'est elle sans doute;
i'en ſuis certaine.	j'en suis certaine.
Voulez-vous que ie luy reſponde auec la mienne?	Voulez-vous que ie cy réponde avec la mienne?
L’OREADE.	L'ORÉADE.
Il ne ſera pas mauuais, Philodice;	Il ne sera pas mauvais, Philodice;
& ce faiſant, nous pourrons l’attirer à nous.	et ce faisant, nous pourrons l'attirer à nous.
Enttouite neſponu ut fatrompeu oueuie, tran, tran, tran, tran, &c.	Entouite nesponu ut fatrompeu oueuie, tran, tran, tran, tran, etc.
L’OREADE.	L'ORÉADE.
Ceſſez, Philodice, Ie l’ay decouuerte en l’oree de ce bois.	Cessez, Philodice, Je l'ai découverte en l'orée de ce bois.
La voicy venir droit à nous.	La voici venir droit à nous.
Où auez vous eſté ſi long temps, Cleallencnumodioe de moyy rous croyons deſja perduë, ou qu’il ne vous fuſt arriué quelque mal-encontre.	Où avez vous été si long temps, Cleallencnumodioe de moii rous croyons déjà perdue, ou qu'il ne vous fût arrivé quelque mal-encontre.
CLEANT.	CLÉANT.
Ie m’eſtonne moy meſme, comme ie ſuis ſi toſt reuenüe à vous, car veu le chemin que i’ay faict, & les rencontres qui m’ont retardee, la naico me deuole larprendre auant mon retour.	Je m'étonne moi -même, comme je suis si tôt revenue à vous, car vue le chemin que j'ai fait, et les rencontres qui m'ont retardée, la naico me dévole larprendre avant mon retour.
Ie vous aſſeure que ie n’ay ceſſé de me trauailler, & de courre de part & d’autre depuis que vous ne m’auez veüe.	Je vous assure que je n'ai cessé de me travailler, et de courre de part et d'autre depuis que vous ne m'avez vue.
L’OREADE.	L'ORÉADE.
Vous auez tort auſſi de vous eſtre ſi long temps arreſtée apres vn animal, qui eſt, comme vous ſçauez, inuincible à la peine ainſi qu’à lacour ſe.	Vous avez tort aussi de vous être si long temps arrêtée après un animal, qui est, comme vous savez, invincible à la peine ainsi qu'à lacour se.
CLEANT.	CLÉANT.
Il me faſchoit de laiſſer les chiens tous ſeuls, de peur qu’ils ne ſe perdiſſent ou qu’ils ne fuſſent la proye des loups.	Il me fâchait de laisser les chiens tous seuls, de peur qu'ils ne se perdissent ou qu'ils ne fussent la proie des loups.
Voylà pourquoy i’ay ſonné le greſle, & les ay r’acouplez, ſi toſt qu’ils ſont tumbez en defaut.	Voilà pourquoi j'ai sonné le grêle, et les ai racouplés, si tôt qu'ils sont tombez en défaut.
Et ayant rencontré de fortune lé Berger Alexis, ie l’ay prié de les remmener.	Et ayant rencontré de fortune lé Berger Alexis, tu l'ai prié de les remmener.
Or d’autant que ie me doutois bien à pen près, que vous n’auriez pas encore repris le chemin du logis, ie me ſuis remiſe en deuoir de vous cercher de tous coſtez.	Or d'autant que ainsi me doutais bien à pen près, que vous n'auriez pas encore repris le chemin du logis, votre me suis remise en devoir de vous cercher de tous côtés.
Mais il faut que ie vous die;	Mais il faut que je vous die;
la plaiſante rencontre que i'’ay faicte, lors que i’y penſois le moins.	la plaisante rencontre que j'ai faite, lors que j'y pensais le moins.
L’OR.	L'OR.
Haſtez-vous de le dire (Cleanthe) & ne nous tenez plus en haleine.	Hâtez-vous de le dire (Cleanthe) et ne nous tenez plus en haleine.
CLEANT.	CLÉANT.
Ayez donc la patiẽce que ie ſois aſſiſe.	Ayez donc la patience que je sois assise.
Car ieme ſens ſi laſſé d’auoir couru, que ie n’en puis plus.	Car Ume sens si lassé d'avoir couru, que sans n'en puis plus.
C’eſt qu’apres auoir faict pluſieurs deſtours dans le bois, comme i’en eſtois preſque dehors, i’ay rencontré mon vieil Seruiteur Aronthe, lequel ie n’auois veu depuis deux ans.	C'est qu'après avoir fait plusieurs détours dans le bois, comme j'en étais presque dehors, j'ai rencontré mon vieil Serviteur Aronthe, lequel Seigneur n'avais vu depuis deux ans.
L’OR.	L'OR.
Ceſte rencontre a eſté bien inopinee, Cleanthe, & ie voudrois fort ſçauoir quelles careſſes il vous a faites d’abord, enſemble quels diſcours il vous a tenus.	Cette rencontre a été bien inopinée, Cléanthe, et et voudrois fort savoir quelles caresses il vous a faites d'abord, ensemble quels discours il vous a tenus.
CLEANT.	CLÉANT.
Ie paſſois outre, auec deſſein de voir s’il m’aperceuroit;	Je passais outre, avec dessein de voir s'il m'aperceuroit;
lors que iettant ſa veüe ſur moy, fon triſte maintien & ſes careſſes aſſez froides, m’ont faict iuger auſſi toſt, qu’il auoit, comme l’on dict, quelque choſe en teſte.	lors que jetant sa vue sur moi, son triste maintien et ses caresses assez froides, m'ont fait juger aussi tôt, qu'il avait, comme l'on dit, quelque chose en tête.
Tellement que la curioſité m’a forcee de luy demander, d’où procedoit la cauſe de ſes ennuys, & cette ſi maigre mine qu’il me faiſoit.	Tellement que la curiosité m'a forcée de peine demander, d'où procédait la cause de ses ennuis, et cette si maigre mine qu'il me faisait.
A quoy il m’a reſpondu en ces meſmes termes.	À quoi il m'a répondu en ces mêmes termes.
Ie ſuis tout eſmeu Cleanthe, d’vne ſi fauorable rencontre, & fort affligé d’ailleurs du triſte accident ſuruenu depuis trois heures en ça, non à moy, mais à mon cher compagnon Pyrandre.	Je suis tout ému Cléanthe, d'une si favorable rencontre, et fort affligé d'ailleurs du triste accident survenu depuis trois heures en ça, non à moi, mais à mon cher compagnon Pyrandre.
Nous eſtions allez enſemble à la pourmenade pour y traiter de certaine affaire, de laquelle nous deſirions voir l’iſſue, lors qu’à l’entree de nos deuis qui nous alegeoiẽt mutuellement l’vn & l’autre, i’ay veu tout à coup le pauure Pirandre tumber comme, eſuanouy ſoubs le cheiſne de l’Amadriade.	Nous étions allés ensemble à la pourmenade pour y traiter de certaine affaire, de laquelle nous désirions voir l'issue, lors qu'à l'entre de nos devise qui nous alegeoiẽt mutuellement l et 'autre, j'ai vu tout à coup le pauvre Pirandre tumber comme, évanoui sous le cheîne de l'Amadriade.
Alors me repreſentant qu’en matiere d’inconueniens, il faut plus auoir de recours aux remedes qu’aux larmes, ie ſuis accouru puiſer de l’eau en la proche fontaine pour luy en arrouſer le viſage, à fin de le faire reuenir à ſoy.	Alors me représentant qu'en matière d'inconvéniens, il faut plus avoir de recours aux remèdes qu'aux larmes, je suis accouru viser de l'eau en la proche fontaine pour lui en arrouser le visage, à fin de le faire revenir à soi.
Mais helas!	Mais hélas!
à mon retour ie n’ay trouué ny Pyrandre, ny perſonne qui m’en ait appris des nouuelles.	à mon retour Prince n'ai trouvé Seigneur Pyrandre, ni personne qui m'en ait appris des nouvelles.
De ſorte que i’en ſuis en toutes les peines du monde, & ne ſçay qu’il eſt deuenu.	De sorte que j'en suis en toutes les peines du monde, et ne sais qu'il est devenu.
Ce qui m’afflige encore le plus, e eit qu'vn peu auant ce deſaſtre, il eſtoit ſi cruellement agité de ie ne ſçay quelle paſſion, qu’entre ſon mal & le deſeſpoir, il n’y a preſque point de difference.	Ce qui m'afflige encore le plus, e it qu'un peu avant ce désastre, il était si cruellement agité de gloire ne sais quelle passion, qu'entre son mal et le désespoir, il n'y a presque point de différence.
Vous deuez croire, que i’ay voulu pour lors conſoler Aronthe, luy remonſtrant que les Dieux qui tiennent l’œil ſur toutes choſes luy rendroient ſon Pirandre, ſain & entier;	Vous devez croire, que j'ai voulu pour lors consoler Aronthe, tu remonstrant que les Dieux qui tiennent l'œil sur toutes choses était rendraient son Pirandre, sain et entier;
lors que ſans me donner loiſit d’en dire e4 dauantage.	lors que sans me donner loisit d'en dire e4 davantage.
Poſſible m’a-t’il reſpondu, ſçauez-Vous bien où il eſt, Cleant he?	Possible m'a-t-il répondu, sçauez-Vous bien où il est, Cléant hé?
Mais quãd il a veu que ieluy proteſtois de n’auoir oncques veu ce Berger, comme il eſt vray;	Mais quand il a vu que jelui protestais de n'avoir onc vu ce Berger, comme il est vrai;
O infortuné Pirandre (a-t’il continué) le ſouuenir de ton deſaſtre me tuë!	Ô infortuné Pirandre (a-t-il continué) le souvenir de ton désastre me tue!
Ie ſçay, cher amy, que tes deſſeins ont voulu pretendre à l’acquiſition d’vn bien qui n’appartient qu’aux Heros.	Je sais, cher ami, que tes desseins ont voulu prétendre à l'acquisition d'un bien qui n'appartient qu'aux Héros.
Mais comme la grandeur de ton courage eſt ineſtimable;	Mais comme la grandeur de ton courage est inestimable;
il faut que le ſalaire le ſoit auſſi.	il faut que le salaire le soit aussi.
La cruelle qui te traitte de la ſorte, ſe trompe, ſi elle iuge de ton merite, par la ſeule apparence:	La cruelle qui te traite de la sorte, se trompe, si elle juge de ton mérite, par la seule apparence:
Ta condition eſt aſſez grande (mon cher Pirandre) puis qu’il eſt ainſi que tes perfections deuroient t’acquerir de droict, ce que les grãds du Monde, ne poſſedent que par leurs richeſſes.	Ta condition est assez grande (mon cher Pirandre) puis qu'il est ainsi que tes perfections devraient t'acquérir de droit, ce que les grands du Monde, ne possèdent que par leurs richesses.
S’ils paroiſſent par deſſus tous, ils en ſont obligez a la lortune, de pour toy ſi les mortels te deferoiẽt autant d’honneurs qu’il t’en appartient, tu n’en ſerois redeuable qu’à ta vertu.	S'ils paraissent par dessus tous, ils en sont obligés a la lortune, de pour toi si les mortels te déféraient autant d'honneurs qu'il t'en appartient, tu n'en serais redevable qu'à ta vertu.
Ces paroles pleines d’exclamation qui ſortoient à tout moment de la bouche d’Aronthe, m’ont d’autant plus augmenté le deſir d’apprendre la ſuitte de cette hiſtoire, qu’elles eſtoiẽt proferees auec des eſlancemẽs capables de ffendre les marbres.	Ces paroles pleines d'exclamation qui sortaient à tout moment de la bouche d'Aronthe, m'ont d'autant plus augmenté le désir d'apprendre la suitte de cette histoire, qu'elles étaient profères avec des élancements capables de ffendre les marbres.
De maniere que regardant le Berger, Racomptez moy, ie vous prie, luy ay-je dict, Aronthe, d’où vient que voſtre Pirandre eſt ainſi affligé?	De manière que regardant le Berger, Racomptez moi, je vous prie, Seigneur ai-je dit, Aronthe, d'où vient que votre Pirandre est ainsi affligé?
quelle eſt la ſource d’vn ſi grand deplaiſir?	quelle est la source d'vn si grand déplaisir?
Ah!	Ah!
Cleanthe, m’a-t’il repliqué:	Cléanthe, m'a-t-il repliqué:
C’eſt pour trop aymer qu’il ſouffre à mon grand tegret toutes ces bleſſures.	C'est pour trop aimer qu'il souffre à mon grand tegret toutes ces blessures.
Voilà, Philodice, les obligations que les Amans ont à voſtre ſexe.	Voilà, Philodice, les obligations que les Amants ont à votre sexe.
Ils vous aiment;	Ils vous aiment;
vous les hayſſez, ils vous ſuiuent, vous les fuyez, ils vous louënt, vous les blaſmez, ils vous recerchent, vous les dedaignez, ils vous couronnent d’honneurs, & vous pour recompenſe, les comblez de tant de douleurs, que le plus ſouuent ils en portent les deſpouïlles dans le tumbeau.	vous les haïssez, ils vous suivent, vous les fuyez, ils vous louent, que le blâmez, ils vous recerchent, vous les dédaignez, ils vous couronnent d'honneurs, et vous pour récompense, les comblez de tant de douleurs, que le plus souvent ils en portent les dépouilles dans le tombeau.
Il faut que ie vous confeſſe, que l’oyant parler de noſtre ſexe, en ſi mauuais termes, peu s’en eſt fallu que la cholere ne m’ait ſurpriſe.	Il faut que je vous confesse, que l'oyant parler de notre sexe, en si mauvais termes, peu s'en est fallu que la colère ne m'ait surprise.
Neantmoins ie me ſuis contentee de luy dire ces deux mots pour replique.	Néanmoins belle me suis contentée de Seigneur dire ces deux mots pour réplique.
Vous auez tort, Aronthe, de decrier ainſi noſtre ſexe.	Vous avez tort, Aronthe, de décrier ainsi notre sexe.
Et ie m’eſtõne fort cõme vn homme tel que vous, en mediſt de la ſorte, ſãs cõſiderer, Que tout ce qu’il y a de bening, d’aimable, d’vtile & de beau dans le monde, la Nature I’a mis en nous comme en vn parfaict Abregé.	Et petit m'étienne fort cõme un homme tel que vous, en médît de la sorte, sans cõsiderer, Que tout ce qu'il y a de béning, d'aimable, d'étile et de beau dans le monde, la Nature J'a mis en nous comme en un parfait Abrégé.
Cette gloire nous eſt deüe à bon droict cõme à celles qui vous font gouſter les plus grandes douceurs que vous ſçauriez deſirer.	Cette gloire nous est due à bon droit comme à celles qui vous font goûter les plus grandes douceurs que vous sauriez désirer.
Ie crois tout ce que vous dictes (m’a t’il repliqué) ſi vous appellez douceur ceſte grande amertume que vous meſmes m’auez faict ſauourer ſi long tẽps, vous dy-je cruelleCleanthe, de qui i’ay eſté ſi rudement traitté, que ſi ie n’en ſuis mort d’ennuy, c’eſt au deſtin à qui i’en ſuis obligé non à vous.	Je crois tout ce que vous dites (m'a -t-il repliqué) si vous appelez douceur cette grande amertume que vous mêmes m'avez fait savourer si long temps, vous dis-je cruelleCleanthe, de qui j'ai été si rudement traité, que si ici n'en suis mort d'ennui, c'est au destin à qui j'en suis obligé non à vous.
