AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
Mais ce n’eſt pas à moy, dont on hait la memoire, A pouvoir eſperer cet aveu plein de gloire, Et je ne voudrois pas par des efforts trop vains Jetter le moindre obſtacle à vos juſtes deſſeins.	Mais ce n'est pas à moi, dont on hait la mémoire, À pouvoir espérer cet aveu plein de gloire, Et je ne voudrais pas par des efforts trop vains Jetter le moindre obstacle à vos justes desseins.
Non, je ne contrains point vos ſentimẽs, Madame, Je vais en liberté laiſſer toute voſtre ame, Ouvrir les murs d’Aſtorgue à cet heureux vainqueur, Et ſubir de mon ſort la derniere rigueur.	Non, je ne contrains point vos sentiments, Madame, Je vais en liberté laisser toute vôtre mme, Ouvrir les murs d'Astorgue à cet heureux vainqueur, Et subir de mon sort la dernière rigueur.
OCERE TV.	OCERE TU.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
IGNES, ELISE.	IGNÉS, ÉLISE.
D.	D.
ELUIRE.	ÉLUIRE.
Adame, au deſeſpoir où ſon deſtin l’expoſe, M De tous mes déplaiſirs n’imputez pas la cauſe, cœur Vous me rendrez juſtice, en croyant que mon Fait de vos intereſts ſa plus vive douleur, Que bien plus que l’amour l’amitié m’eſt ſenſible, Et que ſi je me plains d’une diſgrace horrible, C’eſt de voir que du Ciel le ſuneſte couroux Ait pris chez moy les traits qu’il lance cõtre vous, Et rendu mes regards coupables d’une flâme, Qui traite indignement les bontez de voſtre ame.	Adame, au désespoir où son destin l'expose, M De tous mes déplaisirs n'imputez pas la cause, cœur Vous me rendrez justice, en croyant que mon Fait de vos intérêts sa plus vive douleur, Que bien plus que l'amour l'amitié m'est sensible, Et que si je me plains d'une disgrâce horrible, C'est de voir que du Ciel le suneste courroux Ait pris chez moi les traits qu'il l' âme vous, Et rendu mes regards coupables d'une flamme, Qui traite indignement les bontés de votre âme.
D.	D.
IGNES.	IGNÉS.
C’eſt un évenement, dont ſans doute vos yeux N’ont point pour moy, Madame, à quereller les Cieux;	C'est un événement, dont sans doute vos yeux ont point pour moi, Madame, à quereller les Cieux;
Si les foibles attraits qu’étale mon viſage, M’expoſoient au deſtin de ſouffrir un volage, Le Ciel ne pouvoit mieux m’adoucir de tels coups, Quand pour m’oſter ce cœur, il s’eſt ſervi de vous, Et mon front ne doit point rougir d’une inconſtance Qui de vos traits aux miens marque la difference.	Si les faibles attraits qu'étale mon visage, M'exposaient au destin de souffrir un volage, Le Ciel ne pouvait mieux m'adoucir de tels coups, Quand pour m'ôter ce cœur, il s'est servi de vous, Et mon front ne doit point rougir d'une inconstance Qui de vos traits aux miens marque la différence.
Si pour ce changement je pouſſe des ſoûpirs, Ils viennent de le voir fatal à vos deſirs;	Si pour ce changement je pousse des soupirs, Ils viennent de le voir fatal à vos désirs;
Et dans cette douleur que l’amitié m’excite, Je m’accuſe pour vous de mon peu de mérite, Qui n’a pû retenir un cœur, dont les tributs Cauſent un ſi grand trouble à vos vœux combatus.	Et dans cette douleur que l'amitié m'excite, Je m'accuse pour vous de mon peu de mérite, Qui n'a pu retenir un cœur, dont les tributs Causent un si grand trouble à vos vœux combattus.
D.	D.
ELUIRE.	ÉLUIRE.
Accuſez-vous plûtoſt de l’injuſte ſilence, Qui m’a de vos deux cœurs caché l’intelligence, Ce ſecret plûtoſt ſçeu, peut-eſtre à toutes deux Nous auroit épargné des troubles ſi fâcheux;	Accusez-vous plutôt de l'injuste silence, Qui m'a de vos deux cœurs caché l'intelligence, Ce secret plûtost su, peut-être à toutes deux Nous aurait épargné des troubles si fâcheux;
Et mes jutes froideurs des deſirs d’un volage, Au point de leur naiſſance, ayant banny l’hommage, Euſſent pû renvoyer.	Et mes jutes froideurs des désirs d'un volage, Au point de leur naissance, ayant banni l'hommage, Eussent pu renvoyer.
D.	D.
IGNES.	IGNÉS.
Madame, le voicy.	Madame, le voici.
D.	D.
ELUIRE.	ÉLUIRE.
Sans rencontrer ſes yeux vous pouvez eſtre icy, Ne ſortez point, Madame, & dans un tel martyre, Veüillez eſtre témoin de ce que je vais dire.	Sans rencontrer ses yeux vous pouvez être ici, Ne sortez point, Madame, et dans un tel martyre, Veuillez être témoin de ce que je vais dire.
D.	D.
IGNES.	IGNÉS.
Madame, j’y conſens, quoy que je ſçache bien, Qu’on fuiroit en ma place un pareil entretien.	Madame, j'y consens, quoi que je sache bien, Qu'on fuirait en ma place un pareil entretien.
D.	D.
ELUIRE.	ÉLUIRE.
Son ſuccez, ſi le Ciel ſeconde ma penſée, Madame, n’aura rien, dont vous ſoyez bleſſée.	Son succès, si le Ciel seconde ma pensée, Madame, n'aura rien, dont vous soyez blessée.
SCENE V.	SCÈNE V.
D.	D.
SYLVE, D.	SYLVE, D.
ELUIRE, D.	ÉLUIRE, D.
IGNES.	IGNÉS.
D.	D.
ELUIRE.	ÉLUIRE.
Vant que vous parliez je demande iuſtamA ment, [ ment, Que vous daigniez, Seigneur, m’écoûter un moDéja la renommée a juſqu’à nos oreilles Porté de voſtre bras les ſoudaines merveilles;	Vant que vous parliez je demande justamA ment, [ ment, Que vous daigniez, Seigneur, m'écouter un moDéjà la renommée a jusqu'à nos oreilles Porté de votre bras les soudes merveilles;
Et j’admnire avec tous, comme en ſi peu de temps, Il donne à nos deſtins ces ſuccés éclatans.	Et j'admnire avec tous, comme en si peu de temps, Il donne à nos destins ces succès éclatants.
Je ſçay bien qu’un bien-fait de cette conſequence Ne ſçauroit demander trop de reconnoiſſance, Et qu’on doit toute choſe à l’exploit immortel Qui replace mon Frere au Throſne paternel.	Je sais bien qu'un bienfait de cette conséquence Ne saurait demander trop de reconnaissance, Et qu'on doit toute chose à l'exploit immortel Qui replace mon Frère au Thrône paternel.
Mais quoy que de ſon cœur vous offre les hommages, Uſez en genereux de tous vos avantages, Et ne permettez pas que ce coup glorieux Jette ſur moy, Seigneur, un joug imperieux.	Mais quoi que de son cœur vous offrent les hommages, Usez en généreux de tous vos avantages, Et ne permettez pas que ce coup glorieux Jette sur moi, Seigneur, un joug impérieux.
Que voſtre amour qui ſçait quel intereſt m’aS’obſtine à triompher d’un refus legitime, [nime, Et veüille que ce Frere, où l’on va m’expoſer Commence d’eſtre Roy pour me tyranniſer.	Que votre amour qui sait quel intérêt m'aS’ obstine à triompher d'un refus légitime, [nime, Et veuille que ce Frère, où l'on va m'exposer Commence d'être Roi pour me tyranniser.
Leon a d’autres prix, dont en cette occurance, Il peut mieux honorer voſtre haute vaillance;	Léon a d'autres prix, dont en cette occurance, Il peut mieux honorer votre haute vaillance;
Et c’eſt à vos vertus faine un preſent trop bas, Que vous donner un cœur qui ne ſe donne pas.	Et c'est à vos vertus faine un présent trop bas, Que vous donner un cœur qui ne se donne pas.
Peut-on eſtre jamais ſatisfait en ſoy-meſme, Lors que par la contrainte on obtient ce qu’on ayme, .	Peut-on être jamais satisfait en soi-même, Lors que par la contrainte on obtient ce qu'on aime, .
11 C’eſt un triſte avantage, & l’Amant genereux A ces conditions refuſe d’eſtre heureux;	11 C'est un triste avantage, et l'Amant généreux À ces conditions refuse d'être heureux;
Il ne veut rien devoir à cette violence [ ſance, Qu’exercent ſur nos cœurs les droits de la naiſEt pour l’objet qu’il ayme eſt toûjours trop zelé, Pour ſouffrir qu’en victime il luy ſoit immolé;	Il ne veut rien devoir à cette violence [ sance, Qu'exercent sur nos cœurs les droits de la naît pour l'objet qu'il aime est toujours trop zélé, Pour souffrir qu'en victime il lui soit immolé;
Ce n’eſt pas que ce cœur au merite d’un autre Pretende reſerver ce qu’il refuſe au voſtre:	Ce n'est pas que ce cœur au mérite d'un autre Pretende réserver ce qu'il refuse au vôtre:
Non, Seigneur, j’en répons, & vous donne ma foy Que perſonne jamais n’aura pouvoir ſur moy;	Non, Seigneur, j'en réponds, et vous donne ma foi Que personne jamais n'aura pouvoir sur moi;
Qu’une ſainte retraite à toute autre pourſuite.	Qu'une sainte retraite à toute autre poursuite.
D.	D.
SYLVE.	SYLVE.
J’ay de voſtre diſcours aſſez ſouffert la ſuite, Madame, & par deux mots je vous l’euſſe épargné, Si voſtre fauſſe allarme eut ſur vous moins gagné.	J'ai de votre discours assez souffert la suite, Madame, et par deux mots je vous l'eusse épargné, Si votre fausse alarme eut sur vous moins gagné.
Je ſçay qu’un bruit commun qui par tout ſe fait croire, De la mort du Tyran me veut donner la gloire;	Je sais qu'un bruit commun qui par tout se fait croire, De la mort du Tyran me veut donner la gloire;
Mais le ſeul Peuple, enfin, comme on nous fait ſçavoir, Laiſſant par Dom Loüis échaufer ſon devoir, A remporté l’honneur de cet acte heroïque, [que.	Mais le seul Peuple, enfin, comme on nous fait savoir, Laissant par Dom Louis échauffer son devoir, A remporté l'honneur de cet acte héroïque, [que.
Dont mon nom eſt chargé par la rumeur publiEt ce qui d’un tel bruit a fourny le ſujet, C’eſt que pour appuyer ſon illuſtre projet, Dom Loüis fit ſemer par une ſeinte utile, Que ſecondé des miens j’avois ſaiſi la Ville, Et par cette nouvelle il a pouſſé les bras, Qui d’un uſurpateur ont haſté le trépas.	Dont mon nom est chargé par la rumeur publiEt ce qui d'un tel bruit a fourni le sujet, C'est que pour appuyer son illustre projet, Dom Lis fit semer par une seinte utile, Que secondé des miens j'avais saisi la Ville, Et par cette nouvelle il a poussé les bras, Qui d'un usurpateur ont hasté le trépas.
Par ſon zele prudent il a ſçeu tout conduire, Et c’eſt par un des ſiens qu’il viẽt de m’en inſtruire;	Par son zèle prudent il a su tout conduire, Et c'est par un des siens qu'il vien de m'en instruire;
Mais dans le meſme inſtant un ſeçret m’eſt appris Qui va vous étonner autant qu’il m’a ſurpris.	Mais dans le même instant un seçret m'est appris Qui va vous étonner autant qu'il m'a surpris.
Vous attendez un Frere, & Leon ſon vray Maître, A vos yeux maintenant le Ciel le fait paroiſtre.	Vous attendez un Frère, et Léon son vrai Maître, À vos yeux maintenant le Ciel le fait paraître.
Oüy, je ſuis Dom Alphonſe, & mon ſort conſervé, Et ſous le nom du ſang de Caſtille élevé, Eſt un fameux effet de l’amitié ſincere, Qui fut entre ſon Prince, & le Roy noſtre Pere.	Oui, je suis Dom Alphonse, et mon sort conservé, Et sous le nom du sang de Castille élevé, Est un fameux effet de l'amitié sincère, Qui fut entre son Prince, et le Roy nôtre Père.
Dom Loüis du ſecret a toutes les clartez, Et doit aux yeux de tous prouver ces veritez, D’autres ſoins maintenant occupent ma penſée, Non, qu’à voſtre ſujet elle ſoit traverſée, Que ma flâme querelle un tel évenement, Et qu’eu mon cœur le Frere importune l’Amant.	Dom Louis du secret a toutes les clartés, Et doit aux yeux de tous prouver ces vérités, D'autres soins maintenant occupent ma pensée, Non, qu'à cette sujet elle soit traversée, Que ma flamme querelle un tel événement, Et qu'eu mon cœur le Frère importune l'Amant.
Mes feux par ce ſecret ont receu ſans murmure, Le changement qu’en eux a preſcrit la nature;	Mes feux par ce secret ont reçu sans murmure, Le changement qu'en eux a prescrit la nature;
Et le ſang qui nous joint m’a ſi bien détaché De l’amour, dont pour vous mon cœur eſtoit touché, Qu’il ne reſpire plus pour faveur ſouveraine Que les cheres douceurs de ſa premiere chaîneEt le moyen de rendre à l’adorable Ignés, Ce que de ſes bontez a merité l’excés;	Et le sang qui nous joint m'a si bien détaché De l'amour, dont pour vous mon cœur était touché, Qu'il ne respire plus pour faveur souveraine Que les chères douceurs de sa première chaîneEt le moyen de rendre à l'adorable Ignès, Ce que de ses bonté a mérité l'excès;
Mais ſon ſort incertain rend le mien miſerable, Et ſi ce qu’on en dit ſe trouvoit veritable, En vain Leon m’appelle, & le Throſne m’attend, La Couronne n’a rien à me rendre content;	Mais son sort incertain rend le mien misérable, Et si ce qu'on en dit se trouvait véritable, En vain Léon m'appelle, et le Thrône m'attend, La Couronne n'a rien à me rendre content;
Et je n’en veux l’éclat que pour goûter la joye, D’en Couronner l’objet où le Ciel me renvoye, Et pouvoir reparer par ces juſtes tributs L’outrage que j’ay fait à ſes rares vertus.	Et je n'en veux l'éclat que pour goûter la joie, D'en Couronner l'objet où le Ciel me renvoie, Et pouvoir réparer par ces justes tributs L'outrage que j'ai fait à ses rares vertus.
Madame, c’eſt de vous que j’ay raiſon d’attendre, Ce que de ſon deſtin mon ame peut apprendre, Inſtruiſez-m’en de grace, & par voſtre diſcours, Hâtez mon deſeſpoir, ou le bien de mes jours.	Madame, c'est de vous que j'ai raison d'attendre, Ce que de son destin mon âme peut apprendre, Instruisez-m'en de grâce, et par votre discours, Hâtez mon désespoir, ou le bien de mes jours.
D.	D.
ELUIRE.	ÉLUIRE.
Ne vous étonnez pas ſi je tarde à répondre, Seigneur, ces nouveautez ont droit de me confondre, Je n’entreprendray point de dire à voſtre amour, Si Done Ignés eſt morte, ou reſpire le jour;	Ne vous étonnez pas si je tarde à répondre, Seigneur, ces nouveautés ont droit de me confondre, Je n'entreprendrai point de dire à votre amour, Si Done Ignès est morte, ou respire le jour;
Mais par ce Cavalier, l’un de ſes plus fideles, Vous en pourrez ſans doute apprendre des nouvelles?	Mais par ce Cavalier, l'un de ses plus fidèles, Vous en pourrez sans doute apprendre des nouvelles?
D.	D.
SYLVE, oU D.	SYLVE, oU D.
ALPHONSE.	ALPHONSE.
Ah!	Ah!
Madame, il m’eſt doux en ces perplexitez De ven ley onler voo cerelteo Seauten, Mais vous avec quels yeux verrez-vous un volage, Dont le crime.	Madame, il m'est doux en ces perplexités De ven lei onler vo cerelteo Seauten, Mais vous avec quels yeux verrez-vous un volage, Dont le crime.
D.	D.
IGNES.	IGNÉS.
Ah!	Ah!
gardez de me faire un outrage, Et de vous haſarder à dire que vers moy, Un cœur, dont je fais cas ait pû manquer de foy;	gardez de me faire un outrage, Et de vous hasarder à dire que vers moi, Un cœur, dont je fais cas ait pu manquer de foi;
J’en refuſe l’idée, & l’excuſe me bleſſe, Rien n’a pû m’offencer auprés de la Princeſſe, Et tout ce que d’ardeur elle vous a cauſé, Par un ſi haut merite eſt aſſez excuſé.	J'en refuse l'idée, et l'excuse me blesse, Rien n'a pu m'offenser auprès de la Princesse, Et tout ce que d'ardeur elle vous a causé, Par un si haut mérite est assez excusé.
Cette flâme vers moy ne vous rend point coupable, Et dans le noble orgüeil, dont je me ſens capable, Sçachez ſi vous l’eſtiez, que ce ſeroit en vain, Que vous preſumeriez de flêchir mon dédain, Et qu’il n’eſt repentir, ny ſuprême puiſſance Qui gagnaſt ſur mõ cœur d’oublier cette offence.	Cette flamme vers moi ne vous rend point coupable, Et dans le noble orgueil, dont je me sens capable, Sachez si vous l'étiez, que ce serait en vain, Que vous présumeriez de flêchir mon dédire, Et qu'il n'est repentir, ni suprême puissance Qui gagnât sur mon cœur d'oublier cette offense.
