M DC LXIX.	M MC LXIX.
Des pieds, juſqu’à la teſte, il eſt comme moy fait;	Des pieds, jusqu'à la tête, il est comme moi fait;
Beau, l’air noble, bien pris, les manieres charmantes:	Beau, l'air noble, bien pris, les manières charmantes:
Enfin deux goutes de Lait Ne ſont pas plus reſſemblantes;	Enfin deux goutes de Lait Ne sont pas plus ressemblantes;
Et n’eſtoit que ſes mains ſont un peu trop peſantes, J’en ſerois fort ſatisfait.	Et n'était que ses mains sont un peu trop pesantes, J'en serais fort satisfait.
I	I
AMPHITRYON.	AMPHITRYON.
A quelle patience il faut que je m’exhorte!	À quelle patience il faut que je m'exhorte!
Mais enin, n’es-tu pas entie dalis la Maiſon?	Mais enin, n'es-tu pas entie dalis la Maison?
SIE.	SIE.
Bon, entré!	Bon, entré!
Hé de quelle ſorte?	Hé de quelle sorte?
Ay-je voulu jamais entendre de raiſon?	Ai-je voulu jamais entendre de raison?
Et ne me ſuis-je pas interdit noſtre Porte?	Et ne me suis-je pas interdit notre Porte?
HHHIYON.	HHIIION.
Comment donc?	Comment donc?
SOSIE.	SOSIE.
Avec un baſton;	Avec un bâton;
Dont mon Dos ſent encor une douleur tres-forte.	Dont mon Dos sent encor une douleur très-forte.
AMTHITRYON.	AMTHITRYON.
On t’a battu?	On t'a battu?
OSIE.	OSIE.
Vrayinene.	Vraiinène.
AMPHITRYON.	AMPHITRYON.
Et qui?	Et qui?
SOSIE.	SOSIE.
Moy.	Moi.
AMPHITRYON.	AMPHITRYON.
Toy, te battre?	Toi, te battre?
SOSIE.	SOSIE.
Ouy, Moy;	Oui, Moi;
hon pas le Moy d’Iey, Mais de Moy du Logis, qui frape comme quatre.	hon pas le Moi d'Iéi, Mais de Moi du Logis, qui frappe comme quatre.
AMPHITRYON.	AMPHITRYON.
Te confonde le Ciel, de me parler ainſy !	Te confonde le Ciel, de me parler ainsi !
OSIE.	OSIE.
Ce ne ſont point des Badinages.	Ce ne sont point des Badinages.
Le Moy que j’ay trouvé tantoſt, Sur le Moy qui vous parle, à de grands avantages:	Le Moi que j'ai trouvé tantôt, Sur le Moi qui vous parle, à de grands avantages:
Il a le Bras fort, le Cœur haut;	Il a le Bras fort, le Cœur haut;
J’en ay receu des témoignages:	J'en ai reçu des témoignages:
Et ce diable de Moy m’a roſſé comme il faut:	Et ce diable de Moi m'a rossé comme il faut:
C’eſt un Drôle qui fait des rages.	C'est un Drôle qui fait des rages.
AMPHITRYON.	AMPHITRYON.
Achevons.	Achevons.
As-tu veu ma Femme?	As-tu vu ma Femme?
SOSIE.	SOSIE.
Non.	Non.
AMPHITRYON.	AMPHITRYON.
Pourquoy?	Pourquoi?
SIE.	SIE.
Par une raiſon aſſez forte.	Par une raison assez forte.
AMPHITRYON.	AMPHITRYON.
Qui t’a fait y manquer, Maraut?	Qui t'a fait y manquer, Maraud?
explique-toy.	explique-toi.
SIE.	SIE.
Faut-il le repeter vingt fois de même ſorte?	Faut-il le répéter vingt fois de même sorte?
Moy, vous dis-je;	Moi, vous dis-je;
ce Moy plus robuſte que Moy;	ce Moi plus robuste que Moi;
Ce Moy, qui s’eſt de force emparé de la Porte.	Ce Moi, qui s'est de force emparé de la Porte.
Ce Moy, qui m’a fait filer dous:	Ce Moi, qui m'a fait filer dous:
Ce Moy, qui le ſeul Moy veut eſtre:	Ce Moi, qui le seul Moi veut être:
Ce Moy, de Moy-même jalous :	Ce Moi, de Moi-même jalous :
Ce Moy vaillant, dont le courrous Au Moy Poltron s’eſt fait connoiſtre:	Ce Moi vaillant, dont le courrous Au Moi Poltron s'est fait connaître:
Enfin ce Moy qui luis chez nous:	Enfin ce Moi qui luis chez nous:
Ce Moy, qui s’eſt montré mon Maiſtre;	Ce Moi, qui s'est montré mon Maître;
Ce Moy, qui m’a roüé de coups.	Ce Moi, qui m'a roué de coups.
AMPHITRYON.	AMPHITRYON.
Il faut que ce matin, à force de trop boire, Il le loit troubie le Cervcau.	Il faut que ce matin, à force de trop boire, Il le loit troubie le Cervau.
IE.	JE.
Je veux eſtre pendu, ſi j’ay beu que de l’eau:	Je veux être pendu, si j'ai bu que de l'eau:
A mon ſerment, on m’en peut croire.	À mon serment, on m'en peut croire.
AMPHITRYON.	AMPHITRYON.
Il faut donc qu’au ſommeil, tes ſens ſe ſoient portez?	Il faut donc qu'au sommeil, tes sens se soient portés?
Et qu’un Songe fâcheux, dans ſes confus myſteres, T’ait fait voir toutes les chimeres, Dont tu me fais des veritez.	Et qu'un Songe fâcheux, dans ses confus mystères, T'ait fait voir toutes les chimères, Dont tu me fais des vérités.
SIE.	SIE.
Tout auſſi peu.	Tout aussi peu.
Je n’ay point ſommeillé;	Je n'ai point sommeillé;
Et n’en ay même aucune envie.	Et n'en ai même aucune envie.
Je vous parle bien éveillé, J’eſtois bien éveillé ce matin, ſur ma vie.	Je vous parle bien éveillé, J'étais bien éveillé ce matin, sur ma vie.
Et bien éveillé même eſtoit l’autre Soſie, Quallaninancienchlles	Et bien éveillé même était l'autre Sosie, Qualaninancienchles
AMPHITRYON.	AMPHITRYON.
Suy-moy, je t’impoſe ſilence.	Sui-moi, je t'impose silence.
C’eſt trop me fatiguer l’Eſprit.	C'est trop me fatiguer l'Esprit.
ni je ſuis un vray Fou, d’avoir la patience, D’écouter d’un Valet, les ſottiſes qu’il dit.	ni je suis un vrai Fou, d'avoir la patience, D'écouter d'un Valet, les sottises qu'il dit.
OSIE.	OSIE.
Tous les diſcours ſont des ſottiſes, Partant d’un Homme ſans éclat.	Tous les discours sont des sottises, Partant d'un Homme sans éclat.
Ce ſeroit paroles exquiles, Si c’eſtoit un Grand qui parlaſt.	Ce serait paroles exquiles, Si c'était un Grand qui parlât.
AMPHITRYON.	AMPHITRYON.
Entrons, ſans davantage attendre.	Entrons, sans davantage attendre.
Mais Alcméne paroiſt avec tous ſes appas:	Mais Alcméne paraît avec tous ses appas:
En ce moment, lans doute, elſe ne in attend pas, Et mon abord la va ſurprendre.	En ce moment, lans doute, else ne in attend pas, Et mon abord la va surprendre.
SCENE III.	SCÈNE III.
ALCMENE, CLEANTHIS, AM2 PHITRYON, SOSIE.	ÀLCMENE, CLEANTHIS, AM2 PHITRYON, SOSIE.
ALCMENE.	ÀLCMENE.
A Llons pour mon Epous, Cleanthis, vers les Dieux, Nous acquiter de nos hommages;	À Llons pour mon Épous, Cléanthis, vers les Dieux, Nous acquitter de nos hommages;
Et les remercier des ſuccés glorieux, Dont Thebes, par ſon Bras, goûte les avantages.	Et les remercier des succès glorieux, Dont Thebes, par son Bras, goûte les avantages.
O Dieux!	Ô Dieux!
AMPHITRYON.	AMPHITRYON.
Faſſe le Ciel, qu’Amphitryon vainqueur, Avec plaiſir ſoit reveu de ſa Femme;	Fasse le Ciel, qu'Amphitryon vainqueur, Avec plaisir soit revu de sa Femme;
Et que ce jour favorable à ma flame, Vous redonne à mes yeux, avec le même cœur:	Et que ce jour favorable à ma flamme, Vous redonne à mes yeux, avec le même cœur:
Que j’y retrouve autant d’ardeur, Que vous en rapporte mon Ame.	Que j'y retrouve autant d'ardeur, Que vous en rapporte mon Âme.
ALC-	ÀLC-
ALCMENE.	ÀLCMENE.
Quoy, deictourneen.	Quoi, deictourne.
AMPHITRYON.	AMPHITRYON.
Certes, c’eſt en ce jour, Me donner de vos feux, un mauvais témoignage;	Certes, c'est en ce jour, Me donner de vos feux, un mauvais témoignage;
Et ce Quoy ſi-toſt de retour, En ces occaſions, n’eſt gueres le langage D’un Cœur bien enflamé d’amour.	Et ce Quoi sitôt de retour, En ces occasions, n'est guère le langage D'un Cœur bien enflamé d'amour.
J'oſois me flater en moy-même, Que loin de vous j’aurois trop demeuré.	J'osais me flatter en moi-même, Que loin de vous j'aurais trop demeuré.
L’attente d’un retour ardemment deſiré, Donne à tous les inſtans une longueur extréme;	L'attente d'un retour ardemment désiré, Donne à tous les instants une longueur extrême;
Et l’abſence de ce qu’on aime, Cerque peu qu’elle dure, a toujours trop duré.	Et l'absence de ce qu'on aime, Cerque peu qu'elle dure, a toujours trop duré.
Je ne voy.	Je ne vois.
ALCMENE.	ÀLCMENE.
AMPHITRYON.	AMPHITRYON.
Non, Alcméne, à ſon impatience, On meſure le temps en de pareils états;	Non, Alcméne, à son impatience, On mesure le temps en de pareils états;
Et vous contez les momens de l’abſence, En Perſonne qui n’aime pas.	Et vous contez les moments de l'absence, En Personne qui n'aime pas.
Lors que l’on aime comme il faut, Le moindre éloignement nous tuë;	Lors que l'on aime comme il faut, Le moindre éloignement nous tue;
Et ce dont on cherit la veuë, Ne revient jamais aſſez toſt.	Et ce dont on chérit la vue, Ne revient jamais assez tôt.
De voſtre accueil, je le confeſſe, Se plaint icy mon amoureuſe ardeur;	De votre accueil, je le confesse, Se plaint ici mon amoureuse ardeur;
Et j’attendois de voſtre Cœur, D’autres tranſports de joye, & de tendreſſe.	Et j'attendais de votre Cœur, D'autres transports de joie, et de tendresse.
A LCMENE.	À LCMENE.
J’ay peine à comprendre ſurquoy Vous fondez les diſcours que je vous entens faire;	J'ai peine à comprendre surquoi Vous fondez les discours que je vous entends faire;
Et ſi vous vous plaignez de moy, Je ne ſçay pas, de bonne foy, Ce qu’il faut, pour vous latiorain rue Hier au ſoir, ce me ſemble, à voſtre heureux rętour, On me vit témoigner une joye aſſez tendre,	Et si vous vous plaignez de moi, Je ne sais pas, de bonne foi, Ce qu'il faut, pour vous latiorain rue Hier au soir, ce me semble, à votre heureux rage, On me vit témoigner une joie assez tendre,
Et Et rendre aux ſoins de voſtre amour, Tout ce que de mon Cœur, vous aviez lieu d’attendie.	Et Et rendre aux soins de votre amour, Tout ce que de mon Cœur, vous aviez lieu d'attendie.
AMPHITRYON.	AMPHITRYON.
Comment?	Comment?
ALCMENE.	ÀLCMENE.
Ne fis-je pas éclater à vos yeux, Les ſoudains mouvemens d’une entiere allegreſſe?	Ne fis-je pas éclater à vos yeux, Les soudains mouvements d'une entière allégresse?
Et ie traiſpoitu un Cdur peutii s'expliquer mieux, Au retour d’un Epous, qu’on aime avec tendreſſe?	Et petit traispoitu un Cédur peuti s'expliquer mieux, Au retour d'un Épous, qu'on aime avec tendresse?
AMPHITRTON.	AMPHITRTON.
Que me dites-vous là?	Que me dites-vous là?
ALCMENE.	ÀLCMENE.
Que même voſtre amour Montra, de mon accueil, une joye incroyable:	Que même votre amour Montra, de mon accueil, une joie incroyable:
Et que m'ayant quittec a la poite du jeui, Je ne voy pas qu’à ce ſoudain retour, Ma ſurpriſe ſoit ſi coupable.	Et que m'ayant quittec a la poite du jeui, Je ne vois pas qu'à ce soudain retour, Ma surprise soit si coupable.
A MPHITRYON.	À MPHITRYON.
Eſt-ce que du retour, que j’ay precipité, Un Songe, cette nuit, Alcméne, dans voſtre Ame, Ai plevend la veine.	Est-ce que du retour, que j'ai précipité, Un Songe, cette nuit, Alcméne, dans votre Âme, Ai pleend la veine.
Et que m’ayant, peut-eſtre, en dormant, bien traité, Voſtre Cœur ſe croit, vers ma flame, Aſſez amplement acquité?	Et que m'ayant, peut-être, en dormant, bien traité, Votre Cœur se croit, vers ma flamme, Assez amplement acquité?
A LCMENE.	À LCMENE.
Eſt-ce qu’une vapeur, par ſa malignité, Amphitryon, a dans voſtre Ame, Du retour d’hier au ſoir, broüillé la verité?	Est-ce qu'une vapeur, par sa malignité, Amphitryon, a dans votre Âme, Du retour d'hier au soir, brillé la vérité?
Et que du doux accueil duquel je m’acquitay, voſtre cœur pretend à ma falne Ravir toute l’honneſteté!	Et que du doux accueil duquel je m'acquitai, votre cœur prétend à ma falne Ravir toute l'honnêteté!
AMPHITRYON.	AMPHITRYON.
Cette vapeur, dont vous me regalez, Eſt un peu, ce me ſemble, étrange.	Cette vapeur, dont vous me régalez, Est un peu, ce me semble, étrange.
A LCMENE.	À LCMENE.
C’eſt ce qu’on peut donner pour change, Au Songe dont vous me parlez.	C'est ce qu'on peut donner pour change, Au Songe dont vous me parlez.
A MPHITRYON.	À MPHITRYON.
A moins d’un Songe, on ne peut pas, ſans doute, EAuier ce qu'lcy voitle bouene me dit.	À moins d'un Songe, on ne peut pas, sans doute, EAvier ce qu'lci voitle bouène me dit.
ALCMENE.	ÀLCMENE.
A moins d’une vapeur, qui vous trouble l’Eſprit, On ne peut pas ſauver, ce que de vous j’écoute.	À moins d'une vapeur, qui vous trouble l'Esprit, On ne peut pas sauver, ce que de vous j'écoute.
AMPHITRYON.	AMPHITRYON.
Laiſſons un peu cette vapeur, Alcméne.	Laissons un peu cette vapeur, Alcméne.
ALCMENL.	ÀLCMENL.
Laiſſons un peu ce Songe, Amphitryon.	Laissons un peu ce Songe, Amphitryon.
AMPHITRYON.	AMPHITRYON.
Sur le ſujet dont il eſt queſtion, Il n’eſt gueres de jeu, que trop loin on ne mene.	Sur le sujet dont il est question, Il n'est guère de jeu, que trop loin on ne mène.
ADCIHNE.	ADCIHNE.
Sans doute;	Sans doute;
& pour marque certaine, Je commence à ſentir un peu d’émotion.	et pour marque certaine, Je commence à sentir un peu d'émotion.
AMPHITRYON.	AMPHITRYON.
Eſt-ce donc que par là, vous voulez eſſayer, A reparer l’accueil dont je vous ay fait plainte?	Est-ce donc que par là, vous voulez essayer, A parer l'accueil dont je vous ai fait plainte?
ALCMENE.	ÀLCMENE.
Eſt-ce donc que par cette feinte, vous delez vous egayer;	Est-ce donc que par cette feinte, vous délez -vous égayer;
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
de grace, ceſſons, Alcméne, je vous prie;	de grâce, cessons, Alcméne, je vous prie;
Et parlons ſerieuſement.	Et parlons sérieusement.
ALCMENE.	ÀLCMENE.
Amphitryon, c’eſt trop pouſſer l’amuſement;	Amphitryon, c'est trop pousser l'amusement;
Finiſſons cette raillerie.	Finissons cette raillerie.
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
vous oiez me louremr en face, Que plutoſt qu’à cette heure, on m’ait icy pû voir?	vous oyez me louremr en face, Que plutôt qu'à cette heure, on m'ait ici pu voir?
ALCMENE.	ÀLCMENE.
Quoy!	Quoi!
vous voulez nier avec audace, Que dés hier, en ces lieux, vous vinſtes ſur le ſoir?	vous voulez nier avec audace, Que dès hier, en ces lieux, vous vinstes sur le soir?
AMPHITRYON.	AMPHITRYON.
Moy, je vins hier?	Moi, je vins hier?
A LC	À LC
A LCMENE.	À LCMENE.
Sans doute.	Sans doute.
Et dés devant l’Aurore, vous vous en eltes ſctouine.	Et dès devant l'Aurore, vous vous en éltes sctouine.
AMPHITRYON.	AMPHITRYON.
Ciel!	Ciel!
un pareil debat s’eſt-il pû voir encore!	un pareil débat s'est-il pu voir encore!
Et qui, de tout cecy, ne ſeroit étonné?	Et qui, de tout ceci, ne serait étonné?
Soſie?	Sosie?
SOSIE.	SOSIE.
Elle a beroin de lin gramns d’Ellebore, Monſieur, ſon Eſprit eſt tourne!	Elle a beroin de lin gramns d'Hellébore, Monsieur, son Esprit est tourne!
AMPHITRYON.	AMPHITRYON.
Alcméne, au nom de tous les Dieux, Ce diſcours a d’étranges ſuites, Reprenez vos ſens un peu mieux;	Alcméne, au nom de tous les Dieux, Ce discours a d'étranges suites, Reprenez vos sens un peu mieux;
Et penſez à ce que vous dites.	Et pensez à ce que vous dites.
ALCMENE.	ÀLCMENE.
I’y penſe meurement auſſy, Et tous ceux du Logis ont veu voſtre arrivée.	J'y pense meurement aussi, Et tous ceux du Logis ont vu votre arrivée.
J’ignore quel motif vous fait agir ainſy:	J'ignore quel motif vous fait agir ainsi:
Mais ſi la choſe avoit beſoin d’eſtre prouvée;	Mais si la chose avait besoin d'être prouvée;
S’il eſtoit vray qu’on pût ne s’en ſouvenir pas;	S'il était vrai qu'on pût ne s'en souvenir pas;
De qui puis-je tenir, que de vous, la nouvelle Du dernier de tous vos Combats?	De qui puis-je tenir, que de vous, la nouvelle Du dernier de tous vos Combats?
Et les cinq Diamans que portoit Fierelas, Qu’a fait, dans la Nuit eternelle, Tomber l’effort de voſtre Bras?	Et les cinq Diamants que portait Fierelas, Qu'a fait, dans la Nuit éternelle, Tomber l'effort de votre Bras?
En pourroit-on vouloir un plus ſeur témoignage?	En pourrait-on vouloir un plus sûr témoignage?
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
je vous ay déja donné Le Nœud de Diamans que j’eus pour mon partage, Et que je vous ay deſtiné?	je vous ai déjà donné Le Nœud de Diamants que j'eus pour mon partage, Et que je vous ai destiné?
ALCMENE.	ÀLCMENE.
Aſſurément.	Assurément.
Il n’eſt pas difficile De vous en bien convaincre.	Il n'est pas difficile De vous en bien convaincre.
A MPh Miie To R Et comment?	À MPh Iie To R Et comment?
A LCMENE.	À LCMENE.
Le voicy.	Le voici.
Soſie!	Sosie!
AMPHITRYON.	AMPHITRYON.
SOSTIE.	SOSTIE.
Elle ſe moque, & je le tiens icy;	Elle se moque, et je le tiens ici;
Monſieur, la feinte eſt inutile.	Monsieur, la feinte est inutile.
4i l l l ll l la la Le Cachet eſt entier.	Ojà l l l ll l la la Le Cachet est entier.
ALCMENE.	ÀLCMENE.
Eit-ce une Viſion?	Eit-ce une Vision?
Tenez.	Tenez.
Trouverez-vous cette preuve aſſez forte?	Trouverez-vous cette preuve assez forte?
AMPHITRYON.	AMPHITRYON.
Ah Ciel!	Ah Ciel!
ô juſte Ciel!	ô juste Ciel!
ALCMENE.	ÀLCMENE.
Allez, Amphitryon, Vous vous moquez, d’en uſer de la ſorte;	Allez, Amphitryon, Vous vous moquez, d'en user de la sorte;
Et vous en devriez avoir confuſion.	Et vous en devriez avoir confusion.
Ayant ouvert SOSIE.	Ayant ouvert SOSIE.
le coſpntar na loy yla placo en tuide, Il faut que par Magie on ait ſçu le tirer:	le cospntar na loi ila placo en tuide, Il faut que par Magie on ait su le tirer:
Ou bien que de luy-même, il ſoit venu ſans guide, Vers celle qu’il a ſçu qu’on en vouloit parer.	Ou bien que de Seigneur-même, il soit venu sans guide, Vers celle qu'il a sçu qu'on en voulait parer.
AMPHITRYON.	AMPHITRYON.
O Dieux, dont le pouvoir ſur les choſes preſide, Quelle eit cette atanture!	Ô Dieux, dont le pouvoir sur les choses preside, Quelle eit cette atenture!
