DVLE PRINCE RECONNV TRAGI-COMEDIE.	DULE PRINCE RÉCONNV TRAGI-COMÉDIE.
22 JCENVE III EGEE, LYSANDRE, MEDEE.	22 JENVE III ÉGE, LYSANDRE, MÈDE.
1 Yſandre, allez donc dire à Theſée que & ie ne luy refuſe point la grace qu’il me Mll demande, que ie veux bien l’entendre ſur ſes iuſtifications, & que ie deſire de toute mon ame qu’il me faſſe connoiſtre ſon innocence, conduiſez-le icy tout à l’heure, mais ſouuenez-vous que vous m’en deuez reſpondre.	1 Ysandre, allez donc dire à Thesée que et tu ne lui refuse point la grâce qu'il me Mll demande, que sans veux bien l'entendre sur ses justifications, et que sans désire de toute mon âme qu'il me fasse connaître son innocence, conduisez-le ici tout à l'heure, mais souvenez-vous que vous m'en devez répondre.
MEDEE.	MÈDE.
Dieux!	Dieux!
quelle foibleſſe.	quelle faiblesse.
EGEE.	ÉGE.
Que dittes-vous, Madame?	Que dites-vous, Madame?
MEDEE.	MÈDE.
Que faites-vous, Seigneur?	Que faites-vous, Seigneur?
EGEE.	ÉGE.
Ie tâche de me mettre à couuert de la calomnie.	Je tâche de me mettre à couvert de la calomnie.
MEDEE.	MÈDE.
Dites pluſtoſt que vous vous expoſez à la trahiſon.	Dites plutôt que vous vous exposez à la trahison.
EGEE.	ÉGE.
Q dois-je craidie d'vn pllionnler?	QUOI dois-je craidie d'un pllionnler?
MEDEE.	MÈDE.
I 3 Que ne deuez-vous pas craindre d’vn Prince?	I 3 Que ne devez-vous pas craindre d'un Prince?
EGEE.	ÉGE.
Que peut-il faire en cetteentreueuë?	Que peut-il faire en cetteentreueuë?
MEDEC.	MÉDEC.
Il peut ſe iuſtifier.	Il peut se justifier.
n a d ue Sil peut ſe iuſtifier, ie ne dois point le condamner.	n a d ue Sil peut se justifier, je ne dois point le condamner.
MEDEE.	MÈDE.
Ne le croyez-vous pas coupable apres ce que vousauez veus	Ne le croyez-vous pas coupable après ce que vousauez vus
EGEE.	ÉGE.
Ouy, ie le croy coupable:	Oui, Seigneur le crois coupable:
Mais vous meſme doutez-vous de ſon crime?	Mais vous -même doutez-vous de son crime?
Non.	Non.
MEDEE.	MÈDE.
EGEE.	ÉGE.
Comment penſez-vous donc qu’il puiſſe ſe iuſtifier?	Comment pensez-vous donc qu'il puisse se justifier?
MEDEE.	MÈDE.
Quoy Seigneur, facilement pourrez-vous le condamner, quand il vous dira qu’il n’a point écrit la lettre qui le rend criminel, que ſon amy L iij peut l’auoir écrite pour ſe venger du peu de ſoin qu’il a pris de le rachepter, que c’eſt vne inuention de la Reyne des Amazones pour vous priuer de ſon ſecours, & qu’enfin l’écriture & le témoignage d’vn traiſtre ne peut iuſtement le conuaincre de trahiſon.	Quoy Seigneur, facilement pourrez-vous le condamner, quand il vous dira qu'il n'a point écrit la lettre qui le rend criminel, que son ami L ijà peut l'avoir écrite pour se venger du peu de soin qu'il a pris de le rachepter, que c'est une invention de la Reine des Amazones pour vous priver de son secours, et qu'enfin l'écriture et le témoignage d'un traître ne peut justement le convaincre de trahison.
Mais ſuppoſons qu’il auoüe que Pyritous & Antiope ont voulu l’obliger à vous manquer de foy, ne peutil pas nier d’auoir iamais écouté cette propoſition qui l’en peut accuſer auec juſtice?	Mais supposons qu'il auoüe que Pyritous et Antiope ont voulu l'obliger à vous manquer de foi, ne peutil pas nier d'avoir jamais écouté cette proposition qui l'en peut accuser avec justice?
je paſſe encore plus outre, ie veux qu’on le conuainque d’auoir pretendu à la Couronne d’Athenes, ne peut-il pas dire auec apparence, qu’il l’a pû iuſtement?	je passe encore plus outre, ie veux qu'on le convainque d'avoir prétendu à la Couronne d'Athène, ne peut-il pas dire avec apparence, qu'il l'a pu justement?
il eſt Prince, il eſt Grec, vous n’auez point d’heritier preſomptif;	il est Prince, il est Grec, vous n'avez point d'héritier présomptif;
Qui ſçait s’il n’eſt point venu vous ſecourir pour vous obliger à le nommer pour ſucceſſeur:	Qui devait s'il n'est point venu vous secourir pour vous obliger à le nommer pour successeur:
& ſi Pyritous & la Reyne des Amazones n’ont pas entendu qu’il pouuoit monter par cette voye au Thrône de voſtre Empire:	et si Pyritous et la Reine des Amazones n'ont pas entendu qu'il pouvait monter par cette voie au Trône de votre Empire:
ioignez à ces conſiderations l’inclination naturelle que vous auez pour ce Prince, meſme le deſir que vous auez de le voir:	joignez à ces considérations l'inclination naturelle que vous avez pour ce Prince, porte le désir que vous avez de le voir:
& craignez que toutes ces choſes vous faſſent oublier le ſoin que vous deuez auoir de voſtre propre conſeruation.	et craignez que toutes ces choses vous fassent oublier le soin que vous devez avoir de votre propre conservation.
EGEE.	ÉGE.
Ne craigniez-vous point que ce que vous venez de me dire m’empeſche de le punir pluſtoſt que de le voir?	Ne craigniez-vous point que ce que vous venez de me dire m'empêche de le punir plutôt que de le voir?
MEDEE.	MÈDE.
Mais ne craignez-vous point que ce que vous allez faire vous contraigne de ſauuer vne perſonne qui veut vous perdre?	Mais ne craignez-vous point que ce que vous allez faire vous contraigne de sauver une personne qui veut vous perdre?
Ah!	Ah!
Seigneur, craignez.	Seigneur, craignez.
EGEE.	ÉGE.
Vous meſme ceſſez de craindre, & vous aſſeurez que l’inclination que i’ay eu pour Theſée ſerale plus cruel de ſes juges;	Vous rendre cessez de craindre, et vous assurés que l'inclination que j'ai eu pour Thesée sérale plus cruel de ses juges;
mais ie luy veux accorder tout ce qu’on accorde ordinailement à ceux que l’on veut pardonner pour faire croire à toute la Grece, qu’il n’a point eſté puny par mon ordre:	mais grande te veux accorder tout ce qu'on accorde ordinailement à ceux que l'on veut pardonner pour faire croire à toute la Grèce, qu'il n'a point été puni par mon ordre:
mais pluſtoſt par vn iuſte iugement des Dieux.	mais plutôt par un juste jugement des Dieux.
MEDEE.	MÈDE.
C’eſt donc vn deſſein qu’on ne peut diuertir, vous voulez voir cét infidele, & bien ie n’y reſiſte plus:	C'est donc un dessein qu'on ne peut divertir, vous voulez voir cet infidèle, et bien apprendre n'y résiste plus:
voyez-le, mais ſouffrez que ie ne le voye point, cependant prenez cette lettre, elle contient vn poiſon mortel qui doit agir contre luy ſeulement.	voyez-le, mais souffrez que ici ne le voie point, cependant prenez cette lettre, elle contient un poison mortel qui doit agir contre lui seulement.
Vous deuez la luy donner à l’abord, ſous pretexte de luy faire voir ſa condamnation dans ce que Pyritous luy écrit, & vous aſſeurer qu’il ne l’aura pas pluſtoſt touchée que vous aurez ſujet de ne plus craindre les effets de ſa deſloyauté.	Vous devez la lui donner à l'abord, sous prétexte de reste faire voir sa condamnation dans ce que Pyritous te écrit, et vous assurer qu'il ne l'aura pas plustost touchée que vous aurez sujet de ne plus craindre les effets de sa déloyauté.
Le voicy, ie ne ſçauleloreunl lapitieice doce peildur.	Le voici, Seigneur ne sçauleloreunl lapitieice doce peildur.
SSEEVDEV EGEE, THESEE.	SSEUDEU ÉGE, THESEE.
I Voy, Theſée, auez-vous ozé deſirer de paroiſtre deuant vne perſonne que vous auez tant offensée?	I Jois, Thesée, avez-vous osé désirer de paraître devant une personne que vous avez tant offensée?
Vous auez voulu me trahir, & vous deſirez de mè voir:	Vous avez voulu me trahir, et vous désirez de me tte:
qu’il eſt difficile de trouuer de la proportion en des deſirs ſi differents:	qu'il est difficile de trouver de la proportion en dés désirs si différents:
j’aurois de la peine à croire le dernierſi mes yeux ne m’en aſſeuroient.	j'aurais de la peine à croire le derniersi mes yeux ne m'en assuraient.
THESEE.	THESEE.
Vous vous eſtonnez, Seigneur, que i’aye ozé deſirer de voir voſtre Majeſtéupres qu’elle a crũ que i’auois eu deſſein de la trahir?	Vous vous étonnez, Seigneur, que j'aie ozé désirer de voir votre Majestéupres qu'elle a craindre que j'avais eu dessein de la trahir?
Pourquoy ne croyez vous pluſtoſt qu’il n’eſt pas vray-ſemblable que i’aye eu deſſein de vous trahyr, puiſque i’ay deſiré de vous voir?	Pourquoi ne croyez -vous plutôt qu'il n'est pas vrai-semblable que j'aie eu dessein de vous trahir, puisque j'ai désiré de vous voir?
EGEE.	ÉGE.
Le puis-je croire & voir en meſme temps des témoitémoignages irreprochables de voſtre perfidie?	Le puis-je croire et voir en même temps des témoignages irréprochables de votre perfidie?
Voyez cette lettre, elle eſt de voſtre amy, elle s'adreſſe a vous;	Voyez cette lettre, elle est de votre ami, elle s'adresse à vous;
vous paroiſez interdit?	vous paraissez interdit?
THESEE.	THESEE.
Ce font ley deu ouumgcondomedéc:	Ce font lei dev ouumgcondomedéc:
Mais Seigneur, me ſera-t’il permis delalire?	Mais Seigneur, me sera-t-il permis délalire?
EGEE.	ÉGE.
Ouy, vous la verrez à voſtre dommage, tenez, liſez:	Oui, vous la verrez à votre dommage, tenez, lisez:
mais ie veux auparauant vous demandel quenes pretentionaivous auez ſur ma Couronne, & par quels degrez vous auez eſperé de monter ſur mon Thrône.	mais je veux auparavant vous demandel quenes prétentionaivous avez sur ma Couronne, et par quels degré vous avez espéré de monter sur mon Thrône.
ROLC DOY SOITHESEE.	ROLC DOY SOITHÉSE.
Gdonpidomiqueuuamapelolinmo	Gdonpidomiqueuuamapelolinmo
MA DYQJel EGE Eollel Ils tovovaslueDittes pluſtoſt que c’eſt le crime dont vous eſtes conuainou.	MA DYQJel ÉGE Éollel Ils tovovaslueDittes plutôt que c'est le crime dont vous êtes convainou.
Ab uo	Ab 
THESEE.	THESEE.
vl vous lne cioyezr conuaincu, pourquoy voulez, vous entendremes juſtifications?	vl vous lène cioyez convaincu, pourquoi voulez, vous entendre justifications?
& ſi vous auez crù que ie peuſſe me iuſtifier, pou 20 quoy dittes-vous que ie ſuis conuaincu du crime dont on m’accuſe?	et si vous avez crù que je pusse me justifier, pou 20 quoi dites-vous que sans suis convaincu du crime dont on m'accuse?
104 –	104 
E l Sols imnelo Simog vHoyonodde vous croy gonuaincu parće quę ie le dois;	E l Sols imnelo Simog vHoyonodde vous crois gonvainu pare qu' une le dois;
diy ll der ed osHoqxnor von, mais pourtant ie ſeray bien-aiſe de nirer de vos –4 Hidu danGoumrelpomſmiye uidi	dii l derie osHoqxnor von, mais pourtant ici serai bien-aise à nirer de vos 4 Hidu danGoumrelpomsmie uidi
iuſtifications quelque pretexte pour vous témoigner le deſir que i’ay dene vous point iuger pal la figourcuſc iuſtice.	iustifications quelque prétexte pour vous témoigner le désir que j'ai dene vous point juger pal la figourcus iustice.
avoy rMn Du e	avoi rMn Du e
THESEE.	THESEE.
Enfin, il n’eſt plus vemps de vous cacher la verité des choſes, il eſt vray que i’ay crù pouuoir vn iour pretendre à la Couronne d’Atheiles, &cette eſpee que ie remets en vos mains me l’auoit faiteſperer.	Enfin, il n'est plus emps de vous cacher la vérité des choses, il est vrai que j'ai crù pouvoir un jour prétendre à la Couronne d'Atheiles, etcette espète que je remets en vos mains me l'avait faitespérer.
anoy otaist solt son	anoi ôtait solt son
EIlIi SOus eUQ EGEEog2llouo vebnsm Pourquoy me ioignez-vous donc pas vos forces à celles d’Antiope?	EIlIi SOus eUQ EGEEog2llouo vébsm Pourquoi me ioignez-vous donc pas vos forces à celles d'Antiope?
Pourquoy ne m’attaquiez vous ouuertement?	Pourquoi ne m'attaquiez -vous ouvertement?
Penſez-vous qu’on pût aller à la gloire de la Royauté par de honteuſes voyes?	Pensez-vous qu'on pût aller à la gloire de la Royauté par de honteuses voies?
Il falloit vaincre le Roy d’Athenes, & non pas le trahir, pour ſucceder aux droits du Roy d’Athenes.	Il fallait vaincre le Roi d'Athène, et non pas le trahir, pour succéder aux droits du Roi d'Athènes.
Lyſandre, prenez cette eſpée.	Lysandre, prenez cette épée.
LTHT	LTHT
DUDIHOT MMHHESEE.	DUDIHOT MMHHESEE.
OS OI nOVIC Séigneur, elle eſt à vous ſeulement, & nulle autre perſonne ne peut la receuoir de mav cluipo ponisunooeml oloopenooooup	OS OI nOUIC Séigneur, elle est à vous seulement, et nulle autre personne ne peut la recevoir de mav cluipo ponisunooeml oloopenooooup
EGEElUOOSR HO OD OIR Ie ne yeux point la toucher, éloignez-la de mes yeux, Ia pointé de l’eſpée des traiſtres eſt moins à craindre que la poignée.	EGEElUOOSR HO D OIR Je ne yeux point la toucher, éloignez-la de mes yeux, Ja point de l'épée des traîtres est moins à craindre que la poignée.
Celuy qui a eu deſſein d’attenter à ma vie lors que ie luy donnois tant de témoignages d’affection, peut bien l’acheuer lors que ie luy donne des mar ques de mahaine.	Celui qui a eu dessein d'attenter à ma vie lors que ie tu voulais tant de témoignages d'affection, peut bien l'achever lors que Ne avait donne des mar ques de mahaine.
THESEE.	THESEE.
Si Medée vous l’offroit, j’approuuerois voſtre precaution:	Si Medée vous l'offrait, j'approuverais votre précaution:
mais elle vous eſt enuoyée par vne Princeſſe plus fidelle.	mais elle vous est envoyée par une Princesse plus fidèle.
La fille du Roy Picobreparuiauhllammigouononous la rendre, ne fut iamais ſoupçonnée de ſaire des preſens dangereux.	La fille du Roi Picobreparuiauhllammigouononous la rendre, ne fut jamais soupçonnée de zaïre des présents dangereux.
EGEE.	ÉGE.
Dieux qu’eſt-ce que i’entends!	Dieux qu'est-ce que j'entends!
Quoy Rytra vous à chargé de me rendre cette eſpée?	Quoi Rytra vous à chargé de me rendre cette épée?
TIIEOLL » Ouy, Seigneur, & de plus, ce portrait & cette lettre, l’vn & l’autre vous éclairciront des droits quo i’ay pretendus ſur voſtre Couronne.	TIIEOLL " Oui, Seigneur, et de plus, ce portrait et cette lettre, l'amour et l'autre vous éclairciront des droits qu 'ai prétendus sur votre Couronne.
EGEE.	ÉGE.
onio day Helas!	onio dai Hélas!
c’eſt la meſme eſpée que ie luy laiſſay en partant de Trezene;	c'est la même épée que ici lui aissai en partant de Trezene;
c’eſt icy le portrait que ie luy donnay, & ie reconnois encore le caractere de cette adorable Princeſſe.	c'est ici le portrait que ici lui donnai, et apprendre reconnais encore le caractère de cette adorable Princesse.
Ah Theſée!	Ah Thesée!
Ah monfils!	Ah monfils!
ce n’eſt pas ſans raiſon que vous auez crû pouuoir vn iour regner dans le Thrône d’Egée.	ce n'est pas sans raison que vous avez cru pouvoir un jour régner dans le Trône d'Egée.
Mais ie ne puis retarder dauantage la lecture de cettelettre.	Mais ici ne puis retarder davantage la lecture de cettelettre.
M ij	M ij
LETTRE DE RYTRA A EGEE.	LETTRE DE RYTRA A GEE.
Le peu de ſoin que vous auez pris de ſatis faire à la promeſſe que vous me fiſtes en partant de Trezene, m’a long-temps fait douter ſi ie deuois vous enuoyer voſtre fils auec les marques de reconnoiſſance que vous me laißâtes.	Le peu de soin que vous avez pris de satî faire à la promesse que vous me fîtes en partant de Trezene, m'a longtemps fait douter si personne devais vous envoyer votre fils était les marques de reconnaissance que vous me laissâtes.
Mais enfin mon amour a vaincu mon reſſentiment, ie n'aypeu me reſoudre à vous retenir plus long-temps vn fils qui vous peut eſtre vtile.	Mais enfin mon amour a vaincu mon ressentiment, je n'aipu me résoudre à vous retenir plus longtemps un fils qui vous peut être utile.
Vous l’auez ſans doute connu ſous le nom de Theſée, il eſt peu de terres découuertes où ſa valeur n'ait laißé des marques, reconnoiſſez celles qu’il vous porte, & croyez que ie ne mourray pas ſatisfaite, pete ne puis aûparauant ma mort vous reprocher voſtre peud’affection, vous la pardonner, & vous dire vn dernier adieu.	Vous l'avez sans doute connu sous le nom de Thesée, il est peu de terres découvertes où sa valeur n'ait laisse des marques, reconnaissez celles qu'il vous porte, et croyez que je ne mourrai pas satisfaite, pete ne puis aûparauant ma mort vous reprocher votre peud'affection, vous la pardonner, et vous dire un dernier adieu.
RYTRA.	RYTRA.
reproeneo;	reproène;
qui penetiez iuſques au plus profond de mon ame, que vous eſtes iuſtes:	qui pénétriez jusques au plus profond de mon âme, que vous êtes justes:
Ah!	Ah!
mon fils, que ie ſuis coupable, & que Medée eſt criminelle.	mon fils, que Seigneur suis coupable, et que Medée est criminelle.
THESEE.	THESEE.
Mais Seigneur, ne verray-je point les accuſations de cette malheureuſe?	Mais Seigneur, ne verrai-je point les accusations de cette malheureuse?
EGEE.	ÉGE.
Ne le deſirez point, mon fils, pluſtoſt ſongeons à contenter voſtre mere, faiſons-luy ſçauoir le ſuccés de voſtre auanture, & tâchons de I’obliger à venir aſſiſter à voſtre couronnement, & au comble de ma ioye:	Ne le désirez point, mon fils, plutôt songeons à contenter votre mère, faisons-lui savoir le succès de votre aventure, et tâchons de J'obliger à venir assister à votre couronnement, et au comble de ma joie:
Cependant terminons laguerre des Amazones, & puiſque vous aimez Antiope, & qu’elle s’intereſſe dans voſtre fortune, faites-luy ſçauoir que ie vous ay reconnu, & qu’elle ne peut à l’aduenir me declarer la guerre ſans ſe declarer voſtre ennemie.	Cependant terminons laguerre des Amazones, et puisque vous aimez Antiope, et qu'elle s'intéresse dans votre fortune, faites-lui savoir que je vous ai reconnu, et qu'elle ne peut à l'avenir me déclarer la guerre sans se déclarer votre ennemie.
Enfin, mon fils ordonnez des choſes en telle ſorte que mes ſubjets ayent occaſion de croire que vous eſtes mon fils, & leur Prince legi time.	Enfin, mon fils ordonnez des choses en telle sorte que mes sujets aient occasion de croire que vous êtes mon fils, et leur Prince légi time.
SCENCE VN SOLDAT.	SCENCE VN SOLDAT.
V	V
Mi Eigneur, la Reyne des Amazones eſt au pied des remparts qui demande l’honneur de parler à voſtre Majeſté.	Mi Eigneur, la Reine des Amazones est au pied des remparts qui demande l'honneur de parler à votre Majesté.
EGEE.	ÉGE.
Allez vous-en la voir, mon ſils;	Allez -vous à la voir, mon sils;
Suiuez-le.	Suivre-le.
ſoldats, c’eſt voſtre Prince, c’eſt mon fils, promettez toutes choſes à cette genereuſe Reyne, & tâchez de m’excuſer enuers Pyritous.	soldats, c'est votre Prince, c'est mon fils, promettez toutes choses à cette généreuse Reine, et tâchez de m'excuser envers Pyritous.
Vous Ly ſandre, allez commander que l’onamene icy la Princeſſe priſonniete.	Vous Ly sandre, allez commander que l'onamène ici la Princesse prisonniète.
Vous Clue, trouuez Medée, & faites luy commancemiene de ſortir.	Vous Clève, trouvez Medée, et faites lieux commencemiene de sortir.
demesterrestoup diontal vol couit onune	demesterrêtoup diontal vol couit onune
4 LERYEI MSALVRE  VTI NERINE, MEDEE.	4 LERYEI MSALURE VTI NERINE, MÈDE.
2 h!	2 h!
Seigneur, avez pitié de moy, Medée mé pourſuit, ayant ſçeu que i’aSuois reſolu de découurir à voſtre Majeſté le pernieieux deſſein qu’elle auoit de vous obliger à faire mourir voſtre fils.	Seigneur, avez pitié de moi, Medée mé poursuit, ayant su que j'aSvais résolu de découvrir à votre Majesté le pernieieux dessein qu'elle avait de vous obliger à faire mourir votre fils.
EGEE.	ÉGE.
Ne eraignez point, Nerine, vous eſtes en lieu de ſeuretehramrore cetteuereitabie Gardes, empeſchez la de m’aborder.	Ne eraignez point, Nerine, vous êtes en lieu de seuretehramrore cetteuereitabie Gardes, empêchez la de m'aborder.
MEDEE.	MÈDE.
25 Quoy, Seigneur, eſt-ce ainſi qu’on me traitte apres tant de témoignages de ma fidelité?	25 Quoi, Seigneur, est-ce ainsi qu'on me traite après tant de témoignages de ma fidélité?
EGEE.	ÉGE.
Quoy, barbare, auez vous l’audace de vous plaindre du traittement qu’on vous fait, & de parler de fidelité, vous de qui la perfidie a violé tous les droits de la nature, de l’amour, & de l’hoſpiralité.	Quoi, barbare, avez vous l'audace de vous plaindre du traitement qu'on vous fait, et de parler de fidélité, vous de qui la perfidie a violé tous les droits de la nature, de l'amour, et de l'hospiralité.
N’eſtoit-ce pas aſſez que m’auoir obligé de proteger la meurtriere de ſes enfans, ſans vouloir encore me contraindre à careſſer la meurtriere de mon fils, & à donner moy-meſme le poiſonqui melle deuoit rauir?	N'était-ce pas assez que m'avoir obligé de protéger la meurtrière de ses enfants, sans vouloir encore me contraindre à caresser la meurtrière de mon fils, et à donner moi-même le poisonqui melle devait ravir?
MEDEEgens'enallant.	MEDEEgens'enallant.
An peinde iscrriſe, euaiiourranjet tOy-Prince ingrat, apprends que ton fils te couſtera la vic.	An peinde iscrise, euaiiourranjet tOi-Prince ingrat, apprends que ton fils te coûtera la vic.
bonsilionnonui el brinoonoral ained	bonsilionnonui elle brinoonoral ained
1298l .	1298l .
60 EE.	60 CE.
uinpaldxusiona) Va malheureuſe, ie ne crains point tes menaces.	Uinpalxusiona) Va malheureuse, tu ne crains point tes menaces.
4 el oumnolauoluo mongioc.	4 elle oumnolauoluo mongioc.
IENERINEIVSGONEHI Elle fuyt, elle vole, les Airs la ſouſtiennent, ou pluſtoſt les Dragons qui traiſnent ſon Chariot lors qu’elle s’enfuit de Colcos:	IENERINEIVSGONEHI Elle fît, elle vole, les Airs la soutiennent, ou plutôt les Dragons qui traînent son Chariot lors qu'elle s'enfuit de Colcos:
Mais voicylaſœur d’Antiope.	Mais voicilasœur d'Antiope.
UUENEV IENCC	OÙENEU JENC
Les LO EGERBELOGIIA nee parions prus uu pane que pourbenir la rencontre & la reconnoiſſance de cegenereux fils qui nous apporte la paix.	Les LO EGERBELOGIIA née parions prus uu pane que pourbenir la rencontre et la reconnaissance de cegenereux fils qui nous apporte la paix.
LYSANDRE.	LYSANDRE.
IILI Seigneur, on leue le ſiege, te i* Reyne des Amazones vient viſiter voſtre Majeſté.	IILI Seigneur, on le le siège, te j* Reine des Amazones vient visiter votre Majesté.
MMSAGOHUOISIA E GH E.	MMSAGOHUOISIA E H E.
loy olle dveIolla Ie ne puis exprimer la ioyeque i’en roſſens.	loi olle dveIolla Je ne puis exprimer la joieque j'en ross.
VCAT DIEGERIE.	VACT DIEGÈRIE.
SUO Olion Ma ſatisfaction eſt extreme, mais les voicy.	SUO Olion Ma satisfaction est extrême, mais les voici.
SCENE VIII.	SCÈNE VIII.
JUENNEVIIT 13.	JUENEUIIT 13.
ANTIOPE, EGEE, THESEE,	ANTIOPE, ÉGE, THESEE,
PYRITOVS, EGERIE.	PYRITOUS, ÉGÉRIE.
2Eigneur, ſouffrez que ie vous rende les deuoirs d’vne fille tres-obeïſſante?	2Eigneur, souffrez que je vous rende les devoirs d'une fille très-obeïssante?
AUPSESR EGEE.	AUPSESR ÉGE.
Ah!	Ah!
Madame, c’eſt moy qui vous doy des iouoſiiſions, Leuchevouy de grace;	Madame, c'est moi qui vous dois des jouosiisions, Leuchevoui de grâce;
& faitesmoy la faueur d’oublier le paſſé.	et faitesmoi la faveur d'oublier le passé.
ANTIOPE.	ANTIOPE.
L’eſt moy qui vous doy faire cette priere.	L'est moi qui vous dois faire cette prière.
EGEE.	ÉGE.
Aimez moy, Pyritous, ſi vous aimez mon fils, & croyez que ie vous donneray toute ma vie des ſujets de croire que ie vous aime.	Aimez -moi, Pyritous, si vous aimez mon fils, et croyez que je vous donnerai toute ma vie des sujets de croire que je vous aime.
YRITOVS.	YRITOUS.
Il m’eſt trop auantageux de vous obeyr en cét endroit, pour pouuoir me reſoudre à ne le pas faire:	Il m'est trop avantageux de vous obéir en cet endroit, pour pendant me résoudre à ne le pas faire:
Mais Seigneur, puiſque Theſée ſemble authoriſer ſon diſcours par ſon ſilence, agreez que ie vous propoſe vne paix particuliere apres la paix generale:	Mais Seigneur, puisque Thesée semble autoriser son discours par son silence, agréez que je vous propose une paix particulière après la paix générale:
c’eſt l’vnion de ces deux aima*1 oſes penonnes.	c'est l'union de ces deux aima*1 oses pénonnes.
2	2
EGEE.	ÉGE.
Ie l’approute, Pyritous, & ie la ſouhaitte de toute mon ame:	Je l'approute, Pyritous, et ton la souhaite de toute mon âme:
Ouy Theſée, il ne tiendra qu’à cette charſiiante Reyllequ'enc ne le ſoit d’Athenes.	Oui Thesée, il ne tiendra qu'à cette charsiante Reyllequ'enc ne le soit d'Athènes.
ANTIOPE.	ANTIOPE.
74 Ah!	74 Ah!
Seigneur, ce m’eſt tropde gloire, & ie rougis de honte quandie penſe à ce que i’ay fait contre vous, & à ce que vous faites pour moy.	Seigneur, ce m'est trop gloire, et Seigneur rougis de honte quandie pense à ce que j'ai fait contre vous, et à ce que vous faites pour moi.
VOD MdOV ILOT HEJS EE.	VOD MédOU ÎLOT HÉES CE.
EDIMITA C’eſt à moy, Madame, à rougir, lorsque ie repaſſe ſur mes actions paſſées.	EDIMITA C'est à moi, Madame, à rougir, lorsque notre repasse sur mes actions passées.
Malt auſſi ie nedoute pas que vous n’approuuiez le ſecours que i’ay voulu donner à mon pere depuis quevous vous repentez de l’auoir attaqué.	Malt aussi Princes nédoute pas que vous n'approuviez le secours que j'ai voulu donner à mon père depuis que vous repentez de l'avoir attaqué.
ANTIOPE.	ANTIOPE.
AVMIA Non ſeulement ie l’approuue, mais ſans conſiderer l’éuenement, ie proteſté que ie ne vous.	AUMIA Non seulement apprendre l'approuve, mais sans considérer l'événement, quelque protesté que mille ne vous.
euſſe point eſtimé ſi vous m’euſſiez aimée au pre judice de l’honneur de voſtre ſang.	eusse point estimé si vous m'eussiez aimée au pré judice de l'honneur de votre sang.
1	1
IDLE GIEE montait Eguie.	IDLE GYE montait Eguie.
Cette belle Princeſſe a biẽ occaſiõde ſe plaindre dequoy ie l’ay ſilong-temps retenuë, mais le luj tilay uchaueinande pardemn i	Cette belle Princesse a bien occasiède se plaindre dequoy ie s'ai silongtemps retenue, mais le luj ilai uchaueinande pardemnes
SlEbLYLANTIOPE.	SlEbLYLANTIOPE.
MIDOEO Ma ſœur n’a point d’autre intereſt que le mien, & ie croy qu’elle eſt ſatisfaite lors que ie laſuistoq sioupasg eqblabenn omase	MIDOEO Ma sœur n'a point d'autre intérêt que le mien, et apprendre crois qu'elle est satisfaite lors que sans lasuistoq sioupasg eqblabenn omase
COHi TUD MOEGER IE.	COHi TUD MOGER JE.
In didolbo slen Vous exprimez les ſentimens de mon ame, & ſi vous m’aimez vous deuez eſtre obligée à ce genereux Prince, desciuilitez qu’il m’a renduësd coliasioblhonnCoie MUOYC	In didolbo slen Vous exprimez les sentiments de mon âme, et si vous m'aimez vous devez être obligée à ce généreux Prince, desciuilitez qu'il m'a rendues coliasioblhonnCoie MUOYC
LoEL a Egetie.	LoEL a Égétie.
Mais moy, Madame, comment pourray-je me iuſtifier enuers vous?	Mais moi, Madame, comment pourrai-je me justifier envers vous?
ANTIOPE.	ANTIOPE.
Ie fuiray voſtre paix, Seigneur.	Je fuirai votre paix, Seigneur.
EGERIE.	ÉGÉRIE.
Vos iuſtifications, & les interceſſions de ma lœur font egaſement inutiles.	Vos justifications, et les intercessions de ma lœur font égasement inutiles.
EGEE.	ÉGE.
Vous auez ſans doute ſçeu la trahiſon de Medée, & comme a preuenu l’Arreſt de ſon banniſſement?	Vous avez sans doute su la trahison de Medée, et comme a prévenu l'Arrêt de son bannissement?
THESEE.	THESEE.
Ouy, Seigneur.	Oui, Seigneur.
EGEE.	ÉGE.
N’y penſons donc plus;	N'y pensons donc plus;
oublions nos erreurs & ſa malice:	oublions nos erreurs et sa malice:
Allons, preparez toutes choſes pour cét illuſtre Hymenée, ie veux que la Reyne voſtre mere y aſſiſte, & que tous les jeux de la Grece ſe ienouuellent en faueur d’vne ſi belleauanture.	Allons, préparez toutes choses pour cet illustre Hyménée, notre veux que la Reine vôtre ne y assiste, et que tous les jeux de la Grèce se ienouuellent en faveur d'une si belleaventure.
Et ie ne deſeſpere pas que la poſterité ne la celebre vn iour, ſous le nom du Prince reconnu, qu’on n’y admire le pouuoir de l’amour, les ſentimens de la veritable amitié, les auantages de la parfaite generoſité, & qu’on n’excuſe es foibleſſes, en conſiderant les beautez & les charmes de cette deteſtable Medee.	Et petit ne désespère pas que la postérité ne la célèbre un jour, sous le nom du Prince reconnu, qu'on n'y admire le pouvoir de l'amour, les sentiments de la véritable amitié, les avantages de la parfaite générosité, et qu'on n'excuse es faiblesses, en considérant les beautés et les charmes de cette détestable Medee.
