A	À
Elle a queique raiſon de vous croire inſidelle;	Elle a queique raison de vous croire insidelle;
Et c’eſt ce qui l’oblige à vous eſtre cruelle.	Et c'est ce qui l'oblige à vous être cruelle.
M le de.	M le de.
Infidelle, dis-tu, ie ne le fus iamais.	Infidèle, dis-tu, Seigneur ne le fus jamais.
ORMIN.	ORMIN.
Vous pourrlez vous tromper:	Vous pourriez -vous tromper:
ZEGRY.	ZÉGRY.
Non, ie te le promets;	Non, Seigneur te le promets;
ORMIN.	ORMIN.
Elle a ſceu toutesfois que Zelinde, vne ſille Aſſez belle, fort ieune & d’illuſtre famille, Et qui receut iadis beaucoup de ſoins de vous, Fut preſque ſur le point de vous voir ſon époux;	Elle a su toutefois que Zélinde, une sille Assez belle, fort jeune et d'illustre famille, Et qui reçut jadis beaucoup de soins de vous, Fut presque sur le point de vous voir son époux;
Et que dés qu’à l’hymen elle fut diſpoſée, Elle ſe vit enfin lâchement mépriſée;	Et que dès qu'à l'hymen elle fut disposée, Elle se vit enfin lâchement méprisée;
Que qui enanbe vne, ion,peutmme loms enanger.	Que qui enane une, ion,peutmme loms enanger.
ZEGRY.	ZÉGRY.
Ormin, ce changement n’eſt point vne inconſtance,	Ormin, ce changement n'est point une inconstance,
ORMIN.	ORMIN.
Il ſeroit mal-aiſé d'en prouuer l’innocence.	Il serait malaisé d'en prouver l'innocence.
ZEGRY.	ZÉGRY.
Cet himen pretendu lans doute lait celate?	Cet hymen prétendu lans doute lait celate?
Mais pour te dire tout.	Mais pour te dire tout.
ORMIN XJAI.	ORMIN XJAI.
Que dira-t-il l’Ingrat!	Que dira-t-il l'Ingrat!
ZEGRY.	ZÉGRY.
Auant qu’on euſt encore conclud ce mariage Qui deuoit nous vnir au' ſang d’Abencetage;	Avant qu'on eût encore conclud ce mariage Qui devait nous unir au' sang d'Abencetage;
Et d'vne vieille haine eſteindre enfin l'ardeur, Fatime eſtoit deſia Maiſtreſſe de mon cœur?	Et d'une vieille haine éteindre enfin l'ardeur, Fatime était déjà Maîtresse de mon cœur?
Et pour me faire prefidre vne chaîne nouuelle, Zelinde qu’on m’offroit, n’eſtoit pas aſſez belle, Ie la vis ſans l’aymer & ſa foible Beauté N'eſbranla point les ſers où i'eſtois arreſté, Pour elle i'eſſaiay d’auoir quelque tendreſſe;	Et pour me faire préfidre une chaîne nouvelle, Zelinde qu'on m'offrait, n'était pas assez belle, Je la vis sans l'aimer et sa faible Beauté N'ébranla point les sers où j'étais arrêté, Pour elle j'essai d'avoir quelque tendresse;
Mais ſes yeux ou ion cœur eutét ttop de foibleſſe3 Etnie luy rendis queique loins apparens, Ce ne fut qu'à deſſein de plaite à mes parens;	Mais ses yeux ou ion cœur eutêt top de faiblesse3 Etnie femme rendis queique loins apparents, Ce ne fut qu'à dessein de plaite à mes parents;
Ainſi Fatime a tort de me croire inſidelle, Puiſque ie n’eus iamais de l’amour que pour elle.	Ainsi Fatime a tort de me croire insidelle, Puisque tu n'eus jamais de l'amour que pour elle.
ORMIN.	ORMIN.
Helas, ie ne dois plus douter de ſon mépris!	Hélas, Madame ne dois plus douter de son mépris!
I'en voulois trop ſçauoir, & i'en ay trop apris.	J'en voulais trop savoir, et j'en ai trop apris.
ZEGRY.	ZÉGRY.
C'eſt vne verité qui peut eſtre prouuée;	C'est une vérité qui peut être prouvée;
Mais d’où vient que ma ſœur ſi matin s’eſt leuée?	Mais d'où vient que ma sœur si matin s'est levée?
SCENE III.	SCÈNE III.
ZAIDE, MEDINE, ZEGRY.	ZAIDE, MEDINE, ZEGRY.
ZAIDE.	ZAIDE.
On ntie, aben vous letu r'usuis qu’on m'a I donné Du trépas de l’époux qui m’eſtoit deſtinéi	On ntie, aben vous letu rus qu'on m'a I donné Du trépas de l'époux qui m'était destinéié
ZGGRI.	ZGGRI.
Ie viens d’en receuoir la nouuelle aſſeurée:	Je viens d'en recevoir la nouvelle assurée:
Il eſt mort dans Alger d’vne fiévre pourprée.	Il est mort dans Alger d'une fièvre pourprée.
AAER.	AAR.
C’eſt vn maleheus pour moy, mais pour vous en ce iour, Vous ne deuez parler que d’Himen & d’amous.	C'est un maleheus pour moi, mais pour vous en ce jour, Vous ne devez parler que d'Hymen et d'amous.
ZEGRY.	ZÉGRY.
Ah, ma ſœur!	Ah, ma sœur!
dis pluſtoſt que dans cette iournée;	dis plutôt que dans cette journée;
* Coic hepurios plus d’amour ny d’Himenée:	* Coic hépurios plus d'amour ni d'Hyménée:
Dis qu’il faut pour punir vn eſprit lâche & bas.	Dis qu'il faut pour punir un esprit lâche et bas.
Parler d’vne autre perte & d’vn autre trépas.	Parler d'une autre perte et d'un autre trépas.
La lureur toule ſeule en mon aue pleune, Et ie ne dois parler que de perdre vn perfide.	La lureur toule seule en mon ave pleune, Et ici ne dois parler que de perdre un perfide.
3	3
2AIDE.	2AIDE.
Quel eſt dont ce perfide, & ne ſçauray-ie point Quel crime ſignalé vous irrite à tel point?	Quel est dont ce perfide, et ne saurai-je point Quel crime signalé vous irrite à tel point?
LEGRY.	LÉGRY.
Tu connois trop l’autheur du courroux qui m'anime, Almanſor eſt ſon nom, ſon amour eſt ſon crime.	Tu connais trop l'auteur du courroux qui m'anime, Almandor est son nom, son amour est son crime.
ZAIDE.	ZAIDE.
don Mmour, an qu'entensie.	don Mmour, an qu'entendsie.
ZEGRY.	ZÉGRY.
Il eſt trop vray, ma ſœur!	Il est trop vrai, ma sœur!
Son inſolente amour a cauſé ma fureur.	Son insolente amour a causé ma fureur.
ZAIDE à part.	ZAIDE à part.
uiqmiequ niauionmuymlyuoceſt ce qui le ſache?	uiqmiequ niauionmuymlyuocest ce qui le sache?
,	,
LEGRI.	LÉGRI.
Oüy, ſon trépas eſt iuſte, il perira le lâche.	Oui, son trépas est juste, il périra le lâche.
ZAIDE.	ZAIDE.
Mon ſrere ſans aigreur il faut examiner Tout ce que d’vn amy l’on a peu ſoupçonnesi Et l'on ne doit iamais iuger de ſon offence, Qu’auec beaucoup dé ſoin, & beaucoup d’indulgéce.	Mon frère sans aigreur il faut examiner Tout ce que d'un ami l'on a pu soupçonnesi Et l'on ne doit jamais juger de son offense, Qu'avec beaucoup de soin, et beaucoup d'indulgéce.
Almanſor a touſiours paru trop genereux, Pour meler rien d’iniuſte, ou d’impur dans ſes feuxs Et vous doit trop auſſi pour conceuoir l’enuie D'offencer vn amy qui luy ſauua la vie.	Almandor a toujours paru trop généreux, Pour mêler rien d'injuste, ou d'impur dans ses feuxs Et vous doit trop aussi pour concevoir l'envie D'offenser un ami qui tu sauva la vie.
2EGRY.	2EGRY.
1en coiesmaidurs ce tesimnonnemens Deſarment ſans effort tous mes reſſentimens?	1en coiémaidurs ce tesimnonnemens Désarment sans effort tous mes ressentiments?
Almanſor m’eſt ſi cher que quoy qu’il puiſſe ſaite, Tu me ferãs plaiſir d’arreſter ma colere.	Almants m'est si cher que quoi qu'il puisse saite, Tu me ferants plaisir d'arrêter ma colère.
ZAIDE.	ZAIDE.
Peut-eſtre iniuſtement l’auez vous accuſé,	Peut-être injustement l'avez -vous accusé,
ZEGRY.	ZÉGRY.
Pleuſt au ciel qu un iuit viay quc ie luuſe abuſé?	Plût au ciel qu un juit vivai qu' une lueuse abusé?
Mais helas !	Mais hélas !
mon ſoupçon n’eſt que trop legitime.	mon soupçon n'est que trop légitime.
Te le dſray, le ehſni Iayme.	Te le dsrai, le ehsni Iaisme.
ZAIDE.	ZAIDE.
Qui?	Qui?
ZEGRY.	ZÉGRY.
Fatime.	Fatime.
ZAIDE.	ZAIDE.
Il aymeroit Fatime!	Il aimerait Fatime!
ah que ce crime eſt noir?	ah que ce crime est noir?
ZEGRY.	ZÉGRY.
Pour mieux t’en aſſeururtonue jouruuu voirs Et ie Et ie ne doute point que tu ne ſçaches d'elle, que cet ſgtat lauore, ce qu’n n’eſt Infidelle.	Pour mieux t'en asseururtonue jouru voirs Et ie Et tu ne doute point que tu ne saches d'elle, que cet ségtat lauore, ce qu 'est Infidèle.
ZAIDE.	ZAIDE.
Le traiſtre, Tinconſtant, I’eſprit pernicieux:	Le traître, Tinconstant, J'esprit pernicieux:
ZEGRY.	ZÉGRY.
huit quel trouble, ma ſœur, ſe fait voir dans vos youx, ir?	huit quel trouble, ma sœur, se fait voir dans vos youx, ir?
ZAIDE.	ZAIDE.
Le trouble de mes yeux clairement vous expoſe Que mon cœur ſent les maux, que voſtre amy vous cauſe.	Le trouble de mes yeux clairement vous expose Que mon cœur sent les maux, que votre ami vous cause.
Voſtre amy, qu'ay-ie dit;	Votre ami, qu'ai-je dit;
ce nom luy conujent mal:	ce nom leurs convient mal:
Il n'eſt point voſtre amy s'il eſt voſtre Riual.	Il n'est point votre ami s'il est votre Rival.
Allez, allez eſteindre, & ſa vie & ſa flame, Et lauer dans ſon ſang les crimes de ſon ame.	Allez, allez éteindre, et sa vie et sa flamme, Et lauer dans son sang les crimes de son âme.
1n ZEGRY.	1n ZÉGRY.
Non, ma ſœur, ſans colete il faut examiner:	Non, ma sœur, sans colte il faut examiner:
Tout ce quę d’vn amy l’on a pû ſoupçonner;	Tout ce qu 'un ami l'on a pu soupçonner;
Et l'on ne doit iamais iuger de ſon offence, qu'aues beaucoup de ſoin, & beaucoup d’indulgenAimumor a touuours, paiu trop genereux, Pour méler rien d'iniuſte, ou d’impur dans ſes feux;	Et l'on ne doit jamais juger de son offense, qu'avez beaucoup de soin, et beaucoup d'indulgénAimumor a touvours, paiu trop généreux, Pour mêler rien d'injuste, ou d'impur dans ses feux;
Et me doit trop auſi pour conceuoir l'enuie D’offencer vn amy qui luy ſauua la vie.	Et me doit trop aussi pour concevoir l'envie D'offenser un ami qui lui sauua la vie.
Quelleerreur!	Quelleerreur!
ZAIDE.	ZAIDE.
ZEGRY.	ZÉGRY.
g eit de toy, ma iceurs que le la tiens, Ce ſont tel ſentimens, & ce ſeront les mieus.	g gît de toi, ma iceurs que le la tiens, Ce sont tel sentiments, et ce seront les mieus.
ZAIDE.	ZAIDE.
Ie n'auois pas du crime alors la connoiſſance;	Je n'avais pas du crime alors la connaissance;
Ie nè vous retiens plus, courez à la vengeance,	Je n' en retiens plus, courez à la vengeance,
ZEGRY.	ZÉGRY.
Arreſte?	Arrête?
̀ moy pluſtoſt & du moins par pitié, Condamne ma colere & non mon amitié,  En faneur d’Almanſor i’ayme que l’on m’abuſe, Ie le veux accuſes, maſs ie veux qu’on l'exeuſe, Ie parle de vengcance, & ne la cherche pas;	U moi plutôt et du moins par pitié, Condamne ma colère et non mon amitié, En faneur d'Almansor j'aime que l'on m'abuse, Je le veux accuses, mass ie veux qu'on l'exeuse, Je parle de vengance, et ne la cherche pas;
Et ie menace aſin qu’on m'arreſte les bras.	Et deux menace asin qu'on m'arrête les bras.
Sa paſſion à tort peut eſtre condamnée, Auant noſtre amitié poſſible qu'elle eſt née, Que Fatime y répond, & que pour les vnir, Les ordres de Gomelle icy l'ont fait venit.	Sa passion à tort peut être condamnée, Avant notre amitié possible qu'elle est née, Que Fatime y répond, et que pour les unir, Les ordres de Gomèle ici l'ont fait venit.
s'il eſt ainſi, ma ſœur, pour m’exempter de crime, Il eſt iuſte qu'auſſi ie luy céde Fatime, de oiſcray mes lens,ce s vntcurancamy a Ie feray mes plaiſirs de ceux de mon amy.	s'il est ainsi, ma sœur, pour m'exempter de crime, Il est juste qu'aussi ielui céde Fatime, de oiscrai mes lents,ce s vntcurancamy a Je ferai mes plaisirs de ceux de mon ami.
ZAIDE.	ZAIDE.
Dieux!	Dieux!
quel eſt voſtre erreur, quel charme quo l'ignoie.	quel est votre erreur, quel charme quo l'ignoie.
tijo, fil ;	tijo, fil ;
lni En faueur d'vn ingrat vous attendtit encoret.	Ini En faveur d'une ingrat vous attendtit encoret.
coil Il vous doit ſon ſalut, doit-il pas auiourd'huy!	coil Il vous doit son salut, doit-il pas aujourd'hui!
Faire vn plus grand effort pour vous, que vous pour lu S'il eſt voſtre Riual,pouuez vous ſans ſoibleſſe, Luy vouloir lachement ceder voſtre Maiſtreſſe;	Faire un plus grand effort pour vous, que vous pour lu S'il est votre Rival,pouvez vous sans soiblesse, Lui vouloir lâchement céder votre Maîtresse;
Et ſi c'eſt voſtre amy, comme vous:	Et si c'est votre ami, comme vous:
l'eſtimez .	l'estimez .
Doit.	Doit.
il pas vous ceder l’obiet que vous aymez?	il pas vous céder l'objet que vous aimez?
SGRYiZchasoaci!	SGRYiZchasoaci!
a voir ſans repliquer Patime en difigence ;	à voir sans répliquer Patime en disfigence ;
Et t’inſtruy plainement do leur intelligence.	Et t'instrui plainement do leur intelligence.
Adieu ?	Adieu ?
22 i21.	22 i21.
7	7
SCENE IV.	SCÈNE IV.
nen MEDINE, ZAIDE.	nen MEDINE, ZAIDE.
MEDINE.	MÉDINE.
OVS m'eſtonner, & le ne conçoy pas iad V Qu’on puiſſe aymer vn homme, & preſſet ſon ſfépas.	OUS m'étonner, et le ne conçois pas jad V Qu'on puisse aimer un homme, et presset son sfépas.
b.	b.
a	a
ZAIDE.	ZAIDE.
Ah!	Ah!
ne dis point que i’ayme, vn ingrat, vn volage?	ne dis point que j'aime, un ingrat, un volage?
Croy que ſi i’ay des feux, ce ſont des feux de rage;	Crois que si j'ai des feux, ce sont des feux de rage;
et que iamais mon cœur ne ſera conſolé, Que ce perſide Amant ne me ſoit immolé.	et que jamais mon cœur ne sera consolé, Que ce perside Amant ne me soit immolé.
MEDINE.	MÉDINE.
Mais vous pleurez, Madamei	Mais vous pleurez, Madamei
ZAIDE.	ZAIDE.
oüy;	oui;
Medine, ie pleure!	Médine, Seigneur pleure!
Si cét ingeat perit, il ſaudra que ie meure;	Si cet ingeat périt, il saudra que ici meure;
Ie ſens dans mon eſprit trſompher tour à tour;	Je sens dans mon esprit troisompher tour à tour;
La rage & la tendreſſe, & la haine & l’amour;	La rage et la tendresse, et la haine et l'amour;
Quand mon dépit s’accroiſt, ma paſſion augmente;	Quand mon dépit s'accroît, ma passion augmente;
Etque, duiione ayiuoigrce qu'am uſt peu trahir, Ie ne le puis aymer, & ne le puis haï̃r.	Etque, disione ayiuoigrce qu'am ust peu trahir, Je ne le puis aimer, et ne le puis haïr.
MEDINE.	MÉDINE.
Madame, parlez bas, on pourroit vous entendre!	Madame, parlez bas, on pourrait vous entendre!
Adibar vient à nous.	Adibar vient à nous.
.	.
.	.
.	.
3	3
LAIDE.	LAIDE.
Mleser emdi*;	Mleser emdi*;
Il mo ſaut pas l’attendre.	Il mo saut pas l'attendre.
AiſMiis p ir i 1 ADIBAR, ZAIDE, MEDINE.	AisMiis pais y 1 ADIBAR, ZAIDE, MEDINE.
ADIBAR.	ADIBAR.
V portez vous, Zaide, & mon cœur & yes D pas?	V portez -vous, Zaide, et mon cœur et yes D pas?
3AIDE.	3AIDE.
Laiſſez.	Laissez.
moy ſeule, adieu t ne m’importuner pas,	moi seule, adieu t ne m'importuner pas,
ADIBAR.	ADIBAR.
Receuez mieux mes ſoins!	Recez mieux mes soins!
ZAIDE.	ZAIDE.
Ils ſont peu neceſſaires:	Ils sont peu nécessaires:
ADIBAR.	ADIBAR.
De grace, écoutés-moy!	De grâce, écoutez-moi!
Mem EiN.	Mem EiN.
Chne (t.	Chne (t.
*.	*.
I'ay bien d’autres aſfaires.	J'ai bien d'autres asfaires.
ADIBAR.	ADIBAR.
D'vn regatd ſeulement, conlolez mes ennuit;	D'un regatd seulement, conlolez mes ennuit;
C’eſt vous que ie cherchois	C'est vous que ie cherchais
ZAIDE.	ZAIDE.
Ail Et ç eſt vous que le fuis	Ail Et ç est -vous que le fuis
4ADIRARIII Quoy Cons.	4ADIRARII Quoi Cons.
nifreu hana araane mapelle?	nireu hana araane mapelle?
,	,
ZAIDE.	ZAIDE.
Fatime qui paroiſt, vous ſera moins cruelle.	Fatime qui parait, vous sera moins cruelle.
ADIBAR.	ADIBAR.
Ne vous en mocques pas, mon ſort leroit plus doux, Fatime eſt auſſi belle & moins fiere qije yqui.	Ne vous en moques pas, mon sort lerait plus doux, Fatime est aussi belle et moins fière qiie yqui.
ou.	ou.
SCENEVI.	SCENEVI.
FATIME,ZAIDE, ADIBAR, HARIEE, MEDINE.	FATIME,ZAIDE, ADIBAR, HARIE, MEDINE.
TATAUIGE	TATAIGE
FATIME.	FATIME.
o touliours Adibar auec cette Ingratte?	ô touliours Adibar auec cette Ingratte?
Ma vengeance eſt trop iuſte, il eſt temps qu’elle éclatte:	Ma vengeance est trop juste, il est temps qu'elle éclatte:
Ie vous trouue, Zaide, en vn chagtin ſi noit, Que ie pords le deſſein qui m’oblige à vous voit:	Je vous trouve, Zaide, en un chagtin si noit, Que je pords le dessein qui m'oblige à vous voit:
Oſeray.	Oserai.
ie Oſeray-ie parler de dances, & de Feſtes, D vne nopte en vii mot uans Tenacou vous eſtese	Ce Oserai-je parler de dances, et de Fêtes, D opte en vii mot ans Tenacou vous êtes
ZAIDE.	ZAIDE.
D'vne nopce!	D'une noce!
acheuez & vous expliquez mieux.	achevez et vous expliquez mieux.
FATIME.	FATIME.
De pareils entretiens vous ſeroyent ennuieux:	De pareils entretiens vous seraient ennuyeux:
ZAIDE.	ZAIDE.
Nvon à noitic annie ccie veconmcoutase, Ne me déguiſez rien touchant ce mariage.	Névon à noitic annie ccie veconmcoutase, Ne me déguisez rien touchant ce mariage.
FATIME.	FATIME.
Puiſque vous l'ordonnez vous allez tout ſçauoir, Sçachez donc que mon pere a voulu me pouruoir,	Puisque vous l'ordonnez -vous allez tout Savoir, Sachez donc que mon père a voulu me pourvoir,
22Le Fsunasl.	22Le Fsunasl.
ZAIDE.	ZAIDE.
FATIME.	FATIME.
Oüy, l'affaire eſt aſſez aduancée.	Oui, l'affaire est assez avancée.
ZAIDE.	ZAIDE.
Ie ſuis dans vos plaiſirs beaucoup intereſſée, Ne m’apprendrez vous point le nom de voſtre Amant?	Je suis dans vos plaisirs beaucoup intéressée, Ne m'apprendrez -vous point le nom de votre Amant?
*ii PInnEs.	*i PInnEs.
c'eſt vn homme accomply, noble, braue, charmant, Sen merite eſt fort rare;	c'est un homme accompli, noble, brave, charmant, Sen érite est fort rare;
& ſans doute i'eſpere, Que vous appreuuerez le choix qu’en fait mon Pere.	et sans doute j'espère, Que vous approuverez le choix qu'en fait mon Père.
ZAIDE à part.	ZAIDE à part.
Qu'elle me fait languir pour me treuuer la mort, Mais enfin quel eſt-il?	Qu'elle me fait languir pour me trouver la mort, Mais enfin quel est-il?
Ca LAIIRIE.	Ca LAIIRIE.
Vous le connoiſſez fort.	Vous le connaissez fort.
Int ſong-temps chez vous ia demeure ordinaire.	Int songtemps chez vous ja demeure ordinaire.
C'eſt l'amy le plus cher de Zegry voſtre frere.	C'est l'ami le plus cher de Zegri votre frère.
En ay-ie dit aſſez?	En ai-je dit assez?
ZAIDE.	ZAIDE.
Dites ſon nom encor.	Dites son nom encor.
PATIME.	PATIME.
Ne deuinez vous pas qu’on l’appelle Almanſor!	Ne devinez vous pas qu'on l'appelle Almandor!
ZAIDE, Ie n’en puis plus, ie meurs:	ZAIDE, Je n'en puis plus, Seigneur meurs:
FATIME.	FATIME.
Voy comme elle eſt changée:	Vois comme elle est changée:
Elle fenent ma peine.	Elle fenent ma peine.
, &iemeluſs vangée.	, etiemeluss vengée.
ADIBAR.	ADIBAR.
I’ay beaucoup d’intereſt dans cét euenement.	J'ai beaucoup d'intérêt dans cet événement.
ZAIDE.	ZAIDE.
Ce party propoſé vous plaiſt aſſeurement.	Ce parti proposé vous plaît assurément.
FATIME.	FATIME.
Oüy, ie n'imite point celles qui par maxime Rougiſſent d’vn hymen ainſi que d’vn grand crime, Feignent d’en ſouſpirer, & pourtant en ſecret, s’il ne s’acheuoit pas auroient bien du regtet, Sur ce point auec vous ie ne fais point la fine,  nont, paho etout lAmant qeou ne deſtine;	Oui, Seigneur n'imite point celles qui par maxime Rougissent d'être hymen ainsi que d'un grand crime, Feignent d'en soupirer, et pourtant en secret, s'il ne s'achevait pas auraient bien du regtet, Sur ce point avec vous ieans fais point la fine, nont, paho etout lAmant qène ne destine;
I'eſtime ſon amour, ſon merite & ſes ſoins;	J'estime son amour, son mérite et ses soins;
Ets.	Ets.
i maymeseaucoup le ne Tayme pas moins.	j' aimeseaucoup le ne Taime pas moins.
