AV ROT.	AU ROT.
il faut mourir :	il faut mourir :
mais conte.	mais conte.
moy l'hiſloite yne moit que i’apprens, mais que ie ne puis coire.	moi l'hisloite yne moit que j'apprends, mais que je ne puis coire.
ALCINE.	ALCYNE.
ne ſçay quel malheur a finy ſon deſtin :	ne sais quel malheur a fini son destin :
is ie ſçay ſeulement qu’en ſon lit ce matin on ame de triſteſle & de douleur attainte a forçoit en ſecret de pouſſer cetie plainte.	Y ici sais seulement qu'en son lit ce matin on âme de tristesle et de douleur attainte a forçait en secret de pousser cetie plainte.
uand meſme l’inconſtance entretoit dans mon cœur, oudtois-ie me ſoumettre à ce nouueau vainqueur, de cruels meſpris m’accableroit peut eſtte * l’auoit pris trop tard pour ſeigneur & pour maiſtre?	uand même l'inconstance entretait dans mon cœur, oudtais-je me soumettre à ce nouveau vainqueur, de cruels mépris m'accablerait peut estte * l'avait pris trop tard pour seigneur et pour maître?
AZAMOR.	AZAMOR.
h!	h!
tu m’as abuſé par ton diſcours ſlotteurz 1 pette vient de moy, i’en ſuls le ſeul autheur.	tu m'as abusé par ton discours slotteurz 1 pette vient de moi, j'en suls le seul auteur.
de cruels meſpris m’accableroit peur eſtre ui l’auoir pris trop tard pour ſeigneur & pour maiſtre?	de cruels mépris m'accablerait peur être ui l'avoir pris trop tard pour seigneur et pour maître?
auez-vous dit, Hrinceſſe?	avez-vous dit, Hrincesse?
accabler de meſpris qui fut du monſe & la gloile & le prixs 88 Vos diuines vertus ſe ſont trop faict cognoiſtre.	accabler de mépris qui fut du monze et la gloile et le prixs 88 Vos divines vertus se sont trop fait connaître.
Pour l’auoir pris trop tard pour ſeigneur & pour mi Ah!	Pour l'avoir pris trop tard pour seigneur et pour mi Ah!
dittes pour ſuiet, qui ſoûmis à vos loix Eut comme vn ſaint Oracle eſcouté voſtre voix.	dites pour sujet, qui soumis à vos lois Eut comme un saint Oracle écouté quelque voix.
Ah!	Ah!
que ne diſiez-vous pour eſclaue fidelle?	que ne disiez-vous pour esclave fidèle?
Pour l’auoit pris trop tard!	Pour l'avait pris trop tard!
o patolle cruelle!	ô patolle cruelle!
Quand vn amour parfaict nous porte à nous vnit, On peut commencer tard ce qui ne peut finir.	Quand un amour parfait nous porte à nous unit, On peut commencer tard ce qui ne peut finir.
C’eſtoit trop toſt pour moy :	C'était trop tôt pour moi :
ie n’en eſtois pas d́ Nul ne peut meriter cette faueur inſigne.	Ce n'en étais pas dûr Nul ne peut mériter cette faveur insigne.
Quel deſaſtre par tout accompagne mes pas?	Quel désastre par tout accompagne mes pas?
Contre mon propre ſang i’ay liuté des combas:	Contre mon propre sang j'ai liuté des combas:
I'ay deſſetuy la fille en ſecourant le Pete:	J'ai dessetui la fille en secourant le Pète:
Mon bras a faict perir ma maiſtreſſe & mon frere, Mon amour & mon ſang:	Mon bras a fait périr ma maîtresse et mon frère, Mon amour et mon sang:
helas!	hélas!
qu’attens-ie plus Miſerable vainqueur, voy quels ſont tes vaincus.	qu'attends-je plus Misérable vainqueur, vois quels sont tes vaincus.
Voy meſmes qu’ils ſout morts, & leuts ennemis vluI'en ſuis le principal que cent fureurs pourſuiuent.	Vois mêmes qu'ils sout morts, et luteuts ennemis vluI'en suis le principal que cent fureurs poursuivent.
Donc ſi i’ay de Fhonneur tel que le veut mon rant Du ſeu pour ma maiſtreſſe, & du ſang pour monſe A ma flame, à mon ſang.	Donc si j'ai de Fhonneur tel que le veut mon rant Du pour ma maîtresse, et du sang pour monze À ma flamme, à mon sang.
ſi ie ne ſuis vn traiſtre, Ie doy vanger ſot moy les maux que i’ay faict na	si ici ne suis un traître, Je dois venger sot moi les maux que j'ai fait na
SCENE I.	SCÈNE I.
ALCINE.	ALCYNE.
ALMIRE.	ÀLMIRE.
AZAMOM	AZAMOM
L ALCINE.	L ALCYNE.
IEVX!	JEUX!
Almite eſtoit morte, & ie la voy cout	Alite était morte, et ainsi la voyicoût
ALMIRE.	ÀLMIRE.
Ne vous eſtonnez point, le mal ſe peut guetir.	Ne vous étonnez point, le mal se peut guetir.
Ne verſez point de pleurs.	Ne versez point de pleurs.
Miramé n'eſt point ma	Miramé n'est point ma
ALCINE.	ALCYNE.
O l'excez de plaiſir que ce diſcours m’arporte!	Ô l'excès de plaisir que ce discours m'arporte!
AZAMOR.	AZAMOR.
αι πεαι-ειle peint παιυς d 4	 πεαι-le peint παιυς * 4
IM O ALMIRE.	JM Ô ÀLMIRE.
Elle dort, croyez?	Elle dort, croyez?
moy.	moi.
AZAMOR.	AZAMOR.
.	.
ie ae ι cιοy puι	ie „ à cimi puι
ALMIRE.	ÀLMIRE.
Qu'on appelle le Ror	Qu'on appelle le Ror
AZAMOR.	AZAMOR.
e ſuis trop malheureux.	Je suis trop malheureux.
ALMIRE.	ÀLMIRE.
Ce malheur n'eſt qu’vn ſonge.	Ce malheur n'est qu'un songe.
AZAMOR.	AZAMOR.
1 EII u me veux flatter auec va doux menſonge.	1 EII u me veux flatter avec va doux mensonge.
ALMIRE.	ÀLMIRE.
1 ’ay rien oublié, Prince, pour vous ſeruir.	1 aay rien oublié, Prince, pour vous servir.
mon inuentioa vous va bien toſt rauit.	mon inventioa vous va bien tôt ravit.
AZAMOR.	AZAMOR.
ſon ame eſt à l'eſpoir deformais ioſe-ſible.	son âme est à l'espoir déformais josé-sible.
SCENE VII.	SCÈNE VII.
LE ROY.	LE ROY.
ALMIRE.	ÀLMIRE.
AZAMOR.	AZAMOR.
MIRAM ACASTE.	MIRAM ACASTE.
L’AMBASSADEVR.	L'AMBASSADEUR.
LE ROY.	LE ROY.
IRAME n'eſt point morte ?	JRAME n'est point morte ?
Alinise, eſt IIpoiu.	Alinise, est IIpoiu.
ALMIRE.	ÀLMIRE.
site, elle ne l'eſt point.	site, elle ne l'est point.
LE ROY.	LE ROY.
Comment?	Comment?
ALMIRE.	ÀLMIRE.
4 Ne pouuant pas L’empeſchet par raiſon de courir au trêpas, I'ay feint que i’approuuo.	4 Ne pouvant pas L'empêchet par raison de courir au trépas, J'ai feint que j'approuvo.
s vn deſſein ſi tragique, Qu’elle pouuoit mourir par vne herbe Colchique, Qui de la ſeule odeur tuoit en vn moment;	 saint dessein si tragique, Qu'elle pouvait mourir par une herbe Colchique, Qui de la seule odeur tuait en un moment;
Mais au lieu de tuer elle endort ſeulement;	Mais au lieu de tuer elle endort seulement;
Et Medée en vſa pour ſiller la paupiere Du dragon qui iamais ne perdoit la lumiere.	Et Medée en usa pour siller la paupière Du dragon qui jamais ne perdait la lumière.
I'en gardois en ſecret, ie courus la querit, I'en porte, elle la ſent, & dort penſant mourir.	J'en gardais en secret, je courus la quérit, J'en porte, elle la sent, et dort pensant mourir.
Ie l’ay ſentie auſſi, nuis non ſi long-temps qu’elle Auſſi i’ay moins dormy.	Je l'ai sentie aussi, nuis non si longtemps qu'elle Aussi j'ai moins dormi.
AZAMOR.	AZAMOR.
L'agreable nouuelle!	L'agréable nouvelle!
LE ROY.	LE ROY.
lime ton eſprit, i’arprouue ton conſeil.	lime ton esprit, j'arprouve ton conseil.
ons la ſecourir.	ons la secourir.
AZAMOR.	AZAMOR.
Courons à ſon réveil.	Courons à son rèveil.
taſchons d’appaiſer le tranſport qui l’anime.	tâchons d'apaiser le transport qui l'anime.
e Ciel pour le moins me deſcharge d’vn crime.	e Ciel pour le moins me décharge d'un crime.
cher frete, ton ſang en ces lieux eſpanche eſſe par mon ſang me ſera reproché.	cher frète, ton sang en ces lieux épanche esse par mon sang me sera reproché.
LE ROY.	LE ROY.
ſomne eſt cernel, tu nous trompes.	somne est cernel, tu nous trompes.
Almire.	Almire.
ALCINE.	ALCYNE.
und Prince, elle dit vray.	un Prince, elle dit vrai.
la Princeſſe teſpire.	la Princesse tespire.
e s’eſueille enfin.	Je s'éveille enfin.
MIRAME.	MIRAME.
Sombres & triſles lieux, moins laiſſez moy voir le ſouhait de ma yeux.	Sombres et trisles lieux, moins laissez -moi voir le souhait de ma yeux.
AZAMOR.	AZAMOR.
bons Dieux!	bons Dieux!
elle vit.	elle vit.
MIRAME.	MIRAME.
Où ſommes-nous, Almire.	Où sommes-nous, Almire.
où vient ce iout ſi grand dedans le noir Empire!	où vient ce jout si grand dedans le noir Empire!
ete Almiie, vient-il de l’eſclat radieux, ue l’ame d’Arimant reſpand dans ces bas lieux?	été Almiie, vient-il de l'éclat radieux, ue âme Arimant répand dans ces bas lieux?
ne puis ſouſtenir ſa brillante lumiere.	ne puis soutenir sa brillante lumière.
nce, mon eſpetance & premiere & detniere.	née, mon espétance et première et detniere.
Venez me receuoir, ie cours apres vos pas.	Venez me recevoir, ie cours après vos pas.
Faittes qu’on vous entende, oû l’on ne vous voit	Faites qu'on vous entende, ouu l'on ne vous voit
AIMIRE.	AIMIRE.
Il n'eſt point en ces lieux.	Il n'est point en ces lieux.
MIRAME.	MIRAME.
O cruelle auantute!	Ô cruelle avantute!
Il erre au bord du fleuue eſtant ſans ſepultor.	Il erre au bord du fleuve étant sans sépultor.
de vor-dti	de vor-dti
ALMIRE.	ÀLMIRE.
Voſtre Pere.	Votre Père.
MIRAME.	MIRAME.
Almire, il eſt done mout Et le Roy Phrygie:	Almire, il est donce moût Et le Roi Phrygie:
ont ils ſuiuy mon fort?	ont ils suivi mon fort?
Pardon, mon Roy, mon Pere.	Pardon, mon Roi, mon Père.
LE ROY.	LE ROY.
Hé bien, ie vous pardonne.	Hé bien, Seigneur vous pardonne.
Ma fille, il ne faut pas que ie vous abandonne.	Ma fille, il ne faut pas que je vous abandonne.
Ouy, ie vous viens chercher en ce lieu bien-heuiti Mais admirez l’ardeur de ce Prince amoureux.	Oui, je vous viens chercher en ce lieu bienheuiti Mais admirez l'ardeur de ce Prince amoureux.
Il vous cherche en tous lieux:	Il vous cherche en tous lieux:
il veut touſiours vouiſi Nous viurons tous enſemble.	il veut toujours vouisi Nous vivrons tous ensemble.
MIRAME.	MIRAME.
Ah!	Ah!
parlez-vous de viure?	parlez-vous de vivre?
Ce mot eſt-il permis où domine la mort t	Ce mot est-il permis où domine la mort t
LE ROY.	LE ROY.
Ouy.	Oui.
Mirame, il faut viures & pat vn bel eſfon alncie de voſtee cœur la do n’eur obſtinée.	Mirme, il faut vivres et pat un bel esson alncie de voste cœur la do n'eur obstinée.
geει d’Azamor le royal hymenée.	geει d'Azamor le royal hyménée.
ne ſommes point morts, ny luy, ny vous, ny moy.	ne sommes point morts, encoux, ni vous, ni moi.
rimant de la Parque a ſeul ſenty la loy.	rimant de la Parque a seul senti la loi.
s’il viuoit encor, il vous priroit luy-meſme ccepier les deſirs d’vn frere qui vous ayme.	s'il vivait encor, il vous prirait avoir-même ccepier les désirs d'un frère qui vous aime.
zamor eſt ſon frere, & vous prendrez plaiſic en apprendre l’hiſtoire auec plus de loiſir.	zamor est son frère, et vous prendrez plaisic en apprendre l'histoire avec plus de loisir.
y ſont les iardins de la belle Heraclée.	y sont les jardins de la belle Heraclée.
de vos amis eſt la troupe aſſemblée.	de vos amis est la troupe assemblée.
MIRAME.	MIRAME.
traiſtreſſe, ie vis.	traîtresse, Seigneur vis.
ALMIRE.	ÀLMIRE.
1 Quiutez voſtre fureur.	1 Quiutez votre fureur.
MIRAME.	MIRAME.
Al ſon ſang en autruy me donne de l’horreur.	Al son sang en autrui me donne de l'horreur.
n frere pour eſpoux?	n frère pour époux?
ô malheureuſe amante, ui meſme ſans ton ame es encore viuante, ut-il qu’en ta douleur pour comble de tourment n te preſente encor ſon frere pour amant ?	ô malheureuse amante, ui même sans ton âme es encore vivante, ut-il qu'en ta douleur pour comble de tourment te présente encor son frère pour amant ?
qu’on penſe qu’vn nœud peuſt eſtre legjtime, u ſon ſang pour iamais te reprochaſt ton crime?	qu'on pense qu'vn nœud pût être légjtime, son sang pour iamais te reprochât ton crime?
on frere pour eſpoux?	on frère pour époux?
propos iniurieux, ont mon amour s’irrite & ſe rend furieux.	propos injurieux, ont mon amour s'irrite et se rend furieux.
in frere pour eſpoux?	in frère pour époux?
plus il luy ſeroic proche.	plus il était serait proche.
croirois de plus prés en ſentit le reptoche.	croirais de plus près en sentit le reptoche.
eſt inceſte en amour, & digne d’vn bourreiu, ue de s’vnir au ſang d’vn amant au tombeau.	est inceste en amour, et digne d'un bourreiv, ue de s'unir au sang d'un amant au tombeau.
AZAMOR.	AZAMOR.
on, ie ne pretens pas, equitable Mirame.	on, Seigneur ne prétends pas, équitable Mirame.
ue vous deuiez penſer à ſoulager ma flame.	Que vous deviez penser à soulager ma flamme.
pretends ſeulement le pardon d’vn trépas, ue moy-meſme à mon cœur ie ne pardonne pas.	prétends seulement le pardon d'un trépas, ue moi-même à mon cœur homme ne pardonne pas.
92 Ie vay trouuer mon ſiere;	92 Je vais trouver mon sière;
& de vos feux filelle Ie m’en vay luy.	et de vos feux filelle Je m'en vayblé.
porter les aimabies nouuellet	porter les aimabies nouvellet
SCENE DERNIER LE ROY.	SCÈNE DERNIER LE ROY.
SOLDAT.	SOLDAT.
AZAMOR, MIRI ALMIRE.	AZAMOR, MIRI ALMIRE.
L’AMBASSADEVR.	L'AMBASSADEUR.
ACASTE ALCINE.	ACACSTE ALCYNE.
ADRASTE.	ADRASTE.
SOLDAT.	SOLDAT.
IRE.	IRE.
I'oſe en ce lieu prendre la liberté O Drannoncer vn bon-heur à voſtre Maieſté.	J'ose en ce lieu prendre la liberté Ô Rannoncer un bonheur à votre Majesté.
Arimant n’eſt point mort.	Arimant n'est point mort.
IE ROY.	JE ROY.
O Dieux!	Ô Dieux!
eſt- il poſtbis	est- il postbis
MIRAME.	MIRAME.
Pourroit-il m’arriuer vn bon-heur ſi ſenſible?	Pourrait-il m'arriver un bonheur si sensible?
SOLDAT.	SOLDAT.
Ce Prince entre nos bras n’eſtoit qu’éuanoüy.	Ce Prince entre nos bras n'était qu'évanoui.
AZAMOR.	AZAMOR.
Quoy !	Quoi !
mon fiere eſt viuant?	mon fière est vivant?
que ie fuis reſiouy.	que ici fuis réjoui.
SOLDAT.	SOLDAT.
2 Son coup par vn bon-heur coule au long d'vne L’eſclaue auoit failly.	2 Son coup par un bonheur coule au long d'une L'esclaue avait failly.
ATAMOR.	ATAMOR.
La bien-heureuſe faute!	La bienheureuse faute!
SOLDAT.	SOLDAT.
ſang qu’il a verté cauſoit ſa paſmoiſon.	sang qu'il a verté causait sa pâmoison.
coup n’eſt point moitel;	coup n'est point moitel;
mais pour ſa gueriſon mut iuy imer en la beauté qu’il adore:	mais pour sa guérison mut jui jour en la beauté qu'il adore:
sil ne la void point il veut mourir encore.	sil ne la voit point il veut mourir encore.
a fermé ſa playe:	a fermé sa plaie:
il taſche à la rouurir.	il tâche à la rouvrir.
LLI MIRAME.	LLI MIRAME.
Dieux!	Dieux!
le puis-ie voir?	le puis-je voir?
puis-ie le ſecourir?	puis-je le secourir?
AZAMOR.	AZAMOR.
le furmonte.	le furmonte.
Amour.	Amour.
ſans eſtre vn infidellequ’elle a fait pour luy, ce qu’il a fait pour elle, hume leur Ambor ce roupt mes deſplaiſirs.	sans être ici infidèlequ'elle a fait pour lui, ce qu'il a fait pour elle, hume leur Ambor ce roupt mes déplaisirs.
dans mon propre ſang i’eſtouffe mes deſirs.	dans mon propre sang j'étouffe mes désirs.
deſpit de mes feux la raiſon la luy donne.	dépit de mes feux la raison la femme donne.
LE ROY.	LE ROY.
Ince, la cedez:	Ince, la cédez:
vour!	vour!
AZAMOR.	AZAMOR.
L’amour meſme l’ordonne.	L'amour même l'ordonne.
la cele à l’amant qui poſſede ſon cœut.	la cèle à l'amant qui possède son cœut.
rimant eſt vaincu;	rimant est vaincu;
mais mon frere eſt vainqueur.	mais mon frère est vainqueur.
u cedant à mon ſang ie la cede à moy-meſme;	Ou cédant à mon sang ie la cède à moi-même;
conſens que mon bien ſe donne à ce que i’ayme.	consens que mon bien se donne à ce que j'aime.
MIRAME.	MIRAME.
ous me perdez pour ſemme & m’acquerez pour ſœur.	ous me perdez pour semme et m'acquérez pour sœur.
LE ROY.	LE ROY.
leur amants conjoints vous ſerez poſſeſſeur.	leur amants conjoints vous serez possesseur.
AZAMOR.	AZAMOR.
Ie ſeriy uop beuteux.	Je sery uop beûteux.
MIRAME.	MIRAME.
Ah!	Ah!
quel excez de glolCeder à ſon riual le prix de la victoire, Et meſmes en viuant:	quel excès de glolCéder à son rival le prix de la victoire, Et mêmes en vivant:
le voulez-vous grand Roy	le voulez-vous grand Roi
LE ROY.	LE ROY.
Puis qu’vn amour conſtant engage voſtre foy, u’Azamor y conſent, qu’Arimant eſt ſon frers Qu’il herite d’vn ſceptre, il vous faut ſatisfaire.	Puis qu'un amour constant engage votre foi, ZAmor y consent, qu'Arimant est son frèrers Qu'il hérite d'un sceptre, il vous faut satisfaire.
1 MIRAME.	1 MIRAME.
I Ah!	I Ah!
Pere ſans exemple!	Père sans exemple!
Ah Prince genereux!	Ah Prince généreux!
LE ROY.	LE ROY.
Que l’on deſliure Aibas, allez, viuez heureux,	Que l'on délivre Aibas, allez, vivez heureux,
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
AR Grace & Priuilege du Roy donné à Paris le 14.	AR Grâce et Privilège du Roi donné à Paris le 14.
de Mars 1639.	de Mars 1639.
il eſt permis au ſieur SMARETS, Conſeiller du Roy & Conlleur general de l’extraordinaire des guerde faire imprimer, vendre, & debicer touſes cuures, tant de Proſe que de Vers, impries & à imprimer, durant l’eſpace de vingt ans.	il est permis au sieur SMARETS, Conseiller du Roi et Conlleur général de l'extraordinaire des guerde faire imprimer, vendre, et débicer touses cuvres, tant de Prose que de Vers, impries et à imprimer, durant l'espace de vingt ans.
deffenſes ſont faictes à toutes perſonnes de que qualité & condition qu’elles ſoient, iprimer pour l’aduenir, ny de contrefaiaucunes choſes des œuures dudit ſieur SMARETS, imprimées ou à imprimer, uelque façon & loubs quelque pretexte que it, ny de les vendre & debiter ſans ſon conment, à peine de trois mil liures d’amende, nfiſcation des exemplaires contrefaicts, & us deſpens, dommages & intereſts:	défenses sont faites à toutes personnes de que qualité et condition qu'elles soient, jprimer pour l'avenir, ni de contrefaitaucunes choses des œuvres dudit sieur SMARETS, imprimées ou à imprimer, uelque façon et loubs quelque prétexte que it, ici de les vendre et débiter sans son conment, à peine de trois mil livres d'amende, néfiscation des exemplaires contrefaits, et us dépens, dommages et intérêts:
