A TRES-NOBLE ET ES-VERTVEVSE Damoyſelle Eleonor Febronie, Comteſſe de Berne.	À TRÈS-NOBLE ET ES-VERTUEUSE Damoiselle Eleonor Fébronie, Comtesse de Berne.
C’eſt à toy que ie parle, mon ame, rentres dans ce corps d’où tu viens de ſortir, que ſi tu ne peux en animner deux tout à la fois, fay nous viure, & mourir par interuale, l’vn apres l’autre d’vne vie toute amoureuſe, & d’vne mort ſemblable.	C'est à toi que ie parle, mon âme, rentres dans ce corps d'où tu viens de sortir, que si tu ne peux en animer deux tout à la fois, fais nous vivre, et mourir par interuale, l'H après l'autre d'une vie toute amoureuse, et d'une mort semblable.
Sois fauorable à mes vœux, belle Lune, puis que tu as eſté Amante.	Sois favorable à mes vœux, belle Lune, puis que tu as été Amante.
Et enſeigne moy ce charme de pouuoir iouïr de mon Pyrame que la mort tient endormy, de meſme que tu ioüiſſois de ton Endimion.	Et enseigne moi ce charme de pouvoir jouir de mon Pyrame que la mort tient endormi, de même que tu jouissais de ton Endimion.
Il te baiſoit, ſans approchet ſa bouche de la tienne, il t’embraſſoit ſans mouuoir ſes bras.	Il te baisait, sans approchet sa bouche de la tienne, il t'embrassait sans mouvoir ses bras.
Et toutesfois, quoy que ſes delices fuſſent imaginaires, elles ſe rendoient ſi ſenſibles à ton imagination, que les douceurs en reja liſſoient dans ton ame.	Et toutefois, quoi que ses délices fussent imaginaires, elles se rendaient si sensibles à ton imagination, que les douceurs en rejà lissaient dans ton âme.
De me me auſſi tu le careſſois ſans te to cher, & comblois ſon eſprit mille faueurs toutes amoureuſes dont il eſtoit rauy en idee.	De me me aussi tu le caressais sans te to cher, et comblais son esprit mille faveurs toutes amoureuses dont il était ravi en idée.
Far nous part de ces felicitez:	Far nous part de ces félicités:
qu ſi tu ne le peux ſans me trom per, i’y conſents, pourueu quet charmes mes mal-heurs auec ma raiſon, & que mon eſprit abusé me force de croire par des appas ſenſibles, que mon cher Pyrame eſt colé ſur ma bonche, où ſoupi rant tout l’air que ie reſpire, il me parle des yeux, & de la penſee, pour m’aſſeurer qu’il eſt également comblé, & de ioye & d’amour.	qu si tu ne le peux sans me trom per, j'y consents, pourvu quet charmes mes malheurs avec ma raison, et que mon esprit abusé me force de croire par des appas sensibles, que mon cher Pyrame est colé sur ma bonche, où soupi ant tout l'air que sans respire, il me parle des yeux, et de la pensée, pour m'assurer qu'il est également comblé, et de ioye et d'amour.
Et que ie luy tienne vn meſme langage, eſtant engagee à luy faire des ſemblables careſſes.	Et que ici ici tienne un même langage, étant engage à lui faire des semblables caresses.
Mais quel plaiſir prens-ie à me tromper en retardant ma mort, ie prolonge mes ſupplices.	Mais quel plaisir prends-je à me tromper en retardant ma mort, je prolonge mes supplices.
Mourons donc de plaiſir, de triſteſſe, & d’amour tout à la fois.	Mourons donc de plaisir, de tristesse, et d'amour tout à la fois.
D’amour, puis que ma paſſion le veut, de triſteſſe, puis que mon malheur m’y oblige, & de plaiſir, puis que i’imite mon Amant, ô douce mort, & cruelle la vie qui me detient le dernier ſoupir dans les entrailles.	D'amour, puis que ma passion le veut, de tristesse, puis que mon malheur m'y oblige, et de plaisir, puis que j'imite mon Amant, ô douce mort, et cruelle la vie qui me détient le dernier soupir dans les entrailles.
Adieu beau aſtres, dont l’agreable lumiere me conduit au tombeau:	Adieu beau astres, dont l'agréable lumière me conduit au tombeau:
Adieu funeſte ſolitude, ou mon deſtin a preparé mes funerailles.	Adieu funeste solitude, ou mon destin a préparé mes funérailles.
Adieu Fontaine, dont mes maux on tiré leur ſource.	Adieu Fontaine, dont mes maux on tiré leur source.
Adieu cher Arbre, dont le fruict rouge & ſanglant, porte deſ-ja les marques de ma miſere, ne permets pas qu’ils changent de couleur, afin que la memoire de mon infortune ne ſoit pas ſujétte au change.	Adieu cher Arbre, dont le fruit rouge et sanglant, porte déjà les marques de ma misère, ne permets pas qu'ils changent de couleur, afin que la mémoire de mon infortune ne soit pas sujet au change.
Adieu en fin Pyram Mais pourquoy te diſ-ie adier puis que ie te vay trouuer.	Adieu en fin Pyram Mais pourquoi te dis-je adier puis que tu te vais trouver.
Ce eſpee me ſeruira de guide au ch min de la mort dont mon ſan marque deſ-ja les traces, afin q ie ne meſgare point.	Ce espée me servira de guide au ch in de la mort dont mon san marque des-jà les traces, afin q ici ne mégare point.
O qu’il y a plaiſir de mourir pour ce qu’e ayme.	Ô qu'il y a plaisir de mourir pour ce qu'e aime.
IN.	IN.
CONSENTEMENT DE Monſieur le Procureur du Roy.	CONSENTEMENT DE Monsieur le Procureur du Roi.
E n’empeſche pour l' Roy que la Tragedie I en proſe intitulé, Le Pyrame du Sieur de la Serre ſoit Imprimé & miſe en lumiere par Iean Aymé Candy, Maiſtre Imprimeur à Lyon, auec defenſes en tel cas accouſtumees, Ce 19.	E n'empêche pour l' Heure que la Tragédie I en prose intitulé, Le Pyrame du Sieur de la Serre soit Imprimé et mise en lumière par Jean Aymé Candy, Maître Imprimeur à Lyon, avec défenses en tel cas accoustumees, Ce 19.
Aouſt.	Août.
1633.	1633.
pr.	pr.
du Roy.	du Roi.
PERMISSION DE MONSIEVR le Lieutenant General.	PERMISSION DE MONSIEUR le Lieutenant Général.
Ous auons permis audict Candy, d’ImNprimer le ſuſdict Liure.	Ous avons permis audict Candi, d'ImNprimer le susdict Livre.
Auec defences a tous autres en tel cas requiſes.	Avec défenses à tous autres en tel cas requises.
Faict les an & iour ſuſdicts.	Fait les an et jour susdits.
L.	L.
MOIRON.	MOIRON.
