A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
ils n’ont pas affaire à ur faquin, ils verront de quel bois je me chauffe, le veulent ou non, ils paſſeront par mes pates, je leur feray ſentir ce que peſe mor bras, je les châtiray ſi bien & ſi beau qu’or en entendra ny pleuvoir ny venter quand ils ſeroient tous de feu, & qu’ils auroient la force de Sanſon & le courage de Hercules.	ils n'ont pas affaire à ur faquin, ils verront de quel bois je me chauffe, le veulent ou non, ils passeront par mes pates, je leur ferai sentir ce que pèse mór bras, je les châtirai si bien et si beau qu'or en entendra toujours pleuvoir a venter quand ils seraient tous de feu, et qu'ils auraient la force de Sanson et le courage de Hercule.
qu’ils ſeroient des Poliphemes, des Achilles, des Hectors, des Cirus, des Alexandres, des Annibals, des Scipions, des Ceſars, des Pompées, des Rolands, des Rogers, des Godefroy de Boüillon, des Roberts le Diable, des Geofroy à la grand dent, tous auſſi grands que les Gargantuas & des Briarées à cent bras, un ſeul des miens les tuëra comme des hannetons, & ne dureront devant moy non plus que le feu de paille.	qu'ils seraient des Poliphètes, des Achilles, des Hectors, des Césus, des Alexandres, des Hannibals, des Scipions, des Césars, des Pompées, des Rolands, des Rogers, des Godefroi de Boüillon, des Roberts le Diable, des Géofroi à la grand dent, tous aussi grands que les Gargantuas et des Briarées à cent bras, un seul des miens les tueura comme des hannetons, et ne dureront devant moi non plus que le feu de paille.
Aliſon.	Alison.
Et qu’une fraize dans la gueule d’une truie.	Et qu'une fraise dans la gueule d'une truie.
Il y va du cul & de la tête comme une corneille qui abat des noix.	Il y va du cul et de la tête comme une corneille qui abat des noix.
O le grand caſſeur de raquettes, le grand rompeur d’huis ouverts, le gralla depuerieur de fourrice, il eſt vaillant, il a fait preuve de ſa valeur des armes de Caïn, de machoires, les voyezvous ce Capitaine plante bourde.	Ô le grand casseur de raquettes, le grand rompeur d'huis ouverts, le gralla dépuérieur de fourrice, il est vaillant, il a fait preuve de sa valeur des armes de Caïn, de mâchoires, les voyezvous ce Capitaine plante bourde.
Fierabras.	Fierabras.
Seigneur Docteur, ce que je vous dis ne ſont point des contes de la cicoigne.	Seigneur Docteur, ce que je vous dis ne sont point des contes de la cigoigne.
Aliſon.	Alison.
Ce qu’il dit eſt vray comme je file, c’eſt un bon Gentil-homme, il eſt fils de pêcheur, de noble lignée.	Ce qu'il dit est vrai comme je file, c'est un bon Gentilhomme, il est fils de pêcheur, de noble lignée.
Fierabras.	Fierabras.
Et vous le verrez plûtôt que plus tard, plûtôt aujourd’huy que demain, je les feray renoncer à la triomphe, & coucher du cœur ſur le carreau:	Et vous le verrez plutôt que plu tard, plûtôt aujourd'hui que demain, je les ferai renoncer à la triomphe, et coucher du cœur sur le carreau:
il en faut dépêter le monde, la garde n’en vaut rien, car telles gens vallent mieux en terre qu’en pré, ils ne font que traîner leur lien, en attendant que je me mette ſur leur friperie, & que je les jette ſi haut que la religion du feu les reduira en cendres, en moins d’un tournemain.	il en faut dépêter le monde, la garde n'en vaut rien, car telles gens valent mieux en terre qu'en pré, ils ne font que traîner leur lien, en attendant que je me mette sur leur friperie, et que je les jette si haut que la religion du feu les réduira en cendres, en moins d'un tournemain.
Theſaurus.	Thesaurus.
Par Ciceron vous valez mieux que vôtres peſant d’or:	Par Cicéron vous valez mieux que vôtres pesant d'or:
car vous faites l’office d’un vray amy de venir ſans être mandé, c’eſt être venu comme tabourin à nopces, & faire en per y ſonne ce que feroit un autre par Procureur mais pour ne point mettre ablativau tout ei un tas & ne rien confondre, il ne faut pa tant faire de bruit, ce ne ſont des abeilles on ne les aſſemble pas au ſon du chauderon	car vous faites l'office d'un vrai ami de venir sans être mandé, c'est être venu comme tabourin à nopces, et faire en per y sonne ce que ferait un autre par Procureur mais pour ne point mettre ablativau tout ei un tas et ne rien confondre, il ne faut pay tant faire de bruit, ce ne sont des abeilles on ne les assemble pas au son du chauderon
Aixon.	Aixon.
Ils ſont bons chevaux de trompette, ils ne s’effrayent pas pour le bruit, tel ménace qu a bien peur.	Ils sont bons chevaux de trompette, ils ne s'effraient pas pour le bruit, tel ménace qu' à bien peur.
Maître Gonin eſt mort le mon de n’eſt plus gruë.	Maître Gonin est mort le mon de n'est plus grue.
Alaigre.	Alaigre.
L’on verra que devant qu’il ſoit trois foi les Roys je les metteray O benigna.	L'on verra que devant qu'il soit trois foi les Rois je les metterai Ô benigna.
Aliſon.	Alison.
Vous nous donnerez le Carême bien hau le terme vaut l’argent, il ny atira plus en  temps-là ny bête ny gens.	Vous nous donnerez le Carême bien hau le terme vaut l'argent, il était atira plus en temps-là niprête ni gens.
Fierabras.	Fierabras.
37 Le ſang me monte au viſage, il me bout dans le corps de ne pouvoir dés à preſent mettre la griffe ſur eux, j’entre encolere.	37 Le sang me monte au visage, il me bout dans le corps de ne pouvoir dès à présent mettre la griffe sur eux, j'entre encolère.
Aliſon.	Alison.
Qu’il tuëroit un mercier pour un peigne.	Qu'il tuerait un mercier pour un peigne.
O le grand fendeur de naſeaux.	Ô le grand fendeur de naseaux.
T heſaurus.	 Tesaurus.
Ne fumetis domine.	Ne fumétis domine.
Aliſon.	Alison.
Il eſt encolere, la Lune eſt ſur le bon bout.	Il est encolère, la Lune est sur le bon bout.
Theſaurus.	Thesaurus.
Il ne faut pas que la colere vous emporte du blanc au noir & du noir au blanc.	Il ne faut pas que la colère vous emporte du blanc au noir et du noir au blanc.
Vous étes trop chaut pour abrever, ce ſeroit tomber de fiévre en chaut mal, il faut aller au devant par derriere, & vous conſerver comme une relique, nous avons affaire de vous plus d’une fois, il ne faut pas tout prendre de volée, & joüer à quite ou à double, ce ſeroit trop hazarder le paquet, en danger de tout perdre & tomber de Caribde en Scile, c’eſt à dire, qu’il faut aller doucemeut en beſongne.	Vous êtes trop chaut pour abrever, ce serait tomber de fièvre en chaut mal, il faut aller au devant par derrière, et vous conserver comme une relique, nous avons affaire de vous plus d'une fois, il ne faut pas tout prendre de volée, et jouer à quite ou à double, ce serait trop hasarder le paquet, en danger de tout perdre et tomber de Caribde en Scile, c'est à dire, qu'il faut aller doucemut en besongne.
Croyez-moy & dites qu’une bête vous la dit.	Croyez-moi et dites qu'une bête vous la dit.
Fierabras.	Fierabras.
Vôtre conſeil n’eſt pas mauvais, il y en a de pires, il vaut mieux les laiſſer ſe venir prendre au trebuchet, ils feront comme les papillons, ils viendront d’eux-mêmes ſe brûler	Votre conseil n'est pas mauvais, il y en a de pires, il vaut mieux les laisser se venir prendre au trébuchet, ils feront comme les papillons, ils viendront d'eux-mêmes se brûler
à la chandelle.	à la chandelle.
Je leur veux tendre des fillets, où ils ſe viendront prendre comme moignaux à la gluë, lors je les traiteray comme enfans de bonne maiſon, je les épouſteray & étrilleray ſur le ventre & par tout, & en attendont je vous prie de dormir à la Françoiſe, & moy je veilleray à l’Eſpa	Je leur veux tendre des sillets, où ils se viendront prendre comme moignaux à la glue, lors je les traiterai comme enfants de bonne maison, je les épousteray et étrillerai sur le ventre et par tout, et en attendont je vous prie de dormir à la Française, et je vous veillerai à l'Espa
gnolle.	golle.
AliZon.	Alizon.
Vous dites d’or, & ſi n’avez pas le bec jaune.	Vous dites d'or, et si n'avez pas le bec jaune.
Allez de-la & moy deça, & nous verlons qui enaura.	Allez de-la et moi deça, et nous verlons qui enaura.
SCENE III.	SCÈNE III.
Lidias, Florinde, Philippin, Alaigre,	Lidias, Florinde, Philippin, Alaigre,
Lidias.	Lidias.
Nfin chere Florinde nous ſommes plus Lheureux que ſage d’avoir cueilly la roſe parmy de ſi dangereuſes épines, auſſi eſt-ce dans les plus grands perils que l’on fait connoître ce qu’on a dans le ventre.	Nfin chère Florinde nous sommes plus Lheureux que sage d'avoir cueilly la rose parmi de si dangereuses épines, aussi est-ce dans les plus grands périls que l'on fait connaître ce qu'on a dans le ventre.
On dit bien vray quand on dit qu’il ne faut pas vendre ſa bonne fortune, & que jamais honteux n’eut belle amie, car qui ne s’aventure n’a ny cheval ny mulle.	On dit bien vrai quand on dit qu'il ne faut pas vendre sa bonne fortune, et que jamais honteux n'eut belle amie, car qui ne s'aventure n'a seule cheval On mulle.
Ainſi les plus honteux le perdent:	Ainsi les plus honteux le perdent:
mais pour rentrer de pique noire, parlons de nôtre Capitaine, je luy ay bien paſſé la plume par le bec, il a beau maintenant écouter s’il pleut.	mais pour rentrer de pique noire, parlons de notre Capitaine, je lui ai bien passé la plume par le bec, il a beau maintenant écouter s'il pleut.
monté ſur l’Ours.	monté sur l'Ours.
Lidias.	Lidias.
Il n’oſeroit me regarder entre deux yeux, & ne ſçavez-vous pas que je ſuis un Richard ſans peur, & que je ne crains ny loups ny lievres s’ils ne volent, je ne le redoute ny mort ny vif, c’eſt un habile homme aprés Godard, mais je ſuis fort en impatience d’Alaigre que nous avons envoyé pourmener pour avoir des chauſſes, & eſpionner en quels termes vôtre Pere & nôtre Capitaine nous tiennent.	Il n'oserait me regarder entre deux yeux, et ne sçavez-vous pas que je suis un Richard sans peur, et que je ne crains a loups ni lièvres s’ils ne volent, je ne le redoute ainsi mort ni vif, c'est un habile homme après Godard, mais je suis fort en impatience d'Alaigre que nous avons envoyé pour pour avoir des chausses, et espionner en quels termes votre Père et notre Capitaine nous tiennent.
Il y aura aprés demain trois jours qu’il eſt	Il y aura après demain trois jours qu'il est
Florinde.	Florinde.
39 Il eſt vray que nous avons bien joüe nêtre rôle:	39 Il est vrai que nous avons bien joue nêtre rôle:
mais quand j’y ſonge, il étoit tout jeune & joyeux de croire ſe pouvoir mettre en mes bonnes graces qui étoient à la leſſive pour luy.	mais quand j'y songe, il était tout jeune et joyeux de croire se pouvoir mettre en mes bonnes grâces qui étaient à la lessive pour lui.
Vrayement mes affections étoient bien voüées à d’autres Saints, que ie ſuis heureuſe mon cher Lidias, que ce grand abateur là me lanternoit, il me ſembloit que j’étois à la gehenne lors qu’il me rompoit les oreilles de ſon caquet, & cependant le reſpect que je portois à mon pere qui le ſuportoit, me forçoit de l’amadoüer & l’entretenir en abois le bec en l’eau.	Vraiment mes affections étaient bien voüées à d'autres Saints, que je suis heureuse mon cher Lidias, que ce grand abatteur là me lanternait, il me semblait que j'étais à la géhenne lors qu'il me rompait les oreilles de son caquet, et cependant le respect que je portais à mon père qui le suportait, me forçait de l'amitié et l'entretenir en abois le bec bec l'eau.
Il mâche bien à cette heure ſon frein.	Il mâche bien à cette heure son frein.
Mais tirons pays cher Lidias, de peur qu’il ne nous joüe quelque tour.	Mais tirons pays cher Lidias, de peur qu'il ne nous joue quelque tour.
Philippin.	Philippin.
En quoy avez-vous peur?	En quoi avez-vous peur?
n’avez-vous pas parti, & il ne nous en aportera ny vent ny nouvelles, ſans doute il ſe ſera amuſé à ſouffler la rôtie le coquin, il ne ſonge pas plus loin que ſon nez.	n'avez-vous pas parti, et il ne nous en apportera ni vent ici nouvelles, sans doute il se sera amusé à souffler la rôtie le coquin, il ne songe pas plus loin que son nez.
Philippin.	Philippin.
Mais cependant la gueulé me rabaſte, il ſemble à mon ventre que le diable a emport Florinde.	Mais cependant la gueulé me rabaste, il semble à mon ventre que le diable a emport Florinde.
Cela eſt étrange que tu ſois toûjours ſur Philippin.	Cela est étrange que tu sois toujours sur Philippin.
Vous m’excuſerez je ſuis ſur mes deux pieds comme une oye, il y a pour le moins troil	Vous m'excuserez je suis sur mes deux pieds comme une oie, il y a pour le moins troil
trav ailler.	trav ailler.
Florinde.	Florinde.
Je crois que tu ne ſçaurois être un moment ſans avoir le morceau au bec.	Je crois que tu ne saurais être un moment sans avoir le morceau au bec.
Lidias.	Lidias.
Philippin prends courage tu verras tantôt qu’il fait bon porter le fardeau d’Eſope, on s’en décharge par les chemins.	Philippin prends courage tu verras tantôt qu'il fait bon porter le fardeau d'Esope, on s'en décharge par les chemins.
Philippin.	Philippin.
Je ſçay bien qu’il n’eſt rien tel que de faire proviſion de gueule, ce n’eſt pas d’aujourd’hui que je l’ay ouy dire que Beati garnitis, vaut mieux que Beati quorum.	Je sais bien qu'il n'est rien tel que de faire provision de gueule, ce n'est pas d'aujourd'hui que je l'ai ouï dire que Béati garnitis, vaut mieux que Béati quorum.
Mais mordiable cela n’empêche pas que je n’aye des quenoüilles dans le ventre, mes bojaux crient vengeance.	Mais mordiable cela n'empêche pas que je n'aie des quenoüilles dans le ventre, mes bojaux crient vengeance.
Lidias.	Lidias.
Philippin.	Philippin.
Diatas.	Diatas.
nauinuu quillaigre tont venu ue pattre ſeJe ſçai bien que ſi Mlaigre ne vient bien tôt je le paſſert iaitre, pour un Moine on	navinu quillaigre tont venu ue pattre seJe sais bien que si Mlaigre ne vient bien tôt je le passert jaitre, pour un Moine on
guerre le charbon ſera t-il cher.	guerre le charbon sera t-il cher.
melle.	melle.
41	41
ne laile den fanre un Abpe.	ne laile den fanre un Abpe.
