RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
Ce que n’ont pu les Dieux dans voſtre Theſſalie, Ie vay mettre en vos mains Pompée & Cornélie, En voicy déja l’un, & pour l’autre, elle fuit, Mais avec ſix vaiſſeaux un des miens la pourſuit.	Ce que n'ont pu les Dieux dans votre Thessalie, Je vais mettre en vos mains Pompée et Cornélie, En voici déjà l'un, et pour l'autre, elle fuit, Mais avec six vaisseaux un des miens la poursuit.
A ces mots Achillas découvre cette teſte.	À ces mots Achillas découvre cette tête.
Il ſemble qu’à parler encor elle s’apreſte, Qu’à ce nouvel affront un reste de chaleur En ſanglots mal formez exhale ſa douleur.	Il semble qu'à parler encor elle s'apprête, Qu'à ce nouvel affront un reste de chaleur En sanglots mal formés exhale sa douleur.
Sa bouche encor ouverte & ſa veuë égarée Rappellent ſa grande ame à peine ſéparée, Et ſon couroux mourant fait un dernier effort Pour reprocher aux Dieux ſa défaite & ſa mort.	Sa bouche encor ouverte et sa vue égarée Rappellent sa grande âme à peine séparée, Et son courroux mourant fait un dernier effort Pour reprocher aux Dieux sa défaite et sa mort.
Céſar à cét aspect comme frappé du foudre, Et comme ne ſçachant que croire ou que réſoudre, Immobile, & les yeux ſur l’objet attachez, Nous tient aſſez long-temps ſes ſentimens cachez, Et je diray, ſi j’oſe en faire conjecture, Que par un mouvement commun à la Nature, Quelque maligne joye en ſon cœur s’élevoit, Dont ſa gloire indignée à peine le ſauvoit.	César à cet aspect comme frappé du foudre, Et comme ne sachant que croire ou que résoudre, Immobile, et les yeux sur l'objet attachez, Nous tient assez longtemps ses sentiments cachés, Et je dirai, si j'ose en faire conjecture, Que par un mouvement commun à la Nature, Quelque maligne joie en son cœur s'élevoit, Dont sa gloire indignée à peine le sauvait.
L’aiſe de voir la Terre à ſon pouvoir ſoûmiſe Chatoüilloit malgré luy ſon ame avec ſurpriſe, Et de cette douceur ſon esprit combatu Avec un peu d’effort raſſeuroit ſa vertu.	L'aie de voir la Terre à son pouvoir soumise Chatouillait malgré lui son âme avec surprise, Et de cette douceur son esprit combattu Avec un peu d'effort rassurait sa vertu.
S’il aime ſa grandeur, il hait la perfidie, Il ſe juge en autruy, ſe taſte, s’étudie, Examine en ſecret ſa joye & ſes douleurs, Les balance, choiſit, laiſſe couler des pleurs, Et forçant ſa vertu d’eſtre encor la maîtreſſe, Se montre généreux par un trait de foibleſſe.	S'il aime sa grandeur, il hait la perfidie, Il se juge en autrui, se tâte, s'étudie, Examine en secret sa joie et ses douleurs, Les balance, choisit, laisse couler des pleurs, Et forçant sa vertu d'être encor la maîtresse, Se montre généreux par un trait de faiblesse.
En ſuite il fait oſter ce preſent de ſes yeux, Léve les mains enſemble & les regards aux Cieux, Laſche deux ou trois mots contre cette inſolence, Puis tout triste & penſif il s’obstine au ſilence, Et meſme à ſes Romains ne daigne repartir Que d’un regard farouche, & d’un profond ſoûpir.	En suite il fait ôter ce présent de ses yeux, Léve les mains ensemble et les regards aux Cieux, Lasche deux ou trois mots contre cette insolence, Puis tout triste et pensif il s'obstine au silence, Et même à ses Romains ne daigne repartir Que d'un regard farouche, et d'un profond soupir.
Enfin ayant pris terre avec trente Cohortes, Il ſe ſaiſit du Port, il ſe ſaiſit des portes, Met des Gardes par tout, & des ordres ſecrets, Fait voir ſa défiance ainſi que ſes regrets, Parle d’Egypte en maiſtre, & de ſon adverſaire, Non plus comme ennemy, mais cõme ſon beau-pére.	Enfin ayant pris terre avec trente Cohortes, Il se saisit du Port, il se saisit des portes, Met des Gardes par tout, et des ordres secrets, Fait voir sa défiance ainsi que ses regrets, Parle d'Égypte en maître, et de son adversaire, Non plus comme ennemi, mais cõme son beau-père.
Voilà ce que j’ay veu.	Voilà ce que j'ai vu.
CHARMION.	CHARMION.
Voilà ce qu’attendoit, Ce qu’au juste Oſiris la Reine demandoit.	Voilà ce qu'attendait, Ce qu'au juste Osiris la Reine demandait.
Je vay bien la ravir avec cette Nouvelle, Vous, continuez-luy ce ſervice fidelle.	Je vais bien la ravir avec cette Nouvelle, Vous, continuez-lui ce service fidèle.
ACHOREE.	ACHORE.
Qu’elle n’en doute point.	Qu'elle n'en doute point.
Mais Céſar vient, allez, Peignez-luy bien nos gens paſles & deſolez, Et moy, ſoit que l’iſſuë en ſoit douce, ou funeste, J’iray l’entretenir, quand j’auray veu le reste.	Mais César vient, allez, Pelez-lui bien nos gens pâles et désolés, Et moi, soit que l'issue en soit douce, ou funeste, J'irai l'entretenir, quand j'aurai vu le reste.
SCENE II.	SCÈNE II.
CESAR, PTOLOMEE, LEPIDE, PHOTIN, ACHOREE, Serdats Romains, Soldats Egy ptiens.	CÉSAR, PTOLOME, LEPIDE, PHOTIN, ACHORE, Serdats Romains, Soldats Égi ptiens.
TIOLOMEE.	TIOLOME.
Eigneur, montez au troſne & commandez icy.	Eigneur, montez au trône et commandez ici.
CESAR.	CÉSAR.
Connoiſſez-vous Céſar de luy parler ainſi ?	Connaissez-vous César de Seigneur parler ainsi ?
Que m’offriroit de pis la Fortune ennemie, A moy qui tiens le troſne égal à l’infamie?	Que m'offrirait de pis la Fortune ennemie, À moi qui tiens le trône égal à l'infamie?
Certes Rome à ce coup pourroit bien ſe vanter D’avoir eu juste lieu de me perſécuter, Elle qui d’un meſme œil les donne & les dédaigne, Qui ne voit rien aux Rois qu’elle aime, ou qu’elle craigne, Et qui verſe en nos cœurs avec l’ame & le ſang Et la haine du nom, & le mépris du rang.	Certes Rome à ce coup pourrait bien se vanter D'avoir eu juste lieu de me persécuter, Elle qui d'un même œil les donne et les dédaigne, Qui ne voit rien aux Rois qu'elle aime, ou qu'elle craigne, Et qui verse en nos cœurs avec l'âme et le sang Et la haine du nom, et le mépris du rang.
C’eſt ce que de Pompée il vous falloit apprendre;	C'est ce que de Pompée il vous fallait apprendre;
S’il en euſt aimé l’offre, il euſt ſçeu s’en défendre, Et le troſne & le Roy ſe ſeroient ennoblis, A ſoûtenir la main qui les a rétablis.	S'il en eût aimé l'offre, il eût su s'en défendre, Et le trône et le Roi se seraient ennoblis, A soutenir la main qui les a rétablis.
Vous euſſiez pû tomber, mais tout couvert de gloire, Voſtre chûte euſt valu la plus haute victoire, Et ſi voſtre destin n’euſt pû vous en ſauver, Céſar euſt pris plaiſir à vous en relever.	Vous eussiez pu tomber, mais tout couvert de gloire, Votre chute eût valu la plus haute victoire, Et si votre destin n'eût pu vous en sauver, César eût pris plaisir à vous en relever.
Vous n’avez pû former une ſi noble envie;	Vous n'avez pu former une si noble envie;
Mais quel droit aviez-vous ſur cette illustre vie?	Mais quel droit aviez-vous sur cette illustre vie?
Que vous devoit ſon ſang pour y tremper vos mains, Vous qui devez respect au moindre des Romains?	Que vous devait son sang pour y tremper vos mains, Vous qui devez respect au moindre des Romains?
Ay-je vaincu pour vous dans les champs de Pharſale;	Ai-je vaincu pour vous dans les champs de Pharsale;
Et par une victoire aux vaincus trop fatale, Vous ay-je acquis ſur eux en ce dernier effort La puiſſance abſoluë & de vie & de mort?	Et par une victoire aux vaincus trop fatale, Vous ai-je acquis sur eux en ce dernier effort La puissance absolue et de vie et de mort?
Moy qui n’ay jamais pû la ſouffrir à Pompée, La ſouffriray-je en vous ſur luy-meſme uſurpée, Et que de mon bonheur vous ayez abuſé, Jusqu’à plus attenter que je n’aurois oſé?	Moi qui n'ai jamais pu la souffrir à Pompée, La souffrirai-je en vous sur Ah-même usurpée, Et que de mon bonheur vous ayez abusé, Jusqu'à plus attenter que je n'aurais osé?
De quel nom après tout penſez-vous que je nomme Ce coup où vous tranchez du Souverain de Rome, Et qui ſur un ſeul Chef luy fait bien plus d’affront, Que ſur tant de milliers ne fit le Roy de Pont?	De quel nom après tout pensez-vous que je nomme Ce coup où vous tranchez du Souverain de Rome, Et qui sur un seul Chef avait fait bien plus d'affront, Que sur tant de milliers ne fit le Roi de Pont?
Penſez-vous que j’ignore, ou que je diſſimule Que vous n’auriez pas eu pour moy plus de ſcrupule, Et que s’il m’euſt vaincu, voſtre esprit complaiſant Luy faiſoit de ma teſte un ſemblable preſent?	Pensez-vous que j'ignore, ou que je dissimule Que vous n'auriez pas eu pour moi plus de scrupule, Et que s'il m'eût vaincu, votre esprit complaisant Lui faisait de ma tête un semblable présent?
Graces à ma victoire, on me rend des hommages Où ma fuite euſt receu toutes ſortes d’outrages, Au vainqueur, non à moy, vous faites tout l’honneur, Si Céſar en joüit, ce n’eſt que par bonheur.	Grâces à ma victoire, on me rend des hommages Où ma fuite eût reçu toutes sortes d'outrages, Au vainqueur, non à moi, vous faites tout l'honneur, Si César en jouit, ce n'est que par bonheur.
Amitié dangereuſe, & redoutable zéle, Que régle la Fortune & qui tourne avec elle.	Amitié dangereuse, et redoutable zèle, Que règle la Fortune et qui tourne avec elle.
Mais parlez, c’eſt trop eſtre interdit & confus.	Mais parlez, c'est trop être interdit et confus.
PTOLOMEE.	PTOLOMEE.
Je le ſuis, il eſt vray, ſi jamais je le fus, Et vous-meſme avoûrez que j’ay ſujet de l’eſtre.	Je le suis, il est vrai, si jamais je le fus, Et vous-même avourez que j'ai sujet de l'être.
Etant né Souverain je voy icy mon maiſtre, Icy dy-je, où ma Cour tremble en me regardant, Où je n’ay point encor agy qu’en commandant, Je vois une autre Cour ſous une autre puiſſance, Et ne puis plus agir qu’avec obeïſſance.	Étant né Souverain je vois ici mon maître, Ici dis-je, où ma Cour tremble en me regardant, Où je n'ai point encor agi qu'en commandant, Je vois une autre Cour sous une autre puissance, Et ne puis plus agir qu'avec obéissance.
De voſtre ſeul aspect je me ſuis veu ſurpris:	De votre seul aspect je me suis vu surpris:
Jugez ſi vos discours raſſeurent mes esprits, Jugez par quels moyens je puis ſortir d’un trouble Que forme le respect, que la crainte redouble, Et ce que vous peut dire un Prince épouvanté De voir tant de colére, & tant de majeſté.	Jugez si vos discours rassurent mes esprits, Jugez par quels moyens je puis sortir d'un trouble Que forme le respect, que la crainte redouble, Et ce que vous peut dire un Prince épouvanté De voir tant de colère, et tant de majesté.
Dans ces étonnemens dont mon ame eſt frapée De rencontrer en vous le vengeur de Pompée, Il me ſouvient pourtant que s’il fut noſtre appuy, Nous vous dûmes deſſors autant & plus qu’à luy.	Dans ces étonnements dont mon âme est frappée De rencontrer en vous le vengeur de Pompée, Il me souvient pourtant que s'il fut été appui, Nous vous dûmes dessors autant et plus qu'à lui.
Voſtre faveur pour nous éclata la prémiére, Tout ce qu’il fit après fut à voſtre priére:	Votre faveur pour nous éclata la prémiére, Tout ce qu'il fit après fut à votre prièvre:
Il émût le Sénat pour des Rois outragez, Que ſans cette priére il auroit négligez.	Il émut le Sénat pour des Rois outragez, Que sans cette prièvre il aurait négligez.
Mais de ce grand Sénat les ſaintes ordonnances Euſſent peu fait pour nous, Seigneur, ſans vos finances, Par là de nos mutins le feu Roy vint à bout, Et pour en bien parler nous vous devons le tout.	Mais de ce grand Sénat les saintes ordonnances Eussent peu fait pour nous, Seigneur, sans vos finances, Par là de nos mutins le feu Roi vint à bout, Et pour en bien parler nous vous devons le tout.
Nous avons honoré voſtre amy, voſtre gendre, jusqu'à ce qu’a vous-memne naitore le prendre:	Nous avons honoré votre ami, votre gendre, jusqu'à ce qu'a vous-même naître le prendre:
Mais voyant ſon pouvoir de vos ſuccès jaloux Paſſer en tyrannie & s’armer contre vous.	Mais voyant son pouvoir de vos succès jaloux Passer en tyrannie et s'armer contre vous.
CESAR.	CÉSAR.
Tout beau que voſtre haine en ſon ſang aſſouvie N’aille point à ſa gloire, il ſuffit de ſa vie, N’avancez rien icy que Rome oſe nier, Et justifiez-vous ſans le calomnier.	Tout beau que votre haine en son sang assouvie N'aille point à sa gloire, il suffit de sa vie, N'avancez rien ici que Rome ose nier, Et justifiez-vous sans le calomnier.
PTOLOMEE.	PTOLOMEE.
Je laiſſe donc aux Dieux à juger ſes penſées, Et diray ſeulement qu’en vos guerres paſſées, Où vous fuſtes forcé par tant d’indignitez, Tous nos vœux ont été par vos prospéritez:	Je laisse donc aux Dieux à juger ses pensées, Et dirai seulement qu'en vos guerres passées, Où vous fûtes forcé par tant d'indignités, Tous nos vœux ont été par vos prospérités:
Que comme il vous traitoit en mortel adverſaire, J’ay crû ſa mort pour vous un malheur néceſſaire, Et que ſa haine injuste augmentant tous les jours, Jusque dans les Enfers chercheroit du ſecours, Ou qu’enfin, s’il tomboit deſſous voſtre puiſſance, Il nous falloit pour vous craindre voſtre clémence, Et que le ſentiment d’un cœur trop généreux Uſant mal de vos droits vous rendiſt malheureux.	Que comme il vous traitait en mortel adversaire, J'ai cru sa mort pour vous un malheur nécessaire, Et que sa haine injuste augment tous les jours, Jusque dans les Enfers chercherait du secours, Ou qu'enfin, s'il tombait dessous votre puissance, Il nous fallait pour vous craindre votre clémence, Et que le sentiment d'un cœur trop généreux Usant mal de vos droits vous rendît malheureux.
J’ay donc conſidéré qu’en ce péril extrème (me, Nous vous devions, Seigneur, ſervir malgré vous-meſ4 Et ſans attendre d’ordre en cette oecafion, Mon zèle ardent l’a priſe à ma confuſion.	J'ai donc considéré qu'en ce péril extrême (me, Nous vous devions, Seigneur, servir malgré vous-mes4 Et sans attendre d'ordre en cette oéfecafion, Mon zèle ardent l'a prise à ma confusion.
Vous m’en deſavoüez, vous l’imputez à crime, Mais pour ſervir Céſar rien n’eſt illégitime, J’en ay ſouillé mes mains pour vous en préſerver, Vous pouvez en joüir & le deſapprouver, Et j’ay plus fait pour vous, plus l’action eſt noire, Puisque c’eſt d’autant plus vous immoler ma gloire, Et que ce ſacrifce omert par mon devorr Vous aſſeure la voſtre avec voſtre pouvoir.	Vous m'en désavouez, vous l'imputez à crime, Mais pour servir César rien n'est illégitime, J'en ai souillé mes mains pour vous en préserver, Vous pouvez en jouir et le désapprouver, Et j'ai plus fait pour vous, plus l'action est noire, Puisque c'est d'autant plus vous immoler ma gloire, Et que ce sacrifce omert par mon dévorr Vous assure la vôtre avec vôtre pouvoir.
CESAR.	CÉSAR.
Vous cherchez, Ptolomée, avecque trop de ruſes De mauvaiſes couleurs, & de froides excuſes!	Vous cherchez, Ptolomée, avec trop de ruses De mauvaises couleurs, et de froides excuses!
