A M.	À M.
Peuple, qu’à pleine voix l’allegreſſe publique, Apres vn tel miracle, en triomphe s’explique, Et face retentir ſur ce riuage heureux L’immortelle valeur d’vn bras ſi genereux.	Peuple, qu'à pleine voix l'allégresse publique, Après un tel miracle, en triomphe s'explique, Et face retentir sur ce rivage heureux L'immortelle valeur d'un bras si généreux.
CHOEVR de Muſique.	CHOEUR de Musique.
Le Monſtre eſt mort, crions victoire, Victoire tous, victoire à pleine voix, de llos caipagdes ce ned Doils Ne reſonnent que de ſa gloire, Princeſſe, elle vous donne enfin l’illuſtre eſpoux Qui ſeul eſtoit digne de vous.	Le Monstre est mort, crions victoire, Victoire tous, victoire à pleine voix, de los caipagdes ce ned Oïls Ne résonnent que de sa gloire, Princesse, elle vous donne enfin l'illustre époux Qui seul était digne de vous.
Vous eſtes ſa digne conqueſte, Victoire tous, victoire à ſon amour, C’eſt luy qui nous rend ce beau iour, C’eſt luy qui calme la tempeſte:	Vous êtes sa digne conquête, Victoire tous, victoire à son amour, C'est toujours qui nous rend ce beau jour, C'est lui qui calme la tempête:
Et ceſt luy qui vous donne enfin l’illuſtre eſpoux Qui ſeul eſtoit digne de vous.	Et cet autre qui vous donne enfin l'illustre époux Qui seul était digne de vous.
CASSIOPE apres que Perſée eſt diſparu.	CASSIOPE après que Persée est disparu.
Dieux, j’eſtois ſur ces bords immobile de ioye!	Dieux, j'étais sur ces bords immobile de joie!
Allons voir où ces Vents ont reporté leur proye, Embraſſer ce vainqueur, & demander au Roy L’effet du bel eſpoir qu’il a receu de moy.	Allons voir où ces Vents ont reporté leur proie, Embrasser ce vainqueur, et demander au Roi L'effet du bel espoir qu'il a reçu de moi.
SCE	SCE
S CENE IV.	 SENE IV.
Iron NEREIDES s'eleuant du milieu des flots.	Iron NÉRÉIDES s'élevant du milieu des flots.
CYMODOCE.	CYMODOCE.
Inſi noſtre colere eſt de tout point brauée, A Ainſi noſtre victime à nos yeux enleuée Va croiſtre les douceurs de ſes contentemens, Par le iuſte mépris de nos reſſentimens.	Insi notre colère est de tout point bravée, A Ainsi notre victime à nos yeux enlevée Va croître les douceurs de ses contentements, Par le juste mépris de nos ressentiments.
EPHYRE.	ÉPHYRE.
Toute noſtre fureur, toute noſtre vangeance Dentne auce ton Derem entre d nuemig ence, N’agir qu’en ſa faueur, & ſes plus rudes coups Ne font que luy donner vn plus illuſtre eſpoux.	Toute notre fureur, toute notre vengeance Dentne auce ton Derem entre nuemig ence, N'agir qu'en sa faveur, et ses plus rudes coups Ne font que lui donner un plus illustre époux.
CYDIPPE.	CYDIPE.
Le Sort, qui iuſqu’icy nous a donné le change, Immole à ſes beautez le Monſtre qui nous vange :	Le Sort, qui jusqu'ici nous a donné le change, Immole à ses beautés le Monstre qui nous venge :
Du meſme ſacrifice, & dans le meſme lieu, De victime qu’elle eſt, elle deuient le Dieu.	Du même sacrifice, et dans le même lieu, De victime qu'elle est, elle devient le Dieu.
Ceſſons d’oreſnauant, ceſſons d’eſtre immortelles, Puiſque les Immortels trahiſſent nos querelles, Qu’vne beauté commune eſt plus chere à leurs yeux, Car ſon liberateur eſt ſans doute vn des Dieux;	Cessons d'oresnavant, cessons d'être immortelles, Puisque les Immortels trahissent nos querelles, Qu'une beauté commune est plus chère à leurs yeux, Car son libérateur est sans doute un des Dieux;
Autre qu’vn Dieu n’euſt pû nous oſter cette proye, Autre qu’vn Dieu n’euſt pû prendre vne telle voye;	Autre qu'un Dieu n'eût pu nous ôter cette proie, Autre qu'un Dieu n'eût pu prendre une telle voie;
Et ce cheual aiſlé fuſt pery mille fois, Auant que de voler ſous vn indigne poids.	Et ce cheval aislé fût péri mille fois, Avant que de voler sous un indigne poids.
CYMODOCE.	CYMODOCE.
Ouy, c’eſt ſans doute vn Dieu qui vient de la defendre, Mais il n’eſt pas, mes ſœurs, encors temps de nous rendre, Et puiſqu’vn Dieu pour elle oſe nous outrager, Il faut trouuer auſſi des Dieux à nous vanger.	Oui, c'est sans doute un Dieu qui vient de la défendre, Mais il n'est pas, mes sœurs, encors temps de nous rendre, Et puisqu'un Dieu pour elle ose nous outrager, Il faut trouver aussi des Dieux à nous venger.
Du ſang de noſtre Monſtre encore toutes teintes Au Au Palais de Neptune allons porter nos plaintes, Luy demander raiſon de l’immortel affront Qu’vne telle défaite imprime à noſtre front.	Du sang de notre Montre encore toutes teintes Au Au Palais de Neptune allons porter nos plaintes, Lui demander raison de l'immortel affront Qu'une telle défaite imprime à notre front.
CYDIPPE.	CYDIPE.
Ie croy qu’il nous préuient, les ondes en boüillonnent, Les Conques des Tritons dans ces rochers reſonnent, C’eſt ſuy-meſme, parions.	Je crois qu'il nous prévient, les ondes en boutillonnent, Les Conques des Tritons dans ces rochers résonnent, C'est suivi-même, parions.
SCENE V.	SCÈNE V.
NEPTVNE, Les NEREIDES.	NEPTUNE, Les NÉRÉIDES.
NEPIVNE uam fon enar, foimt d’une grande Conque de Nacre, & tiré par deux cheuaux marins.	NÉPIVNE u son enar, faimt d'une grande Conque de Nacre, et tiré par deux chevaux marins.
IE ſçay vos déplaiſirs, Mes filles, & ie viens au bruit de vos ſoûpirs.	JE sais vos déplaisirs, Mes filles, et ici viens au bruit de vos soupirs.
De l’affront qu’on vous fait plus que vous en colere, C’eſt moy que tyranniſe vn ſuperbe de frere, Qui dans mon propre Eſtat m’oſant faire la loy, M’enuoye vn de ſes fils pour triompher de moyQu’il regne dans le Ciel, qu’il regne ſur la Terre, Qu’il gouuerne à ſon gré l’éclat de ſon Tonnèrre, Que meſme du Deſtin il ſoit independant, Mais qu’il me laiſſe à moy gouuerner mon Trident.	De l'affront qu'on vous fait plus que vous en colère, C'est moi que tyrannise un superbe de frère, Qui dans mon propre État m'osant faire la loi, M'envoie un de ses fils pour triompher de moiQuil gne dans le Ciel, qu'il règne sur la Terre, Qu'il gouverne à son gré l'éclat de son Tonnèrre, Que même du Destin il soit indépendant, Mais qu'il me laisse à moi gouverner mon Trident.
C’eſt bien aſſez pour luy d’vn ſi grand auantage, Sans me venir brauer encor dans mon partage;	C'est bien assez pour ton d'un si grand avantage, Sans me venir braver encor dans mon partage;
Apres cet attentat ſur l’Empire des mers, Meſme honte à leur tour menace les Enfers;	Après cet attentat sur l'Empire des mers, Même honte à leur tour menace les Enfers;
Auſſi leur Souuerain prendra noſtre querelle :	Aussi leur Souverain prendra notre querelle :
Ie vay l’intereſſer auëc Iunon pour elle, Et tous trois aſſemblants noſtre pouuoir en vn, Nous ſçaurons bien dompter noſtre tyran commun.	Je vais l'intéresser auec Junon pour elle, Et tous trois assemblants notre pouvoir en un, Nous sçaurons bien dompter notre tyran commun.
Adieu, conſolez vous, Nymphes trop outragées, Ie periray moy-meſme, ou vous ſerez vangées, Et i’ay ſçeu du Deſtin qui ſe ligue auec nous, Qu’Andromede icy bas n’aura iamais d’eſpoux.	Adieu, consolez -vous, Nymphes trop outragées, Je périrai moi-même, ou vous serez vengées, Et j'ai su du Destin qui se ligue avec nous, Qu'Andromède ici bas n'aura jamais d'époux.
Il fond au milieu de la mer.	Il fond au milieu de la mer.
CYMODOCE.	CYMODOCE.
Apres le doux eſpoir d’vne telle promeſſe, Reprenons, cheres ſœurs, vne entiere allegreſſe.	Après le doux espoir d'une telle promesse, Reprenons, chères sœurs, une entière allégresse.
Les Nereides ſe plongent außi dans la mer.	Les Nereides se plongent aussi dans la mer.
Es vagues fondent ſous le Theatre, & ces hideuſes L maſſes de pierre dont elles battoient le pied, font place à la magnificence d’vn Palais Royal On ne le voit pas tout entier, on n’en voit que le Veſtibule, ou pluſtoſt la grande ſalle, qui doit ſeruïr aux nopces de Perſee & d’Andromede.	Es vagues fondent sous le Théâtre, et ces hideuses L asses de pierre dont elles battaient le pied, font place à la magnificence d'une Palais Royal On ne le voit pas tout entier, on n'en voit que le Vestibule, ou plutôt la grande salle, qui doit servir aux nopces de Persee et d'Andromede.
Deux rangs de colomnes de chaque coſté, l’un de rondes, & l’autre de quarrées en font les ornements:	Deux rangs de colomnes de chaque côté, l'un de rondes, et l'autre de quarrées en font les ornements:
Elles ſont enrichies de ſtatuës de marbre blanc d’vne grandeur naturelle, & leurs baſes, corniches, amortiſſemens, eſtalent tout ce que peut la iuſteſſe de l'Architecture:	Elles sont enrichies de statues de marbre blanc d'une grandeur naturelle, et leurs bases, corniches, amortissements, étalent tout ce que peut la justesse de l'Architecture:
Le frontispice ſuit le meſme ordre, & par trois portes dont il eſt percé, fait voir trois allées de Cyprés, où l’œil s’enſonce à perte de veuë.	Le frontispice suit le même ordre, et par trois portes dont il est percé, fait voir trois allées de Cyprès, où l'œil s'ensonce à perte de vue.
Perſée paroiſt le premier dans cette ſalle conduiſant Andromede à ſon apartement, apres l’auoir obtenuë du Roy & de la Reine;	Persée paraît le premier dans cette salle conduisant Andromède à son appartement, après l'avoir obtenue du Roi et de la Reine;
& comme ſi leur volonté ne ſuffiſoit pas, il tâche encor de l’obtenir d’elle-meſme par les reſpects qu’il luy rend, & les ſubmiſſions extraordinaires qu’il luy fait.	et comme si leur volonté ne suffisait pas, il tâche encor de l'obtenir d'elle-même par les respects qu'il avait rend, et les submisssions extraordinaires qu'il lui fait.
ACTE	ACTE
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ANDROMEDE, PERSEE, CHOEVR de Nymphes, Suite de Perſee.	ANDROMEDE, PERSEE, CHOEUR de Nymphes, Suite de Persée.
E 2 PERSEE.	 2 PERSE.
Ve me permettez-vous, Madame, d’eſperer ?	Ve me permettez-vous, Madame, d'espérer ?
Voſtre amour eſt-ce vn bien où ie doiue aſpirer ?	Votre amour est-ce un bien où je doive aspirer ?
Et puis-ie en cette illuſtre & diuine journée, Pretendre iuſqu’au cœur que poſſedoit Phinée ?	Et puis-je en cette illustre et divine journée, Pretendre jusqu'au cœur que possédait Phinée ?
ANDROMEDE.	ANDROMEDE.
Laiſſez-moy l’oublier puiſqu’on me donne à vous, Et s’il l’a poſſedé n’en ſoiez point jaloux, Le choix du Roy l’y mit, le choix du Roy l’en chaſſe, Ce meſme choix du Roy vous y donne ſa place, N’exigez rien de plus, ie ne ſçay point haïr, Ie ne ſçay point aymer, mais ie ſçais obeïr, Ie ſçay porter ce cœur à tout ce qu’on m’ordonne, Il ſuit aueuglement la main qui vous le donne, De ſorte, grand Heros, qu’apres le choix du Roy, Ce que vous demandez eſt plus à vous qu’à moy.	Laissez-moi l'oublier puisqu'on me donne à vous, Et s'il l'a possédé n'en soyez point jaloux, Le choix du Roi l'y mit, le choix du Roi l'en chasse, Ce même choix du Roy vous y donne sa place, N'exigez rien de plus, tu ne sais point haïr, Je ne sais point aimer, mais je sais obéir, Je sais porter ce cœur à tout ce qu'on m'ordonne, Il suit aveuglement la main qui vous le donne, De sorte, grand Héros, qu'après le choix du Roi, Ce que vous demandez est plus mais quand qu'à moi.
ERSEE.	ERSE.
Que ie puiſſe abuſer ainſi de ſa puiſſance!	Que quelque puisse abuser ainsi de sa puissance!
Hazarder vos plaiſirs ſur voſtre obeïſſance !	Hasarder vos plaisirs sur votre obéissance !
Et de liberateur de vos rares beautez M’eſleuer en tyran deſſus vos volontez!	Et de libérateur de vos rares beautés M'élever en tyran dessus vos volontés!
Princeſſe, mon bon-heur vous auroit mal ſeruie S’il vous faiſoit eſclaue en vous rendant la vie, Et ne vous conſeruoit des iours ſi precieux 23 d Que pour les attacher ſous vn joug odieux.	Princesse, mon bonheur vous aurait mal servie S'il vous faisait esclaue en vous rendant la vie, Et ne vous conservait des jours si précieux 23 d Que pour les attacher sous un joug odieux.
C’eſt aux courages bas, c’eſt aux amants vulgaires, A faire agir pour eux l’authorité des peres, Souffrez à mon amour des chemins differents ;	C'est aux courages bas, c'est aux amants vulgaires, À faire agir pour eux l'autorité des pères, Souffrez à mon amour des chemins différents ;
I’ay veu parler pour moy, les Dieux, & vos parents, Ie ſens que mon eſpoir s’enſle de leur ſuffrage, Mais ie n’en veux enfin tirer autre auantage, Que de voir cet amour faire hommage à vos yeux Du choix de vos parents, & du vouloir des Dieux.	J'ai vu parler pour moi, les Dieux, et vos parents, Je sens que mon espoir s'ensle de leur suffrage, Mais ie en veux enfin tirer autre avantage, Que de voir cet amour faire hommage à vos yeux Du choix de vos parents, et du vouloir des Dieux.
Ils vous donnent à moy, ie vous rends à vousmeſme, Et comme c’eſt voſtre heur & non le mien que i’ayme, I’ayme mieux m’expoſer à perdre vn bien ſi doux Que de vous obtenir d’vn autre que de vous.	Ils vous donnent à moi, je vous rends à vousmesme, Et comme c'est notre heur et non le mien que j'aime, J'aime mieux m'exposer à perdre un bien si doux Que de vous obtenir d'un autre que de vous.
Ie garde cet eſpoir, & hazarde le reſte, Et me ſoit voſtre choix, ou propice, ou funeſte, Ie beniray l’Arreſt qu’en feront vos deſirs, Si ma mort vous épargne vn peu de déplaiſirs.	Je garde cet espoir, et hasarde le reste, Et me soit votre choix, ou propice, ou funeste, Je bénirai l'Arrêt qu'en feront vos désirs, Si ma mort vous épargne un peu de déplaisirs.
Rempliſſez mon eſpoir, ou trompez mon attente, Ie mourray ſans regret, ſi vous viuez contente, Et mon trépas n’aura que d’aymables momens, S’il vous oſte vn obſtacle à vos contentemens.	Remplissez mon espoir, ou trompez mon attente, Je mourrai sans regret, si vous vivez contente, Et mon trépas n'aura que d'aime momens, S'il vous ôte un obstacle à vos contentements.
ANDROMEDE.	ANDROMEDE.
C’eſt trop d’eſtre vainqueur dans la meſme journée Et de ma retenuë, & de ma Deſtinée.	C'est trop d'être vainqueur dans la même journée Et de ma retenue, et de ma Destinée.
Apres que par le Roy vos vœux ſont exaucez, Vous parler d’obeïr, c’eſtoit vous dire aſſez :	Après que par le Roi vos vœux sont exaucés, Vous parler d'obéir, c'était vous dire assez :
Mais vous voulez douter afin que ie m’explique, Et que voſtre victoire en deuienne publique;	Mais vous voulez douter afin que sans m'explique, Et que votre victoire en devienne publique;
Sçachez donc.	Sachez donc.
PERSEE.	PERSE.
Non, Madame, où i’ay tant d’intereſt, Ce n’eſt pas deuant moy qu’il faut faire l’Arreſt.	Non, Madame, où j'ai tant d'intérêt, Ce n'est pas devant moi qu'il faut faire l'Arrest.
L’excez de vos bontez pourroit en ma preſence Faire à vos ſentimens vn peu de violence;	L'excès de vos bontés pourrait en ma présence Faire à vos sentiments un peu de violence;
Ce Ce bras vainqueur du Monſtre, & qui vous rend le iour, Pourroit en ma faueur ſeduire voſtre amour;	Ce Ce bras vainqueur du Monstre, et qui vous rend le jour, Pourrait en ma faveur séduire votre amour;
La pitié de mes maux pourroit meſme ſurprendre Ce cœur trop genereux pour s’en vouloir defendre;	La pitié de mes maux pourrait même surprendre Ce cœur trop généreux pour s'en vouloir défendre;
Et le moyen qu’vn cœur, ou ſeduit, ou ſurpris, Fuſt iuſte en ſes faueurs, ou iuſte en ſes mépris?	Et le moyen qu'un cœur, ou séduit, ou surpris, Fût juste en ses faveurs, ou juste en ses mépris?
