trois Mores, à la Berg-ſtraer.	trois Mores, à la Berg-straer.
Par cet injuſte arrét foiblement étonné Je me livre au trépas où je ſuis condamné, Mon cœur en cet inſtant le cherche & le deſire, Et c’eſt dans mon malheur le ſeul bien où j’aſpire.	Par cet injuste arrêt faiblement étonné Je me livre au trépas où je suis condamné, Mon cœur en cet instant le cherche et le désire, Et c'est dans mon malheur le seul bien où j'aspire.
Mais d’Eponine en pleurs je crains le deſeſpoir, Je crains une fureur que j’ai trop ſçû prevoir, Elle pourroit, helas!	Mais d'Éponine en pleurs je crains le désespoir, Je crains une fureur que j'ai trop su prévoir, Elle pourrait, hélas!
attenter à ſa vie.	attenter à sa vie.
Je t’en charge en mourant & je te la confie, Si tu veux que le Ciel te protege tonjours Tu dois ſeul deſormais prendre ſoin de ſes jours.	Je t'en charge en mourant et je te la confie, Si tu veux que le Ciel te protege toujours Tu dois seul désormais prendre soin de ses jours.
C’eſt mon plus doux eſpoir en cet état funeſte, Et mon cœur à ce prix te pardonne le reſte.	C'est mon plus doux espoir en cet état funeste, Et mon cœur à ce prix te pardonne le reste.
Allons, Gardes, marchons.	Allons, Gardes, marchons.
D un Heroique cffort Je m’arrache d’ici pour courir à la mort.	D un Héroïque cffort Je m'arrache d'ici pour courir à la mort.
SCENE V.	SCÈNE V.
VESPASIEN, EPONINE, DOMITIE, MUCIEN, GARDES.	VESPASIEN, EPONINE, DOMITIE, MUCIEN, GARDES.
EPONINE à Sabinus, A H!	EPONINE à Sabinus, À H!
Seigneur.	Seigneur.
Ah!	Ah!
grands Dieux protegez IY l’innocence.	grands Dieux protégez IY l'innocence.
A Veſpaſien.	À Vespasien.
Je mets en vos bontez ma derniere eſperance, Une ſeconde fois j’embraſſe vos genoux, Seigneur, au nom du Ciel rendez-moi mon Epoux.	Je mets en vos bontés ma dernière espérance, Une seconde fois j'embrasse vos genoux, Seigneur, au nom du Ciel rendez-moi mon Époux.
Mes Enfans par ma voix vous demandent leur Pere, Daignez en cet inſtant contempler leur miſere.	Mes Enfants par ma voix vous demandent leur Père, Daignez en cet instant contempler leur misère.
Pouvez-vous refuſer des Princes au berceau Qui receurent le jour dans la nuit du tombeau, Qui de vous offenſer n’ont point été capables, Et qui ne ſont enfin d’aucun crime coupables?	Pouvez-vous refuser des Princes au berceau Qui recevrent le jour dans la nuit du tombeau, Qui de vous offenser n'ont point été capables, Et qui ne sont enfin d'aucun crime coupables?
Quoi!	Quoi!
vous pourriez punir de pauvres Innocens Inſtruits à Supplier dés leurs plus jeunes ans!	vous pourriez punir de pauvres Inocents Instruits à Supplier dès leurs plus jeunes ans!
Helas!	Hélas!
leurs tendres cris implorent vôtre grace Pour arracher leur Pere au coup qui le menace, Et deja penetrez de nos cruels malheurs Ils vous font par ma bouche entendre leurs douleurs.	leurs tendres cris implorent votre grâce Pour arracher leur Père au coup qui le menace, Et déjà pénétrerez de nos cruels malheurs Ils vous font par ma bouche entendre leurs douleurs.
Rendez-vous donc, Seigueur, & cedez à leurs larmes, Vous pouvez d’un ſeul mot appaiſer nos allarmes.	Rendez-vous donc, Seigueur, et cédez à leurs larmes, Vous pouvez d'un seul mot apaiser nos alarmes.
VES	VEZ
ESPASIEN.	ÉPASIEN.
A quelle étrange épreuve, ô Ciel, m’expoſez-vous!	À quelle étrange épreuve, ô Ciel, m'exposez-vous!
mo Miane.	mo Miane.
Juſles reſſentimens ſoutenez ſou courroux.	Jusles ressentiments soutenez sou courroux.
ESPASIEN.	ÉPASIEN.
Madame, il n’eſt plus tems.	Madame, il n'est plus temps.
Un traître qui conſpire Merite le Suplice aux yeux de tout l’Empire, Le Senat à l’inſtant vient de l’y condamner, Malgré tout mon pouvoir je n’oſe pardonner, Quand il a prononcé je ne puis l’en dedire, Et dés qu'il a parie e ent a mor d'y jouieme.	Un traître qui conspire Mérite le Suplice aux yeux de tout l'Empire, Le Sénat à l'instant vient de l'y condamner, Malgré tout mon pouvoir je n'ose pardonner, Quand il a prononcé je ne puis l'en dédire, Et dès qu'il a parie e nt à mór d'y jouième.
Si cet arrét vous touche & vous coute des pleurs Le tems & la raiſon calmeront vos douleurs.	Si cet arrêt vous touche et vous coute des pleurs Le temps et la raison calmeront vos douleurs.
EPONINE.	EPONINE.
Ah!	Ah!
puis qu’en ce moment nul eſpoir ne me reſte Arrache moi, Tiran, le jour que je deteſte, Ne me fais plus languir, aprés ces durs refus.	puis qu'en ce moment nul espoir ne me reste Arrache moi, Tyran, le jour que je déteste, Ne me fais plus languir, après ces durs refus.
Si ton cœur endorcy veut perdre Sabinus Verſe, verſe mon Sang pour achever ton crime, Et ſuis, ſans t’arréter, la fureur qui t’anime.	Si ton cœur endorci veut perdre Sabinus Verse, verse mon Sang pour achever ton crime, Et suis, sans t'arrêter, la fureur qui t'anime.
Aprés avoir vécu dans des lieux tenebreux Je ne puis ſuporter la lumiere des Cieux Qui ne me ſerviroit qu’à voir ta Tirannie.	Après avoir vécu dans des lieux ténébreux Je ne puis suporter la lumière des Cieux Qui ne me servirait qu'à voir ta Tyrannie.
Je n’aſpire à preſent qu’à ſortir de la vie,.	Je n'aspire à présent qu'à sortir de la vie,.
Et mon cœur en effet trouvera plus d’apas A ſuivre conſtamment mon Epoux au trépas, Qu’à ſouffrir plus long tems la preſence effroyable D’un perfide aſſaſſin, d’un monſtre impitoyable.	Et mon cœur en effet trouvera plus d'appas À suivre constamment mon Époux au trépas, Qu'à souffrir plus long tems la présence effroyable D'un perfide assassin, d'un monstre impitoyable.
Mais que me ſert, helas!	Mais que me sert, hélas!
ce tranſport furieux!	ce transport furieux!
Puiſque mes vœux ardents n’ont pû fléchir les Dieux Je cours par tout mon Sang aſſouvir leur colere Terminer à la fois ma vie & ma miſere, Et prés de Sabinus expirant à tes yeux Me faire par mon bras un deſtin glorieux.	Puisque mes vœux ardeurs n'ont pu fléchir les Dieux Je cours par tout mon Sang assouvir leur colère Terminer à la fois ma vie et ma misère, Et près de Sabinus expirant à tes yeux Me faire par mon bras un destin glorieux.
TRAGEDIE.	TRAGÉDIE.
SCENE VI.	SCÈNE VI.
VESPASTEIN, DOMIIIE, MGCIEN.	VÉPASTEIN, DOMIIE, MGCIEN.
VESPASIEN.	VESPASIEN.
H!	H!
cruelle, arrétez, que pretendez-vous faire!	cruelle, arrêtez, que prétendez-vous faire!
LA Mais courons empécher lon dellem fanguinaire, Je crains tout pour ſes jours, venez, ne tardons pas.	LA Mais courons empêcher lon dellem sanguinaire, Je crains tout pour ses jours, venez, ne tardons pas.
DOMITIE.	DOMITIE.
Allez vous oppoſer à ce juſte trépas, Allez, Seigneur, allez aux pieds de la cruelle, Lui rendre ſon Epoux, & vous perdre pour elle.	Allez -vous opposer à ce juste trépas, Allez, Seigneur, allez aux pieds de la cruelle, Lui rendre son Époux, et vous perdre pour elle.
Vous craignez les effets de ſon emportement!	Vous craignez les effets de son emportement!
Au deſir de Regner l’amour cede aiſement, Et lors qu’on ne voit plus l’objet de ſa tendreſſe Le cœur s’engage ailleurs, la reſiſtance ceſſe, On recherche un bonheur qu’on fuyoit à regret.	Au désir de Regner l'amour cède aisément, Et lors qu'on ne voit plus l'objet de sa tendresse Le cœur s'engage ailleurs, la résistance cesse, On recherche un bonheur qu'on fuyait à regret.
Le tems vous apprendra cet important ſecret.	Le temps vous apprendra cet important secret.
Pour moi, vous le ſçavez, ni colere, ni haine Ne m’oblige à parler contre cette inhumaine, Vôtre ſeul interét m’inſpire cette ardeur.	Pour moi, vous le savez, ni colère, ni haine Ne m'oblige à parler contre cette inhumaine, Votre seul intérêt m'inspire cette ardeur.
Mais je regle ſur vous les deſirs de mon Cœur, Lt puis qu’encor vôtre ame en ſon amour s’obſtine, Que vous vous allarmez pour les jours d’Eponine, Je pretens la ſervir, oüi, Seigneur, & je cours Offrir à ſes tourmens un genereux ſecours.	Mais je règle sur vous les désirs de mon Cœur, Lt once qu'encor votre âme en son amour s'obstine, Que vous vous alarmez pour les jours d'Éponine, Je prétends la servir, oüi, Seigneur, et je cours Offrir à ses tourments un généreux secours.
Vous connoîtrez bien-tot le zele qui m’impire.	Vous connaîtrez bientôt le zèle qui m'impire.
ESPASIEN.	ÉPASIEN.
Ah!	Ah!
conſervez l’objet pour qui mon cœur ſoupire, Ne l’abandonnez pas, Madame, à ſa fureur ne daiguer par nos ſoins appaiſer ſa douleur.	conservez l'objet pour qui mon cœur soupire, Ne l'abandonnez pas, Madame, à sa fureur ne daiguer par nos soins apaiser sa douleur.
DOMITIE.	DOMITIE.
Seigneur, je vais pour vous adoueir ſon courage, Laiſſez moi donc ſaus crainte achever cet ouvrage, Et je ſçaurai bien-tôt au gré de mes deſirs, De ſon cœur affligé ſinir les deplaiſirs.	Seigneur, je vais pour vous adouir son courage, Laissez moi donc saus crainte achever cet ouvrage, Et je saurai bientôt au gré de mes désirs, De son cœur affligé sinir les déplaisirs.
S ABINUS, CENE VII.	S ABINUS, CÈNE VII.
VESPASIEN, MUCIEN.	VESPASIEN, MUCIEN.
VESPASIEN.	VESPASIEN.
Ans l’horrgur du peril dont s’allarme ma flâme DJe ſens mille chagrins qui devorent mon ame.	Ans l'horrgur du péril dont s'alarme ma flamme DE sens mille chagrins qui dévorent mon âme.
Helas!	Hélas!
par cet arrét qui fait ma ſeureté Je m’accuſe en ſecret de trop de cruauté.	par cet arrêt qui fait ma sûreté Je m'accuse en secret de trop de cruauté.
Le Séuat, il eſt vrai, de ma fureur complice, A ſemblé par ſa voix couvrir mon injuſtice, Mais ce fatal amour dont je brule aujourd’hui, Pour perdre Sabinus a fait autant que lui, C’eſt l’amour, qui croyant me livrer Eponine D’un Prince malheureux avauce la ruine, Et qui s’eſt prevalu de cette occaſion Pour le ſacrifier à mon ambitior.	Le Séuat, il est vrai, de ma fureur complice, A semblé par sa voix couvrir mon injustice, Mais ce fatal amour dont je brule aujourd'hui, Pour perdre Sabinus a fait autant que lui, C'est l'amour, qui croyant me livrer Eponine D'un Prince malheureux avauce la ruine, Et qui s'est prévalu de cette occasion Pour le sacrifier à mon ambitior.
Mais bien loin par ſa mort de remplir mon attente, Je vois plus que jamais ſon Epouſe couſtante, Pour moumh aeec lul mepmer mon ardeur, Et regarder toujours ma flâme avec horreur.	Mais bien loin par sa mort de remplir mon attente, Je vois plus que jamais son Épouse coûtante, Pour moumh aecec lul mépmer mon ardeur, Et regarder toujours ma flamme avec horreur.
Ah!	Ah!
puis-je encor l’aimer, & dans cette occurence Avoir tant de tendreſſe & ſi peu d’eſperance?	puis-je encor l'aimer, et dans cette occurence Avoir tant de tendresse et si peu d'espérance?
MUCIEN.	MUCIEN.
Ne vous reprochez point la mort de Sabinus, A ſa temerité les ſuplices ſont dus.	Ne vous reprochez point la mort de Sabinus, À sa témérité les suplices sont dus.
Pourquoi livrer vôtre ame à de fâcheux ſcrupules?	Pourquoi livrer votre âme à de fâcheux scrupules?
Laiſſez aux foibles Cœurs ces craintes ridicules.	Laissez aux faibles Cœurs ces craintes ridicules.
Le criminel projet de ſon lâche attentat Irrite juſtement le Peuple & le Sénat.	Le criminel projet de son lâche attentat Irrite justement le Peuple et le Sénat.
Si vous brulez encor d’une flâme importune Il faut faire ceder l’amour à la fortune, Et n’aller pas, Seigneur, par de honteux deſſeins Soulever contre pous les fidelles Romains.	Si vous brûlez encor d'une flamme importune Il faut faire céder l'amour à la fortune, Et n'aller pas, Seigneur, par de honteux desseins Soulever contre pous les fidèles Romains.
VESPASIEN.	VESPASIEN.
Ah!	Ah!
ſi malgré mes droits ce Peuple oſe pretendre.	si malgré mes droits ce Peuple ose prétendre.
Mais que veut Fulvius, & que vient-il m’aprendre?	Mais que veut Fulvius, et que vient-il m'apprendre?
Ciel!	Ciel!
que puis-je augurer de ſes vives douleurs?	que puis-je augurer de ses vives douleurs?
TRAGEDIE.	TRAGÉDIE.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
VESPASIEN, MOCIEN, FULVIUS.	VESPASIEN, MOCIEN, FULVIUS.
FULVIUS.	FULVIUS.
H!	H!
Seigneur, apprenez le ſujet de mes pleurs.	Seigneur, apprenez le sujet de mes pleurs.
A j’ai vû de Sabinus trancher la deſtinée, De ſes malheureux jours la courſe eſt terminée, Il vient de recevoir la mort ſans ſe troubler, Un trépas ſi honteux ne l’a point fait trembler, D’un œil ferme & couſtant il a vû le ſuplice Sans accuſer le Peuple ou le Ciel d’injuſtice.	À j'ai vu de Sabinus trancher la destinée, De ses malheureux jours la course est terminée, Il vient de recevoir la mort sans se troubler, Un trépas si honteux ne l'a point fait trembler, D'un œil ferme et coûtant il a vu le supplice Sans accuser le Peuple ou le Ciel d'injustice.
Mais à peine avoit-il payé de tout ſon ſang L’ambitieux deſir d’occuper vôtre rang, Qu’Eponine, Seigneur, s’avançant elle même, Le cœur deja rempli d’une fureur extrême, Malgré tous nos efforts pour tromper ſes deſſeins Juſques à Sabinus s’eſt ouvert les chemins.	Mais à peine avait-il payé de tout son sang L'ambitieux désir d'occuper votre rang, Qu'Éponine, Seigneur, s'avançant elle -même, Le cœur déjà rempli d'une fureur extrême, Malgré tous nos efforts pour tromper ses desseins Jusques à Sabinus s'est ouvert les chemins.
Sur le Corps étendu de ſon Epoux fidelle Elle a fait éclater une douleur mortelle, Et ce triſte ſpectacle irritant ſon devoir A jetté dans ſon ame un affreux deſeſpoir.	Sur le Corps étendu de son Époux fidèle Elle a fait éclater une douleur mortelle, Et ce triste spectacle irritant son devoir A jeté dans son âme un affreux désespoir.
Mais pendant que nos yeux ébloüis de ſes charmes Ne pouvoient s’empécher de repandre des larmes, Etouffant ſes ſoupirs, retenant ſes ſanglots Elle s’adreſſe au Peuple & dit ces triſtes mots.	Mais pendant que nos yeux ébloüis de ses charmes Ne pouvaient s'empêcher de répandre des larmes, Étouffant ses soupirs, retenant ses sanglots Elle s'adresse au Peuple et dit ces tristes mots.
Ecoute, Peuple ingrat, & reconnois ton crime;	Écoute, Peuple ingrat, et reconnais ton crime;
Tu viens de t’immoler ton Maître legitime, C’eſt le Sang de Cæſar que tu viens de verſer, Que fera-t’on jamais pour t’en recompenſer?	Tu viens de t'immoler ton Maître légitime, C'est le Sang de Cæsar que tu viens de verser, Que fera-t-on jamais pour t'en recompenser?
Puis que dans ſa fureur ta lacheté s’obſtine Reçois encor celui de la triſte Eponine.	Puis que dans sa fureur ta lâcheté s'obstine Reçois encor celui de la triste Éponine.
Mais pour derniere grace à mes vum caphrants Je te conjure, helas!	Mais pour dernière grâce à mes vum caphrants Je te conjure, hélas!
d’épargner mes Enfans Parmi tes Citoyens donne leur un azile Ou crains le Ciel vangeur, Tout le Peuple immobile Semble par ſon ſilence & par ſon action Aſſurer ces Enfans de ſa Protection, Et d’un poignard caché l’adorable Eponine Alors ſe frape, tombe, & meurt en Heroïne.	d'épargner mes Enfants Parmi tes Citoyens donne leur un asile Ou crains le Ciel vengeur, Tout le Peuple immobile Semble par son silence et par son action Assurer ces Enfants de sa Protection, Et d'un poignard caché l'adorable Éponine Alors se frappe, tombe, et meurt en Héroïne.
E - VESPASIEN.	EST - VESPASIEN.
Eponine n’eſt plus!	Éponine n'est plus!
ô deſtins ennemis!	ô destins ennemis!
LVIUS.	LVIUS.
La place en cet inſtant retentit de nos cris, Attour de ces deux Corps on s’aſſemble, on ſe preſſe, On trouve leur malheur égal à leur tendreſſe, Chacun verſe des pleurs, & le Peuple confus Aprés l’avoir perdu regrette Sabinus.	La place en cet instant retentir de nos cris, Atour de ces deux Corps on s'assemble, on se presse, On trouve leur malheur égal à leur tendresse, Chacun verse des pleurs, et le Peuple confus Après l'avoir perdu regrette Sabinus.
E a IRARE R.	E a IRARE R.
Ah!	Ah!
ſont-cela les ſoins, perfide Domitie, Que vous m’aviez promis de prendre pour ſa vie!	sont-cela les soins, perfide Domitie, Que vous m'aviez promis de prendre pour sa vie!
ULVIUS.	ULVIUS.
Domitie a paru, mais il étoit trop tard, Elle a du corps ſanglant retiré le poignard, Et d’un coup ſi cruel cette fiere Princeſſe A fait voir plus de joye encore que de triſteſſe.	Domitie a paru, mais il était trop tard, Elle a du corps sanglant retiré le poignard, Et d'un coup si cruel cette fière Princesse A fait voir plus de joie encore que de tristesse.
La Barbare!	La Barbare!
RSIASIIR	RSIASIIR
MUCIEN.	MUCIEN.
Seigneur, aprés de tels malheurs.	Seigneur, après de tels malheurs.
ESPASIEN.	ÉPASIEN.
1in.	1in.
louien mor un meins ces trop juſtes douleurs.	louien mór un meins ces trop justes douleurs.
Je ſuis par mon amour le bourieau d’Epouine, C’eſt moi dont la fureur aujourd’hui l’aſſaſſine, Mais ſi ma Barbarie a terminé ſon ſort J’apaiſerai bien-tôt ſes manes par ma mort.	Je suis par mon amour le bourieau d'Épouine, C'est moi dont la fureur aujourd'hui l'assassine, Mais si ma Barbarie a terminé son sort J'apaiserai bientôt ses mânes par ma mort.
Fin du cinquiéme & dernier Acte.	Fin du cinquième et dernier Acte.
Et d’un poignard caché l’adorable Eponine Alors ſe frape, tombe, & meurt en Heroïne.	Et d'un poignard caché l'adorable Éponine Alors se frappe, tombe, et meurt en Héroïne.
E - VESPASIEN.	EST - VESPASIEN.
Eponine n’eſt plus!	Éponine n'est plus!
ô deſtins ennemis!	ô destins ennemis!
LVIUS.	LVIUS.
La place en cet inſtant retentit de nos cris, Attour de ces deux Corps on s’aſſemble, on ſe preſſe, On trouve leur malheur égal à leur tendreſſe, Chacun verſe des pleurs, & le Peuple confus Aprés l’avoir perdu regrette Sabinus.	La place en cet instant retentir de nos cris, Atour de ces deux Corps on s'assemble, on se presse, On trouve leur malheur égal à leur tendresse, Chacun verse des pleurs, et le Peuple confus Après l'avoir perdu regrette Sabinus.
E a IRARE R.	E a IRARE R.
Ah!	Ah!
ſont-cela les ſoins, perfide Domitie, Que vous m’aviez promis de prendre pour ſa vie!	sont-cela les soins, perfide Domitie, Que vous m'aviez promis de prendre pour sa vie!
ULVIUS.	ULVIUS.
Domitie a paru, mais il étoit trop tard, Elle a du corps ſanglant retiré le poignard, Et d’un coup ſi cruel cette fiere Princeſſe A fait voir plus de joye encore que de triſteſſe.	Domitie a paru, mais il était trop tard, Elle a du corps sanglant retiré le poignard, Et d'un coup si cruel cette fière Princesse A fait voir plus de joie encore que de tristesse.
La Barbare!	La Barbare!
RSIASIIR	RSIASIIR
MUCIEN.	MUCIEN.
Seigneur, aprés de tels malheurs.	Seigneur, après de tels malheurs.
ESPASIEN.	ÉPASIEN.
1in.	1in.
louien mor un meins ces trop juſtes douleurs.	louien mór un meins ces trop justes douleurs.
Je ſuis par mon amour le bourieau d’Epouine, C’eſt moi dont la fureur aujourd’hui l’aſſaſſine, Mais ſi ma Barbarie a terminé ſon ſort J’apaiſerai bien-tôt ſes manes par ma mort.	Je suis par mon amour le bourieau d'Épouine, C'est moi dont la fureur aujourd'hui l'assassine, Mais si ma Barbarie a terminé son sort J'apaiserai bientôt ses mânes par ma mort.
Fin du cinquiéme & dernier Acte.	Fin du cinquième et dernier Acte.
