TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
le ſale vilain, Des tenailles, des clous, vn marteau, des mouchettes, Du ſauon, vn fuſil, vn pacquet d’allumettes, Des cartes, des cornets, des dez, un chauſſe-pié, Vn peigne gras, encor rompu par la moitié, Voicy ſa bource, il faut maintenant que ie voyé Combien il a d’argent, voicy de la monnoye, Des doubles & des ſols, & quelques quarts-d’eſ cus, Courage il ne faut point conſulter là-deſſus, Prenons-les & mettons des charbons à la place, Il deuiendra tantoſt auſsi froid qu’vne glace, Et ſe verra ſans doute en eſtrange ſoucy.	le sale vilain, Des tenailles, des clous, un marteau, des mouchettes, Du savon, un fusil, un pacquet d'allumettes, Des cartes, des cornets, des des, un chausse-pié, Un peigne gras, encor rompu par la moitié, Voici sa bourse, il faut maintenant que je voyé Combien il a d'argent, voici de la monnaie, Des doubles et des sols, et quelques quarts-des sus, Courage il ne faut point consulter là-dessus, Prenons-les et mettons des charbons à la place, Il deviendra tantôt aussi froid e glace, Et se verra sans doute en étrange soucy.
ANGELIQVE.	ANGELIQUE.
Maitiine eſt faite, ufaut que te ia iuiſſeicy, Raccommode le tout, rajuſte ces valizes.	Maitiine est faite, ufaut que te juisseici, Raccommode le tout, rajuste ces valises.
ISABELLE.	ISABELLE.
I'entens ouurir la porte, ah Dieux nous sõmes priſes, Sauuons nous promptement.	J'entends ouvrir la porte, ah Dieux nous sommes prises, Sauvons nous promptement.
ANGELIQVE.	ANGELIQUE.
Laigfe roui tomme il eſt, Ie mets ma lettre là.	Laigée roui tomme il est, Je mets ma lettre là.
CENE VI CARRILLE ſeul.	CÈNE VI CARILLE seul.
BOn, mon fait eſt tout preſt, Que veut dire cela?	BOn, mon fait est tout prêt, Que veut dire cela?
qui m’a fait ce meſnage, Qui nous a mis ainſi nos hardes au pillage?	qui m'a fait ce ménage, Qui nous a mis ainsi nos hardes au pillage?
En fait-on vn ancan?	En fait-on un ancan?
Dieux ie tremble de peur, Seroit-ce quelque diable, ou bien quelque enchãteur?	Dieux quelque tremble de peur, Serait-ce quelque diable, ou bien quelque enchãteur?
Perſonne ne reſpond, i’ay bien peur pour ma bourſe, Si mon argent eſt pris où ſera mareſource?	Personne ne répond, j'ai bien peur pour ma bourse, Si mon argent est pris où sera maresource?
Allons-y voir, i’en trẽble, ah Dieux c’eſt tout de bon, Ce diable a transformé mon argent encharbon, Autre que luy n’euſt peu me traiter de la ſorte, Perſonne n’est entré, i’ay la clef de la porte:	Allons-y voir, j'en trẽble, ah Dieux c'est tout de bon, Ce diable a transformé mon argent encharbon, Autre que lui n'eût pu me traiter de la sorte, Personne n'est entré, j'ai la clef de la porte:
Eſprit change en charbon l’argent qui vient de toy.	Esprit change en charbon l'argent qui vient de toi.
Mais celuy que ie vole à mon maiſtre pourquoy?	Mais celui que je vole à mon maître pourquoi?
Voila ce que nous ſert vn trafic illicite, Et comment vn argent mal acquis nous profite.	Voilà ce que nous sert un trafic illicite, Et comment un argent mal acquis nous profite.
Qui me peut maintenant r’aſſeurer les eſprits?	Qui me peut maintenant rassurer les esprits?
Ie ſuis icy tout ſeul, ſans doute ie ſuis pris, A l’ayde mes amis, au ſécours de Carrille, EmpeſcheZ que le diable à preſent ne l’eſtrille, d eſt en ſon pouhoir.	Je suis ici tout seul, sans doute ie suis pris, A l'aide mes amis, au sécours de Carrille, Empêchez que le diable à présent ne l'étrille, est en son pouhoir.
ENE VII LICIDAS, CARRILLE, FLORESTAN, LIZANDRE.	ENE VII LICIDAS, CARRILLE, FLORESTAN, LIZANDRE.
LICIDAS.	LICIDAS.
Dr, qui te fait crier?	Dr, qui te fait crier?
CARRILLE.	CARRILLE.
Il ne m'a pas laiſſé Meßieurs vn ſeul denier:	Il ne m'a pas laissé Messieurs un seul denier:
FLORESTAN.	FLORÊTAN.
Parle, t’a-t’onbattu, t’a-t’on fait quelque injure?	Parle, t'a-t-onbattu, t'a-t-on fait quelque injure?
CARRILLE.	CARRILLE.
Vous ne croirez iamais cette eſtrange aduenture.	Vous ne croirez jamais cette étrange aventure.
LTZANDRE.	LTZANDRE.
Dy-le donc, qui t’empeſche à preſent de parler?	Dis-le donc, qui t'empêche à présent de parler?
CARRILLE.	CARRILLE.
Pourquoy vous forceZ-vous à le dißimuler?	Pourquoi vous forcez-vous à le dissimuler?
Si l’on me voit icy tranſporté de la ſorte, Vous en ſçauez la cauſe, où le diable m’emporte, Si vous gardez ceans pour nouts prendre au filer, Vn diable familier, ou quelque Eſprit folet, Pourquoy nous auez-vous, Monſieur, à la malbeure Donné pour logement cette eſtrange demeure?	Si l'on me voit ici transporté de la sorte, Vous en savez la cause, où le diable m'emporte, Si vous gardez céans pour nouts prendre au filer, Un able familier, ou quelque Esprit folet, Pourquoi nous avez-vous, Monsieur, à la malbure Donné pour logement cette étrange demeure?
LIZANDRE.	LIZANDRE.
Es-tu fou?	Es-tu fou?
parles-tu de bon, ou ſi turis.	parles-tu de bon, ou si turis.
CARRILLE.	CARRILLE.
Ie n’ay point beu depuis que ie ſuis à Paris, Non, non, ie ne ris point, voyeZ cet équi page;	Je n'ai point bu depuis que je suis à Paris, Non, non, tu ne ris point, voyeZ cet équi page;
L'Eſprit dont ie vous parle a fait tout ce meſnage, Ie n’ay fait que ſortir à quatre pas d’icy, A mon retour t'ay veu tout noſtre fait ainſi, Ie ne ments point, Monſieur, c’eſt choſe veritable.	L'Esprit dont ie vous parle a fait tout ce ménage, Je n'ai fait que sortir à quatre pas d'ici, À mon retour t'ai vu tout ce fait ainsi, Je ne mens point, Monsieur, c'est chose véritable.
EILANDRE.	EILANDRE.
Ne te manque-t’il rien?	Ne te manque-t-il rien?
CARRILLE.	CARRILLE.
Mon argent que ce diable M’a pris, ou conueriy pouriemotns en charbon,	Mon argent que ce diable M'a pris, ou conueriy pouriemotns en charbon,
FLORESTAN.	FLORÊTAN.
Ah!	Ah!
l'infigne maraut.	l'insigne maraud.
LICIDAS.	LICIDAS.
Olt mauauts bouffon!	Olt mauauts bouffon!
LIZANDRE Tomett prora emruonun in pris tant de peine, Sont-ce là ces beaux traits?	LIZANDRE Tomett prora emruonun in pris tant de peine, Sont-ce là ces beaux traits?
CARRILLE.	CARRILLE.
Que le diable m’entraine Au plus creux de l’enfer, ſi ie vous ments d’vnmot.	Que le diable m'entraine Au plus creux de l'enfer, si je vous mens d'enfot.
LICIDAS.	LICIDAS.
O le froid paſſe-temps, faites tairece ſot.	Ô le froid passetemps, faites tairece sot.
FLORESTAN.	FLORÊTAN.
Si ie prens vn baſton, auec tes mentéries Tu conteras ailleurs tes froides railleries.	Si ici prends un bâton, avec tes menteries Tu conteras ailleurs tes froides railleries.
CARRILLE.	CARRILLE.
Et bien ie me tairay Monſieur, puis qu’il vous plaiſt, Mais	Et bien ie me tai Monsieur, puis qu'il vous plaît, Mais
LIZANDRE.	LIZANDRE.
Dedans vn moment le ſouper ſera preſt, On vous aduertira, mais n’ayez point d’ombrage Que noſtre Eſprit folet vous face du dommage, I'en demeure garand, Adieu, pour ce garçon Faites qu’il eſtudie vn peu mieux ſa leçon, Il nous feroit pleurer penſant nous faire rire.	Dedans un moment le souper sera prêt, On vous avertira, mais n'ayez point d'ombrage Que notre Esprit folet vous face du dommage, J'en demeure garand, Adieu, pour ce garçon Faites qu'il étudie un peu mieux sa leçon, Il nous ferait pleurer pensant nous faire rire.
LICIDAS en s’en allant.	LICIDAS en s'en allant.
Tay toy, tu feras mieux, il te faut interdire Le meſtier de bouffon ſi tu t’en veux meſler, Au plus chaud de l’eſté tu nous ferois geler.	Tais -toi, tu feras mieux, il te faut interdire Le métier de bouffon si tu t'en veux mêler, Au plus chaud de l'été tu nous ferais geler.
SCENE	SCÈNE
SCENE 1 III FLORESTAN, CARRILLE.	SCÈNE 1 III FLORÊTAN, CARILLE.
FLORESTAN.	FLORÊTAN.
Tbien traiſtre, qui peut ſouffrir tes impudences, Ie reçoy mille affronts pour tes impertinences, Tu vois qu'en ma preſence on ſe moque de moy.	Tbien traître, qui peut souffrir tes impudences, Je reçois mille affronts pour tes impertinences, Tu vois qu'en ma présence on se moque de moi.
CARRILLE.	CARRILLE.
Vout ne vouleZ donc pas me croire ſur ma foy?	Vout ne voulez donc pas me croire sur ma foi?
Que ſur tous les mal-heurs, mon mal-heur ſoit extreme, py ve onc ie vons uy n oppuu cumne meſme.	Que sur tous les malheurs, mon malheur soit extrême, py ve onc ici vons ui n opu cumne même.
Voudrois-je bouffonner ſeul à ſeulauec voute En entrant i’ay trouué tout ſans-deſſus deſſous, Comme vous le voyez;	Voudrais-je bouffonner seul à seulavec voute En entrant j'ai trouvé tout sans-dessus dessous, Comme vous le voyez;
ce n'eſt point vne fable Que ce ſoit vn eſprit, ou que ce ſoit vn diable, Pour moy ie n'en ſçay rien.	ce n'est point une fable Que ce soit un esprit, ou que ce soit un diable, Pour moi Roi n'en sais rien.
FLORESTAN.	FLORÊTAN.
Tu penſes m’abuzer, Et reparer ta faute, en voulant t’excuſer, Fut-il iamais au monde vne telle inſolence?	Tu penses m'abuzer, Et réparer ta faute, en voulant t'excuser, Fut-il jamais au monde ton telle insolence?
Reeguque ces puprore quime font d’importance En quel eſtat ils ſont.	Reguque ces puprore qui font d'importance En quel état ils sont.
CARRILLE, Ie puiſſe eſtre bruſlé, At puiſſe tant a prefent tous, epſc eſcartelé, Ie puiſſe voir du Ciel la foüdre toufe preste A tomber deſſus moy.	CARRILLE, Je puisse être brûlé, At puisse tant à présent tous, épsc escartelé, Je puisse voir du Ciel la foudre toufe prête A tomber dessus moi.
FLORESIAN.	FLORESIAN.
Ie te rompray la teſte Si tu conteſtes plus, inſolent, c’est aſſez.	Je te romprai la tête Si tu contestes plus, insolent, c'est assez.
CANRTLLE.	CANRTLE.
Voüs m’obligerez fort ſi vous vous en paſſeZ Iuspout Ie ne veux pas mourir, ie veux encore viure, Jny jort bien pourtant que ie ne ſuis pas yure,	Voüs m'obligerez fort si vous vous en passez Juspout Je ne veux pas mourir, sans veux encore vivre, Ini jort bien pourtant que je ne suis pas ivre,
ELORESTAN.	ELORESTAN.
Laiſſe-là mes papiers, i’en auray le ſoucy, Rajuſte tout le reſte.	Laisse-là mes papiers, j'en aurai le souci, Rajuste tout le reste.
Atten, que voy-je icy?	Atten, que vois-je ici?
Vne lettre fermée.	Une lettre fermée.
CARRILLE.	CARRILLE.
A qui s'adreſſe t'elle?	À qui s'adresse t'elle?
FLORESTAN.	FLORÊTAN.
A moy d’vne façon certes toute nouuelle.	À moi d'une façon certes toute nouvelle.
Comment?	Comment?
e IIrla lsaus	 JEIrla lsaus
FLORESTAN.	FLORÊTAN.
Ne m’ouurez pas, i’appartiens ſeulement A Floreſtan, dit-elle.	Ne m'ouvrez pas, j'appartiens seulement A Florêtan, dit-elle.
CARRILLE.	CARRILLE.
Et vien aſſeurément, Vous ſerez à la fin obligé de me croire, Auez-vous iamais veu de plus eſtrange hiſtoire?	Et viens assurément, Vous serez à la fin obligé de me croire, Avez-vous jamais vu de plus étrange histoire?
Ne l’ouurez pas auant que de la conjurer.	Ne l'ouvrez pas avant que de la conjurer.
FLORESTAN.	FLORÊTAN.
La nouueauté m’eſtonne, & me fait admirer.	La nouveauté m'étonne, et me fait admirer.
Mais ce n'eſt pas la peur, car encor que i’admire, Ie ne crains rien pourtant.	Mais ce n'est pas la peur, car encor que j'admire, Je ne crains rien pourtant.
Ouurons, illa faut lire.	Ouurons, illa faut lire.
LETTRE.	LETTRE.
E ſuis au deſeſpoir, Florestan, d’auoir mis IVn homme comme dous en danger de la vie, Et que pour mon ſuject vous ayez eu l’enuie.	E suis au désespoir, Florêtan, d'avoir mis IUn homme comme dous en danger de la vie, Et que pour mon sujet vous ayez eu l'envie.
De combattre la fleur de vos meilleurs amis.	De combattre la fleur de vos meilleurs amis.
I’ay fait reſpandre vn ſang que ie dois eſtimer;	J'ai fait répandre un sang que je dois estimer;
Et ce ſang ouurira la ſource de mes larmes;	Et ce sang ouvrira la source de mes larmes;
Mais mon mal ceſſeroit ſi i’auois quelques charmes Qui vous peuſſeut vn iour obliger à m’aymer.	Mais mon mal cesserait si j'avais quelques charmes Qui vous pussut un jour obliger à m'aimer.
Excuſez cét effect de mes legereteZ Mous ne vous plaindrés poinct de m’auoir obligée, Et de mon deſplaiſir ie ſeray ſoulagée En me faiſant ſçauoir comme vous vous portez.	Excusez cet effet de mes legereteZ Mous ne vous plaindrés point de m'avoir obligée, Et de mon déplaisir ie rai soulagée En me faisant savoir comme vous vous portez.
Ayez ſoin ce pendant de bien-toſt vous guerir, Et ſi vous m’eſcriuez, obligeZ moy de mettre Voſtre eſcrit au lieu meſme où ſera cette lettre, Et ie prendray le ſoin de l’enuoyer querir:	Ayez soin ce pendant de bientôt vous guérir, Et si vous m'écrivez, obligez moi de mettre Votre écrit au lieu même où sera cette lettre, Et sans prendrai le soin de l'envoyer quérir:
Ie vous deſcouure icy les ſecrets de moncœur, Gardés de reueler ce ſecret à perſonne;	Je vous découvre ici les secrets de moncœur, Gardés de révéler ce secret à personne;
Si leon de vos amis ſenlemen le fonbçonne, Ie perds enmeſme temps & la vie, & l’honneur.	Si leon de vos amis senlémen le fonbçonne, Je perds enmesme temps et la vie, et l'honneur.
CARRILLE.	CARRILLE.
Que dites-vous, Monſieur, de ce miracle icy?	Que dites-vous, Monsieur, de ce miracle ici?
ELORESTAN.	ELORESTAN.
Mon doute-eſt à preſent, peu s’enfaut eſclarcy, Car on cognoit aſſez que cette femme meſme, Qui maintenant m'eſcrit, & qui dit qu’elle m’ayme, Est celle qui tantoſt fuioit de Licidas:	Mon doute-est à présent, peu s'enfaut esclarci, Car on connaît assez que cette femme même, Qui maintenant m'écrit, et qui dit qu'elle m'aime, Est celle qui tantôt fuyait de Licidas:
Eſtant vray comme il eſt, pourquoy ne veux-tu pas (Car ie tiens pour certain que ce ſoit ſa Maiſtreſſe, Que pour entrer ceans elle ait aſſez d’adreſſe, Ou pour par vn des ſiens m'enuoyer cét eſcrit?	Étant vrai comme il est, pourquoi ne veux-tu pas (Cars tu tiens pour certain que ce soit sa Maîtresse, Que pour entrer céans elle ait assez d'adresse, Ou pour par un des siens m'envoyer cet écrit?
CARRILLE.	CARRILLE.
Non ie ne puis penſer qu’vn autre qu’vn eſprit.	Non ici ne puis penser qu'un autre qu'un esprit.
Puiſſe entrer en ce lieu, la porte estant fermée, Ou par vn ſortilege, il faut qu’il l’ait charmée.	Puisse entrer en ce lieu, la porte étant fermée, Ou par un sortilège, il faut qu'il l'ait charmée.
FLORESTAN.	FLORÊTAN.
Auant que nous vinßions?	Avant que nous vinsions?
CARRILLE.	CARRILLE.
Vous me feriez damner, A ce compte il faudroit qu’elle euſt peu deuiner Que vous deuiez auoir ſur l’heure vne querelle, Et que l’on vous deuoit bleſſer pour l’amour d’elle.	Vous me feriez damner, À ce compte il faudrait qu'elle eût peu deviner Que vous deviez avoir sur l'heure une querelle, Et que l'on vous devait blesser pour l'amour d'elle.
Laiſſez-moy ces raiſons, troyeZ Voſtre valet;	Laissez-moi ces raisons, troyez Votre valet;
Cette femme, ſans doute, c’eſt vn Eſprit folet, Nos hardes en font foy;	Cette femme, sans doute, c'est un Esprit folet, Nos hardes en font foi;
c’eſt pourquoy ie me fonde, Qu’il faut que ç’ait eſté quelqu’vn de l’autre monde;	c'est pourquoi votre me fonde, Qu'il faut que aait été quelqu'un de l'autre monde;
Quel autre euſt peu changermon argent en charbon?	Quel autre eût pu changermon argent en charbon?
FLORESTAN.	FLORÊTAN.
Mais viença, dis-tu vray, parles-tu tout de bon?	Mais viença, dis-tu vrai, parles-tu tout de bon?
CARRILLE.	CARRILLE.
Ie vous l’ay dit cent ſois, en douteZ-vous encore	Je vous l'ai dit cent sois, en doutez-vous encore
LORESTAN.	LORÊTAN.
At fait auone ſomioeocome con feurti que i'ignore Tout eſt-il bien ferme, regardebien par tout?	At fait avone somioeocome con feurti que j'ignore Tout est-il bien ferme, regardebien par tout?
CARRILLE.	CARRILLE.
Τοηι ἐτρυνος cυmmo onouj, uevonn l'autre bout.	Τοηι ἐτρυνος cammo onouj, ouvevonn l'autre bout.
En faut-it dauantage encor pour vous confondre?	En faut-it davantage encor pour vous confondre?
Mais que reſolueZ-vous?	Mais que résolvez-vous?
FLORESTAN.	FLORÊTAN.
Ie pretends luy reſpondre, Et luy faire paroistre vn trait de iugement, De n’auoir de ſa lettre eu nul estonnement, Puis qu'elle doit eſcrire, auec le temps i’eſpere De ponuoir aiſement deſcouurir ce mystere.	Je prétends autre répondre, Et lui faire paraître un trait de jugement, De n'avoir de sa lettre eu nul étonnement, Puis qu'elle doit écrire, avec le temps j'espère De ponvoir aisément découvrir ce mystère.
CARRILLE.	CARRILLE.
N'en parlereZ-vous point?	N'en parlerez-vous point?
FLORESTAN.	FLORÊTAN.
Comment fauſſer la foy A qui s’eſt confié ſi franchement à moy, I’aymerois mieux mourir.	Comment fausser la foi A qui s'est confié si franchement à moi, J'aimerais mieux mourir.
CARRILLE.	CARRILLE.
Vous auez donc enuie D'ofenter bieidas.	Vous avez donc envie D'ofenter biedas.
13	13
FLORESTAN.	FLORÊTAN.
Moy, ie perdray la vie Auant que ie conſente à cette laſcheté, Ie puis bien contenter ma curioſtté, Sans enuers mon amy paroiſtre en rien coupable.	Moi, Seigneur perdrai la vie Avant que ie consente à cette lâcheté, Je puis bien contenter ma curiostté, Sans envers mon ami paraître en rien coupable.
CARRILLE.	CARRILLE.
S’il faut que cet eſprit, ou bien pluſtoſt ce diable, Entre ceans, en ſorte, & ſe laiſſe approcher Sans qu’on le puiſſe voirsentendre, ny toucher, Que croireZ-vous alors?	S'il faut que cet esprit, ou bien tôt ce diable, Entre céans, en sorte, et se laisse approcher Sans qu'on le puisse voirsentendre, ni toucher, Que croirez-vous alors?
FLORESTAN.	FLORÊTAN.
r2 Rien d’extraordinaire Qu'on ne puiſſe en effet naturellement faire.	r2 Rien d'extraordinaire Qu'on ne puisse en effet naturellement faire.
