I ARGVMENT.	I JRGUMENT.
MELISSEE.	MELISEE.
CALIRIE.	CALIRIE.
FLORINTOR en entrant.	FLORINTOR en entrant.
E ne ſçay que ſonger pour vn iour d’aſſemblée, Il me ſemble de voir Larinthe bien troublée.	E ne sais que songer pour un jour d'assemblée, Il me semble de voir Larinthe bien troublée.
LARINTHE.	LARINTHÉ.
Venez eſtre teſmoins du plus loſche forfait, Que dans tout l’vniuers ayt encor eſté fait.	Venez der témoins du plus losche forfait, Que dans tout l'univers ait encor été fait.
CINTILLE.	CINTILE.
S’eſt-il trouué quelqu'vn de ce crime capable.	S'est-il trouvé quelqu'un de ce crime capable.
MELISSEE.	MELISEE.
quon aueiſje el earcencure le coupaele.	quon aueisje é parcencure le coupale.
ALIRIE.	ÀLIRIE.
Les coupables bien toſt viendront icy nous voir, Vn moment, eux preſens, vous fera tout ſçauoir:	Les coupables bien tôt viendront ici nous voir, Un moment, eux presens, vous fera tout sçauoir:
Voicy l’vn,	Voici l'autre,
LORINTOR.	LORINTOR.
C'eſt Oronté,	C'est Oronté,
CALIRIE.	CALIRIE.
On verra bien toſt l’autre.	On verra bien tôt l'autre.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE VI.	SCÈNE VI.
ORONTE.	ORONTE.
CALIRIE.	CALIRIE.
ALIDOR.	ÀLIDOR.
MELISSEE.	MELISEE.
CINTILLE.	CINTILE.
FLORINTOR.	FLORINTOR.
LARINTHE.	LARINTHÉ.
ORONTE.	ORONTE.
H!	H!
quelle cruauté, quel mal-heur eſt le noſtre, Quel tygre vous a miſe en ce cruel eſtat, A vommez-ie moy, quit mente apres ecl attentdis	quelle cruauté, quel malheur est le nôtre, Quel tigré vous a mise en ce cruel état, A vommez-je moi, quit mente après ecl attentidis
CALIRIE.	CALIRIE.
Le tygre, cher Oronte, eſt vn autre vous-meſme.	Le tigré, cher Oronte, est un autre vous-même.
Le te ac-t- P	Le te act- P
ORONTE.	ORONTE.
Helas!	Hélas!
n’adiouſtezrien à ma douleur extreſme.	n'adioustezrien à ma douleur extrême.
CINTILLE voyant Alidor.	CINTILE voyant Alidor.
Ah!	Ah!
voicy mon ingrat, dont l’eſprit trans porté Rejnrense damten pareirtent ayic.	voici mon ingrat, dont l'esprit trans porté Rejnrense damten paretirtent ayic.
ALIOOR.	ÀLIOR.
Par celuy qui m'a faict, deuant les Dieux ie iure.	Par celui qui m'a fait, devant les Dieux ie jure.
4 Que la mort du coupable en vangera l’iniure.	4 Que la mort du coupable en vengera l'injure.
CINTILLE.	CINTILE.
Cachons nos mouuemens pour voir la fin de tous.	Cachons nos mouvements pour voir la fin de tous.
CRLIRIE.	CRLIRIE.
Vous vous en deſdirez, puiſque ce n’eſt que vous.	Vous vous en dédirez, puisque ce n'est que vous.
Alidor, ORONTE,	Alidor, ORONTE,
CALIRIE.	CALIRIE.
C’eſt luy-meſme,	C'est autre-même,
ara dn aa eu da Ie ne ſçay plus que dire, Enfin toute eſtonnée,  2 M	ara dn a eu da Je ne sais plus que dire, Enfin toute étonnée, 2 M
CINTILLE.	CINTILE.
Acheuons la iournée, Vous verrez des ſujets de plus d’eſtonnement.	Achevons la journée, Vous verrez des sujets de plus d'étonnement.
FLORINTOR.	FLORINTOR.
En volla blenpourtrrnit que t'en voir aurentente	En volla blenpourtrent que t'en voir aurentente
CALIRIE.	CALIRIE.
Alidor qu'eſt-cecy, vous destournez la veuë, Ne ſuis-ie plus d’attraits à vos yeux ſi pourueuë, N’ay-ie plus ces beautez que vous cherißiez tât, Comment, ce peu de ſang vous rend-il inconſtant, Et toy, mon cher Amant, en feras-tu de meſme, Auiourd’huy que tu vois que perſonne ne m'aime, Voy, voy que ce viſage eſt ſeulement changé, Pour monſtrer mon amour, & te rendre venge, Perſonne deſormais ne s’oppoſe à ta flâme, Ie ſçay que ton amour eſtoit toute pour l’ame, Qu'elle ſe maintenoit par de plus forts appas Que ceux qu’on voit le ſoir, & demainne ſont par;	Alidor qu'est-ceci, vous détournez la vue, Ne suis-je plus d'attraits à vos yeux si pourvue, N'ai-je plus ces beautés que vous cherissiez tât, Comment, ce peu de sang vous rend-il inconstant, Et toi, mon cher Amant, en feras-tu de même, Auiourd’hui que tu vois que personne ne m'aime, Vois, vois que ce visage est seulement changé, Pour montrer mon amour, et te rendre venge, Personne désormais ne s'oppose à ta flamme, Je sais que ton amour toute pour pour Qu'âme, Qu'elle se maintenait par de plus forts appas Que ceux qu'on voit le soir, et demainne et par'
Mais parce que chacun attend que ie luy die Le veritable autheur de cette tragedie, Sçachez que c'eſt Oronte, auec ſon Alidor, Qui me priuent auiourd’huy de ce riche threſor, Oronte pour m’auoir trop librement cedée A qui ie ne pouuois iamais eſtre accordée, Et vous ſon cher nepueu, pour auoir trop aime Cét eſclat de beauté qui vous auoit charme:	Mais parce que chacun attend que ainsi ainsi die Le véritable auteur de cette tragédie, Sachez que c'est Oronte, avec son Alidor, Qui me privent aujourd'hui de ce riche thresor, Oronte pour m'avoir trop librement cédée À qui ie ne pouvais jamais être accordée, Et vous son cher nepueu, pour avoir trop aime Cet éclat de beauté qui vous avait charme:
Mais ie rends grace aux Dieux, que mon ame contente Apres ce peu de mal receura ſon attente, Oronte qui deuoit de tout droit eſtre mien, Apres ce que i’ay fait me voudra plus de bien, Et vous braue Alidor, cognoiſſant voſtre faute, Vous m'eſtimerez plus d’vne action ſi haute, dousen ſyaucz ta cauſe, en volta tintrument, Que ma main a conduit à l'accompliſſement.	Mais mille rends grâce aux Dieux, que mon âme contente Après ce peu de mal recevra son attente, Oronte qui devait de tout droit même mien, Après ce que j'ai fait me voudra plus de bien, Et vous brave Alidor, connaissant votre faute, Vous m'estimez plus d'une action si haute, dousen syaucz ta cause, en volta tintrument, Que ma main a conduit à l'accomplissement.
DRONTE.	DRONTE.
Apres cette action, quelle vertu pareille Nous a iamais produit vne telle merueille, Que ie cheris ce ſang qu'on a versé pour moy, Nnectomnenautle levaſe, te voy.	Après cette action, quelle vertu pareille Nous a jamais produit une telle merveille, Que ie chéris ce sang qu'on a versé pour moi, Nunectomnenautle levase, te vois.
Ma belle fille excuſe Qronte, ie te prie, I'obtiens entierement auiourd'huy Calirie.	Ma belle fille excuse Qronte, on te prie, J'obtiens entièrement aujourd'hui Calirie.
BARINTHE.	BARINTHÉ.
Mai parmy ces transports ſon mal s'enuenimat.	Ma parmi ces transports son mal s'envenimât.
Vous pourroit bien rauir tout ce contentement.	Vous pourrait bien ravir tout ce contentement.
ALIDOR Confus de tout cecy, ma pauure ame abbatuë Deteur pouuoir parter vainement s eſuertue.	ÀLIDOR Confus de tout ceci, ma pauvre âme abattue Deteur pouvoir parter vainement s' évertue.
CINTILLE.	CINTILE.
Ce n’eſt pas tout, ingrat, la cholere des Dieux Vient expoſer ton crime auttntmutes yeux, Ne me cognois-tu point?	Ce n'est pas tout, ingrat, la colère des Dieux Vient exposer ton crime auttntmutes yeux, Ne me connais-tu point?
ALIDOR.	ÀLIDOR.
Ah!	Ah!
valeureux Alcandre, Ie n’ay point de raiſon qui me puiſſe defendré, Il est vray, ie l’aduouë, & le Ciel eſt trop doux De m’auoir eſpargné dans ſon iuste courroux:	valeureux Alcandre, Je n'ai point de raison qui me puisse défendré, Il est vrai, toujours l'avoue, et le Ciel est trop doux De m'avoir épargné dans son juste courroux:
I’ay trahy voſtre ſœur, & mon ame infidelle Merite de ſouffrir vne peine eternelle:	J'ai trahi votre sœur, et mon âme infidèle Mérite de souffrir une peine éternelle:
Ah!	Ah!
Cintille, Cintille, apres cett action, Ie ne merite plus ta chaſte affection, Ie t’ay trop offenſee, & mon ame pariure Ne ſe pourraiamais lauer de cett'iniure, Toutesfois, cher amy, ſi le vray repentir, Qui fait comme tu voy tous mes ſouſpirs ſortir, Te porte à la pitié, pardonne monoffenſe – -7-16 - - 1  Entreprens vers ta ſœur, toy-meſme ma defenſe, Ramene cẽt eſclaue à ſa captiuité, Et ne le traite pas comme il a merité, Que ſita ſœur encor conſerue dans ſon ame, Pour vn coupable Amant quelque reſte de flâme, Bten-heu reux Alidor, mais ie ne le croy pas, I’ay trop indignement mesprisé ſes appas.	Cintille, Cintille, après cet action, Je ne mérite plus ta chaste affection, Je t'ai trop offense, et mon âme parjure Ne se pourraiamais lauer de cett' injure, Toutefois, cher ami, si le vrai repentir, Qui fait comme tu vois tous mes soupirs sortir, Te porte à la pitié, pardonne mon - - 1 Entreprens vers ta sœur, toi-même ma défense, Ramene cẽt esclaue â sa captiuité, Et ne le traite pas me il a me, Que sita sœur encor conserve dans son âme, Pour coupable Amant quelque reste de flâme, Bten-heu reux Alidor, mais ie ne le croy pas, ay trop indignement mesprisé ses appas.
CINTILLE.	CINTILE.
Leuez-vous Alidor, l’offenſe eſt pardonnée, Et gardez mieux la foy quand vous tanttz donee.	Levez-vous Alidor, l'offense est pardonnée, Et gardez mieux la foi quand vous tanttz done.
Regardez qui vous parle,	Regardez qui vous parle,
ALIDOR.	ÀLIDOR.
O bon heur nompareil, Mes yeux ſont esbloüys à ce nouueau ſoleil, Cintiie, ceſt pous mefine ye beauté fans exemple, A qui les cœurs des Dieux doiuẽt ſeruir de temple Helas!	Ô bon heur nompareil, Mes yeux sont éblouis à ce nouveau soleil, Cintière, cest pous mène y beauté sans exemple, À qui les cœurs des Dieux doiuẽt servir de temple Hélas!
quel bon demon vous à conauitity.	quel bon démon vous à conauitity.
CINTILLE.	CINTILE.
Ton crime, & mon amour:	Ton crime, et mon amour:
MELISSEE tout bas.	MELISEE tout bas.
Quel changement voicy;	Quel changement voici;
Alcandre Alcandre est vne fille, ô folle Meliſſee, De quel trait amoureux est ton ame bleſſee L’objet de tes deſirs ne te peut ſecourir, Et qui t’a fait le mal ne te ſçauroit guerir, Amour, c'est donc ainſi cruel que tu m'abuſes.	Alcandre Alcandre est une fille, ô folle Melisse, De quel trait amoureux est ton âme blessée L'objet de tes désirs ne te peut secourir, Et qui t'a fait le mal ne te saurait guérir, Amour, c'est donc ainsi cruel que tu m'abuses.
CINTILLE.	CINTILE.
C’eſt aſſez, Alidor, on reçoit vos excuſes, A la charge pourtant de ne puit renenir A la faute qu'amour eſtoit preſt de punir.	C'est assez, Alidor, on reçoit vos excuses, À la charge pourtant de ne puit renenir A la faute qu'amour était prêt de punir.
ALIDOR.	ÀLIDOR.
Si iamais autre amour que le voſtre me preſſe, Si quelque autre beauté que la voſtre me bleſſe, Que le Dieu qui punit le crime des Amans Inuente à mon ſujet mille nouueaux tourmens.	Si jamais autre amour que le vôtre me presse, Si quelque autre beauté que la vôtre me blesse, Que le Dieu qui punit le crime des Amants Inuente à mon sujet mille nouveaux tourments.
CALIRIE.	CALIRIE.
Que i'ay peu de regret à ma derniere perte, Et que t'ay da plaiſir de ma douleur ſoufferte, Puis qu’en vn ſeul moment ruinant mes attraits, Oronte, & ſon nepueu ſe trouuent ſatisfaits.	Que j'ai peu de regret à ma dernière perte, Et que t'ai da plaisir de ma douleur soufferte, Puis qu'en un seul moment ruinant mes attraits, Oronte, et son nepueu se trouvent satisfaits.
CINTILLE.	CINTILE.
Approchez Meliſſee, embraſſez vostre Alcãdre, Tout autre toutesfois qu'on ne deuoit attendre, Et ne rougiſſez point que ſous ces habits faux Ie vous aye apporté de veritables maux, Florintor dont l’amour vous eſt aſſez cognuë, Qui parmy vos meſpris euſt tant de retenuë, Qui perſiſte touſiours en ſa premiere ardeur Doit faire ſucceder l’amour à la froideur.	Approchez Mélissee, embrassez esprit Alcondre, Tout autre toutefois qu'on ne devait attendre, Et ne rougissez point que sous ces habits faux Je vous aie apporté de véritables maux, Florintor dont l'amour vous est assez connue, Qui parmi vos mépris eût tant de retenue, Qui persiste toujours en sa première ardeur Ait faire succéder l'amour à la froideur.
MELISSEE.	MELISEE.
Ouy, Cintille, il eſt vray que mon ame enflamee Vous a dans ces habits trop ardemmant aimee:	Oui, Cintille, il est vrai que mon âme enflamène Vous a dans ces habits trop ardemmant aimée:
Mais qui n'adoreroit des appas ſi puiſſans, Et n'aſſub jettiroit à vos yeux tous les ſens, Et pour vous teſmoigner que ie vous aime encore, Qa quel ſexe qui ſoit vos merites i'autre, Pour vous plaire ie veux receuoir Florintor, Auec la meſme ardeur que vous voſtrę Alidor.	Mais qui n'adorerait des appas si puissants, Et n'assub jetait à vos yeux tous les sens, Et pour vous témoigner que je vous aime encore, Qa quel sexe qui soit vos mérites j'autre, Pour vous plaire tu veux recevoir Florintor, Avec la vôtre ardeur que vous vostr Ilidor.
FLORINTOR.	FLORINTOR.
Surpris d’eſtonnement, & de plaiſir enſemble, Que l’amour en ce lieu tant d’accidens aſſemble, Ie croy que quelque ſonge a doucement ſurpris, Au milieu du ſommeil mes amoureux esprits, Meliſſee a mis fin à ſa rigueur cruelle, Et veut que Florintor bruſle touſiours pour elle, Enfin elle a pitié de ſes cruels ennuis, d'altes-moy plus certain de l'eſtat ou ie ſuis,	Surpris d'étonnement, et de plaisir ensemble, Que l'amour en ce lieu tant d'accidents assemble, Je crois que quelque songe a doucement surpris, Au milieu du sommeil mes amoureux esprits, Mélissee a mis fin à sa rigueur cruelle, Et veut que Florintor brûle toujours pour elle, Enfin elle a pitié de ses cruels ennuis, d'ales-moi plus certain de l'état ou je suis,
MELISSEE.	MELISEE.
Vous auez tout ſujet d’auoir l’ame contente Si mon affection eſt toute voſtre attente.	Vous avez tout sujet d'avoir l'âme contente Si mon affection est toute votre attente.
FLORINTOR.	FLORINTOR.
P.	P.
ur ces invis aniour a nuy vous me reſſaſcuezs Et ie benis les maux ſi long temps ſupportez.	ur ces invis aniour a nui vous me ressascuezs Et ici bénis les maux si long temps supportez.
LARINTHE.	LARINTHÉ.
Le malde Calirie à tous momens s’augmente, Et quoy qu'elle ſe feigne, il faut qu’il la tourmente, C’eſt pourquoy puis qu'amour agit ſeul en cecy, Meliſſee, & Cintille arreſteront icy, Et cependant que l’art remettra ſon viſage, Les propos amoureux reprendront leur vſage, Iuſqu'à ce qu'vn hymen confirmant vos amours, Vous vniſſe tous ſix le reſte de vos iours.	Le malde Calirie à tous moments s'augmente, Et quoi qu'elle se feigne, il faut qu'il la tourmente, C'est pourquoi puis qu'amour agit seul en ceci, Mélissee, et Cintille arrêteront ici, Et cependant que l'art remettra son visage, Les propos amoureux reprendront leur usage, Jusqu'à ce qu' Hymen confirmant vos amours, Vous unisse tous six le reste de vos jours.
