LA A REINE REGENTE.	LA A REINE RÉGENTE.
Je ferois à tous trois un trop ſenſible outrage, J’aſſeure mon repos qui troublent ſes regards, La vertu la plus ferme évite les hazards, Qui s’ex poſe au peril veut bien trouver ſa perte, Et pour vous en parler avec une ame ouverte, Depuis qu’un vray merite a pû nous enflamer Sa preſence toûjours a droit de nous charmer.	Je ferais à tous trois un trop sensible outrage, J'assure mon repos qui troublent ses regards, La vertu la plus ferme évite les hasards, Qui s'ex pose au péril veut bien trouver sa perte, Et pour vous en parler avec une âme ouverte, Depuis qu'un vrai nérite a pu nous enflammer Sa présence toujours à droit de nous charmer.
Outre qu’on doit rougir de s’en laiſſer ſurprendre, On ſouffre à refiſter, on ſouffie à s’en defendre, Lt bien que la vertu triomphe de ces feux La victoire eſt penible & le combat honteux.	Outre qu'on doit rougir de s'en laisser surprendre, On souffre à résister, on souffie à s'en défendre, Lt bien que la vertu triomphe de ces feux La victoire est pénible et le combat honteux.
POLYEUCTE.	POLYECTE.
O vertu trop parfaite, & devoir trop ſincere, Que vous devez couſter de regrets à Severe!	Ô vertu trop parfaite, et devoir trop sincère, Que vous devez coûter de regrets à Sevère!
Qu’aux depens d’un beau feu vous me rendez heureux, Et que vous eſtes doux à mon cœur amoureux!	Qu'aux dépens d'un beau feu vous me rendez heureux, Et que vous êtes doux à mon cœur amoureux!
Plus je voy mes defauts & plus je vous contemple;	Plus je vois mes défauts et plus je vous contemple;
Plus jadmire.	Plus jadmire.
SCENE V.	SCÈNE V.
POLYEUCTE, PAULINE, NEAR.	POLYEUCTE, PAULINE, NEAR.
QUE, STRATONICE, CLEON.	QUE, STRATONICE, CLEON.
CLEON.	CLEON.
SEigneur, Felix vous mande au Temple, La vietile ert enone ce le peaple d Mu » Et pour ſacrifier on n’attend plus que vous.	SEigneur, Félix vous mande au Temple, La vietile ert enone ce le paple d Mu " Et pour sacrifier on n'attend plus que vous.
POLIESEIE.	POLIÈSEIE.
Va, nous allons te ſuivre.	Va, nous allons te suivre.
Y venez-vous, Madame?	Y venez-vous, Madame?
PAULINE.	PAULINE.
Severe craint ma veuë, elle irrite ſa flame, re luy tiendray parole, & ne veux plus le voir.	Sévère craint ma vue, elle irrite sa flamme, re âme tiendrai parole, et ne veux plus le voir.
Adieu, vous l’y verrez, penſez à ſon pouvoir, Et vous reſſouvenez que ſa faveur eſt grande,	Adieu, vous l'y verrez, pensez à son pouvoir, Et vous ressouvenez que sa faveur est grande,
POLYEUCTE.	POLYECTE.
Allez, tout ſon credit n’a rien que j’apprehende, Et comme je connois ſa generoſité Nous le nous combatrons que de civmte.	Allez, tout son crédit n'a rien que j'appréhende, Et comme je connais sa générosité Nous le nous combatrons que de civmette.
SCENAVI.	SCENAVI.
POLYEUCTE, NEARQUE.	POLYEUCTE, NEARQUE.
NEARQUE.	NEARQUE.
OY penſez-vous aller?	OY pensez-vous aller?
POLYEUCTE.	POLYECTE.
Au Temple où l’on m’appelle.	Au Temple où l'on m'appelle.
NEARQUE.	NEARQUE.
Quoy!	Quoi!
vous meſler aux vœux d’une troupe infidelle.	vous mêler aux vœux d'une troupe infidèle.
Oubliez-vous déja que vous eſtes Chreſtien?	Oubliez-vous déjà que vous êtes Chrétien?
2	2
POLYEUCTE.	POLYECTE.
Vous par qui je le ſuis;	Vous par qui je le suis;
vous en ſouvient -il bien?	vous en souvient -il bien?
NEARQVE.	NEARQUE.
I’abhorre les faux Dieux.	J'abhorre les faux Dieux.
POLYEUCTE.	POLYECTE.
Et moy je les deteſte,	Et moi je les déteste,
NEARQUE.	NEARQUE.
le tiens leul eulteimples,	le tiens leul élteimples,
POLYEUCTE.	POLYECTE.
Et je le tiens funeſte.	Et je le tiens funeste.
NEARQUE.	NEARQUE.
Fuyez donc leurs Autels.	Fuyez donc leurs Autels.
POLYEUCTE.	POLYECTE.
Je les veux renverſer, Et mourir dans leur Temple, ou bien les en chaſſer.	Je les veux renverser, Et mourir dans leur Temple, ou bien les en chasser.
Allons, mon cher Nearque, allons aux yeux des hommes.	Allons, mon cher Nearque, allons aux yeux des hommes.
Braver l’idolatrie & monſtrer qui nous ſommes, C’eſt l’attente du Ciel, il nous la faut remplir, Je le viens de promettre, & je vay l’accomplir.	Braver l'idolâtrie et montrer qui nous sommes, C'est l'attente du Ciel, il nous la faut remplir, Je le viens de promettre, et je vais l'accomplir.
Je rend graces au Dieu que tu ſm’as fait connoiſtre De tette otcanon qu'ina muore luit naiſtre, Où déja ſa bonté preſte à me couronner Daigne eprouver la loy qu'n vient de merdonner.	Je rend grâces au Dieu que tu sm'as fait connaître De tette otcanon qu'ina muore luit naître, Où déjà sa bonté prête à me couronner Daigne éprouver la loi qu'n vient de médonner.
NEARQUE.	NEARQUE.
Ce zele eſt trop ardent, ſouffrez qu’il ſe modere.	Ce zèle est trop ardent, souffrez qu'il se modère.
POLYEUCTE.	POLYECTE.
On n’en peut avoir trop pour le Dieu qu’on revere.	On n'en peut avoir trop pour le Dieu qu'on révère.
NEARQVE.	NEARQUE.
Vous trouverezl a mort ?	Vous trouverezl a mort ?
POLY	POLI
POLYEVCTE.	POLYEUCTE.
Ie la cherche pour luy.	Je la cherche pour mieux.
NEARQVE.	NEARQUE.
Et ſi ce cœur s’ébranſle?	Et si ce cœur s'ébranle?
POLYEVCIE.	POLYEUCIE.
Il ſera mon appuy.	Il sera mon appui.
NEARQVE.	NEARQUE.
Il ne commande point que l’on s’y precipite.	Il ne commande point que l'on s'y précipite.
POLYEVCTE.	POLYEUCTE.
Plus chle eſt voiontalre, & pius ene merite.	Plus chle est voiontalère, et pius ene mérite.
NEARQVE.	NEARQUE.
Il ſuffit, lans chercher, d’attendre & de ſouffrir.	Il suffit, lans chercher, d'attendre et de souffrir.
POLYEVCTE.	POLYEUCTE.
On ſouffre avec regret quand on n’oſe ſouffrir.	On souffre avec regret quand on n'ose souffrir.
NEARQVE.	NEARQUE.
Mais dans ce Temple enfin la mort eſt aſſeurée.	Mais dans ce Temple enfin la mort est assurée.
TOLTEVCIE.	TOLTEUCIE.
Mais dans le Ciel déja la palme eſt preparée.	Mais dans le Ciel déjà la palme est préparée.
N EARQVE.	 NARQUE.
Par une ſainte vie il la faut meriter.	Par une sainte vie il la faut mériter.
POLYEVCTE.	POLYEUCTE.
Mes crimes en vivant me la pourroient oſter, Pourquoy mettre au hazaid ce que la mort aſſeure Quand elle ouvre le Ciel peut-elle ſembler dure?	Mes crimes en vivant me la pourraient ôter, Pourquoi mettre au hasaid ce que la mort assure Quand elle ouvre le Ciel peut-elle sembler dure?
Je ſuis Chreſtien, Nearque, & le ſuis tout à fait;	Je suis Chrétien, Nearque, et le suis tout à fait;
La foy que j’ay receuë aſpire à ſon effet, Qui fuit croit lâchement & n’a qu’une foy morte.	La foi que j'ai reçue aspire à son effet, Qui fuit croit lâchement et n'a qu'une foi morte.
NEARQVE.	NEARQUE.
Voyez que voſtre vie à Dieu meſme importe, Vivez pour proteger les Chreſtiens en ces lieux.	Voyez que votre vie à Dieu même importe, Vivez pour protéger les Chrétiens en ces lieux.
POLYEVCTE.	POLYEUCTE.
L'exemple de ma mort les fortifiera mieux.	L'exemple de ma mort les fortifiera mieux.
NEARQVE.	NEARQUE.
Vous voulez donc mourir!	Vous voulez donc mourir!
POLYEVCTE.	POLYEUCTE.
Vous aymez donc à vivre?	Vous aimez donc à vivre?
NEARQVE.	NEARQUE.
Je ne puis deguſſer que j’ay peſne à vous luivre, Sous l’horreur des tourmens je crains de ſuccomber.	Je ne puis dégusser que j'ai pêne à vous luivre, Sous l'horreur des tourments je crains de succomber.
POLYEVCTE.	POLYEUCTE.
Qui marche aſſeurement n’a point peur de tomber, Dieu fait part au beſoin de ſa force infinie, Qui craint de le nier dans ſon ame le nie, A ciort le pouvon falle, & doute de la loy.	Qui marche assurément n'a point peur de tomber, Dieu fait part au besoin de sa force infinie, Qui craint de le nier dans son âme le nie, À ciort le pouvon salle, et doute de la loi.
NEARQVE.	NEARQUE.
Qui n’apprehende, rien préſume trop de ſoy.	Qui n'appréhende, rien présume trop de soi.
POLYEVCTE.	POLYEUCTE.
J’attent tout de ſa grace & rien de ma foibleſſe:	J'attent tout de sa grâce et rien de ma faiblesse:
Mais loin de me preſſer il faut que je vous preſſe, D’ou vient cette froideur?	Mais loin de me presser il faut que je vous presse, D'ou vient cette froideur?
NEARQVE.	NEARQUE.
Dieu meſme a craint la mort.	Dieu rendre a craint la mort.
POLYEVCTE.	POLYEUCTE.
Il s’eſt offert pourtant, ſuivons ce ſaint effort, Dreſſons luy des Autels ſur des monceaux d’Idoles, Il faut (je me ſouvient encor de vos paroles) Negliger pour luy plaire, & femme, & bien, & rang, Expoſer pour ſa gloire & verſer tout ſon ſang, Helas!	Il s'est offert pourtant, suivons ce saint effort, Dressons venir des Autels sur des monceaux d'Idoles, Il faut (je me souvient encor de vos paroles) Négliger pour lui plaire, et femme, et bien, et rang, Exposer pour sa gloire et verser tout son sang, Hélas!
qu’avez-vous fait de cette amour parfaite Que vous me ſouhaitiez & que je vous ſouhaite?	qu'avez-vous fait de cette amour parfaite Que vous me souhaitiez et que je vous souhaite?
S’il vous en reſte encor n’eſtes-vous point jaloux Qu’à grand peine Chreſtien j’en montre plus que vous.	S'il vous en reste encor n'êtes-vous point jaloux Qu'à grand peine Chrétien j'en montre plus que vous.
NEAR	NEAR
NEARQIVE.	NEARQIVE.
Vous ſortez du Bateſme, & ce qui vous anime C’eſt ſa grace qu’en vous n’affoiblit aucun crime, Comme encor toute entiere elle agit pleinement, Et tout ſemble poſſible à ſon feu vehement:	Vous sortez du Batte, et ce qui vous anime C'est sa grâce qu'en vous n'affaiblit aucun crime, Comme encor toute entière elle agit pleinement, Et tout semble possible à son feu véhément:
Mais cette meſme grace en moy diminuée, Et par mille pechez ſans ceſſe extenuée, Agit aux grands effets auec tant de langueur Que tout ſemble impoſſible à ſon peu de vigueur.	Mais cette même grâce en moi diminuée, Et par mille péchez sans cesse extenuée, Agit aux grands effets avec tant de langueur Que tout semble impossible à son peu de vigueur.
Cette indigne molleſſe & ces laſches defenſes Sont des punitions qu’attirent mes offenſes, Mais Dieu dont on ne doit jamais ſe deffier Me donne voſtre exemple à me fortifier.	Cette indigne mollesse et ces lâches défenses Sont des punitions qu'attirent mes offenses, Mais Dieu dont on ne doit jamais se défier Me donne vôtre exemple à me fortifier.
Allons, cher Polyeucte, allons aux yeux des hommes Brauer l’idolatrie & monſtrer qui nous ſommes;	Allons, cher Polieute, allons aux yeux des hommes Braver l'idolâtrie et montrer qui nous sommes;
Puiſſay-ie vous donner l’exemple de ſouffrir.	Puissé-je vous donner l'exemple de souffrir.
Comme vous me donnez celuy de vous offrir.	Comme vous me donnez celui de vous offrir.
POLYEVCTE.	POLYEUCTE.
A cet heureux tranſport que le Ciel vous euvoye, Ie recognoy Nearque & j’en pleure de joye:	À cet heureux transport que le Ciel vous eue, Je recognoy Nearque et j'en pleure de joie:
Ne perdons plus de temps, le ſacrifice eſt preſt, Allons-y du vray Dieu ſouſtenir l’intereſt, Allons fouler aux pieds ce foudre ridicule Dont arme vn bois pourry ce peuple trop credule, Allons en eclairer l’aueuglement fatal, Allons briſer ces Dieux de pierre & de metail, Abandonnons nos jours à cette ardeur celeſte, Faiſons triompher Dieu, qu’il diſpoſe du reſte.	Ne perdons plus de temps, le sacrifice est prêt, Allons-y du vrai Dieu soutenir l'intérêt, Allons fouler aux pieds ce foudre ridicule Dont arme un bois pourri ce peuple trop crédule, Allons en éclairer l'aveuglement fatal, Allons briser ces Dieux de pierre et de métail, Abandonnons nos jours à cette ardeur celeste, Faisons triompher Dieu, qu'il dispose du reste.
NEARQVE.	NEARQUE.
Allons faire éclater ſa gloire aux yeux de tous, Allons mourir pour luy comme il eſt mort pour nous.	Allons faire éclater sa gloire aux yeux de tous, Allons mourir pour lui comme il est mort pour nous.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE TREMIERE.	SCÈNE TREMIERE.
PAVLINE.	PAULINE.
Ve de ſoucis flottans!	Ve de soucis flottants!
que de confus nuages Preſentent à mes yeux d’inconſtantés images.	que de confus nuages Présent à mes yeux d'inconstantés images.
Que ton divin rayon tarde à les eſclairer !	Que ton divin rayon tarde à les éclairer !
Mille penſers divers que mes troubles produiſent Dans mon cœur incertain à l’enuy ſe détruiſent.	Mille pensers divers que mes troubles produisent Dans mon cœur incertain à l'envi se détruisent.
Nul eſpoir ne me flate où j’oſe perſiſter, Nulle peur ne m’effraye où j’oſe m’arreſter, Mon eſprit embraſſant tout ce qu’il s’imagine Veut tantoſt mon bon-heur & tantoſt ma ruine, L’un & l’autre le frappe avec ſi peut d’effet Qu’il ne peut eſperer ny craindre tout a fait.	Nul espoir ne me flatte où j'ose persister, Nulle peur ne m'effraie où j'ose m'arrêter, Mon esprit embrassant tout ce qu'il s'imagine Veut tantôt mon bonheur et tantôt ma ruine, L'un et l'autre le frappe avec si peut d'effet Qu'il ne peut espérer Seigneur craindre tout a fait.
Severe inceſſament broüille ma fantaiſie, J’eſpere en ſa vertu, je crains ſa jalouſie, Et je n’oſe penſer que d’un œil bien égal Polyeucte en ces lieux puiſſe voir ſon rival.	Sevère incessament broüille ma fantaisie, J'espère en sa vertu, je crains sa jalousie, Et je n'ose penser que d'un œil bien égal Polyeucte en cette lieux puisse voir son rival.
Comme entre deux rivaux la haine eſt naturelle, L’entreveuë aiſément ſe termine en querelle.	Comme entre deux rivaux la haine est naturelle, L'entrevue aisément se termine en querelle.
L’un voit aux mains d’autruy ce qu’il croit meriter, L’autre un deſeſperé qui le luy veut oſter, Quelque haute raiſon qui regle leur courage.	L'un voit aux mains d'autrui ce qu'il croit mériter, L'autre un désespéré qui le lui reste ôter, Quelque haute raison qui règle leur courage.
L’un conçoit de l’envie & l’autre de l’ombrage, La honte d’un affront que chacun d’eux croit voir Ou de nouveau receuë, ou preſte à recevoir, Conſumant dés l’abord toute leur patiance Forme de la colere & de la défiande, Et ſaiſiſſant enſemble & l’époux & l’amant, En dépit d’eux les livre à l’eur reſſentiment.	L'un conçoit de l'envie et l'autre de l'ombrage, La honte d'un affront que chacun d'eux croit voir Ou de nouveau reçue, ou prête à recevoir, Consumant dès l'abord toute leur patiance Forme de la colère et de la défiande, Et saisissant ensemble et l'époux et l'amant, En dépit d'eux les livre à l'eur ressentiment.
Mais que je me figure une eſtrange chimere, Et que je traitte mal Polyeucte & Severe!	Mais que je me figure une étrange chimère, Et que je traitte mal Polieute et Sevère!
Comme ſi la vertu de ces fameux rivaux Ne pouvoit s’affranchir de ces communs défauts.	Comme si la vertu de ces fameux rivaux Ne pouvait s'affranchir de ces communs défauts.
Leuis ames à tous d’eux d’elles-meſmes maiſtreſſes Sont d’un ordre trop haut pour de telles baſſeſſes, Ils ſe verront au Temple en hommes genereux, Mais las ils ſe verront, & c’eſt beaucoup pour eux, Que ſert à mon époux d’eſtre dans Melitene Si contre luy Severe arme l’Aigle Romaine.	Levis âmes à tous d'eux d'elles-mêmes maîtresses Sont d'un ordre trop haut pour de telles bassesses, Ils se verront au Temple en hommes généreux, Mais las ils se verront, et c'est beaucoup pour eux, Que sert à mon époux d'être dans Mélitène Si contre lui Severe arme l'Aigle Romaine.
Si mon pere commande & craint ce favory, Et ſe repent déja du choix de mon mary?	Si mon père commande et craint ce favori, Et se repent déjà du choix de mon mari?
Si peu que j’ay d’eſpoir ne luit qu’urce contrainte, En naiſſant il avorte & fait place à la crainte, ce qui dunt l’anciit lert à le diſſiper, Dieux, faites que ma peur puiſſe enfin ſe tromper.	Si peu que j'ai d'espoir ne luit qu'urée contrainte, En naissant il avorte et fait place à la crainte, ce qui dunt l'anciit lert à le dissiper, Dieux, faites que ma peur puisse enfin se tromper.
