A MADAME DV RQVLET.	À MADAME DU RQULET.
Plus ne portent Iunon dans les Etherez Cieux Ses deus Paons attelez qui reluiſent tous d’yeux, Alors qu’elle va voir Samos ſa cité lasge, Où les toits eleuez de ſa haute Carthage:	Plus ne portent Junon dans les Éthérez Cieux Ses dus Paons attelez qui reluisent tous d'yeux, Alors qu'elle va voir Samos sa cité lasge, Où les toits élevez de sa haute Carthage:
Plus ſon Endimion ſouz, les cieux estelez.	Plus son Endimion souz, les cieux ételez.
Ne trauaille Phebé auec beufs, attelez:	Ne travaille Phebé avec beau, attelez:
Plus on n’adore lors des dieux aucune Epouſe Fille, mere ni ſœur, ni amante ialouſe:	Plus on n'adore lors des dieux aucune Épouse Fille, mère ni sœur, ni amante jalouse:
Plus ne fument les ſeux aux incestes) Autels Aux vains dieux tous forgez par les hommes morteis Nul Idole trompeur, ni Deeſſe inuentee Ne ſe void plus alors aux peuples apportee.	Plus ne fument les seux aux incestes) Autels Aux vains dieux tous forgez par les hommes morteis Nul Idole trompeur, ni Deesse invente Ne se voit plus alors aux peuples apportée.
Nulle Prestreſſe lors de ſa Deeſſe plus Au Temple va fichant les Estendars exclus Au lieu de char de Paons de Gorgone tranchee Des Lions Aſfcicains, & de corne embouchee, Au lieu de buis retors, & des enſlez tabours Et des hurlantes voix & des ſuperbes tours.	Nulle Prêtresse lors de sa Déesesse plus Au Temple va fichant les Étendards exclus Au lieu de char de Paons de Gorgone tranchée Des Lions Asficains, et de corne embouchée, Au lieu de buis retors, et des enslez tabours Et des hurlantes voix et des superbes tours.
Au lieu de ces flambars ardans de poix-raiſine Que vainement iadis allumoit Eluſine:	Au lieu de ces flambars ardans de poix-raisiné Que vainement jadis allumait Élusine:
Au lieu des Cynes blancs & des Ciprins colombs Au lieu des Dogues noirs d’vne Hecate à trois noms Auiourdhuy le Courrier & l’Ange l’on contemple L’Ange du haut tonnant luiſant dedans meint temple Enuoyé du coupeau de l'Olympe eſtelé Et trauerſant les Cieux auec ſon vol ailé:	Au lieu des Cynes blancs et des Ciprins colombs Au lieu des Dogues noirs d'une Hecate à trois noms Auiourdhuy le Courrier et l'Ange l'on contemple L'Ange du haut tonnant luisant dedans me temple Envoyé du coupeau de l'Olympe estelé Et traversant les Cieux avec son vol ailé:
Iequel reluit orné de rebebelle & hanche Dont la frange & le bord eſt tout d’or rayonnant La Capeline on void ſon chefenuironnant Et dans ſa dextre main plus blanche que l’yuoire A les beaux lis entez de nos grands Rois la gloire, Qui s’adreſſant à toy dedans ton Cabinet Ou dans le liure ouuert ſur le poupitre net, Vas liſans les beaux faits des ſaints peres antiques, Te ſalue humblement de ces mots paciſique s La paix te foit Marie ô vaiſſeau plein par foy Des Charitez du Ciel, le Seigneur auec toy, Se repoſe & s’ebat:	Jequel reluit orné de rebebelle et hanche Dont la frange et le bord est tout d'or rayonnant La Capeline on voit son chefenuironnant Et dans sa dextre main plus blanche que l'yvoire À les beaux lis entez de nos grands Rois la gloire, Qui s'adressant à toi dedans ton Cabinet Ou dans le livre ouvert sur le poupiture net, Vas lisans les beaux faits des saints pères antiques, Te salue humblement de ces mots pacisique s' La paix te soit Marie ô vaisseau avait Mar ie Des Chinetés Chine, tés Chine auec toi, Se repose et ébat,
entre la compaignie Des Dames de vertu es heureuſe & benie, Et le fruit de ton ventre est heureux & beny Ieſus-Chriſt le grand Roy l’homme auec Dieu vni Certes ſeule & ſecrette en ta couche poſee Tu t’eſtois maintefois dormie & repoſee, Ou emploiant tes mains à l’œuure d’vn tiſſa Ou remploiant d’Eſprit cela qu’auois conçeu Le iour quand tes beaux yeux puiſoient aux ſainti Oracles Des Profetes Hebrieux les ſecrets & mir acles:	entre la compagnie Des Dames de vertu es heureuse et bénie, Et le fruit de ton ventre est heureux et béni Jésus-Christ le grand Roi l'homme avec Dieu tui Certes seule et secrète en ta couche pose Tu t'étais maintefois dormie et repose, Ou employant tes mains à l'œuvre d'un tissa Ou remployant d'Esprit cela qu'avais conçu Le jour quand tes beaux yeux puisaient aux sainti Oracles Des Profètes Hebrieux les secrets et mir acles:
Car vn voile pourpré n’alloit enueloppant:	Car un voile pourpré n'allait enveloppant:
Iuſqu’aux greu eston corps, & n’alloit point frapant Ton dos blanc & poli le carquois des ſagettes:	Jusqu'aux greu eston corps, et n'allait point frappant Ton dos blanc et poli le carquois des sagettes:
On ne voyoit mouuoir tes pommes rondelettes couz ta guimple dougee;	On ne voyait mouvoir tes pommes rondelettes couz ta guimple douge;
uinje contme aux doux vẽts	Juinje contme aux doux vients
Ies ondes & les flois ſe vont entre-ſuiuans.	Jes ondes et les flois se vont entre-suivants.
De Ceres les toiſons de couleur Tirienne N'ornoyent tes membres purs, & la perle Indienne Ni la gemme cueillie au riuage Erithré, Ni l’exquis or d’Ofir en carcan accoustré N'estince loit autour de ta gorge yuoirine:	De Ceres les toisons de couleur Tirienne N'ornaient tes membres purs, et la perle Indienne Ni la gemme cueillie au rivage Erithré, Ni l'exquis or d'Ofir en carcan accoutré N'étince loit autour de ta gorge yvoirine:
Le ſcoffion emperlé, ni la coeffe d’orfine, Ni les cheueux creſpez, ni retors, ni floris Ni faits comme ailerons d’vne Chauueſouris N'ombrageoient point ton chef, & ta face vermeille N'empruntoit la couleur à la Roſe pareille D'vn vain fard destrempé & ſur tes yeux benins Par art tu n’auois fait deux ſourcils ébenins:	Le scoffion emperlé, ni la coffe d'orfine, Ni les cheveux crêpez, ni retors, ni floris Ni faits comme ailerons d'une Chauuesouris N'ombrageaient point ton chef, et ta face vermeille N'empruntait la couleur à la Rose pareille D'un vain fard destrempé et sur tes yeux bénins Par art tu n'avais fait deux sourcils ébenins:
I’anneau ne pendilloit à l’oreille percee Auec la groſſe perle en la bague enlacee, Tu n’auois point les bras de braſſelets liez Ni les doigts encerclez d’anneaux d’or repliez:	J'anneau ne pendillait à l'oreille percée Avec la grosse perle en la bague enlacée, Tu n'avais point les bras de brasselets liés Ni les doigts encerclez d'anneaux d'or repliez:
Ni les gands parfumez couuroyent tes mains diuines Plus blanches que les lis ou les veines roſine Commepetits rameaux de corail vermeillet S'epandoient ça & là, ou comme on voit l’oeiller De ſon tige fourcher en meints ſions & branches, De pommade où ſauon ne les rendoit plus blanches, Et le muſc, l’ambre gris, l’onguent caſtorien Ciuette, ni parfums ne te plaiſoyent en rien.	Ni les gands parfumez couvraient tes mains divines Plus blanches que les lis ou les veines rosine Commepétits rameaux de corail vermeillet S'épandaient ça et là, ou comme on voit l'oeiller De son tige fourcher en meints sions et branches, De pommade où savon ne les rendait plus blanches, Et le musc, l'ambre gris, l'onguent castorien Civette, ni parfums ne te plaisaient en rien.
Mais en ſimplicit é d’vne robe bien ſimple Tu t’afflubois le corps, & d’vne belle guimple Estoit voilé ton chef, comme à virginité Et a ton ame il ſied iointe a la Deité Ia deßus t’ombrageoit pour vn digne habitacle Ie rond encourtiné, & diuin Tabernacle Aton eœur agre & la ſainte liqueur	Mais en simplicit é d'une robe bien simple Tu t'afflubois le corps, et d'une belle guimple Était voilé ton chef, comme à virginité Et a ton âme il sied jointe a la Déité Ia dessus t'ombrageait pour un digne habitacle Je rond encourtiné, et divin Tabernacle Aton eœur agré et la sainte liqueur
Du doux huile ſecret distilloit en ton cœur, Faiſant flamber ta Iampe au ſacraire de l’Arche Deuant la mageſte du ſouuerain Monarche.	Du doux huile secret distillait en ton cœur, Faisant flamber ta Iampe au sacraire de l'Arche Devant la mageste du souverain Monarche.
Les diuines odeurs & les parfums entiers, Dont les Courriers du Ciel embaſmnent leurs ſentiers, Ne te deffailloyen pas, & ta ſace arrouſee Des goutes de l’Ether & diuine rouſee Iuiſoit touſiours plus belle, & ton rouge & pur ſang Aucunement ému faiſoit ſembler plus blanc Ie reſte de ton teint, ou deux prunelles nettes Drilloient ainſi que font deux luyſantes planettes:	Les divines odeurs et les parfums entiers, Dont les Courriers du Ciel embaunent leurs sentiers, Ne te défailloyen pas, et ta sa arrouse Des gouttes de l'Éther et divine rouze Juisait toujours plus belle, et ton rouge et pur sang Aucunement ému faisait sembler plus blanc Je reste de ton teint, ou deux prunelles nettes Drillaient ainsi que font deux partantes planètes:
Et lahelle rondeur de ta bouche aſpiroit Les vers doux & ſacrez, qu'en ton cœur reſpiroit I’eſprit des ſaints Amours, qui ton ame Profete Fatſoit viue mourir, & ta voixinterprete Du Verbe ente dans toy le Fils de Dieu treſcher Qui dans ton ſaint pourpris voulut estrefait chair Iors la ſainte fureur en ta poitrine infuſe Feist produrre & chanter ce cantique à ta Muſue	Et lahelle rondeur de ta bouche aspirait Les vers doux et sacrés, qu'en ton cœur respirait J'esprit des saints Amours, qui ton âme Profète Fatsait vive mourir, et ta voixinterprete Du Verbe ente dans toi le Fils de Dieu trêcher Qui dans ton saint pour voulut êtrefait chair Iors la sainte fureur en ta poitrine infuse Féist produrre et chanter ce cantique à ta Mue
ALLVSION DE L’ANGE Raphael Conducteur de Thobie & de Raphael l’Imprimeur.	ALLVSION DE L'ANGE Raphael Conducteur de Thobie et de Raphael l'Imprimeur.
Aphael fit au bon I'hobie auoir N Des yeux du Corps l’viile medecine, Et Raphael icy vous a fait voir Ce qui les yeux de l'eſprit ilumine.	Aphael fit au bon J'hobie avoir N Es yeux du Corps l'éviile médecine, Et Raphael ici vous a fait voir Ce qui les yeux de l'esprit ilumine.
Ar lettres patétes du Roy données T à Rouen le quatriéme de Feurier, mil cinq cens nonante ſept Signéts par le Roy eſtant en ſon Conſeil.	Ar lettres patètes du Roi données T à Rouen le quatrième de Février, mil cinq cens non sept Signéts par le Roi étant en son Conseil.
Mauguin.	Mauguin.
Et ſeellées du grand ſeau en cire iaune ſur ſimple queuë.	Et sellées du grand seau en cire jaune sur simple queue.
Il eſt permis à Raphael du Petit Val, Libraire & Imprimeur ordinaire du Roy en la ville de Rouen, d’imprimer ou faire imprimer quelques diſcours & Recueils, tant enproſe qu’ẽ Poëſie, de pluſieurs ſçauans hommes de ce temps, non encores imprimez, ainſi qu’il eſt plus amplement contenu audit Priuilege.	Il est permis à Raphael du Petit Val, Libraire et Imprimeur ordinaire du Roi en la ville de Rouen, d'imprimer ou faire imprimer quelques discours et Recueils, tant enprose qu'ils Poésie, de plusieurs savants hommes de ce temps, non encore imprimez, ainsi qu'il est plus amplement contenu audit Privilège.
Et faiſons defences à tous autres Libraires & Imprimeurs de ce Royaume, d’imprimer leſdites œuures, n’y expoſer en vẽte, tãt en public qu’en parti culier, cõtre la teneur des preſentes, pendant le tẽps & terme de dix ans.	Et faisons défenses à tous autres Libraires et Imprimeurs de ce Royaume, d'imprimer lesdites œuvres, n'y exposer en vendre, tendant en public qu'en parti culier, comme la teneur des présentes, pendant le temps et terme de dix ans.
ſur peine de cinquante eſcus d’amende, deſpens dõmages & intereſts, cõme plus à plain eſt porté eſdites parẽtes:	sur peine de cinquante écus d'amende, dépens dontages et intérêts, comme plus à plain est porté édites parẽtes:
Et outre voulons & nous plaiſt qu’en mettãt vn extraictdudit priuilege, au commencement ou à la fin deſdites œuures, il ſoit tenu pour deuëment notifié à tous Libraires, Imprimeurs, & autres.	Et outre voulons et nous plaît qu'en mettãt un extraictdudit privilège, au commencement ou à la fin dédites œuvres, il soit tenu pour duement notifié à tous Libraires, Imprimeurs, et autres.
Car tel eſt noſtre plaiſir.	Car tel est notre plaisir.
Fait l’an & iour	Fait l'an et jour
