A MADAME ADAME,	À MADAME ADAME,
ARNOLPHE.	ARNOLPHÉ.
AGNES.	AGNES.
Il m’a pris vous ſerez en colere.	Il m'a pris vous serez en colère.
Non.	Non.
ARNOLPHE.	ARNOLPHÉ.
Si.	Si.
AGNES.	AGNES.
ARNOLPHE.	ARNOLPHÉ.
Non, non, non, non!	Non, non, non, non!
Diantre!	Diantre!
que de myſtere!	que de mystère!
Qu’eſt-ce qu’il vous a pris!	Qu'est-ce qu'il vous a pris!
B iiij	 Bijà
AGNES.	AGNES.
II.	II.
ARNOLPHE à part Ie ſouffre en damné.	ARNOLPHE à part Je souffre en damné.
AGNES.	AGNES.
Aina priolmoun que rouenauten donné.	Aina priolmoun que rouenauten donné.
A vous dire le vray, ie n’ay pû m’en deffendre.	À vous dire le vrai, Elle n'ai pu m'en défendre.
ARNOLPHE reprenant haleine.	ARNOLPHE reprenant haleine.
Paiſe pour le ruban.	Paise pour le ruban.
Mais ie voulois apprendre, s’il ne vous a rien fait que vous baiſer les bras.	Mais ici voulais apprendre, s'il ne vous a rien fait que vous baiser les bras.
AGNES.	AGNES.
Comment;	Comment;
Eſt-ce qu’on fait d’autres choſes?	Est-ce qu'on fait d'autres choses?
ARNOLPHE.	ARNOLPHÉ.
Non pas.	Non pas.
Mais pour guerir du mal qu’il dit qui le poſſede, N’a-t’il point exigé de vous d’autre remede;	Mais pour guérir du mal qu'il dit qui le possède, N'a-t-il point exigé de vous d'autre remède;
AGNES.	AGNES.
Non.	Non.
Vous pouuez iuger s’il en euſt demandé, Que pour le ſecourir i’aurois tout accordé.	Vous pouvez juger s'il en eût demandé, Que pour le secourir j'aurais tout accordé.
ARNOLPHE.	ARNOLPHÉ.
Grace aux bõtez du Ciel, i’en ſuis quitte à bon cõte.	Grâce aux bontés du Ciel, j'en suis quitte à bon compte.
Si i’y retombe plus ie veux bien qu’on m’affronte.	Si j'y retombe plus ie veux bien qu'on m'affronte.
Chut.	Chut.
De voſtre innocence, Agnés, c’eſt vn effet;	De votre innocence, Agnès, c'est un effet;
Ie ne vous en dit mot, ce qui s’eſt fait eſt fait.	Je ne vous en dit mot, ce qui s'est fait est fait.
Ie ſçay qu’en vous flattant le Galand ne deſire Que de vous abuſer, & puis apres s’en rire.	Je sais qu'en vous flattant le Galant ne désire Que de vous abuser, et puis après s'en rire.
2	2
AGNES.	AGNES.
Oh!	Oh!
point.	point.
Il me l’a dit plus de vingt fois à moy.	Il me l'a dit plus de vingt fois à moi.
ARNOLPHE.	ARNOLPHÉ.
Ah!	Ah!
vous ne ſçauez pas ce que c'eſt que ſa foy.	vous ne savez pas ce que c'est que sa foi.
Mais enfin, apprenez qu’accepter des caſſettes, Et de ces beaux blondins écouter les ſornettes;	Mais enfin, apprenez qu'accepter des cassettes, Et de ces beaux blondins écouter les sornettes;
Que ſe laiſſer par eux à force de langueur Baiſer ainſi les mains, & chatoüiller le cœur, Eſt vn peclre mhorter des plus gror qu’il ſe faſſe.	Que se laisser par eux à force de langueur Baiser ainsi les mains, et chatouiller le cœur, Est un peclre mhorter des plus gror qu'il se fasse.
AGNES.	AGNES.
vn peche, ditev-vous, & la raiton de grace?	Le pèche, ditev-vous, et la raiton de grâce?
ARNOLPHE.	ARNOLPHÉ.
La raiſon?	La raison?
la raiſon, eſt l'arreſt prononcé, Que par ces actions le Ciel eſt courroucé.	la raison, est l'arrêt prononcé, Que par ces actions le Ciel est courroucé.
AGNES.	AGNES.
Courroucé.	Courroucé.
Mais pourquoy faut-ilqu’il s’en courrouC’eſt vne choſe, helas!	Mais pourquoi faut-ilqu'il s'en courrouC'est une chose, hélas!
ſi plaiſante & ſi douce.	si plaisante et si douce.
[ ce?	[ ce?
I'admire quelle loje on gouite à tout cela.	J'admire quelle loje on gouite à tout cela.
Et ie ne ſçauois point encor ces choſes-là.	Et ici ne savais point encor ces choses-là.
ARNOLPHE.	ARNOLPHÉ.
Oüy;	Oui;
c’eſt vn grand plaiſir que toutes ces tendreſſess Ces propos ii gentiis, & ces douces carſeſſes;	c'est un grand plaisir que toutes ces tendressess Es propos ji genti, et ces douces carsesses;
Mais il faut le gouſter en toute honneſteté, Et qu’en ſe mariant le crime en ſoit oſté.	Mais il faut le goûter en toute honnêteté, Et qu'en se mariant le crime en soit ôté.
AGNES.	AGNES.
N’eſt-ce plus vn peché lors que l’on ſe marie;	N'est-ce pas un péché lors que l'on se marie;
Non.	Non.
ANNOLPHE.	ANNOLPHÉ.
AGNES.	AGNES.
Mariez-moy donc promptement, ie vous prie.	Mariez-moi donc promptement, je vous prie.
ARNOLPHE.	ARNOLPHÉ.
Si vous le ſouhaitez, ie le ſouhaite auſſi, Et pour vous marier on me reuoit icy.	Si vous le souhaitez, ie le souhaite aussi, Et pour vous marier on me revoit ici.
Eſt-il poſuble ;	Est-il posuble ;
AGNES.	AGNES.
ARNOLPHE.	ARNOLPHÉ.
Oü y.	Oui y.
AGNES.	AGNES.
Que vous me ferez aiſe!	Que vous me ferez aise!
AR NOLPHE.	AR NOLPHÉ.
Oüy;	Oui;
ie ne doute point que l’hymen ne vous plaiſe.	Ne ne doute point que l'hymen ne vous plaise.
AGNES.	AGNES.
Vous nous voulez nous deux.	Vous nous voulez nous deux.
ARNOLPHE.	ARNOLPHÉ.
Rien de plus aſſeuré.	Rien de plus assuré.
AGNES.	AGNES.
Que ſi cela ſe fait, ie vous carreſſeray!	Que si cela se fait, je vous carresserai!
ARNOLPHE.	ARNOLPHÉ.
Hé, la choſe ſera de ma part reciproque.	Hé, la chose sera de ma part reciproque.
AGNES.	AGNES.
Ie ne reconnois point, pour moyy quand on ſe mocParlez-vous tout de bon?	Je ne reconnais point, pour moii quand on se moParlez-vous tout de bon?
que.	que.
ARNOLPHE.	ARNOLPHÉ.
Cüy, vous le pourrez voir.	Cui, vous le pourrez voir.
AGNES.	AGNES.
Nous ſerons mariez ?	Nous serons mariés ?
ARNOLPHE.	ARNOLPHÉ.
Ouy.	Oui.
AGNES.	AGNES.
Mais quand?	Mais quand?
A RNOLPHE.	À RNOLPHÉ.
Dés ce ſoir?	Dès ce soir?
Dés ce ſoir.	Dès ce soir.
AGNES riant.	AGNES riant.
ARNOLPHE.	ARNOLPHÉ.
Dés ce ſoir.	Dès ce soir.
Cela vous fait donc rire?	Cela vous fait donc rire?
oüy.	oui.
AGNES.	AGNES.
ARIVOEPHE.	ARIVOEPHÉ.
Vous voir bien contente, eſt ce que ie deſire.	Vous voir bien contente, est ce que ie désire.
AGNES.	AGNES.
Helas!	Hélas!
que ie vous ay grande obligation!	que ici vous ai grande obligation!
Et qu’auec luy i’auray de ſatisfaction!	Et qu'avec rien j'aurai de satisfaction!
Auec qui?	Avec qui?
ARNOLPHE.	ARNOLPHÉ.
AGNES.	AGNES.
Aucc.	Aucc.
Ia.	Ia.
ARNOLPHE.	ARNOLPHÉ.
Là.	Là.
là n’eſt pas mon compte:	là n'est pas mon compte:
A choiſir vn mary, vous eſtes vn peu prompte.	À choisir un mari, vous êtes un peu prompte.
C’eſt vn autre en vn mot que ie vous tiens tout preſt, Et quant au Monſieur, là, Ie pretens, s’il vous plaiſt, Deuſt le mettre au tõbeau le mal dont il vous berce, Qu’auec luy deſormais vous rompiez tout cõmerce;	C'est un autre en un mot que je vous tiens tout prêt, Et quant au Monsieur, là, Je prétends, s'il vous plaît, Deût le mettre au tombeau le mal dont il vous berce, Qu'avec lui désormais vous rompiez tout commerce;
Que venant au logis, pour voſtre compliment Vous luy fermiez au nez la porte honneſtement, Et luyijettant, s’il heurte, vn grez par la feheſtre, P osligiez tout de bon à ne plus y pareſtre.	Que venant au logis, pour votre compliment Vous lui fermiez au nez la porte honnêtement, Et luyijettant, s'il heurte, un grès par la fehêtre, P ôligiez tout de bon à ne plus y paraître.
M’entendez-vous, Agnés?	M'entendez-vous, Agnès?
Moy, caché daus vn coins De voſtre procede le feray le temom.	Moi, caché daus un coins De votre procède le ferai le temps.
AGNES.	AGNES.
Las!	Las!
il eſt ſi bien fait;	il est si bien fait;
c’eſt.	c'est.
ARNOLPHE.	ARNOLPHÉ.
Ah que de langage!	Ah que de langage!
AGNES.	AGNES.
Ie n’auray pas le cœur.	Je n'aurai pas le cœur.
1.	1.
ARNOLPHE.	ARNOLPHÉ.
Montez là-haut.	Montez là-haut.
Point de bruit dauantage.	Point de bruit davantage.
AGNES.	AGNES.
Mais quoy, voulez-vous.	Mais quoi, voulez-vous.
ARNOEPAE.	ARNOEPAE.
C’eſt aſſez.	C'est assez.
Ie ſuis Maiſtre, ie parle, allez, obeïſſez.	Je suis Maître, notre parle, allez, obéissez.
AQ 7 A A III	AQ 7 A A III
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ARNOLPHE, AGNES, ALAIN, GEORGETTE.	ARNOLPHÉ, AGNES, ALAIN, GEORGETTE.
ARNOLPHE.	ARNOLPHÉ.
VY:	VI:
tout a bien eſté, ma ioye eſt ſans pareille, Vous auez là ſuiuy mes ordres à merueille, Confondu de tout poinct le blondin ſeducteur?	tout a bien été, ma joie est sans pareille, Vous avez là suivi mes ordres à merveille, Confondu de tout point le blondin séducteur?
Et voila dequoy ſert vn vſage directeur.	Et voilà dequoy sert un usage directeur.
Voſtre innocence, Agnes, auoit eſté ſurpriſe.	Votre innocence, Agnès, avait été surprise.
Voyez, ſans y penſer où vous vous eſtiez miſe.	Voyez, sans y penser où vous vous étiez mise.
Vous enfiliez tout droit, ſans mon inſtructionn Le grand chemin d’Enfer & de perdition.	Vous enfiliez tout droit, sans mon instructionn Le grand chemin d'Enfer et de perdition.
De tous ſes Damoizeaux on ſçait trop les couſtumes.	De tous ses Damoiseaux on sait trop les coutumes.
lls ont de beaux canons, force rubans, & plumes, Girands cheueux, belles dents, & des propos fort doux:	lus ont de beaux canons, force rubans, et plumes, Girands cheveux, belles dents, et des propos fort doux:
Mais comme ie vous dis la griffe eſt là deſſous, Et ce ſont vrais Sathans, dont la gueule alterée De l’honneur feminin cherche a faire curée.	Mais comme ie vous dis la griffe est là -dessous, Et ce sont vrais Satans, dont la gueule altérée De l'honneur féminin cherche a faire curée.
Mais encore vne fois, grace au ſoin apporté Vous en eſtes ſortie auec honneſteté.	Mais encore une fois, grâce au soin apporté Vous en êtes sortie avec honnêteté.
L’air dont ie vous ay veu luy ietter cette pierre y Qui de tous ſes deſſeins a mis l’eſpoir par terre, Me confirme encore mieux à ne point differer Les Nopces, où ie dis qu’il vous faut preparer.	L'air dont je vous ai vu avoir jeter cette pierre y Qui de tous ses desseins a mis l'espoir par terre, Me confirme encore mieux à ne point différer Les Noces, où tu dis qu'il vous faut préparer.
Mais auant toute choſe il’eſt bon de vous farre Quelque petit diſcours, qui vous ſoit ſalutaire, Vn ſiege au frais icy.	Mais avant toute chose il’est bon de vous sarre Quelque petit discours, qui vous soit salutaire, Un siège au frais ici.
Vous, ſi iamais en rien.	Vous, si jamais en rien.
GEORGETTE.	GEORGETTE.
De toutes vos leçons nous nous ſouuiendrons bien, Cét autre Monſieur là nous en faiſoit accroire:	De toutes vos leçons nous nous souviendrons bien, Cet autre Monsieur là nous en faisait accroire:
Mais.	Mais.
ALAIN.	ALAIN.
S’il entre iamais, ie veux iamais ne boire.	S'il entre jamais, votre veux jamais ne boire.
Auſſi bien eſt-ce vn ſot, il nous a l’autre fois Donné deux eſcus d’or qui n’eſtoient pas de poids.	Aussi bien est-ce un sot, il nous a l'autre fois Donné deux écus d'or qui n'étaient pas de poids.
ARNOLPHE.	ARNOLPHÉ.
Ayez donc pour ſouper tout ce que ie deſire;	Ayez donc pour souper tout ce que On désire;
Et pour noſtre contract, comme ie viens de dire, Faites venir icy l’vn ou l’autre au retour, Le Notaire qui loge au coin de ce carfour.	Et pour notre contrat, comme ils viens de dire, Faites venir ici l'un ou l'autre au retour, Le Notaire qui loge au coin de ce carrefour.
SCENE 1T ANNOLPHE, AGNES,	SCÈNE 1T ANNOLPHE, AGNES,
ARNOLPHE aſsis.	ARNOLPHE assis.
Gnés, pour m’écouter, laiſſés-là vôtre ouurage:	Gnès, pour m'écouter, laissez-là votre ouvrage:
ALeuez vn peu la teſte, & tournez le viſage:	ALevez un peu la tête, et tournez le visage:
Là, regardez-moy là, durant cét entretien;	Là, regardez-moi là, durant cet entretien;
Et iuſqu’au moindre mot imprimez-le vous bien.	Et jusqu'au moindre mot imprimez-le -vous bien.
Ie vous épouſe, Agnés, & cent fois la iournée Vous deuez benir l’heur de voſtre deſtinée, Contempler la baſſeſſe où vous auez eſté, Et dans le meſme temps admirer ma bonté, Qui de ce vil eſtat de pauure villageoiſe, Vous fait monter au rang d’honorable Bourgeoiſe, Et ioüyr de la couche & des embraſſemens, D'vn homme qui fuyoit tous ces engagemens;	Je vous épouse, Agnès, et cent fois la journée Vous devez bénir l'heur de votre destinée, Contempler la bassesse où vous avez été, Et dans le même temps admirer ma bonté, Qui de ce vil état de pauvre village, Vous fait monter au rang d'honorable Bourgeoise, Et ioüyr de la che et des embrassements, D'un homme qui fuyait tous ces engagements;
Et dont à vingt partis fort capable de plaire.	Et dont à vingt partis fort capable de plaire.
Le cœur a refuſé l’honneur qu’il vous veut faire.	Le cœur a refusé l'honneur qu'il vous veut faire.
Vous deuez touſiours, dis-ie, auoir deuant les yeux Le peu que vous eſtiez ſans ce nœud glorieux, Afin que cét objet d’autant mieux vous inſtruiſe, A meriter l’eſtat où ie vous auray miſe;	Vous devez toujours, dis-je, avoir devant les yeux Le peu que vous étiez sans ce nœud glorieux, Afin que cet objet d'autant mieux vous instruise, A mériter l'état où je vous aurai mise;
A touſiours vous connoiſtre, & faire qu’à iamais Ie puiſſe me loüer de l’acte que ie fais.	À toujours vous connaître, et faire qu'à jamais Je puisse me loüer de l'acte que sans fais.
Le mariage, Agnés, n’eſt pas vn badinage.	Le mariage, Agnès, n'est pas un badinage.
A d’auſteres deuoirs le rang de femme engage;	À d'austères devoirs le rang de femme engage;
Et vous n’y montez pas, à ce que ie pretens, Pour eſtre libertine & prendre du bon temps.	Et vous n'y montez pas, à ce que ie pretens, Pour être libertine et prendre du bon temps.
voſtre ſexe n’eſt-là que pour la dépendance:	votre sexe n'est-là que pour la dépendance:
Du coſté de la barbe eſt la toute-puiſſance:	Du côté de la barbe est la toute-puissance:
Bien qu’on ſoit deux moitiez de la ſocieté, Ces deux moitiez pourtant n’ont point d’égalité:	Bien qu'on soit deux moitiés de la société, Ces deux moitiés pourtant n'ont point d'égalité:
I’vn eſt moitié ſupréme, & l'autre ſubalterné:	J'un est moitié suprême, et l'autre subalterné:
L’vne en tout eſt ſoûmiſe à l’autre qui gouuerne:	L'une en tout est soumise à l'autre qui gouverne:
Et ce que le ſoldat dans ſon deuoir inſtruit Monſtre d’obeïſſance au Chef qui le conduit, Le Valet à ſon Maiſtre, vn Enfant à ſon Pere, A ſon Superieur le moindre petit Frere, N’approche point encor de la docilité Et de l’obeïſſance, & de l’humilité, Et du profond reſpect, où la femme doit eſtre Pour ſon mary, ſon Chef, ſon Seigneur & ſon MaiLots qu’il iette ſur elle vn regard ſerieux, [ſtre.	Et ce que le soldat dans son devoir instruit Monstre d'obéissance au Chef qui le conduit, Le Valet à son Maître, un Enfant à son Père, À son Supérieur le moindre petit Frère, N'approche point encor de la docilité Et de l'obéissance, et de l'humilité, Et du prof respect, où la femme doit être Pour son mari, son Chef, son Seigneur et son MaiLots qu'il jette sur elle un regard sérieux, [stre.
Son deuoir auſſi-toſt eſt de baiſſer les yeux;	Son devoir aussitôt est de baisser les yeux;
Et de n’oſer iamais le regarder en face Que quand d’vn doux regard il luy veut faire grace.	Et de n'oser jamais le regarder en face Que quand d'un doux regard il lui veut faire grâce.
C’eſt ce qu’entendent mal les fẽmes d’aujourdhuy.	C'est ce qu'entendent mal les femmes d'aujourdhuy.
Mais ne vous gaſtez pas ſur l’exemple d’autruy.	Mais ne vous gâtez pas sur l'exemple d'autrui.
Gardez-vous d’imiter ces coquettes vilaines, Dont par toute la Ville on chante les fredaines;	Gardez-vous d'imiter ces coquettes vilaines, Dont par toute la Ville on chante les fredaines;
Et de vous laiſſer prendre aux aſſauts du malin, C’eſt à dire, d’oüir aucun ieune blondin Songez qu’en vous faiſant moitié de ma perſonne:	Et de vous laisser prendre aux assauts du malin, C'est à dire, d'ouïr aucun jeune blondin Songez qu'en vous faisant moitié de ma personne:
C’eſt mon honneur, Agnés, que ie vous abandonne, Que cét honneur eſt tendre, & ſe bleſſe de peu;	C'est mon honneur, Agnès, que je vous abandonne, Que cet honneur est tendre, et se blesse de peu;
Que ſur vn tel ſujet il ne faut point de jeu;	Que sur un tel sujet il ne faut point de jeu;
Et qu’il eſt aux Enfers des chaudieres boüillantes, Où l’on plonge à iamais les femmes mal viuantes.	Et qu'il est aux Enfers des chaudières bouillantes, Où l'on plonge à jamais les femmes mal vivantes.
Ce que ie vous dis là ne ſont pas des chanſons:	Ce que ici vous dis là ne sont pas des chansons:
Et vous deuez du cœur deuorer ces leçons.	Et vous devez du cœur dévorer ces leçons.
Si voſtre ame les ſuit & fuïr d’eſtre coquette, Elle ſera touſiours comme vn lis blanche & nette:	Si votre âme les suit et fuir d'être coquette, Elle sera toujours comme un lis blanche et nette:
Mais s’il faut qu’à l’honneur elle faſſe vn faux-bon, Elle deuiendra lors noire comme vn charbon, Vous paroiſtrez à tous vn object effroyable, Et vous irez vn iour, vray partage du diable, Boüillir dans les Enfers à toute eternité:	Mais s'il faut qu'à l'honneur elle fasse un faux-bon, Elle deviendra lors noire comme un charbon, Vous paraîtrez à tous un object effroyable, Et vous irez un jour, vrai partage du diable, Boüillir dans les Enfers à toute éternité:
Dont vous veüille garder la celeſte bonté.	Dont vous veuille garder la céleste bonté.
Faites la reuerence.	Faites la révérence.
Ainſi qu’vne Nouice Par cœur dans le Conuent doit ſçauoir ſon office, Entrant au mariage il en faut, faire autant:	Ainsi qu'une Novice Par cœur dans le Convent doit savoir son office, Entrant au mariage il en faut, faire autant:
Et voicy dans ma poche vn écrit important Qui vous enſeignera l’office de la femme.	Et voici dans ma poche un écrit important Qui vous enseignera l'office de la femme.
I'en ignore l’Autheur:	J'en ignore l'Auteur:
mais c’eſt quelque bonne ame;	mais c'est quelque bonne âme;
