Suiuant la Copie imprimée	Suivant la Copie imprimée
Cõme il cognoiſt le mien, ſa peur de me voir Reine Diſpenſe à mes amants ſa faueur, ou ſa haine, Et traiteroit ce Prince ainſi que ce Heros, un poitoit la coutonne, ou de Sparte, ou d’Argos.	Comme il connaît le mien, sa peur de me voir Reine Dispense à mes amants sa faveur, ou sa haine, Et traiterait ce Prince ainsi que ce Héros, un poitoit la coutonne, ou de Sparte, ou d'Argos.
MEGARE.	MÉGARE.
Si vous en jugez bien, que vous eſtes à plaindre!	Si vous en jugez bien, que vous êtes à plaindre!
DIRCE.	DIRCE.
Il fera de l’éclat, il voudra me contraindre, Mais quoy qu’il me prepare à fouffrir dans ſa Cour, Il éteindra ma vie auant que mon amour.	Il fera de l'éclat, il voudra me contraindre, Mais quoi qu'il me prépare à souffrir dans sa Cour, Il éteindra ma vie avant que mon amour.
MEGARE.	MÉGARE.
Eſperons que le Ciel vous rendra plus heureuſe;	Espérons que le Ciel vous rendra plus heureuse;
Cependant ie vous trouue aſſez peu curieuſe, Tout le peuple accablée de mortelles douleurs, Court voir ce que Lajus dira de nos malheurs, Et vous ne ſuiuez point le Roy ches Tireſie, Pour ſçauoir ce qu’en juge vne Ombre ſi cherie.	Cependant votre vous trouve assez peu curieuse, Tout le peuple accablée de mortelles douleurs, Court voir ce que Lajus dira de nos malheurs, Et vous ne suivez point le Roi chez Tiresie, Pour savoir ce qu'en juge une Ombre si chérie.
DIRCE.	DIRCE.
I’ay tant d’autres ſujets de me plaindre de luy, Que ie fermors les yeux à ce nouuel ennuy.	J'ai tant d'autres sujets de me plaindre de deux, Que tu fermors les yeux à ce nouvel ennui.
Il auroit fait trop peu de menacer la fille, Il faut qu’il ſoit tyran de toute la famille, Qu’il porte fa fureur juſqu’aux ames ſans corps, Et trouble inſolément juſqu’aux cendres des morts Mais ces Manes ſacrez qu’il arrache au ſilence, Se vangeront ſur luy de cette violence, Et les Dieux des Enfers juſt ement irritez Puniront l’attentat de ſes impietez.	Il aurait fait trop peu de menacer la fille, Il faut qu'il soit tyran de toute la famille, Qu'il porte fa fureur jusqu'aux âmes sans corps, Et trouble insolément jusqu'aux cendres des morts Mais ces Manes sacrés qu'il arrache au silence, Se vengeront sur lui de cette violence, Et les Dieux des Enfers just ement irrités Puniront l'attentat de ses impiétés.
MEGARE.	MÉGARE.
Nous ne ſçauons pas bien cõme agit l’autre mõde, Il n’eſt point d’œil perçant dans cette nuit profonde, (bras, Et quand les Dieux vangeurs laiffent tomber leur Il tombe aſſez ſouuent ſur qui n’y penie pas.	Nous ne savons pas bien cõme agit l'autre monde, Il n'est point d'œil perçant dans cette nuit profonde, (bras, Et quand les Dieux vengeurs laissent tomber leur Il tombe assez souvent sur qui n'y pénie pas.
DIRCE.	DIRCE.
Deuſt leur decret fatal me choiſir pour victime, Si j’ay part au couroux, ie n’en veux point au crime Ie veux m’offrir ſans tache à leun bras tout-puiſſant Et n’auoir à verſer que du ſang innocent.	Deust leur décret fatal me choisir pour victime, Si j'ai part au courroux, quelque n'en veux point au crime Je veux m'offrir sans tache à lun bras tout-puissant Et n'avoir à verser que du sang innocent.
SCENE III.	SCÈNE III.
DIRCE, NERINE, MEGARE.	DIRCE, NERINE, MEGARE.
I NERINE.	I NERINE.
H, Madame, il en faut de la meſme innocence, I APour appaiſer du Ciel l’implacable vangeance, Il faut vne victimé, & pure, & d’vn tel rang, Que chacun la voudroit racheter de ſon ſang.	H, Madame, il en faut de la même innocence, I POur apaiser du Ciel l'implacable vengeance, Il faut quelque victimé, et pure, et d'un tel rang, Que chacun la voudrait racheter de son sang.
DIRGE.	DIRGE.
Merine, que dis-tu, ſeroit-ce bien la Reine?	Merine, que dis-tu, serait-ce bien la Reine?
Le Ciel feroit-il choix d’Antige, ou d’Iſmene?	Le Ciel ferait-il choix d'Antige, ou d'Ismene?
Voudroit-il Etheocle, ou Polinice, ou moy?	Voudrait-il Ethècle, ou Polinice, ou moi?
Car tu me dis aſſez que ce n’eſt pas le Roy, Et ſi le Ciel demande vne victime pure, Apprehender pour luy, c’eſt luy faire vne injure, Seroit-ce enfin Theſée?	Car tu me dis assez que ce n'est pas le Roi, Et si le Ciel demande une victime pure, Appréhender pour lui, c'est ainsi faire une injure, Serait-ce enfin Thesée?
Helas!	Hélas!
ſi c’eſtoit luy.	si c'était Seigneur.
Mais nomme, & dy quel ſang le Ciel veut aujourNERINE.	Mais nomme, et dis quel sang le Ciel veut aujourNERINE.
d’huy.	d'hui.
L’Ombre du grand Lajus, qui luy ſert d’interprete, De honte ou de dépit ſur ce nom eſt muëtte, ron cie vous hommtr ce qu’elle nous a teu;	L'Ombre du grand Lajus, qui lui sert d'interprète, De honte ou de dépit sur ce nom est muette, ron cie vous hommême ce qu'elle nous a teu;
Mais preparez, Madame, vne haute vertu, Pretez à ce recit vne ame genereuſe, Et vous meſme jugez ſi la choſe eſt douteuſe.	Mais préparez, Madame, une haute vertu, Prêtez à ce récit une âme généreuse, Et vous -même jugez si la chose est douteuse.
DIRCE.	DIRCE.
Ah, ce ſera Theſée, ou la Reine.	Ah, ce sera Thesée, ou la Reine.
NERINE.	NERINE.
Eſcoutez, Et tâchez d’y trouuer quelques obſcuritez.	Écoutez, Et tâchez d'y trouver quelques obscurités.
Tireſie a long-temps perdu ſes ſacrifices.	Tiresie a longtemps perdu ses sacrifices.
Sans trouuer ny les Dieux,ny les Ombres, propices, Et celle de Lajus éuoqué par ſon nom S’obſtinoit au ſilence auſſi-bien qu’Apollon.	Sans trouver mieux les Dieux,ni les Ombres, propices, Et celle de Lajus évoqué par son nom S'obstinait au silence aussi-bien qu'Apollon.
Mais la Reine en la place à peine eſt arriuée, Qu’vne épaiſſe vapeurs s’eſt du Temple éleuée, D’où cette Ombre auſſi-toſt ſortant juſqu’en plein iour A ſurpris tous les yeux du peuple & de la Cour.	Mais la Reine en la place à peine est arrivée, Qu'une épaisse vapeurs s'est du Temple élevée, D'où cette Ombre aussitôt sortant jusqu'en plein jour A surpris tous les yeux du peuple et de la Cour.
L’imperieux orgueil de ſon regard ſeuere Sur ſon viſage pâle auoit peint la colere, I’out menaçoit en elle, & des reſtes de ſang Par vn prodige affreux luy degoutoient du flanc, A ce terrible aſpect la Reine s’eſt troublée, La frayeur a couru dans toute l’Aſſemblée, Et de nos deux Amans j’ay veu les cœurs glacez A ces funeſtes mots que l’Ombre a prononcez.	L'impérieux orgueil de son regard sévère Ur son visage pâle avait peint la colère, J'out menaçait en elle, et des restes de sang Par un prodige affreux lui degroutaient du flanc, À ce terrible aspect la Reine s'est troublée, La frayeur a couru dans toute l'Assemblée, Et de nos deux Amants j'ai vu les cœurs glacés A ces funestes mots que l'Ombre a prononcez.
Un grand crime impuny cauſe voſtre miſere, Par le lang de ma Race il doit eſtre effacé, Mais à moins qu’il ne ſoit verſé, Le Ciel ne ſe peut ſatisfaire;	Un grand crime impuni cause votre misère, Par le lang de ma Race il doit être effacé, Mais à moins qu'il ne soit versé, Le Ciel ne se peut satisfaire;
Et la fin de vos maux ne ſe fera point voir, Que mon Sang n’ait fait ſon deuoir.	Et la fin de vos maux ne se fera point voir, Que mon Sang n'ait fait son devoir.
Ccs mots dans tous les cœurs redoublẽt les alarmes, L’ombre qui uiparont lame la Remne en larmes, Theſée au deſeſpoir, Æmon tout hors de luy, Le Roy meſme arriuant partage leur ennuy, Et d’vne voix commune ils refuſent vne aide, Qui fait trouuer le mal plus doux que le remede.	Ccs mots dans tous les cœurs redoublent les alarmes, L'ombre qui uiparont la la Remaine en larmes, Thesée au désespoir, Æmon tout hors de lui, Le Roy même arriuant partage leur ennui, Et voix commune ils refusent aide, Qui fait trouuer le mal plus doux que le remède.
DIRCE.	DIRCE.
Peut-eſtre craignent-ils que mon cœur rouolté Ne leur refuſe vn ſang qu’ils n’ont pas merité;	Peut-être craignent-ils que mon cœur rouolté Ne leur refuse un sang qu'ils n'ont pas mérité;
Mais ma flame à la mort m’auoit trop reſoluë, Pour ne pas y courir quand les Dieux l’ont vouluë, Tu m’as fait ſans raiſon conceuoir de l’effroy, Ie n’ay point deu trembler, s’ils ne veulẽt que moy.	Mais ma flamme à la mort m'avait trop résolue, Pour ne pas y courir quand les Dieux l'ont voulue, Tu m'as fait sans raison concevoir de l'effroi, Je n'ai point de trembler, s'ils ne veulent que moi.
Iis Ils m’ouurent vne porte à ſortir d’eſclauage, Que tient trop precieuſe vn genereux courage;	Jis Ils m'ouvrent une porte à sortir d'esclavage, Que tient trop précieuse un généreux courage;
Mourir pour ſa patrie eſt vn ſort plein d’appas, Pour quiconque à des fers préfere le trepas.	Mourir pour sa patrie est un sort plein d'appas, Pour quiconque à des fers préfère le trépas.
Admire, peuple ingrat, qui m’as desheritée, Quelle vengeance en prend vn Princeſſe irritée, Et cognoy dans la fin de tes longs déplaiſirs Ta veritable Reine à ſes derniers ſoûpirs.	Admire, peuple ingrat, qui m'as déshéritée, Quelle vengeance en prend un Princesse irritée, Et connais dans la fin de tes longs déplaisirs Ta véritable Reine à ses derniers soupirs.
1 Voy comme à tes malheurs ie ſuis toute aſſeruie, L’vn m’a couſté mon trône, & l’autre veut ma vie, Tu t’es ſauué du Sphinx aux dépens de mon rang, Sauue-toy de la peſte aux dépens de mon ſang.	1 Vois comme à tes malheurs je suis toute asservie, L'un m'a coûté mon trône, et l'autre veut ma vie, Tu t'es sauvé du Sphinx aux dépens de mon rang, Sauve-toi de la peste aux dépens de mon sang.
Mais apres auoir veu dans la fin de ta peine que pour toy le trepas femble doux a ta Ieeine, Fais-toy de ſon exemple vne adorable loy, Il eſt encor plus doux de mourir pour ſon Roy.	Mais après avoir vu dans la fin de ta peine que pour toi le trépas femble doux a ta Jeeine, Fais-toi de son exemple une adorable loi, Il est encor plus doux de mourir pour son Roi.
MEGARE.	MÉGARE.
Madame, auroit-on creu que cette Ombre d’vn pere, D’vn Roy dont vous tenez la memoire ſi chere, Dans voſtre injuſte perte euſt pris tant d’intereſt, qu’elle vint elle-meime en prononcer l’Arreſt?	Madame, aurait-on cru que cette Ombre d'un père, D'un Roi dont vous tenez la mémoire si chère, Dans votre injuste perte eût pris tant d'intérêt, qu'elle vint elle-même en prononcer l'Arrêt?
DIRGE.	DIRGE.
N’appelle point injuſte vn trépas legitime, Si j’ay cauſe ſa mort, puis-ie viure ſans crime?	N'appelle point injuste un trépas légitime, Si j'ai cause sa mort, puis-je vivre sans crime?
NERINE.	NERINE.
Vous, Madame?	Vous, Madame?
DIRCE.	DIRCE.
Ouy, Nerine, & tu l’as pû ſçauoir.	Oui, Nerine, et tu l'as pu sçauoir.
L’amour qu’il me portoit eut ſur luy tel pouuoir, Qu’il voulut ſur mon ſort faire parler l’Oracle, Mais comme à ce deſſein la Roine mit opſtacle, De peur que cette vois des Deſtins ennemis Ne fuſt auſſi funeſte à la fille qu’au fils, Il ſe déroba d’elle, ou pluſtoſt prit la fuite, Sans vouloir que Phorbas & Nicandre pour ſuite.	L'amour qu'il me portait eut sur lui tel pouvoir, Qu'il voulut sur mon sort faire parler l'Oracle, Mais comme à ce dessein la Roine mit opstacle, De peur que cette vois des Destins ennemis Ne fût a funeste à la fille qu'au fils, Il se déroba d'elle, ou plutôt prit la fuite, Sans vouloir que Phorbas et Nicandre pour suite.
Helas!	Hélas!
ſur le chemin il fut aſſaſſiné, Ainſi ſe vit pour moy ſon deſtin terminé, Ainſi j’en fus la cauſe.	sur le chemin il fut assassiné, Ainsi se vit pour moi son destin terminé, Ainsi j'en fus la cause.
.	.
ME	ME
MEGARE.	MÉGARE.
Ouy, mais trop innocente, Pour vous faire vn ſupplice où la raiſon conſente, Et iamais des tirans ſes plus barbares loix.	Oui, mais trop innocente, Pour vous faire un supplice où la raison consente, Et jamais des tyrans ses plus barbares lois.
DIRCE.	DIRCE.
Megare, tu ſçais mal ce que l’on doit aux Rois, Vn ſang ſi precieux ne ſçauroit ſe répandre, Qu'à l’innocente cauſe on n’ait droit de s’en prenEr de quelque façon que finiſſe leur ſort, (dre, On n’eſt point innocent quand on cauſe leur mort, C’eſt ce crime impuny qui demande vn ſupplice, C’eſt par là que mon pere a part au ſacrifice, C’eſt ainſi qu’vn trépas, qui me comble d’honneur Aſſeure ſa vengeance, & fait voſtre bonheur, Et que tout l’auenir cherira la memoire D’vn châtiment ſi juſte où brille tant de gloire.	Megare, tu sais mal ce que l'on doit aux Rois, Un sang si précieux ne saurait se répandre, Qu'à l'innocente cause on n'ait droit de s'en prenEr de quelque façon que finisse leur sort, (dre, On n'est point innocent quand on cause leur mort, C'est ce crime impuni qui demande un supplice, C'est par là que mon père à part au sacrifice, C'est ainsi qu'un trépas, qui me comble d'honneur Assure sa vengeance, et fait votre bonheur, Et que tout l'avenir chérira la mémoire D'un châtiment si juste où brille tant de gloire.
SCENE IV.	SCÈNE IV.
THESEE, DIRCE, MEGARE, NERINE.	THESEE, DIRCE, MEGARE, NERINE.
DIROE.	DIROE.
Ais, que voy-ie?	Ais, que vois-je?
Ah, Seigneur, quels que u dim Iolent ves emidto, Que venez-vous me dire en l’eſtat où ie ſuis?	Ah, Seigneur, quels que u dim Jolent vez emidto, Que venez-vous me dire en l'état où tu suis?
THESEE.	THESEE.
Ie viens prẽdre de vous l’ordre qu’il me faut ſuiure.	Je viens prendre de vous l'ordre qu'il me faut suivre.
Mourir, s’il faut mourir;	Mourir, s'il faut mourir;
& viure, s’il faut viure.	et vivre, s'il faut vivre.
DIRCE.	DIRCE.
Ne perdez point d’efforts à m’arreſter au jour, Laiſſez faire l’honneur.	Ne perdez point d'efforts à m'arrêter au jour, Laissez faire l'honneur.
THESEE.	THESEE.
Laiſſez agir l’amour.	Laissez agir l'amour.
DIRCE.	DIRCE.
Viuez, Prince, viuez.	Vivez, Prince, vivez.
THESEE.	THESEE.
Viuez donc, ma Princeſſe.	Vivez donc, ma Princesse.
DIR.	DIR.
DIRCE.	DIRCE.
Ne me raualez point juſqu’à cette baſſeſſe, Retarder mon trépas, c’eſt faire tout perir, Tout meurt ſi ie ne meurs.	Ne me ravalez point jusqu'à cette bassesse, Retarder mon trépas, c'est faire tout périr, Tout meurt si ici ne meurs.
THESEE.	THESEE.
Laiſſez-moy donc mourir.	Laissez-moi donc mourir.
D In e H.	D In est H.
Helas!	Hélas!
qu’oſez-vours dire?	qu'osez-vours dire?
THESEE.	THESEE.
Helas!	Hélas!
qu’allez-vous faire?	qu'allez-vous faire?
DIRCE.	DIRCE.
Finir les maux publics, obeïr à mon pere, Sauuer tous mes ſujets.	Finir les maux publics, obéir à mon père, Sauver tous mes sujets.
THESEE.	THESEE.
Par quelle injuſte loy Faut-ils les ſauuer tous, pout ne perdre que moy?	Par quelle injuste loi Faut-ils les sauver tous, pout ne perdre que moi?
Eux, dont le cœur ingrat porte les juſtes peines Du rebelle mépris qu’il ont fait de vos chaînes!	Eux, dont le cœur ingrat porte les justes peines Du rebelle mépris qu'il ont fait de vos chaînes!
Qui dans les mains d’vn autre ont mis tout voſtre bien!	Qui dans les mains d'un autre ont mis tout votre bien!
DIRCE.	DIRCE.
Leur deuoir violé doit-il rompre le mien?	Leur devoir violé doit-il rompre le mien?
Les exemples objets de ces petites ames Reglent-ils de leur Rois les glorieuſes tames, Et quel fruit vn grand cœur pourroit-il recueillir A receuoir du peuple vn exemple à faillir?	Les exemples objets de ces petites âmes Règlent-ils de leur Rois les glorieuses tames, Et quel fruit un grand cœur pourrait-il recueillir A receuoir du peuple un exemple à faillir?
Non, non, s’il m’en faut vn, ie ne veux que le voſtre L’amour que j’ay pour vous n’en reçoit aucũ autre Pour le bon-heur public n’auez-vous pas toûjours Prodigué voſtre ſang, & hazardé vos jours?	Non, non, s'il m'en faut un, je ne veux que le vôtre L'amour que j'ai pour vous n'en reçoit aucun autre Pour le bonheur public n'avez-vous pas toujours Prodigué votre sang, et hasardé vos jours?
Quand vous auez deffait le Minotaure en Créte, Quand vous auez puny Damaſte, & Periphéte, Sinnis, Phæra, Scirron, que faiſiez-vous, Seigneur, Que chercher à perir pour le commun bon-heur;	Quand vous avez défait le Minotaure en Crète, Quand vous avez puni Damaste, et Periphéte, Sinnis, Phanæra, Scirron, que faisiez-vous, Seigneur, Que chercher à périr pour le commun bonheur;
