ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
Si pourtant le bon-heur ſeconde ma prudence Ie m'eriray bien-toſt de leur intelligence Et ie leur fe ray voir que des laſches ſuiets Font contre leurs ſeigneurs d’inutiles proiets.	Si pourtant le bonheur seconde ma prudence Je m'érirai bientôt de leur intelligence Et ils leur se ais voir que des lâches sujets Font contre leurs seigneurs d'inutiles proisets.
ZARALINDE Voſtre reſſentiment me ſembleroit bien iuſte	ZARALINDE Votre ressentiment me semblerait bien juste
Sila cauſe en eſtoit plus belle ou plus auguſte, Mais icy la prudence eſt de les excuſer Puis que c’eſt les punir que de les meſpriſer;	Sila cause en était plus belle ou plus auguste, Mais ici la prudence est de les excuser Puis que c'est les punir que de les mépriser;
Conſiderez qu’Orphiſe eſt le flambeau tragicque Qui vous doit exciter vne haine publicque Si vous vous reſoluez de viure ſous ſa loy Malgré les volontez des Thebains & du Roy, Les Dieux intereſſez, en leurcommune iniure Vous rendront ennemy de toute la nature, Et ceux qui contre nout ſouloient ſe reuolter Feront meſme la paix afin de vous l’oſter:	Considérez qu'Orphise est le flambeau tragicenque Qui vous doit exciter une haine publique Si vous vous résolvez de vivre sous sa loi Malgré les volontés des Thebains et du Roi, Les Dieux intéressez, en leurcommune injure Vous rendront ennemi de toute la nature, Et ceux qui contre nout soûlaient se révolter Feront même la paix afin de vous l'ôter:
En cette occaſion vous ſerez, ſans refuges Au lieu de protecteurs vous trouuerez des Iuges Qui loing de vous deffendre ence cõmun malheur Se vangeront de vous pour preuenir le leur At ſſi bien qu’Hermodoreils diront qu’ils ſont peres L.	En cette occasion vous serez, sans refuges Au lieu de protecteurs vous trouverez des Juges Qui loin de vous défendre ence commun malheur Se vengeront de vous pour prévenir le leur At ssi bien qu'Hermodoreils diront qu'ils sont pères L.
iquils peuuent tomber en pareilles miſeres Si bien que la iuſtice eſguiſera leurs traits Moins pour voſtre ſecours que pour ſes intereſts Et puis que peuſez vous que faſſe Cenoſtrate Croyeze ous empeſcher que ce Prince n'eſclatte S'ilvq* voit autre part engager voſtre foy Et pre crer Crphiſe à la fille d’vn Roy?	iquils peuvent tomber en pareilles misères Si bien que la iustice éguisera leurs traits Moins pour votre secours que pour ses intérêts Et puis que peusez vous que fasse Cenostrate Croie ous empêcher que ce Prince n'éclatte S'ilvq voit autre part engager votre foi Et pré rer Crphise à la fille d'un Roi?
Apre s qu’vne Ambaſſade, & lẽs vœux de la Grece Out dem eune pour vous cette ieune princeſſe Et que poisr aſſeurer vnhymen ſi charmant	Apre s qu'une Ambassade, et liens vœux de la Grèce Out dem eune pour vous cette jeune princesse Et que poisr assurer unhymen si charmant
E iij Tous les iours Hermodore attend Ariomant Quand ce noble Seigneur ſera venu d’Atheines Le meſpris ſera t’il le loyer dé ſes peines, Ah deſtournez l’effet d’vn ſi ſenſible affront Qui pourroit reiallir iuſques ſur voſtre front Oſtez de voſtre eſprit cette laſche entrepriſe Aymez qui vous cherit, fuyez, qui vous meſpriſe Et ſitaſſecuion naiſt par t'egaltte.	 Ej Out les jours Hermodore attend Ariomant Quand ce noble Seigneur sera venu d'Atheines Le mépris sera t'il le loyer dé ses peines, Ah détournez l'effet d'un si sensible affront Qui pourrait rejaillir jusqu' à votre front Ostez de votre esprit cette lâche entreprise Aimez qui vous chérit, fuyez, qui vous méprise Et sitassecuion naît par t'égaltte.
Helione ( mon frere) a cette qualité.	Hélione ( mon frère) a cette qualité.
LIGDAMIS.	LIGDAMIS.
He bien puis que l’eſtat par ſes rudes maximes A couſtume d’auoir de ſemblables victimes Puis que ie ſuis né prince, & de plus malheureux Ie ſubiray (Ma ſœur) ſes Edits rigoureux J'exempteray mes iours de la hayne publicque Et pour ſuiure les loix d’vn pouuoir tyrannique Ieme deſpouiſerayae te doux ſemiment Dont toute la nature vſe ſi librement ependant ie m’en vay diuertir à la chaſſe Les premiers deſplaiſirs d’vne telle diſgrace.	He bien puis que l'état par ses rudes maximes A outume d'avoir de semblables victimes Puis que ie suis né prince, et de plus malheureux Je subirai (Ma sœur) ses Édits rigoureux J'exempterai mes jours de la haine publique Et pour suivre les lois d'être pouvoir tyrannique Je despouiserayae te doux semiment Dont toute la nature use si librement épendant mille m'en vay divertir à la chasse Les premiers déplaisirs d'une telle disgrâce.
ZARALINDE.	ZARALINDE.
eleſort Et moy ie vay porter cette nouuelle au Roy.	elesort Et moi -je vais porter cette nouvelle au Roi.
SCENE DEVXIEME.	SCÈNE DEUXIÈME.
LIGDAMTS.	LIGDAMTS.
TANCLADE.	TANCLADE.
DORISTEL.	DORISTEL.
I Evoy bien que chacun s’intereſſe pourſoy Et qu'elle craint bien moins que ie cheriſſe Orphi Que de voir ſa perſonne à Theage ſoubmiſé:	I Ivois bien que chacun s'intéresse poursoi Et qu'elle craint bien moins que ie chérisse Orphi Que de voir sa personne à Thage soumisé:
Mais quelle viue au gré de ſon ambition, Ie ne changeray point de reſolution, Malgré tant de conſeils c’eſt Orphiſe que i’ayme Et la difficulté rend mon amour extreme:	Mais quelle vive au gré de son ambition, Je ne changerai point de résolution, Malgré tant de conseils c'est Orphise que j'aime Et la difficulté rend mon amour extrême:
Qu'on ne taſche donc plus par des vaines raiſons De commettre enuers elle aucunes trahiſons Puis que mon mal me plait, ie veux bien qu'on le ſatte Q u’on vante les attraits de cette belle ingratte Mais quiconque voudra mon deſſein diuertir Qu'il attende du ſien vn ſoudain repentir.	Qu'on ne tâche donc plus par des vaines raisons De commettre envers elle aucunes trahisons Puis que mon mal me plaît, ils veux bien qu'on le satte Q on vante les attraits de cette belle ingratte Mais quiconque voudra mon dessein diuertir Qu'il attende du sien soudain repentir.
TANCLADE.	TANCLADE.
Nous ne commettrons pas enuers vous cette offence Noſtre zele conſiſte en noſtre obeïſſance Vos ſeules volontez reglent noſtre deuoir Vſez de nous grand prince & de voſtre pouuoir Si vous deſirez tant de poſſeder Orphiſe Conſentez ſeulement au deſſein de ſa priſe Et deuant que la nuit nous derobe le iour Vous pourrez auecque elle aſſouuir voſtre amour.	Nous ne commettrons pas envers vous cette offense Notre zèle consiste en notre obéissance Vos seules volontés règlent notre devoir Vés de nous grand prince et de votre pouvoir Si vous désirez tant de posséder Orphise Consentez seulement au dessein de sa prise Et devant que la nuit nous derobe le jour Vous pourrez auecque elle assouvir votre amour.
LIGDAMIS.	LIGDAMIS.
Ouy mais pourconſentir à cette violence It faudroit que ſes yeux euſſent moins de puiſſance Ie reſpecte & ie crains ces deux chers ennemis	Oui mais pourconsentir à cette violence It faudrait que ses yeux eussent moins de puissance Je respecte et ainsi crains ces deux chers ennemis
DORISTEL.	DORISTEL.
Aux princes comme vous ce qui plaiſt eſt permis Vous ne ſçauriez iamais paroiſtre temeraire Et le reſpect ſied bien ſeulement au vulgaire Les timides Amans ſont touſiours malheureux Au lieu que la fortune ayde les genereux;	Aux princes comme vous ce qui plaît est permis Vous ne sauriez jamais paraître téméraire Et le respect sied bien seulement au vulgaire Les timides Amants sont toujours malheureux Au lieu que la fortune aide les généreux;
Ie veux pour cet effet vous dire vn ſtratageme Q unuott rentre autoura nu ſvoſtre bon-heur extreme Et tromper voſtre Orphiſe auecque tant d'appas Qu'elle ſe verra prendre & ne le ſçaura pas.	Je veux pour cet effet vous dire un stratagème Q unuott rentre autoura nu svostre bonheur extrême Et tromper votre Orhise auecque tant d'appas Qu'elle se verra prendre et ne le saura pas.
LIGDAMIS.	LIGDAMIS.
Dy moy donc Doriſtel ce ſecret admirable.	Dis -moi donc Doristel ce secret admirable.
DORISTEL.	DORISTEL.
Vous aduourez Seigneur qu’il eſt incomparable Et qu'vn crime iamais quelque fard qu’il ayt eu Ne repreſenta mieux vn acte de vertu Orphiſe	Vous avourez Seigneur qu'il est incomparable Et qu'un crime jamais quelque fard qu'il ait eu Ne représenta mieux un acte de vertu Orphise
Orthiſe tougles iours pour parler d Theage.	Orthise tougles jours pour parler Thage.
Luy donné rondez vous à ce petit bocçage Qu’il ſemble que la terre à produit icy prés Pour ſeruir ſeulement à ces Amans diſcrets.	Lui donné rondez -vous à ce petit bocage Qu'il semble que la terre à produit ici prés Our servir seulement à ces Amants discrets.
On les y void ſouuent faire leur promenade Et c’eſt là qu’il nous faut dreſſer vne ambuſc ade:	On les y voit souvent faire leur promenade Et c'est là qu'il nous faut dresser une ambusc ade:
Si toſt que nous venrons cette belle arriuer Nous ferons dextrement ſemblant de l’enleuer, Et vous comme porté d’vn deſtin fauorable Vous viendrez au ſecours de cette miſerable Où nous traittant d’ingrats, de tygres d’inhumains Vous la retirerez fierement de nos mains Entette emosionſ idous ſera jaeue De la menerchez vous comme dans vn azile On ne ſçauroit trouuer de pretexte plus beau.	Si tôt que nous venrons cette belle arriver Nous ferons dextrement semblant de l'enlèver, Et vous comme porté d'un destin favorable Vous viendrez au secours de cette misérable Où nous traitant d'ingrats, de tigres d'inhumains Vous la retirerez fièrement de nos mains Entette emosions idous sera jaeue De la menerchez vous comme dans un asile On ne saurait trouver de prétexte plus beau.
L'IGDAMIS.	L'IGDAMIS.
Il me plait d’autant plus qu’il eſt rare & nouueau.	Il me plaît d'autant plus qu'il est rare et nouveau.
TANCEADE.	TANCEADE.
Là vous conſolerez cette belle affligée Qui ſe croira ſans doute à vous ſeul obligée, Et recompenſera d’vn traitement plus doux Le ſalut apparent qu’elle tiendra de vous Pour rendre l’action plus memorable encore Nous nous preſenterons en veſtemens de More, Et nous aurons tous deux le viſage pareil A ce peuple noircy des rayons du Soleil.	Là vous consolerez cette belle affligée Qui se croira sans doute à vous seul obligée, Et récompensera d' traitement plus doux Le salut apparent qu'elle tiendra de vous Pour rendre l'action plus mémorable encore Nous nous présenterons en vêtements de More, Et nous aurons tous deux le visage pareil A ce peuple noirci des rayons du Soleil.
F	F
EI GDAMIS.	EI GDAMIS.
I'approuue, mes amis, cet aduis ſalutalre:	J'approuve, mes amis, cet avis salutalre:
Mais il faut promptement executer l’affaire.	Mais il faut promptement exécuter l'affaire.
Vn longretardement n’apporte point de fruit, Et le deſſein qui traine eſt à demy détruit, La valeur ſerticy moins que la diligence.	Vn longretardement n'apporte point de fruit, Et le dessein qui traine est à demi détruit, La valeur sertici moins que la diligence.
TANCLADE.	TANCLADE.
Repoſezvous (Seigneur) ſur noſtre intelligence, La proye aſſeurement tomberadans nos rets.	Reposezvous (Signeur) sur notre intelligence, La proie assurément tombéradants nos rets.
LIGDAMIS.	LIGDAMIS.
Allez dont promptement en faireles apprets, Aſſeurez que ma main ne ſera pas auare Pour le iuſte loyer d’vn ſeruice ſi rare.	Allez dont promptement en faireles apprêts, Assurés que ma main ne sera pas avare Pour le juste loyer d'H service si rare.
DORESTEL.	DORÊTEL.
Nous allons, mais Se igneuroù vous attendrõs nous:	Nous allons, mais Se igneuroù vous attendrõs nous:
LTGDAMIS.	LTGDAMIS.
Tanci.	Tanci.
Ie ſeray dans le bois preſque auſſi-toſt que vous, content.	Je serai dans le bois presque aussitôt que vous, content.
Deſpeſchez ſeulement.	Despêchez seulement.
Que ma bonne fortune M’a deffait à propos d’vne ſœur importune, Et que i'auois recours à de foibles moyens.	Que ma bonne fortune M'a défait à propos d'une sœur importune, Et que j'avais recours à de faibles moyens.
Pour attirer Orphiſe en de nouueaux liens.	Pour attirer Orphise en de nouveaux liens.
Il eſt vray qu’on attent en ce ſiecle où nous ſommes Des femmes le diſcours, & les effets des hommes:	Il est vrai qu'on attent en ce siècle où nous sommes Des femmes le discours, et les effets des hommes:
Mais ie ris des rochers auant que d’eſtre au port, Ie me vante trop toſt de la bonté du ſort, Ie ſuis encor ſujet aux loix de ſon caprice;	Mais était ris des rochers avant que d'être au port, Je me vante trop tôt de la bonté du sort, Je suis encor sujet aux lois de son caprice;
SOMEDLE.	SOMEDLE.
H'e bienne voilà pas un trait de ſa malice;	H'eyne bienne voilà pas un trait de sa malice;
Au point que mon projet ſe doit executer, Il produit vnobſtacle afin de m'arreſter:	Au point que mon projet se doit exécuter, Il produit vnobstacle afin de m'arrêter:
Au lien de Maraſinde ſi'm'enuoye fermodore.	Au lien de Marasinde si'm'envoie fermodore.
SCENE TROISIEME HERMODORE?	SCÈNE -TROISIÈME HÉRMODORE?
ARIOMANT:	ARIOMANT:
HELIONE.	HÉLIONE.
LIGDAMIS.	LIGDAMIS.
t	t
HERMODORE.	HÉRMODORE.
Enoſtrate ſçait bien à quel pointie l’honore, Et le prince porté d’vn pareil mouuement Apprendrace bon-heur auec rauiſſement:	Enôtrate sçait bien à quel pointie l'honore, Et le prince porté d'un pareil mouvement Apprendrace bonheur avec ravissement:
Mais qu’à propos icy la fortune l’enuoye;	Mais qu'à propos ici la fortune l'envoie;
Afin de partager noſtre commune ioye.	Afin de partager notre commune joie.
LIGDAMIS, à part.	LIGDAMIS, à part.
Ma ioye- fait naufrage aupres de cet eſcueil Et ſoubs vn front riant moncœur porte le deuil;	Ma joie- fait naufrage auprès de cet écueil Et sous un front riant moncœur porte le deuil;
Diſſimulons pourtant & faiſons bonne mine.	Dissimulons pourtant et faisons bonne mine.
HERMODORE.	HÉRMODORE.
Approche Ligdamis:	Approche Ligédamis:
cette beauté diuine Dont le rang eſt eſgal à ta condition Doit borner tes amours & ton ambition,	cette beauté divine Dont le rang est égal à ta condition Doit borner tes amours et ton ambition,
13	13
eſt düec cet te belle & parfaite Helione Q'ue tu dois partager mon ſceptre & ina couronne, Etcet ob jet n'eſt pas indigne de tes vœux.	est douec cet te belle et parfaite Hélione Que tu dois partager mon sceptre et ina couronne, Etcet ob jet n'est pas indigne de tes vœux.
2	2
LIGDAMIS.	LIGDAMIS.
Non:	Non:
mais ie ſuis peut-eſtreindigne de ſes feux, ou poignemteuto epoiui quimuaate cifuge Attend de ſes attraits vn plus grand̃ aduantage.	mais ainsi suis peut-êtreindigne de ses feux, ou poignemteuto epoiui quimuate cifuge Attend de ses attraits un plus grand̃ avantage.
ARI'OMANT.	ARI'OMANT.
Apres vos qu'alitéz & voſtre illuſtre rang Que peut-elle bons Dieux eſperer de plus grand, Encore qu'elle ſoit de naiſſance royale Doi inorno pourtunnm urueu qui von eſgale Et l’amour ſeulement comme voſtre bonté Sont les nobles autheurs de ſa temerité.	Après vos qu'alitéz et votre illustre rang Que peut-elle bons Dieux espérer de plus grand, Encore qu'elle soit de naissance royale Dois inorno pourtunnes urueu qui von égale Et l'amour seulement comme votre bonté Sont les nobles autheurs de sa témérité.
HELIONE.	HÉLIONE.
Ouy grand prince, ce Dieu dontie porte les chaiſnes M’oblige à renoncer aux delices d’Atheines, Et ſoubmets ma franchiſe à de ſi iuſtes loix Q u’elles m’ont procuré la faueur de deux Rois:	Oui grand prince, ce Dieu dontie porte les chaînes M'oblige à renoncer aux délices d'Atheines, Et soubmets ma franchise à de si justes lois Q eelles m'ont procuré la faveur de deux Rois:
Mais ce n'eſt pas aſſez ſi celuy que i'adore Refuſe à mes ſouhaits la grace que i'implore Et loing d’y conſentir, ne donne ſeulement A mon affection qu'vn foible compliment.	Mais ce n'est pas assez si celui que j'adore Refuse à mes souhaits la grâce que j'implore Et loing d'y consentir, ne donne seulement À mon affection qu'une faible compliment.
HERMODORE.	HÉRMODORE.
Ah ce ſeroit trop peu pour vn merite extreme!	Ah ce serait trop peu pour un mérite extrême!
Ie veux qu'auec mon ſceptre il ſe donne ſoy-meſme,	Je veux qu'avec mon sceptre il se donne soi-même,
