L’IMPOSTEUR,	L'IMPOSTEUR,
Il eſt certain Que mon Pere s’eſt mis en teſte ce deſſein.	Il est certain Que mon Père s'est mis en tête ce dessein.
VALERE.	VALÈRE.
voierele, Madailt.	voile, Madailt.
MARIANE.	MARIANE.
A changé de viſée.	A changé de visée.
La choſe vient par luy de m’eſtre propoſée.	La chose vient par autre de m'être proposée.
VALERE.	VALÈRE.
Quoy, ſerieuſement?	Quoi, sérieusement?
MARIANE.	MARIANE.
Ouy, ſerieuſement;	Oui, sérieusement;
Il s’eſt, pour cet hymen, declaré hautement.	Il s'est, pour cet hymen, déclaré hautement.
VALERE ut querent le domamrou roneumes drreſte, Madame?	VALÈRE ut quèrent le domamrou ronûmes drreste, Madame?
dinainaas Ie ue ſçay.	dinainaas Je rue sais.
Vous ne ſçavez?	Vous ne savez?
VALERE.	VALÈRE.
La réponſe eſt honneſte.	La réponse est honnête.
MARIANE.	MARIANE.
dcon.	dcon.
VALERE.	VALÈRE.
Non*	Non*
MARIANE.	MARIANE.
Que me conſeillez-vous.	Que me conseillez-vous.
VALERE.	VALÈRE.
Ie vous conſeille, moy, de prendre cet Epous.	Je vous conseille, moi, de prendre cet Épous.
Mileinads Vous me le conſeillez?	Mileinads Vous me le conseillez?
VALERE.	VALÈRE.
Oüy.	Oui.
MARIANE.	MARIANE.
Tout de bon?	Tout de bon?
VALERE.	VALÈRE.
Sans doute.	Sans doute.
Le chois eſt glorieux, & vaut bien qu’on l’écoute.	Le chois est glorieux, et vaut bien qu'on l'écoute.
MARIANE.	MARIANE.
Hé bien, c’eſt un conſeil, Monſieur, que je reçoy.	Hé bien, c'est un conseil, Monsieur, que je reçois.
VALERE.	VALÈRE.
Vous n’aurez pas grand peine à ſe ſuiure, je croy.	Vous n'aurez pas grand peine à se suivre, je crois.
MARIANE.	MARIANE.
Pas plus qu'a le domner en a lourert voſtre ame.	Pas plus qu'a le domner en a lourert votre âme.
VALERE.	VALÈRE.
Moy, je vous l’av donné pour vous plaire, Madame.	Moi, je vous l'au donné pour vous plaire, Madame.
MARIANE.	MARIANE.
Et moy, je le ſuiuray, pour vous faire plaiſir.	Et moi, je le suivrai, pour vous faire plaisir.
DORINE.	DORINE.
Voyons ce qui pourra de cecy reuſſir.	Voyons ce qui pourra de ceci réussir.
VALERE.	VALÈRE.
C’eſt donc ainſi qu’on aime?	C'est donc ainsi qu'on aime?
& c’eſtoit tromperie.	et c'était tromperie.
Quand vous.	Quand vous.
MARIANE.	MARIANE.
Ne parlons point de cela, je vous prie Vous m’avez dit tout franc, que je dois accepter Celuy que, pour Epous, on me veut preſenter:	Ne parlons point de cela, je vous prie Vous m'avez dit tout franc, que je dois accepter Celui que, pour Épous, on me veut présenter:
Et je declare, moy, que je prétens le faire, Puis que vous m’en donnez le conſeil ſalutaire.	Et je déclare, moi, que je prétends le faire, Puis que vous m'en donnez le conseil salutaire.
VALERE.	VALÈRE.
Ne vous excuſez point ſur mes intentions.	Ne vous excusez point sur mes intentions.
Vous aviez pris deja vos reſolutions;	Vous aviez pris déjà vos résolutions;
Et vous vous ſaiſiſſez d’un prétexte frivole, Pour vous autoriſer à manquer de parole.	Et vous vous saisissez d'un prétexte frivole, Pour vous autoriser à manquer de parole.
MARIANE.	MARIANE.
Il eſt vray, c’eſt bien dit.	Il est vrai, c'est bien dit.
VADERE.	VADERE.
Sans doute, & voſtre cœur N’a jamais eu pour moy de veritable ardeur.	Sans doute, et votre cœur N'a jamais eu pour moi de véritable ardeur.
Helas!	Hélas!
permis à vous d’avoir cette penſée.	permis à vous d'avoir cette pensée.
VALERE.	VALÈRE.
Ouy, ouy, permis à moy;	Oui, oui, permis à moi;
mais mon ame offencée Vous préviendra, peut-eſtre, en un pareil deſſein;	mais mon âme offensée Vous préviendra, peut-être, en un pareil dessein;
Et je ſçais où porter, & mes vœux, & ma main.	Et je sais où porter, et mes vœux, et ma main.
MARIANE.	MARIANE.
Ah!	Ah!
je n’en doute point;	je n'en doute point;
& les ardeurs qu’excite Le mérite.	et les ardeurs qu'excite Le mérite.
VALERE.	VALÈRE.
Mon Dieu, laiſſons-là le mérite;	Mon Dieu, laissons-là le mérite;
I’en ay fort peu, ſans doute, & vous en faites foy:	J'en ai fort peu, sans doute, et vous en faites foi:
Mais j’eſpere aux bontez qu’une autre aura pour Moy 3 Et j’en ſçay de qui l’ame, à ma retraite ouverte, Conſentira ſans honte à reparer ma perte.	Mais j'espère aux bontés qu'une autre aura pour Moi 3 Et j'en sais de qui l'âme, à ma retraite ouverte, Consentira sans honte à réparer ma perte.
MARIANE.	MARIANE.
La perte n’eſt pas grande, & de ce changement Vous vous conſolerez aſſez facilement.	La perte n'est pas grande, et de ce changement Vous vous consolerez assez facilement.
VALERE.	VALÈRE.
Iy feray mon poſſible, & vous le pouvez croire.	Ji ferai mon possible, et vous le pouvez croire.
Un cœur qui nous oublie, engage noſtre gloire.	Un cœur qui nous oublie, engage notre gloire.
Il faut à l’oublier, mettre auſſi tous nos ſoins.	Il faut à l'oublier, mettre aussi tous nos soins.
Si l’on n’en vient à bout, on le doit feindre au moins;	Si l'on n'en vient à bout, on le doit feindre au moins;
Et celte lachete ſaſſais ne le pardomne, De montrer de l’amour pour qui nous abandonne.	Et celte lâcheté sassais ne le pardomne, De montrer de l'amour pour qui nous abandonne.
MARIANE.	MARIANE.
Ce ſentiment, ſans doute, eſt noble, & relevé.	Ce sentiment, sans doute, est noble, et relevé.
VALERE.	VALÈRE.
Fort bien, & d’un chacun il doit eſtre aprouvé.	Fort bien, et d'un chacun il doit être approuvé.
Hé quoy!	Hé quoi!
vous voudriez qu’à jamais, dans mon ame, Je gardaſſe pour vous les ardeurs de ma flame?	vous voudriez qu'à jamais, dans mon âme, Je gardasse pour vous les ardeurs de ma flamme?
Et vous viſſe, à mes yeux, paſſer en d’autres bras, Sans mettre ailleurs un cœur dont vous ne voulez H.	Et vous visse, à mes yeux, passer en d'autres bras, Sans mettre ailleurs un cœur dont vous ne voulez H.
MARIANE.	MARIANE.
Au contraire, pour moy, c’eſt ce que je ſouhaite;	Au contraire, pour moi, c'est ce que je souhaite;
Et je voudrois déja que la choſe fut faite.	Et je voudrais déjà que la chose fut faite.
VALERE.	VALÈRE.
Vous le voudriez?	Vous le voudriez?
MARIANE.	MARIANE.
Oüy.	Oui.
VALERE.	VALÈRE.
C’eſt aſſez m’inſulter, Madame, & de ce pas je vais vous contenter.	C'est assez m'insulter, Madame, et de ce pas je vais vous contenter.
Il fait un pas pour s’en aller, & revient toûjours.	Il fait un pas pour s'en aller, et revient toujours.
Fortbien.	Fortbien.
MARIANE.	MARIANE.
VALERE.	VALÈRE.
Souvenez-vous au moins, que c’eſt vous-meſme Qui contraignez mon cœur à cet effort extréme.	Souvenez-vous au moins, que c'est vous-même Qui contraignez mon cœur à cet effort extrême.
oüy MARIANE.	oui MARIANE.
VALERE.	VALÈRE.
Et que le deſſein que mon ame conçoit, N’eſt rien qu’a voſtre exemple.	Et que le dessein que mon âme conçoit, N'est rien qu'a votre exemple.
B 6	 6
MARIANE.	MARIANE.
A mon exemple, ſoit.	À mon exemple, soit.
VALERE.	VALÈRE.
Suffit;	Suffit;
vous allez eſtre à point-nommé ſervie.	vous allez être à point-nommé servie.
Tant-mieux.	Tant-mieux.
MiARTARE.	MiARTARE.
VALERE.	VALÈRE.
Vous me voyez, c’eſt pour toute ma vie	Vous me voyez, c'est pour toute ma vie
MARIANE.	MARIANE.
A la bonne heure.	À la bonne heure.
VABERE.	VABERE.
Euh?	Euh?
Il s'en va & lors qu’il est vers la pmie, u se niturne.	Il s'en va et lors qu'il est vers la pmie, se niturne.
MARIANE.	MARIANE.
Quoy?	Quoi?
VALERE.	VALÈRE.
Ne m’apellez-vous pas?	Ne m'appelez-vous pas?
MARIANE.	MARIANE.
Moy!	Moi!
vous reſvez	vous rêvez
VALERE.	VALÈRE.
He bien, je pourluis donc mes pas.	He bien, je pourluis donc mes pas.
Adieu, Madame.	Adieu, Madame.
MARIANE.	MARIANE.
Adieu, Monſieur.	Adieu, Monsieur.
DORIRE.	DORIRE.
Pour moy, je penſe Que vous perdez l’eſprit, par cette extravagance;	Pour moi, je pense Que vous perdez l'esprit, par cette extravagance;
Et je vous ay laiſſé tout du long quereller, Pour voir où tout cela pourroit enfin aller.	Et je vous ai laissé tout du long quereller, Pour voir où tout cela pourrait enfin aller.
Hola, Seigneur Valere.	Holà, Seigneur Valère.
Elle va l’arreſter par le bras, & luy fait mine de grande reſiſtance.	Elle va l'arrêter par le bras, et lui fait mine de grande résistance.
.	.
VALERE.	VALÈRE.
Hé, que veux-tu, Dorine?	Hé, que veux-tu, Dorine?
venexicy.	venexici.
DORINE	DORINE
VALERE.	VALÈRE.
Non, non, le dépit me domine Ne me détourne point de ce qu’elle a voulu.	Non, non, le dépit me domine Ne me détourne point de ce qu'elle a voulu.
Arreſtez.	Arrêtez.
DORINE.	DORINE.
V A1EE B Non, vois-tu, c’eſt un poinct réſolu.	V V1E B Non, vois-tu, c'est un point résolu.
Ah.	Ah.
MoMnE.	MoMnE.
MARIANE.	MARIANE.
Il ſouffre à me voir, ma preſence le chaſſeEt je feray bien mieux, de luy quitter la place.	Il souffre à me voir, ma présence le chasseEt je ferai bien mieux, de peine quitter la place.
DORINE.	DORINE.
Elle quitte Valere, & court à Mariane.	Elle quitte Valère, et court à Mariane.
A l’autre.	À l'autre.
Où courez-vous?	Où courez-vous?
MARIANE.	MARIANE.
Laiſſe.	Laisse.
DORINE.	DORINE.
Il faut revenir.	Il faut revenir.
MARIANE.	MARIANE.
Non, non, Dormie, en vain tu veux me letenir.	Non, non, Dormie, en vain tu veux me letenir.
VALERE.	VALÈRE.
Je voy bier que ma veuë eſt pour elle un ſuplice;	Je vois bier que ma vue est pour elle un supplice;
Et ſans doute, il vaut mieux que je l’en affranchiſſe.	Et sans doute, il vaut mieux que je l'en affranchisse.
DORINE.	DORINE.
Elle quitte Mariane, & court à Valere.	Elle quitte Mariane, et court à Valère.
niicolt Dlantre ſoit fait de vous, ſi je le veux.	niicolt Dlantre soit fait de vous, si je le veux.
Ceſſez ce badinage, & venez-çà tous deux.	Cessez ce badinage, et venez-ceà tous deux.
Ehte tes tirel Mne taulje.	Ehte tes tirel Mne taulie.
VALERE.	VALÈRE.
Mais quel eſt ton deſſein?	Mais quel est ton dessein?
MARIANE.	MARIANE.
Qu'eſt-ce que tu veux faire?	Qu'est-ce que tu veux faire?
DORIRE.	DORIRE.
Vous bien remettre enſemble, & vous tirer d’affaire.	Vous bien remettre ensemble, et vous tirer d'affaire.
Eſtes-vous fou, d’avoir un pareil démeſlé?	Êtes-vous fou, d'avoir un pareil démêlé?
VALERE.	VALÈRE.
N’as-tu pas entendu comme elle m’a parlé?	N'as-tu pas entendu comme elle m'a parlé?
DORINE.	DORINE.
Eſtes-vous folle, vous, de vous eſtre emportées	Êtes-vous folle, vous, de vous être emportées
MARIANE.	MARIANE.
N’as-tu pas veu la choſe, & comme il m’a traittée?	N'as-tu pas vu la chose, et comme il m'a traitée?
DORINE.	DORINE.
Sottiſe des deux parts.	Sottise des deux parts.
Elle n’a d’autre ſoin, Que de ſe conſerver à vous, j’en ſuis té moin.	Elle n'a d'autre soin, Que de se conserver à vous, j'en suis té moin.
Il ni’aime que vous feuſe, & n’a pomt d’autre envie Que d’eſtre voſtre Epous;	Il n'aime que vous feuse, et n'a pompt d'autre envie Que d'être vôtre Épous;
j’en répons ſur ma vie.	j'en réponds sur ma vie.
MARIANE.	MARIANE.
rourquoy donc me donner un ſemblable conſeil?	rourquoi donc me donner un semblable conseil?
VALERE.	VALÈRE.
Pourquoy m’en demander ſur un ſujet pareil?	Pourquoi m'en demander sur un sujet pareil?
DORINE.	DORINE.
Vous eſtes fous tous deux.	Vous êtes fous tous deux.
Ca, la main l’un.	Ca, la main l'un.
& l’autre.	et l'autre.
Allons, vous.	Allons, vous.
VALERE.	VALÈRE.
En domantja main à Dorine.	En domantjà main à Dorine.
A quoy bon ma main?	À quoi bon ma main?
DORINE.	DORINE.
All.	All.
ya, la vome	ya, la vome
MARIANE.	MARIANE.
En donnant außi ſa main.	En donnant aussi sa main.
Dequoy ſert tout cela?	Dequoy sert tout cela?
DORINE.	DORINE.
Mon Dieu, viſte, avancez.	Mon Dieu, vite, avancez.
Vous vous aimez tous deux plus que vous ne pen ſez.	Vous vous aimez tous deux plus que vous ne pen sez.
VALERE.	VALÈRE.
Mais ne faites donc point les choſes avec peine, Et regardez un peu les Gens fans nulle haine.	Mais ne faites donc point les choses avec peine, Et regardez un peu les Gens fans nulle haine.
Mariane tourne l’œil ſur Valere, & fait un petit ſcûris.	Mariane tourne l'œil sur Valère, et fait un petit scûris.
DORINE.	DORINE.
A vous dire le vray, les Amans ſont bien fous!	À vous dire le vrai, les Amants sont bien fous!
VALERE.	VALÈRE.
Ho-çà, n’ay-je pas lieu de me plaindre de vous?	Ho-çà, n'ai-je pas lieu de me plaindre de vous?
Et pour n’en point mentir, n’eſtes-vous pas méchante.	Et pour n'en point mentir, n'êtes-vous pas méchante.
De vous plaire à me dire une choſe affligeante?	De vous plaire à me dire une chose affligeante?
MARIANE.	MARIANE.
muiovous, n’eſtes-vous pas l’Homme le plus ingrat.	muiovous, n'êtes-vous pas l'Homme le plus ingrat.
DORINE.	DORINE.
Pour une autre lalion, IaHlolis tout ce debat, Et ſongeons à parer ce fâcheux Mariage.	Pour une autre lalion, JaHolis tout ce débat, Et songeons à parer ce fâcheux Mariage.
MARIANE.	MARIANE.
Dy-nous donc quels reſſorts il faut mettre en uſage.	Dis-nous donc quels ressorts il faut mettre en usage.
DORINE.	DORINE.
Nous en ferons agir de toutes les façons.	Nous en serons agir de toutes les façons.
Voſtre Pere ſe mõcque, & ce ſont des chanſons.	Votre Père se montre, et ce sont des chansons.
Mais, pour vous, il vaut mieux qu’à ſon extravagance, D’un doux conſentement vous preſtiez l’aparence, Afin qu’en cas d’alarme, il vous ſoit plus aiſé De tirer en longueur cet hymen propoſé.	Mais, pour vous, il vaut mieux qu'à son extravagance, D'un doux consentement vous prêtez l'apparence, Afin qu'en cas d'alarme, il vous soit plus aisé De tirer en longueur cet hymen proposé.
En attrapant du temps, à tout on remedie.	En attrapant du temps, à tout on remédie.
Tantoſt vous payerez de quelque maladie, Qui viendra tout a coup, & voudra des delais.	Tantôt vous paierez de quelque maladie, Qui viendra tout à coup, et voudra des délais.
Tantoſt vous payerez de pré ſages mauvais;	Tantôt vous paierez de pré sages mauvais;
Vous aurez fait d’un Mort la rencontre facheuſe, Caſſé quelque Miroir, ou ſongé d’eau bourbeuſe.	Vous aurez fait d'un Mort la rencontre fâcheuse, Cassé quelque Miroir, ou songé d'eau bourbeuse.
Enfin le bon de tout, c’eſt qu’à d’autres qu’à luy, On ne vous peut lier, que vous ne diſiez oüy.	Enfin le bon de tout, c'est qu'à d'autres qu'à lui, On ne vous peut lier, que vous ne disiez oui.
Mais pour mieux reüſſir, il eſt bon, ce me ſemble, Qu’on ne vous trouve point tous deux parlant enſemble.	Mais pour mieux réussir, il est bon, ce me semble, Qu'on ne vous trouve point tous deux parlant ensemble.
à Valere.	à Valère.
Sortez, & ſans tarder, employez vos Amis Pour vous faire tenir ce qu’on vous a promis.	Sortez, et sans tarder, employez vos Amis Pour vous faire tenir ce qu'on vous a promis.
Nous diiois reveilſel les choits de lonricie, Et dans noſtre Party jetter la Belle-Mere.	Nous diais réveilsel les choits de lonricie, Et dans notre Party jeter la Belle-Mere.
Adieu.	Adieu.
VALERE à Mariane.	VALÈRE à Mariane.
Quelques efforts que nous preparions tous, Ma plus grande eſperance, à vray dire, eſt en vous.	Quelques efforts que nous préparions tous, Ma plus grande espérance, à vrai dire, est en vous.
MARIANE à Valere.	MARIANE à Valère.
Je ne vous répons pas des volontez d’un Pere;	Je ne vous réponds pas des volontés d'un Père;
Mais Mais je ne ſeray point à d’autre qu’à Valere.	Mais Mais je ne serai point à d'autre qu'à Valère.
VALERE.	VALÈRE.
Que vous me comblez d’aiſe!	Que vous me comblez d'aise!
& quoy que puiſſe oſer.	et quoi que puisse oser.
DORINE.	DORINE.
Ah!	Ah!
jamais les Amans ne ſont las de jaſer.	jamais les Amants ne sont las de jaser.
Sortez, vous dy-je.	Sortez, vous dis-je.
Il fait un pas, & revient.	Il fait un pas, et revient.
VALERE.	VALÈRE.
Enfin.	Enfin.
DORINE.	DORINE.
Quel caquet eſt le voſtre!	Quel caquet est le vôtre!
Tirez de cette part;	Tirez de cette part;
& vous, tirez de l’autre.	et vous, tirez de l'autre.
Les pouſſant chacun par l’épaule.	Les poussant chacun par l'épaule.
Fin du Second Acte.	Fin du Second Acte.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE PREMIERE DAMIS, DORINE.	SCÈNE PREMIÈRE DAMIS, DORINE.
Q Qe DAMIS.	 Qe DAMIS.
UE la Foudre, ſur l’heure, acheue mes deſtins;	OÙ la Foudre, sur l'heure, achève mes destins;
Qu’on me traitte par tout, du plus grand des Faquins, S’il eſt aueun reſpect, ny pouuoir.	Qu'on me traite par tout, du plus grand des Faquins, S'il est aveun respect, notre pouvoir.
qui m’arreſte, Et ſi je ne fais pas quelque coup de ma teſte.	qui m'arrête, Et si je ne fais pas quelque coup de ma tête.
DORINE.	DORINE.
De gruce, miodelez tirter eiportenient, Voſtre Pere n’a fait qu’en parler ſimplement:	De gruce, miodelez tirter éjportenient, Votre Père n'a fait qu'en parler simplement:
On n’execute pas tout ce qui ſe propoſe;	On n'exécute pas tout ce qui se propose;
Et le chemin eſt long, du projet à la choſe.	Et le chemin est long, du projet à la chose.
DAMIS.	DAMIS.
Il faut que de ce Fat j’arreſte les complots, Et qu’à l’oreille, un peu, je luy diſe deux mots.	Il faut que de ce Fat j'arrête les complots, Et qu'à l'oreille, un peu, je lui reste deux mots.
DORINÉ.	DORIN.
Ha, tout doux;	Ha, tout doux;
enuers luy, comme envers voſtre Pere, Laiſſez agir les ſoins de voſtre Belle-Mere.	envers Seigneur, comme envers votre Père, Laissez agir les soins de votre Belle-Mère.
Sur l’eſprit de Tartuffe, elle a quelque credit;	Sur l'esprit de Tartuffe, elle a quelque crédit;
