DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
Et quoy que tant d’honneur luy ſoit troplegitime, Ay creu qu’il procedoit d'ailleurs que de l’eſtime;	Et quoi que tant d'honneur lui soit tropélégitime, Ai cru qu'il procédait d'ailleurs que de l'estime;
Mais grace à vos froideurs, mes vœux ſont accomplis, Mes doutes reſolus, mes maux enſeuelis;	Mais grâce à vos froideurs, mes vœux sont accomplis, Mes doutes résolus, mes maux ensevelis;
I'oze meſme eſperer que par voſtre aßiſtance, Le Roy me permettant l’heur de cette alliance, Et perdant vn eſpoir qui ne luy produit rien, Auecques mon repos, rétablira le ſien.	J'ose même espérer que par fois assistance, Le Roi me permettant l'heur de cette alliance, Et perdant un espoir qui ne lui produit rien, Avecques mon repos, rétablira le sien.
L’INFANTE.	L'INFANTE.
Quoy qu’au choix d’vn amant, mon ame irreſoluë, Sur cette paßion, ſoit encor abſoluë, Et que ce Dom Bernard, de qui les qualitez, Triomphent (dites-vous) de tant de libertez, Quelques myrthes nouueaux, qui luy couurent la teſte, N’ait pas ſuiet encor de vanter ma conqueſte;	Quoi qu'au choix d'Hannant, mon âme irrésolue, Sur cette passion, soit encor absolue, Et que ce Dom Bernard, de qui les qualités, Triomphent (dites-vous) de tant de libertés, Quelques myrthes nouveaux, qui lui couvrent la tête, N'ait pas sujet encor de vanter ma conquête;
Ie ne puis toutesfois ſi toſt determiner, Sur le conſentement de vous l abandonner;	Je ne puis toutefois si tôt déterminer, Sur le consentement de vous l abandonner;
Et ſur voſtre creance, ou fauſſe, ou legitime, Que l’eſtat que i’en faits, doiue paſſer l’eſtime.	Et sur votre créance, ou fausse, ou légitime, Que l'état que j'en faits, doive passer l'estime.
Et le peu de reſpect que vous me faités voir, D'auoir eu du de ßein, où i’en pouuois auoir,	Et le peu de respect que vous me faitez voir, D'avoir eu du de ssein, où j'en pouvais avoir,
Mon cœur deſia touché de ſes vertus inſignes, Conçoit en ſa faueur des ſentiments ſi dignes, Qu'auant que d’en reſoudre & d’en rien ordonner, Auec plus de loiſir, ie veux l’examiner;	Mon cœur déjà touché de ses vertus insignes, Conçoit en sa faveur des sentiments si dignes, Qu'avant que d'en résoudre et d'en rien ordonner, Avec plus de loisir, je veux l'examiner;
Qui peut faire d’vn Roy negliger le ſeruage, Se pourra bien treuuer digne de mon hommage;	Qui peut faire d'un Roi négliger le servage, Se pourra bien trouver digne de mon hommage;
Et m’eſt autant qu’à vous, preferable à des Rois, S’il eſt aſſez puiſſant pour me donner des loix.	Et m'est autant qu'à vous, préférable à des Rois, S'il est assez puissant pour me donner des lois.
C’eſtoit manquer à vous, d’adreſſe & de prudence, Que de mettre à mes yeux vos feux en euidence, Sans ſçauoir ſi mon cœur y pourroit conſentir, Puis que ſi peu de cœurs s’en peuuent garantir.	C'était manquer à vous, d'adresse et de prudence, Que de mettre à mes yeux vos feux en évidence, Sans savoir si mon cœur y pourrait consentir, Puis que si peu de cœurs s'en peuvent garantir.
Vous auez deu ſçauoir qu’à l’humeur de la femme, C’eſtoit perſuader que deffendre vne flamme;	Vous avez dev sçauoir qu'à l'humeur de la femme, C'était persuader que défendre une flamme;
Et que la jalouſie & ſur tout dans la Cour, Eſt mere außi ſouuent, que fille de l’amour.	Et que la jalousie et sur tout dans la Cour, Est mère aussi souvent, que fille de l'amour.
Le temps me donnera l’aduis que ie dois prendre, Sur ce que ie vous doibs ou permettre, ou deffendre;	Le temps me donnera l'avis que ici dois prendre, Sur ce que je vous doibs ou permettre, ou défendre;
Cependant deliurez voſtre eſprit d’vn tourment, Qui luy pourroit durer peut-eſtre vainement.	Cependant délivrez votre esprit d'un tourment, Qui Qui pourrait durer peut-être vainement.
Elle s’enva la regardant de coſté.	Elle s'enva la regardant de côté.
DCENSII LEONOR ſeule.	DCENSII LEONOR seule.
On non, ie n’ay manqué, ny d’art, ny de prudence, Quand i’ay mis à vos yeux, mes feux en euidence;	On non, notre n'ai manqué, Seigneur d'art, ni de prudence, Quand j'ai mis à vos yeux, mes feux en évidence;
I’en obtiens les effets que i’en ay ſouhaittez, Puiſque i’ay par les miens les voſtres euentez.	J'en obtiens les effets que j'en ai souhaitez, Puisque j'ai par les miens les vôtres éventez.
Iuſqu’icy l’abuſée auoit creu me les taire, Mais l’œil eſt aux amants vn mauuais ſecretaire;	Jusqu'ici l'abusée avait cru me les taire, Mais l'œil est aux amants un mauvais secrétaire;
Et l’on voit aisément vn feu bien embrazé, Au trauers du criſtal dont il eſt compoſé;	Et l'on voit aisément un feu bien embrasé, Au travers du cristal dont il est composé;
Cent fois de leurs regards, la rencontre fatale, M'a fait voir cette flame, & monſtré ma riuale;	Cent fois de leurs regards, la rencontre fatale, M'a fait voir cette flamme, et montré ma rivale;
Cent ſouſpirs étouffez, & cent geſtes confus, M'auoient dit le ſecret qu'elle ne cache plus;	Cent soupirs étouffés, et cent gestes confus, M'avaient dit le secret qu'elle ne cache plus;
I’ay mieux leu qu’elle enfin dans ſa propre penſée, Sa bonté pour le Prince eſtoit intereßée, Et penſant m’esblouyr, vouloit moins partãt d’art, Le placer dans mon cœur, qu’en chaſſer Dom Bernard, Mais en vain elle attend l’auis qu’elle doit prẽdre, Sur ce qu'elle me doit, ou permettre, ou deffendre;	J'ai mieux lu qu'elle enfin dans sa propre pensée, Sa bonté pour le Prince était interessée, Et pensant m'éblouir, voulait moins partout d'art, Le placer dans mon cœur, qu'en chasser Dom Bernard, Mais en vain elle attend l'avis qu'elle doit prendre, Sur ce qu'elle me doit, ou permettre, ou défendre;
Où le deßein eſt prix, ſon ordre eſt ſuperflu, Elle n’entreprend pas vn cœur irreſolu;	Où le dessein est prix, son ordre est superflu, Elle n'entreprend pas un cœur irrésolu;
Et quoy qu'elle preſume auecques ſa puißance, Doit craindre mõ amour, plus que moy ſa deffenſe.	Et quoi qu'elle présume auecques sa puissance, Doit craindre mon amour, plus que moi sa défense.
SCEIVEIII DE SECRETAIRE, LEONOR.	SCEIVEII DE SECRÉTAIRE, LEONOR.
LEONOR.	LEONOR.
V’eſt-ce Perés ?	V'est-ce Perrez ?
LE SECRETAIRE.	LE SECRÉTAIRE.
Le Roy touſiours inquieté, S'informe a tous moments queue eſt voſtre ſanté.	Le Roi toujours inquiété, S'informe a tous moments queue est votre santé.
LEONOR.	LEONOR.
Ses ſoings m’honorent trop.	Ses soins m'honorent trop.
LE SECRETAIRE.	LE SECRÉTAIRE.
Il ſe plaind, il ſouſpire, Et vous le poſſedez, auecques tant d’empire, Que toute ſa ſplendeur n’a rien de precieux, A l’egal d’vn regard qu’il reçoit de vos yeux;	Il se plaind, il soupire, Et vous le possédez, avec tant d'empire, Que toute sa splendeur n'a rien de précieux, À l'égal d'un regard qu'il reçoit de vos yeux;
Ce thrône qu’auiourd’huy tout l’vniuers reuere, Eſt vn ſiege, où deſia chacun vous conſidere;	Ce trône qu'aujourd'hui tout l'Univers révère, Est un siège, où déjà chacun vous considère;
Et tous ſes entretiens font aisément iuger, Des paßions qu’il a de vous le partager.	Et tous ses entretiens font aisément juger, Des passions qu'il a de vous le partager.
LEONOR.	LEONOR.
Outre que de l’Eſtat les raiſons importantes;	Outre que de l'État les raisons importantes;
Au party de Nauarre attachent ſes attentes, Ie ne ſçay quel meſpris ſtupide ou genereux, Quelque éclat qu’ait vn thrône, en détourne mes vœux;	Au parti de Navarre attachent ses attentes, Je ne sais quel mépris stupide ou généreux, Quelque éclat qu'ait un trône, en détourne mes vœux;
Ie t’ay mis à la Cour, & croyſans imprudence, Pouuoir ſur vn ſecret, prendre ta confidence, Et m’ozant repoſer ſur ta diſcretion, Intereſſer tes ſoins dedans ma paßion.	Je t'ai mis à la Cour, et croissants imprudence, Pouvoir sur un secret, prendre ta confidence, Et m'osant reposer sur ta discrétion, Intéresser tes soins dedans ma passion.
LE GLERETAINE.	LE GLÈRETAINE.
Si vous m’honorez tant, ie chery moins la vie, Que ie ne feray l’heur de vous auoir ſeruie.	Si vous m'honorez tant, je chéri moins la vie, Que ie ne ferai l'heur de vous avoir servie.
LEONOR.	LEONOR.
Pour Cabrere en vn mot, mon cœur bruſle d’amour:	Pour Cabre en un mot, mon cœur brûle d'amour:
Mais comme ſes vertus charment toute la Cour;	Mais comme ses vertus charment toute la Cour;
Et qu’il treuue par tout des vœux ſi legitimes, Il compte encor l'Infante au rang deſes victimes, Dont le deſſein du mien trauerſera le cours, Si ma flame en ton art ne treuue vn prompt ſecours.	Et qu'il trouve par tout des vœux si légitimes, Il compte encor l'Infante au rang deses victimes, Dont le dessein du mien traversera le cours, Si ma flamme en ton art ne trouve un prompt secours.
Tu peux de Dom Bernard imiter l’écriture, Fay moy de ſon amour vne viue peinture, Couchez y touts les traits, dõt la main d’vn amant Nous peut repreſenter vn ſenſible tourment;	Tu peux de Dom Bernard imiter l'écriture, Fais moi de son amour une vive peinture, Couchez y touts les traits, dont la main d'un amant Nous peut représenter un sensible tourment;
Et dont on peut toucher le cœur d’vne maiſtreſſe, Souſcry là de ſon nom, la ferme & me l’adreſſe.	Et dont on peut toucher le cœur d'une maîtresse, Souscri là de son nom, la ferme et me l'adresse.
Prepare à mon eſpoir cet heureux fondement, Le reſte parmes ſoins, concerté dextrement:	Prépare à mon espoir cet heureux fondement, Le reste parmes soins, concerté dextrement:
Si beaucoup de malheur n'euente l'artifice, De ſes pretentions détruira l’edifice.	Si beaucoup de malheur n'évente l'artifice, De ses prétentions détruira l'édifice.
LE SECRETAIRE.	LE SECRÉTAIRE.
Cent deſpeſches au Roy, que i’ay de Dom Bernard, Me feront imiter ſa lettre auec tant d’art, Et ſi bien ſucceder le glorieux office Que ie me rends moy-meſme, en vous rendant ſeruice, Que Dom Bernard luy meſme, heſiteroit en vain, Et dedans mon ecrit recognoiſtroit ſa main,	Cent dépêches au Roi, que j'ai de Dom Bernard, Me feront imiter sa lettre avec tant d'art, Et si bien succéder le glorieux office Que on me rends moi-même, en vous rendant service, Que Dom Bernard lui -même, hésiterait en vain, Et dedans mon écrit reconnaîtrait sa main,
LEONOR s’en allant.	LEONOR s'en allant.
Ie t'attends, mais ſur tout, ſois diſcret, & fidele.	Je t'attends, mais sur tout, sois discret, et fidèle.
LE SECRETAIRE.	LE SECRÉTAIRE.
Ce ſeruice à l’inſtant, außi prompt que mon zele, Dedans ce cabinet vous va prouuer ma foy, Puis ſur voſtre ſanté, ie reueray le Roy.	Ce service à l'instant, aussi prompt que mon zèle, Dedans ce cabinet vous va prouver ma foi, Puis sur votre santé, je révérai le Roi.
SCLIVETI LE SECRETAIRE ſeul entrant dans le cabinet, où il treuue vne écritoire, du papier, & des lettres de Dom Bernard.	SCLIVETI LE SECRÉTAIRE seul entrant dans le cabinet, où il trouve une écritoire, du papier, et des lettres de Dom Bernard.
A promeſſe m'engage en vn peril extréMrne.	A promesse m'engage en un péril extrême.
Ie trahy D.	Je trahi D.
Bernard, l’Infante, & le Roy meſme;	Bernard, l'Infante, et le Roi même;
Mais quel aueugle ſoin, ne dois-ie à qui ie doy Ce que i'aydans la Cour de credit (S d employ?	Mais quel aveugle soin, ne dois-je à qui belle dois Ce que j'aidans la Cour de crédit (S d emploi?
Et pour qui puis-ie mieux, (ô frayeur importune!	Et pour qui puis-je mieux, (ô frayeur importune!
Que pour qui la ſouſtient, haſarder ma fortune?	Que pour qui la soutient, hasarder ma fortune?
Il lit vne des lettres de D.	Il lit notre des lettres de D.
Bernard.	Bernard.
Sire, par le pacquet qu’on me rend auiourd’huy, I’aprends trop.	Sire, par le pacquet qu'on me rend aujourd'hui, J'aprends trop.
D.	D.
Bernard;	Bernard;
cette lettre eſt de luy	cette lettre est de Seigneur
Il en lit vne autre.	Il en lit autre.
Noſtre entrepriſe, Sire, eſt ſi preſte d’éclore, Qu'auant que le courrier.	Notre entreprise, Sire, est si prête d'éclore, Qu'avant que le courrier.
cette ſeconde encore;	cette seconde encore;
Autre.	Autre.
Sire, auant mon depart, i’aurois executé, Les ordres que i’auois de voſtre Majeſté;	Sire, avant mon départ, j'aurais exécuté, Les ordres que j'avais de votre Majesté;
Sans l’auis important que ie ne vous puis taire.	Sans l'avis important que tu ne vous puis taire.
, Il continuë, ayant leu.	, Il continue, ayant lu.
Sur celle cy ma main forme ton caractere;	Sur celle cy ma main forme ton caractère;
Ce genre d’écriture, a qui tu peux vanter La tienne aſſez conforme, eſt aisé d'imiter;	Ce genre d'écriture, a qui tu peux vanter La tienne assez conforme, est aisé d'imiter;
Il écrit, regardant la lettre de Dom Bernard.	Il écrit, regardant la lettre de Dom Bernard.
EIVE LE ROY, LE SECRETAIRE.	EIVE LE ROY, LE SECRÉTAIRE.
Auray-ie point de trefue, aymable ViolenC Souſpirs deſauoüez qui troublez mon ſilence, Que ma raiſon condamne & ne peut étouffer!	Aurai-je point de trouve, aimable ViolenC Soupirs desauoüez qui troublés mon silence, Que ma raison condamne et ne peut étouffer!
Et d’vn ingrate enfin, ne puis-je triompher?	Et d'un ingrate enfin, ne puis-je triompher?
Dous jetongatemps entorinfupportables flammes, Sans eſpoir d’allegeance,	Dous jetongatemps entorinfupportables flammes, Sans espoir d'allégeance,
LE SECRETAIRE écriuant.	LE SECRÉTAIRE écrivant.
Exercent ſur les ames.	Exercent sur les âmes.
LE DY.	LE DY.
Mais que fait la Perés?	Mais que fait la Perrez?
il ſçait ma paßion, Et s'acquitte ſi mal de ſa commißion?	il sait ma passion, Et s'acquitte si mal de sa commise?
Differant Differant ſa réponſe, il prolonge mes peines;	Différant Différant sa réponse, il prolonge mes peines;
Qu'ecrit-tl t'approthons.	Qu'écrit-tl t'aprothons.
LE SECRETAIRE écriuant.	LE SECRÉTAIRE écrivant.
Des teſtes Souueraines.	Des têtes Souueraines.
LEI OY.	LEI OY.
M'ourdit-il quelque trame, & ſa fidelité Se relaſcheroit-elle à quelque fauſſeté?	M'ourdit-il quelque trame, et sa fidélité Se relâcherait-elle à quelque fausseté?
LE SECREI AIRE écriuant.	LE SÉCREI AIRE écrivant.
Mais, belle Leonor, ſi mon amour extréme;	Mais, belle Leonor, si mon amour extrême;
LE ROY.	LE ROY.
du prpouuumout,mefier tobiet qued'aime!	du prpouuumout,mefier tobjet qued'aime!
LE SECRETAIRE écriuant.	LE SECRÉTAIRE écrivant.
Et les fers glorieux.	Et les fers glorieux.
LE ROY.	LE ROY.
A celle que ie ſers, Parler inſolemment & de feux& de fers!	À celle que ici sers, Parler insolemment et de feuxet de fers!
LE SECRETAIRE écriuant.	LE SECRÉTAIRE écrivant.
L’eclat.	L'éclat.
LE OY.	LE OY.
Oſeroit-il ſçachant que ie l’adore, Pretendre, l’arrogant, aux faueurs que i’implore?	Oserait-il sçachant que . l'adore, Pretendre, l'arrogant, aux faveurs que j'implore?
Auroit-il l’inſolence & la temerité, De former vn deſſein.	Aurait-il l'insolence et la témérité, De former un dessein.
El DLERETAIRE.	Él DLERETAIRE.
Et par ſa pureté.	Et par sa pureté.
LE ROY entrant dans le cabinet.	LE ROY entrant dans le cabinet.
Mais en puis-je eſtre en doute, & ſi long-temps attendre?	Mais en puis-je être en doute, et si longtemps attendre?
LE SECRETAIRE écriuant.	LE SECRÉTAIRE écrivant.
ie prelena,.	Elle prena,.
LE ROY luy arrachant l’écrit.	LE ROY te arrachant l'écrit.
Voyons traiſtre, à quoy tu peux pretendre.	Voyons traître, à quoi tu peux prétendre.
