YV RE, R Y	YU RE, R Y
Ie pourray là deſſus auſſi vous ſatisfaire, Leandre, & Leonor trempent en ceſte affaire, Eux ſeuls quand vous eſtiez en ce faſcheux eſtat, Apres leur mariage ont changé tout l’Eſtat.	Je pourrai là -dessus aussi vous satisfaire, Léandre, et Leonor trempent en cette affaire, Eux seuls quand vous étiez en ce fâcheux état, Après leur mariage ont changé tout l'État.
Depuis, voſtre ſanté leur oſte le courage, Et Leandre n’a guiere a changé de viſage, Pour m'auoir entenan reſponart fentemtne, Que quelqu’autre que vous auoit le diamant.	Depuis, votre santé leur ôte le courage, Et Léandre n'a guière a changé de visage, Pour m'avoir entenan réponart fentemtne, Que quelque autre que vous avait le diamant.
LE ROY.	LE ROY.
Tu n’en as que trop dit, leur ame ambitieuſe Sçaura combien au Ciel la mieme eſt precienfa.	Tu n'en as que trop dit, leur âme ambitieuse Saura combien au Ciel la même est précienfa.
Tâche à leuer la pierre.	Tâche à lever la pierre.
ACTL	ACTL
SCENE SIXIESME.	SCÈNE SIXIÈME.
LILIANE.	LILIANE.
LE ROY.	LE ROY.
FABRICE.	FABRICE.
MELITE.	MELITE.
LE ROY.	LE ROY.
Pproche mon ſoleil, AQue i'égare mes væux deſſus ce teint varmeilMon ame par vn ſort ſi long-temps alterée.	Pproche mon soleil, AQue j'égare mes væux dessus ce teint varmeilMon âme par un sort si longtemps altérée.
Ne ſera qu’en cer fleurs deſormais eſgarée, Mes maux treuuent leur fin en cét heureux moment, Et s’il m’en reſte aucun, c’eſt l’amour ſeulement.	Ne sera qu'en cer fleurs désormais égarée, Mes maux trouvent leur fin en cet heureux moment, Et s'il m'en reste aucun, c'est l'amour seulement.
Leandre, & Leonor, d’vne rage commune, Ont voulu ſur ma perte eſtablir leur fortune, Vois-tu ce diamant?	Léandre, et Leonor, d'une rage commune, Ont voulu sur ma perte établir leur fortune, Vois-tu ce diamant?
FABRICE.	FABRICE.
Enfin ie l’ay desfaict.	Enfin ici l'ai défait.
LE ROY tenant des caracteres ſous la pierre en vn petit morceau de papier.	LE ROY tenant des caractères sous la pierre en un petit morceau de papier.
Ces lettres ont causé ce mal-heureux effect, Efface cét eſcrit, & le remets enſorte, Que ſans aucun danger deſormais ie le porte:	Ces lettres ont causé ce malheureux effet, Efface cet écrit, et le remets ensorte, Que sans aucun danger désormais iele porte:
Ie veux vn peu flatter leurs eſprits languiſſans, En tefmoignan chvot u auon perau te ſens.	Je veux un peu flatter leurs esprits languissants, En tefoignan chvot u ô perau te sens.
Aſit-il reioint, apporte, & cours en ailigence Peur dire que le Roy deſire leur preſence.	Asit-il rejoint, apporte, et cours en ailigence Peur dire que le Roi désire leur présence.
Fabrice ua querir Leandre & Leonor.	Fabrice ua quérir Léandre et Leonor.
LILIANE.	LILIANE.
O Ciel!	Ô Ciel!
qui ueid iamais vn accident pareil!	qui ueid jamais un accident pareil!
Ie doute en cét eſtat ſi ie vois le Soleil.	Je doute en cet état si ici vois le Soleil.
LE ROY.	LE ROY.
Tu vois, chaſte beauté, le Soleil que i’adore, En regardant mes yeux, où tu le peints encore.	Tu vois, chaste beauté, le Soleil que j'adore, En regardant mes yeux, où tu le peints encore.
Dieux que de modeſtie en ce beau front ſe lit, Quand auray-ie, mon cœur, ce ſoleil dans mon lict:	Dieux que de modestie en ce beau front se lit, Quand aurai-je, mon cœur, ce soleil dans mon lit:
Mais i’apperçoy nos gens, prens plaiſir à ma feinte, Et voy combien leur face teſmoigne vne ame atteinte.	Mais j'aperçois nos gens, prends plaisir à ma feinte, Et vois combien leur face témoigne une âme atteinte.
ACTE	ACTE
RCTE	RCTE
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
LE ROY.	LE ROY.
LILIANE.	LILIANE.
LEANDRE.	LÉANDRE.
EBCNOR PHBRICE.	EBCOR PHBRICE.
LE DVC LEANDRL.	LE DUC LEANDRL.
LE COMEH TANCREDE.	LE COMEH HANCREDE.
MELITE.	MELITE.
LEONOR.	LEONOR.
Onſieur, que vous plaiſt il?	Onsieur, que vous plaît -il?
on nous a fait NY ſçauoir, Que voſtre Majeſté deſiroit de nous voir.	on nous a fait NI savoir, Que votre Majesté désirait de nous voir.
LEANSIB.	LEANSIB.
Vous me voyez la main, & l’ame diſpoſée.	Vous me voyez la main, et l'âme disposée.
A quelque intention qui me ſoit propoſée.	À quelque intention qui me soit proposée.
LE ROY, feignant de le prendre pout	LE ROY, feignant de le prendre pout
FABRICE.	FABRICE.
Ha!	Ha!
Fabrice, eſt ce toy?	Fabrice, est ce toi?
que mes yeux ſont contents!	que mes yeux sont contents!
Quel ſort à mes ragards t’a caché ſi long-temps.	Quel sort à mes ragards t'a caché si longtemps.
LEANDRE.	LÉANDRE.
Sire, ie ſuis Leandre.	Sire, Seigneur suis Léandre.
FABRICE.	FABRICE.
Et moy ie ſuis Fabrice, Voyez bien mon viſage, il est ſans artifice, Cette erreur me déplaist, & ſur tout, anjourd’huy Ietrains fuit aqſe pruse age pent auruy.	Et moi nous suis Fabrice, Voyez bien mon visage, il est sans artifice, Cette erreur me déplaît, et sur tout, anjourd'hui Ietrains fuit aqse pruse a pent aurui.
LE DVC ALEXANDRE, auec le COMTE.	LE DUC ALEXANDRE, avec le COMTE.
Sire, le Comte & moy, deuant voſtre puiſſance Venons ſacrifier noſtre humble obeyſſance.	Sire, le Comte et moi, devant votre puissance Venons sacrifier notre humble obéissance.
LE ROY.	LE ROY.
La fortune des Roys abonde en tant d’ennuis, Qu'à peine vous cognois-ie, en l’eſtat où ie ſuis.	La fortune des Rois abonde en tant d'ennuis, Qu'à peine vous connais-je, en l'état où tu suis.
LEONOR, tout bas, à Leandre.	LEONOR, tout bas, à Léandre.
Le Ciel eſt fauorable à noſtre humble priere, Cét anneau l’a remis en ſon erreur premiere.	Le Ciel est favorable à notre humble prière, Cét anneau l'a remis en son erreur première.
IIOTE	IIOTE
SCENE DDIEEIDRCE.	SCÈNE DDIEIDRCE.
LE CAPITAINE DES GARDES.	LE CAPITAINE DES GARDES.
FILENE, &c.	SILÈNE, etc.
IRE, tout est forme, les pont-leurs hauſſez, O Les rateaux abbatus, auons-nous fait aſſez?	IRE, tout est forme, les pont-leurs haussez, Ô Les râteaux abatus, avons-nous fait assez?
I'oubliois d’adiouſter que i’ay faict mettre aux portes Des gardes qui ſeront,& fideles, & fortes.	J'oubliais d'ajouter que j'ai fait mettre aux portes Des gardes qui seront,et fidèles, et fortes.
FILENE, parlant à Fabrice.	SILÈNE, parlant à Fabrice.
Dieux!	Dieux!
qu’eſt-ce que ie voy?	qu'est-ce que ie cy?
que ſes yeux ont d'horreur.	que ses yeux ont d'horreur.
Seroit-il retourné dans ſa premiere erreur?	Serait-il retourné dans sa première erreur?
LE	LE
FABRICE.	FABRICE.
Ouure attentiuement les yeux & les oreilles.	Ouvre attentivement les yeux et les oreilles.
Obſerue le ſilence, & tu verras merueilles.	Observe le silence, et tu verras merveilles.
LE ROY aſſis en ſon troſne.	LE ROY assis en son trône.
Chers Parents, dont les Dieux m’ont donné le ſupport.	Chers Parents, dont les Dieux m'ont donné le support.
Vous, amis, que le Ciel a conduit à mon ſort, Fidelles nourriſſons d’vne heureuſe prouince, Qui n’a d’affection que celle de ſon Prince.	Vous, amis, que le Ciel a conduit à mon sort, Fidèles nourrissons d'une heureuse province, Qui n'a d'affection que celle de son Prince.
Vous ſçauez l’infortune où mes iours ſont reduits, On me doit le repos en l’eſtat où ie ſuis.	Vous savez l'infortune où mes jours sont réduits, On me doit le repos en l'état où tu suis.
La qualité du mal m’eſt encore incertaine, I'en ignore la cauſe, & i’en ſouffre la peine.	La qualité du mal m'est encore incertaine, J'en ignore la cause, et j'en souffre la peine.
Et puis que ie reçoy ſi peu d’allegement, Elle eſt meſme cachée à voſtre iugement.	Et puis que ici reçois si peu d'allégement, Elle est même cachée à votre jugement.
Enfin ma gueriſon ſemblant ſans apparances, I'ay pour vn bien commun deſiré vos preſences, Eſcoutez (chers amis le deſſein que ie fais, Vn ſceptre dans mes mains eſt vn trop rude faix, Ie cognois mes deffaux, & voy qu’il eſt facile, De pouruoir toutefois au bien de la Sicile, Pour acheuer mes iours auec plus de douceur, Ie cede mes ſoucys, & mon ſceptre à ma ſœur:	Enfin ma guérison semblant sans apparances, J'ai pour un bien commun désiré vos présences, Escoutez (chers amis le dessein que sans fais, Votre sceptre dans mes mains est un trop rude faix, Je connais mes défauts, et vois qu'il est facile, De pourvoir toutefois au bien de la Sicile, Pour achever mes jours avec plus de douceur, Je cède mes soucis, et mon sceptre à ma sœur:
Sa naiſſance, & mes vœux la rendent ſouueraine, Recognoiſſez la tous en qualité de Reyne:	Sa naissance, et mes vœux la rendent souveraine, Recgnaissez la tous en qualité de Reine:
Mais pource qu’vne femme eſt foible en tant de ſoing, Vn Roy ſecondera ſa peine, en ce beſoin.	Mais pource qu'une femme est faible en tant de soing, Un Roi secondera sa peine, en ce besoin.
Leandre que le bien de ce Royaume touche, Partagera ſon ſceptre auſſi bien que ſa couche, Offrez à leurs genoux vos armes & vos vœux, Et ne reſiſtez point au deſſein que ie veux.	Léandre que le bien de ce Royaume touche, Partagera son sceptre aussi bien que sa couche, Offrez à leurs genoux vos armes et vos vœux, Et ne résistez point au dessein que sans veux.
LEONOR.	LEONOR.
En ce faſcheux estat, que ſa voix a des charmes!	En ce fâcheux état, que sa voix a des charmes!
Mais feignans à propos, & lâchans quelques larmes:	Mais feignants à propos, et lâchans quelques larmes:
Halreuoquez (Monſieur) cét arreſt rigoureux Nous aurons ſous vos Loix vn destin plus heureux.	Halrevoquez (Monsieur) cet arrêt rigoureux Nous aurons sous vos Lois un destin plus heureux.
EE	CE
LE ROY la faiſant ſeoir pres de luy.	LE ROY la faisant seoir pres de lui.
Quoy?	Quoi?
vous deffende (-vous de ſoulager mes peines?	vous défende (vous de soulager mes peines?
LEONOR.	LEONOR.
Monſieur, diſpenſez-moy.	Monsieur, dispensez-moi.
LE ROY.	LE ROY.
Que ſeruent ces propos?	Que servent ces propos?
Ou l’on doit m’obeyr, ou l’on hait mon repos, Et vous, ſi vous m’apmez, prenez place aupres d’elle, Et ſoyez à ces gens vn Monarque fidelle:	Ou l'on doit m'obéir, ou l'on hait mon repos, Et vous, si vous m'apmez, prenez ace auprès d'elle, Et soyez à ces gens un Monarque fidèle:
ſa pla-Vous conſpirez enſemble à finir mes trauaux, Et ne recognoiſſez, que ces Princes nouueaux.	sa pla-Vous conspirez ensemble à finir mes travaux, Et ne reconnaissez, que ces Princes nouveaux.
LEANDRE.	LÉANDRE.
Sire, diſpenſez moy, d’vne pareille gloire, Dont ie me ſens indigne, & que ie ne puis croire.	Sire, dispensez -moi, d'une pareille gloire, Dont tu me sens indigne, et que ie ne puis croire.
LE ROY Tenez-vous en ce lieu, ne me repliquez point, Beaucoup d’autres voudroi ent m’obeyr en ce point.	LE ROY Tenez-vous en ce lieu, ne me répliquez point, Beaucoup d'autres voudrai ent m'obéir en ce point.
LEANDRE.	LÉANDRE.
Bien que de ces honneurs ie me ſente incapable, de vons votirayspour nestit puint voupable.	Bien que de ces honneurs on me sente incapable, de vons votiraispour nêtit puint voupable.
LE DVC.	LE DUC.
Ces accidens, mon fils, me donnent de l’effroy, Et ie crains de nonueau la cholere du Roy.	Ces accidents, mon fils, me donnent de l'effroi, Et ma crains de nonueau la colère du Roi.
LE COMTE.	LE COMTE.
Avoir ce changement les cheueux me redreſſent.	Avoir ce changement les cheveux me redressent.
Mais ce n’eſt pas à nous que les choſes J'adreſſent.	Mais ce n'est pas à nous que les choses J'adressent.
LE ROY debout.	LE ROY debout.
Puis qu’enfin vous regnez abſolus en ces lieux, Où vous ne releuez que du poeuoir des Cieux, Et qu’il faut deſormais employer vos puiſſances A rendre les bien-faicts,& punir les offences:	Puis qu'enfin vous régnez absolus en ces lieux, Où vous ne relevez que du povoir des Cieux, Et qu'il faut désormais employer vos puissances À rendre les bienfaits,et punir les offenses:
En En ce premier éclat de voſtre dignité, Faistes Sire, à nos yeux briller voſtre équité;	En En ce premier éclat de votre dignité, Faistes Sire, à nos yeux briller votre équité;
Iugeant ſans paſſion d’vn procés d’importance, Digne de vostre oreille, & de Voſtre aſſiſtance:	Jugeant sans passion d'une procès d'importance, Digne de votre oreille, et de Votre assistance:
DuirDrti,à Leonor.	DuirDrti,à Leonor.
Ie tremble à voir l’horreur qui ſur ſon front ſe lit.	Je tremble à voir l'horreur qui sur son front se lit.
LEONOR, Que d’vn prompt changement ſon viſage pallit:	LEONOR, Que d'autre prompt changement son visage pallit:
LE Roy debout, le chapeau à la main.	LE Roi debout, le chapeau à la main.
Sire, le cas eſt tel, vn vaſſal infidelle Ayme la ſœur d’vn Prince, & ſe fait aymer d’elle;	Sire, le cas est tel, un vassal infidèle Aime la sœur d'un Prince, et se fait aimer d'elle;
Ce Prince qui ne craint, ny preuoit ce danger, La promet à l’amour d’vn Monarque eſtranger:	Ce Prince qui ne craint, ni prévoit ce danger, La promet à l'amour d'un Monarque étranger:
Elle y ſemble portée, & toutesfois en l’ame Elle garde touſiours cette premiere flame.	Elle y semble portée, et toutefois en l'âme Elle garde toujours cette première flamme.
Enfin, elle conſpire auecques ſon amant D’oſter le ſceptre au Roy, par vn enchantement.	Enfin, elle conspire auecques son amant D'ôter le sceptre au Roi, par un enchantement.
Ils cherchent vn ſecret:	Ils cherchent un secret:
là-deſſus on déploye Tout ce que la magie en ſes crimes employe.	là-dessus on déploie Tout ce que la magie en ses crimes emploie.
Ils trouuent celuy-cy propre à leur trahiſon, Par vn anneau charmé, le Roy perd la raiſon.	Ils trouvent celui-cy propre à leur trahison, Par un anneau charmé, le Roi perd la raison.
Le voyant en ce point, toutes craintes bannies, Ils ont à ſon deſçeu leurs deux moitiez vnies, Diſposé de l’Eſtat, changé les generaux, Enfin du bien d’vn autre ont fait les liberaux.	Le voyant en ce point, toutes craintes bannies, Ils ont à son déçu leurs deux moitiés unies, Disposé de l'État, changé les généraux, Enfin du bien d'un autre ont fait les libéraux.
A voir ce changement tout le peuple ſouſpire, Qu'ordonne là-deſſus voſtre Majesté, Sire.	À voir ce changement tout le peuple soupire, Qu'ordonne là-dessus votre Majesté, Sire.
LEANDRE dit tout bas à Leonor.	LÉANDRE dit tout bas à Leonor.
Nous ſommes découuerts, le ſort nous a trahis, Mais redonnez le calme à vos ſens esbahys, Et me laiſſez repondre, il eſt vray que l’offence Eſt d’vne qualité, qui paroiſt ſans deffence:	Nous sommes découverts, le sort nous a trahis, Mais redonnés le calme à vos sens ébahis, Et me laissez répondre, il est vrai que l'offense Est d'une qualité, qui paraît sans défense:
Que ie plains les trauaux, que ce Prince a reçeus.	Que quelque plains les travaux, que ce Prince a reçus.
Mais il faut plus long-temps conſulter là-deſſus:	Mais il faut plus longtemps consulter là-dessus:
Deuant que de vuider cette premiere cauſe, Sire, daignez ouyr celle que ie propoſe.	Devant que de vider cette première cause, Sire, daignez ouïr celle que ie propose.
Vn Monarque amoureux d’vne ieune beauté, Dreſſe des rets honteux à ſa pudicité, Et par les doux appas d’vne fauſſe promeſſe, Attire à ſon amour les vœux de ſa maiſtreſſe.	Un Monarque amoureux d'une jeune beauté, Dresse des rets honteux à sa pudicité, Et par les doux appas d'une fausse promesse, Attire à son amour les vœux de sa maîtresse.
Son pere plus prudent qui la voit s’engager, La deſtine à l’amour d’vn Seigneur eſtranger.	Son père plus prudent qui la voit s'engager, La destine à l'amour d’un Seigneur étranger.
Le Roy par elle meſme apprend cette nouuelle, Et fait ſaiſir le pere, & l’Amant de la belle, Pour eſteindre à ſouhait ſes laſciues amours, Il met ces deux ſeigneurs en danger de leurs iours.	Le Roi par elle -même apprend cette nouvelle, Et fait saisir le père, et l'Amant de la belle, Pour éteindre à souhait ses lâciues amours, Il met ces deux seigneurs en danger de leurs jours.
Et deuant ſes Estats les declare coupables D’vn crime ſupposé dont-ils ſont incapables;	Et devant ses États les déclare coupables D'un crime supposé dont-ils sont incapables;
Sire, vous deſpoüillant de toute paſſion, Qu’auriez-vous estimé de ſemblable action?	Sire, vous dépouillant de toute passion, Qu'auriez-vous estimé de semblable action?
Pour moy, ie n’y vois point d’excuſes legitimes, Si ce n’eſt que l’amour eſt autheur de ces crimes, A iuger ſainement, ſes aueugles accez Ont cauſé le premier, & le ſecond procés:	Pour moi, Seigneur n'y vois point d'excuses légitimes, Si ce n'est que l'amour est auteur de ces crimes, A juger sainement, ses aveugles accès Ont causé le premier, et le second procès:
Que peut-on d’vn enfant deſirer de vengeance?	Que peut-on d'un enfant désirer de vengeance?
Auec luy la raiſon n’a point d’intelligence.	Avec ici la raison n'a point d'intelligence.
Et ſi ie dois à tous donner mon ingement, Ie pardonne leur faute à leur aueuglement:	Et si ici dois à tous donner mon ingement, Je pardonne leur faute à leur aveuglement:
D’autant plus iuſte arreſt qu’en la premiere offence, On n’a point ſecoüé le ioug d’obeyſſance:	D'autant plus juste arrêt qu'en la première offense, On n'a point secoué le joug d'obéissance:
Que cét humble ſuiet, n’a point affection, Que de cueillir les fruicts de ſon ambition:	Que cet humble sujet, n'a point affection, Que de cueillir les fruits de son ambition:
Il ſe iette à genoux, & Leandre continuë.	Il se jette à genoux, et Léandre continue.
Sire, deuant les Dienute hmnerie iure, Attendant Attendant a vos pieds pardon de ſon imure,	Sire, devant les Dienvte hannerie jure, Attendant Attendant à vos pieds pardon de son imure,
LE ROY, en cholere.	LE ROY, en colère.
Traiſtres, c’eſt vainement, que vous m’auez ſurpris, Vne honteuſe mort vous ſeruira de prix.	Traîtres, c'est vainement, que vous m'avez surpris, Une honteuse mort vous servira de prix.
Alexandre, il eſt vray, cette rare merueille Faict des coups ſans pareils, comme elle eſt ſans pareille Vne laſciue ardeur eſtouffoit ma raiſon, Mon crime, & non le voſtre a fait vostre priſons Ie n’auois reſolu vostre iniuste ſeruage, Qu’affin de differer vn ſi prompt mariage, Et cueillir cependant les fruicts delicieux, Que m’a touſiours niez cét object precieux.	Alexandre, il est vrai, cette rare merveille Fait des coups sans pareils, comme elle est sans pareille Une lasciue ardeur étouffait ma raison, Mon crime, et non le vôtre a fait votre prisons Je n'avais résolu votre injuste servage, Qu'affin de différer un si prompt mariage, Et cueillir cependant les fruits délicieux, Que m'a toujours niés cet object précieux.
Mais ie ſouſpire enfin d’vne flame plus ſaincte, Pour l'hymen ſeulement, ie ſents mon ame atteinte, Vne autre, de ce Prince enchantera les ſens, Et i’offre ma Couſine à ſes vœux innocens.	Mais ici soupire enfin d'une flamme plus sainte, Pour l'hymen seulement, notre sents mon âme atteinte, Une autre, de ce Prince enchantera les sens, Et j'offre ma Cousine à ses vœux innocents.
ALEXANDRE.	ALEXANDRE.
Ie uonit jui le ſuis, & mon ame eſt troublée, Avoir de tant de biens ma fortune comblèe.	Je vuonit jui le suis, et mon âme est troublée, Avoir de tant de biens ma fortune comblée.
Apres cette faueur, que ie brize les pas Du Roy le plus diuin qui preſide icy vas.	Après cette faveur, que ici brize les pas Du Roi le plus divin qui préside ici vas.
TANCREDE.	TANCREDE.
Et moy, puïſ-ie monstrer par des vœux aſſeZ dignes, Combien ie ſuis ſenſible à ces faueurs inſignes.	Et moi, puis-je montrer par des vœux assez dignes, Combien ces suis sensible à ces faveurs insignes.
LE ROY,à Alexandre.	LE ROY,à Alexandre.
SoyeZ iuge du reste, & que vostre equité Donne vn iuste ſupplice à leur temerité, Affin que deſormais, ils vous doiuent la vie, Ou que par vostre arrest elle leur ſoit rauie.	SoyeZ juge du reste, et que votre équité Donne un juste supplice à leur témérité, Affin que désormais, ils vous doivent la vie, Ou que par votre arrêt elle leur soit ravie.
LE DVC.	LE DUC.
Si cet honneur est ioint à ceux que i’ay receus.	Si cet honneur est joint à ceux que j'ai reçus.
le vous puis en deux mots contenter la-deſſus, Nous eſprouuons pour nons, vostre humeur trop humaine, Pour croire, qu'elte puiſſe incliner à leur peine, Voyant en leur trepas, voſtre ſang aſſailly, Vous ſouffririeZ comme eux, & n’auez point failly, Ce malheur troubleroit nos voluptez diuines, Cueillons, Sire, cueillons des roſes ſans eſpines Et puis qu’un chaſte hymen a conioinct leurs eſprits.	le vous puis en deux mots contenter la-dessus, Nous éprouvons pour nons, votre hum trop aine, Pour croire, qu'élte puisse incliner à leur peine, Voyant en leur trépas, votre sang assailly, Vous souffririez comme eux, et n'avez point failli, Ce malheur troublerait nos volupté divines, Cueillons, Sire, cueillons des roses sans épines Sans puis puisqu'un chaste hymen a conioinct leurs esprits.
N’accuſez que l’ameur de ce droit qu’ils ont pris:	N'accusez que l'ameur de ce droit qu'ils ont pris:
Qu’aux traicts de la pitié voſtre paſſion cede, Et permettez vn mal qui n’a point de remede, Si vous les deſirez eſtoigneZ de la Cour, Offrez leur quelque lieu iuſques à leur retour.	Qu'aux traits de la pitié votre passion cède, Et permettez un mal qui n'a point de remède, Si vous les désirez étoignez de la Cour, Offrez leur quelque lieu jusques à leur retour.
LE ROY.	LE ROY.
Mon pieux naturel confirme la ſentence, I’accorde voſtre grace à voſtre repentence, I’aut horiſe l’hymen dont vous eſtes vnis, Et ſouhaitte à vos iours des bonheurs infinis, Auec condition pourtant que dans vne heure, vous vons diſpoſerez à changer de demeure:	Mon pieux naturel confirme la sentence, J'accorde votre grâce à votre repentence, J'aut horise l'hymen dont vous êtes unis, Et souhaite à vos jours des bonheurs infinis, Avec condition pourtant que dans une heure, vous vons disposerez à changer de demeure:
Saragoce eſt le lieu de ce banniſſement, Qui ne finira point qu’à mon commandement,	Saragoce est le lieu de ce bannissement, Qui ne finira point qu'à mon commandement,
LEONOR.	LEONOR.
Voila trop obliger nos ames criminelles, Nous vous deuons, Monſieur, des graces eternelles.	Voilà trop obliger nos âmes criminelles, Nous vous devons, Monsieur, des grâces éternelles.
LE ROY, à Fabrice.	LE ROY, à Fabrice.
Et toy, qui m'és plus cher que tu ne peux penſer, Croy que ie t’ayme aſſez pour te recompenſer;	Et toi, qui m'avez plus cher que tu ne peux penser, Crois que je t'aime assez pour te récompenser;
Cher demon des plaiſirs, ſorts du ſain de ta mere, N’habite plus, Amour, ny Paphe, ny Cythere, Rends nos cœurs fortunez entre tous les humains, Epanche ſur nos licts des fleurs à plaines mains, Fay des arcs tous de ſoye, & détache la corde, Dont auecques l’amour tu pouſſes la diſcorde:	Cher démon des plaisirs, sorts du sain de ta Mère, N'habite plus, Amour, ni Paphe, ni Cythère, Rends nos cœurs fortunés entre tous les humains, Épanche sur nos lits des fleurs à plaines mains, Fais des arcs tous de soie, et détache la corde, Dont toujours l'amour tu pousses la discorde:
N'estably dans ces lieux, que tes prus aontes toix, Et peuple par nous deux, la Sicile de Rois.	N'établi dans ces lieux, que tes prus aontes toix, Et peuple par nous deux, la Sicile de Rois.
FIN	FIN
