PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
O precieux butin, tu prens ceux qui t’ont pris, D'vn rais de ton bel œil tu m'enflâmes épris, Ie brûle, & la pitié me tranſit la poitrine, Des pleurs qu'elle respant ſur ſa face pourprine, Induite Induite à mon auis par le malheur preſent, De ce pauure blecé aupres d’elle giſant;	Ô précieux butin, tu prends ceux qui t'ont pris, D'un rais de ton bel œil tu m'enflammes épris, Je brûle, et la pitié me transit la poitrine, Des pleurs qu'elle respant sur sa face pourprine, Induite Induite à mon avis par le malheur présent, De ce pauvre blé auprès d'elle gisant;
Ie l’arraiſonneray, ou celeſte, ou mortelle.	Je l'arraisonnerai, ou céleste, ou mortelle.
Beauté qui que tu ſois, des beautez la plus belle, Chaſſe, chaſſe la peur qui ſe gliſſe en tes os, Ie ne viens point icy pour troubler ton repos, De noſtre qualité l’aparence t’abuſe, Vers ton ſexe inocent d’autre force elle n’vſe, Que douce, & naturelle, ainſy que tu verras.	Beauté qui que tu sois, des beautés la plus belle, Chasse, chasse la peur qui se glisse en tes os, Je ne viens point ici pour troubler ton repos, De notre qualité l'apparence t'abuse, Vers ton sexe inocent d'autre force elle n'une, Que douce, et naturelle, ains que tu verras.
Lors qu’à moy librement tu te déclareras, De nom, de nation, & ſi quelque autre choſe, Aux amis implorez merite eſtre décloſe, Ne me cele donc rien, raconte-moy ton ſort, Et quel bon-heur pour nous te conduit à ce bord	Lors qu'à moi librement tu te déclareras, De nom, de nation, et si quelque autre chose, Aux amis implorez méritei estre déclose, Ne me cèle donc rien, raconte-moi ton sort, Et quel bonheur pour nous te conduit à ce bord
CARICLE’E.	CARICLÉLÉ.
Comande, que Phebus recomence ſa courſe, Si tu veux de nos maux ſçauoir la triſte ſources Encor ſeroit-ce peu, & encor la douleur, Empreinte là dedans de ce recent malheur, Boucheroit le canal de ma voix ſanglotante;	Comande, que Phebus recommence sa course, Si tu veux de nos maux savoir la triste sources Encor serait-ce peu, et encor la douleur, Empreinte -là dedans de ce récent malheur, Boucherait le canal de ma voix sanglotante;
Donques pour maintenant l’impoßible ne tente;	Donc pour maintenant l'imposible ne tente;
Done à ces affligez la trefue d'vne nuit, Que la Grece natale a de ſon ſein produit, Que loin de ſon ſecours vn Ciel barbare oprime, Sans qu’ils ſoient enuers luy coupables d’aucũ crime Et ne ſepare auſsy ce couple fraternel, Que le ſang a conioint d’vn aymant Eternel, Où du fer que ie tien ma poitrine percée, Vengera contre nous la rigueur exercée.	Done à ces affligez la trêve d'une nuit, Que la Grèce natale a de son sein produit, Que loin de son secours un Ciel barbare oprime, Sans qu'ils soient enversîle coupables d'aucun crime Et ne sépare aussi ce couple fraternel, Que le sang a conjoint d'un aimant Éternel, Où du fer que je tien ma poitrine percée, Vengera contre nous la rigueur exercée.
6 O ------- ------ O	6 Ô -- -est- Ô
THYAMIS.	THYAMIS.
Ne t’en tourmente plus, cela t’eſt acordé, Ie mourois parauant qu’vn deſir debordé Attentaſt deſſur toy ſorce en choſe du monde, Et afin que l’éfet aux paroles réponde, Toy Gnémon, pren ſoucy, de meſme nation, Pren ſoucy, que laiſſez en ta protection, Ils ne manquent de rien, qu’à leurs ſecours s’ẽploye Tout ce que nous pourons, & quãt à noſtre proye, Le partage à demain par la nuit eſt remis, Mntin importe pas) en main ſûre commis.	Ne t'en tourmente plus, cela t'est acordé, Je mourais paravant qu'un désir debordé Atentast dessur toi sotce en chose du monde, Et afin que l'éfet aux paroles réponde, To Gnémon, pren souci, de même nation, Pren souci, que laissez en ta protection, Ils ne manquent de rien, qu'à leurs secours s'ẽploye Tout ce que nous pourrons, et quand à notre proie, Le partage à demain par la nuit est remis, Maîntin onde pas) en main sûre commis.
ACTE II.	ACTE II.
CARICLLES PILAGENE, ET GNEMON.	CARICLLES PILAGENE, ET GNEMON.
SCENE I.	SCÈNE I.
CARICLE'E, & THEAGENE.	CARICLÉLÉ, et THÉAGENE.
CARICLÉE.	CARICLÉE.
Vit, mere du ſilence, en faueur de ton ombre, TN Ie reſſoupireray mon larmoyable encõbre Ie ſacreray mes pleurs à ta Diuinité, Qui ſeule m’as montré quelque benignité:	Vit, mère du silence, en faveur de ton ombre, TN Je ressoupirerai mon larmoyable encre Je sacrerai mes pleurs à ta Divinité, Qui seule m'as montré quelque bénignité:
Enten Déeſſe, enten mes angoiſſeuſes plaintes,	Enten Déesse, enten mes angoisseuses plaintes,
Voy du ſort contre nous les dernieres ateintes, Noſtre couple à l’enuy de ſa rage outragé, Mon honeur en la main des brigans engagé, Theagene na vré de bleſſures mortelles, Et bien (ô cruauté) qu’elles ne fuſſent telles, Eſclaue detenu, on me l’ira voler, On ira l’amitié de nous deux violer:	Vois du sort contre nous les dernières ateintes, Notre couple à l'envi de sa rage outragé, Mon honeur en la main des brigants engagé, Thagène na vré de blessures mortelles, Et bien (ô cruauté) qu'elles ne fussent telles, Esclave détenu, on me l'ira voler, On ira l'amitié de nous deux violer:
D’auouër qu’il eſt mien, ie rauiray ſa vie, Vn plaiſir debatu n’amorce que l'enuie, Alors que la raiſon cede à la cruauté:	D'avouer qu'il est mien, Elle ravirai sa vie, Un plaisir débattu n'amorce que l'envie, Alors que la raison cède à la cruauté:
O iniques deſtins !	Ô iniques destins !
ô marâtre beauté, Que tes freſles preſens balancez de nature;	ô marâtre beauté, Que tes frêles prés balancés de nature;
.	.
Courent parmy le monde vne étrange auanture;	Courent parmi le monde une étrange aventure;
Que tu es redoutable, il vaudroit mieux loger, Chez nous l’hoſte plus fier d’vn antre bocager, Il ne meurtrit qu’vn coup, mais ta peur continuë, Mile fois à meurtry celles qui t’ont tenuë:	Que tu es redoutable, il vaudrait mieux loger, Chez nous l'hôte plus fier d'un antre bocager, Il ne meurtrit qu'un coup, mais ta peur continue, Mile fois à meurtri celles qui t'ont tenue:
Mile fois en vne heure, & cent mile chardons, Acompagnent ta fleur, qu’en vn clin nous perdõs:	Mile fois en une heure, et cent mile chardons, Acompagnent ta fleur, qu'en un clin nous perdons:
Ha!	Ha!
que ie te maudis, ha!	que Elle te maudis, ha!
que ie te déteſte, Ains le iour qui m’ouurit la lumiere Celeſte, Pountrejterquummomat metoile d ennnys, Vne toile ſans bout, qu’acheuer ie ne puis;	que ie te déteste, Ains le jour qui m'ouvrit la lumière Celeste, Pountrejouterquummomat met doyle ennis, toile sans bout, qu'achever un ne puis;
Ie ne puis l’acheuer que ma vie acheuée, Que ie n'aye la mort qui je cache trouuée.	Je ne puis l'achever que ma vie achever, Que Que n'aie la mort qui je cache trouuée.
THEAGENE.	THÉGENE.
Ma chere âme, dequoy vous profitent ces eris?	Ma chère âme, dequoy vous profitent ces eris?
Il faut qu'vn doux eſpoir conſole nos eſpris:	Il faut qu'un doux espoir console nos épris:
Les aſtres mutinez, le Ciel, & la fortune, Ne nous peuuent braſſer plus d’iniures, fors qu'vne, Lors que de conspirer ſur voſtre chaſteté, Mais Dieux, chez qui les bõs treuuent leur ſeureté, Si la voix inocente à voſtre trôſne paſſe, Détournez ce mechef, détournez-le de grace;	Les astres mutinés, le Ciel, et la fortune, Ne nous peuvent brasser plus d'injures, fors qu'une, Lors que de conspirer sur votre chasteté, Mais Dieux, chez qui les bons trouvent leur sûreté, Si la voix inocente à votre trône passe, Détournez ce mâches, détournez-le de grâce;
Oppoſez au deſtin, voſtre iuſte pouuoir, Où bien qu’à tout le moins ie ne le puiſſe voir:	Opposez au destin, votre juste pouvoir, Où bien qu'à tout le moins ie ne le puisse voir:
Englouty, preuenu de la tombe prochaine, Ha!	Englouti, prévenu de la tombe prochaine, Ha!
quel exemple en nous de la miſere humaine	quel exemple en nous de la misère humaine
CARICLE’E.	CARICLÉLÉ.
Taiſons-nous, i’aperçoy noſtre garde aprochen, Eueillé des regrets que venons d’épancher.	Taisons-nous, j'aperçois notre garde approchen, Éveillé des regrets que venons d'épancher.
SCENE II.	SCÈNE II.
GNE’MON, THEAGENE, CARICLEE.	GNE'ON, THÉLEAGENE, CARICLE.
GNEMON.	GNEMON.
JRenez courage amis, auec le temps i’eſpere, I Que vous ainſy que moy, ſortirez de miſere, Egaux d’affliction, d’ennuis, & de malheurs, Il n’eſt pas, qu’vn Soleil ne deſſeiche nos pleurs, Que nez ſous le climat d’vne meſme patrie, La fortune, à preſent contraire, ne nous rie;	JRenez courage amis, avec le temps j'espère, I Que vous ainsi que moi, sortirez de misère, Égaux d'affliction, d'ennuis, et de malheurs, Il n'est pas, qu'un Soleil ne desseiche nos pleurs, Que nez sous le climat d'une seule patrie, La fortune, à présent contraire, ne nous rie;
Tandis, vſez de moy ſelon l’affliction, Vous conoiſtrez comment i’ayme ma nation.	Tandis, vsez de moi selon l'affliction, Vous conoistrez comment j'aime ma nation.
THEAGENE.	THÉGENE.
O puiſſant Apollon, as-tu ie te ſuplie, Contre nous en ce point ta fureur amolie?	Ô puissant Apollon, as-tu ie te supplie, Contre nous en ce point ta fureur amolie?
As-tu daigné grand Dieu, pouruoir noſtre priſon, D'vn geolier ſi traittable;	As-tu daigné grand Dieu, pourvoir notre prison, D'un geôlier si traitable;
or de quelle maiſon, Et de quelle Cité aurois-tu pris naiſſance?	or de quelle maison, Et de quelle Cité aurais-tu pris naissance?
Depuis quand t’ont ceux-cy en leur obeïſſance?	Depuis quand t'ont ceux-cy en leur obéissance?
GNE’MON.	GNE'ON.
Cette ville qui mit en dispute des Dieux, Dont le ſuperbe nom vole dedans les Cieux, Athenes m’éleua, cette fameuſe Athenes, Noble mere des arts, & des bons Capitaines:	Cette ville qui mit en dispute des Dieux, Dont le superbe nom vole dedans les Cieux, Athène m'éleva, cette fameuse Athène, Noble mère des arts, et des bons Capitaines:
Vn vieillard trop credule, vn premier Senateur, Ariſtipe nommé, i’eus pour mon geniteur.	Un vieillard trop crédule, un premier Sénateur, Aristipe nommé, j'eus pour mon géniteur.
CARIGLE’E.	CARIGLÉLÉ.
Reſte à nous declarer quelle déconuenuë, Te ſepare de luy en ſon âge chenuë.	Reste à nous déclarer quelle déconvenue, Te sépare de même en son âge chenue.
GNEMON.	GNEMON.
De ce triſte recit vüeillez-moy diſpenſer, Le cœur dans l’eſtomac me ſaigne du penſer, N’aioûtez vn ſurfaix à ma douleur peſante, Et ne me ſondez plus cette playe cuiſante, Auſsy bien, auez-vous beſoin de ſomeiller, Et la nuit en diſcours conuiendroit écouler.	De ce triste récit veillez-moi dispenser, Le cœur dans l'estomac me saigne du penser, N'aioûtez un surfaix à ma douleur pesante, Et ne me sondez plus cette plaie cuisante, Aussy bien, avez-vous besoin de someiller, Et la nuit en discours conviendrait écouler.
THEAGENE.	THÉGENE.
Rien moins, il n’eſt ſoulas pareil aux miſerables, Que les entretenir de malheurs comparables;	Rien moins, il n'est soûlas pareil aux misérables, Que les entretenir de malheurs comparables;
On ſent des maux d’autruy ne ſçay quel réconfort, Qui nous remplit d’eſpoir le courage plus fort:	On sent des maux d'autrui ne sais quel réconfort, Qui nous remplit d'espoir le courage plus fort:
Non qu’ils nous ſoient plaiſans, que l’on s’en é ioüiſſe, – Sinon que pour forcer enſemble vn précipice, S’entr’ ayde, ſe preter vn mutuel ſecours;	Non qu'ils nous soient plaisants, que l'on s'en é ioüisse, Sinon que pour forcer m y, Sentr’ aide, se prêter mutuel secours,
Voilà dequoy nous peut proufiter ton diſcours, Car nos yeux interdits aux pauots de Morphée, Voudroient reuoir du iour la lumiere échaufée:	Voilà dequoy nous peut profiter ton discours, Car nos yeux interdits aux pauls de Morphée, Voudraient revoir du jour la lumière échauffée:
GNE’MON.	GNE'ON.
Ie me forceray donc de vous déduire vn peu Comment i'ay le courous des Celeſtes repeu, Soufert tous les trauaux que ſoufre vn innocence Oprimée, inconuë, à faute de puiſſance.	Je me forcerai donc de vous déduire un peu Comment j'ai le courous des Célestes repeu, Souffert tous les travaux que souffre un innocence Oprimée, inconue, à faute de puissance.
Mon pere, bien auant en l’ariere ſaiſon, D’vne femme épouſa la ſeconde priſon:	Mon père, bien avant en l'arière saison, D'une femme épousa la seconde prison:
Ieune, inepte à ſon âge, & qui du change amie, Marâtre luy procure vne telle infamie:	Jeune, inepte à son âge, et qui du change amie, Marâtre te procure une telle infamie:
A peine auoy-ie alors franchy la puberté, Nouice de l’amour, & à ma liberté, Tel qu'vn ieune poulain deſſur le gras herbage A la ſelle nouueau, ainſy qu’au labourage:	À peine avoi-je alors franchi la puberté, Novice de l'amour, et à ma liberté, Tel qu'un jeune poul dessur le gras herbage À la selle nouveau, ains qu'au labourage:
L’impudique, de moy s’enflâme à vn inſtant, Et petit à petit ſon feu la va domtant, Elle aproche de moy, ſes careſſes elle augmente, D’autant que ce deſir s’acroiſt, & la tourmente;	L'impudique, de moi s'enflamme à un instant, Et petit à petit son feu la va domptant, Elle approche de moi, ses caresses elle augmente, D'autant que ce désir s'acrait, et la tourmente;
De preſens enfantins, de diſcours blandiſſans, Elle apâte mon ame, & allege mes ſens;	De presens enfantins, de discours blandissants, Elle apâte mon âme, et allège mes sens;
Or me nome ſon cœur, tantoſt ſa douce vie, Maintenant ſon espoir, & ore ſon enuie;	Or me nome son cœur, tantôt sa douce vie, Maintenant son espoir, et ore son envie;
Inutiles moyens, vers qui l’âge indiſcret Ne pouuoit pénetrer en l’amoureux ſecret;	Inutiles moyens, vers qui l'âge indiscret Ne pouuoit pénétrer en l'amoureux secret;
Secret inceſtueux, ſecret dont la pointure, Me couſte ces malheurs aidé de l’impoſture, Que ce farouche, horrible, & maudit animal, Déploya pour me voir inſenſible à ſon mal:	Secret incestueux, secret dont la pointure, Me coûte ces malheurs aidé de l'imposture, Que ce farouche, horrible, et maudit animal, Déploya pour me voir insensible à son mal:
Vous entendreZ comment) par chacunes anées, A Athenes ſe font les iours Parathenées, Iours ſacreZ à Pallas, en ſon honeur feſtez, Iours auſquels du public les affaires traictez, Mon pere conuoqué dedans l’Hoſtel de ville;	Vous entendrez comment) par chacunes anées, A Thènes se font les jours Parathenées, Jours sacrés à Pallas, en son honneur fêtez, Jours auxquels du public les affaires traités, Mon père convoqué dedans l'Hôtel de ville;
Helas!	Hélas!
ce ſouuenir en larmes me diſtile:	ce souvenir en larmes me distyle:
Y ſejourne la nuit, nuict!	Y séjourne la nuit, nuit!
execrable nuit!	exécrable nuit!
Qui braſſe ſa ruine, & la mienne pourſuit!	Qui brasse sa ruine, et la mienne poursuit!
Nuit qui ſouſle l’audace en l'ardente poitrine De cette venimeuſe, & redoutable Erine, L’inspire de venir me trouuer en mon lit, La requeſte adreſſer de Phedre à Hyppolit:	Nuit qui soûle l'audace en l'ardente poitrine De cette venimeuse, et redoutable Erine, L'inspire de venir me trouver en mon lit, La requête adresser de Phèdre à Hypolit:
O Cieux!	Ô Cieux!
quel poil alors ne heriſſa ma teſte, En ce corps feminin voyant vn cœur de beſte:	quel poil alors ne hérissa ma tête, En ce corps féminin voyant un cœur de bête:
Ma voix, fut vne eſpace atachée au goſier, Et ma glace ne fit qu’acroiſtre ſon braſier, Mon refus l’oſtiner de prieres, de larmes, Coup, ſur coup, me liurant de plus chaudes alarmes, Qui ſans fruit neantmoins ne m’ébranlerent plus, Que s’ébranle vn grand roc de l’ordinaire flus.	Ma voix, fut une espace atachée au gosier, Et ma glace ne fit qu'acroître son brasier, Mon refus l'ostiner de prières, de larmes, Coup, sur coup, me livrant de plus chaudes alarmes, Qui sans fruit néanmoins ne m'ébranlèrent plus, Que s'ébranle un grand roc de l'ordinaire flus.
