A 3591.	À 3591.
Seigneur, conſiderez où la douleur vous porte?	Seigneur, considérez où la douleur vous porte?
SIFROY.	SIFROY.
Ah Leris!	Ah Léris!
que n’eſt-elle encore vn peu plus fo te;	que n'est-elle encore un peu plus fo te;
Et pour punir ſa mort par vn iuſte trépas, Que mon cœur ne fait-il ce que n’oſe mon bras, Et que ne l’a ſuit il où ſon ombre m’appelle.	Et pour punir sa mort par un juste trépas, Que mon cœur ne fait-il ce que n'ose mon bras, Et que ne l'a suit -il où son ombre m'appelle.
LERIS.	LERIS.
L’ombre d'vne innocente eſt-elle ſi cruelle?	L'ombre d'une innocente est-elle si cruelle?
SIFROY.	SIFROY.
Puiſque mon mal ne peut autrement ſe guerir Le regret de ſa mort me doit faire mourir:	Puisque mon mal ne peut autrement se guérir Le regret de sa mort me doit faire mourir:
Et ſi ie ne la puis ſuruiure dauantage, Ie ne dois expirer qu’adorant ſon image.	Et si ici ne la puis survivre davantage, Je ne dois expirer qu'adorant son image.
A pprouue, cher objet, ta vengeance & ma mort, Mais ces traits ſont trop!	À pprouve, cher objet, ta vengeance et ma mort, Mais ces traits sont trop!
doux pour faire cét efhifort CiIMe ni jieiC.	doux pour faire cet efhifort CiIMe ni jiC.
CBi Reſtes de mafureur, adorable relique Voy l’honneur que ie rends à ta beauté pudique Dont l’aimable modelle eſt placé dans les Cieux, Ne me reproche plus ton ſupplice à mes yeux, Ou bien pour mieux vanger ton diuin exemplaire, Anime tes couleurs d’vn iuſte colere.	CUli Restes de mafureur, adorable relique Vois l'honneur que ie rends à ta beauté pudique Dont l'aimable modèle est placé dans les Cieux, Ne me reproche plus ton supplice à mes yeux, Ou bien pour mieux venger ton divin exemplaire, Anime tes couleurs d'un juste colère.
Sers-toy de tous ces traits pour me perſecuter Car c’eſt en cela ſeul que tu peux m’imiter.	Sers-toi de tous ces traits pour me persécuter Car c'est en cela seul que tu peux m'imiter.
SCENE IV.	SCÈNE IV.
SIFROY.	SIFROY.
LERIS.	LERIS.
GOLO.	GOLO.
SIFROY, ſe leuant bruſquement.	SIFROI, se levant brusquement.
Golo?	Golo?
dans ſon ſupplice, Auons-nous bien gardé les fotmes de juſtice?	dans son supplice, Avons-nous bien gardé les fotmes de justice?
mous-tu point trop de zele, & moy trop de chaleur?	mous-tu point trop de zèle, et moi trop de chaleur?
uorson aucre toncruſe & mon mal-neur ;	Quorson aucre toncruse et mon malheur ;
GOLO.	GOLO.
De qui me parlez.	De qui me parlez.
vous!	vous!
SIFROY.	SIFROY.
Ie parle de ma femme.	Je parle de ma femme.
GOLO.	GOLO.
Tient-elle encor, Seigneur, ce rang dedans voſtre ame?	Tient-elle encor, Seigneur, ce rang dedans votre âme?
Ne m’interrogez pas, interrogez les loix;	Ne m'interrogez pas, interrogez les lois;
Et voyez les tourmẽs dont vous auiez le choix, Et que meritoient bien de ſi ſanglans outrages, Si vous euſſiez remis cette affaire, aux ſuffrages.	Et voyez les tourments dont vous aviez le choix, Et que méritaient bien de si sanglants outrages, Si vous eussiez remis cette affaire, aux suffrages.
GOLO.	GOLO.
Que-vôtre amour deuoit rencontret plus de foy.	Que-vôtre amour devait rencontret plus de foi.
DITROT.	DITROT.
Quelle raiſon encor rend ſa mort legitime?	Quelle raison encor rend sa mort légitime?
GOLO.	GOLO.
L’excez de voſtre amour & celuy de ſon orime.	L'excès de votre amour et celui de son orime.
SIFROY.	SIFROY.
Elle ne l’a pas fait, ie connoiſſois ſon cœur.	Elle ne l'a pas fait, ie connaissais son cœur.
Cenes.	Cène.
L’amour pour le corrompre eſt vn ſubtil trompeur.	L'amour pour le corrompre est un subtil trompeur.
SIFROY.	SIFROY.
La ſeule pieté regnoit dans ſa belleame.	La seule piété régnait dans sa belleame.
GOLO.	GOLO.
C'eſt ſouuent ſous ce feu qu’il entretiẽt ſa flâme.	C'est souvent sous ce feu qu'il entretiêt sa flamme.
C’eit vn ponon chaimant, uont la mangnité, Sçait ſe gliſſer par tout auec ſubtilité, Et comme il eſt autheur des ruſes & des feintes Il ſe fait vn bandeau des choſes les plus ſaintes.	C'est un pon chaimant, ôtes la mangnité, Sait se glisser par tout avec subtilité, Et comme il est auteur des ruses et des feintes Il se fait un bandeau des choses les plus saintes.
SIFROY.	SIFROY.
C’eſt luy qui dans mon cœur luy dreſſe des Autels, Où ie luy rends l’honneur qu’on doit aux immortels.	C'est assez qui dans mon cœur lui dresse des Autels, Où ie tu rends l'honneur qu'on doit aux immortels.
GOLO.	GOLO.
Son repentir a pû luy meriter ſa grace, Sans que ſur des Autels elle doiue auoir place, Les crimes les plus noirs ſeroient authoriſez, Si leurs Autheurs eſtoient ainſi canoniſez.	Son repentir a pû lui mériter sa grâce, Sans que sur des Autels elle doive avoir place, Les crimes les plus noirs seraient autorisez, Si leurs Auteurs étaient ainsi canonisés.
SIFROY.	SIFROY.
N’appelle pas peché ce qui fut vn deſaſtre, Qui ſert à rehauſſer l'éclat d’vn ſi bel aſtre;	N'appelle pas péché ce qui fut un désastre, Qui sert à rehausser l'éclat d ' bel astre;
Mais toy qui ſeul pouuois me retenir le bras Deuois-tu me pouſſer à ſigner ſon trépas?	Mais toi qui seul pouvais me retenir le bras Deuais-tu me pousser à signer son trépas?
GOLO.	GOLO.
Quelque compaſſion que i'euſſe alors pour elle, Ie craignois en ce point de vous eſtre infidelle.	Quelque compassion que j'eusse alors pour elle, Je craignais en ce point de vous être infidèle.
SIFROY.	SIFROY.
Pourquoy te montrois-tu ſi prompt à m’obeït?	Pourquoi te montrais-tu si prompt à m'obéir?
C’euſt eſté m’obliger pour lors, que me trahir,	C'eût été m'obliger pour lors, que me trahir,
GOLO.	GOLO.
ha monne ne oiummee pae en zele ſi ſincere.	ha monne ne oiumée paye en zèle si sincère.
SIFROY.	SIFROY.
Ie te dis ſeulement ce que tu pouuois faire.	Je te dis seulement ce que tu pouvais faire.
LERIS.	LERIS.
Mais pourquoy tant parler d’vn ſi faſcheux ſujet Souffrez que le ſommeil efface cét objet:	Mais pourquoi tant parler d'autre si fâcheux sujet Souffrez que le sommeil efface cet objet:
noumuap oittonmieux dans la chambre prochaine?	noumuap oitonmieux dans la chambre prochaine?
SIEROT.	SIEROT.
Quel remede peut-elle apporter à ma peine?	Quel remède peut-elle apporter à ma peine?
LERIS.	LERIS.
Elle diuertiroit ce triſte ſouuenir.	Elle divertirait ce triste souvenir.
SIFROY.	SIFROY.
Leris, ie prends plaiſir à m’en entretenir Et ne me ſçaurois voirſeparé pour vne heure Deceſſescy quiiut lademere demeure.	Léris, Seigneur prends plaisir à m'en entretenir Et ne me saurais voirseparé pour une heure Décessescy quiiut lademère demeure.
I'y reuois, ce me ſemble, encor tous ſes appas, l'y vois auec reſpect les traces de ſes pas, Et ion ombre yseuient pemure uaus ma penſée L'aimable ſouuenir de noſtre amour paſſée.	J'y rêvais, ce me semble, encor tous ses appas, l'y vois seulement respect les traces de ses pas, Et ion ombre ysvient ure uaus ma pensée L'aimable souuenir de nôtre amour passée.
GOLO.	GOLO.
Qui vous pourroit donc plaindre en vous voyãt ſouffrir, Si	Qui vous pourrait donc plaindre en vous voyant souffrir, Si
Source gallica.	Source galica.
bntfr ( Bi d Si vous aimez encor ce qui vous fait mourir.	banntfr ( Bi d Si vous aimez encor ce qui vous fait mourir.
Entrerenez toûjours cette adorable idée Dont vn demon ſecret tient voſtre ame obſedée:	Entrerenez toujours cette adorable idée Dont der démon secret tient notre âme obsédée:
C'eſt le moy en d’aller rejoindre en peu de iours, Celle dont vous ſçauez les pudiques amours.	C'est le moi en d'aller rejoindre en peu de jours, Celle dont vous savez les pudiques amours.
SIFROY.	SIFROY.
Ah!	Ah!
ne me traitte pas auec tant de rudeſſe!	ne me traite pas auecjours de rudesse!
GOLO.	GOLO.
cept ans ont contumie ce que i'auois d'adreſſe, Et vous vous obſtinez à tout ce qui vous nuit.	cept ans ont contumie ce que j'avais d'adresse, Et vous vous obstinez à tout ce qui vous nuit.
STFROY.	STFROY.
Que m’ordonne-tu donc?	Que m'ordonne-tu donc?
GOLO.	GOLO.
Repoſez cette nuit.	Reposez cette nuit.
SIFROY.	SIFROY.
Hé bien ie veux pour toy me faire violence, Et ſortant de ce lieu te rendre obeyſſance.	Hé bien été veux pour toi me faire violence, Et sortant de ce lieu te rendre obéissance.
Mais auant que ſortir approche vn peu, Leris, Lis pour me conſoler quelqu’vn de ſes écrits.	Mais avant que sortir approche un peu, Léris, Lis pour me consoler quelqu'un de ses écrits.
ſe qui ſeca Ce ſont pour la pluſpart les chaſtes interpretes Qui m’exprimoient l’ardeur de ſes flâmes diſcretes, Quand noſtre hymen prochain allumoit ſes deſirs Qui firent pour vn temps nos innocens plaiſirs.	se qui seca Ce sont pour la plupart les chastes interprètes Qui m'exprimaient l'ardeur de ses flammes discrètes, Quand quelque hymen prochain allumait ses désirs Qui firent pour un temps nos innocents plaisirs.
Mais d’où vient celle-cy, dont me ſurprend la quetpies veuë, Et que ie n’auois pas iuſqu’icy reconnuë?	Mais d'où vient celle-cy, dont me surprend la quetpies pue, Et que ici n'avais pas jusqu'ici reconnue?
Ceſt la derniere, helas!	Cest la dernière, hélas!
qu’elle receut de moy Auant qu’on m'eût contraint d’en ſoupçonner la 3 auis mifoy.	qu'elle reçut de moi Avant qu'on m'eût contraint d'en soupçonner la 3 avis mifoi.
Elle l’a de ſes pleurs preſque toute effacée.	Elle l'a de ses pleurs presque toute effacée.
En voicy cependant la réponſe tracée:	En voici cependant la réponse tracée:
Sans doute l’accident de ſon cruel trépas Fut cauſe que pour lors ie ne la receus pas, Liſez-la moy, Leris.	Sans doute l'accident de son cruel trépas Fut cause que pour lors il ne la reçus pas, Lisez-la moi, Léris.
n onioj.	n onioj.
LERIS lit la lettre.	LERIS lit la lettre.
L’ombre de Geneuiéue	L'ombre de Geneuiéue
SIFROY.	SIFROY.
Liſez-vous, ou ſi c’eſt que ie reſve, L’ombre de Geneuiéue!	Lisez-vous, ou si c'est que ici rêve, L'ombre de Geneuiéue!
Ah Dieu c’eſt de ſa main!	Ah Dieu c'est de sa main!
GOLO.	GOLO.
C’eſt quelque fiction.	C'est quelque fiction.
SITROT.	SITROT.
Voyons-en le deſſein.	Voyons-en le dessein.
LERIS.	LERIS.
Du fond de ces demeures ſombres Où j’erre encore parmy les ombres, Souffre que mon eſprit vienne iuſqu'en ce lieu Poul Ieproenerde ceuccete langlaute Mjute Qui me laiſſe ſans ſepulture Et demander iuſtice en te diſant adieu.	Du fond de ces demeures sombres Où j'erre encore parmi les ombres, Souffre que mon esprit vienne jusqu'en ce lieu Poul Ieprognerde ceuccète langlaute Mute Qui me laisse sans sépulture Et demander iustice en te disant adieu.
SIFROY.	SIFROY.
Ah Golo!	Ah Golo!
qu’eſt-cecy?	qu'est-ceci?
c’eſt ſon ombre ellemeſme arle pulau licueue de lauugueur eatreme, Ah c’eſt-elle, Leris, qui m'eſt venu reuoir,	c'est son ombre ellemesme arle pulau licuve de lauugueur eatreme, Ah c'est-elle, Léris, qui m'est venu revoir,
GOLO.	GOLO.
Hé bien il luy faut rendre au pluſtoſt ce deuoir.	Hé bien il lui faut rendre au plustost ce devoir.
It ſe lene.	It se lene.
SIFROY.	SIFROY.
Oüy, mais elle demande en meſme temps iuſtice Deſa cruelle mort dont tu me ſis complice.	Oui, mais elle demande en même temps justice Désa cruelle mort dont tu me sis complice.
Ilſenfice hiu vo l sade de monlaug pour yous ſendrela paix, Parlez, manes ſacrées, vous ſerez ſatisfaits.	Ilsenfice hive vo l sade de monlaug pour y sendrela paix, Parlez, mânes sacrées, vous serez satisfaits.
Approche-toy, Leris, & continuë à lire, Ce que de mon amour ſa belle ombre deſire:	Approche-toi, Léris, et continue à lire, Ce que de mon amour sa belle ombre désire:
GOLO.	GOLO.
C'eſt pluſtoſt vn demon qui par ſes feints propos Vient du fonds des Enfers troubler voſtre repos, Aenarsue uaa saaaeasuasda.	C'est plutôt un démon qui par ses feints propos Vient du fonds des Enfers troubler votre repos, Aénarsue saaaeasuasda.
SIFROY.	SIFROY.
C’eſt ſon ombre elle-meſme, & i’en ſçauray le reſte;	C'est son ombre elle-même, et j'en sçauray le reste;
Tu demande iuſtice, ah!	Tu demande justice, ah!
ie te la feray, Nonime le crimiuel, ie te l’immoleray.	Ne te la ferai, Nonime le crimivel, Elle te l'immolerai.
LERIS lit.	LERIS lit.
Il ne m’eſt reſté qu'vne choſe Dont le Ciel veut que le diſpoſe, C’eſt mon cœur, cher Epoux, qui fut toûjours à to Ie t’en fais heritier meſme apres mon ſupplice Et croirois faire vne injuſtice.	Il ne m'est resté qu'une chose Dont le Ciel veut que le dispose, C'est mon cœur, cher Époux, qui fut toujours à to Je t'en fais héritier même après mon supplice Et croirais faire une injustice.
De ſouffrir que la mort l’enleuaſt à Sifroy.	De souffrir que la mort l'enleuast à Sirefroi.
SIFROY.	SIFROY.
Prodige de vertu!	Prodige de vertu!
miracle de conſtance!	miracle de constance!
Golo peut-elle mieux prouuer ſon innocence?	Golo peut-elle mieux prover son innocence?
Golo peut-elle mieux condamner ma rigueur, Et m’accabler d’amour qu’on me legãt ſon cœur?	Golo peut-elle mieux condamner ma rigueur, Et m'accabler d'amour qu'on me legãt son cœur?
Chere ombre, ie l’accepte, & ie veux en échange IIſe les Quedema cruaute mon prepre mmour de vange.	Chère ombre, on l'accepte, et Elle veux en échange IIse les Quedema cruauté mon prépre mémour de venge.
Ie ne merite pas de poſſeder ce bien, Que la mort dans ſes mains n’ait fait paſſer le mien.	Je ne mérite pas de posséder ce bien, Que la mort dans ses mains n'ait fait passer le mien.
GOLO.	GOLO.
Pourquoy vous condamner ſans qu’elle vous accuſe;	Pourquoi vous condamner sans qu'elle vous accuse;
* ourquoy na dechargerrar que muple cacute;	* ourquoi na déchargerrar que muple cacute;
Il luy falloit prouuer cette fidelité, Pont ſous des mots couuerts elle fait vanité, Enuoyez luy, Seigneur, ces funeſtes meſſages Qui d’vn crime aueré font de fauſſes images.	Il lui taît prouver cette fidélité, Pont sous des mots couverts elle fait vanité, Envoyez autre, Seigneur, ces funestes messages Qui d'un crime averé font de fausses images.
SIFROY.	SIFROY.
Vous n’y gagnerez rien, ie liray iuſqu’au bout, mains Pour voir ce qu’elle veut & pour accomplir Si cher tout.	Vous n'y gagnerez rien, je lirai jusqu'au bout, mains Pour voir ce qu'elle veut et pour accomplir Si cher tout.
Puiſque chez toy mon innocence, N’apû trouuer d’autre deffence, Ces lignes te pourront conuaincre de ma foy;	Puisque chez toi mon innocence, N'apû trouver d'autre défense, Ces lignes te pourront convaincre de ma foi;
Et te témoigneront que celuy qui m’opprime Ne m’a ſuppoſéce grand crime Que pour cacher le ſien & s’en vanger ſur moy.	Et te témoigneront que celui qui m'opprime Ne m'a supposéce grand crime Que pour cacher le sien et s'en venger sur moi.
Ιà αδος Et te témoigneront que celuy qui m’opprime Ne m’aſuppoſé ce grand crime Que pour cacher le ſien & s’en vanger ſur moy.	 αδος > te témoigneront que celui qui m'opprime Ne m'asupposé ce grand crime Que pour cacher le sien et s'en venger sur moi.
Que veut dire cecy;	Que veut dire ceci;
de qui me parle-t’elle Golo?	de qui me parle-t-elle Golo?
Seigneur?	Seigneur?
GOLO.	GOLO.
SIFROY.	SIFROY.
Dis-moy, me fus.	Dis-moi, me fus.
tu bien fidelle, Car enfin, c’eſt de toy qu'elle parle, ou de moy:	tu bien fidèle, Car enfin, c'est de toi qu'elle parle, ou de moi:
Mais qui luy ſuppoſa ce crime?	Mais qui était supposa ce crime?
ce fut toy.	ce fut toi.
Paile donc, qu’en dis-tu?	Paile donc, qu'en dis-tu?
GOLO.	GOLO.
Seigneur, qu’elle s’explique.	Seigneur, qu'elle s'explique.
SIFROY.	SIFROY.
C’eſt tout ce qu’elle éctit.	C'est tout ce qu'elle éctit.
GOLO.	GOLO.
Si cette fin me pique Au moins n’a t’elle oſé ſi clairement mentir.	Si cette fin me pique Au moins n'a -t-elle osé si clairement mentir.
Et ces termes couuerts montrent ſon repentir.	Et ces termes couverts montrent son repentir.
SIFROY.	SIFROY.
C'eſt donc toy qu’elle aceuſe?	C'est donc toi qu'elle acceuse?
COLO Oüy, Seigneur, ie confeſſe Que c’eſt sãt doute à moy que cette fin s’adreſſe;	COLO Oui, Seigneur, je confesse Que c'est sans doute à moi que cette fin s'adresse;
Mais au lieu de me faire vn crime de mes ſoins Que ne répondoit-ene aprus ue vingt temoins.	Mais au lieu de me faire un crime de mes soins Que ne répondait-ene après ue vingt témoins.
SIFROY.	SIFROY.
Pour mé cacher le tien, cette excuſe eſt friuole, Ie croy plus ſon eprit que ta ſimple parole;	Pour mé cacher le tien, cette excuse est frivole, Je crois plus son esprit que ta simple parole;
