LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
mon Habit n’eſt point encore arrivé?	mon Habit n'est point encore arrivé?
2.	2.
LAQUAIS.	LAQUAIS.
NOn MOHEUE.	NOn MOHÉTE.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ce maudit Tailleur me fait bien attendre pour un jour où j’ai tant d’affaires.	Ce maudit Tailleur me fait bien attendre pour un jour où j'ai tant d'affaires.
J’enrage.	J'enrage.
Que la fievre quartaine puiſſe ſerrer bien fort le Bourreau de Tailleur.	Que la fièvre quartaine puisse serrer bien fort le Bourreau de Tailleur.
Au Diable le Tailleur.	Au Diable le Tailleur.
La peſte étouffe le Tailleur.	La peste étouffe le Tailleur.
Si je le tenois maintenant ce Tailleur déteſtable, ce chien de Tailleur-là, ce traiſtre de Tailleur, je.	Si je le tenais maintenant ce Tailleur détestable, ce chien de Tailleur-là, ce traître de Tailleur, je.
SCENE V MAISTRE TAILLEUR GARCON TATLLEUR portant l’Habit de Monſieur Jourdain, MONSIEUR JOUR	SCÈNE V MAÎTRE TAILLEUR GARÇON TATLEUR portant l'Habit de Monsieur Jourdain, MONSIEUR JOUR
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
H vous voila.	H vous voilà.
Je m’allois mettre en eoleA Lre contre vous.	Je m'allais mettre en éoleA Lère contre vous.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Je n’ai pas pû venir plûtoſt, & j’ai mis vingt Garçons aprés voſtre Habit.	Je n'ai pas pu venir plutôt, et j'ai mis vingt Garçons après votre Habit.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Vous m’avez envoyé des Bas de ſoye ſi étroits, que j’ai eu toutes les peines du mondé à les mettre, & il’y a déja deux mailles de rompuës,	Vous m'avez envoyé des Bas de soie si étroits, que j'ai eu toutes les peines du mondé à les mettre, et il'y a déjà deux mailles de rompues,
MAISTRETAILLEUR.	MAISTRETAILLEUR.
Els ne s’élargiront que trop.	Éls ne s'élargiront que trop.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, ſi je romps toûjours des mailles.	Oui, si je romps toujours des mailles.
Vous m’avez auſſi fait faire des Souliers qui me bleſ.	Vous m'avez aussi fait faire des Souliers qui me blés.
leſt furſeuſement.	lest furseusement.
MAISTRETAILLEUR.	MAISTRETAILLEUR.
Y oiit du toue;	Y oiit du toue;
Monſicur.	Monsieur.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Comment point du tout?	Comment point du tout?
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Non, ils ne vous bleſſent point.	Non, ils ne vous blessent point.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je vous dis qu’ils me bleſſent, moy.	Je vous dis qu'ils me blessent, moi.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Vous vous imaginez cela.	Vous vous imaginez cela.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je me l’imagine, parce que je le ſens.	Je me l'imagine, parce que je le sens.
Voyez la belle raiſon.	Voyez la belle raison.
MAISTRETAILLEUR.	MAISTRETAILLEUR.
Tenez, voila le plus bel Habit de la Cour, & le mieux aſſorti.	Tenez, voilà le plus bel Habit de la Cour, et le mieux assorti.
C’eſt un chef-d’œuvre, que d’avoir inventé un Habit ſerieux, qui ne fût pas noir;	C'est un chef-d'œuvre, que d'avoir inventé un Habit sérieux, qui ne fût pas noir;
& je le donne en ſix coups aux Tailleurs les plus éclairez.	et je le donne en six coups aux Tailleurs les plus éclairez.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Qu’eſt-ce que c’eſt que ceci?	Qu'est-ce que c'est que ceci?
Vous avez mis les fleurs en enbas.	Vous avez mis les fleurs en bas.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Vous ne m’avez pas dit que vous les vouliez en enhaut.	Vous ne m'avez pas dit que vous les vouliez en haut.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Eſt-ce qu’il faut dire cela ?	Est-ce qu'il faut dire cela ?
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Oüy vraiment.	Oui vraiment.
Toutes les Perſonnes de Qualité les portent de la ſorte.	Toutes les Personnes de Qualité les portent de la sorte.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Les Perſonnes de Qualité portent les fleurs en enbas ?	Les Personnes de Qualité portent les fleurs en bas ?
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Ouy, Momcar,	Oui, Momcar,
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oh voila qui eſt donc bien.	Oh voilà qui est donc bien.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Si vous vo ez, je les mettrai en enhaut.	Si vous v ez, je les mettrai en haut.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, non.	Non, non.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Vous n’avez qu’à dire.	Vous n'avez qu'à -dire.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, vous dis-je, vous avez bien fait.	Non, non dis-je, vous avez bien fait.
Croyezvous que l’Habit m’aille bien ?	Croyezvous que l'Habit m'aille bien ?
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Belle demande!	Belle demande!
Je déſie un Peintre, avec ſon pinceau, de vous faire rien de plus juſte.	Je désie un Peintre, avec son pinceau, de vous faire rien de plus juste.
J’ai chez moi un Garçon, qui pour monter unc Ringrave, eſt le plus grand Génie du Monde;	J'ai chez moi un Garçon, qui pour monter un Ringrave, est le plus grand Génie du Monde;
& un autre, qui pour aſſembler un Pourpoint, eſt le Heros de noſtre Temps.	et un autre, qui pour assembler un Pourpoint, est le Héros de notre Temps.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
La Perruque, & les Plumes, ſont-elles comme il faut?	La Perruque, et les Plumes, sont-elles comme il faut?
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Tout eſt bien.	Tout est bien.
MONSIEUR JOURDAIN, en regardant l'Habit du Tailleur.	MONSIEUR JOURDAIN, en regardant l'Habit du Tailleur.
Ah, Ah, Monſieur le Tailleur, voila de mon ctoffe du dernier Habit que vous m’avez fait, je la reconnois bien.	Ah, Ah, Monsieur le Tailleur, voilà de mon ctoffe du dernier Habit que vous m'avez fait, je la reconnais bien.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
C'eſt que l’étoffe me ſembla ſi belle, que j’en ai voulu lever un Habit pour moi.	C'est que l'étoffe me sembla si belle, que j'en ai voulu lever un Habit pour moi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, mais il ne faloit pas le lever avec le mien.	Oui, mais il ne fallait pas le ver avec le mien.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Voulez-vous mettre voſtre Habit?	Voulez-vous mettre votre Habit?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, donnez-le moi.	Oui, donnez-le moi.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
Attendez.	Attendez.
Cela ne va pas comme cela.	Cela ne va pas comme cela.
J’ai amené des Gens pour vous habiller en cadence, & ces ſortes d’Habits ſe mettent avec ceremonie.	J'ai amené des Gens pour vous habiller en cadence, et ces sortes d'Habits se mettent avec cérémonie.
Hola, entrez vous autres.	Holà, entrez -vous autres.
Mettez cet Habit à Monſieur, de la maniere que vous faites aux Perſonnes de Qualité.	Mettez cet Habit à Monsieur, de la manière que vous faites aux Personnes de Qualité.
Quatre Garçons Tailleurs entrent, dont deux luy arrachent le Haut-de-chauſſe de ſes Exercices, & deux autres la Camiſole, puis ils luy mettent ſon Habit neuf;	Quatre Garçons Tailleurs entrent, dont deux deux arrachent le Haut-de-chausse de ses Exercices, et deux autres la Camisole, puis ils avait mettent son Habit neuf;
& Monſieur Jourdain ſe promene entre’ eux, & leur montre ſon Habit, pour voir s’il eſt bien.	et Monsieur Jourdain se promène entre eux, et leur montre son Habit, pour voir s'il est bien.
Le tout à la cadence de toute la Simphonie.	Le tout à la cadence de toute la Simphonie.
GARCON TAILLEUR.	GARÇON TAILLEUR.
Mon Gentilhomme, donnez, s’il vous plaiſt, aux Garçons quelque choſe pour boire.	Mon Gentilhomme, donnez, s'il vous plaît, aux Garçons quelque chose pour boire.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Comment m’apellez-vous ?	Comment m'appelez-vous ?
GARCON TAILLEUR.	GARÇON TAILLEUR.
Mon Gentilhomme.	Mon Gentilhomme.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mon Gentilhomme!	Mon Gentilhomme!
Voila ce que c’eſt, de ſe mettre en Perſonne de Qualité.	Voila ce que c'est, de se mettre en Personne de Qualité.
Allez-vous-en demeurer toûjours habillé en Bourgeois, on ne vous dira point mon Gentilhomme.	Allez-vous-en demeurer toujours habillé en Bourgeois, on ne vous dira point mon Gentilhomme.
Tenez, voila pour mon Gentilhomme.	Tenez, voilà pour mon Gentilhomme.
GARCON TAILLEUR.	GARÇON TAILLEUR.
Monſeigneur, nous vous ſommes bien obligez,	Monseigneur, nous vous sommes bien obligez,
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Monſeigneur, oh, oh!	Monseigneur, oh, oh!
Monſeigneur!	Monseigneur!
Attendez, mon ami, Monſeigneur merite quelque choſe, & ce n’eſt pas une petite parole que Monſeigneur.	Attendez, mon ami, Monseigneur mérite quelque chose, et ce n'est pas une petite parole que Monseigneur.
Tenez, voila ce que Monſeigneur vous donne.	Tenez, voilà ce que Monseigneur vous donne.
GARCON TAILLEUR.	GARÇON TAILLEUR.
Monſeigneur, nous allons boire tous à la ſanté de voſtre Grandeur.	Monseigneur, nous allons boire tous à la santé de votre Grandeur.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voſtre Grandeur, oh, oh, oh!	Votre Grandeur, oh, oh, oh!
Attendez, ne vous en allez pas.	Attendez, ne vous en allez pas.
A moi, voſtre Grandeur!	À moi, votre Grandeur!
Ma foi, s’il va juſqu’à l’Alteſſe, il aura toute la Bourſe.	Ma foi, s'il va jusqu'à l'Altesse, il aura toute la Bourse.
Tenez, voila pour ma Grandeur.	Tenez, voilà pour ma Grandeur.
GARCON TAILLEUR.	GARÇON TAILLEUR.
Monſeigneur, nous la remercions tres-humblement de ſes liberalitez.	Monseigneur, nous la remercions très-humblement de ses libéralités.
MONSIEUR IOURDAIN.	MONSIEUR JOURDAIN.
Il a bien fait, je lui allois tout donner.	Il a bien fait, je lui allais tout donner.
Les quatre Garçons Tailleurs ſe réjoüiſſent par une Dance, qui fait le ſecond Intermede.	Les quatre Garçons Tailleurs se réjouissent par une Dance, qui fait le second Intermède.
Fin du ſecond Acte.	Fin du second Acte.
ACTEIII.	ACTEIII.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
LAQUAIS.	LAQUAIS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
UIVEZ-moi, que j’aille un peu montrer mon Habit par la Ville;	UIVEZ-moi, que j'aille un peu montrer mon Habit par la Ville;
& ſur tout, ayez ſoin tous deux de marcher immediatement ſur mes pas, afin qu’on voye bien que vous	et sur tout, ayez soin tous deux de marcher immédiatement sur mes pas, afin qu'on voie bien que vous
LAQUAIS.	LAQUAIS.
Oüy, Monfieur.	Oui, Monfieur.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Apellez-moi Nicole, que je lui donne quelques ordres.	Apelez-moi Nicole, que je lui donne quelques ordres.
Ne bougez, la voila.	Ne bougez, la voilà.
SCENE II.	SCÈNE II.
NICOLE, MONSIEUR JOURDAIN, LAQUAIS.	NICOLE, MONSIEUR JOURDAIN, LAQUAIS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
AvNeole:	AvNeole:
NICOLE.	NICOLE.
Hi, hi, hi, hi, hi.	Hi, hi, hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Qu’as-tu à rire?	Qu'as-tu à rire?
NICOLE Hi, hi, hi, hi, hi, hi.	NICOLE Hy, hi, hi, hi, hi, hy.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Que veut dire cette Coquine-là?	Que veut dire cette Coquine-là?
NICOLE Hi, hi, hi.	NICOLE Hy, hi, hi.
Comme vous voila baſti!	Comme vous voilà bâti!
Hi, hi, hi.	Hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Comment donc?	Comment donc?
NICOLE.	NICOLE.
Ah, ah, mon Dieu.	Ah, ah, mon Dieu.
Hi, hi, hi, hi, hi.	Hi, hi, hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Quelle Friponne eſt-ce là?	Quelle Friponne est-ce là?
Te rnoques-tu de moi?	Te rnoques-tu de moi?
NICOLE.	NICOLE.
Nenni, Monſieur, j’en ſerois bien fâchée, Hi, hi, hi, hi, hi, hi.	Nenni, Monsieur, j'en serais bien fâchée, Hi, hi, hi, hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ie te baillerai ſur le nez, ſi tu ris davantage.	Je te baillerai sur le nez, si tu ris davantage.
NICOLE.	NICOLE.
Monſieur, je ne puis pas m’en empeſcher.	Monsieur, je ne puis pas m'en empêcher.
Hi, hi, hi, hi, hi, hi.	Hi, hi, hi, hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tu ne t’arreſteras pas?	Tu ne t'arrêteras pas?
NICOLE.	NICOLE.
Monſieur, je vous demande pardon;	Monsieur, je vous demande pardon;
mais vous eſtes ſi plaiſant, que je ne ſçaurois me tenir de rire.	mais vous êtes si plaisant, que je ne saurais me tenir de rire.
Hi, hi, hi.	Hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mais voyez quelle inſolence!	Mais voyez quelle insolence!
NICOLE.	NICOLE.
Vous eſtes tout-à-fait drôle comme cela.	Vous êtes tout-à-fait drôle comme cela.
Hi, h.	Hi, h.
Je te.	Je te.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
NICOLE.	NICOLE.
Je vous prie de m’excuſer.	Je vous prie de m'excuser.
Hi, hi, hi, hi.	Hi, hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tien, ſi tu ris encore le moins du monde, je te jure que je t’appliquerai ſur la jouë le plus grand ſouflet qui ſe ſoit jamais donné.	Tiens, si tu ris encore le moins du monde, je te jure que je t'appliquerai sur la joue le plus grand soufflet qui se soit jamais donné.
NICOLE.	NICOLE.
Hé bien, Monſieur, voila qui eſt fait, je ne rirai plus.	Hé bien, Monsieur, voilà qui est fait, je ne rirai plus.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Prens-y bien garde.	Prends-y bien garde.
Il faut que pour tantoſt tu nettoyes.	Il faut que pour tantôt tu nettoies.
Hi, hi.	Hi, hi.
NICOLE.	NICOLE.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Que tu nettoyes comme il faut.	Que tu nettoies comme il faut.
Hi, hiNICOLE.	Hi, hiNICOLE.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il faut, dis-je, que tu nettoyes la Salle, &.	Il faut, dis-je, que tu nettoies la Salle, et.
a	a
A1, HI.	A1, HI.
NICOLE.	NICOLE.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Encore?	Encore?
Tenez, Monſieur, battez-moi plûtoſt, & me laiſſez rire tout mon ſaoul, cela me fera plus de bien.	Tenez, Monsieur, battez-moi plutôt, et me laissez rire tout mon saoul, cela me fera plus de bien.
Hi, hi, hi, hi, hi.	Hi, hi, hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
J’enrage.	J'enrage.
NICOLE.	NICOLE.
De grace, Monſieur, je vous prie de me laiſſer rire.	De grâce, Monsieur, je vous prie de me laisser rire.
Hi, hi, hi.	Hi, hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Si je te prens.	Si je te prends.
NICOLE.	NICOLE.
Monſieur, eur, je creverai, ai, ſi je ne ri.	Monsieur, eur, je crèverai, ai, si je ne ri.
Hi;	Hi;
hi, hi.	hi, hi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mais a-t-on jamais veu une Pendarde comme celle-là, qui me vient rire inſolemment au nez, au lieu de recevoir mes ordres?	Mais a-t-on jamais vu une Pendarde comme celle-là, qui me vient rire insolemment au nez, au lieu de recevoir mes ordres?
NICOLE.	NICOLE.
Que voulez-vous que je faſſe, Monſieur?	Que voulez-vous que je fasse, Monsieur?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Que tu ſonges, Coquine, à preparer ma Maiſon pour la Compagnie qui doit venir tantoſt.	Que tu songes, Coquine, à préparer ma Maison pour la Compagnie qui doit venir tantôt.
NICOLE.	NICOLE.
Ah, par ma foy, je n’ai plus envie de rire;	Ah, par ma foi, je n'ai plus envie de rire;
& toutes vos Compagnies font tant de deſordre ceans, que ce mot eſt aſſez pour me mettre en mauvaiſe humeur.	et toutes vos Compagnies font tant de désordre céans, que ce mot est assez pour me mettre en mauvaise humeur.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ne dois-je point pour toi fermer ma Porte à tout le Monde?	Ne dois-je point pour toi fermer ma Porte à tout le Monde?
NICOLE.	NICOLE.
Vous devriez au moins la fermer à certaines Gens.	Vous devriez au moins la fermer à certaines Gens.
SCENE III.	SCÈNE III.
MADAME IOURDAIN, MONSIEUR JOURDAIN, NICOLE, LAQUAIS.	MADAME IOURDAIN, MONSIEUR JOURDAIN, NICOLE, LAQUAIS.
MADAME JOURDAIN.	MADAME JOURDAIN.
H, ah, voici une nouvelle hiſtoire.	H, ah, voici une nouvelle histoire.
Qu'eſtAce que c’eſt donc, mon Mari,que cet équipage-là?	Qu'estAce que c'est donc, mon Mari,que cet équipage-là?
Vous moquez-vous du Monde, de vous eſtre fait enharnacher de la ſorte?	Vous moquez-vous du Monde, de vous être fait enharnacher de la sorte?
& avez-vous envie qu’on ſe raille par tout de vous?	et avez-vous envie qu'on se raille par tout de vous?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il n’y a que des Sots, & des Sottes, ma Femme, qui ſe railleront de moi.	Il n'y a que des Sots, et des Sottes, ma Femme, qui se railleront de moi.
MADAME JOURDAIN.	MADAME JOURDAIN.
Vraiment on n’a pas attendu juſqu’à cette heure, & il y a long-temps que vos façons de faire donnent à rire à tout le Monde.	Vraiment on n'a pas attendu jusqu'à cette heure, et il y a longtemps que vos façons de faire donnent à rire à tout le Monde.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Qui eſt donc tout ce Monde là, s’il vous plaiſt?	Qui est donc tout ce Monde là, s'il vous plaît?
MADAME JOURDAIN.	MADAME JOURDAIN.
Tout ce Monde-là eſt un Monde qui a raiſon, & qui eſt plus ſage que vous.	Tout ce Monde-là est un Monde qui a raison, et qui est plus sage que vous.
Pour moi, je ſuis ſcandalisée de la vie que vous menez.	Pour moi, je suis scandalisée de la vie que vous menez.
Je ne ſçai plus ce que c’eſt que noſtre Maiſon.	Je ne sais plus ce que c'est que notre Maison.
On diroit qu’il eſt ceans Careſme-prenant tous les jours;	On dirait qu'il est céans Carésme-prenant tous les jours;
Et dés le matin, de peur d’y manquer, on y entend des vacarmes de Violons & de Chanteurs, dont tout le voiſinage ſe trouve incommodé.	Et dès le matin, de peur d'y manquer, on y entend des vacarmes de Violons et de Chanteurs, dont tout le voisinage se trouve incommodé.
NICOLE.	NICOLE.
Madame parle bien.	Madame parle bien.
Je ne ſçaurois plus voir mon ménage propre, avec cet attirail de Gens que vous faites venir chez vous lls ont des pieds qui vont chercher de la bouë dans tous les Quartiers de la Ville, pour l’apporter ici;	Je ne saurais plus voir mon ménage propre, avec cet attirail de Gens que vous faites venir chez vous lâge ont des pieds qui vont chercher de la boue dans tous les Quartiers de la Ville, pour l'apporter ici;
& la pauvre Françoiſe eſt preſque ſur les dents, à frotter les planchers que vos biaux Maiſtres viennent crorter regulierement tous les jours.	et la pauvre Française est presque sur les dents, à frotter les planchers que vos biaux Maîtres viennent crorter régulièrement tous les jours.
MONSIEÜR JOURDAIN.	MONSIEUR JOURDAIN.
Oüais, noſtre Servante Nicole, vous avez le caquet bien affilé pour une Païſanne.	Ouais, notre Servante Nicole, vous avez le caquet bien affilé pour une Paysanne.
MADAME JOURDAIN Nicole a raiſon, & ſon ſens eſt meilleur que le voſtre.	MADAME JOURDAIN Nicole a raison, et son sens est meilleur que le vôtre.
Je voudrois bien ſçavoir ce que vous penſez faire d’un Maiſtre à Dancer à l’âge que vous avez?	Je voudrais bien savoir ce que vous pensez faire d'un Maître à Dancer à l'âge que vous avez?
NICOLE.	NICOLE.
Et d’un grand Maiſtre Tireur d’Armes, qui vient, avec ſes battemens de pied, ébranler toute la Maiſon, & nous déraciner tous les carriaux de noſtre Salle ?	Et d'un grand Maître Tireur d'Armes, qui vient, avec ses battements de pied, ébranler toute la Maison, et nous déraciner tous les carrieurs de notre Salle ?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Taiſez-vous, ma Servante, & ma Femme.	Taisez-vous, ma Servante, et ma Femme.
