MONSEIGNEVR,	MONSEIGNEUR,
Et ſi la Fortune meſme vous offre vne place ſur ſon Trône, refuſez vous cét honneur?	Et si la Fortune même vous offre une place sur son Trône, refusez -vous cet honneur?
ARTHENICE.	ARTHENICE.
Ouy, puiſque iene le merite pas.	Oui, puisque iene le mérite pas.
AMELITE.	AMELITE.
Vous faites vn mauuais iugement de celuy duRoy	Vous faites un mauvais jugement de celui duRoi
ARTHENICE.	ARTHENICE.
21 Le Roy ne me conſidere qu’au trauers de ſon bandeau.	21 Le Roi ne me considère qu'au travers de son bandeau.
AMELITE.	AMELITE.
O MII.	Ô MII.
Il vous eſtimera beaucoup, s’il partage auec vous ſa puiſſance abſoluë.	Il vous estimera beaucoup, s'il partage avec vous sa puissance absolue.
LM 21	LM 21
ARTHENICE.	ARTHENICE.
1 I’aurois beau porter ſon Sceptre à la main:	1 J'aurais beau porter son Sceptre à la main:
l’Authorité luy en demeurera touſiours, pour me l’oſter à toute heure.	l'Autorité lui en demeurera toujours, pour me l'ôter à toute heure.
AMELITE.	AMELITE.
Hlaut pemier a l'acquemn, auant qu'apprehender de le perdre.	Haut pemier à l'acquemn, avant qu'appréhender de le perdre.
ARTHENICE.	ARTHENICE.
Mais la penſée en eſt inutile, & la crainte fort iuſte.	Mais la pensée en est inutile, et la crainte fort juste.
AMELITE.	AMELITE.
Voulez vous demeurer au milieu de la carriere.	Voulez -vous demeurer au milieu de la carrière.
1B20	1B20
ARTHENICE.	ARTHENICE.
Il faut bien que i’y demeure, ſi la Honte & le Repentir m’attendent au bout.	Il faut bien que j'y demeure, si la Honte et le Repentir m'attendent au bout.
H ii	H Hi
AMELITE.	AMELITE.
Serez vous honteuſe de porter vne Couronne lur la terce.	Serez -vous honteuse de porter une Couronne lur la terce.
vouo ſepenenrez vous d’auoir vaincu ſans combat vos ennemis ?	vouais sepenrez -vous d'avoir vaincu sans combat vos ennemis ?
ARTHENICE.	ARTHENICE.
Madame, ie me ſacrifieray pour voſtre contentement, puiſque vous le voulez, l’obeïſſance que ie vous dois me ſeruira de conſolation dans mon inrorcurios.	Madame, Seigneur me sacrifierai pour votre contentement, puisque vous le voulez, l'obéissance que votre vous dois me servira de consolation dans mon inrorcurios.
A MEETTLo Voicy la Reine qui vient;	À METTLo Voici la Reine qui vient;
ie ne veux pas qu’elle me voye.	Ne ne veux pas qu'elle me voie.
MCEED LA REINE, Iuluic de Cleonice.	MCED LA REINE, Juluic de Cléonice.
V	V
LA REINE.	LA REINE.
Rthenice, on m’a dit que vous pretendiez Nes à ma Couronne:	Rthénice, on m'a dit que vous prétendiez Nes à ma Couronne:
voſtre Beauté trahira voſtre Ambition:	votre Beauté trahira votre Ambition:
l’Amour fait plus d’Eſclaues que de Reines.	L'Amour fait plus d'Esclaves que de Reines.
ARTHENICE.	ARTHENICE.
Madame, V.	Madame, V.
M.	M.
m’accuſe d’vn crime que mes penſées ne me reprocheront iamais:	m'accuse d'un crime que mes pensées ne me reprocheront jamais:
ma Beauté & mon Ambition également moderées ſeront touſiours d’accord enſemble;	ma Beauté et mon Ambition également modérées seront toujours d'accord ensemble;
& l’Amour a beau domer des couromieo ou des Chaines;	et l'Amour a beau domer des couromieo ou des Chaines;
ie ne pretens rien de luy.	Ne ne prétends rien de Seigneur.
LA REINE.	LA REINE.
Vous faites la fine;	Vous faites la fine;
ie ſçay que le Roy vous a parlé fort long temps en ſecret.	ie sais que le Roi vous a parlé fort long temps en secret.
ARTHENICE.	ARTHENICE.
Si le Roy ma fait l’honneur de m’entretenir en particulier, ma vertu n’auoit pas beſoin de teſmoins;	Si le Roi ma fait l'honneur de m'entretenir en particulier, ma vertu n'avait pas besoin de témoins;
l’authorité qu’il a, & le reſpect que ie luy dois, hexempteront tounours de reproche.	l'autorité qu'il a, et le respect que Vous lui dois, hexempteront tounours de reproche.
LA REINE.	LA REINE.
vnle r'inte qui preite iouuent r'oreille, donne à la fin ſon cœur.	Elle rèle rète qui préite jouvent roreille, donne à la fin son cœur.
ARTHENICE.	ARTHENICE.
L’Amour a beau me parler à l’oreille;	L'Amour a beau me parler à l'oreille;
mon cœur n’entend que le langage de la Raiſon.	mon cœur n'entend que le langage de la Raison.
LA REINE.	LA REINE.
L’amour des Rois eſt contagieuſe:	L'amour des Rois est contagieuse:
ſi on n’aime leur perſonne, on aime leur grandeur;	si on n'aime leur personne, on aime leur grandeur;
& dans cette paſſion en cherchant vn honneur imaH iij gmalle, ou enpela vnvenlcables	et dans cette passion en cherchant un honneur imaH jijo gmalle, ou enpela vnvenlcables
21 ARTHENICE.	21 ARTHENICE.
Madame, ie veux croire que l’Amour du Roy peut auoir beaucoup plus de charmes que celle d’vn autre:	Madame, Seigneur veux croire que l'Amour du Roi peut avoir beaucoup plus de charmes que celle d'un autre:
mais de l’humeur dont ie ſuis, i’apprehende plus les efforts de ſon authorité, que les pas de ſa grandeur.	mais de l'humeur dont ici suis, j'appréhende plus les efforts de son autorité, que les pas de sa grandeur.
LA REINE.	LA REINE.
Vous deuez craindre toutes choſes.	Vous devez craindre toutes choses.
Ne doutez point que le Roy n’employe tous ſes artifices, pour vous deceuoir.	Ne doutez point que le Roi n'emploie tous ses artifices, pour vous décevoir.
Il vous fera meſme vne promeſſe de mariage ſi vous voulez.	Il vous fera même promesse de mariage si vous voulez.
Mais repreſentez vous qu’vn Amoureux eſcrit tout ce qu’onveut, & que dans ſon aueuglement il eſcrit ſi mal, qu’apres auoir recouuré la veuë, il ne reconnoiſt plus ſa lettre.	Mais représentez -vous qu'une Amoureux écrit tout ce qu'onvut, et que dans son aveuglement il écrit si mal, qu'apres avoir recouvré la vue, il ne reconnaît plus sa lettre.
ARTHENICE.	ARTHENICE.
Madame, dans la reſolution où ie ſuis , de conſeruer mon honneur auec plus de ſoin que ma vie, ma Mere me ſert touſiours de conſeil, & la Vertu de guide!	Madame, dans la résolution où je suis , de conserver mon honneur avec plus de soin que ma vie, ma Mère me sert toujours de conseil, et la Vertu de guide!
Les prolielles de fiarſage ne ſont plus à la mode:	Les prolielles de fiarsage ne sont plus à la mode:
les petites filles s’en moquent :	les petites filles s'en moquent :
les grandes s’en offencent, & les plus ſages auiourd’huy meſpriſent l’Amour, & fuyent les Amans.	les grandes s'en offensent, et les plus sages aujourd'hui méprisent l'Amour, et fuient les Amants.
2 2	2 2
LA REINE.	LA REINE.
Ie ne ſçay point à quoy vous eſtes deſtinée;	Je ne sais point à quoi vous êtes destinée;
mais ſi mon mal-heur & voſtre Fortune vous eſleuent ſur mon Trône, ſouuenez vous que vous occupez la place d’vne Reine qui en a eſté precipitée iniuſtement;	mais si mon malheur et votre Fortune vous esleuent sur mon Trône, souvenez vous que vous occupez la place d'une Reine qui en a été précipitée injustement;
& que ſi l’Amour vous y a fait monter auec éclat, la Iuſtice vous en peut faire deſcendre auec ignominie.	et que si l'Amour vous y a fait monter avec éclat, la Justice vous en peut faire descendre avec ignominie.
ARTHENICE.	ARTHENICE.
Madame, ie prens le Ciel à teſmoin de l’innocence de mes deſirs:	Madame, Seigneur prends le Ciel à témoin de l'innocence de mes désirs:
l’heureuſe condition où ie ſuis, eſt mon Trône, mon Sceptre, & ma CouIoriie;	l'heureuse condition où tu suis, est mon Trône, mon Sceptre, et ma CouIIoriie;
Et quarld la Porcurle dans ſon aueuglement me voudroit eſleuer ſur le plus haut de ſa Roüe, ſon mouuement continuel m’en oſteroit le deſir:	Et quarld la Porcurle dans son aveuglement me voudrait élever sur le plus haut de sa Rue, son mouvement continuel m'en ôterait le désir:
i’ay borné mon Ambition dans les felicitez que ie poſſede.	j'ai borné mon Ambition dans les félicités que je possède.
LA REINE.	LA REINE.
Si la prudence ne marque le chemin que vous deuez tenir dans la Fortune que vous courez;	Si la prudence ne marque le chemin que vous devez tenir dans la Fortune que vous courez;
voſtre perte eſt ineuitable:	votre perte est inévitable:
Ne ſçauez vous pas que ie ſuis voſtre Reine?	Ne savez -vous pas que ici suis votre Reine?
ARTHENICE.	ARTHENICE.
Il faut bien que ie le ſçache, Madame;	Il faut bien que personne le sache, Madame;
puiique le iuls voltle labiette.	puiique le juls voltle labjette.
LA REINE.	LA REINE.
Conſeruez cherement cette qualité, ſi vous ne voulez perdie tout à la Iois Ihonneur & la vies ſi ie ne vous punis, le Ciel me vangera.	Conservez chèrement cette qualité, si vous ne voulez perdie tout à la Jois Ihonneur et la vies si bon ne vous punis, le Ciel me vengera.
ARTHENICE.	ARTHENICE.
Ie n’oubliray iamais le reſpect que ie dois à V.	Je n'oublierai jamais le respect que Ne dois à V.
M.	M.
Que la jalouſie de cette Princeſſe eſt iuſte!	Que la jalousie de cette Princesse est juste!
que ſon mal-heur eſt grand!	que son malheur est grand!
mais que mon imprudence eſt extréme, de ſuiure pas à pas ſes traces dans vn chemin qui me conduit au Tombeau;	mais que mon imprudence est extrême, de suivre pas à pas ses traces dans un chemin qui me conduit au Tombeau;
o Dieu!	À Dieu!
pourquoy faut-il que la Fortune ſe ſerue des traito de moir vilage, pour bleſſer mon cœur à mort?	pourquoi faut-il que la Fortune se serve des traito de moir vilage, pour blesser mon cœur à mort?
Mais ne voy-ie pas celuy qui luy en a donné la premiere atteinte?	Mais ne vois-je pas celui qui lui en a donné la première atteinte?
SCNAE	SCAE
LE ROY.	LE ROY.
T bien, Arthemee, rertes vous pas heureuMll ſe de vous voir à la veille de vos Nopces?	T bien, Arthemee, retrtes -vous pas heureuMll se de vous voir à la veille de vos Noces?
ARTHENICE.	ARTHENICE.
Sire, quel bon-heur puis-ie trouuer dans les inforinfortunes d’autruy?	Sire, quel bonheur puis-je trouver dans les inforinfortunes d'autrui?
voſtre Maieſté me veut faire occuper la place d’vne Reine viuante, dont l’innocendo mo lond uenu coupable deuant tous vos ſubiets.	votre Majesté me veut faire occuper la place d'une Reine vivante, dont l'innocendo mo lond uenu coupable devant tous vos sujets.
LE ROY.	LE ROY.
Ne puis-ie pas la repudier, & vous eſpouſer à l’heure meſme?	Ne puis-je pas la répudier, et vous épouser à l'heure même?
ARTHENICE.	ARTHENICE.
Ie ſçay bien que voſtre Maieſté peut tout ce qu’elle veut:	Je sais bien que votre Majesté peut tout ce qu'elle veut:
mais elle ne doit rien deſirer qui ne loit fahonlable.	mais elle ne doit rien désirer qui ne loit fahonlable.
LE ROY.	LE ROY.
La Raiſon & l’Amour ne vont iamais enſemble.	La Raison et l'Amour ne vont jamais ensemble.
ARTHENICE.	ARTHENICE.
Quelle eſtime puis-ie donc faire de l’affection que voſtre Maieſte a pour moy, ſi l’iniuſtice en eſt le fondement?	Quelle estime puis-je donc faire de l'affection que votre Majaieste a pour moi, si l'injustice en est le fondement?
LE ROY.	LE ROY.
Ne vous ſuffit-il pas d’eſtre Reine?	Ne vous suffit-il pas d'être Reine?
Ie vous en offre & le Sceptre, & la Couronne.	Je vous en offre et le Sceptre, et la Couronne.
112	112
ARTHENICE.	ARTHENICE.
Il me ſemble deſia que la main & la teſte me tremblent également, en portant vn Sceptre & vne Couronne qu’on vient d’oſter à la Vertu.	Il me semble déjà que la main et la tête me tremblent également, en portant un Sceptre et une Couronne qu'on vient d'ôter à la Vertu.
Ha!	Ha!
Sire, permettez moy de les luy rendre, afin que ie les merite.	Sire, permettez -moi de les jours rendre, afin que sans les mérite.
LE ROY.	LE ROY.
Voſtre generoſité eſt digne d’vne nouuelle Couronne:	Votre générosité est digne d'une nouvelle Couronne:
Mais vous fllareniez trop lentement, Arthenice, aux approches du Trône que ie vous ay preparé.	Mais vous fllareniez trop lentement, Arthénice, aux approches du Trône que je vous ai préparé.
ARTHENTCEO.	ARTHENTCEO.
Si voſtre puiſſance abſoluë ne m’y entraine, ie n’auray iamais le courage d’y monter.	Si votre puissance absolue ne m'y entraine, Elle n'aurai jamais le courage d'y monter.
LE ROY.	LE ROY.
Ie vous y attireray auec les meſmes chaines dont vous m’auez aſſubietty:	Je vous y attirerai toujours les mêmes chaines dont vous m'avez assubietty:
que craignez vous?	que craignez -vous?
ARTHENICE.	ARTHENICE.
Ie crains que ma Beauté ſe paſſe, & voſtre amour auec elle:	Je crains que ma Beauté se passe, et notre amour avec elle:
ie crains que la Reine ne m’immole à ſon iuſte reſſentiment:	Ne crains que la Reine ne m'immole à son juste ressentiment:
ie crains d’allumer vn feu de diſſenition daiis voitre Ieoyaume, qui ne ſe puiſſe eſteindre que dans mes cendres.	Je crains d'allumer un feu de dissénition daiî voitre Jeoyaume, qui ne se puisse éteindre que dans mes cendres.
LE ROY.	LE ROY.
Dites pluſtoſt que vous ne voulez pas eſtre Reine;	Dites plutôt que vous ne voulez pas être Reine;
& ie vous reſpondray que ie le veux abſolument.	et ici vous répondrai que ici le veux absolument.
Mon amour durera touſiours;	Mon amour durera toujours;
la Reine partira demain;	la Reine partira demain;
ie fay tout ce qu’il me plaiſt dans mon Royaume.	Ne fais tout ce qu'il me plaît dans mon Royaume.
ARTHENICE.	ARTHENICE.
Ie ne ſçaurois adreſſer mes vœux qu’à voſtre Majerte, punque le Clei ne le menle point de ma Fortune.	Je ne saurais adresser mes vœux qu'à votre Majerte, punque le Cli ne le menle point de ma Fortune.
Voſtre puiſſance l’eſtablit:	Votre puissance l'établit:
voſtre bonté la conſeruera.	votre bonté la conservera.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LEROT, Iuiuy de Inomias Morus ſon Chancelier, de Polexandre ſon Fauory, de Lidamas, de Polemon, & de Cleante ſes Conſeillers.	LÉROT, Juivi de Inomias Morus son Chancelier, de Polexandre son Favori, de Lidamas, de Polémon, et de Cleante se Conseillers.
LE ROY aſſis dans ſon Trône.	LE ROY assis dans son Trône.
E vous ay fait aſſembler;	E vous ai fait assembler;
mais que veut la Reyne.	mais que veut la Reine.
LA REYNE.	LA REINE.
Ie viens implorer voſtre Iuſtice dans le meſme lieu, où vous auez fait ſerment de la rendre à tout le monde.	Je viens implorer votre Justice dans le même lieu, où vous avez fait serment de la rendre à tout le monde.
Le Parlement eſt aſſemblé:	Le Parlement est assemblé:
Ie le prends pour mon Iuge, & ne veux point d’autre Aduocat que ma conſcience:	Je le prends pour mon Juge, et ne veux point d'autre Aduocat que ma conscience:
la verité eſt aſſez eloquente pour ſouſtenir les intereſts de la vertu.	la vérité est assez éloquente pour soutenir les intérêts de la vertu.
Voſtre Majeſté me veut repudier;	Votre Majesté me veut répudier;
qu’elle en die le ſujet, puis que i’en dois ſouffrir la peine.	qu'elle en die le sujet, puis que j'en dois souffrir la peine.
L’amour qu’elle a pour Arthenice me peut bien rendre malheureuſe, mais nos pas criminelle;	L'amour qu'elle a pour Arthénice me peut bien rendre malheureuse, mais nos pas criminelle;
Et ſi ie ſuis innocente dans mon malheur, veut elle adjouſter l’exil à mes infortunes pour ſe couurir de honte & me combler d’ennuis?	Et si ici suis innocente dans mon malheur, veut -elle ajouter l'exil à mes infortunes pour se couvrir de honte et me combler d'ennuis?
Qu’on ne conſidere point ma condition.	Qu'on ne considère point ma condition.
Ie me foubſmets à la rigueur de la Loy;	Je me fousmets à la rigueur de la Loi;
Mais ſi ie luy laiile rautorite de me condamner, il n'eſt pas juſte qu’on la luy oſte pour m’abſoudre.	Mais si ici lui laiile rautorite de me condamner, il n'est pas juste qu'on la se oste pour m'absoudre.
LE ROY.	LE ROY.
La raiſon du diuorce qui ſe fait dans les mariages doit eſtre touſiours cachée pour l’honneur des intereſſez voſtre crime domeſtique m’oſte la liberté de le publier.	La raison du divorce qui se fait dans les mariages doit être toujours cachée pour l'honneur des intéressez votre crime domestique m'ôte la liberté de le publier.
Ie le cognois, & reſſens déja la peine qui vous eſt impoſee par le regret qui m’en demeure.	Je le connais, et ressens déjà la peine qui vous est impose par le regret qui m'en demeure.
L’affection que j’ay pour Arthenice ne fait point voſtre malheur ni voſtre crime.	L'affection que j'ai pour Arthénice ne fait point votre malheur ni votre crime.
Ie l’aime parce qu’elle eſt vertueuſe, & ie vous repudie parce que vous ertes coupable.	Je l'aime parce qu'elle est vertueuse, et où vous répudie parce que vous ertes coupable.
De plaider la cauſe de mon reſſentiment deuant mes ſujets, ie leur ferois pitié, & ils ne ſçauroient me faire iuſtice.	De plaider la cause de mon ressentiment devant mes sujets, ie tu ferais pitié, et ils ne sauraient me faire justice.
Ce qui me contraint dans l’extremite ou ie me treuue, a me ſeruir de ma puiſſance pour venger mon honneur.	Ce qui me contraint dans l'extrémité ou un me trouve, à me servir de ma puissance pour venger mon honneur.
LA REYNE.	LA REINE.
Si i’ay interreſſe voſtre honneur, vous faites aſſez connoiſtre mon crime;	Si j'ai interresse votre honneur, vous faites assez connaître mon crime;
mais où ſont les teſmoins, ie ne voy que des Iuges.	mais où sont les témoins, ie ne vois que des Juges.
LE ROY.	LE ROY.
Il me ſuffit d’auoir eu la honte de vous accuſer, ie veux euiter celle de vous conuaincre.	Il me suffit d'avoir eu la honte de vous accuser, tu veux éviter celle de vous convaincre.
