A MADAME DE BONNELLE.	À MADAME DE BONELLE.
Strephon.	Stréphon.
STREPHON.	STREPHON.
Qui t'oblige à ſortir?	Qui t'oblige à sortir?
Quelle impudenc	Quelle impudenc
LE PAGE.	LE PAGE.
La pure obeïſſance:	La pure obéissance:
Mon Maiſtre te conjure auiourd’huy d’empeſche Periandre.	Mon Maître te conjure aujourd'hui d'empêche Périandre.
STREPHON.	STREPHON.
De quoy?	De quoi?
LE PAGE.	LE PAGE.
D’entrer dans le logis.	D'entrer dans le logis.
De le venir chercher,	De le venir chercher,
STREPHON.	STREPHON.
Qu’il dorme en aſſeurance, Il le fuira bien-toſt, comme toy la potence.	Qu'il dorme en assurance, Il le fuira bientôt, comme toi la potence.
LE PAGE.	LE PAGE.
Mais cela ſe peut-il?	Mais cela se peut-il?
STREPHON.	STREPHON.
Ie veux que ſa maiſon Luy ſoit plus en horreur qu’vn cachot de priſon.	Je veux que sa maison Lui soit plus en horreur qu'un cachot de prison.
Va, rentre, & ne ſors plus, ie vais fermer la porte:	Va, rentre, et ne sors plus, ils vais fermer la porte:
Si tu ſors d’aujourd’huy, que le Diable m’emporte.	Si tu sors d'aujourd'hui, que le Diable m'emporte.
C’eſt a moy maintenant à faire mon deuoir, La fourbe eſt d’importance, il y ſaut tout préuoir:	C'est à moi maintenant à faire mon devoir, La fourbe est d'importance, il y saut tout prévoir:
Mais i’en ſortiray bien, i’ay l’art & la ſoupleſle, Pour faire ſucceder l’effet de ma promeſſe.	Mais j'en sortirai bien, j'ai l'art et la souples, Pour faire succéder l'effet de ma promesse.
Que le bon homme vienne, il ne m’importe plus, Deſormais tous mes ſoins me ſeront ſuperflus, I’ay dequoy le dupper, ie ne ſuis plus en peine.	Que le bon homme vienne, il ne m'importe plus, Désormais tous mes soins me seront superflus, J'ai dequoy le duper, Elle ne suis plus en peine.
Mais le voicy qui vient, il eſt tout hors d’haleine:	Mais le voici qui vient, il est tout hors d'haleine:
Dieux qu’il eſt échauffé, l’on le va rafraiſchir, Ie m’en vais m’éloigner, & ie vais m’affranchir.	Dieux qu'il est échauffé, l'on le va rafraîchir, Je m'en vais m'éloigner, et a pais m'affranchir.
SCENEV.	SCENEU.
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
PERIANDRE ſeul.	PERIANDRE seul.
Nfin, graces aux Dieux qui préſidẽt ſur l’onde, I Ie reuoy la lumiere, & ie reuiens au monde;	Nfin, grâces aux Dieux qui présidẽt sur l'onde, I Ie reuoy la lumière, et été reviens au monde;
Car c’eſt bien eſtre mort que d’eſtre ſur les flots, Où le vent enragé ſe rit des Matelots.	Car c'est bien être mort que d'être sur les flots, Où le vent enragé se rit des Matelots.
Me voicy de retour d’vn penible voyage, Apres auoir ſauué mon Vaiſſeau du naufrage, Ie reuoy mon pais, ie reuoy ma maiſon, Et croy que i’ay couru l’vne & l’autre horiſon.	Me voici de retour d'une pénible voyage, Après avoir sauvé mon Vaisseau du naufrage, Je revois mon pais, je reuoy ma maison, Et crois que j'ai couru l'une et l'autre horizon.
D i Que mon am- eſton braue, & qu'elle eſtoit hardie Alors que i’entrepris le deſſein de Candie!	 y Que mon am-on est brave, et qu'elle était hardie Alors que j'entrepris le dessein de Candie!
Que ce hardy projet eſtoit mal raiſonné!	Que ce hardi projet était mal raisonné!
Si i’y retourne plus, i’y veux eſtre berné:	Si j'y retourne plus, j'y veux être berné:
Si ie reuois iamais les flots que du riuage, Si jamais ie me fie à leur trompeur viſage, I'auray perdu l’eſprit, i’auray perdu le ſens.	Si ici rêvais jamais les flots que du rivage, Si jamais tu me fie à leur trompeur visage, J'aurai perdu l'esprit, j'aurai perdu le sens.
Que l’on m’y cherche enfin, de bõ cœur i’y cõſens, Certe ils ont eu de moy la derniere viſite, Ie leur deuois encor, mais enfin i’en ſuis quitte, Et ie romps auec eux.	Que l'on m'y cherche enfin, de bien cœur j'y cons, Erte ils ont eu de moi la dernière visite, Je leur devais encor, mais enfin j'en suis quitte, Et ainsi romps avec eux.
STREPHON.	STREPHON.
Ce n’eſt pas ſant ſujet.	Ce n'est pas sant sujet.
Que n’engloutiſſent-ils ce malheureux objet!	Que n'engloutissent-ils ce malheureux objet!
PERIANDRE.	PERIANDRE.
Que mõ retour va plaire à tous mes domeſtiques Les Dieux en receuront des prieres publiques.	Que mon retour va plaire à tous mes domestiques Les Dieux en recevront des prières publiques.
STREPHON.	STREPHON.
Ils en auroient de moy, s’ils t’auoient fait perir.	Ils en auraient de moi, s'ils t'avaient fait périr.
PERIANDRE.	PERIANDRE.
Ie me veux repoſer, ie ſuis las de courir, Deux ans ſont eſcoulez depuis que ie ſoûpire Apres mon cher païs	Je me veux reposer, ie suis las de courir, Deux ans sont écoulez depuis que sans soupire Apres mon cher pays
STREPHON.	STREPHON.
Qui t’en pourroit proſcrire Nous rendroit auiourd’huy de ſenſibles plaiſirs.	Qui t'en pourrait proscrire Nous rendrait aujourd'hui de sensibles plaisirs.
PERIANDRE Charmante Nicoſie, objet de mes deſirs, Enfin ie te reuois.	PERIANDRE Charmante Nicosie, objet de mes désirs, Enfin toujours te revois.
STREPHON.	STREPHON.
Ha c’eſt ce qui me tuë, Et c’eſt le deſeſpoir de mon ame abatuë.	Ha c'est ce qui me tue, Et c'est le désespoir de mon âme abattue.
PERIANDRE.	PERIANDRE.
Enfin ie te reuois, agreable maiſon, Qui ſeras deſormais ma fidele priſon, Ie ne te quitte plus;	Enfin ie te rêvais, agréable maison, Qui seras désormais ma fidèle prison, Je ne te quitte plus;
mais la porte eſt fermée, Heurtons, & promptement:	mais la porte est fermée, Heurtons, et promptement:
Dieux!	Dieux!
mon ame eſt charmée Des plaiſirs innocens que ie vais receuoir.	mon âme est charmée Des plaisirs innocents que sans vais recevoir.
Liſtan, mon cher Liſtan, ie m’en vais te reuoir.	Listan, mon cher Listan, Elle m'en vais te revoir.
Heurtõs encore vn coup;	Heurtons encore un coup;
mais ie n’entẽs perſonne, On ne me répond point, ce ſilence m’eſtonne, On aura de ma mort fait quelque bruit ſecret, Nmon Fils, & Strephon, en ſont morts de regret.	mais était n'entends personne, On ne me répond point, ce silence m'étonne, On aura de ma mort fait quelque bruit secret, Némon Fils, et Stréphon, en sont morts de regret.
Hurtons fort derechef, & nous fai ons entendre.	Hurtons fort derechef, et nous fait ons entendre.
Quiheurte la STREPHON.	Quiheurte la STREPHON.
PERIANDRE.	PERIANDRE.
Strephon.	Stréphon.
STREPHON.	STREPHON.
O mon cher Periandre, Mon cher Maiſtre, eſt-ce vous?	Ô mon cher Périandre, Mon cher Maître, est-ce vous?
PERIANDRE.	PERIANDRE.
Tu me vois de retour.	Tu me vois de retour.
STREPHON.	STREPHON.
Les Dieux en ſoient benis!	Les Dieux en soient bénis!
ô fauorable iourt Mais oſtons-nous d’icy.	ô favorable jourt Mais ôtons-nous d'ici.
PERIANDRE.	PERIANDRE.
Pourquoy?	Pourquoi?
que veux-tu dire?	que veux-tu dire?
Entrons dans le logis.	Entrons dans le logis.
STREPHON.	STREPHON.
Non pas pour vn Empire:	Non pas pour un Empire:
Ie n’en approche pas de vingt pas ſeulement.	Je n'en approche pas de vingt pas seulement.
Pourquoy?	Pourquoi?
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
Retirez-vous, vous dis-je, & promptement.	Retirez-vous, vous dis-je, et promptement.
PERIANDRE.	PERIANDRE.
Entrons dans le logis.	Entrons dans le logis.
STREPHON.	STREPHON.
3 Le Ciel vous en preſerue.	3 Le Ciel vous en preserve.
Pourquoy?	Pourquoi?
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
N’approchez pas.	N'approchez pas.
PERIANDRE.	PERIANDRE.
O l’admirable vervel Entrons, c’eſt perdre temps.	Ô l'admirable vervel Entrons, c'est perdre temps.
STREPHON.	STREPHON.
Tout-beau, n’auancez pas, Si vous ne vous oſtez, vous courez au trépas, Et vous nous perdez tous.	Toutbeau, n'avancez pas, Si vous ne vous ôtez, vous courez au trépas, Et vous nous perdez tous.
PERIANDRE.	PERIANDRE.
Allons, tu n’es pas ſage.	Allons, tu n'es pas sage.
STREPHON.	STREPHON.
Ma foy, vous vous perdez.	Ma foi, vous vous perdez.
PERIANDRE.	PERIANDRE.
Dis-moy donc la raiſon?	Dis-moi donc la raison?
Ridicule preſage!	Ridicule présage!
STREPHON.	STREPHON.
La voulez-vous ſçauoir?	La voulez-vous savoir?
nelas:	nélas:
c’eſt vn malheur qu’on ne pouuoit préuoi Il eſtoit malaiſé d'éuiter cette perte.	c'est un malheur qu'on ne pouvait préuoi Il était malaisé d'éviter cette perte.
Comment?	Comment?
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
Depuis ſix mois la maiſon eſt deſerte.	Depuis six mois la maison est déserte.
Pourquoy?	Pourquoi?
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
Pour vn grand crime.	Pour un grand crime.
PERIANDRE.	PERIANDRE.
O Dieux!	Ô Dieux!
& qui l’a faitt	et qui l'a faitt
STREPHON.	STREPHON.
Ie fremis au penſer d’vn ſi ſanglant ſorfait.	Je frémis au penser d'une si sanglant sorfait.
Monſeur, fethonacfious.	Monsieur, féthonacfious.
PERIANDRE.	PERIANDRE.
Quel eſt donc ce grand crime?	Quel est donc ce grand crime?
STREPHON.	STREPHON.
Ce n’eſt qu’auec horeur que ma bouche l’exprime;	Ce n'est qu'avec horeur que ma bouche l'exprime;
Mes cheueux au penſer ſe dreſſent ſur mon front.	Mes cheveux au penser se dressent sur mon front.
PERIANDRE.	PERIANDRE.
Ie veux en eſtre inſtruit.	Je veux en être instruit.
STREPHON.	STREPHON.
Deux mots y ſuffiront.	Deux mots y suffiront.
Celuy qui vous vendit cette maiſon funeſte, Que ie fuiray touſiours à l’égal de la peſte, Y poignarda ſon Hoſte auant voſtre marché.	Celui qui vous vendit cette maison funeste, Que était fuirai toujours à l'égal de la peste, Y poignarda son Hôte avant votre marché.
PERIANDRE.	PERIANDRE.
O Dieux que medis-tu?	Ô Dieux que médis-tu?
STREPHON.	STREPHON.
Son cadavre eſt caché Aufonds de voſtre caue, il me l’a dit luy-meſme.	Son cadavre est caché Aufonds de votre cave, il me l'a dit ton-même.
PERIANDRE.	PERIANDRE.
Comment t’apparut-il?	Comment t'apparut-il?
STREPHON.	STREPHON.
Triſte, anglant, & bleſme.	Triste, anglant, et blême.
PERIANDRE.	PERIANDRE.
Que tu me fais de peur!	Que tu me fais de peur!
STREPHON.	STREPHON.
Il me dit en deux mots Que quelque peu de terre auoit couuert ſes os, Que ſon Hoſte ſçachant ſa valiſe eſtre pleine D’or & de diamans, d’vne rage inhumaine, Peidant qu’il repoſoit, l’auoit aſſaſſiné.	Il me dit en deux mots Que quelque peu de terre avait couvert ses os, Que son Hôte sçachant sa valise être pleine D'or et de diamants, d'une rage inhumaine, Peidant qu'il reposait, l'avait assassiné.
Iugez ſi ce diſcours ne m’a point eſtonné.	Jugez si ce discours ne m'a point étonné.
PERIANDRE.	PERIANDRE.
Pour moy i’en fuſſe mort.	Pour moi j'en fusse mort.
STREPHON.	STREPHON.
Il me dit dauantage, Que l’on le rebutort à l’inſernal paſſage, Parce qu’il eſtoit mort d’vn trépas violent.	Il me dit davantage, Que l'on le rebutort à l'insernal passage, Parce qu'il était mort d'un trépas violent.
PERIANDRE.	PERIANDRE.
Que deuiendra-t’il donc?	Que deviendra-t-il donc?
STREPHON.	STREPHON.
D'vn diſcours froid & lent, Il me dit quittez-moy cette maiſon pollue, Ie la veux habiter.	D'un discours froid et lent, Il me dit quittez-moi cette maison pollue, Je la veux habiter.
PERIANDRE.	PERIANDRE.
Hat la ftayeur me tuë, N’yrentrons point, Strephon.	Hat la ftaieur me tue, N'irentrons point, Stréphon.
STREPHON.	STREPHON.
Voſtre Fils du depuis, Qui ne me croyoit point, le vit par pluſieurs nuits D'vn effroyable voix il luy parla de meſme.	Votre Fils du depuis, Qui ne me croyait point, le vit par plusieurs nuits D'un effroyable voix il lui parla de même.
PERTANDRE.	PERTANDRE.
Il s’en deuoit fuir.	Il s'en devait fuir.
STREPHON.	STREPHON.
Sa peur eſtoit extrémez A quelque temps de la nous quittâmes auſſi.	Sa peur était extrêmez A quelque temps de la nous quittâmes aussi.
Mais Dieux!	Mais Dieux!
PERIANDRE.	PERIANDRE.
Què veux-tu dire?	Qu' veux-tu dire?
STREPHON.	STREPHON.
E loignons nous d’iey.	E loignons -nous d'ie.
PERIANDRE.	PERIANDRE.
Qu'eſt-ce?	Qu'est-ce?
ie meurs de peur.	Elle meurs de peur.
STREPHON.	STREPHON.
I'ay veu branler la porte, Et ie crains que bien-toſt ce vieux ſpectre ne ſorte.	J'ai vu branler la porte, Et ie crains que bientôt ce vieux spectre ne sorte.
Auez-vous pas frappé?	Avez-vous pas frappé?
PERIANDRE C'eſtoit ſans y penſer.	PERIANDRE C'était sans y penser.
DIRHTHON.	DIRHTHON.
Hat vous allez vous perdre, & nous embaraſſer, Il va vous aſſommer.	Hat vous allez vous perdre, et nous embarrasser, Il va vous assommer.
PERIANORE.	PERIANORE.
Et toy?	Et toi?
STREPHON.	STREPHON.
C’eſtautre choſe, I’ay fait paix auec luy, ie ne crains pas qu’il oſe, Nous sõmes trop amis.	C'estautre chose, J'ai fait paix avec vain, tu ne crains pas qu'il ose, Nous sommes trop amis.
Mais que i’entẽs de bruit, Ce caquet importun me pert & me détruit.	Mais que j'entends de bruit, Ce caquet importun me pert et me détruit.
Il entend cauſer Liſtan & Calliane.	Il entend causer Listan et Calliane.
PERIANDRE.	PERIANDRE.
Tu trembles neantmoins.	Tu trembles néanmoins.
STREPHON.	STREPHON.
C’eſt pour vous, Periandre.	C'est pour vous, Périandre.
Eſcoute.	Écoute.
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
Eſloignez-vous?	Éloignez-vous?
PLRIANDRE.	PLRIANDRE.
Quel conſeil dois-je prendrer	Quel conseil dois-je prendrer
STREPHON bas.	STREPHON bas.
Si ma fourbe s’éuente, aujourd’huy ie ſuis mort	Si ma fourbe s'évente, aujourd'hui tu suis mort
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
I’accuſois l’injuſtice du ſors.	J'accusais l'injustice du sors.
De quoy?	De quoi?
PFRIANDRE.	PFRIANDRE.
STREPHON.	STREPHON.
Qui vous preſente vn ſi faſcheux obſtacle.	Qui vous présente un si fâcheux obstacle.
PERIANDRE.	PERIANDRE.
Mais querant à cela?	Mais quérant à cela?
STREPHON.	STREPHON.
Conſultons-en l’Oracle.	Consultons-en l'Oracle.
PERIANDRE.	PERIANDRE.
S’il n’en veut pas ſortir, c’eſt en vain ſe peiner.	S'il n'en veut pas sortir, c'est en vain se peiner.
Ha, ma chere maiſon, faut-il t’abandonner?	Ha, ma chère maison, faut-il t'abandonner?
STR PHON.	STR PHON.
Fuyez, i’entens du bruit.	Fuyez, j'entends du bruit.
PERIANDRE.	PERIANDRE.
t toy, que veux-tu faire?	 toi, que veux-tu faire?
STREPHON.	STREPHON.
Pour moy ie n’ay nen fait qui luy puiſſe déplaire, Ce n’eſt pas comme vous qui troublez ſon repos.	Pour moi votre n'ai nen fait qui lui puisse déplaire, Ce n'est pas comme vous qui troublez son repos.
PERIANDRE.	PERIANDRE.
Et la frayeur pourtant t’a tranſi iuſqu’aux os	Et la frayeur pourtant t'a transi jusqu'aux os
STREPHON.	STREPHON.
Moy, i'ay peur des viuans.	Moi, j'ai peur des vivants.
PERIANDRE.	PERIANDRE.
Comment?	Comment?
que veux-tu dire?	que veux-tu dire?
STREPHON.	STREPHON.
tuyez, c’eſt le conſeil que ie vous veux preſcrire:	tuiez, c'est le conseil que je vous veux prescrire:
Fuyez, dis-je, & priez Hercule, & tous les Dieux, Qu’ils chaſſẽt ce phãtoſme hors de ces triſtes lieux.	Fuyez, dis-je, et priez Hercule, et tous les Dieux, Qu'ils chassent ce phãtosme ur de ces tristes lieux.
PER ANDRE.	PER ANDRÉ.
Allons dedans le Temple implorer ſa puiſſance.	Allons dedans le Temple implorer sa puissance.
STREPHON.	STREPHON.
Allons-y, ie vous ſuis, c’eſt ſa ſeule aſſiſtance ui vous peut deliurer du ſpectre & de la peur.	Allons-y, Madame vous suis, c'est sa seule assistance ui vous peut délivrer du spectre et de la peur.
bas.	bas.
O Dieux!	Ô Dieux!
perdez la duppe, & ſauuez le trompeur.	perdez la dupe, et sauvez le trompeur.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III SCENE PRE MIERE.	ACTE III SCÈNE PRÉ MIÈRE.
STREPHON, LISTAN, PHILISE, CALLIANTE, FLORIS, & IVSTINE, au Balcon.	STREPHON, LISTAN, PHILISE, CALLIANTE, FLORIS, et JUSTINE, au Balcon.
STREPHON ſeul.	STREPHON seul.
Fpendant que mon Maiſtre eſt à chercher Li O ſandre, Pour luy parler du meurtre, & luyfaire reprendre Ce logis execrable où l’on parle aux eſprits, Ie m’en vais acheuer mon ouurage entrepris, Ie m’en vais retrouuer Liſtan & ſa Maiſtreſſe, Et taſcher d’adoucir leur crainte & leur triſteſſe.	Fpendant que mon Maître est à chercher Li Ô sandre, Pour lui parler du meurtre, et luyfaire reprendre Ce logis exécrable où l'on parle aux esprits, Je m'en vais acheuer mon ouvrage entrepris, Je m'en vais retrouver Listan et sa Maîtresse, Et tâcher d'adoucir leur crainte et leur tristesse.
Ie m’enferre, il eſt vray, dans vn hardy deſſein;	Je m'enferre, il est vrai, dans un hardi dessein;
Mais que pouuois-je faire, ayant la mort au ſein, La frayeur dans l’eſprit, le deſeſpoir dans l’ame?	Mais que pouvais-je faire, ayant la mort au sein, La frayeur dans l'esprit, le désespoir dans l'âme?
Pouuois-je alors ourdir vne plus prompte trame Qui pût épouuanter ce malheureux vieillard?	Pouvais-je alors ourdir une plus prompte trame Qui pût épouvanter ce malheureux vieillard?
Et pouuois-je à propos agir auec plus d’art?	Et pouvais-je à propos agir avec plus d'art?
Les Dieux, dont la bonté m’inſpira la penſée, La feront reüſſir, ils me l’ont auancée;	Les Dieux, dont la bonté m'inspira la pensée, La feront réussir, ils me l'ont avancée;
Ft i’eſpere auiourd’huy d’en benir le ſuccés, Puis qu’ils m’ont ſecouru dãs mes plus forts accés.	Fait j'espère aujourd'hui d'en bénir le succès, Puis qu'ils m'ont secouru dans mes plus forts accès.
Quelque Quelque méchãtqu’on ſoit, quelque perdu Athleté, Qu on trouue ſon ſeçours dans la Bonté celeſte, Quoy qu’on ait offenſé la Iuſtice des Dieux, Ils reçoiuent touſjours les larmes de nos yeux, Et ne ſont iamais ſourds à noſtre ſyndereſe.	Quelque Quelque méchãtqu’on soit, quelque perdu Athleté, Quel on trouve son seçours dans la Bonté celeste, Quoi qu'on ait offensé la Justice des Dieux, Ils reçoivent toujours les larmes de nos yeux, Et ne sont jamais sourds à notre synderese.
