A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
» Le tems eſt par le tems fauorable luy meſme.	" Le temps est par le temps favorable lui avait.
Alboïün.	Alboïün.
Non, non, ſi plus long tems ici nous retardons, I’ocaſion ſi propre, & belle nous perdons.	Non, non, si plus long tems ici nous retardons, J'ocasion si propre, et belle nous perdons.
Guerb.	Guerb.
Mais ſi ſecrettement iustin vous vient ſorprendus manque de conſeil il ne vous fudra prendre.	Mais si secrètement justin vous vient sorprendus manque de conseil il ne vous fudra prendre.
Pered.	Pèred.
Volontiers les coüards ſont ſuiets à ce mal, Ou les hardis touſiours cheriſt le ſort fatal.	Volontiers les coüards sont sujets à ce mal, Ou les hardis toujours chérît le sort fatal.
Guerb.	Guerb.
es choſes que l’on fait par vn aduis bien ſage, portent en nul tems, ni perte, ni dommage.	es choses que l'on fait par un avis bien sage, portent en nul temps, ni perte, ni dommage.
Alboüin.	Alboullin.
ſout propos perdus il n’en faut plus preſcher, i'y a nul ſuiet qui me puiſſe empeſcher ſubiuguer Longin, & touté l’It alie ndre ſous mon pouuoir en bref aſſuietie.	sout propos perdus il n'en faut plus prêcher, j'y a nul sujet qui me puisse empêcher sujet Longin, et touté l'It alie ndre sous mon pouvoir en bref assuiétie.
Donc qu’vn chacun s’apreſte, & qu’on voie briller s Caſques, vos Pauois, & vos Lances en l’air, e les Campagnes ſoient de Piques heriſſees, de fougueux Cheuaux ſuperbement preſſees, ie le haniſſement des Genets furieux corde auec le ſon des trompettes aſfreux, que le biuit tremblant du Phifre, & de la Caſſe, braues fantaßins vne nuee amaſſe nblable au pers orage aſprem ent menaſſant, i les biens de ceres va cruel terraſſant, tout ainſi qu’on voit quand vne greſte arriue, ur ruiner la vendenge, & la moiſſon tardiue, de meſie qu’vn foudre œuure Vulcanien, e Iupiter élance au terroir Lemien.	Donc qu'un s' Univre, et qu'on voie briller soient Casques, vos Pavais, et vos Lances en l'air, eu les Campagnes soient de Piques hérissées, de fougueux Cheuaux superbement pressées, elle le hanissement des Genets furieux corde auec le son des trompettes asfreux, que le biuit tremblant du Phifre, et de la Casse, braves santa nuée amasse nblable au pers orage asprem menassant, y les biens de ceres na cruel terrassant, tout a uon voit quand pe greste or, ur ruiner a vendenge, et la moisson or, de mesie foudre œuure Age, Iupiter élance au terroir Lemien.
Que les Cors enroüez ſanfarant leurs alarmes, iment au combat les moins hardis gensdarmes, Ie Zephre doux ſe joite des drapeaux, mme le bleu Neptun des Dauphins ſous les eaux:	Que les Cors enroüez sanfarant leurs alarmes, iment au combat les moins hardis gensdarmes, Je Zéphre doux se joite des drapeaux, même le bleu Neptun des Dauphins sous les eaux:
e de tous coſtez la ieuneſſe s’aſſemble, r Caſſer ce Longin qui deſia de peur tremble.	eu de tous côtés la jeunesse s'assemble, Casser ce Longin qui déjà de peur tremble.
Iu bref, ſems plus tarder, qu’on marche prompt emeut Sans perdre vn beau ſuies par le retardement, 23 Vn eminent peril apreste plus de gloire, „ Que ſi l'on remportoit ſans danger la victoire Ie ſeray le premier par les rangs des Soldars, Conduit de ma fortune au mili eu des haz ards Il faut donc toſt aller dedans la Flaminie, Ou nous prendrons Vicence.	Ju bref, sems plus tarder, qu'on marche prompt émeut Sans perdre un beau sues par le retardement, 23 Un éminent péril apreste plus de gloire, „ Que si l'on remportait sans danger la victoire Je serai le premier par les rangs des Soldars, Conduit de ma fortune au mili eu des has ards Il faut donc tôt aller dedans la Flaminie, Ou nous prendrons Vicence.
& Veronne, & Pauit Puu aiant prins ces champs ſi richement fertili Ils vous ſeront apres à chacun departis.	et Veronne, et Pavit Pu ayant prins ces champs si richement fertili Ils vous seront après à chacun départis.
Chœur des Lomb.	Chœur des Lomb.
Nous ne pouuons auoir de tote d’auantage Que d’emploter pour vous neſtre indomp ié cours Il nous tarde diſia que ſous vos Eftendars, Noui ne ſemmes eucor au milieu des haz ards, Et que nous ne voions les fertiles campagnes, Couuertes de corps morts, en formes de montagnu, Et ſerpenter le ſang par maints diuers ruiſſeaux, Pour du Tybre Romain vermeillonner les eam, Nous ſommes deſia prests d’occuper ceste terre, Qui le corps de Satumne en ſon giron enſerre.	Nous ne pouvons avoir de tote d'avantage Que d'emploter pour vous nêtre indomp é cours Il a tarde disia que sous vos Étendards, Noui ne semmes écor au milieu des has ards, Et que nous ne voyons les fertiles campagnes, Couvertes de corps morts, en formes de montagnu, Et serpenter le sang par maints divers ruisseaux, Pour du Tibre Romain vermeillonner les eam, Nous sommes déjà prêts d'occuper cette terre, Qui le corps de Sumne en son giron enserre.
Pered.	Pèred.
Ianais l’Italien ne nous reſistera, Et deuant nous Lengin ainſi qu’vn Cerf fuira Auec tous ſes Soldats:	Janais l'Italien ne nous résistera, Et devant nous Lengin ainsi qu'un Cerf fuira Avec tous ses Soldats:
ou comme par les plamnes Tous pantelans de peur les Moutons port e-lamnes, On voit fuir peureux aux Lions grands & roux Enflamez de fureur, & de iuſté courroux, Ni meſme de Iustin les bandes Caſanieres, N’oſeront s’opoſer à vos forces guerrieres, Biz ance ou il eſt or paiſible reſidant, Ne ſe ſauuera pas que n'alliez, con mandant Ses peuples, & qu’vn iour la ſenglante Bellonne, N'honore voſtre front de la trip le couronne.	ou comme par les plamnes Tous pantelans de peur les Moutons port eût-lamnes, On voit fuir peureux aux Lions grands et roux Enflamés de fureur, et de justé courroux, Ni de de Justin les bandes Casanières, N'oseront s'opposer à vos forces guerrières, Biz ance ou il est or paisible résidant, Ne se sauvera pas que n'alliez, con mandant Ses peuples, et qu'un jour la sénéglante Bellonne, N'honore vôtre font de la trip le couronne.
Guerb.	Guerb.
5auez reſolu de tenter ce baz ad, ie crains que Iustin triomphe du Lombard.	5avez résolu de tenter ce bas ad, tu crains que Justin triomphe du Lombard.
Alboüin.	Alboullin.
l vn preux Hector, & qu’il euſt à ſa ſuite, plus vaillans guerri ets, & la fleur, & l’élite, tous Achillez, ou tous Aiax encor ent ils en conſeil ſemblables à Nestor, bien à l’Ithaquois en ruſe, & en malice, s leur enſeignerons des armes l'exercice.	Il l' preux Hector, et qu'il eût à sa suite, plus vaillant guerri ets, et la fleur, et l'élite, tous Achillez, ou tous Aiax jours ent ils en conseil semblables à Nestor, bien à l'Ithaquois en ruse, et en malice, s leur enseignerons des armes l'exercice.
CHOEVR DE LOMBARDS.	CHOEUR DE LOMBARDS.
Epuis que Scandinauie Noſtre natale patrie Abandonnaſmes par ſort, Et que Snio noſtre P ince Pout ſoulager ſa Prouince Vouloit fuiremettre à mort Ce qui reſtoit inutile En ce lieu de biens ſterile, Nous auons treuué touſiours En guerre vn heureux ſecours.	Epuis que Scandinavie Notre natale patrie Abandonnâmes par sort, Et que Snio notre P ince Pout soulager sa Province Voulait fuiremettre à mort Ce qui restait inutile En ce lieu de biens stérile, Nous avons trouvé toujours En guerre un heureux secours.
eſt de nos chefs la prudence  Auec noſtre obeiſſance Qui nous cauſe ce bon-heur, Car des Chefs l’inſufiſance, Et des Soldats l’arrogance N’aportent que du malheur, Mais nous Martialle race Qui pour vn ſi long eſpace Vogons ſut les flots de Mars Deſions tous les hazais.	est de nos chefs la prudence Avec notre obéissance Qui nous cause ce bonheur, Car des Chefs l'insupisance, Et des Soldats l'arrogance N'apportent que du malheur, Mais nous Martialle race Qui pour un si long espace Vogons sut les flots de Mars Desions tous les hasais.
Auſſi dés noſtre Ieuneſſe Cherchons de vertu l’adreſſe, Force, & magnanimité D’honneur, & gloire ſuiuie Ne conſumant noſtre vie A rien de l’oiſiueté, La fatigue nous agrée, Et noſtre Eſprit ſe recrée Autrauail & au labeur Degrez d’immortel honneur.	Aussi dès notre Jeunesse Cherchons de vertu l'adresse, Force, et magnanimité D'honneur, et gloire suivie Ne consumant notre vie A rien de l'oisiveté, La fatigue nous agrée, Et notre Esprit se recrée Autravail et au labeur Dégrès d'immortel honneur.
Tant de hautes entrepriſes Que nous auons à fin miſes De noſtre valleur font foy, Les Vvandels, & les Bulgares Et tant de peuples Barbaies Gardent la Lombarde LoyTuriſinde, & Turiſmonde Et leur ſucceſſeur Comonde Ont counu que les Lombards Sont inuincibles Soldards.	Tant de hautes entreprises Que nous avons à fin mises De notre valleur font foi, Les Vandels, et les Bulgares Et tant de peuples Barbaies Gardent la Lombarde LoyTurisinde, et Turidonde Et leur successeur Comonde Ont counu que les Lombards Sont invincibles Soldards.
Noſtre Roy vaillant, & brane Qui n’eſt d’aucun vice eſclaue Et qui ne tend qu’à l’honneur, Rehauſſera noſtre gloire, Par cette belle victoire Deſſus Iuſtin l’Empereur:	Notre Roi vaillant, et brane Qui n'est d'aucun vice esclaue Et qui ne tend qu'à l'honneur, Rehaussera quelque gloire, Par cette belle victoire Dessus Justin l'Empereur:
LItalie aux champs fertilles Ses forts Chaſteaux, & ſes villes Seront departiz bien toſt A ce Vvinilién oſt.	LItalie aux champs fertilles Ses forts Châteaux, et ses villes Seront départés bien tôt À ce Vvinilién ost.
cet effet nous conuie La Fortune noſtre amie Le Ciel, & noſtte neur auſſi.	cet effet nous convie La Fortune grande amie Le Ciel, et nostte neur aussi.
Puis donc que ſi bons auſpices Nous ſont benins, & propices Pourquoy tardons nous ici?	Puis donc que si bons auspices Nous sont bénins, et propices Pourquoi tardons nous ici?
Allons faire dés cette heure Dans la Romagne demeure, Car auſſi bien le deſtin Nous promet le champ Latin.	Allons faire dès cette heure Dans la Romagne demeure, Car aussi bien le destin Nous promet le champ Latin.
ACTE III.	ACTE III.
Roſem.	Rosem.
Polycrite.	Polycrite.
Alboüin.	Alboullin.
Gueib.	Gueib.
Almach.	Almach.
Peredee.	Pèredée.
Roſem.	Rosem.
ve ceux-là ſont heureux à qui le Dieu qui tonne Depart vne fortune, or' mauuaiſe, ore bonne, Et qui toutes les fous qu’il leur verſe vn tonbeur.	ve ceux-là sont heureux à qui le Dieu qui tonne Départ une fortune, or' mauvaise, ore bonne, Et qui toutes les fous qu'il leur verse un tonbeur.
De ſon tonneau ſenestre il leur meſte vn malheue De ſaçon que touſiours vne extreme tieſſe, Soit trauerſee vn peu de legere triſteſſe, Crainte que tout d’vn coup le funeſte mechef Ne vienne acrauanter du bien heureux le chef, Car tant plus qu’il ſe voit la fortune proſpere, Tant plus eſt il ſuiur d’encombre, ou de miſere.	De son tonneau senestre il leur mette un malheue De saçon que toujours une extrême tiesse, Soit traverse un peu de légère tristesse, Crainte que tout d'un coup le funeste mechef Ne vienne acravanter du bien heureux le chef, Car tant plus qu'il se voit la fortune prospère, Tant plus est il suivr d'encombre, ou de misère.
Si d’auenture il monte au ſommet de l’honneus, Il voit tout en vn coup raualler ſa grandeur, Semblable à ces hauts pins d’Ide la ſourcilleuſe, qui cachent daus le Ciel leur cime audacieuſe, E qui ieunes croiſſans ont gauchy les effors Du violent Boree, & des Autans plus fors, Mais comne leur Derruque en haut ſe leue fiere, Des tempeſtes ils ſont le iou et ordinaire, Si que les vents ſiſlans, & l’orage grondant, Bien ſouuent vont ſur eux leur puiſſance d’ardau Ils les font leur touet renuerſer deſſus l’herbe, Et rompre en mille éclats leur perruque ſupeibe.	Si d'aventure il monte au sommet de l'honnus, Il voit tout en un coup ravaller sa grandeur, Semblable à ces hauts pins d'Ide la sourcilleuse, qui cachent daus le Ciel leur cime audacieuse, E qui jeunes croissants ont gauchi les efforts Du violent Boree, et des Autans plus fors, Mais comne leur Derruque en haut se lève fière, Des tempêtes ils sont le iougez ordinaire, Si que les vents sislants, et l'orage grondant, Bien souvent vont sur eux leur puissance d'aveu Ils les font leur touet renverser dessus herbe, Et de en mille éclats leur perruque su.
Ainſi ie doute fort noſtre proſperité, Tristement ſe changer en quelque aduerſité, Ou bien quelque accident ſiniſtre & déplorable, Nous rendre vergongneux en eſtat miſerable, Car iamais Alboüin n’a treuué le Deſtin, Contre tous ſes deſſeins aucunement mutin.	Ainsi ie doute fort notre prospérité, Tristement se changer en quelque aduersité, Ou bien quelque accident sinistre et déplorable, Nous rendre vergongneux en état misérable, Car jamais Albouin n'a trouvé le Destin, Contre tous ses desseins aucunement mutin.
Depuis que des Lombards il a prins la conduite, Iamais il n’a counu la fortune depite, Tout luy ſuccede heureux ſelon ſa volonté, Iuſques là que d’auoir mon pere ſarmonté Apres auoir deſis d’vne victoire heureuſe Enuoie Turiſmonde en la tombe poudreuſe.	Depuis que des Lombards il a prins la conduite, Jamais il n'a counu la fortune dépite, Tout lui succède heureux selon sa volonté, Jusques là que d'avoir mon père sarmonté Apres avoir désis d'une victoire heureuse Envoie Turismonde en la tombe poudreuse.
Le ſort n'eSt point encor laſſe de ſon bon-heur, Car chacun iour on voit acroiſtre ſa grandeur, Toute choſe luy rit, tout luy est fauorable, I’air la Ierre, les cieux, & l’onde Naugable, E- l’Eternel des Dieux de ſon muy le meilleur, Epand ſur luy ſans ceſſe vn torrent de bon heur, Bref ie croy, ſi ſon ſort ne change en peu d’anness Toutes les Regions ſeront de luy hornees, Soit depuus ou Phœbuς atele ſes cheuaux, Iuſques ou chez ſa Tante il finit ſes trauaux, Iuſques au Garamante, ou tuſques ou l’Ob large, En ſes flois recourbez chez Veihis ſe decharge.	Le sort n'eS point encor lasse de son bonheur, Car chacun jour on voit acroistre Toute grandeur, Toute chose lui rit, tout même est favorable, J'air la Ierre, les cieux, et l'onde Naugable, EST-je l'Éternel des Dieux de son mui le meilleur, Epand surfois sans cesse un torrent de bon heur, Bref ainsi crois, si son sort ne chang en peu d'anness Toutes les Regions seront de lui Sornes, Soit depuus si Phœu télé ses chevaux, Iusques ou chez sa Tante il finit ses urs, Ou au Garamante, ou tusques ou l le, In ses finit ses chez Veihis ou l'.
„, Maisrien n’et de conſtãt, tout change auec le tems, ».	„, Maisrien n'et de constant, tout change avec le temps, ».
Et les Aſt es nous vont d’vn bon eſp e flatans , Pour déremper apre, la Fortune preſpere » Alet te fiet amer a en tnangement ſeuere.	Et les Ast ès nous vont d'Hommes bon esp flatans , Pour déremper âpre, la Fortune prespère " Alet te fiet amer a en tangement sévère.
», Tout change, & ſe rechãge, & l’heur le plus couhtãt »» Se retire ſouuent de nous en vn inſtant.	", Tout change, et se rechamge, et l'heur le plus couhtãteur Se retire souvent de nous en un instant.
C'est pourquoy ie redout e ò chere Polycrite Qu'Alboüin n’ait bien tost la Fortune dépite.	C'est pourquoi votre redout eût été chère Policrite Qu'Alboullin n'ait bien tôt la Fortune dépite.
Polyente.	Polyente.
Albouin eſt cheri du Destin, & des Cieux Et ſon nom redoutable en ce rond ſpacieux, Plus qu’vn foudre afiné dans lEtneanne Rocbe Que le Saiurnien d’vn bras vengeur décoche.	Albouin est chéri du Destin, et des Cieux Et son nom redoutable en ce rond spacieux, Plus qu' foudre afiné dans lEtneanne Roce Que le Saiurnien d'un bras vengeur décoche.
Madame ne craignez veſtre Epoux domtera Le peril le plus grand qui ſe preſentera, Car ce grand Dieu touſiours à de luy pris la cure, Comme encor vous voiez le bien qu’il luy procure.	Madame ne craignez vêtre Époux domptera Le péril le plus grand qui se présentera, Car ce grand Dieu toujours à de rendre pris la cure, Comme encor vous voyez le bien qu'il avait procure.
Rolem.	Rolem.
Autre choſe m’aſlige.	Autre chose m'aslige.
Polye.	Poloie.
Et quoy?	Et quoi?
dites le moy.	dites le moi.
Roſem.	Rosem.
Iene le puis conter tant i'en ſuis en émoy.	Jène le puis conter tant j'en suis en émoi.
Polye.	Poloie.
Encor pouuez vousbien m’en dire deux paroles, Peut eſtre que ce ſont quelques choſes frinoles.	Encor pouvez vousbien m'en dire deux paroles, Peut être que ce sont quelques choses frinoles.
Roſem.	Rosem.
Friuoles, ie voudron que cela faſt ainſi.	Fruoles, Seigneur voudron que cela fât ainsi.
Polye.	Poloie.
Peut estre vous pourray ie arracber ce ſouci.	Peut être vous pourrai ici arracber ce souci.
Roſem.	Rosem.
A'onie, pleuſt à Dieu que ce fust choſe feinte Que ce qui maintenant me donne tant de crainte.	A'onie, plut à Dieu que ce fût chose feinte Que ce qui maintenant me donne tant de crainte.
Polye.	Poloie.
» Aprebender vn mal cauſe plus de tourment 3, Que n'en fait quelquefois le promt éaenement, » Puis l’extréme douleur beaucoup ſe diminuë, 99 Lors que nous la rendons à nos amis counue.	" Aprebender un mal cause plus de tourment 3, Que n'en fait quelquefois le prét éaenement, " Puis l'extrême douleur beaucoup se diminue, 99 Lors que nous la rendons à nos amis counue.
Dites moy ie vous pri ce qui vous geſne ainſe " Vn deplaiſir caché rend le cœur tout tranſi.	Dites -mo ie on pri ce qui vous gêne ainse " Un déplaisir caché rend le cœur tout transi.
Roſem.	Rosem.
Poly crite mon cœur, ma plus fidelle amnie que ie cheris autant que mon ame demie, Pour auoir maint efois par vos ſages diſcours Alegé les ennuis qui troubloient mes beaux iourt Ie vous deceleray ce qui me met en peine.	Poli crite mon cœur, ma plus fidèle amie que je chéris autant que mon âme demie, Pour avoir maint -fois par vos sages discours Alégé les ennuis qui troublaient mes beaux jour Je vous décélérai ce qui me met en peine.
Le flonbeau lumineux qui le iour nous ameine Auoit chaßé lanuict, & le flz eux ſommeil, Suiuant la belle Aurore au viſage vermeil.	Le flonbeau lumineux qui le jour nous âme Auoit chassé lanuit, et le fls eux sommeil, Suivant la belle Aurore au visage vermeil.
Les Monts, les Chanps, les Prez, rioient à ſa venuẽ Couronne de raions dans la courtine bleuë, Et de tous les costez les chantres peinturez Tirelitoient tous gaiz leurs beaux motets ſacrez.	Les Monts, les Chanps, les Prez, riaient à sa venuence Couronne de rayons dans la courtine bleuë, Et de tous les côtés les chantres peinturez Tirelitaient tous gagnés leurs beaux motets sacrés.
Qu'Alboüin aßtiſté de ſes Chefs, & ſes gardes Et d'autres Colonels des Legions Lombardes, Du vaillant Peredee, & du ſage Guerbin En Prudence en Conſeil, en ſçauoir tout diuin, Propoſa qu’il voulois ſeigueurier la terre	Qu'Alboüin assisté de ses Chefs, et ses gardes Et d'autres Colonels des Légions Lombardes, Du vaillant Peredee, et du sage Guerbin En Prudence en Conseil, en savoir tout divin, Proposa qu'il voulais seigueurier la terre
Que l’Eridan cornu de-ſes replis enſerre, a pour ce ſuiet fait tenir ſon conſeil Dn de tous s’eſt treuué l'auis au ſi en pareil.	Que l'Eridan cornu de-ses replis enserre, a pour ce sujet fait tenir son conseil Dn de tous s'est trouvé l'avis au si en pareil.
Il commande s’armer, & ſans longue demeure hacun s’eſt treuue preſt le ſeruir à toute heure.	Il commande s'armer, et sans longue demeure hacun s'est trouve prêt le servir à toute heure.
Déia les colonels, & tous les Cheſi Lombards Donnent commandement à ſes braues ſoldards, De ſe tenir tous preſts pour batre la Campagne,	Déjà les colonels, et tous les Chési Lombards Donnent commandement à ses braves soldards, De se tenir tous prêts pour battre la Campagne,
Et conquerir les champs que le bean Tybre bagne.	Et conquérir les champs que le bean Tibre bagne.
Eux alegres de ioie acourent promtement es vns pour parfournir le corps d’vn Negiment, et autres à Cheual en ſerpenſes ſoudaines Cont treuuer Brauachans leurs vaillans Capitanes.	Eux alègres de joie accourent promtement es uns pour parfournir le corps d'un Négiment, et autres à Cheval en serpenses soudaines Cont trouver Bravachants leurs vaillants Capitanes.
Qui a veu quelquefois quaha le Pere du iour Lait chez le Scorpion ſon maladif ſciour, pres d'vn fleuue arriuer à tire, tire d’ailles De mille, & mille parts grand nombre d'H irondelles, Paur retourner enſemble aux autres Regions u'en Decembre Phœbui bruſle de ſes Zuons, I ſe ſouui endra voir d’Albouin lesgend'amnes Ei deçà, qui dela, ſemettent tous en armes.	Qui a vu quelquefois quaha le Père du jour Lait chez le Scorpion son maladif sciour, pres d'un fleuve arriver à tire, tire d'ailles De mille, et mille parts grand nombre d'H irondelles, Paur retourner ensemble aux autres Regions en Decembre Phœbui brûle de ses Zuons, I se souui endra voir Albouin lesgend'amnes deçà, qui dela, semettent tous en armes.
Polycrite celame germe des douleurs ui feroient ruiſſeler des torrens de mes pleurs.	Polycrite celame germe des douleurs ui feraient ruisseler des torrents de mes pleurs.
Iur il faudra quiter ce pais agreable pour s'en aller baſtir des chaieaux ſur le ſable, Puis ſuporter außi les ennuieux trauaux It tout ce qu'Enion peut aporter de maux, Et qui plus est encor la peur continuelle De voir à mon mari la fortune rebelle.	Jur il faudra quitter ce pais agréable pour s'en aller bâtir des chaieaux sur le sable, Puis supporter aussi les ennuyeux travaux It tout ce qu'Enion peut aporter de maux, Et qui plus est encor la peur continuelle De voir à mon mari la fortune rebelle.
Polye.	Poloie.
Madame il eſt bien vray que veſtre iugement Aprehende à bon droit ce ſubit dhmgement:	Madame il est bien vrai que vêtre jugement Appréhende à bon droit ce subit dhmgement:
Mai, il ne faut pourtant qu'vne morne tusteſſe	Ma, il ne faut pourtant qu'une morne tustesse
40 Altere pour cela veſtre rare ſageſſe.	40 Altère pour cela vêtre rare sagesse.
Faut s’armer de couſtance, & que iamais la peur Ne ſe loge imbeoile en vostre Royal εαuς.	Faut s'armer de coûtance, et que jamais la peur Ne se loge imbeoile en votre Royal εαuς.
Si le Roy comble d’heur entreprend vn voiage Pour ſon aduancement, ou bien pour ſon domnagé Vos plaintes ne pourront ſon deſſemn diuertir A tout ce qu’il deſire il conuient conſentir.	Si le Roi comble d'heur entreprend un voyage Pour son avancement, ou bien pour son domnagé Vos plaintes ne pourront son dessemn divertir À tout ce qu'il désire il convient consentir.
Le meilleur cataplaſme à guerir cette crainte, C’eſt de n’auoir au tœur de paßon empramte, Et receuoir à gré tout cela que les Cieux Tont pleuuoir de malheurs & de biens precieux, Sur nos coup ables cheſs, qui bien ſouuent ſont dignis Eprouuer tout à fuit leuos col tres inſignes.	Le meilleur cataplasme à guérir cette crainte, C'est de n'avoir au tœur de passon empramte, Et recevoir à gré tout cela que les Cieux Tont pluoir de malheurs et de biens précieux, Sur nos coup ables chess, qui bien souvent sont dignis Éprouver tout à fuit luos colos très insignes.
» C’eſt en l’afliction ou relu ſt la vertu, Et vous montrez auoir le courage abatu, Pour auoir entendlu d’Alhoüin l'entre priſe Que ſon ſauſt.	" C'est en l'afliction ou relu st la vertu, Et vous montrez avoir le courage abattu, Pour avoir entendu d'Alhoüin l'entre prise Que son saût.
D ſtin iuſtement fauoriſe?	 Dîtin justement favorise?
Mad-me il vous faut bien plus de conſtance daii „ Car ſanteſtre conſtaus il ne faut rien preuoir.	Mad-me il vous faut bien plus de constance daii „ Car santêtre constaus il ne faut rien prévoir.
Qu l plaiſir aurez, vous quaud toute l’Italie, Souz voſtre alme pouuoir verrez aſſu ieitie?	Qu l plaisir aurez, vous quaud toute l'Italie, Souz votre âme pouvoir verrez assu ieitie?
Et que les Citadins, & les plus grands Seigneurs, Humblement vous rendront vn milion d'honneurd Des D.	Et que les Citadins, et les plus grands Seigneurs, Humblement vous rendront un milion d'honneurd Des D.
unes honoree ainſi qu’vne Dreſſe A nulle autre ſeconde en beautez, & ſageſſe?	unes honorée ainsi qu'une Dresse À nulle autre seconde en beautés, et sagesse?
Dedans la Ligurie il ne ſe treuue pas Ce qui là vous pourra donner mille ſoulas, C’ESt vn triſte terroir, bien qu’il ne ſou ſterile, Ou toute la Romagne eſt plaiſante, & ſ'ntile, Vous creignez, ſeulemeut le trauail endurer?	Dedans la Ligurie il ne se trouve pas Ce qui là vous pourra donner mille soûlas, C'ESt triste terroir, bien qu'il ne sou stérile, Ou toute la Romagne est plaisante, et s'ntyle, Vous creignez, seulemeut le travail endurer?
Si voul Z au labeur le plaiſir meſurer Dont vous allez ioüir daus la terce Latine, Mille Roſes ce ſont pour vne ſeule Epire, I a'y ꝗ ui trauail, ni peine, ni tourment.	Si voul Z au labeur le plaisir mesurer Dont vous allez jouir daus la terce Latine, Mille Roses ce sont pour une seule Epire, I j'y a ui travail, ni peine, ni tourment.
Qui pour cela ne ſoit vn grand content ement Puis vous voiez encor vne claire apurence De voir Rome la grand ſouz voſtre obeiſſance.	Qui pour cela ne soit un grand content ement Puis vous voyez encor un claire apurence De voir Rome la grand souz votre obéissance.
Si deſia l’inſubrie à ſait ioug à la loy Du Roy voſtre mari qui or en eſt le Roy, Aiant preſque conquis la marche Treurſane, Vicence, Foriul, & Milan & Tauane, Ne redoutez le ſort, ni meſine que les cieux Soient de voſtre bon-heur nullement enuieux, c’et ſans aucun ſuict que voſtre ame eſt atainte D’vne terreur Panique, & d’vne palle trainte.	Si déjà l'insubrie à sait joug à la loi Du Roi votre mari qui or en est le Roi, Ajant presque conquis la marche Treursane, Vicence, Foriul, et Milan et Tauane, Ne redoutez le sort, ni mette que les cieux Soient de votre bonheur nullement envieux, c'et sans aucun su que votre âme est atainte D'une terreur Panique, et d'une pale trainte.
Roſem.	Rosem.
Cela fauuminapicejaume quex preuoy D’aitre choſe qui peut rengreger mon émoy.	Cela fauuminapicejaume quex preuoi D'aytre chose qui peut rengréger mon émoi.
Polyc.	Polyc.
Pourquoy me taiſez rous vos paßions Malame?	Pourquoi me taisez rous vos passions Malame?
Pourquoynem ouurez vous le ſecret de veſtre Ame?	Pourquoinem ouvrez -vous le secret de vêtre Âme?
Ayant iuſqa’a ce iour prins vn extréme ſoin De vous estor ſi lelle au plus est oit heſomn, Ores qu'vn geand ennuy vous trouble le courage Vous deuez me l’ouacir ſans tarder d’auautage.	Ayant iusqa’a ce jour prins un extrême soin De vous étor si lelle au plus est oit hesomn, Ores qu'un géand ennui vous trouble le courage Vous devez me l'ouacir sans tarder d'auautage.
Roſem.	Rosem.
» Quolqueſois la douleur s’aigriſt la decelant.	" Quolquesais la douleur s'aigrît la décelant.
