A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
Ieux, comment la fureur étincelle en ſa face, DQu’eſt-il qu’en ce martel vn amoureux ne face, Vn de ſa qualité, fort d’amis, de credit, Qui peut en vn moment plus faire, qu’il n’a dit, Helas, que le futur m’alarme, déplorable, Paroître à ſon riual tant ſoit peu fauorable, Ruyne ma maiſon, precipite mes iours, Vne playe entamant qui ſaignera touſiours, Cauſe que deux à qui telle ialouſe rage, Pour ce pris amoureux acharne le courage, Ne manquent à ſe perdre, à venir, inhumains, Iournalier accident, des paroles aux mains:	Jeux, comment la fureur étincelle en sa face, DUctest-il qu'en ce martel un amoureux ne face, Un de sa qualité, fort d'amis, de crédit, Qui peut en un moment plus faire, qu'il n'a dit, Hélas, que le futur m'alarme, déplorable, Paraître à son rival tant soit peu favorable, Ruine ma maison, précipite mes jours, plaie entamant qui saignera tousiours, Cause que deux qui telle ialouse rage, Pour ce pris amoureux acharne le courage, Ne manquent se perdre, venir, inhumains, Iournalier accident, des paroles aux mains:
O d'vn proche deſaſtre effroyable apparence, Le plus ſage irreſout en pareille occurrence:	Ô d'un proche désastre effroyable apparence, Le plus sage irresout en pareille occurrence:
Mais voicy Caliſtene à point nommé venu Sçauoir de quels diſcours t’a l’autre entretenu.	Mais voici Calistène à point nommé venu Savoir de quels discours t'a l'autre entretenu.
Caliſtene.	Calistene.
Vn vertueux amour qui poſſede mon ame, Se croiroit offense de plus tatre ſa famt, A qui peut, à qui doit me la faire amortir, Et ſemblable deſſein vn promt effet ſortir, Mon corriual en tout a ſur moy l’auantage, Horſmis d’vne foy pure vnie au parentage, D’vne deuotion qu’autre ne peut auoir, Et que d’ailleurs ne veut ma Sainte receuoir, Vous arbitre étably que l’affaire regarde, Chez qui nature a mis ce beau depôt en garde, A qui nature donne vn premier interêt, Prononcez la deſſus l’irreuocable arrêt, Le deſtin de ma mort où celuy de ma vie, Qui ne ſe tient qu’heureuſe en ce ſujet rauie:	Un vertueux amour qui possède mon âme, Se croirait offense de plus tatre sa famt, A qui peut, à qui doit me la faire amortir, Et semblable dessein un prét effet sortir, Mon corrival en tout a sur moi l'avantage, Horsmis d'une foi pure unie au parentage, D'une dévotion qu'autre ne peut avoir, Et que d'ailleurs ne veut ma Sainte recevoir, Vous arbitre établi que l'affaire regarde, Chez qui nature a mis ce beau dépôt en garde, À qui nature donne premier intérêt, Prononcez la dessus l'irrévocable arrêt, Où se dé ma mort celuy de ma vie, Où ne se tient heureuse en ce sujet rauie:
Vous perdeZ toutesfois vn gendre me perdant, Pauure en biens fortuits, mais en zêle abondant,	Vous perdez toutefois un gendre me perdant, Pauvre en biens fortuits, mais en zèle abondant,
Teophane.	Teophane.
Ma volonté captiue & de nulle puiſſance, Naturellement panche où paroît l’innocence, Elle vous fauoriſe, helas!	Ma volonté captive et de nulle puissance, Naturellement penche où paraît l'innocence, Elle vous favorise, hélas!
mais ſans oſer En ſuprême reſſort du futur diſpoſer, Vn orage préueu ſe forme dans la nuë, Qui blanchit de ſoucis ma vieilleſſe chenuë, Promettre Ariſtoclée à qui ne le croit pas, Poßible auanceroit l’heure de ſon trépas, Ayant à diſputer cette palme amoureuſe, Contre vne ame obſtinée autant que genereuſe, Ayant à retirer cette maſſe du poin D'vn redoutable Alcide & qui frappe de loin,	mais sans oser En suprême ressort du futur disposer, Un orage prévu se forme dans la nue, Qui blanchit de soucis ma vieillesse chenue, Promettre Aristoclée à qui ne le croit pas, Possible avancerait l'heure de son trépas, Ayant à disputer cette palme amoureuse, Contre une âme obstinée autant que généreuse, Ayant à retirer cette masse du poin D'un redoutable Alcide et qui frappe de loin,
L 4 Qui commande abſolu dans ſa ville natale, Ainſi nous deuiendroit l’alliance fatale, Et vaut mieux en cela proceder meurement, Qu'à la hâte, indiſcrets, faire peu ſeuremene.	 4 Qui commande absolu dans sa ville natale, Ainsi nous deviendrait l'alliance fatale, Et vaut mieux en cela procéder meurement, Qu'à la hâte, indiscrets, faire peu seuremene.
Caliſtene.	Calistene.
A la hâte, depuis vn ſiecle que i'endure, Que b'uniour fans gemii meiena jur ja torture, Comme les maux d’autruy, chez nous paſſent le(gers	À la hâte, depuis un siècle que j'endure, Que b'uniour sans gémi meiena jur a torture, Comme les maux d'autrui, chez nous passent le (gers
Teophane.	Teophane.
Ma preuoyance veut diuertir les dangers, Elle veut que le tems à la longue dégoûte, Vn de qui la vindicte, en commun ſe redoute.	Ma prévoyance veut divertir les dangers, Elle veut que le temps à la longue dégoûte, Un de qui la vindicte, en commun se redoute.
ancenes Apres vôtre ſuffrage obtenu, l’auenir Ne ſçauroit de ſa part en crainte me tenir.	ancène Après votre suffrage obtenu, l'avenir Ne saurait de sa part en crainte me tenir.
Teophane.	Teophane.
Si fait bien, moy qui lis dans cette ame bleçée Vne tres-perilleuſe & mauuaiſe pensée, Qu’aprit l’experience à viure indifferant Parmy ceux qui me vont à l’égal honorant.	Si fait bien, moi qui lis dans cette âme bleçée Un très-périlleuse et mauvaise pensée, Qu'aprit l'expérience à vivre indifférant Parmi ceux qui me vont à l'égal honorant.
Caliſtene.	Calistene.
Qur ta pente reauit de pareilprecipice, Mon ſort ne vous doit donc eſperer plus propice;	Qur ta pente reavit de pareilprecipice, Mon sort ne vous doit donc espérer plus propice;
Quoy, n’ay-ie pas le cœur & le bras aſſez fort, Pour empêcher qu’on face à mon honneur, effort.	Quoi, n'ai-je pas le cœur et le bras assez fort, Pour empêcher qu'on face à mon honneur, effort.
Teophane.	Teophane.
Ma faueur paroîtra l’heure propre venuë, Non d’vne impattentɇ eſciaue preuenue.	Ma faveur paraîtra l'heure propre venue, Non d'une impattent esciaue prévenue.
Caliſtene.	Calistene.
Mais la neutralité fomente ce diſcord, Qui ſous l'election d'vn gendre tombe mort.	Mais la neutralité fomente ce discord, Qui sous l'élection d'un gendre tombe mort.
2 Teophane.	2 Tophane.
Ma fille principale à decider l’affaire, Sans blâme, ſans peril, & bien tôt le peut faire,	Ma fille principale à décider l'affaire, Sans blâme, sans péril, et bien tôt le peut faire,
Caliſtene.	Calistene.
Eſtlate) dambjeaquipaſe moncpru, Iln'y a patience à l’heure, qu'on ne prit.	Estlate) dambjeaquipase moncpru, Iln'y a patience à l'heure, qu'on ne prit.
Teophane.	Teophane.
Demain vous l’aprendra ſans plus longue remiſe, La choſe au iugement de tout vn peuple miſe, Où Iunon la nopciere a ſon temple fameux, Où pareils differens ſe vuident, animeux, Straton s’y doit trouuer obligé de parole, Qui perd en ſa pourſuite vne peine friuole, Qui ne peut eſperer que l’affront d’vn refus, Moy certes en danger ſi onques ie le fus:	Demain vous l'apprendra sans plus longue remise, La chose au jugement de tout un peuple mise, Où Junon la nopcière à son temple fameux, Où pareils différents se vident, animeux, Straton s'y doit trouver obligé de parole, Qui perd en sa poursuite une peine frivole, Qui ne peut espérer que l'affront d'vn refus, Moi certes en danger si onques ie le fus:
cut, mourir vne fois me ſemble preferable, A la perplexité qui me tient miſerable.	cut, mourir to fois me semble préférable, À la perplexité qui me tient misérable.
O pauure pere helas, qu’aux éternelles nuits, N’es-tu deſià vaine ombre, & franc de tous ennuis.	Ô pauvre père hélas, qu'aux éternelles nuits, N'es-tu déjà vaine ombre, et franc de tous ennuis.
Calliſtene.	Callistene.
Auant qu’vn bien-faiteur à mon ſuiet s’outrage, I’expoſeray la vie & ce peu de courage, Qui quelquesfois au joug du deuoir a remis D’außi pernicieux & rogues ennemis.	Avant qu'un bienfaiteur à mon sujet s'outrage, J'exposerai la vie et ce peu de courage, Qui quelquefois au joug du devoir a remis D'avez pernicieux et rogues ennemis.
SCENE III.	SCÈNE III.
HJARCIOTOCLEE.	HARCIOTOCLE.
Straton.	Straton.
L ne tient plus qu’à vous, dédaigneuſe farou1 che, Vn ouy proferé de cette belle bouche, Me rend le plus heureux qui reſpire le iour, Qui combate, ſoldat, ſous l’enſeigne d’amour, Le bon homme fléchy, vient de ſigner ma grace, Et ne reſte ſinon que ſa fille le face, Et ne reſte ſinon qu’à me gratifier, De vouloir ſa parole, ores ratifier.	L ne tient plus qu'à vous, dédaigneuse farou1 che, Un ouï proféré de cette belle bouche, Me rend le plus heureux qui respire le jour, Qui combate, soldat, sous l'enseigne d'amour, Le bon homme fléchi, vient de signer ma grâce, Et ne reste sinon que sa fille le face, Et ne reste sinon qu'à me gratifier, De vouloir sa parole, ores ratifier.
Dites donc apreZ moy;	Dites donc apprès moi;
autre épous (i'en atteſte La ſœur du Dieu qui ſied dans le thrône celeſte) Autre épous que Straton ne me poſſedera, Autre, pour mes faueurs, ne le precedera, Auire ne peut ce droit qu’à ſa honte, pretendre, Parlez, faites l’oracle à haute voix entendre, Oracle de qui pend mon bon ou mauuais ſort, Oracle qui me iuge en ſuprême reſſort.	autre épous (en atteste La sœur du Dieu qui sied dans le trône celeste) Autre épous que Straton ne me possédera, Autre, pour mes faveurs, ne le précédera, Avire ne peut ce droit qu'à sa honte, prétendre, Parlez, faites l'oracle à haute voix entendre, Oracle de qui pend mon bon ou mauvais sort, Oracle qui me juge en suprême ressort,
Ariſtoclée.	Aristoclée.
Surpriſe, vne action d’importance ſi grande, Reſoluë à loiſir plus de terme demande, Et ne faut pas auoir beaucoup d’entendement, Pour iuger qu’on ne peut bâtir ſans fondement, Qu’amour ne meurit pas dedans vne iournée, Et ne donne à cueillir les fruits de l’hymenée, Trnue ſuiets à pourrir, en cas que la raiſon Ne les cueille elle-même en leur propre ſaiſon.	Surprise, une action d'importance si grande, Résolue à loisir plus de terme demande, Et ne faut pas avoir beaucoup d'entendement, Pour juger qu'on ne peut bâtir sans fondement, Qu'amour ne meurit pas dedans un journée, Et ne donne à cueillir les fruits de l'hyménée, Trnue sujets à pourrir, en cas que la raison Ne les cueille elle-même en leur propre saison.
Straton.	Straton.
Vous ſemble pas, mauuaiſe, aſſez longue la ſuite Des trauaux amoureux qu’auance ma pourſuite, Vne diſcretion muëtte n’a laißé De vous montrer le cœur mortellement bleßé, Les ſoûpirs, les ſanglots frequens à vôtre aureille, N’ont que trop découuert mon ardeur nonpareille, Même la plus großiere au diſcours eut compris Le but en mes deſſeins du mariage pris, Vne confeßion me plairoit, ingenuë, Vous auoüant, captiue, autrepart detenuë;	Vous semble pas, mauvaise, assez longue la suite Des travaux amoureux qu'avance ma poursuite, Vune discrétion muctte n'a laisse De vous montrer le cœur mortellement blesié, Les soupirs, les sanglots frequens à votre aureille, N'ont que trop découvert mon ardeur nonpareille, Même la plus grossiere au discours eut compris Le but en mes desseins du mariage pris, Une confession me plaimait, ingénue, Vous auoüant, captiue, ait detenuë;
Elle me plairoit plus, voire à l’infinité, Que d’ouyr épargner ainſi la verité.	Elle me plairoit plus, voire à l'infinité, Que d'ouïr épargner ainsi la vérité.
Ariſtoclée.	Aristoclée.
Ma libertine humeur ne s’affecte à perſonne, Qui la connoit, de feinte onques ne ta ſoupçonne.	Ma libertine humeur ne s'affecte à personne, Qui la connaît, de feinte onques ne ta soupçonne.
Straton.	Straton.
Caliſtene chez vous conuerſe, familier, Et doit ainſi plûtôt le courage lier.	Calistène chez vous converse, familier, Et doit ainsi plutôt le courage lier.
Ariſtoclée.	Aristoclée.
Caliſtene parent, vſe d’vne hantiſe, Qui n'allume au deſir aucune conuoitiſe.	Calistene parent, use d'une hantise, Qui n'allume au désir aucune convoitise.
Straton.	Straton.
OEtfi-te que veauoup en parlent autrement.	OEtfi-te que veauoup en parlent autrement.
Ariſtoclée.	Aristoclée.
Le moyen d’empêcher vn vulgaire qui ment.	Le moyen d'empêcher un vulgaire qui ment.
Straton.	Straton.
Non, cela ne ſe peut, mais puis qu’à la bonne heure CheZ vos affections la liberté demeure, Elles pourront ſans peur & ſans ſorce auiourd’huy, Mon ſeruice accepté, me liberer d’ennuy, Elles pourront loger au cœur d’vne pucelle, De mon feu violent quelque foible étincelle, Et n’en rougiſſez point, plûtôt promettons nous, L’inuiolable foy de l’épouſe à l’épous.	Non, cela ne se peut, mais puis qu'à la bonne heure CheZ vos affections la liberté demeure, Elles pourront sans peur et sans sorce aujourd'hui, Mon service accepté, me libérer d'ennui, Elles pourront loger au cœur d'une pucelle, De mon feu violent quelque faible étincelle, Et n'en rougissez point, plutôt promettons nous, L'inviolable foi de l'épouse à l'épous.
ATIItOcIee.	ATIItOcIe.
Mon inclination deteſte le ſeruage, Et me plaît de nourrir vn pudique veufage.	Mon inclination deteste le servage, Et me plaît de nourrir un pudique veufage.
Straton.	Straton.
Ie ne croiray iamais qu’vne telle beauté Panche moins vers l'amour ijue bers ta truauté.	Je ne croirai jamais qu'une telle beauté Panche moins vers l'amour ijue bers ta truauté.
Ariſtoclée.	Aristoclée.
De quelle cruauté ſe trouueroit coupable Vne, qui d’offencer le moindre eſt incapable?	De quelle cruauté se trouverait coupable , qui offencer le moindre est incapable?
Straton.	Straton.
Il ne faudroit donc pas cacher dedans ces yeux Tant de charmeurs appas & ſi contagieux, Il ne faudroit donc pas, inſenſible à leurs flames Sçauoir prendre à la fois & éprendre nos ames:	Il ne faudrait donc pas cacher dedans ces yeux Tant de charmeurs appas et si contagieux, Il ne faudrait donc pas, insensible à leurs flammes Savoir prendre à la fois et éprendre nos âmes:
Parlons du principal, vn pere m’acceptant, Ne conprmerez-vum ſon inois au meme inſtant,	Parlons du principal, un père m'acceptant, Ne conprêmerez-vum son inois au me instant,
Ariſtoclée.	Aristoclée.
Vn pere, la douceur & la prudence même, Ne tiranniſera mes deſirs à l’extrême.	Un père, la douceur et la prudence même, Ne tyrannisera mes désirs à l'extrême.
