A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
Je ne me plaindrois pas, ſi parmy tant de biens Les Dieux avoient mêlé d’autres maux que les miens.	Je ne me plaindrais pas, si parmi tant de biens Les Dieux avaient mêlé d'autres maux que les miens.
Du Païs d’Ionie en ces Lieux amenée, Au ſuperbe Cyrus malgré moy deſtinée, Je vis par ſon trépas finir mes déplaiſirs;	Du Pays d'Ionie en ces Lieux amenée, Au superbe Cyrus malgré moi destinée, Je vis par son trépas finir mes déplaisirs;
Et mon bonheur alloit plus loin que mes deſirs, S’il n’euſt eſté troublé par la mort de la Reyne.	Et mon bonheur allait plus loin que mes désirs, S'il n'eût été troublé par la mort de la Reine.
Tu ſçais bien que pour moy ſa faveur fut ſi pleine, Que le fier Tiribaze en conçeut quelque effroy, D’autant plus qu’elle obtint de l’amitié du Roy, Que j’aurois dans ſa Cour les plus auguſtes marques Qui diſtinguent icy les Filles des Monarques.	Tu sais bien que pour moi sa faveur fut si pleine, Que le fier Tiribaze en conçut quelque effroi, D'autant plus qu'elle obtint de l'amitié du Roi, Que j'aurais dans sa Cour les plus augustes marques Qui distinguent ici les Filles des Monarques.
Quels honneurs!	Quels honneurs!
Qui jamais a paſſé comme moy Par un vol ſi rapide, au rang où je me voy?	Qui jamais a passé comme moi Par un vol si rapide, au rang où je me vois?
Cependant le diray-je, & le pourras-tu croire?	Cependant le dirai-je, et le pourras-tu croire?
Des chagrins ſi cruels empoiſonnent ma gloire, Que je préfererois, pour me les épargner, La honte de ſervir, à l’honneur de régner.	Des chagrins si cruels empoisonnent ma gloire, Que je préférerais, pour me les épargner, La honte de servir, à l'honneur de régner.
BARSINE.	BARSINE.
Depuis deux jours, Madame, affectant la retraite, Pour combatre, ou nourrir quelque douleur ſecrete.	Depuis deux jours, Madame, affectant la retraite, Pour combattre, ou nourrir quelque douleur secrète.
Je voy couler vos pleurs.	Je vois couler vos pleurs.
Le verray-je toûjours, Sans pouvoir à vos maux offrir quelque ſecours?	Le verrai-je toujours, Sans pouvoir à vos maux offrir quelque secours?
ASPASIE.	ASPASIE.
Ces pleurs coulent encor, ces témoins trop fidelles Du trouble que je ſens, & des peines cruelles Que je ſouffre en voulant contraindre ma douleur.	Ces pleurs coulent encor, ces témoins trop fidèles Du trouble que je sens, et des peines cruelles Que je souffre en voulant contraindre ma douleur.
Apprens, & cache bien le ſecret de mon cœur.	Apprends, et cache bien le secret de mon cœur.
Tu connois Artaxerce, & ce nom adorable Préfente à ton eſprit le Roy le plus aimable Que la Perſe ait reçeu de la main de nos Dieux, Toûjours auguſte & grand, toûjours victorieux, Et qui pouvant gagner l’Empire de la Terre, Sacrifie à la Paix la gloire de la Guerre.	Tu connais Artaxerce, et ce nom adorable Préfente à ton esprit le Roi le plus aimable Que la Perse ait reçu de la main de nos Dieux, Toujours auguste et grand, toujours victorieux, Et qui pouvant gagner l'Empire de la Terre, Sacrifie à la Paix la gloire de la Guerre.
Ardent à ſe vanger de ſes fiers Ennemis;	Ardent à se venger de ses fiers Ennemis;
Prompt à leur pardonner, ſi-toſt qu’ils ſont ſoûmis;	Prompt à leur pardonner, sitôt qu'ils sont soumis;
Maître de la Victoire, & vainqueur de luy-meſme, Plus Roy par ſes vertus, que par ſon Diadéme;	Maître de la Victoire, et vainqueur de lui-même, Plus Roi par ses vertus, que par son Diadème;
Libéral, tout le monde eſt plein de ſes bienfaits, Et n’offre à ſes regards que des cœurs ſatisfaits;	Libéral, tout le monde est plein de ses bienfaits, Et n'offre à ses regards que des cœurs satisfaits;
Juſte & clément enſemble, adoré quoy qu’il faſſe, Ou quand ſa main punit, ou quand ſa main fait graces Donnant tout, faiſant tout, pour le bonheur d’autruy, Sans chercher, ny garder que la gloire pour luy.	Juste et clément ensemble, adoré quoi qu’il fasse, Ou quand sa main punit, ou quand sa main fait grâces Donnant tout, faisant tout, pour le bonheur d'autrui, Sans chercher, Seigneur garder que la gloire pour donner.
Ce Roy, ſi grand, ſi craint dans la Paix, dãs les armes, Et tel que je le peins avecque tous ſes charmes, Semble m’offrir ſa main, & me faire entrevoir D'un nomeur que je crams le ſurprenant eſpoir.	Ce Roi, si grand, si craint dans la Paix, dans les armes, Et tel que je le peins avec tous ses charmes, Semble m'offrir sa main, et me faire entrevoir D'un nom que je cramps le surprenant espoir.
Incertaine, & tremblante, & n’oſant m’en défendre.	Incertaine, et tremblante, et n'osant m'en défendre.
BARSTNE.	BARÊTNE.
Eſt-ce un ſi grand malheur?	Est-ce un si grand malheur?
y allReimiee.	y allReimie.
ASPASIE.	ASPASIE.
Acheve de m’entendre,	Acheve de m'entendre,
BARSINE.	BARSINE.
O Dieux!	Ô Dieux!
ASPASIE.	ASPASIE.
Sa bouche à ſon retour, Avant l’aveu du Roy, m’expliqua ſon amour.	Sa bouche à son retour, Avant l'aveu du Roi, m'expliqua son amour.
J’ay fait tous mes efforts, & ſuis preſte à tout faire, Tour mi arfacher au Pifice, & me rendre à ſon Pere.	J'ai fait tous mes efforts, et suis prête à tout faire, Tour mi arfacher au Pifice, et me rendre à son Père.
Quoy que l’amour du Roy s’explique foiblement, Mon reſpect à luy ſeul m’attache uniquement;	Quoi que l'amour du Roi s'explique faiblement, Mon respect à notre seul m'attache uniquement;
Mais l’amour diſpoſant de moy, malgré moyméme.	Mais l'amour disposant de moi, malgré moyméme.
BARSINE.	BARSINE.
Vous aimez Darius?	Vous aimez Darius?
ASPASIE.	ASPASIE.
Oüy, Barſine, je l’aime;	Oui, Barsine, je l'aime;
De ſes fers, quoy qu’ils ſoient, il faut ſe dégager;	De ses fers, quoi qu’ils soient, il faut se dégager;
Mais tu connois mon cœur, eſt-il fait pour changer?	Mais tu connais mon cœur, est-il fait pour changer?
Reconnoiſſance, honneur, devoir, obeïſſance, Cent raiſons à la fois condamnent ma conſtance;	Reconnaissance, honneur, devoir, obéissance, Cent raisons à la fois condamnent ma constance;
Mais cette Loy d’amour, qui rompt toutes les Loix, Me fait toûjours aimer ce que j’aime une fois.	Mais cette Loi d'amour, qui rompt toutes les Lois, Me fait toujours aimer ce que j'aime une fois.
Quelle eſt cette fureur?	Quelle est cette fureur?
Faut-il parce que j’aime, Renoncer à la gloire, & m’oublier moy-meſme?	Faut-il parce que j'aime, Renoncer à la gloire, et m'oublier moi-même?
BARSINE.	BARSINE.
Quel eſt voſtre deſſein?	Quel est votre dessein?
Artaxerce aujourd’huy Choiſit un de ſes Fils pour régner apres luy.	Artaxerce aujourd'hui Choisit un de ses Fils pour régner après avoir.
o n'ionme Darius par ulle Eoy lupreide, Il peut vous demander au Roy malgré vous-meſme.	ô n'âme Darius par ulle Eoi lupreide, Il peut vous demander au Roi malgré vous-même.
ASPASIE.	ASPASIE.
Il peut me demander, m’obtenir malgré moy?	Il peut me demander, m'obtenir malgré moi?
Quel trouble!	Quel trouble!
quel deſordre!	quel désordre!
avertiſſons le Roy.	avertissons le Roi.
Mais c’eſt perdre le Prince, & luy ravir l’Empire, Ou plutoſt, & j’entens que mon cœur en ſoûpire, C eit perdie moi amour.	Mais c'est perdre le Prince, et lui ravir l'Empire, Ou plutôt, et j'entends que mon cœur en soupire, Ç eit perdie moi amour.
Que de cruels combats!	Que de cruels combats!
Pren pitié de mon cœur, ne m’abandonne pas.	Pren pitié de mon cœur, ne m'abandonne pas.
Trahiray-je le Roy?	Trahirai-je le Roi?
trahiray-je ma ſſâme?	trahirai-je ma ssme?
Nitocris.	Nitocris.
BARSINE.	BARSINE.
ASPASIE.	ASPASIE.
Nitocris?	Nitocris?
Elle me hait dans l’ame, Et ce que j’ay de part à la faveur du Roy, Met quelque jalouſie entre ſon Pere & moy.	Elle me hait dans l'âme, Et ce que j'ai de part à la faveur du Roi, Met quelque jalousie entre son Père et moi.
SCENE II.	SCÈNE II.
ASPASIE, NITOCRIS, BARSINE.	ASPASIE, NITOCRIS, BARSINE.
CLEONNE.	CLÉONE.
NITOCRIS.	NITOCRIS.
y Ous me voyez, Madame, étonnée & timides V Dans l’attente d’un choix dont ce grand jour Entre deux Fils Rivaux Artaxerce flotant, [décides N’attend que voſtre avis ſur un choix important.	y Ous me voyez, Madame, étonnée et timides V Dans l'attente d'un choix dont ce grand jour Entre deux Fils Rivaux Artaxerce flotant, [décides N'attend que votre avis sur un choix important.
Un ſi grand intéreſt également nous touche;	Un si grand intérêt également nous touche;
La Perſe, l’Univers, vous parlent par ma bouches B iij Puis qu’enfin l’Univers prend part à ce grand choix Qui donne un Succeſſeur au plus grand de ſes Roys.	La Perse, l'Univers, vous parlent par ma bouches B icij Puis qu'enfin l'Univers prend part à ce grand choix Qui donne un Successeur au plus grand de ses Rois.
ASPASIE.	ASPASIE.
Ariarathe ayant l’appuy de voſtre Pere, Mon crédit pres du Roy vous eſt peu neceſſaire.	Ariarathe ayant l'appui de votre Père, Mon crédit pres du Roi vous est peu nécessaire.
Je ne me flate point;	Je ne me flatte point;
ſi quelquefois le Roy Veut bien pour me parler deſcendre juſqu’à moy, Il croit que le conſeil d’une-jeune Etrangere Eſt moins intéreſſé, plus libre, & plus ſincere, Et la Fortune veut qu’en prenant mes avis, Il ne ſe repent point de les avoir ſuivis.	si quelquefois le Roi Veut bien pour me parler descendre jusqu'à moi, Il croit que le conseil d'une-jeune Étrangère Est moins intéressé, plus libre, et plus sincère, Et la Fortune veut qu'en prenant mes avis, Il ne se repent point de les avoir suivis.
NITOCRIS.	NITOCRIS.
Vous ne dites pas tout, & voſtre modeſtie En dérobe à nos yeux la meilleure partie.	Vous ne dites pas tout, et votre modestie En dérobe à nos yeux la meilleure partie.
C’eſt ainſi, quand on a deſſein de refuſer, Qu’un injuſte refus tâche à ſe déguiſer.	C'est ainsi, quand on a dessein de refuser, Qu'un injuste refus tâche à se déguiser.
Pour vaincre vos froideurs, ſçachez ce qui ſe paſſe;	Pour vaincre vos froideurs, sachez ce qui se passe;
Ne vous abuſez plus, tout a changé de face.	Ne vous abusez plus, tout a changé de face.
Le Prince Ariarathe avoit dans ce grand jour, Avec les droits du ſang, les droits de ſon amour;	Le Prince Ariarathe avait dans ce grand jour, Avec les droits du sang, les droits de son amour;
Et l’eſpoir d’un tel Gendre amoureux & ſincere, Avoit en ſa faveur intéreſſé mon Père;	Et l'espoir d'un tel Gendre amoureux et sincère, Avait en sa faveur intéressé mon Père;
Mais d’un plus doux eſpoir touché plus fortement, Mon Pere a tout d’un coup changé de ſentiment.	Mais d'un plus doux espoir touché plus fortement, Mon Père a tout d'un coup changé de sentiment.
Il eſt pour Darius.	Il est pour Darius.
ASPASIE.	ASPASIE.
Et vous, Madame?	Et vous, Madame?
Luy contre Ariarathe?	Lui contre Ariarathe?
NITOCRIS.	NITOCRIS.
Et moy?	Et moi?
Je ſuis injuſte, ingrate;	Je suis injuste, ingrate;
Mais c’eſt au choix d’un Pere à régler nies deſirs.	Mais c'est au choix d'un Père à régler nies désirs.
Je devore en ſecret mes cruels déplaiſirs;	Je dévore en secret mes cruels déplaisirs;
Je plains Ariarathe, & mon cœur qui ſoûpire, Fait ce grand ſacrifice au bonheur de l’Empire.	Je plains Ariarathe, et mon cœur qui soupire, Fait ce grand sacrifice au bonheur de l'Empire.
ASPASIE.	ASPASIE.
Nous vous devons, Madame, apres ce digne éclat, De grands remercîmens au nom de tout l’Etat.	Nous vous devons, Madame, après ce digne éclat, De grands remercîmens au nom de tout l'État.
S’il faut à cet effort laiſſer tout ſon mérite, Par quel prix envers vous faudra-t-il qu’on s’acquite?	S'il faut à cet effort laisser tout son mérite, Par quel prix envers vous faudra-t-il qu'on s'acquite?
Le Trône eſt le ſeul bien qui peut payer un jour Cet effort de vertu plus grand que voſtre amour.	Le Trône est le seul bien qui peut payer un jour Cet effort de vertu plus grand que votre amour.
Auſſi, ſi j’oſe enfin dire ce que j’en penſe, Cet cllort:	Aussi, si j'ose enfin dire ce que j'en pense, Cet cllort:
tant vante lert pas lans eſpérance, Et Darius touché de ce zele êclatant, Vous deſtine ſans-doute au Trône qui l’attend.	tant vante lert pas lans espérance, Et Darius touché de ce zèle êclatant, Vous destine sans-doute au Trône qui l'attend.
NITOCRIS.	NITOCRIS.
Peut-eſtre;	Peut-être;
mais enfin craignant tout de ſon Frere, Il brigue avec ardeur le ſecours de mon Pere.	mais enfin craignant tout de son Frère, Il brigue avec ardeur le secours de mon Père.
ASPASIE.	ASPASIE.
Il a vû voſtre Pere?	Il a vu votre Père?
NITOCRIS.	NITOCRIS.
Et ce Prifice à fait voir, Que ſur mon Pere ſeul fondant tout ſon eſpoir, Pour mériter nos ſoins, il me gardoit dans l’ame.	Et ce Prifice à fait voir, Que sur mon Père seul fondant tout son espoir, Pour mériter nos soins, il me gardait dans l'âme.
Mais j’en pourrois tropdire.	Mais j'en pourrais tropdire.
ASPASIE.	ASPASIE.
Il vous aime, Madame.	Il vous aime, Madame.
NITOCRIS.	NITOCRIS.
Je connoy peu l’Amour;	Je connais peu l'Amour;
mais vous ſçavez, je croy, A bien examiner ce qui l’attache à moy, Que nulle autre à ſon cœur ne ſçauroit mieux prétendre.	mais vous savez, je crois, À bien examiner ce qui l'attache à moi, Que nulle autre à son cœur ne saurait mieux prétendre.
C’eſt à vous d’achever ce que j’en puis attendre;	C'est à vous d'achever ce que j'en puis attendre;
Sur ce choix important qu’on réſout aujourd’huy, Vous eſtes équitable, & vous ſerez pour luy.	Sur ce choix important qu'on résout aujourd'hui, Vous êtes équitable, et vous serez pour lui.
ASPASIE.	ASPASIE.
Darius voudroit-il me devoir quelque choſe?	Darius voudrait-il me devoir quelque chose?
NITOCRIS.	NITOCRIS.
De tout ſon ſort ſur vous Darius ſe repoſe.	De tout son sort sur vous Darius se repose.
ASPASIE.	ASPASIE.
Si pour vous, ſi pour luy mes vœux ſont écoutez.	Si pour vous, si pour prem mes vœux sont écoutez.
NITOCRIS.	NITOCRIS.
Il ſçait voſtre pouvoir, il ſçaura vos bontez;	Il sais votre pouvoir, il saura vos bontés;
Et moy qui puis ſur luy prendre quelque puiſſance, Je puis vous aſſurer de ſa reconnoiſſance, Et qu’il aime à tenir du rang où je vous voy, Le rang qu’il doit un jour partager avec moy.	Et moi qui puis sur lui prendre quelque puissance, Je puis vous assurer de sa reconnaissance, Et qu'il aime à tenir du rang où je vous vois, Le rang qu'il doit un jour partager avec moi.
SCENE III.	SCÈNE III.
ASPASIE, BARSINE.	ASPASIE, BARSINE.
ASPASIE.	ASPASIE.
DArius me trahit;	DArius me trahit;
Nitocris eſt aimée.	Nitocris est aimée.
BARSINE.	BARSINE.
D'un ſi prompt changement eſtes-vous allarmée?	D'un si prompt changement êtes-vous alarmée?
Je vous voy condamner, & craindre ſes ardeurs.	Je vous vois condamner, et craindre ses ardeurs.
ASPASIE.	ASPASIE.
Voila ce qu’ont produit mes ingrates froideurs;	Voilà ce qu'ont produit mes ingrates froideurs;
J’ay demandé cent fois aux Dieux ſon inconſtance, L'Infidelle a changé ſans trop de violence.	J'ai demandé cent fois aux Dieux son inconstance, L'Infidèle a changé sans trop de violence.
En gagnant Tiribaze, il veut ſe faire Roy;	En gagnant Tiribase, il veut se faire Roi;
Content de Nitocris, il veut régner ſans moy.	Content de Nitocris, il veut régner sans moi.
Allons parler pour luy.	Allons parler pour venir.
Si Darius me quitte, Oublions ſon amour, & non pas ſon mérite.	Si Darius me quitte, Oublions son amour, et non pas son mérite.
Pour le faire régner, ſecondons Nitocris;	Pour le faire régner, secondons Nitocris;
Qu’il chãge en ſa faveur, qu’un Trône en ſoit le prix.	Qu'il change en sa faveur, qu'un Trône en soit le prix.
Que dis-je?	Que dis-je?
tout mon cœur en frémit, en ſoûpire.	tout mon cœur en frémit, en soupire.
Ma Rivale avec luy partageroit l’Empire?	Ma Rivale avec peine partagerait l'Empire?
Mais quel eſt cet indigne & lâche deſeſpoir?	Mais quel est cet indigne et lâche désespoir?
Le Roy m’aime, il m’écoute, & je ſçay mon pouvoir.	Le Roi m'aime, il m'écoute, et je sais mon pouvoir.
Si le Roy veut nommer Darius à l’Empire, Eloignons-le du Trône où Nitocris aſpire.	Si le Roi veut nommer Darius à l'Empire, Eloignons-le du Trône où Nitocris aspire.
