AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
Que vos bontés, Ceres, s’il vous plaiſt me pardonnent, Si i’oſe reueller en preſente des Dieux, Ce que dans les enfers ont veu mes propres yeux.	Que vos bontés, Ceres, s'il vous plaît me pardonnent, Si j'ose reveler en présente des Dieux, Ce que dans les enfers ont vu mes propres yeux.
Ie vis hier la Reine en une promenade.	Je vis hier la Reine en une promenade.
Aux champs eliſiens mangervne grenade.	Aux champs élisiens mangerve grenade.
CERES.	CERES.
Que dit cét auorton des horreurs de la nui t.	Que dit cet avorton des horreurs de la nuit t.
PROSERPINE.	PROSERPINE.
Ah!	Ah!
ma Mere il eſt vray que ie cueilly cefruit, Que t'en mangeay trois grains, me ſentant alteree, Mais pour cela, meſchant, me ſuis-ie pariurée?	ma Mère il est vrai que ainsi cueilly cefruit, Que t'en mangeai trois grains, me sentant altérée, Mais pour cela, méchant, me suis-je parjurée?
43	43
IPITER.	IPITER.
La rigueur du deſtin punit ſeuerement, Ainſi qu'vn grandrepas, ce rafraichiſſement.	La rigueur du destin punit sévèrement, Ainsi qu'un grandrepas, ce rafraîchissement.
CERES.	CERES.
Ahipere ſans amour, t’oniniuſte licence Doit elle de la ſorte affliger l’innocence?	Ahipère sans amour, t'oninjuste licence Doit elle de la sorte affliger l'innocence?
D’où peus tu, chere fille, eſperer du ſupport, Sile Ciel & l’enfer contre toy ſont d’accord?	D'où pussy tu, chère fille, espérer du support, Sile Ciel et l'enfer contre toi sont d'accord?
Quand ie cherchois ces traits dont ta grace eſt pourueue, Mon ſouuerain plaiſir dépendoit de ta veuë, Et lors que ie te voy, des regrets plus puiſſans M'e troublent à la fois & l’esprit & les ſens;	Quand jour cherchais ces traits dont ta grâce est pourvue, Mon souverain plaisir dépendait de ta vue, Et lors que sans te vois, des regrets plus puissants M'e troublent à la fois et l'esprit et les sens;
A quels facheux ennuis me vois-ie reſeruee:	À quels fâcheux ennuis me vois-je réservée:
Et pour t’auoir perdue, & pour t’auoir trouuée;	Et pour t'avoir perdue, et pour t'avoir trouvée;
Quel de ces deux mal-heurs doit m’affliger le plus?	Quel de ces deux malheurs doit m'affliger le plus?
PITER.	PITER.
Qu’on mette fin, Ceres, à ces cris ſuperflus, Il eſt temps deſormais que la cour immortelle Prononce les arreſts, dont tamais on n'appelle, Et qu’enfin elle eſſaye sen recueillant les voix, De contentermary, mere, & fille, à la fois.	Qu'on mette fin, Ceres, à ces cris superflus, Il est temps désormais que la cour immortelle Prononce les arrêts, dont tamais on n'appelle, Et qu'enfin elle essaye sen recueillant les voix, De contentermari, mère, et fille, à la fois.
CERES.	CERES.
Ne me condamnez point pour l’intereſt d’un autre, Ie parle pour mon ſang, ie parle pour le voſtre, Donc ſi Ceres en pleurs ne vous peut émouuoir, Que ſa fille offenſée ait ſur vous ce pouuoir, Ave deſauone S puumt s eſconauijant la mere, Le gage d’vn amour que vous teniez ſi chere, Conſeruez, iuſte Dieu, noſtre commun treſor, Si ce n’eſt plus mafille, elle eſt la voſtre encor, Encette qualité, peut elle bien ſans blaſme, Eſtre d’vn Rauiſſeur la ſuiette, & la fame.	Ne me condamnez point pour l'intérêt d'un autre, Je parle pour mon sang, ie parle our le vôtre, Donc si Ceres en pleurs ne vous peut émouvoir, Que sa fille offensée ait sur vous ce pouvoir, Ave desauone S umt s esconauijant la mère, Le gage d'un amour que vous teniez si chère, Conservez, iuste Dieu, notre commun trésor, Si ce n'est plus mafille, elle est la vôtre encor, Encette qualité, peut -elle bien sans blâme, Estre d'un Ravisseur la suite, et la famé.
PLVTON.	PLUTON.
Souuenez vous, grand Dieu, que ce rauiſſement A pour A pour iuſtes raiſons voſtre conſentement;	Souuenez vous, grand Dieu, que ce ravissement A pour A pour justes raisons votre consentement;
Que ſa fille à mangé dans mon propre heritage, Et que toutes les loix veulent ce mariage.	Que sa fille à mangé dans mon propre héritage, Et que toutes les lois veulent ce mariage.
CERES.	CERES.
Dans quelle iniuſte loy peut il auoir apris, Que mon bien ſoit a luy, parce qu’il me la pris?	Dans quelle injuste loi peut -il avoir apris, Que mon bien soit à parler, parce qu'il me la pris?
Quel miſtere inhumain met ma fille à la geſne, Et permet qu’aux enfers vn barbare l’entreſne?	Quel mystère inhumain met ma fille à la gêne, Et permet qu'aux enfers un barbare l'entresne?
Doit elle y retourner, pour auoir ſeulement Cherché parmy les feux du rafraichiſſement?	Doit -elle y retourner, pour avoir seulement Cherché parmi les feux du rafraîchissement?
S’il faut ſuiure des loix en pareille auenture, Eſcoutez, iuſte Dieu, celles de la nature, Soyez, en nous iugeant, ce meſme Iupiter, Qu’autrefois dans les Cieux ma beauté puſt tenter, Et ne renoncez point aux ſentimens de pere, Pour proteger icy les cruautez, d’vn frere, Dont les feux indiſcrets peuuẽt s’eſteindre ailleurs.	S'il faut suivre des lois en pareille aventure, Escoutez, juste Dieu, celles de la nature, Soyez, en nous jugeant, ce même Jupiter, Qu'autrefois dans les Cieux ma beauté pût tenter, Et ne renoncez point aux sentiments de père, Pour prote ici les cruautés, d'un frère, Dont les feux indiscrets peuuẽt peu être ailleurs.
Neſcouterez vous point la voix de mes douleurs, Parlant pour voſtre enfant ſeray-ie rebutée, Et par ſon pere meſme ainſi perſecutée?	Nécouterez -vous point la voix de mes douleurs, Parlant pour votre enfant serai-je rebutée, Et par son père même ainsi persécutée?
Ah!	Ah!
ma fille, ah!	ma fille, ah!
maioye, ô ſang d’vn ſi grãd Dieu.	moie, ô sang d'un si grand Dieu.
Faut-il que ie te die vn eternel adieu, Et que ie ne le puiſſe imprimer ſur ta bouche, Alors que ie te parle, alors que ie te touche.	Faut-il que Seigneur te die un éternel adieu, Et que je ne le puisse imprimer sur ta bouche, Alors que ie te parle, alors que mille te touche.
Toy, qui du haut des Cieux vois la peine ouie ſuis,	Toi, qui du haut des Cieux vois la peine ouïe suis,
LE RAVISSEMENT, Toy, de qui les enfans t’ont cauſé tant d’ennuis, Toy, que pour eux i’ay veuë en eſtat de tout craindre, Reſſouuiens t’en, Latone, à preſent pour me plaindre, Voy dans tes maux ſouffers les douleurs que ie ſens, Et recommande au Ciel le droit des Innocens;	LE RAVISSEMENT, Toi, de qui les enfants t'ont causé tant d'ennuis, Toi, que pour eux j'ai vue en état de tout craindre, Ressouviens t'en, Latone, à présent pour me plaindre, Vois dans tes maux souffers les douleurs que deux sens, Et recommande au Ciel le droit des Inocents;
Reueille, en ma faueur, tes tendreſſes de mere, Et ſauue des enfers vne fille ſi chere.	Reille, en ma faveur, tes tendresses de mère, Et sauve des enfers une fille si chère.
Et vous, que ſes beautez, ont ſi bienſçeu charmer, Sacrez hoſtes du Ciel, que ie viens reclamer, Dieux, ſi de ſes vertus vos feux prirent naiſſance, Faites le moy paraiſtre, en prenant ſa deffance, Aymez la maintenant, qu’on la priue dus iour, Où ſouffrez que mes pleurs r’allument voſtre amour, Si iadis ſes rigueurs oſerent vous déplaire, N’eſcoutez point contre elle vne iniuſte colere, Perdez en la memoire, où que ce ſouuenir, Serue à la proteger, non pas à la punir:	Et vous, que ses beautés, ont si biensçeu charmer, Sacrez hôtes du Ciel, que ie viens réclamer, Dieux, si de ses vertus vos feux prirent naissance, Faites le moi paraître, en prenant sa défance, Anymez la maintenant, qu'on la prive dus jour, Où souffrez que mes pleurs r’ allument votre amour, Si jadis ses rigueurs osèrent vous déplaire, N'écoutez point contre elle une injuste colère, Perdez en la mémoire, où que ce souvenir, Serue à la protéger, non pas à la punir:
Puiſque c'eſt ſa vertu, puiſque c’eſt ſa ſageſſe, Qui cauſoit ſa rigueur, qui cauſoit ſa rudeſſe.	Puisque c'est sa vertu, puisque c'est sa sagesse, Qui causait sa rigueur, qui causait sa rudesse.
Et que pour m’obeir, elle ne pouuoit pas Auec moins de froideurs temperer ſes apas.	Et que pour m'obéir, elle ne pouvait pas Avec moins de froideurs tempérer ses appas.
Oſtez au Dieu des morts vn droit t'legitime, Qu'il ne peut apuyer que ſur l’horreur d’vn crime, Songez plus d’vne fois, en donnant vos auis, Qu’il y va de mes biens qu’vn voleur ma rauis, Et me voyant ainſi par mes mains deſchiree, Rengez de mon party l’adrette Cytheree.	Ôtez au Dieu des morts un droit t'élégitime, Qu'il ne peut apuyer que sur l'horreur d'un crime, Songez plus d'une fois, en donnant vos avis, Qu'il y va de mes biens qu'un voleur ma ravis, Et me voyant ainsi par mes mains déchirée, Rengez de mon parti l'adrette Cytheree.
Noble orgueil de Ceres, ou te vois-tu ſouſmis, Qu itte failte priermefme tes ememis, Ou t’iray-ie chercher, adorable Iuſtice, Si meſme dans les Cieux tu ne m’es point propice.	Noble orgueil de Ceres, ou te vois-tu sousmis, Qu itte faite priermefme tes émis, Ou t'irai-je chercher, adorable Justice, Si même dans les Cieux tu ne m'es point propice.
PITER.	PITER.
Le ciel, durant ſix moix, veut qu’aux funebres lieux, La vente Ioſerpint à Ituion jou donnée.	Le ciel, durant six moix, veut qu'aux funèbres lieux, La vente Joserpint à Iton jou donnée.
Ordonne, que Ceres, apres luy, dans les Cieux, La poſſede, a ſon gré, le reſte de l’annee;	Ordonne, que Ceres, après lui, dans les Cieux, La possède, à son gré, le reste de l'année;
Et que poureſtre enfin l’vn & l’autre contens, Ils en vſent ainſi dans la ſuitte des temps.	Et que pourêtre enfin l'un et l'autre contents, Ils en usent ainsi dans la suite des temps.
PLVTON.	PLUTON.
Ainſi ie puis, ſans crime, eſtant fait voſtre gendre, Poſſeder à la fois ma Reine, & vous la rendre, Sile pouuoir des Dieux eſt ſur vous abſolu.	Ainsi ie puis, sans crime, étant fait votre gendre, Posséder à la fois ma Reine, et vous la rendre, Sile pouvoir des Dieux est sur vous absolu.
Li	Li
CERES.	CERES.
Il le faut bien vouloir, quand le ciel la voulu.	Il le faut bien vouloir, quand le ciel la voulu.
Elle y ſera tantoſt pleinement reſignee, Quand on aura chanté ces beaux airs d’hymenee, Et que la Cour celeſte, à ſes charmans concers, Aura fait ſucceder mille plaiſirs diuers.	Elle y sera tantôt pleinement résignée, Quand on aura chanté ces beaux airs d'hyménée, Et que la Cour celeste, à ses charmants concers, Aura fait succéder mille plaisirs divers.
