Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
Son zéle en vain pour vous cherche à ſe ſignaler, Qui peut rendre un billet auroit pû vous parler;	Son zèle en vain pour vous cherche à se signaler, Qui peut rendre un billet aurait pu vous parler;
Et meſme en ce billet, par quelle Politique Vous taire les autheurs d’un crime qu’il explique?	Et même en ce billet, par quelle Politique Vous taire les auteurs d'un crime qu'il explique?
Un perfide, un ingrat, malgré mille bien-faits S’engage contre vous au plus noir des forfaits?	Un perfide, un ingrat, malgré mille bienfaits S'engage contre vous au plus noir des forfaits?
S’il vous falloit par là civiner le coupable Qui craindroit plus que moy d’en eſtre crû capable?	S'il vous fallait par là civiner le coupable Qui craindrait plus que moi d'en être cru capable?
Ie tiens de vos bontez un ſort ſi glorieux.	Je tiens de vos bontés un sort si glorieux.
HONORIUS.	HONORIUS.
Ah, c’eſt pouſſer trop loin un ſcrupule odieux, Sur ta fidelité je prens toute aſſeurance, Et pour te faire voir quelle eſt ma confiance, Tout ce que j’apprendray d’un attentat ſi noir, C’eſt de toy ſeulement que je le veux ſçavoir;	Ah, c'est pousser trop loin un scrupule odieux, Sur ta fidélité je prends toute assurance, Et pour te faire voir quelle est ma confiance, Tout ce que j'apprendrai d'un attentat si noir, C'est de toi seulement que je le veux savoir;
Va t’en trouver Zenon, dy luy que je t’envoye, Puis qu’il eſt dangereux qu’au l’alais il me voye, Et pour en eſtre crû luy montrant ce billet, Du ſort qu’on me prepare obtiens tout le ſecret, Je ſe ſçauray de toy.	Va t'en trouver Zenon, dis-même que je t'envoie, Puis qu'il est dangereux qu'au l'alais il me voie, Et pour en être cru cru montrant ce billet, Du sort qu'on me prépare obtiens tout le secret, Je se saurai de toi.
EUCHERIUS.	EUCHÉRIUS.
Tant de bonté m’accable, Seigneur, mais s’il s’obſtine à taire le coupable?	Tant de bonté m'accable, Seigneur, mais s'il s'obstine à taire le coupable?
HONORIUS.	HONORIUS.
Ne crains pas qu’il refuſe à s’ouvrir avec toy, Il ſçait trop quels ſecrets je confie à ta foy, Et ſuſpect s’il me parle, il n’aura pas de peine A m’advertir par toy de celuy qui le gene.	Ne crains pas qu'il refuse à s'ouvrir avec toi, Il sait trop quels secrets je confie à ta foi, Et suspect s'il me parle, il n'aura pas de peine À m'avertir par toi de celui qui le gène.
Marcellin vient icy, ya, ne perds point de temps, Ton zéte me répond de tout ce quej’autens.	Marcellin vient ici, ya, ne perds point de temps, Ton zète me répond de tout ce quej'auts.
SCENE IV.	SCÈNE IV.
HONORIUS, MARCELLIN	HONORIUS, MARCELLIN
HONORIUS.	HONORIUS.
S.	S.
tu porté mon ordre?	tu porté mon ordre?
MARCELLIN.	MARCELLIN.
Ouy, Seigneur, & la tréve Fait naiſtre pleine joye alors qu’elle s’acheve.	Oui, Seigneur, et la trêve Fait naître pleine joie alors qu'elle s'achève.
De l’orgueil d’Alaric tous vos Chefs indignez Formoient d’injuſtes vœux que vous leur épargnez, Et j’admire l’ardeur que chacun d’eux prepare A triompher d’un Got, à chaſſer un Barbare.	De l'orgueil d'Alaric tous vos Chefs indignés Formaient d'injustes vœux que vous leur épargnez, Et j'admire l'ardeur que chacun d'eux prépare A triompher d'un Got, à chasser un Barbare.
La Princeſſe le ſçait, & je viens de la voir, Mais rien dans ce revers n’a paru l’émouvoir, Et d’un T’rône échapé la diſgrace éclatante Luy laiſſe pour ſa perte une ame indifferente.	La Princesse le sait, et je viens de la voir, Mais rien dans ce revers n'a paru l'émouvoir, Et d'un T'rône échappé la disgrâce éclatante Lui laisse pour sa perte une âme indifférente.
SNORIUS.	SNORIUS.
Son orgute eitaule a paroiſtre adoucy;	Son orgute eitaule a paraître adouci;
Mais je voy Stilicon, laiſſe nous ſeuls icy.	Mais je vois Stilicon, laisse nous seuls ici.
SCENE V.	SCÈNE V.
HONORIUS, STILICON.	HONORIUS, STILICON.
HONORIUS.	HONORIUS.
Pproche, & ſi toûjours la meſme ardeur t’enflaine, Viens juger de ma peine au trouble de mon ame.	Pproche, et si toujours la même ardeur t'enflaine, Viens juger de ma peine au trouble de mon âme.
On nous hait, Stilicon, & tes ſages advis En tout temps pour l’Eſtat écoutez & ſuivis, Dans mon gouvernement melent tant de foibieſſe, Que Rome ſe trahit d’en fouffrir la baſſeſſe.	On nous hait, Stilicomon, et tes sages advis En tout temps pour l'État écoutez et suivis, Dans mon gouvernement mêlent tant de faibiesse, Que Rome se trahit d'en souffrir la bassesse.
1 LICON.	1 LICON.
Quoy, Seigneur, l’inſolence iroit juſqu’à l’abus?	Quoi, Seigneur, l'insolence irait jusqu'à l'abus?
On s’emporte à la plainte?	On s'emporte à la plainte?
on murmure?	on murmure?
HONOATUS.	HONOATUS.
On fait plus, Et par une fureur que cette haine inſpire, On en veut à mes jours, Stilicon, on conſpire.	On fait plus, Et par une fureur que cette haine inspire, On en veut à mes jours, Stilicon, on conspire.
LICOS.	LICOS.
On comprſe, pergneur?	On comprse, pergneur?
Ho N.	Ho N.
o.	ô.
R.	R.
1.	1.
U.	V.
s.	s.
Qui l’euſt jamais penſé, Qu’un perfide à ma mort ſe fuſt intereſſé, Et que né dans le Trône où m’affermit ton zéle, 'y deuſſe redouter une main infidelle?	Qui l'eût jamais pensé, Qu'un perfide à ma mort se fût intéressé, Et que né dans le Trône où m'affermit ton zèle, 'y deusse redouter une main infidelle?
En vain l’ordre du Ciel a daigné m’y placer, Tes ſoins m’en firẽt digne, & l’on m’en veut chaſſer.	En vain l'ordre du Ciel a daigné m'y placer, Tes soins m'en firent digne, et l'on m'en veut chasser.
ICON.	JON.
Non, Seigneur, ce ſeront de ces vaines alarmes Qui ſervent d’un beau Regne à redoubler les charmes, Et qui par leur menace eſtonnant les eſprits, Du bien que l’on poſſede étalent mieux le prix.	Non, Seigneur, ce seront de ces vaines alarmes Qui servent d'un beau Règne à redoubler les charmes, Et qui par leur menace étonnant les esprits, Du bien que l'on possède étalent mieux le prix.
L’apparence qu’un Prince & ſi grand & ſi juſte, Que bien moins que ſon rang ſa vertu rend Auguſte, Chery de tout ſon peuple, adoré dans ſa Cour, Authoriſaſt la haine à le priver de jour?	L'apparence qu'un Prince et si grand et si juste, Que bien moins que son rang sa vertu rend Auguste, Chéri de tout son peuple, adoré dans sa Cour, Authorisast la haine à le priver de jour?
HONORIUS.	HONORIUS.
Il l’a fait toutefois, & Zenon.	Il l'a fait toutefois, et Zenon.
TILICON.	TILICON.
Quoy, le traiſtre, Zenon, l’ingrat Zenon attente ſur ſon Maiſtre, Et ce que tout l’enfer verroit avec horreur, Il cherche à s’immoler un ſi bon Empereur?	Quoi, le traître, Zenon, l'ingrat Zenon attente sur son Maître, Et ce que tout l'enfer ait avec horreur, Il cherche à s'immoler un si bon Empereur?
Ah, ſans daigner l’oüir de peur qu’il vous fiéchiſſe, Ne commettez qu’à moy l’ordre de ſon ſupplice, Et ne vous laiſſez pas la triſte libenté De conſulter ſon crime avec voſtre bonté.	Ah, sans daigner l’ mourir de peur qu'il vous fichisse, Ne commettez qu'à moi l'ordre de son supplice, Et ne vous laissez pas la triste libenté De consulter son crime avec votre bonté.
HONORIUS.	HONORIUS.
A trop d’emportement ton zele te diſpenſe, Tu parles de ſupplice où je dois recompenſe, Et ton avidité d’en voir punir l’autheur, Impute un parricide à mon liberateur.	À trop d'emportement ton zèle te dispense, Tu parles de supplice où je dois récompense, Et ton avidité d'en voir punir l'auteur, Impute un parricide à mon libérateur.
Ouy, bien loin que Zenon a ma mort s’authoriſe, C’eſt luy dont je reçois l’advis de l’entrepriſe, Et ſa fideluté qu’il n’a pû démentir, Du peril que je cours cherche à me garantir.	Oui, bien loin que Zenon a ma mort s'autorise, C'est lui dont je reçois l'avis de l'entreprise, Et sa fidéluté qu'il n'a pu démentir, Du péril que je cours cherche à me garantir.
ILICON.	ILICON.
Il vous en donne advis;	Il vous en donne advis;
mais achevez, de grace, De quel lâche aſſaſſin doit on craindre l’audace?	mais achevez, de grâce, De quel lâche assassin doit on craindre l'audace?
HONORIUS.	HONORIUS.
C’eſt ce que ſon billet ne m’a point fait ſçavoir.	C'est ce que son billet ne m'a point fait sçavoir.
ILICON.	ILICON.
Et je m’arreſte encor;	Et je m'arrête encor;
Seigneur, il faut le voir, Ignorant le coupable on pourroit vous ſurprendre.	Seigneur, il faut le voir, Ignorant le coupable on pourrait vous surprendre.
L’ordre eſt donné, demeure, on me va tout apprendre, Et du nom d’un ingrat tu prens un vain ſoucy, Si devant toy ſon crime eſt preſt d’eſtre éclaircy;	L'ordre est donné, demeure, on me va tout apprendre, Et du nom d'un ingrat tu prends un vain souci, Si devant toi son crime est prêt d'être éclairci;
Mais quel eſt ce deſordre où ton cœur s’abandonne?	Mais quel est ce désordre où ton cœur s'abandonne?
Tu ſembles interdit, ton courage s’eſtonne!	Tu sembles interdit, ton courage s'étonne!
TILICON.	TILICON.
Quoy, quand la trahiſon cherche à vous accabler, Je le pourrois, Seigneur, apprendre ſans trembler;	Quoi, quand la trahison cherche à vous accabler, Je le pourrais, Seigneur, apprendre sans trembler;
Theodoſe à mes ſoins commit voſtre jeuneſſe, Et ce cœur a pour vous conçeu tant de tendreſſe, Que redoutant un coup dont j’ignore le bras Dans l’horreur du peril je ne me connois pas.	Théodose à mes soins commit votre jeunesse, Et ce cœur a pour vous conçu tant de tendresse, Que redoutant un coup dont j'ignore le bras Dans l'horreur du péril je ne me connais pas.
Le ſecret de Zenon me tient l’ame à la gêne;	Le secret de Zenon me tient l'âme à la gêne;
Vous aurez ordonné ſans doute qu’on l’améne, Et je crains pour cét ordre où vous vous aſſeurez, Que vous n’ayez choiſi quelqu’un des Conjurez.	Vous aurez ordonné sans doute qu'on l'amène, Et je crains pour cet ordre où vous vous assurez, Que vous n'ayez choisi quelqu'un des Conjurez.
Souvent pour mieux trahir le plus zelé peut feindre:	Souvent pour mieux trahir le plus zélé peut feindre:
Enfin tout m’eſt ſuſpect où je vois tout à craindre, Et je plains voſtre ſort ſi ſans plus differer Moy meſme de Zenon je ne cours m’aſſeurer, Vos jours ſont precieux, le peril eſt extréme, Et je ne puis icy me fier qu’à moy meſme.	Enfin tout m'est suspect où je vois tout à craindre, Et je plains vôtre sort si sans plus différer Moi -même de Zenon je ne cours m'assurer, Vos jours sont précieux, le péril est extrême, Et je ne puis ici me fier qu'à moi -même.
Permettez donc, Seigneur.	Permettez donc, Seigneur.
HONORIUS l'onbraſſant.	HONORIUS l'onbrassant.
O Prince trop heureux, D’avoir dans ſa diſgrace un amy genereux!	Ô Prince trop heureux, D'avoir dans sa disgrâce un ami généreux!
Que l’entrepriſe éclate auſſi-toſt qu’elle eſt ſceuë, Ne m’abandonne point, & j’en crains peu l'iſſuë, Ta veuë eſt un ſeçours qui m’en oſte l’effroy, Et pour la renverſer il me ſuffit de toy.	Que l'entreprise éclate aussitôt qu'elle est sue, Ne m'abandonne point, et j'en crains peu l'issue, Ta vue est un seçours qui m'en ôte l'effroi, Et pour la renverser il me suffit de toi.
Mais en vain pour Zenon tu crains ce que j’ordonne, Voy celuy qui paroiſt, veux-tu qu’on leſoupçonne?	Mais en vain pour Zenon tu crains ce que j'ordonne, Vois celui qui paraît, veux-tu qu'on lesoupçonne?
An, Seigneur.	An, Seigneur.
TILICON.	TILICON.
SCENE VI.	SCÈNE VI.
HONORIUS, STILICON EUCHERIUS.	HONORIUS, STILICON EUCHERIUS.
HONORIUS.	HONORIUS.
s-tu ſçeu le nom de l’aſſaſſin?	s-tu su le nom de l'assassin?
Parle, & devant ton pere éclaircy mon deſtin.	Parle, et devant ton père éclairci mon destin.
EUCHERIUS.	EUCHÉRIUS.
Seigneur, j’ay veu Zenon, & tâché de l’apprendre, Dans la cour du Palais il s’eſtoit venu rendre, Où l’ayantn l’écart adroitement tire, Je demande pour vous quel bras a conſpiré.	Seigneur, j'ai vu Zenon, et tâché de l'apprendre, Dans la cour du Palais il s'était venu rendre, Où l'ayant l'écart adroitement tire, Je demande pour vous quel bras a conspiré.
Il en paroit ſurpris, ſon viſage ſe trouble, A me voir ſon billet a ſurpriſe redouble;	Il en parait surpris, son visage se trouble, À me voir son billet a surprise redouble;
Il demeure pourtant d’accord de l’attentat, Mais me l’éclaircir mieux ſeroit trahir l’Eſtat, Il ſuffit que je ſçache un complot ſi funeſte, Et ce n’eſt qu’à vous ſeul qu’il peut dire le reſte.	Il demeure pourtant d'accord de l'attentat, Mais me l'éclaircir mieux serait trahir l'État, Il suffit que je sache un complot si funeste, Et ce n'est qu'à vous seul qu'il peut dire le reste.
NORIUS.	NORIUS.
Zenon ne t’a rien dit!	Zenon ne t'a rien dit!
STILICON.	STILICON.
Et tu n’as point preſſé?	Et tu n'as point pressé?
EUCHERIUS.	EUCHÉRIUS.
j’ay tenté cent efforts, & n’ay rien advancé.	j'ai tenté cent efforts, et n'ai rien avancé.
I’ay beau de l’entrepriſe examiner la rage, Il ne peut là deſſus s’expliquer davantage, Ce que par ſon adveu je croy juſtifier, C’eſt à vous ſeulement qu’il le doit confier, Et meſme je vous livre à la fureur d'un TraiſtreSi je découvre ailleurs ce qu’on m’en fait connoiſtre, Il m’engage au ſecret, & pour ſe voir ſans bruit Par des lieux dérobez prés de vous iutroduit, Comme ſans nouvel ordre il n’y ſçauroit pretendre.	J'ai beau de l'entreprise examiner la rage, Il ne peut là -dessus s'expliquer davantage, Ce que par son aveu je crois justifier, C'est à vous seulement qu'il le doit confier, Et même je vous livre à la fureur d'un TraistreSi je découvre ailleurs ce qu'on m'en fait connaître, Il m'engage au secret, et pour se voir sans bruit Par des lieux dérobez près de vous jutroduit, Comme sans nouvel ordre il n'y saurait prétendre.
Dans le bois du jardin il eſt allé l’attendre,	Dans le bois du jardin il est allé l'attendre,
HONORIUS.	HONORIUS.
Zenon ne te dit rien, & veut m’entretenir?	Zenon ne te dit rien, et veut m'entretenir?
LICON.	LICON.
Ah, Seigneur, que de maux s’offrent à prévenir!	Ah, Seigneur, que de maux s'offrent à prévenir!
Zenon cherche à vous perdre, & de ſon artifice Mon fils trop imprudent s’eſt rendu le complice, Puis qu’enfin ſon ſilence eſtant à redouter, Pour fuir toute ſurpriſe il devoit l’arreſter.	Zenon cherche à vous perdre, et de son artifice Mon fils trop imprudent s'est rendu le complice, Puis qu'enfin son silence étant à redouter, Pour fuir toute surprise il devait l'arrêter.
EUCHERIUS.	EUCHÉRIUS.
j’ay craint que cét éclat fiſt ſur l’heure entreprendre.	j'ai craint que cet éclat fît sur l'heure entreprendre.
TONORIUS.	TONORIUS.
Quoy, juſques ſur un fils ton ſoupçon peut deſcendre?	Quoi, jusque sur un fils ton soupçon peut descendre?
ILICON.	ILICON.
Non, Seigneur, de mon ſang l’exacte pureté Ne me répond que trop de ſa fidelité, Et ſi pour la noircir il eſtoit aſſez lâche, Ma main dans tout le lien en laveroit la cache;	Non, Seigneur, de mon sang l'exacte pureté Ne me répond que trop de sa fidélité, Et si pour la noircir il était assez lâche, Ma main dans tout le lien en laverait la cache;
Mais alors qu’il s’agit d’un pareil attentat, La plus foible imprudence eſt un crime d’Eſtat, C’eſt hazarder enſemble & vos jours & l’Empire.	Mais alors qu'il s'agit d'un pareil attentat, La plus faible imprudence est un crime d'État, C'est hasarder ensemble et vos jours et l'Empire.
