M IIATERE 196S	M MIATERE 196S
Mais l’arreſt de la mort d’vn miſerable amant, Ne ſçauroit pas ſouffrir vn long retardement.	Mais l'arrêt de la mort d'un misérable amant, Ne saurait pas souffrir un long retardement.
Tirſis.	Tirsis.
Le delay ſera court, car la femme mobile Plus qu'vne feüille au vẽt, ou qu'vn eſpy debile, En peu de temps s’irrite, & ſe r’appaiſe außi:	Le délai sera court, car la femme mobile Plus qu'une feuille au vendre, ou qu'un épi débile, En peu de temps s'irrite, et se ramaise aussi:
Mais rends moy, ie te prie, vn peu mieux eſclaircy De la rigueur du ſort qui trauaille ton ame, Et des attraits außi qui cauſerent ta flame:	Mais rends moi, assez te prie, un peu mieux éclairci De la rigueur du sort qui travaille ton âme, Et des attraits aussi qui causèrent ta flamme:
Car bien que mainte fois tu m’ayes confeſſé Que d'vn trait violent ton cœur eſtoit bleſſé, Tu ne me dis jamais le nom de cette belle Qui tient ta liberté ſi captiue ſous elle;	Car bien que mainte fois tu m'aies confessé Que d'un trait violent ton cœur était blessé, Tu ne me dis jamais le nom de cette belle Qui tient ta liberté si captive sous elle;
Et ſi noſtre amitié qui te force à m’ouurir Les ſecrets que tu dois à tout autre couurir, Sur ma fidelité veut que tu te repoſes.	Et si notre amitié qui te force à m'ouvrir Les secrets que tu dois à tout autre couvrir, Sur ma fidélité veut que tu te reposes.
Aminte.	Aminte.
Je ſuis content, Tirſis, de te dire des choſes, 6 que les fleuues, les bois, & les monts ſçauent bien, Et dont nul des mortels encore ne ſçait rien, Außi bien deſormais mon amoureuſe peine Va menaçant mes jours d’vne mort ſi prochaine;	Je suis content, Tirsis, de te dire des choses, 6 que les fleuves, les bois, et les monts sçauent bien, Et dont nul des mortels encore ne sait rien, Aussi bien désormais mon amoureuse peine Va menaçant mes jours d'une mort si prochaine;
Que c’eſt bien la raiſon que ie laiſſe icy bas Qui conte le ſubjet d’vn ſi cruel trépas, Et proche du ſepulcre où mes os doiuent eſtre, Le graue bien auant dans l’eſcorce d’vn heſtre, Afin que quelque jour cette fiere y paſſant, Et d'vn ſi triſte objet ſes beaux yeux repaiſſant, Dejvuieue pouvenum pieu uu & ſaperbe, es os infortunez eſtendus deſſous l’herbe:	Que c'est bien la raison que ainsi laisse ici bas Qui conte le sujet d'un si cruel trépas, Et proche du sépulcre où mes os doivent être, Le grave bien avant dans l'écorce d'un hêtre, Afin que quelque jour cette fière y passant, Et d'un si triste objet ses beaux yeux repaissant, Dejvuieue pouvenum pieu et saperbe, es os infortuné étendus dessous herbe:
Et meſme aprés ma mort taſche de m’eſtouffer, Rediſant à part ſoy, C’eſt cela triompher:	Et même après ma mort tâche de m'étouffer, Redisant à part soi, C'est cela triompher:
Et qu’elle s’eſiouyſſe en voyant ſa victoire Demeurer pour jamais emprainte en la memoire Tant de ceux du païs, que de tous les Bergers, Qui pourront y venir des païs eſtrangers:	Et qu'elle s'esiouysse en voyant sa victoire Demeurer pour jamais emprainte en la mémoire Tant de ceux du pays, que de tous les Bergers, Qui pourront y venir des pays étrangers:
Et peut-estre (mais las quelle eſt mon eſperance) Qu'eſmeuë en fin vn iour de vaine repentance, Elle pourroit pleurer la mort de cét amant, Que viuant ellé auroit tué cruellement, En diſant, plût aux Dieux qu’icy ie le reuiſſe, En eſtat de m’offrir ſon fidelle ſeruice.	Et peut-être (mais las quelle est mon espérance) Qu'émue en fin un jour de vaine repentance, Elle pourrait pleurer la mort de cet amant, Que vivant elle aïrait tué cruellement, En disant, plût aux Dieux qu'ici après le révisse, En état de m'offrir son fidèle service.
Or eſcoute à preſent.	Or écoute à présent.
P124I8.	P124I8.
Pourſuis, car ie t’entends, Et peut eſtre, à deſſein, meilleur que tu n’attends.	Poursuis, car ainsi t'entends, Et peut -être, à dessein, meilleur que tu n'attends.
Aminte.	Aminte.
J'eſtois ſi jeune encor, que la plus baſſe branche De l’arbre dont le tronc plus vers terre ſe panche, Voire les fruicts nouueaux des arbres les plus nains, Se ſauuoient du danger de mes petites mains:	J'étais si jeune encor, que la plus basse branche De l'arbre dont le tronc plus vers terre se penche, Voire les fruits nouveaux des arbres les plus nains, Se savaient du danger de mes petites mains:
Quand ie deuins amy d'vne petite fille, De viſage & de port deſia la plus gentille, Qui dans tous nos hameaux pouuoit auparauãt.	Quand ici devins ami d'une petite fille, De visage et de port a la plus gentille, Qui dans tous nos hameaux pouvait auparauãt.
Auoir deſueloppé des cheueux d’orau vent:	Avoir desueloppé des cheveux d'orau vent:
Connois-tu celle-là dont Cidippe fut mere, Celle qui reconnoiſt le bon Montan pour pere, Montan que ſes troupeaux n’enrichiſſent pas tant Que ce rare joyau tout autre ſurmontant, L’honneur des bois, Syluie, & l’ardeur de nos ames, C'eſt celle qui verſa dans mon cœur tant de flames, Las!	Connais-tu celle-là dont Cidipe fut mère, Celle qui reconnaît le bon Montan pour père, Montan que ses troupeaux n'enrichissent pas tant Que ce rare joyau tout autre surmontant, L'honneur des bois, Syluie, et l'ardeur de nos âmes, C'est celle qui versa dans mon cœur tant de flammes, Las!
ie veſquis vn temps auec elle ſi bien, Auec elle ie fus vny d' vn tel lien, Que la tourte jamais auec ſa tourterelle N'eſprouua d'vnion qui fût außi fidelle, Nous eſtions fort voiſins, mais nos logis bien moins Que nos deux cœurs entr'eux, l'vn à l’autre eſtoient joints:	Ne véquis un temps avec elle si bien, Avec elle ie fus uni d' un tel lien, Que la tourte jamais avec sa tourterelle N'éprouva d'Hion qui fût aussi fidèle, Nous étions fort voisins, mais nos logis bien moins Que nos deux cœurs entr'eux, l'un autre étaient joints:
Noſtre âge eſtoit pareil, mais bien plus nos penſees A l’ardeur de la proye inceſſamment pouſſees:	Notre âge était pareil, mais bien plus nos pensées À l'ardeur de la proie incessamment poussées:
Enſemble nous allions tendre aux oyſeaux nos rets, Enſemble nous preßions les Cerfs dans nos forests, Ainſi n’ayant jamais tous deux qu’vne entreriſe, Nous mettions en commun le plaiſir & la priſe, Mais tandis que la priſe eſtoit tout mon deſſein, Moy meſme ie fus pris, & ſentis dans mon ſein, Sans qu’il me fuſt iamais poßible de conneſtre D’où cela prouenoit, petit à petit naiſtre, Ainſi que nous voyons que ſouuent ſans ſemer, Des herbes en plein champ ſe prennẽt à germer:	Ensemble nous allions tendre aux oiseaux nos rets, Ensemble nous prinions les Cerfs dans nos forêts, Ainsi n'ayant jamais tous deux qu'une entrerise, Nous mettions en commun le plaisir et la prise, Mais tandis que la prise était tout mon dessein, Moi -même ie fus pris, et sentis dans mon sein, Sans qu'il me fût jamais possible de connaître D'où cela provenait, petit à petit naître, Ainsi que nous voyons que souvent sans semer, Des herbes en plein champ se prennent à germer:
Un certain mouuement dont l’ardeur me cõuie, D’estre touſiours preſent à ma belle Syluie, Ie beuuois de ſes yeux vne douceur de miel, Qui laiſſoit à la fin ie ne ſçay quoy de fiel:	Un certain mouvement dont l'ardeur me convie, D'être toujours présent à ma belle Syluie, Je beuuois de ses yeux une douceur de miel, Qui laissait à la fin Seigneur ne sais quoi de fiel:
Ie ſouſpirois ſouuent ſans en ſçauoir la cauſe, Et ſans ſçauoir d’Amour, ny le nom, ny la choſe, I'aymois, & l’ignorois, mais en fin ie le ſçeu, Or remarque à preſent comme ie l’apperçeu.	Je soupirais souvent sans en savoir la cause, Et sans savoir d'Amour, ni le nom, ni la chose, J'aimais, et l'ignorais, mais en fin assez le su, Or marque à présent comme un l'aperçu.
Tirſis.	Tirsis.
C’eſt choſe à remarquer.	C'est chose à remarquer.
Aminte.	Aminte.
Sous vn heſtre aſſez ſombre Phyllis, Syluie, & moy, nous repoſions à l’õbre, Lors qu'vne abeille allãt chercher deſſus le thim, Dans les prés d’alentour, dequoy faire butin, Auiſe de Phyllis la jouë außi vermeille Qu' vne roſe en fraiſcheur à nulle autre pareille:	Sous un hêtre assez sombre Phyllis, Syluie, et moi, nous reposions à l'ombre, Lors qu'une abeille allant chercher dessus le thym, Dans les prés entour, dequoy faire butin, Auise de Phyllis la joue aussi vermeille Qu' une rose en fraîcheur à nulle autre pareille:
I vole promptement, & du premier abord, Auec auidité la mord & la remord, ar à la reſſemblance ayant eſté deçeuë, Elle penſoit auoir quelque fleur apperçeuë, Lors la poure Phillis ſe plaint amerement, Endurant vn tel mal fort impatiemment:	I vole promptement, et du premier abord, Avec auidité la mord et la remord, ar à la ressemblance ayant été déçue, Elle pensait avoir quelque fleur aperçue, Lors la pôvre Phillis se plaint amèrement, Endurant un tel mal fort impatiemment:
Luy dit, tais-toy, tais-toy, Phillis, ceſſe ta plainte,	Lui dit, tais-toi, tais-toi, Phillis, cesse ta plainte,
Auec de certains mots j’oſteray tout le mal Que te fait reſſentir ce petit animal:	Avec de certains mots j'ôterai tout le mal Que te fait ressentir ce petit animal:
Areſie autrefois m’apprit cette ſcience, Dont elle eut de ma main vn Cor en recompenſe:	Arrésie autrefois m'apprit cette science, Dont elle eut de ma main un Cor en récompense:
A ces mots, de Phyllis, ſa bouche elle approcha, Et doucement ſon mal de ſes léures toucha:	À ces mots, de Phyllis, sa bouche elle approcha, Et doucement son mal de ses lèvres toucha:
Et puis ie ne ſçay quoy tout bas elle murmure, O merueilleux effet!	Et puisque ne sais quoi tout bas elle murmure, Ô merveilleux effet!
le mal de la bleſſure D’abandonner Phillis außi toſt commença, Ou fuſt par la vertu des mots qu’on prononça, Ou bien comme ie croy par celle de la bouche, Qui porte gueriſon à tout ce qu’elle touche:	le mal de la blessure D'abandonner Phillis aussi tôt commença, Ou fût par la vertu des mots qu'on prononça, Ou bien comme tu crois par celle de la bouche, Qui porte guérison à tout ce qu'elle touche:
Moy qui juſques alors n’auois rien deſiré Que d’eſtre inceſſamment de ſes yeux éclairé, Et d’entendre touſiours ſa parole außi douce Que l’eau qui mollement ſur le grauier ſe pouſſe, Ou bien l’amoureux bruit de ces petits Zephirs:	Moi qui jusque alors n'avais rien désiré Que d'être incessamment de ses yeux éclairé, Et d'entendre toujours sa parole aussi douce Que l'eau qui mollement sur le gravier se pousse, Ou bien l'amoureux bruit de ces petits Zéphirs:
Qui s’en vont repetãt aux feüilles leurs ſouſpirs:	Qui s'en vont répétant aux feuilles leurs soupirs:
Ie conçois vne ardeur dans ma flame ancienne, Qui m’inuite de joindre à ma bouche, la ſienne:	Je conçois une ardeur dans ma flamme ancienne, Qui m'inuite de joindre à ma bouche, la sienne:
Et ne ſçay comme eſtant deuenu plus rusé, (Voy comme Amour auoit mon eſprit aiguisé,)	Et ne sais comme étant devenu plus rusé, (Voi comme Amour avait mon esprit aiguisé,)
Vn moyen fort gentil tombe dans ma pensée, Pour amortir l’ardeur dont l’ame eſtoit preſſee:	Un moyen fort gentil tombe dans ma pensée, Pour amortir l'ardeur dont l'âme était pressée:
Car feignant qu'vne abeille en volant parmy nous M'auoit außi mordu la léure de deſſous, Ie me plaignis ſi bien que ce plaiſant remede, Ce doux enchantement à qui la douleur cede, Et que ie n’oſois pas de bouche demander, Mon viſage mourant me le fit accorder, Syluie au meſme temps de ma douleur attainte S’offre de donner ayde à ma bleſſeure feinte:	Car feignant qu'une abeille en volant parmi nous M'avait aussi mordu la lèvre de dessous, Je me plaignis si bien que ce plaisant remède, Ce doux enchantement à qui la douleur cède, Et que sans n'osais pas de bouche demander, Mon visage mourant me le fit accorder, Syluie au même temps de ma douleur attainte S'offre de donner aide à ma blessure feinte:
Mais las!	Mais las!
elle rendit plus profond de beaucoup, Et beaucoup plus mortel le veritable coup Qui fait ſaigner mon cœur d’vne amoureuſe playe, Lors que de me guerir vainement elle eſſaye, Et que ſa belle léure à la mienne ſe joint:	elle rendit plus profond de beaucoup, Et beaucoup plus mortel le véritable coup Qui fait saigner mon cœur d'une amoureuse plaie, Lors que de me guérir vainement elle essaye, Et que sa belle lure à la mienne se joint:
L’abeille vn ſi doux miel des fleurs ne cueille point, Que la ſimplicité de ma belle farouche M’en fit alors cueillir ſur ſa diuine bouche, Combien	L'abeille un si doux miel des fleurs ne cueille point, Que la simplicité de ma belle farouche M'en fit alors cueillir sur sa divine bouche, Combien
Combien que les baiſers que l’ardeur du deſir Pouſſoit à ſe plonger au milieu du plaiſir, Deuenus tout à coup & honteux & timides, S’en rendiſſent außi plus lents, & moins humides.	Combien que les baisers que l'ardeur du désir Poussait à se plonger au milieu du plaisir, Deuenus tout à coup et honteux et timides, S'en rendissent aussi plus lents, et moins humides.
Mais tandis qu’en mon ame vne telle douceur Verſe vn ſecret venim qui s’en rend poſſeſſeur, Le plaiſir que j’en ay de plus en plus s’augmente:	Mais tandis qu'en mon âme un telle douceur Verse un secret venim qui s'en rend possesseur, Le plaisir que j'en ai de plus en plus s'augmente:
Ainſi feignant touſiours que mon mal me tourmente, Ie menageay ſi bien ma feinte & mon tourment, Qu'elle recommença ſouuent l’enchantement:	Ainsi feignant toujours que mon mal me tourmente, Je ménageai si bien ma feinte et mon tourment, Qu'elle recommença souvent l'enchantement:
Et deſlors mon deſir s’accrût de telle ſorte Que mon impatience enfin fut la plus forte, omme donc vne fois bien loin de tous ſoucis, Et Nymphes & Bergers en rond s’eſtoient aßis Pour faire vn de nos jeux où la bouche diſcreste Murmure à ſon voiſin quelque choſe ſecrette:	Et dès mon désir s'accrût de telle sorte Que mon impatience enfin fut la plus forte, omme donc une fois bien loin de tous soucis, Et Nymphes et Bergers en rond s'étaient aussi Pour faire un de nos jeux où la bouche discrète Murmure à son voisin quelque chose secrète:
Ie luy dy, ma Syluie, ah ie bruſle pour toy, Et mourray ſi bien toſt tu n'as pitié de moy.	Je lui dis, ma Syluie, ah ie brûle pour toi, Et mourrai si bien tôt tu n'as pitié de moi.
A ces mots la rougeur deſſus le front luy monte, Jndice tres-certain de colere & de honte:	À ces mots la rougeur dessus le front lui monte, Indice très -certain de colère et de honte:
Et ſon filence ſeul parlant en ſa fureur, Son ſilence remply de menace & d’horreur, Elle s’en va delà:	Et son silence seul parlant en sa fureur, Son silence rempli de menace et d'horreur, Elle s'en va delà:
Du depuis cette fiere Deſdaigne de me veoir, & d’oüir ma priere:	Du depuis cette fière Dédaigne de me voir, et d'ouïr ma prière:
Et deſia par trois fois le moiſſonneur tout nu A de ſes bleds couppez accreu ſon reuenu, Et par trois fois außi les foreſts deſcouuertes Ont repris au prim-temps leurs cheueleures yertes, Depuis que ſa rigueur pour en venir à bout, Excepté le trẽpas, m’a fait eſſayer tout:	Et déjà par trois fois le moissonneur tout nu A de ses bleds couppés accreu son revenu, Et par trois fois aussi les forêts découvertes Ont repris au primtemps leurs cheeleures yertes, Depuis que sa rigueur pour en venir à bout, Excepté le tramas, m'a fait essayer tout:
Donques le ſeul moyen qui me reſte à cett’heure Pour en venir à bout, c’eſt qu’il faut que ie meure:	Donc le seul moyen qui me reste à ceheure Pour en venir à bout, c'est qu'il faut que ie meure.
