LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
mon cher enfant, ta grande pieté, Sera (ie le crains bien ſi elle ne l’a eſte) Cauſe de ton deſaſtre, & auras debonnaire, Mieux ayme le trépas certain que me deplai	mon cher enfant, ta grande piété, Sera (ie le crains bien si elle ne l'a este) Cause de et auras, de ton débonnaire, Mieux aime le trépas certain que me déplai
Meſſager.	Messager.
Madame, c'eſt à vous que Fortune cruelle eſje pui imu couemous mumuie nouuelle.	Madame, c'est à vous que Fortune cruelle esje puy imu couemous mumuie nouvelle.
Volomnie.	Volomnie.
Raconte hardiment vn mal imaginé;	Raconte hardiment un mal imaginé;
Le Ciel n'eſt d'aujourd huy à me nuire obſtiné.	Le Ciel n'est d'aujourd' est à me nuire obstiné.
Meſſager.	Messager.
Uostre fils maſſacré, autrefois noſtre Alcide, A d’vn penple ſaoulé la fureur homicide.	AUotre fils massacré, autrefois nôtre Alcide, A penple saoulé la fureur homicide.
Volomnie.	Volomnie.
O peur trop veritable!	Ô peur trop véritable!
ô trop cruels deſtins!	ô trop cruels destins!
O malheurs oppreſſans de fortune incertains!	Ô malheurs oppressants de fortune incertains!
Freſle, foible faueur d'vn vulgaire muable, Mais au diſcours fais-moy ce meſchef plus croyable.	Fresle, faible faveur d'un vulgaire muable, Mais au discours fais-moi ce mèches plus croyable.
Meſſager.	Messager.
Les Volſques aſſemblez, mal contens de l’accord, Auoient de ce Heros ja conſpiré la mort, Une partie au moins par celuy ſuſcitée, Qui voyoit enuieux ſa gloire ſupplantée, Son credit amorty, comme prés le Soleil Du firmamẽt voûté les Aſtres n’ont point d’œil, Amfidie eſt le nom de ce jaloux d’Empire, Qui traiſtre dés long temps cherchoit à le deſtruire, L'accuſe en plein Conſeil, & le cite accuſé,	Les Volsques assemblez, mal contents de l'accord, Avaient de ce Héros ja conspiré la mort, Une partie au moins par celui suscitée, Qui voyait envieux sa gloire supplantée, Son crédit amorti, comme prés le Soleil Du firmaments voûté les Astres n'ont point d'œil, Amfidie est le nom de ce jaloux d'Empire, Qui traître dès long temps cherchait à le détruire, L'accuse en plein Conseil, et le cite accusé,
Volomnie.	Volomnie.
Ie n'ay que trop compris de ton diſcours funeſte,	Je n'ai que trop compris de ton discours funeste,
Il me doit ce bien fait, & ie luy dois la vie, Que ie l’ay flechiſſant pitoyable rauie.	Il me doit ce bien fait, et imaires dois la vie, Que je l'ai fléchissant pitoyable ravie.
O chere geniture!	Ô chère géniture!
ô vnique ſoulas!	ô unique soûlas!
Croy que le Stix ne peut de ſes neuf entre-las Empeſcher que bien-toſt ie ne te ſois rejointe, Des regrets de ta mort juſques à l’ame épointe, Cou vante ſous le faix d’vn âge langoureux, A qui la terre nuit, e le Ciel rigoureux, Qui n'eſpere appaiſer de cõplaintes tes Manes, Mais hien de ma preſence aux riues Stygianes, Et que mon dueil n'eſtant pour ce faire aſſez ort, En vn coup genereux ie trouueray la mort.	Crois que le Stix ne peut de ses neuf entre-las Empêcher que bientôt ie ne te sois rejointe, Des regrets de ta mort jusques à l'âme épointe, Cou vante sous le faix d'un âge langoureux, A qui la terre nuit, eu le Ciel rigoureux, Qui n'espère apaiser de complaintes tes Manes, Mais hien de ma présence aux rives Stygianes, Et que mon dueil n'étant pour ce faire assez ort, En un coup généreux ie trouverai la mort.
IN Lphõſe d’Eſt, Duc de Ferrare, ſous promeſſe de mariage joüit de Cornelie, ſœur de lean Bentiuole, Seigneur de Boulongne, & des plus aclcomplis de ſon temps;	IN Lphõse d'Est, Duc de Ferra, sous promesse de mariage jouit de Cornelie, sœur de léan Bentivole, Seigneur de Boulongne, et des plus aclomplis de son temps;
ſa groſſeſſe donne vn ſuffiſant indice à ſon frere de la verité, mais auec mauuais jugement de la ſaine intention du Duc.	sa grossesse donne un suffisant indice à son frère de la vérité, mais toujours mauvais jugement de la saine intention du Duc.
Cornelie acouchée donne ſon fruict à tranſporter du logis à certaine Damoiſelle, qui le penſant mettre ſur la brune entre les mains d’vn Gentilhomme du Duc, s’adreſſe fortuitement à vn braue Caualier Eſpagnol, ne ſoupçonnant rien moins que cela;	Cornelie acouchée donne son fruit à transporter du logis à certaine Damoiselle, qui le pensant mettre sur la brune entre les mains d'un Gentilhomme du Duc, s'adresse fortuitement à un brave Cavalier Espagnol, ne soupçonnant rien moins que cela;
& comme au cry de l’enfant il ſe connoiſt pris pour Duppe, il ne laiſſe de le porter à ſon logis, & auec vn ſoin paternel le faire pouruoir de Nourrice.	et comme au cri de l'enfant il se connaît pris pour Duppe, il ne laisse de le porter à son logis, et avec un soin paternel le faire pourvoir de Nourrice.
Ce Caualier viuoit & logeoit dans Boulogne auec vn ſien frere d’amitié, qui de fortune le cherchoit lors par la ville, crainte de quelque mauuaiſe rencontre à ſon amy;	Ce Cavalier vivait et logeait dans Boulogne avec un sien frère d'amitié, qui de fortune le cherchait lors par la ville, crainte de quelque mauvaise rencontre à son ami;
Le hazard veut que ceſtui-cy rétournant ſur ſes pas, pour la meſme conſideration, trouue Alphonſe ſeul & le Bentiuole aſſiſté de pluſieurs aux mains;	Le hasard veut que celui-cy rétournant sur ses pas, pour la même considération, trouve Alphonse seul et le Bentivole assisté de plusieurs aux mains;
Il protege le Duc tombé, auec vne telle reſolution, qu’au murmure du bourgeois qui commençoit à s’émoutoir, ie selſtruole auec ſa troupe ſe retire;	Il prote le Duc tombé, avec une telle résolution, qu'au murmure du bourgeois qui commençait à s'émoutoir, Madame selstruole avec sa troupe se retire;
ce qu’il fait auſſi apres mille remercimens du Duc, qui luy laiſſe ſon cordon de pierreries, ramaſſé dans la meſlée pour arres d’amitié, & marque de ſa valeur;	ce qu'il fait aussi après mille remerciments du Duc, qui pr laisse son cordon de pierreries, ramassé dans la mêlée pour arrête d'amitié, et marque de sa valeur;
Au retour Cornelie fugitiue du logis fraternel, parmy les tenebres de la nuict trouue ce Caualier, nommé Dom Iuan, ſe met en ſa protection, & accepte le logis des deux Caualiers pour franchiſe, où elle reconnut ſon enfant.	Au retour Cornelie fugitive du logis fraternel, parmi les ténèbres de la nuit trouve ce Cavalier, nommé Dom Juan, se met en sa protection, et accepte le logis des deux Cavaliers pour franchise, où elle reconnut son enfant.
Le Bentiuole deſeſperé de l’affront qu’il pretend fait à ſa ſœur, implore l’entremiſe de Dom Iuan, pour faire appeller Alphonſe en duel;	Le Bentivole désespéré de l'affront qu'il prétend fait à sa sœur, implore l'entremise de Dom Juan, pour faire appeler Alphonse en duel;
ce que l’autre accepte gayement, aſſiſté de ſon amy.	ce que l'autre accepte gaiement, assisté de son ami.
Il porte donc parole au Duc, qui le contente, ainſi que le frere, promettant eſpouſer Cornelie, qu’il auouë ſeule & legitime femme;	Il porte donc parole au Duc, qui le contente, ainsi que le frère, promettant épouser Cornelie, qu'il avoue seule et légitime femme;
elle cependant perſuadée d’vne vieille Nourrice, ſe dérobe du logis des Caualliers Eſpagnols, auec ſon enfant, ſe retire à vn Hermitage, où le Duc (apres pluſieurs incidents trop longs à raconter) la trouue, & où en preſence, tant du frere que des Caualliers, s’accomplit le myſtere de leur mariage.	elle cependant persuadée d'une vieille Nourrice, se dérobe du logis des Cavaliers Espagnols, avec son enfant, se retire à un Hermitage, où le Duc (après plusieurs incidents trop longs à raconter) la trouve, et où en présence, tant du frère que des Caualliers, s'accomplit le mystère de leur mariage.
Ce riche ſujet eſtant imité de Ceruantes, eſprit net, poly, iudicieux & inuentif entre tous ceux de ſa	Ce riche sujet étant imité de Cervantes, esprit net, poli, judicieux et inventif entre tous ceux de sa
Dom Iuan de Gamboa.	Dom Juan de Gamboa.
Dom Anthoine Iſunça.	Dom Anthoine Isunça.
Simplicie.	Simplicie.
Cornelie Bentiuole.	Cornelie Bentivole.
Nourrice.	Nourrice.
Alphonſe d’Eſt, Duc de Ferrare.	Alphonse d'Est, Duc de Ferrare.
Laurens Bentluole.	Laurens Bentluole.
Franciſque.	Francisque.
Seruante, où Gouuernante.	Servante, où Gouvernante.
Santiſteuan, Page de D Iuan, Page de D.	Santisteuan, Page de D Uan, Page de D.
Anthoine.	Anthoine.
Deneimite.	Deneimite.
Courtiſane.	Courtisane.
Fabie.	Fabie.
CORNELIE,	CORNELIE,
ANENTEY TRAGI-COMEDIE.	ANENTEY TRAGI-COMÉDIE.
ACTE I.	ACTE I.
DOM IVAN, DOM ANTUINE, SIMPLICIE, CORNELIE, Nourrice, Alphonſe, Bentiuole.	DOM IVAN, DOM ANTUINE, SIMPLICIE, CORNELIE, Nourrice, Alphonse, Bentivole.
SCENE I.	SCÈNE I.
D.	D.
IVAN, D.	IVAN, D.
ANTHOINE,	ANTHOINE,
L D.	 L.
Iuan.	Juan.
Ntre tous les trauaux que noſtre triſte vie cupperte parauant que Cloton l’ait rauie, Qu'on atteigne vn repos qui ne redoute plus Du bon & mauuais ſort le flus & le reflus, Un ſupréme ſoulas en l’amitié conſiste, Nulle felicité ſans elle ne ſubſiſte, Plus vtile aux mortels que la lampe du jour, Hoſteſſe qui leur vint du celeſte ſejour, Si toſt que nos ayeuls changerent de na ture, Qui du glan retirez (brutale nourriture) Peu a peu les vnit dans l’enclos des Citez, Où chacun ſe pourueut de ſes neceſſitez, Se poliça des loix ſur l’équité bâties, Aux diuerſes humeurs des peuples aſſorties, Comme vn mors impoſe, qui retient en deuoir Quiconque entreprendroit par deſſus ſon pouuoir;	Notre tous les travaux que notre triste vie cuperte paravant que Cloton l'ait ravie, Qu'on atteigne un repos qui ne redoute plus Du bon et mauvais sort le flus et le reflus, Un suprême soûlas en l'amitié consiste, Nulle félicité sans elle ne subsiste, Plus tyle aux mortels que la lampe du jour, Hôtesse qui leur vint du celeste jour, Si tôt que nos aïeuls aient de n' eu, Qui ts chan gère (brutale nourriture) De a peu les vnit na trenclos des Citez, Qui du gpourueuture ses nécessitez, Se nô des loix ur rit ure, a diuerses humeurs des pu les, Comme un mors impose, qui retient en ur Quiconque entreprendroit par dessus son pouuoir,
Or luy deuons-nous plus de loüange & de gloie, Qu'onc la poſterité preſque ne ſçaura croire, Conjoints enſemblement d’vn plus ferme lien, Que jadis Pyritois à ſon Cecropien, Plus reſous au hazard de meſme deſtinée, Que le fidelle Achate à ſon pieux Enée, Bon-heur incomparable, e d’autant precieux, Qu'il aduient raremẽt ſous la voûte des Cieux!	Or quelque dévons-nous plus de louange et de gloie, Qu'onc la postérité presque ne saura croire, Conjoints ensemblement d'un plus ferme lien, Que jadis Pyritais à son Cecropien, Plus résous au hasard de même destinée, Que le fidèle Achate à son pieux Enée, Bonheur incomparable, e autant précieux, Qu'il advient raremment sous la voûte des Cieux!
–	
D.	D.
Anthoine.	Anthoine.
Depuis tantost deux ans que l’Eſpagne natale Nous changea ſon climat à celuy de l’Itale, Qu'vn loüable deſir d’apprendre curieux, Voir mille antiquitez meſme deſſur les lieux, Dans Boulongne, de nom plus fameuſe qu'Athenes, Borna noſtre voyage, & ſes fertiles peines;	Depuis tantôt deux ans que l'Espagne natale Nous changea son climat à celui de l'Itale, Qu'un louable désir d'apprendre curieux, Voir mille antiquités même dessur les lieux, Dans Boulongne, de nom plus fameuse qu'Athenes, a notre voyage, et ses fertiles peines;
Ueu que d’oreſnauant dispoſez au retonr,) Ie jure que ce temps me dura moins qu'vn jour, Communs d’affections, de ſoueis, de penſées, Qui n'auons rien ſenty des fatigues paßées, Rien plus qu'vn ſonge heureux à ſon reſſouuenir, Qu'on voudroit derechef voir ſoudain reuenir;	Ueu que d'oresnauant disposés au retonr,) Je jure que ce temps me dura moins qu'un jour, Communs d'affections, de soudis, de pensées, Qui n'avons rien senti des fatigues passées, Rien plus qu'un songe heureux à son ressouuenir, Qu'on voudrait derechef voir soudain revenir;
Mais proches de la nuit, qui prẽd ſa robe noire, Nous allions au logis fueilleter quelque niſtoire, Et d’autres paſſe-temps ordinaires jouïr, Qui fait l’oiſiueté damnable éuanouïr.	Mais proches de la nuit, qui prend sa robe noire, Nous allions au logis fueilleter quelque nistoire, Et d'autres passetemps ordinaires jouir, Qui fait l'oisiveté damnable évanouir.
D.	D.
Iuan.	Juan.
Que pourroit-on de mieux?	Que pourrait-on de mieux?
Toutesfois ie deſire, Premier en certain lieu deſtourné me conduire, Uous allans retrouuer dans vn quart d’heure au pliſs.	Toutefois grande désire, Premier en certain lieu destourné me conduire, Uous allant retrouver dans un quart d'heure au pliss.
D.	D.
Anthoine.	Anthoine.
Tel certain lieu me donne à juger le ſurplus, Qu'ainſi ne ſoit, preſtez l'oreille,	Tel certain lieu me donne à juger le surplus, Qu'ainsi ne soit, prêtez l'oreille,
D.	D.
Iuan.	Juan.
cela meſme, Un deſir furieux paſſant iuſqu’à l’extréme, Idolatre m'attache à ce diuin pourtraict, Plus content d’vn regard à ſa beauté ſouſtrait, D'entr ouïr vn accent de ſa douce parolle;	cela même, Un désir furieux passant jusqu'à l'extrême, Idolâtre m'attache à ce divin pourtrait, Plus content d'un regard à sa beauté soustrait, D'entr ouïr un accent de sa douce parole;
Que tout l’or butiné du Tage, & du Pactolle.	Que tout l'or butiné du Tage, et du Pactolle.
D.	D.
Anthoine.	Anthoine.
GardeZ que neantmoins à force d’approcher, La nef de la raiſon heurte en fin ce rocher, Qui te enoeque inmintiote, & qui loupours funebre, Ruinera d’honneur la vertu plus celebre.	Gardez que néanmoins à force d'approcher, La nef de la raison heurte en fin ce rocher, Qui te enoèque inmintiote, et qui loupours funèbre, Ruinera d'honneur la vertu plus célèbre.
D.	D.
Iuan.	Juan.
Ma ſeruitude encor volontaire, n'a pas, D'obſtacle qui l’empeſche à rebrouſſer d’vn pas, Chymerique amoureux, qui ſeme ſur l’areine, Sans pretendre aucun fruict d’vne ſterile peine, Autre que de pouuoir adorer en paſſant, Ce veau vouion parmy tes nauiers fleuriſſant.	Ma servitude encor volontaire, n'a pas, D'obstacle qui l'empêche à rebrousser d'H pas, Chymerique amoureux, qui seme sur l'épareine, Sans prétendre aucun fruit d'une stérile peine, Autre que de pouvoir adorer en passant, Ce veau vouion parmi tes naviers fleurissant.
D.	D.
Anthoine.	Anthoine.
ExcuſeZ vn auis que l'amitie vous donne.	Excusez un avis que l'amitié vous donne.
D.	D.
Iuan.	Juan.
Ie l’approuue, le louë, & guide me l’ordonne.	Je l'approuve, le loue, et guide me l'ordonne.
D.	D.
Anthoine.	Anthoine.
aaitenuant tiray done uonner orure du ſouper.	aaitenuant tirai done uonner orure du souper.
D.	D.
Iuan.	Juan.
Et moy par ceſte ruë oppoſite couper, Et moy d’vne Cypris les œillades ſurprendre, Et moy l’hommage deu, & ſa debte luy rendre, Fantaſtique repeu de l’eſpoir qui me fuit;	Et moi par cette rue opposite couper, Et moi d'une Cypris les œillades surprendre, Et moi l'hommage dev, et sa débte était rendre, Fantastique repeu de l'espoir qui me fuit;
Que ſçait-on?	Que sçait-on?
quelquefois vne pareße nuit:	quelquefois une passée nuit:
