A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
En quel gouffre de ſoins & de perplexité Nous jette une action faite ſans équité?	En quel gouffre de soins et de perplexité Nous jette une action faite sans équité?
D’un enfant ſuppoſé par mon trop d’avarice Mon cœur depuis long-temps ſouffre bien le ſupplice, Et quand je voy les maux où je me ſuis plongé, Je voudrois à ce bien n’avoir jamais ſongé.	D'un enfant supposé par mon trop d'avarice Mon cœur depuis longtemps souffre bien le supplice, Et quand je vois les maux où je me suis plongé, Je voudrais à ce bien n'avoir jamais songé.
Tantoſt je crains de voir, par la fourbe éventée, Ma famille en opprobre & miſere jettée;	Tantôt je crains de voir, par la fourbe éventée, Ma famille en opprobre et misère jetée;
Tantoſt, pour ce fils-là, qu’il me faut conſerver, Je crains cent accidens qui peuvent arriver.	Tantôt, pour ce fils-là, qu'il me faut conserver, Je crains cent accidents qui peuvent arriver.
S’il advient que dehors quelque affaire m’appelle, J’apprehende au retour cette triſte nouvelle, Las!	S'il advient que dehors quelque affaire m'appelle, J'appréhende au retour cette triste nouvelle, Las!
vous ne ſçavez pas?	vous ne savez pas?
vous l’a-t-on anoncé?	vous l'a-t-on anoncé?
Voſtre fils a la fievre, ou jambe, ou bras caſſé:	Votre fils a la fièvre, ou jambe, ou bras cassé:
Enfin, à tous momens, ſur quoy que je m’arreſte, Cent ſortes de chagrins me roulent par la teſte.	Enfin, à tous moments, sur quoi que je m'arrête, Cent sortes de chagrins me roulent par la tête.
Ha!	Ha!
87	87
SCE	SCE
CENE VI.	CÈNE VI.
ALBERT, METAPHRASTE.	ALBERT, METAPHRASTE.
METAPHRASTE.	METAPHRASTE.
MAndatum tuum curo diligenter.	MAndatum tuum curo diligenter,
AEBERI.	AEBERI.
Maiſtre, j’ay voulu.	Maître, j'ai voulu.
METAPHRASTE.	METAPHRASTE.
Maiſtre eſt dit à Magiſter, C’eſt comme qui diroit trois fois plus grand.	Maitre est dit à Magister, C'est comme qui dirait trois fois plus grand.
ALBERT.	ALBERT.
Je meure, Si je ſçavois cela.	Je meure, Si je sçavois cela.
Mais, ſoit;	Mais, soit;
à la bonne heure.	à la bonne heure.
Maiſtre, donc.	Maître, donc.
METAPHRASTE.	METAPHRASTE.
Pourſuivez.	Poursuivez.
ALBERT.	ALBERT.
Je veux pourſuivre auſſi;	Je veux poursuivre aussi;
Mais ne pourluivez point, vous, d’interrompre ainſi.	Mais ne pourluivez point, vous, d'interrompre ainsi.
Donc, encore une fois, Maiſtre, c’eſt la troiſiéme, Mon fils me rend chagrin;	Donc, encore une fois, Maître, c'est la troisième, Mon fils me rend chagrin;
vous ſçavez que je l’ayme, Et que ſoigneuſement je l’ay tousjours nourry.	Vous savez que je l'aime, Et que soigneusement je l'ai toujours nourri.
METAPHRASTE.	METAPHRASTE.
Il eſt vray;	Il est vrai;
Filio non poteſt praferri Niſi filius.	Filio non potest préferri Nisi filius.
ALBERT.	ALBERT.
Maiſtre, en diſcourant enſemble, Ce jargon n’eſt pas fort neceſſaire, me ſemble;	Maître, en discourant ensemble, Ce jargon n'est pas fort nécessaire, me semble;
Je vous croy grand Latin, & grand Docteur juré, Je m’en raporte à ceux qui m’en ont aſſuré:	Je vous crois grand Latin, et grand Docteur juré, Je m'en rapporte à ceux qui m'en ont assuré:
Mais, dans un entretien qu’avec vous je deſtine, N’allez point déployer toute voſtre doctrine, Faire le pedagogne, & cent mots me cracher, ComComme ſi vous eſtiez en chaire pour preſcher.	Mais, dans un entretien qu'avec vous je destine, N'allez point déployer toute votre doctrine, Faire le pédagogne, et cent mots me cracher, ComComme si vous étiez en chaire pour prêcher.
Mon pere, quoy qu’il eut la teſte des meilleures, Ne m’a jamais rien fait aprendre que mes heures, Qui, depuis cinquante ans dites journellement Ne ſont encor pour moy que du haut Allemant.	Mon père, quoi qu'il eut la tête des meilleures, Ne m'a jamais rien fait apprendre que mes heures, Qui, depuis cinquante ans dites journellement Ne sont encor pour moi que du haut Allemant.
Lamen uonc en repos voſtre ſcience auguſte, Et que voſtre langage à mon foible s’ajuſte,	Lamen onc en repos votre science auguste, Et que votre langage à mon faible s'ajuste,
Soit.	Soit.
Aa BIAIARAMII.	Aa BIAIARAMII.
ALBERT.	ALBERT.
A mon fils, l’hymen ſemble luy faire peur, Et, ſur quelque party que je ſonde ſon cœur, Pour un pareil lien il eſt froid, & recule.	À mon fils, l'hymen semble lui faire peur, Et, sur quelque parti que je sonde son cœur, Pour un pareil lien il est froid, et recule.
METAPHRASTE.	METAPHRASTE.
reut-citſe a-t-fi l fuſſieur du neſe ue Mait-Tulle, Dont avec Atticus le meſme fait ſermon, Et comme auſſi les Grecs diſent Atanaton.	reut-citesse a-t-fi l ion du née ue Ait-Tulle, Dont avec Atticus le même fait sermon, Et comme aussi les Grecs disent Atanaton.
ALBERT.	ALBERT.
Mon Dieu, Maiſtre éternel?	Mon Dieu, Maître éternel?
laiſſez là, je vous prie, Les Grecs, les Albanois, avec l’Eſclavonie Et tous ces auties genodon vous venee parier;	laissez là, je vous prie, Les Grecs, les Albanais, avec l'Esclavonie Et tous ces auties génodon vous vence parier;
Eux & mon fils n’ont rien enſemble à démeſler.	Eux et mon fils n'ont rien ensemble à démêler.
METAPHRASTE.	METAPHRASTE.
Hé bien, donc?	Hé bien, donc?
voſtre fils?	votre fils?
ALBERT.	ALBERT.
Je neujaj iruuns P'ame.	Je neujà iruuns P'âme.
Il ne ſentiroit point une ſecrette flame.	Il ne sentirait point une secrète flamme.
Quelque choſe le trouble, ou je ſuis fort déceu, Et je l’aperceus hier, ſans en eſtre aperceu, Dans un recoin du bois où nul ne ſe retire.	Quelque chose le trouble, ou je suis fort déçu, Et je l'aperçus hier, sans en être aperçu, Dans un recoin du bois où nul ne se retire.
METAPHRASTE.	METAPHRASTE.
Dans un lieu reculé du bois, voulez-vous dire;	Dans un lieu reculé du bois, voulez-vous dire;
Un endroit écarté, Latinè ſeceſſus;	Un endroit écarté, Latiné cessus;
Virgile l’a dit, eſt in ſeceſſu locus.	Virgile l'a dit, est in sécessu locus.
ALBERT.	ALBERT.
Comment auroit-il pû l’avoir dit ce Virgile?	Comment aurait-il pu l'avoir dit ce Virgile?
Puiſque Puiſque je ſuis certain que dans ce lieu tranquile ame du inonde eii mentoit lois que nous deux.	Puisque Puisque je suis certain que dans ce lieu tranquille âme du inonde ei mentait lois que nous deux.
METAPHRASTE.	METAPHRASTE.
Virgile eſt nommé là comme un auteur fameux D'un terme plus choiſi que le mot que vous dites, Et non comme teſmoin de ce que hier vous viſtes.	Virgile est nommé là comme un auteur fameux D'un terme plus choisi que le mot que vous dites, Et non comme témoin de ce que hier vous vîtes.
ALBERT.	ALBERT.
Et moy, je vous dis, moy, que je n’ay pas beſoin De teme plus choi, d’auteul ny de teſmoin, Et qu’il ſuffit icy de mon ſeul témoignage.	Et moi, je vous dis, moi, que je n'ai pas besoin De teme plus choi, d'auteul apprendre de témoin, Et qu'il suffit ici de mon seul témoignage.
METAPHRASTE.	METAPHRASTE.
Il faut choiſir pourtant les mots mis en uſage Par les meilleurs auteurs;	Il faut choisir pourtant les mots mis en usage Par les meilleurs auteurs;
tu, vivendo, bonos, Comme on dit, ſcribendo, ſequare peritos.	tu, vivendo, bonos, Comme on dit, scribendo, sequare péritos.
AABART.	ÀABART.
Homme, ou demon, veux-tu m’entendre ſans conteſte ?	Homme, ou démon, veux-tu m'entendre sans conteste ?
METAPHRASTE.	METAPHRASTE.
Quuuin en fait le precepte.	Quuin en fait le précepte.
Soit du cauſeur!	Soit du causeur!
ALBERT.	ALBERT.
La peſte	La peste
METAPHRASTE.	METAPHRASTE.
Et dit là deſſus doctement Un mot, que vous ſerez bien aiſe aſſeurément D'entendre.	Et dit là dessus doctement Un mot, que vous serez bien aise assurément D'entendre.
ALBERT.	ALBERT.
Je ſeray le diable qui t’emporte, emen u'noime.	Je serai le diable qui t'emporte, emen év'noime.
O:	Ô:
que je iuis tente d’eſtrange ſorte De faire ſur ce mufle une application?	que je juis tente d'étrange sorte De faire sur ce mufle une application?
2	2
METAPHRASTE.	METAPHRASTE.
uiis, qui cauſe, Seigneur, voſtre inflammation!	Ouiis, qui cause, Seigneur, votre inflammation!
Que voulez vous de moy?	Que voulez -vous de moi?
ALBERT.	ALBERT.
Je veux que l’on m’écoute, Vous ay-je dit vingt fois, quand je parle.	Je veux que l'on m'écoute, Vous ai-je dit vingt fois, quand je parle.
HE	HÉ
METAPHRASTE.	METAPHRASTE.
Ha!	Ha!
ſans doute, Vous ſerez ſatisfait, s’il ne tient qu’à cela.	sans doute, Vous serez satisfait, s'il ne tient qu'à cela.
Je me tais.	Je me tais.
ALBERT.	ALBERT.
Vous ferez ſagement.	Vous ferez sagement.
METAPHRASTE.	METAPHRASTE.
Tout preſt de vous ouïr.	Tout prêt de vous ouïr.
Me voils	Me voilà
ALBERT.	ALBERT.
Tant mieux.	Tant mieux.
METAPHRASTE.	METAPHRASTE.
Si je dis plus mot.	Si je dis plus mot.
Que je trepaſſe,	Que je trepasse,
ALBERT.	ALBERT.
Dieu vous en faſſe la grace.	Dieu vous en fasse la grâce.
METAPHRASTE.	METAPHRASTE.
Vous n’accuſerez point mon caquet deſormais.	Vous n'accuserez point mon caquet désormais.
Ainſi ſoit-il.	Ainsi soit-il.
ALBERT.	ALBERT.
METATARASTE.	METATARASTE.
Parlez quand vous voudrez.	Parlez quand vous voudrez.
ALBERT.	ALBERT.
METAPHRASTE.	METAPHRASTE.
Et n’aprehendrez plus l’interruption noſtre.	Et n'appréhendrez plus l'interruption notre.
C’eſt aſſez dit.	C'est assez dit.
ALBERT.	ALBERT.
METAPHRASTE.	METAPHRASTE.
Je ſuis exact plus qu’aucun autre.	Je suis exact plus qu'aucun autre.
Je le croy.	Je le crois.
ALBERT.	ALBERT.
METAPHRASTE.	METAPHRASTE.
J’ay promis que je ne diroit rien.	J'ai promis que je ne dirait rien.
Suffit.	Suffit.
ALBER	ÀLBER
METAPHRASTE.	METAPHRASTE.
Des apieielit je iuis initfet.	Des apieielit -je juis initfet.
ALBERT.	ALBERT.
Fort bien.	Fort bien.
METAPHRASTE.	METAPHRASTE.
Parlez:	Parlez:
courage;	courage;
au moins, je vous donne audiance;	au moins, je vous donne audience;
Vous ne vous plaindrez pas de mon peu de ſilence, Je ne deſſerre pas la bouche ſeulement.	Vous ne vous plaindrez pas de mon peu de silence, Je ne desserre pas la bouche seulement.
Le traiſtre!	Le traître!
ALBERT.	ALBERT.
METAPHRASTE.	METAPHRASTE.
Mais, de grace, achevez viſtement;	Mais, de grâce, achevez vitement;
Depuis long-temps j’écoute, il eſt bien raiſonnable deſe palle anontour.	Depuis longtemps j'écoute, il est bien raisonnable des palle anontour.
ALBERT.	ALBERT.
Donc, bourreau deteſtable.	Donc, bourreau détestable.
METAPHRASTE.	METAPHRASTE.
Hé!	Hé!
bon Dieu!	bon Dieu!
voulez-vous que j’écoute à jamais?	voulez-vous que j'écoute à jamais?
Partageons le parler, au moins, ou je m’en vais.	Partageons le parler, au moins, ou je m'en vais.
ALBERT.	ALBERT.
miapatence en clemil	miapatence en clémil
METAPHRASTE.	METAPHRASTE.
Quoy!	Quoi!
vouiez vous pourſuivre?	vouiez -vous poursuivre?
Ce n’eſt pas encor fait?	Ce n'est pas encor fait?
per Jovem, je ſuis ivre.	per Ovem, je suis ivre.
Je n’ay pas dit.	Je n'ai pas dit.
ALBERT.	ALBERT.
di alala dno dEs Encor!	di alala dno dEs Encor!
bon Dieu!	bon Dieu!
que de diſcours!	que de discours!
Rien n’eſt-il ſuffiſant d’en arreſter le cours!	Rien n'est-il suffisant d'en arrêter le cours!
J’enrage.	J'enrage.
ALBERT.	ALBERT.
METAPHRASTE.	METAPHRASTE.
De rechef?	De rêches?
ô!	ô!
l’eſtrange torture!	l'étrange torture!
Hé!	Hé!
laiſſez moy parler un peu;	laissez -moi parler un peu;
je vous conjure;	je vous conjure;
Un ſot qui ne dit mot ne ſe diſtingue pas D’un ſçavant qui ſe tait.	Un sot qui ne dit mot ne se distingue pas D'un savant qui se taît.
A L	À L
ALBERT s’en allant.	ALBERT s'en allant.
Paibieu, ru te tairas.	Paibieu, ru te tairas.
METAPHRASTE.	METAPHRASTE.
D'où vient fort à propos cette Sentence expreſſe D’un Philoſophe, Parle afin qu’on te connoiſſe.	D'où vient fort à propos cette Sentence expresse D'un Philosophe, Parle afin qu'on te connaisse.
Doncques, ſi de parler le pouvoir m’eſt oſté, Pour moy, j’ayme autant perdre auſſi l’humanité, Et changer mon Eſſence en celle d’une beſte.	Donc, si de parler le pouvoir m'est ôté, Pour moi, j'aime autant perdre aussi l'humanité, Et changer mon Essence en celle d'une bête.
Me voila pour huit jours avec un mal de teſte.	Me voilà pour huit jours avec un mal de tête.
O!	Ô!
que les grans parleurs ſont par moy deteſtez.	que les grans parleurs sont par moi détestez.
Mais quoy!	Mais quoi!
ſi les ſçavans ne ſont point écoutez, Si l’on veut que tousjours ils ayent bouche cloſe, Il faut donc renverſer l’ordre de chaque choſe;	si les Savants ne sont point écoutez, Si l'on veut que toujours ils aient bouche close, Il faut donc renverser l'ordre de chaque chose;
Que les poules dans peu devorent les renards;	Que les poules dans peu dévorent les renards;
Que les jeunes enfans remontrent aux vieillards;	Que les jeunes enfants remontrent aux vieillards;
Qu’à pour ſuivre les loups les agnelets s’ébatent:	Qu'à pour suivre les loups les agnelets s'ébatent:
Qu’un fou faſſe les loix;	Qu'un fou fasse les lois;
que les femmes combatent;	que les femmes combattent;
Qe par ies ermneis les jugtoroient jugez;	Que par jes ermneis les jugoraient jugés;
Et par les econlels les inaiitlesrditigen , Que le malade au ſain preſente le remede;	Et par les econlels les inaiitlesrditigen , Que le malade au sain présente le remède;
Que le liévre craintif.	Que le lièvre craintif.
* miſericorde, à l’ayde.	* miséricorde, à l'aide.
Albert luy vient ſonner aux oreilles une cloche qui le fait fuir.	Albert Seigneur vient sonner aux oreilles une cloche qui le fait fuir.
Fin du ſecond Acte.	Fin du second Acte.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE I.	SCÈNE I.
MASCARILLE.	MASCARILLE.
E Ciel par fois ſeconde un deſſein temeraire, Et l’on ſort comme on peut d’une meſchante affaire.	E Ciel par fois seconde un dessein téméraire, Et l'on sort comme on peut d'une méchante affaire.
Pour moy, qu’une imprudence a trop fait diſcourir, l MMimne Le remede plus prompt où j’ay ſceu recourir, C’eſt de pouſſer ma pointe, & dire en diligence A noſtre vieux patron toute la maniga nce.	Pour moi, qu'une imprudence a trop fait discourir, l' UNe Le remède plus prompt où j'ai su recourir, C'est de pousser ma pointe, et dire en diligence A notre vieux patron toute la maniga née.
Son fils qui m’embaraſſe eſt un évaporé:	Son fils qui m'embarrasse est un évaporé:
L’autre, diable, diſant ce que j’ay declaré, Gâre une irruption ſur noſtre friperie:	L'autre, diable, disant ce que j'ai déclaré, Gâtre une irruption sur notre friperie:
Au moins, avant qu’on puiſſe eſchaufer ſa furie, Quelque choſe de bon nous pourra ſucceder, Et les vieillards entre eux ſe pourront accorder.	Au moins, avant qu'on puisse échauffer sa furie, Quelque chose de bon nous pourra succéder, Et les vieillards entre eux se pourront accorder.
Ceſt ce qu’on va tenter;	Cest ce qu'on va tenter;
& de la part du noſtre, Sans perdre un ſeul moment, je m’en vay trouver l’autre.	et de la part du notre, Sans perdre un seul moment, je m'en vais trouver l'autre.
CENE II.	CÈNE II.
MASCARILLE, ALBERT.	MASCARILLE, ALBERT.
QUi frape?	QUi frappe?
ALRERT.	ÀLRERT.
MASCARILLE.	MASCARILLE.
Amis.	Amis.
A L	À L
Malcariſle.	Malcarisle.
ALBERT.	ALBERT.
Ho!	Ho!
ho!	ho!
qui te peut amener?	qui te peut amener?
MASCARILLE.	MASCARILLE.
Je viens, Monſieur, pour vous donner Le bon jour.	Je viens, Monsieur, pour vous donner Le bon jour.
ALBERT.	ALBERT.
na:	na:
Muymient, tu prenlus ocaucoup de peine?	Muimient, tu prenlus ocaucoup de peine?
De tout mon cœur, bon jour.	De tout mon cœur, bon jour.
MASCARILLE.	MASCARILLE.
La replique eſt ſoudaine.	La replique est soudaine.
Quel homme bruſque!	Quel homme brusque!
ALBERT.	ALBERT.
Encor ?	Encor ?
Monſieur.	Monsieur.
A ASCARILEE.	A ASCARILE.
Vous n’avez pas ouï,	Vous n'avez pas ouï,
ALBERT.	ALBERT.
Ne m’as-tu pas donné le bon-jour?	Ne m'as-tu pas donné le bon-jour?
MASCARILLE.	MASCARILLE.
Oui.	Oui.
ALBERT.	ALBERT.
ne blen, oonjoul, tedyeje.	ne blen, oonjoul, tedyeje.
MASCARILLE.	MASCARILLE.
9 111 4.	9 111 4.
26 Oui;	26 Oui;
mais je viens encore Vous ſalüer au nom du Seigneur Polidore.	mais je viens encore Vous saluer au nom du Seigneur Polidore.
11 LB R T.	11 LB R T.
Ha!	Ha!
c’eſt un autre fait.	c'est un autre fait.
Ton maiſtre t’a chargé De me ſalüer?	Ton maître t'a chargé De me saluer?
MAS CARILLE.	MAS CARILLE.
Oui.	Oui.
ALBERT.	ALBERT.
Je luy ſuis obligé;	Je lui suis obligé;
Va, que je luy ſouhaite une joye infinie.	Va, que je lui souhaite une joie infinie.
