A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
c’eſt à preſent que la clarté nous nuit) Aux premiers traitZ du iour que l’Aurore nous monſtre, Vn eſcadron Chreſtien nous vient à la rencontre;	c'est à présent que la clarté nous nuit) Aux premiers traités du jour que l'Aurore nous montre, Un escadron Chrétien nous vient à la rencontre;
Alors mon compagnon le voyant approcher;	Alors mon compagnon le voyant approcher;
Mlon frere (me dit-il) ſi le iour nous eſt cher Cherchons neſtre ſalut dans la foreſt prochaine, Et quittons ce fardeauque nous portons à peine, Songez qu’on nous y force, & que nous aurions tort De perdre deux viuans pour conſeruer vn mort.	Mlon frère (me dit-il) si le jour nous est cher Cherchons nêtre salut dans la forêt prochaine, Et quittons ce fardeauque nous portons à peine, Songez qu'on nous y force, et que nous aurions tort De perdre deux vivants pour conserver un mort.
ISABELLE.	ISABELLE.
Il parloi jagement.	Il parloi jagement.
MEDOR.	MÉDOR.
Acheuant ces parole?	Achevant ces parole?
Il laiſſe aller le faix qui chargeoit ſes eſpaules, Coupe dans la foreſt par vn petit ſentier, Et me laiſſe en fuyant le fardeau tout entier.	Il laisse aller le faix qui chargeait ses épaules, Coupe dans la forêt par un petit sentier, Et me laisse en fuyant le fardeau tout entier.
ISABELLE.	ISABELLE.
O l’infidelle amy!	Ô l'infidèle ami!
bon Dieu que ie le blaſme, Bon Dieu que ie le hay!	bon Dieu que ici le blâme, Bon Dieu que ie le hai!
MEDOR.	MÉDOR.
Pardonnez-luy, Madame, Son erreur fait ſa faute, il croit que ie le ſuy, Et que ie cours ſans charge außi viſte que luy;	Pardonnez-lui, Madame, Son erreur fait sa faute, il croit que ici le suivi, Et que ie enfin sans charge aussi vite que lui;
L’ennemy cependant auance ſes approches, Mon maiſtre ſur le dos, i'eſquiue entre les roches, Parmy les chemins creux, les arbres, les haliers, Et trompe ainſi long-temps la main des Caualiers:	L'ennemi cependant avance ses approches, Mon maître sur le dos, j'esquiue entre les roches, Parmi les chemins creux, les arbres, les haliers, Et trompe ainsi longtemps la main des Cavaliers:
Or, mon cher Cloridan, au bruit de leurs menaces, Sur les pas de ſa mort dont il ſuiuoit les traces, Au lieu de ſe ſauuer par les deſtours du bois, Reuient me ſecourir pour la derniere fois:	Or, mon cher Cloridan, au bruit de leurs menaces, Sur les pas de sa mort dont il suivait les traces, Au lieu de se sauver par les détours du bois, Revient me secourir pour la dernière fois:
A couuert d’vn buiſſon il décoche trois fleches, Qui ſur trois Caualliers font trois mortelles breſches;	À couvert d'un buisson il décoche trois flèches, Qui sur trois Cavaliers font trois mortelles brèches;
Ces coups tireZ d’vn bras außi iuſte que fort, Cauſent à meſme temps ma bleſſure & ſamort:	Ces coups tirez d'ins bras aussi juste que fort, Causent à même temps ma blessure et samort:
Leur Chef qui void l’archer, commande qu’on le tue, Et ſon commandement außi-toſt s’effectuë;	Leur Chef qui voit l'archer, commande qu'on le tue, Et son commandement aussitôt s'effectue;
Apres venant à moy qui recullois en vain, Et dans ma cheuelure entortillant ſa main, Il m’alloit immoller à ſa iuſte colere, Quand i’en calmay les flots auec cette priere:	Après venant à moi qui recullais en vain, Et dans ma cheuelure entortillant sa main, Il m'allait immoller à sa juste colère, Quand j'en calmai les flots avec cette prière:
Ie ne deſire pas, en l’eſtat où ie ſuis, De prolonger ma vie auecque mes ennuis, Celle de mon cher frere, à qui tu l’as rauie, Auec trop de raiſon au treſpas me conuie:	Je ne désire pas, en l'état où je suis, De prolonger ma vie avec mes ennuis, Celle de mon cher frère, à qui tu l'as ravie, Avec trop de raison au trépas me convie:
Mais ſouffre ſeullement que ie rende à mon Roy Le funebre deuoir qu’il exige de moy, Ou commande toy-meſme, auant que ie finiſſe, Qu'on rende au fils d’Almont ce pitoyable office.	Mais souffre seullement que je rende à mon Roi Le funèbre devoir qu'il exige de moi, Ou commande toi-même, avant que je finisse, Qu'on rende au fils d'Almont ce pitoyable office.
Ma voix & ma ieuneſſe émeurent ce vaincœur, Qui deſia me traittoit auec moins derigueur, Ayant baiſſé l’eſpée a frapper toute preſte, Et retiré ſa main des anneaux de ma teſte.	Ma voix et ma jeunesse émeurent ce vaincœur, Qui déjà me traitait atte indre derueur, Ayant baissé l'épée à frapper toute prête, Et retiré sa main des anneaux de ma tête.
ISABELLE.	ISABELLE.
Quand vn ſoldat brutal, apres s’eſtre eſloigné, Sans reſpect de ſon Chef, qui vous euſt eſpargné, Vint fondre deſſus vous auectant d’inſolence, Que du choc du cheual, & du coup de la lance Vous cheuſtes demy mort & paſmé de douleur.	Quand un soldat brutal, après s'être éloigné, Sans respect de son Chef, qui vous eût épargné, Vint fondre dessus vous auectant d'insolence, Que du choc du cheval, et du coup de la lance Vous cheutes demi mort et pâmé de douleur.
E	E
MEDOR.	MÉDOR.
O bien-heureuſe cheute!	Ô bienheureuse chute!
& bien-heureux malheur!	et bienheureux malheur!
Mais qui vous a parlé de cette circonſtance?	Mais qui vous a parlé de cette circonstance?
ISABELLE.	ISABELLE.
Vn miracle d’honneur, d’amour & de conſtance, Le genereux Zerbin, qui vous auroit ſauué, Et dont voſtre aſſaßin euſt le glaiue eſprouué, S’il n'en euſt euité par vne heureuſe fuitté, Et la iuſte colere, & la chaude pourſuitte.	Un miracle d'honneur, d'amour et de constance, Le généreux Zerbin, qui vous aurait sauvé, Et dont votre assassin eût le glaiue éprouvé, S'il n'en eût euité par une heureuse fuité, Et la juste colère, et la chaude poursuite.
MEDOR.	MÉDOR.
Ainſi tout à hmuntuy fueteuue à ſouhait.	Ainsi tout à hmuntui fueteuve à souhait.
ISABELLE.	ISABELLE.
Soit, mais ne laiſſez pas voſtre conte imparfait.	Soit, mais ne laissez pas votre conte imparfait.
MEDOR.	MÉDOR.
Ma Reyne, s’il luy plaiſt, acheuera le reſte.	Ma Reine, s'il lui plaît, achèvera le reste.
ANGELIQVE.	ANGELIQUE.
Par ce ſillence adroit, autant qu’il eſt modeſte, Vous voulez à deſſein qu'on ſçache par ma voix Comment voſtre beauté me ſoubmit à ſes loix;	Par ce sillence adroit, autant qu'il est modeste, Vous voulez à dessein qu'on sçache par ma voix Comment votre beauté me soubmit à ses lois;
N’importe, ie veux bien vous donner cette gloire;	N'importe, Seigneur veux bien vous donner cette gloire;
Voicy donc en deux mots la fin de noſtre hiſtoire:	Voici donc en deux mots la fin de notre histoire:
La Fortune & l’Amour, cet inuiſible Archer, .	La Fortune et l'Amour, cet invisible Archer, .
t--i--- m	t-y-moi m
Que deſia mon orgueil commençoit à faſcher, Adreſſerent mes pas ſur la ſanglante voye Où l’aymable ſujet de ma future ioye Se noyoit ſans ſecours ſous vn arbre eſtendu Dans vn fleuue de ſang qu’il auoit reſpandu;	Que déjà mon orgueil commençait à fâcher, Adressèrent mes pas sur la sanglante voie Où l'aimable sujet de ma future joie Se noyait sans secours sous un arbre étendu Dans fleuue de sang qu'il avait répandu;
Tel qu'vne belle fleur ſur la terre couchée, Quand la rigueur du froid ou le ſoc l’a touchée;	Tel qu'une belle fleur sur la terre couchée, Quand la rigueur du froid ou le soc l'a touchée;
Sa miſere m'eſmeut, ſabeauté me ſurprit, Et me ſeruant de l’art que Chiron nous aprit, Exercé des Roys meſme au lieu de ma naiſſance, 37 Ie cueille vn ſimple chaud dont i’auois connoiſſance, Qui r’appelle ſa force, appaiſe ſa douleur, Et r’anime en ſon cœur la mourante chaleur;	Sa misère m'émut, sabeauté me surprit, Et me servant de l'art que Chiron nous aprit, Exercé des Rois même au lieu de ma naissance, 37 Je cueille simple chaud dont j'avais connaissance, Qui rappelle sa force, apaise sa douleur, Et ranime en son cœur la mourante chaleur;
I’auois de ſa diſgrace vne douleur bien vraye:	J'avais de sa disgrâce une douleur bien vraie:
Mais lors qu'il m'euſt conté le ſujet de ſa playe, Ce recit pitoyable augment a ma pitié, Et ma compaßion cauſa mon amitié;	Mais lors qu'il m'eût conté le sujet de sa plaie, Ce récit pitoyable augment à ma pitié, Et ma compassion causa mon amitié;
Son Prince & ſon cher frere ayant eu ſepulture A l’ayde d’vn païſant qui paſſoit d’auanture, La iument du paſteur nous ſeruït au beſoin A le porter chez luy qui ne logeoit pas loin;	Son Prince et son cher frère ayant eu sépulture À l'aide d'être paysant qui passait d'aventure, La jument du pasteur nous seruït au besoin À le porter chez lui qui ne logeait pas loin;
Là, comme ſes douleurs, ſes foibleſſes ceſſerent, Et dans mon cœur attaint les miennes commencerent;	Là, comme ses douleurs, ses faiblesses cessèrent, Et dans mon cœur attaint les miennes commencèrent;
Sa fievre s’eſteignit, la mienne s’alluma Dans mon ſang amoureux que ſon feu conſuma, Iuſques-là que mon mal eut tant de violence il força ma pudeur à rompre le ſilence,	Sa fièvre s'éteignit, la mienne s'alluma Dans mon sang amoureux que son feu consuma, Jusques-là que mon mal eut tant de violence il força ma pudeur à rompre le silence,
E iij En fin ce beau vainqueur ne fut pas ſi cruel Qu'il ne bruſlaſt pour moy d’vn braſier mutuel;	 Ejà En fin ce beau vainqueur ne fut pas si cruel Qu'il ne brûlât pour moi d'un brasier mutuel;
Hymen apres cela, qui rend tout legitime, Nous permit de gouſter des voluptez ſans crime.	Hymen après cela, qui rend tout légitime, Nous permit de goûter des volupté sans crime.
MEDOR.	MÉDOR.
C’eſt parcette fortune & cet heur amoureux ruppeuoi tumeſe mon malheur bien-heureux, Et que ma pieté ſe voit recompenſée D'vn bien de qui l’exceZ excede ma penſée.	C'est parcette fortune et cet heur amoureux ruppeuoi tumée mon malheur bienheureux, Et que ma piété se voit recompensée D'un bien de qui l'excès excède ma pensée.
ISABELLE.	ISABELLE.
Ce fut vne action que le Ciel en effait N’euſt peu recompenſer par vn moindre bien-fait, Et i'excuſe vn grand cœur alors qu’il ſe conſume Aux legitimes feux qu'vn honneſte homme allume, En qui nature a ioint par de charmans accords La bonte du courage à lapeauté au corps:	Ce fut été action que le Ciel en effait N'eût pu récompenser par un moindre bienfait, Et j'excuse un grand cœur alors qu'il se consume Aux légitimes feux qu'un honnête homme allume, En qui nature a joint par de charman accords La bonté du courage à lapeauté au corps:
Mais nous ne ferions pas vne faute legere, Sçachant comme aux Amants la ſollitude eſt chere, Si noſtre compagnie empeſchoit plus long-temps Les ſecrets entretiens de vos eſtrits contents.	Mais nous ne ferions pas toujours faute légère, Sachant comme aux Amants la sollitude est chère, Si notre compagnie empêchait plus longtemps Les secrets entretiens de vos étrits contents.
ANGELIQVE.	ANGELIQUE.
C’eſt vous paraduenture, ô Princeſſe diſcrete!	C'est vous paraventure, ô Princesse discrète!
Qui preniez, pour reſuer cette routte ſecrette, Et nous ferions nous-meſme vne inciuilité D'empeſcher plus long-temps voſtre commodité, C’eſt pourquoy nous allons par vne autre praïrie Reeguigner te onemi uc noſtre meſtairie.	Qui preniez, pour rêver cette routte secrète, Et nous ferions nous-même incivilité D'empêcher plus longtemps votre commodité, C'est pourquoi nous allons par une autre pré Guigner te onemi uc quelque métairie.
MEDOR.	MÉDOR.
Nous vous laiſſons reſuer.	Nous vous laissons rêver.
ISABELLE.	ISABELLE.
Fort bien, puis qu’il vous plaiſt;	Fort bien, puis qu'il vous plaît;
Mais chacun de nous trois ſçait bien ce qu’il en eſt.	Mais chacun de nous trois sais bien ce qu'il en est.
ANGELRQVE.	ANGELRQUE.
Adieu, nous vous laiſſons maiſtreſſe de la place.	Adieu, nous vous laissons maîtresse de la place.
T3ADELEL.	T3DELEL.
Au moins, heureux Amants, faites-moy cette grace, Qu'ayant ſceu vos amours, ie ſçache außi vos noms.	Au moins, heureux Amants, faites-moi cette grâce, Qu'ayant su vos amours, votre sçache aussi vos noms.
ANGELIQVE.	ANGELIQUE.
Le ſoin de conſeruer le bien que nous tenons, Pour de certains reſpects nous oblige à les taire Durant noſtre ſejour en ce lieu ſolitaire;	Le soin de conserver le bien que nous tenons, Pour de certains respects nous oblige à les taire Durant notre séjour en ce lieu solitaire;
Vous les ſçaurez pourtant, mais à condition D’auoir huict iours entiers cette diſcretion, Que par voſtre moyen aucun d’entre les hommes, Sans exempter Zerbin, n’apprendra qui nous ſommes:	Vous les saurez pourtant, mais à condition D'avoir huit jours entiers cette discrétion, Que par votre moyen aucun d'entre les hommes, Sans exempter Zerbin, n'apprendra qui nous sommes:
Me le promettez vous?	Me le promettez -vous?
ISABELLE.	ISABELLE.
Oüy, ie vous le promets, Et meſme, s’il vous plaiſt, de n'en parleriamais.	Oui, Seigneur vous le promets, Et même, s'il vous plaît, de n'en parleriamais.
ANGELIQVE.	ANGELIQUE.
Non, non, i’ayme bien mieux que vous rendieZ publi que Dar grorre die taredor,Qu unom a amgelique:	Non, non, j'aime bien mieux que vous rendiez publy que Dar grorre die taredor,Qu un a amgélique:
Adieu Madame.	Adieu Madame.
ISABELLE.	ISABELLE.
Adieu les Amants fortunez:	Adieu les Amants fortunés:
O Ciel!	Ô Ciel!
que ce rencontre a mes ſens eſtonnez, Seroit-ce bien icy cette ieune merueille Dont le nom tant de fois a frappé mon oreille, De qui les Ferragus, les Renauts, les Rollants, Et les plus dignes Roys ont eſté les Gallants?	que ce rencontre à mes sens étonnés, Serait-ce bien ici cette jeune merveille Dont le nom tant de fois à frappé mon oreille, De qui les Ferragus, les Renauts, les Rollants, Et les plus dignes Rois ont été les Galants?
C’eſt elle, & ſa beauté dont ie reſte charmée, S’accorde à ce grand bruit qu'en fait la renommée;	C'est elle, et sa beauté dont votre reste charmée, S'accorde à ce grand bruit qu'en fait la renommée;
Au reſte elle veut bien que ſes autres Amants Apprennent leurs malheurs par ſes contentements;	Au reste elle veut bien que ses autres Amants Apprennent leurs malheurs par ses contentements;
Mais elle cherche außi, m’obligeant au ſilence, Vne precaution contre leur violence;	Mais elle cherche aussi, m'obligeant au silence, précaution contre leur violence;
Eſtant à preſumer que durant ces huict iours Elle veut eſioigner ſes obſcures amours:	Étant à présumer que durant ces huit jours Elle veut esioigner ses obscures amours:
Mlais i’apperçoy Zerbin, il faut que ie me monſtre.	Mlais j'aperçois Zerbin, il faut que ici me montre.
Et pour mieux faire encor que i'aille à ſa rencontre.	Et pour mieux faire encor que j'aille à sa rencontre.
SCENE	SCÈNE
SCLICEEV ZERBIN, ISABELLE.	SCLICEU ZERBIN, ISABELLE.
ISABELLE.	ISABELLE.
Tbien, ſont-ils perdus, ſommes-nous démontez?	Tbien, sont-ils perdus, sommes-nous démontés?
2	2
ZERBIN.	ZERBIN.
Ils ſont tous deux encore ences bois écartez, Où ie n’ay pu les voir, ny les ſuiure à la piſté:	Ils sont tous deux encore ences bois écartés, Où grands n'ai pu les voir, ni les suivre à la pisté:
Mais vn autre accident dauantage m'attriſte.	Mais un autre accident davantage m'attriste.
