A PHILISTE	À PHILISTE
Ie veux croire tout ce que vous F iij me dites:	Je veux croire tout ce que vous F ijà me dites:
mais apres cela monſieur n’en paſſons pas plus auant, & ne parlons point ſur tout de mariage:	mais après cela monsieur n'en passons pas plus avant, et ne parlons point sur tout de mariage:
Car ie ne ſuis pas d’humeur à me vouloir engager iuſques là ma liberté, i’ayme la compagnie à la verité, mais ie ne veux pas qu’elle ſoit perpetuelle:	Car ie ne suis pas d'humeur à me vouloir engager jusques -là ma liberté, j'aime la compagnie à la vérité, mais ils ne veux pas qu'elle soit perpétuelle:
& ſi mon pere euſt eſté de mon aduis, ie ſerois encores au lieu où i’eſtois deuant ma naiſſance.	et si mon père eût été de mon avis, on serais encore au lieu où j'étais devant ma naissance.
LE PALADIN.	LE PALADIN.
Si voſtre reſolution eſtoit gene ralement ſuiuie, la mer ne ſeroit plus couuerte de vaiſſeaux, & la terre demeureroit deſerte.	Si votre résolution était gene râlement suivie, la mer ne serait plus couverte de vaisseaux, et la terre demeurerait déserte.
Au reſte, ie ne vous conſeilleray rien que ie ne vouluſſe faire auec vous.	Au reste, Seigneur ne vous conseillerai rien que je ne voulusse faire avec vous.
CLORINDE.	CLORINDE.
Ie voy bien que vous me perſuaderiez auec le temps tout ce que i’eſtois reſoluë de ne faire pas.	Je vois bien que vous me persuaderiez avec le temps tout ce que j'étais résolue de ne faire pas.
Mais s’il eſt ainſi que vous ayez, comme vous dites, de l’amour pour moy, & qu’il ne ſoit pas en ma puiſſance de vous empeſcher de m’auoir en quelque eſtime, faites le de grace, comme ſi vous commetiez quelque peché.	Mais s'il est ainsi que vous ayez, comme vous dites, de l'amour pour moi, et qu'il ne soit pas en ma puissance de vous empêcher de m'avoir en quelque estime, faites le de grâce, comme si vous commetiez quelque péché.
C’eſt à dire ſans chercher des preuues, ny appeller des teſmoins, autrement certes le monde dira que voſtre affection fait tort à voſtre iugement:	C'est à dire sans chercher des prévues, ni appeler des témoins, autrement certes le monde dira que votre affection fait tort à votre jugement:
& i’ay peur qu’on m’acuſe de vous auoir rendu aueugle, & d’eſtre plus meſchante que la guerre, qui s’eſt contentee de faire nos ennemis borgnes.	et j'ai peur qu'on m'acuse de vous avoir rendu aveugle, et d'être plus méchante que la guerre, qui s'est contente de faire nos ennemis borgnes.
SCENE SECONDE:	SCÈNE SECONDE:
LE DOCTEVR.	LE DOCTEUR.
Omme ſi ie n’euſſe pas eu aſſez de la fieure, i’ay encores de l’amour, & il ne me reſte qu’vn procez & vne querelle pour acheuer ma bonné fortune:	Omme si je n'eusse pas eu assez de la fièvre, j'ai encor de l'amour, et il ne me reste qu'H procès et une querelle pour achever ma bonné fortune:
& certes il ſemble qu’il n’y ait que pour moy que la nuict n’a pas eſté faite;	et certes il semble qu'il n'y ait que pour moi que la nuit n'a pas été faite;
quand les vents ſe repoſent & que toute la nature eſt tranquille, ie veille tout ſeul auec les Aſtres;	quand les vents se reposent et que toute la nature est tranquille, tu veille tout seul avec les Astres;
& en cét eſtat ſi Dieu m’auoit donné vn Royaume, pourueu que ie ne dormiſſe pas plus que ie fais, ie ſerois le plus vigilant Prince de la terre, ie n’aurois point beſoin aupres de ma perſonne ny de gardes, ny de ſentinelles;	et en cet état si Dieu m'avait donné un Royaume, pourvu que personne ne dormisse pas plus que sans fais, Seigneur serais le plus vigilant Prince de la terre, je n'aurais point besoin auprès de ma personne ni de gardes, ni de sentinelles;
& il ne ſe paſſe iour que ie ne voye leuer & coucher le Soleil;	et il ne se passe jour que je ne voie lever et coucher le Soleil;
Ie me nourris de poiſon, & ſouffre la vie en guiſe de penitence, bref, il n’y a pas aſſez de force en toutes les paroles du monde pour exprimer les maux que i’endure;	Je me nourris de poison, et souffre la vie en guise de pénitence, bref, il n'y a pas assez de force en toutes les paroles du monde pour exprimer les maux que j'endure;
& la nature n’a fait pour leur remede que le poiſon & les precipices.	et la nature n'a fait pour leur remède que le poison et les précipices.
Mais n’eſt ce pas Hydaſpe que ie vois venir tout à propos pour me conſoler, & me rendre meſme ma douleur en quenduelolte agitaon.	Mais n'est ce pas Hydaspe que Rome vois venir tout à propos pour me consoler, et me rendre rendre ma douleur en quenduelte agitaon.
HYDASPE.	HYDASPE.
Touſiours dans la ſolitude, il eſt vray que vous ne ſçauriez eſtre en mnemeure compagme que qualid vous eſtes ſeul.	Toujours dans la solitude, il est vrai que vous ne sauriez été en nemeure compagme que qualid vous êtes seul.
LE DOCTEVR.	LE DOCTEUR.
Ie prends plaiſir à reſuer icy au bruict de ces douces fontaines, & de ne parler plus qu’à moy-meſme, puis qu’il n’y a plus au monde de diuertiſſement pour moy;	Je prends plaisir à rêver ici au bruit de ces douces fontaines, et de ne parler plus qu'à moi-même, puis qu'il n'y a plus au monde de divertissement pour moi;
il eſt vray qu peut eſtre mes ſonges & mes reſueries vaudront bien autant que les plus excellentes meditations des Philoſophes.	il est vrai qu peut être mes songes et mes rêveries vaudront bien autant que les plus excellentes méditations des Philosophes.
HYDASPE.	HYDASPE.
Encores vaut-il mieux faire des beaux ſonges que de trauailler à des ehores ordinaires.	Encores vaut-il mieux faire des beaux songes que de travailler à des ehores ordinaires.
Mais comment va lamour.	Mais comment va lamour.
LE DOCTEVR.	LE DOCTEUR.
Touſiours de meſme, ie cherche toutes les occaſions (ie n’entends pas celles de la Rochelle ny de Montauban) i’entends celles de ma Maiſtreſſe, & luy deſcouurir ma paſſion.	Toujours de même, ie cherche toutes les occasions (ie n'entends pas celles de la Rochelle esprit de Montauban) j'entends celles de ma Maîtresse, et lui découvrir ma passion.
Allons voir ie vous prie ſi elle ne ſeroit point en ſon logis.	Allons voir Seigneur vous prie si elle ne serait point en son logis.
LE DOCTEVR.	LE DOCTEUR.
Ta, tao	Ta, tao
AHI 214	AHI 214
CLORINDE.	CLORINDE.
Qui eſt là?	Qui est là?
LE DOCTEVR.	LE DOCTEUR.
C’eſt moy Madamoiſelle.	C'est moi Madamaiselle.
11016D8 110, ho monſieur le Docteur, ie croy que vous ne reuenez au monde que pour faire peur aux hommes.	11016D8 110, ho monsieur le Docteur, tu crois que vous ne revenez au monde que pour faire peur aux hommes.
CLORINDE.	CLORINDE.
Apres auoir faict toutes les ſimagrees & ſignes de Croix d’vne perſonne effrayee de quelque viſion ou aparition de Phantoſme.	Après avoir fait toutes les simagrées et signes de Croix d'une personne effraie de quelque vision ou apparition de Phantôme.
LE DOCTEVR.	LE DOCTEUR.
1171 me CouC UoV Ouj Comment cela Madamoiſelle?	1171 me CouC UoU Ouj Comment cela Madamoiselle?
CLORINDE.	CLORINDE.
Le bruict couroit que vous eſtiez deſia au nombre des choſes paſſces.	Le bruit courait que vous étiez déjà au nombre des choses passées.
LE DOCTEVR.	LE DOCTEUR.
Les bruicts communs ont ſouuent tué des hommes qui le portent ctel,	Les bruits communs ont souvent tué des hommes qui le portent ctel,
HYDASPE.	HYDASPE.
Voyez comme la mort faict que les plus belles choſes offencent la clarté du iour, & font peur à ceux qui n’agueres les auoient admirées.	Voyez comme la mort fait que les plus belles choses offensent la clarté du jour, et font peur à ceux qui n'aguères les avaient admirées.
CLORINDE.	CLORINDE.
Si paroiſt-il bien à voſtre viſage que vous auez eſté bien malade, & voſtre teſte qui a perdu tout ſon ornemhene d la petruque, ne tenſemble plus qu’à vn caſque ou à vne citroüille.	Si paraît-il bien à votre visage que vous avez été bien malade, et votre tête qui a perdu tout son ornehène d la petruque, ne tensemble plus qu'à un casque ou à une citroüille.
C*2 LE DOCTEVR.	C*2 LE DOCTEUR.
Ie ne ſçaurois trouuer mauuais que vous vous moquiez de moy, tant vous le faictes de bonne grace:	Je ne saurais trouver mauvais que vous vous moquiez de moi, tant vous le faites de bonne grâce:
Mais r’aillerie à part, ſera-t’il touſiours plus aiſé de conuertit toute l’Angleterre que de vous diſpoſer à m’aymer.	Mais raillerie à part, sera-t-il toujours plus aisé de convertit toute l'Angleterre que de vous disposer à m'aimer.
CLORINDE.	CLORINDE.
Le mot d’aymer doit offencer les filles de ma ſorte, monſieur le Docteur aprenez cela de moy.	Le mot d'aimer doit offenser les filles de ma sorte, monsieur le Docteur apprenez cela de moi.
LE DOCTEVR.	LE DOCTEUR.
Ie ne voy pourtant gueres d’aparance que ce mot vous puiſſe offencer, dont vous ſçauez vous meſme que Dieu ſe contente:	Je ne vois pourtant guère d'apparance que ce mot vous puisse offenser, dont vous savez vous même que Dieu se contente:
Auſſi ſe ſeroit le vray moyen de me contredire, quand meſme ie m’apelle mal-heureux que de me faire croire que vous m’aymez, & Il’en deſerperois tont à fait, des demain i’aualerois du poiſon, ou ie me ietterois dans vn precipice.	Aussi se serait le vrai moyen de me contredire, quand même tu m'appelle malheureux que de me faire croire que vous m'aimez, et Il’en deserperois tont à fait, des demain j'avez du poison, ou ainsi me jetterais dans un précipice.
CLORINDB Se ſeroit le moyen d’aquerir le nom de beau ſauteur.	CLORINDB Se serait le moyen d'aquérir le nom de beau sauteur.
G iij	G jijà
LE DOCTEVR.	LE DOCTEUR.
Et quiconque voudroit auoir bien toſt ma ſucceſſion, il n’a qu’à me priuer de vos bonnes graces:	Et quiconque voudrait avoir bien tôt ma succession, il n'a qu'à me priver de vos bonnes grâces:
en voſtre preſence, ie me puis dire touſiours heureux, ſoit que ie ſois ioyeux, foit que ie ſois triſte, elle me faict oublier bien ſouuent que ie ſuis malade, voire meſme voſtre conuerſation me feroit treuuer la Cour au village, & Paris dans les landes de Bordeaux & toutesfois bien que nous ne ſoyons ſeparez ny par les mers, ny par les montagnes, & que nos logis ſe touchent, re ne ſçaurois pourtant trouuer les occaſions de vous entretenir non plus que ſi vous eſtiez au lappon, ou au Royaume de la Chine:	en votre présence, on me puis dire toujours heureux, soit que sans sois joyeux, soit que sans sois triste, elle me fait oublier bien souvent que personne suis malade, voire même votre conversation me ferait trouver la Cour au village, et Paris dans les landes de Bordeaux et toute bien que nous ne soyons séparez ici par les mers, ni par les montagnes, et que nos logis se touchent, re ne saurais pourtant trouver les occasions de vous entretenir non plus que si vous étiez au lappon, ou au Royaume de la Chine:
il faut de neceſſité, que ou ma compagnie vous ſoit ennuyeuſe:	il faut de nécessité, que ou ma compagnie vous soit ennuyeuse:
ou que vous ayez de Pamour pour vn autre.	ou que vous ayez de Pamour pour un autre.
Il me ſemble pourtant que vous deuriez eſtre plus ſenſilble à ma douleur, & à me teſmoiger de la pitié, puis que c’eſt de vous ſeule que i’atends du ſoulagement en mes miſeres, & ie croirois eſtré plus riche de poſſeder voſtre amitié que ſi i’auoïs la faueur des Roys & tout le reuenu de leurs Royaumes, ſi tant eſt que vous ne reſeruiez voſtre affection pour vn autre & que vous m’en vouliez exclure tout à faict.	Il me semble pourtant que vous devriez être plus sensilble à ma douleur, et à me témoiger de la pitié, puis que c'est de vous seule que j'attends du soulagement en mes misères, et ainsi croirais estré plus riche de posséder votre amitié que si j'auoïs la faveur des Rois et tout le revenu de leurs Royaumes, si tant est que vous ne réserviez votre affection pour un autre et que vous m'en vouliez exclure tout à fait.
Conſiderez Clorinde, que ce n’eſt pas vne action genereuſe d’auoir tué vn malade, il n’y a ſi mauuais Medecin qui n’en face autant;	Considérez Clorinde, que ce n'est pas une action généreux d'avoir tué un malade, il n'y a si mauvais Médecin qui n'en face autant;
& tout ce qu’on pourra dire de pouoapres ma mort, c’eſt que vous auez eu vn peu plus de lolte qu’vne fieure lente.	et tout ce qu'on pourra dire de pouaprès ma mort, c'est que vous avez eu un peu plus de lolte qu'une fièvre lente.
CLORINDE.	CLORINDE.
Monſieur, vous ſçauez qu’en matiere de recherche, il eſt beſoin d’eſtre armé de beaucoup de patience, ſans laquelle on ne faict rien a la chaſſe, ny meſme auieux des eſchets, outre que le ſeruice qu’on rend à vne D ame doit touſiours tenir lieu de la premiere recompenſe qu’il en faur attendre:	Monsieur, vous savez qu'en matière de recherche, il est besoin d'être armé de beaucoup de patience, sans laquelle on ne fait rien à la chasse, Seigneur au Prince des échets, outre que le service qu'on rend à une D âme doit toujours tenir lieu de la première récompense qu'il en saur endre:
