ALANCuENERe	ALANCuENERée
Cloris ie le confeſſe & qu’en ce beau deſſein Mon ardeur s’amortit en mon timide ſein, Mais le feu de l’amour qui s’eſt rendu le maiſtre, Des tous mes ſentimẽs la peut faire renaiſtre, Et ſa douce fureur par vn traict de tes yeux, Peut rendre à mon esprit ce qu’il auoit de mieux.	Cloris Seigneur le confesse et qu'en ce beau dessein Mon ardeur s'amortit en mon timide sein, Mais le feu de l'amour qui s'est rendu le maître, Des tous mes sentiments la peut faire renaître, Et sa douce fureur par un trait de tes yeux, Peut rendre à mon esprit ce qu'il avait de mieux.
Ainſi ſur cet eſpoir dont ta beauté me flarte, Ta beauté dont le feu par tous moyens eſclate:	Ainsi sur cet espoir dont ta beauté me flarte, Ta beauté dont le feu par tous moyens éclate:
Encore mon eſprit oZe ſe faire fort De ſauuer ton merite & mõ nom de la mort.	Encore mon esprit oZe se faire fort De sauver ton mérite et mon nom de la mort.
Ie conçois vnPoëme en l’ardeur qui me pique.	Je conçois vnPoëme en l'ardeur qui me pique.
De ce vaſte deſſein qu’on appelle heroïque;	De ce vaste dessein qu'on appelle héroïque;
Ie ſçay que les François n’ont pas encor appris De pouſſer dans ces champs leurs delicats eſprits, Ie me veux engager à ce penible ouurage Car tu m’en fourniras la force & le courage Si ie ſuis le premier à ce diuin effort, Ce n’eſt à mon aduis que le plaiſir du ſort Qui voulant que premier ceſte œuure i'eſcri.	Je sais que les Français n'ont pas encor appris De pousser dans ces champs leurs délicats esprits, Je me veux engager à ce pénible ouvrage Car tu m'en fourniras la force et le courage Si tu suis le premier à ce divin effort, Ce n'est à mon avis que le plaisir du sort Qui voulant que premier cette œuvre j'escri.
uiſſe, Voulut que le premier ceſte beauté ie viſſe Et que dans tes appas ie prinſſe vne chaleur Où les ſœurs d’Apollon n’ont rien donné du leur, Où rien que ton obiet ma paßion n’allume, Où ie n’ay que ta main pour conduire ma plume, O Dieux pourray-ie bien ſans vous faſcher Vn peu!	uisse, Voulut que le premier cette beauté homme visse Et que dans tes appas appas prisse une chaleur Où les sœurs d'Apollon n'ont rien donné du leur, Où rien que ton objet ma passion n'allume, Où ie n'ai que ta main pour conduire ma plume, Ô Dieux pourrai-ie bien sans vous fâcher peu!
Suiure les mouuemens de mon aueugle feu !	Suivre les mouvements de mon aveugle feu !
Deſ-ia comme l’amour m’engage à la furie, Ie croy que l’adorer n'eſt pas idolatrie, Deuſſe-ie deſpiter voſtre diuin couroux, Tout ce que i’en veux dire eſt au deſſous de vous, S’il vous plaiſt que le monde vniquemeus vous ayme,	Déjà comme l'amour m'engage à la furie, Je crois que l'adorer n'est pas idolâtrie, Deusse-je dépiter votre divin courroux, Tout ce que j'en veux dire est au -dessous de vous, S'il vous plaît que le monde vniquemeus vous aime,
Si vous voulez purger la terre du blaſpheme, Faire que les mortels rendent la liberté De leurs deſirs peruers à voſtre volonté, Sans les espouuanter de l’eſclat du tonnerre, Changez vous en Cloris, & venez ſur la terre, Alors de voſtre Amour ils ſeront tous rauis.	Si vous voulez purger la terre du blaspheme, Faire que les mortels rendent la liberté De leurs désirs pervers à votre volonté, Sans les épouvanter de l'éclat du tonnerre, Changez vous en Cloris, et venez sur la terre, Alors de votre Amour ils seront tous ravis.
Alors abſolument vous en ſerez ſeruis, Il eſt vray que tout cede à l’amoureuſe peine, Que Paris & ſa ville ont bruſlé pour Helene, Et les antiquitez font voir au curieux, Que l’Aube miſt Titon dans le ſiege des Dieux, Et de tant de beautez qui furent les Maiſtreſſes De l'aiſné de Saturne on en fait des Deeſſes, Qui n’ont eſté pourtant non plus que leur Amant, Que le triste butin d’vn mortel monumene, Mais d’autant que l’Amour eſt le bien de la vie, Qui ſeul ne peut iamais eſteindre ſon enuie, Qui touſiours dans la peine espere le plaiſir, Qui dans la reſiſtance augmense le deſir, Et que les corps humains de ceſte douce flame,	Alors absolument vous en serez servis, Il est vrai que tout cède à l'amoureuse peine, Que Paris et sa ville ont brûlé pour Hélène, Et les antiquités font voir au curieux, Que l'Aube mît Titon dans le siège des Dieux, Et de tant de beautés qui furent les Maîtresses De l'aisné de Saturne on en fait des Déesses, Qui n'ont été pourtant non plus que leur Amant, Que le triste butin d'un mortel ance, Mais auautant que l'Amour est le bien de la vie, Qui seul ne peut jamais éteindre son envie, Qui toujours dans la peine espere le plaisir, Qui dans la peine augmense le désir, Et que le corps plais de ceste douce y,
l’Ame.	l'Âme.
On a creu de l’Amour qu’il eſtoit immortel Et qu’auſsi ſon ſubiect ne peut eſtre que tel, Ainſi ces Dieux Païens furent ce que nous ſommes, Ainſi les vrais Amans ſeront plus que les hommes, (lement Pour moy qui n’ay ſouffert que d’vn iour ſeuIe n’oze m’aſſeurer de paſſerpour Amant Ie ne ſçay ſi l’Amour me croit de ſon Empire, (pire, Depuis ſi peu de temps qu’il voit que ie ſouſIl faut bien que ce ſoit vn obiect violent, Pour me donner ſi toſt vn deſir ſi bruſlant Ou que mon Ame ſoit d’vne matiere aiſée, Et d’vne humeur bien prompte à ſe voir embraſée, Ce feu bruſle ſi viſte à force qu’il me plaist, Qu’à peine ay-ie loiſir de regarder qu’il eſt, Les Dieux qui peuuẽt tout auec les Deſtinées, S’aident de mille maux et de beaucoup d’années, (uans, 1u jaut que ues botenast vn l’autre ſe ſulA force d’eſclairer eſteignent les viuans, Qu'vn ſiecle ce flambeau paſſe ſur noſtre vie, Et Cloris d’vn trait d’œil me l’a deſ-iarauie.	On a creu de l'Amour qu'il était immortel Et qu'aussi son sujet ne peut être que tel, Ainsi ces Dieux Païens furent ce que nous sommes, Ainsi les vrais Amants seront plus que les hommes, (lement Pour moi qui n'ai souffert que d'un jour deuIe n'ose m'assurer de passerpour Amant Je ne sais si l'Amour me croit de son Empire, (pire, Depuis si peu de temps qu'il ait que ie sansIl faut bien que ce soit un objet violent, Pour me donner si tôt un des si brûlant Ou que mon soit D ie aisée, Et humeur bien prompte se voir embrasée, Ce feu brûle si viste force il me plaît, peine ay-ie loisir de regarder il est, Les Dieux qui peuuẽt tout auec les Te, aident hom m et de beaucoup années, (uans, jaut que mon autre se sulA force éclairer éteignent les viuans, Qu' siècle ce flambeau passe sur nôtre vie, Et Cloris trait me a des-iarauie.
Mes ſens enueloppez dans vn profond ſommeil, Ne ſçauẽt plus que c'eſt des clartez du Soleil, Mes premiers ſentimẽs ſont dãs la ſepulture Ton Amour, ô Cloris, a changé ma nature, L’eſclat des Diamans ny du plus beau metal, Bacchus ton Dieu qu’il est, riant dans le criſtal, (voye Au pris de tes regards n’ont point trouué la Qui conduit dans mon ame vne parfaite ioye, Si le ſort me donnoit la qualité de Roy, Si les plus chers plaiſirs s’adreſſoient tous à moy, Si i’eſtois Empereur de la terre & de l’onde, Si de ma propre main i’auois baſty le monde, Et comme le Soleil de mes regards produict Tout ce que l’Vniuers a de fleur & de fruict, Si cela m’arriuoit ie n’aurois pas tant d’aiſe, Ni tant de vanité que ſi Cloris me baiſe, (ler, Mais i’entẽs d’vn baiſer où le cœur puiſſe alAuec les mouuemens des yeux & du parler, Que ſon ame ſans peine auec moy s’entretienne, (ne.	Mes sens enveloppés dans un profond sommeil, Ne avait plus que c'était des clartés du Soleil, Mes premiers sentiments sont dans la sépulture Ton Amour, ô Cloris, a changé ma nature, L'éclat des Diamants esprit du plus beau métal, Bacchus ton Dieu qu'il est, riant dans le cristal, (voie Au pris de tes regards n'ont point trouvé la Qui conduit dans mon âme parfaite joie, Si le sort me donnait la qualité de Roi, Si les plus chers plaisirs s'adressaient tous à moi, Si j'étais Empereur de la terre et de onde, Si de ma for main auois bâti le monde, Et comme le Soleil de mes regards produict Tout ce que l'On a de fleur et de fruict, Si cela arriuoit ie aurois pas tant aise, Ni tant de vanité que si Cloris me baise, (ler, Mais entẽs j' ô le cœur puisse alAuec les mouuemens de yeux et du parler, Que son âme sans peine auec moi entretienne, .
Et que ſa volonté ſeconde vn peu la mienAmans qui vous piquez vers vn obiect forcé, Qui ne ſçauez que c’eſt d’vn baiſer bien preſ	Et que sa volonté seconde un peu la mienAmants qui vous piquez vers un objet forcé, Qui ne savez que c'est d'un baiser bien pres
Qui ne trouueZ l'Amour que dans la tyrannie, Et n’aymez les faueurs qu’entant qu'on le vous nie, Que vous eſtes heureux envos laſches deſirs, Puis que meſme vos maux font naiſtre vos plaiſirs.	Qui ne trouvez l'Amour que dans la tyrannie, Et n'aimez les faveurs qu'entant qu'on le vous nie, Que vous êtes heureux envos lâches désirs, Puis que même vos maux font naître vos plaisirs.
Pour moy chere Cloris, ie n’en ſuis pas de meſme, Ie ne ſçaurois aymer ſi ie ne voy qu’on m'ayme, Et ſi peu qu’on refuſe à ma ſaincte amitié, Ie ſens que mon ardeur decroiſt de la moitié, I’entens que le ſalaire égale mon ſeruice, Ie penſe qu’autrement la conſtance eſt vn vice, Qu'Amour hait ces eſprits qui luy ſont trop deuots, Et que la patience eſt la vertu des ſots, Ce que ie dis Cloris auec plus d’aſſeurance, Dautant que ie te voy flater mon eſperance, Et que pour nous tenir dans ceſt heureux lien, Ie voy deſ-ia d’accord ton eſprit & le mien, Aymons nous ie te prie, & lors que mon vi2 Te voudra rebuter ou mon poil ou mon age,	Pour moi chère Cloris, ie n'en suis pas de même, Je ne saurais aimer si bon ne vois qu'on m'aime, Et si peu qu'on refuse à ma sainte amitié, Je sens que mon ardeur décroît de la moitié, J'entends que le salaire égale mon service, Je pense qu'autrement la constance est un vice, Qu'Amour hait ces esprits qui lui sont trop dévots, Et que la patience est la vertu des sots, Ce que je dis Cloris Seigneur plus d'assurance, Dautant que ie te vois flatter mon espérance, Et que pour nous tenir dans cest que lien, Ie des accord ton esprit et le mien, Aymons nous ie te prie, et lors que mon v Te voudra le ou mon poil ou mon age,
Regarde en mon eſprit où i’ay mis tõ tableau, Lors tu verras en moy quelque choſe de beau, Tu te verras logée en vn petit Empire, Oû l’eſprit de l’amour auecques moy ſouſpire, Il ſe tient glorieux de receuoir ta loy, Et ſemble qu’il pourſuit meſme deſſein que moy, Si ie vay dans tes yeux il y va prendre place, Ie ne voy là dedans que ſes traicts & ma face, Ie doubte s’il y fait ou mon bien ou mon mal, Et ne ſçay plus s’il eſt mon maiſtre ou mon riual:	Regarde en mon esprit où j'ai mis ton tableau, Lors tu verras en moi quelque chose de beau, Tu te verras logée en un petit Empire, Ou l'esprit de l'amour avec moi soupire, Il se tient glorieux de recevoir ta loi, Et semble qu'il poursuit même dessein que moi, Si tu fais dans tes yeux il y va prendre place, Je ne vois là dedans que ses traits et ma face, Je doute s'il y fait ou mon bien ou mon mal, Et ne sais plus s'il est mon maître ou mon rival:
Ie cognois bien l’Amour, ie ſçay qu’il eſt perfide, Et ſi pour le chaſſer ie ſuis vn peutimide, Ie luy feray touſiours vn traictement humain, Puis que ie l’ay receu d’vne ſi bonne main.	Je connais bien l'Amour, ils sais qu'il est perfide, Et si pour le chasser sans suis un peutimide, Je avait ferai toujours un traitement hum, Puis que je l'ai reçu d'une si bonne main.
Puis que c’eſt toy Cloris, apres l’auoir fait naistre, Qui l’as mis dans mon ame, où ton œil eſt le maiſtre, Où tu vis abſolüe en tes commandemens, Où ton vouloir preſide à tous mes ſentimes, C’eſt par toy que ces vers d’vne veine animée,	Puis que c'est toi Cloris, après l'avoir fait naître, Qui l'as mis dans mon âme, où ton œil est le maître, Où tu vis absolue en tes commandements, Où ton vouloir preside à tous mes sentîmes, C'est par toi que ces vers d'une veine animée,
S’en vont à ma faueur flater la renommée Mais ie diray par tout que tes ſeules beau1 Ont eſté le Demon qui me les a dictez Et tant que tes regards luyront à ma penſée Sans ouurir vne veine aucunement forcée.	S'en vont à ma faveur flatter la renommée Mais On dirai par tout que tes seules beau1 Ont été le Démon qui me les a dictez Et tant que tes regards luyront à ma pensée Sans ouvrir ainsi veine aucunement forcée.
Ma Muſe ſe promet de meriter vn iour, Que ſes vers ſoient nommez les fruicts de ton Amour, Autant que ton humeur ayme la Poëſie, Ie te prie ôcloris, aide ma freneſie:	Ma Muse se promet de mériter un jour, Que ses vers soient nommés les fruits de ton Amour, Autant que ton humeur aime la Poésie, Je te prie ôcloris, aide ma frénésie:
Et puis que ie m’engage à ce diuin proiect Ne te laſſe iamais de me ſeruir d’obiect.	Et puis que ici m'engage à ce divin project Ne te lasse jamais de me servir d'objet.
Auiourd’huy donne moy tes beaux cheueux à peindre, Tu verras vne plume au Pactole ſe teindre, Et d’vne lettre d’or grauer ſelon mes veux Mon ame entrelaſſée auecques tes cheueux.	Aujourd'hui donne moi tes beaux cheveux à peindre, Tu verras une plume au Pactole se teindre, Et d'une lettre d'or graver selon mes veux Mon âme entrelacée auecques tes cheveux.
