des Aydes.	des Aides.
Adieu, moy deſſus la fougere, Ie veux m’aller mirer aux yeux d’vne bergere.	Adieu, moi dessus la fougère, Je veux m'aller mirer aux yeux d'une bergère.
ISMIN.	ISMIN.
tout ſeul.	tout seul.
Outre que ces diſcours dißipoient mon ſouçy;	Outre que ces discours dissipaient mon souçi;
Ie croy que le bon-heur a fait venir icy Ce vieux fou de berger me dire vne nouuelle, Qui monſtre que l'amour dans l’espoir me r’appelle.	Je crois que le bonheur a fait venir ici Ce vieux fou de berger me dire une nouvelle, Qui montre que l'amour dans l'espoir me rappelle.
Charixene peut-eſtre au defaut d’vn mary, Receura le ſecours que donne vn fauory.	Charixène peut-être au défaut d'un mari, Receura le secours que donne un favori.
{ A AN	 § AN
SCENE II.	SCÈNE II.
CAARIAENE.	CARIANENE.
ISMIN.	ISMIN.
SYLVAIN.	SYLVAIN.
CHARIXENE ſeule dans vn bois.	CHARIXENE seule dans un bois.
E recognois des traicts parmy cette verdure TDu plus parfaict pinceau qu’eut iamais la Nature :	E reconnais des traits parmi cette verdure TDu plus parfait pinceau qu'eut jamais la Nature :
C’eſt icy de nos ſens l’object delicieux, Mais principalement de l’oreille & des yeux:	C'est ici de nos sens l'object délicieux, Mais principalement de l'oreille et des yeux:
Car la voix des oiſeaux, & mille autres merueillęs Y charment de plaiſir les yeux & les oreilles.	Car la voix des oiseaux, et mille autres merueillęs Y charment de plaisir les yeux et les oreilles.
A la fin ie croiray voyant tant de beaux lieux, Que c'eſt quelque morceau qu'õ a couppé des Cieux.	À la fin assez croiray voyant tant de beaux lieux, Que c'est quelque morceau qu'on a coupé des Cieux.
La lumiere du iour qui s’enfuit eſtonnée, Icy, cede à la nuict comme à ſa ſœur aiſnée, Et pour voir les beautez dont l’œil eſt enchanté, Le iour ne vaut pas taur que certe vuſeurite.	La lumière du jour qui s'enfuit étonnée, Ici, cède à la nuit comme à sa sœur aisnée, Et pour voir les beautés dont l'œil est enchanté, Le jour ne vaut pas taur que certe vusurite.
C’eſt l’aiſle des amours qui ſemble en ce lieu ſombre Donner vn corps ſolide aux eſpaces de l’ombre:	C'est l'aile des amours qui semble en ce lieu sombre Donner un corps solide aux espaces de l'ombre:
Ie veux donc deſcouurir dans ces bois ſi couuerts Le ſubiect importun de mes penſers diuers, Et deſia les Zephirs retenant leur haleine Semblent preſter l’oreille au recit de ma peine.	Je veux donc découvrir dans ces bois si couverts Le sujet importun de mes pensers divers, Et déjà les Zéphirs retenant leur haleine Semblent prêter l'oreille au récit de ma peine.
Mais ie les forceray bien toſt de ſouſpirer, Quand ils ſçauront le mal qu’il me faut endurer.	Mais ici les forcerai bien tôt de soupirer, Quand ils sauront le mal qu'il me faut endurer.
Beaux arbres, eſcoutez le tourment qui me force, Vous auez de l’amour ſoubz voſtre dure eſcorce;	Beaux arbres, écoutez le tourment qui me force, Vous avez de l'amour sous votre dure écorce;
Ie voy que vos rameaux l’vn dans l’autre enlacez Comme auecques des bras ſe tiennent embraſſez:	Je vois que vos rameaux l'âme dans l'autre enlacés Comme avec des bras se tiennent embrassez:
Mais quoy?	Mais quoi?
dedant l’excez du mal qui me poſſede, Arbres, ce n'eſt pas vous qui tenez mon remede, Inſenſibles au deüil qui me mene au trespas, Vos branches ny vos troncs ne s’en eſmeuuent pas;	dedant l'excès du mal qui me possède, Arbres, ce n'est pas vous qui tenez mon remède, Insensibles au deuil qui me mène au trépas, Vos branches esprit vos troncs ne s'en esmeuuent pas;
Pardonnez donc aux traicts du tourment que i'endure, Si ie me voy contrainte à vous faire vne iniure?	Pardonnez donc aux traits du tourment que j'endure, Si tu me vois contrainte à vous faire une injure?
Et ſi ie dis icy que ie compare à vous Les imperfections de Syluain mon eſpoux, Et pleuſt aux Dieux qu’il euſt augmenté voſtre nombre:	Et si ie dis cy que ie clare à vous Les imperfections de Syluain mon époux, Et pleut aux Dieux qu'il eût augmenté votre nombre:
Car vous couurez nos cosps ne donnans que de l’ombre, Et ie ne regoy rien pour tous allegemens	Car vous couvrez nos cosps ne donnant que de l'ombre, Et personne ne regoi rien pour tous allégements
Que l'ombre d'vn plaiſir dans ſes embraſſemens;	Que l'ombre d' plaisir dans ses embrassements;
Ie voy que dãs ces bois vos branches s’ẽtre-baiſent, C’est ainſi de Syluain que les flames s’appaiſent:	Je vois que dans ces bois vos branches s'entre-baisent, C'est ainsi de Syluain que les flammes s'apaisent:
Car apres ces baiſers vos branches ne font rien;	Car après ces baisers vos branches ne font rien;
Et Syluain abuſant mon amour & le ſien, Auec vn ſec baiſer vient flatter mon viſage.	Et Syluain abusant mon amour et le sien, Avec un sec baiser vient flatter mon visage.
Mais que me ſert cela, s’il ne fait dauantage?	Mais que me sert cela, s'il ne fait davantage?
Ceux qui paſſent ſous vous reçoiuẽt des fraicheurs, Prés de luy ie reçoy de faſcheuſes froideurs.	Ceux qui passent sous vous reçoivent des fraîcheurs, Prés de m ie reçois de fâcheuses froideurs.
Quel espoir ay-ie donc, puis que ma peine eſt vaines Et ſi ie voy par tout le tableau de ma peine, Ou bien pour dire mieux, puis que par tout ie voy Que rien dans l’vniuers ne ſouffre plus que moy.	Quel espoir ai-je donc, puis que ma peine est vaines Et si tu vois par tout le tableau de ma peine, Ou bien pour dire mieux, puis que par tout ie voi Que rien dans l'Univers ne souffre plus que moi.
La fleche de l’amour dont mon ame eſt percee Nourriſſoit vn espoir au fond de ma penſee, Qu'vn aimable mary me donneroit vn iour Le ſouuerain remede aux bleſſeures d’amour:	La flèche de l'amour dont mon âme est pèse Nourrissait un espoir au fond de ma pensée, Qu'un aimable mari me donnerait un jour Le souverain remède aux blessures d'amour:
Mais Syluain en trompant l’attente de ma couche Paye ce qu’il me doit ſeulement de la bouche;	Mais Syluain en trompant l'attente de ma couche Paye ce qu'il me doit seulement de la bouche;
Et ie ne penſe pas qu'homme ayt tumau eſté Auecques plus de ſoing de la virginité:	Et petit ne pense pas qu'homme ait tumau été Avecques plus de soins de la virginité:
Encore quelque fois qu’il feigne le contraire, Il n'oſe m'arcaquer, & ne ſgauroit rien faire!	Encore quelque fois qu'il feigne le contraire, Il n'ose m'arcaquer, et ne saurait rien faire!
Et alors mes ſouspirs & mes yeux languiſſans Luy reprochent ſa honte & l’ardeur que ie ſens L’hypocrite qu’il eſt ſouffre que ie contemple Qu'il veut cherir l’amour ſans entrer dãs ſon tẽple, Et auec infamie endure cét affront, Que de ne faire pas ce que le hommes font.	Et alors mes soupirs et mes yeux languissants Lui reprochent sa honte et l'ardeur que tu sens L'hypocrite qu'il est souffre que sans contemple Qu'il veut chérir l'amour sans entrer dans son tẽple, Et avec infamie dure cet affront, Que de ne faire pas ce que le hommes font.
Mais ie parle trop haut, on me pourroit ſurprẽdre, Peut-estre que Syluain m'a ſuiuy pour m'enlendre;	Mais fort parle trop haut, on me pourrait surprendre, Peut-être que Syluain m'a suivi pour m'enlendre;
Le voyant inutile aux plaiſirs de la nuict, Dés la pointe du iour, ſans mener aucun bruit Ie me ſuis auiourd’huy viſtement habillée, Außsi bien mes ſouspirs me tenoient eſ-eillée:	Le voyant inutile aux plaisirs de la nuit, Dés la pointe du jour, sans mener aucun bruit Je me suis aujourd'hui vitement habillée, Aussi bien mes soupirs me tenaient es-eillée:
Il ne ſçait où ie ſuis.	Il ne sait où belle suis.
Sans doubte ie le voy;	Sans doute ie le vois;
Il me cherche toûſiours & ne veut rien de moy.	Il me cherche toujours et ne veut rien de moi.
AILVMIN.	ÀILUMIN.
Bon-iour chere moitié, mon ame impatiente Vient mefler ſa triſteſſe auecque vos ennuys.	Bonjour chère moitié, mon âme impatiente Vient me sa tristesse avec vos ennuis.
CHARIXENE.	CHARIXENE.
N’esperez pas qu’ainſi ce bon-iour me contente, I’aimerois beaucoup mieux auoir de bonnes nuicts.	N'espérez pas qu'ainsi ce bon-jour me contente, J'aimerais beaucoup mieux avoir de bonnes nuits.
YLVAIN.	YLVAIN.
Dequoy vous plaignez vous, car ie vous voy chãgee?	Dequoy vous plaignez -vous, car je vous vois chãgee?
Vous forgez contre moy des foudres dãs voſtre œil.	Vous forgez contre moi des foudres dans votre œil.
	
CHARIXENE.	CHARIXENE.
Au contraire berger, ie vous ſuis obligée:	Au contraire berger, votre vous suis obligée:
Car vous n'auez iamais empeſche mon ſommeil,	Car vous n'avez jamais empêche mon sommeil,
SYLVAIN.	SYLVAIN.
Mais toutefois ma main ſans que cela vous picque Touche toutes les nuicts voſtre bel inſtrument.	Mais toutefois ma main sans que cela vous pique Touche toutes les nuits votre bel instrument.
CHARIXENE.	CHARIXENE.
Pous pounea t'appeue r'inſtrument de muſique, Où vous n'auez ioüé que des doigts ſeulement.	Pous pounea t'-Je rinstrument de musique, Où vous n'avez joué que des doigts seulement.
SYLVAIN.	SYLVAIN.
Si mes efforts ſont vains, mes paßions ſont fortes;	Si mes efforts sont vains, mes passions sont fortes;
Vous donnez trop de blaſme à mes ſens refroidis.	Vous donnez trop de blâme à mes sens refroidis.
CHARIXENE.	CHARIXENE.
V ous auez vien ta ſoy, man vos anures ſont mortes:	V avez avez viens ta soi, man vos anures sont mortes:
Ce n'eſt pas le chemin d’aller en Paradis.	Ce n'est pas le chemin d'aller en Paradis.
YLVAIN.	YLVAIN.
Abſent de vos beaux yeux où ie reçoy maflamme, Mon ame trauaillée endure mille efforts,	Absent de vos beaux yeux où je reçois maflamme, Mon âme travaillée endure mille efforts,
CHARIXENE.	CHARIXENE.
Vous auez bien raiſon de trauailler de l’ame, N’ayant pas le pouuoir de trauailler du corps.	Vous avez bien raison de travailler de l'âme, N'ayant pas le pouvoir de travailler du corps.
SYLVAIN.	SYLVAIN.
Auez vous oublié cette heureuſe iournée, Vu'le flampeau d I Lymen efeiatroit noſtre vœus 22	Avez -vous oublié cette heureuse journée, Vu'le flampeau dÈS Lymen efeiatroit notre vœus 22
CHARIXENE.	CHARIXENE.
Dedans le vray flambleau qui ſert à l’hymenée, Ie n'ay iamais cogneu que vous eußiez du feu.	Dedans le vrai flambleau qui sert à l'hyménée, Je n'ai jamais connu que vous eussiez du feu.
2	2
SYLVAIN.	SYLVAIN.
Le mantage jainci vonsrenem afprlaSes liens ne ſont pas rompus facilement.	Le mantage jainci vonsrenem affpraSes liens ne sont pas rompus facilement.
CHARIXENE.	CHARIXENE.
La mort rompt ces liens, & ie vous croy ſans vede Car les morts, comme vous n’ont point de mouuement.	La mort rompt ces liens, et Seigneur vous crois sans vède Car les morts, comme vous n'ont point de mouvement.
t-- - - LLJCAM	t- -la - LLCAM
MIAIMTN.	MIAIMTN.
Ne ſçauez vous pas bien que l’autheur de nature .	Ne savez -vous pas bien que l'auteur de nature .
Ne veut pas qu'on defface ainſi ce qu’il a fait.	Ne veut pas qu'on déface ainsi ce qu'il a fait.
CHARIXENE.	CHARIXENE.
Vous ne fuſtes iamis vn homme qu’en peinture, nauunnfaut fememem ine femme en pourtraict.	Vous ne fûtes jamis un homme qu'en peinture, navunnfaut fememem ine femme en pourtrait.
SYLYAIN.	SYLYAIN.
Au moins que ma priere à la fin vous retienne, Et n'imitez pas l’air ce leger element.	Au moins que ma prière à la fin vous retienne, Et n'imitez pas l'air ce léger élément.
L-C0 2 --- -	LC0 2 --le
CHARIXENE.	CHARIXENE.
C’eſt vous qui l’imitez, ſa region moyenne Auſst bien que la voſtre eſt froide extremement.	C'est vous qui l'imitez, sa région moyenne Ausst bien que la vôtre est froide extrêmement.
YLVAIN.	YLVAIN.
Ie veux chercher remede au mal qui vous poſſede, L’amour pour voſtre bien va mon cœur eſchauffãt	Je veux chercher remède au mal qui vous possède, L'amour pour votre bien va mon cœur échauffant
CHARIXENE.	CHARIXENE.
.	.
poriex deuans pous vn jouuerain remedé, Au moins pour m'empeſcher d’auoir le mal d'ẽfant.	poriex devants pous un jouverain remédé, Au moins pour m'empêcher d'avoir le mal d'enfant.
LVAIN.	LVAIN.
Mon ſoleil, voulez-vous empeſcher que ie monte Sur vostre chariot dont ie ſuis le cocher?	Mon soleil, voulez-vous empêcher que personne mon Sur votre chariot dont personne suis le cocher?
CHARIXENE.	CHARIXENE.
Ouy, car de Phaëton vous receuriez la honte, Qui montoit comme vous ne ſçachant pas toucher.	Oui, car de Phaéton vous recevriez la honte, Qui montait comme vous ne sachant pas toucher.
YLVAIN.	YLVAIN.
Belle & chere moitié, le temps fait que i'espere De vous ranger encore aux loix de l’amitié.	Belle et chère moitié, le temps fait que j'espère De vous ranger encore aux lois de l'amitié.
CHARIXENE.	CHARIXENE.
Voſtre peu d’appetit m'atpr tonte entiere, Et vos faſcheux diſcours me font vne moitié.	Votre peu d'appétit m'atpr tonte entière, Et vos fâcheux discours me font une moitié.
YLVAIN.	YLVAIN.
Adieu facheuſe adieu, cependant ie deſire LV T v Que voſtre bonne humeur ſoit bien toſt de retour.	Adieu fâcheuse adieu, cependant ainsi désire L Que vôtre bonne humeur soit bien tôt de retour.
CHARIXENE.	CHARIXENE.
Voſtre importunité me force de vous dire, Que i'aime mienx de pons t'auien que ie von-iour.	Votre importunité me force de vous dire, Que j'aime mienx de pons t'avien que ieclonjour.
CHARIXENE ſeule.	CHARIXENE seule.
Il faut ainſi traicter rudement ces infames Qui n'ont pas le pouuoir de contenter les femmes:	Il faut ainsi traiter rudement ces infâmes Qui n'ont pas le pouvoir de contenter les femmes:
Que ſert-il de les craindre?	Que sert-il de les craindre?
ils n’õt point de valeur, Et ne ſçauroiẽt iamais trouuer le poinct d’honneur.	ils n'att point de valeur, Et ne sauraient jamais trouver le point d'honneur.
Iſmin qui dés long-temps s’efforce de me plaire Le trouueroit bien mieux ſi ie le laiſſois faire;	Ismin qui dès longtemps s'efforce de me plaire Le trouverait bien mieux si ici le laissais faire;
Ie n'ay iamais cogneu de berger comme luy, Tant il a bonne grace à raconter l’ennuy Et tout le desplaiſir que mon amour luy donne;	Je n'ai jamais connu de berger comme lui, Tant il a bonne grâce à raconter l'ennui Et tout le déplaisir que mon amour lui donne;
Mais ie ne ſçaurois plus me donner à perſonne, Cet importun mary tient mon corps deſormais, Et craignant de l’vſer il ne s’en ſert iamais.	Mais ici ne saurais plus me donner à personne, Cet importun mari tient mon corps désormais, Et craignant de l'user il ne s'en sert jamais.
Mais ie croy voir tout ſeul lſmin dans ce boccage, I'euite ſon abord depuis mon mariage, Son diſcours eſt ſubtil, & ie craindrois qu’enfin En voulant l’eſcouter il ne fuſt le plus fin.	Mais pu crois voir tout seul l' écouter ce bocage, J'évite son abord depuis mon mariage, Son discours est subtil, et un craindrais qu'enfin En voulant l'écouter il ne fût le plus fin.
Il faut à ſes deſſeins que mon honneur i'oppoſe:	Il faut à ses desseins que mon honneur j'oppose:
Car luy preſtant l’oreille il voudroit autre choſe:	Car avait prêtant l'oreille il voudrait autre chose:
.	.
V .	V .
3 Al Vant memeit catnser.	3 Al Vant mèmeit catnser.
ISMIN.	ISMIN.
Elle n’eſt point ailleurs.	Elle n'est point ailleurs.
– Ie croy qu'elle eſt icy,	 Je crois qu'elle est ici,
CHARIXENE.	CHARIXENE.
Mais mon Dieu le voicy	Mais mon Dieu le voici
ISMIN.	ISMIN.
Si faut-il'que ie trenne à là ſin Carxene, La belle bien ſouuent dans ces bois ſe promene.	Si faut-ilque n' trenne à là sin Carxène, La belle bien souvent dans ces bois se promène.
CHARIXENE.	CHARIXENE.
Ie veuxffaire ſemblant de ne l’auoir point veu.	Je veuxffaire semblant de ne l'avoir point vu.
ISMIN.	ISMIN.
En fin ie croy que i’ay mon ſoleil apperceu.	En fin ici ici que j'ai mon soleil aperçu.
Ma belle, pardonnez à mon inquietude, Si ie vous viens troubler en cette ſolitude:	Ma belle, pardonnez à mon inquiétude, Si ie Vous viens troubler en cette solitude:
Mais vous n’eſtiez pas ſeule en ce ſejour doux?	Mais vous n'étiez pas seule en ce séjour doux?
Comment?	Comment?
CHARIXENE.	CHARIXENE.
