A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
,La valeur de l’amour eſt touſiours pourſuiuie,	,La valeur de l'amour est toujours poursuivie,
ALEXIS.	ALEXIS.
L vne & Iautre à la ſin ſuccombent aux malheurs.	 Lod et Jautre à la sin succombent aux malheurs.
ORONTE.	ORONTE.
,La constance & la foy ſurmontent les douleurs,	ÇA constance et la foi surmontent les douleurs,
ALEXIS.	ALEXIS.
2 nicelone juirvien, je menne d jecontes	2 nicelone juirvien, je menne d jecontes
ORONTE.	ORONTE.
,Eue saſſubiettit les caurs de tout le monde,	Ç ,Eue sassubiettit les caurs de tout le monde,
ALEXIS.	ALEXIS.
Elle n’eſt qu'imparfaitte au plus graid des mortels	Elle n'est qu'imparfaite au plus graid des mortels
ORONTE.	ORONTE.
,Elle acquiert a pluſieurs des veux & des Autels.	,Elle acquiert a plusieurs des veux et des Autels.
ALFXIS.	ÀLFXIS.
,A celuy qui n'arien toutes portes ſont cloſes.	ÇÀ celui qui n'arien toutes portes sont closes.
ORONTE.	ORONTE.
,Les Dieux n'ont rien pourtant, & donnent rou42s deſes.	Ç ,Les Dieux n'ont rien pourtant, et donnent rou42s deses.
ALEXIS.	ALEXIS.
Ne pouuantrien auoir, que ne puis-ie mourir?	Ne pouvantrien avoir, que ne puis-je mourir?
ORONTE.	ORONTE.
En donnant ton amour, tu peux tout acquerir.	En donnant ton amour, tu peux tout acquérir.
ALEXIS.	ALEXIS.
Ce ſeroit vn Amour, aueugle, nud, ſans charmes.	Ce serait un Amour, aveugle, nu, sans charmes.
ORONTE.	ORONTE.
Les beautez, les vertus luy fourniſſent les armes.	Les beautés, les vertus te fournissent les armes.
Que voudroit Alexis pour eſtre plus heureux?	Que voudrait Alexis pour être plus heureux?
Il neluy manque rien ſinon d’eſtre amoureux.	Il nelui manque rien sinon d'être amoureux.
ALEXIS.	ALEXIS.
En reſpondrois tu bien, ſi dauanture il ayme?	En répondrais -tu bien, si daventure il aime?
ORONTE.	ORONTE.
Il ſuffit que chacun reſponde pour ſoy-meſme.	Il suffit que chacun réponde pour soi-même.
Alexis.	Alexis.
Alexis, ouure ron iugement.	Alexis, ouure ron jugement.
Eſcoute, c’eſt à toy d’en vſer ſagement.	Écoute, c'est à toi d'en user sagement.
Mais que dis-ie?	Mais que dis-je?
ô bons dieux!	ô bons dieux!
ſuis-ie pas inſensée?	suis-je pas insensée?
Car des-ja mieux que moy tu cognois ma pensée.	Car déjà mieux que moi tu connais ma pensée.
H ii	H Hi
ALEXIS, Ie ſuis peu curieux:	ALEXIS, Je suis peu curieux:
ie ne ſçay rien d’autruy, Et ſi fort mon eſprit s'accouſtume à l’ennuy, Que le plaiſir en fin luy tiendra lieu de peine.	Ne ne sais rien d'autrui, Et si fort mon esprit s'accoutume à l'ennui, Que le plaisir en fin htiendra lieu de peine.
Ne rends point ton humeur à toy-meſme inbumaine.	Ne rends point ton humeur à toi-même inbumaine.
Reſoulds toy deſormais, ne differe plus tant.	Résoulds toi désormais, ne diffère plus tant.
Il ne tiendra qu'a toy que tu ne ſois content.	Il ne tiendra qu'a toi que tu ne sois content.
L'Helleſpõt auiourd’huy pour toy calme ſes ondes.	L'Hellespont aujourd'hui pour toi calme ses ondes.
Les monts de Berecynthe, & ſes plaines fecondes, Pour tarir a iamais la ſource de tes pleurs, Se parent auiourd’huy de verdure, & de fleurs.	Les monts de Bèrecinthe, et ses plaines fécondes, Pour tarir a jamais la source de tes pleurs, Se parent aujourd'hui de verdure, et de fleurs.
Sur tout vne beauté, dont la fortune eſt telle, Que chacun la contemple, & n'oſe approcher d eue, Que pour luy rẽdre hommage, & pour la reuerer, Des fiames d’Alexis, ne fait que ſouſpirer.	Sur tout une beauté, dont la fortune est telle, Que chacun la contemple, et n'ose approcher d eue, Que pour lui rendre hommage, et pour la révérer, Des fiâmes d'Alexis, ne fait que soupirer.
ALEXIS.	ALEXIS.
Auroit-elle perdu le ſens, & le courage?	Aurait-elle perdu le sens, et le courage?
ORONTE.	ORONTE.
Sa perte eſt mille fois pire que ton naufrage.	Sa perte est mille fois pire que ton naufrage.
mue perd le repos apres la liberté.	mue perd le repos après la liberté.
ALEXIS.	ALEXIS.
29, lelemps.	29, lèlemps.
ORONTE.	ORONTE.
Si tu veux, la vie, & la clarté.	Si tu veux, la vie, et la clarté.
Es-tu donc inſenſible à ſon amour fidelle?	Es-tu donc insensible à son amour fidèle?
N'eſt-elle point aſſez à ſoy-meſme cruelle?	N'est-elle point assez à soi-même cruelle?
D'oublier ſes parens, ſon deuoir, & ſa foy:	D'oublier ses parents, son devoir, et sa foi:
Pour ſouffrir les meſpris d’vn ingrat comme toy:	Pour souffrir les mépris d'un ingrat comme toi:
Peut eſtre le vainqueur deſdaigne ſa victoire, Et trouue ſon trophée indigne de ſa gloire.	Peut être le vainqueur dédaigne sa victoire, Et trouve son trophée indigne de sa gloire.
Ellen a point d’appas qui puiſſent t'obliger.	Ellen a point d'appas qui puissent t'obliger.
ALEXIS.	ALEXIS.
Quels deſſeins, belle Nymphe, as-tu de m'affliger?	Quels desseins, belle Nymphe, as-tu de m'affliger?
Ne ſuis-ie point aſſez troublé de ma fortune?	Ne suis-je point assez troublé de ma fortune?
Sans qu'vne vaine erreur encore m'importune?	Sans qu'une vaine erreur encore m'importune?
Eſpargne vn cœur outré de mille deſplaiſirs, Qui n'eſt pas complaiſant à ſes propres deſirs.	Épargne un cœur outré de mille déplaisirs, Qui n'est pas complaisant à ses propres désirs.
Non, non, ie ne croy pas qu'vne illuſtre Bergere S'allume indignement d’vne flame eſtrangere:	Non, non, Madame ne crois pas qu'une illustre Bergère S'allume indignement d'une flamme étrangère:
Ny qu’vn ſort malheureux ait dequoy la charmer Et ie ſuis pluſtoſt preſt de mourir, que d’aymer.	Ni qu'un sort malheureux ait dequoy la charmer Et ici suis plutôt prêt de mourir, que d'aimer.
ORONTE.	ORONTE.
O refuge excellent!	Ô refuge excellent!
ô legitime excuſe!	ô légitime excuse!
Ii m'impute la fraude, & c’eſt luy qui m'abuſe.	Ji m'impute la fraude, et c'est deux qui m'abuse.
Il eſprouue d’ailleurs mille amoureux treſpas;	Il éprouve d'ailleurs mille amoureux trépas;
Et dit qu'il ne croit point ce qu'il n'approuue pas.	Et dit qu'il ne croit point ce qu'il n'approuve pas.
ALEXIS.	ALEXIS.
Jupuonuummtjuouede ma ſcence, Et Palemon m'attend auec impatience.	Jupuonuummtjuouede ma scence, Et Palemon m'attend avec impatience.
ACTE SECOND.	ACTE SECOND.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
ORONTE.	ORONTE.
LA ſuperbe tyran des libres actions, 7 Des plaiſirs innocens, & des affections;	LA superbe tyran des libres actions, 7 Des plaisirs innocents, et des affections;
Image de l’Amour, dont mon ame ſurpriſe A prefere les fers à ſa donce franchiſe.	Image de l'Amour, dont mon âme surprise A préfère les fers à sa donce franchise.
Va ſubtil enchanteur des Nymphes de ces bois, Triomphe de mes vœux pour la derniere fois:	Va subtil enchanteur des Nymphes de ces bois, Triomphe de mes vœux pour la dernière fois:
Souſpire apres l’obiet de tes flames hautaines:	Souspire après l'objet de tes flammes hautaines:
Ie ſçauray bien domter tes rigueurs, & mes peines.	Je saurai bien dompter tes rigueurs, et mes peines.
On me l’auoit biẽ dit, qu'en feignãt nuict & iour De plaindre ſes malheurs, il plaig noit ſon amour.	On me l'avait bien dit, qu'en feignant nuit et jour De plaindre ses malheurs, il plaig noit son amour.
Mais quelle autre luy rend ma flame indifferente?	Mais quelle autrefois rend ma flamme indifférente?
Et qui me le rauit, ſi ce n'eſt Amaranthe?	Et qui me le ravit, si ce n'est Amaranthe?
Donc ſur tant de Bergers il ſera le vainqueur!	Donc sur tant de Bergers il sera le vainqueur!
Et ce qui des humains perd l’eſprit, & le cœur, ,L’infame pauurete luy conſerue la grace, Le rendingenieux, & luy donne l’audace.	Et ce qui des humains perd l'esprit, et le cœur, L'infâme pauvreté lui conserve la grâce, Le rendingénieux, et lui donne l'audace.
64 Ses yeux dans les enfers porteroient la clarté, Et la Mort ne ſçauroit effacer ſa beauté.	64 Ses yeux dans les enfers porteraient la clarté, Et la Mort ne saurait effacer sa beauté.
Il n'’ignore, ie croy, ſa terre paternelle, Que pour eſtre du Ciel, & de race immortelle.	Il n'ignore, ie crois, sa terre paternelle, Que pour être du Ciel, et de race immortelle.
Mais que mon cœur s’irrite, & ſe calme aisémẽt.	Mais que mon cœur s'irrite, et se calme aisément.
Ay-ie du ſouuenir, & du reſſentiment?	Ai-je du souvenir, et du ressentiment?
Non, c’eſt vn criminel dig ne de tout ſupplice;	Non, c'est un criminel dig ne de tout supplice;
Ou pluſtoſt vn Demonde fraude, & de malice.	Ou plutôt un Démonde fraude, et de malice.
Ie ne m’eſtonne pas ſi la Terre & les Cieux Affligent ſans repos cét ennemy des Dieux.	Je ne m'étonne pas si la Terre et les Cieux Affligent sans repos cet ennemi des Dieux.
Quand il ſortit des flots, (s’il faut que ie le die) Vn perfide element ſauua la perfidie.	Quand il sortit des flots, (s'il faut que deux le die) Un perfide élément sauva la perfidie.
C’eſt vn monſtre ſauuage, & le maſque trompeur D’vne vaine becuté, nous en oſte la peur.	C'est un monstre sauvage, et le masque trompeur D'une vaine becuté, nous en ôte la peur.
Mais deuant que la Nuict ſes tenebres eſtale, Si ma race inuincible eſt aux monſtres fatale, Il faut mal-gré l’amour ſe venger de l’orgueil, Qui met mon innocence, & ma gleire au cercueil.	Mais devant que la Nuit ses ténèbres étale, Si ma race invincible est aux monstres fatale, Il faut mal-gré l'amour se venger de l'orgueil, Qui met mon innocence, et ma gleire au cercueil.
Les graces, les beautez, n'auront point de diſpence:	Les grâces, les beautés, n'auront point de dispense:
Elles cauſent le mal, elles m’ont fait l’offenſe.	Elles causent le mal, elles m'ont fait l'offense.
Temeraire Alexis, pren congé des amours, Carbien toſt la vengeance en bornera le cours.	Teméraire Alexis, pren congé des amours, Carbien tôt la vengeance en bornera le cours.
CHOEVR	CHOEUR
H OE I	H HÔE I
Ace des Dieux & des humains, Dites moy Nymphes, & Syluains, Dites Bergers, troupe amoureuſe;	Ace des Dieux et des humains, Dites -moi Nymphes, et Sylvains, Dites Bergers, troupe amoureuse;
,De tant de loix qu'on void au iour.	,De tant de lois qu'on voit au jour.
,N’eſt-ce pas la plus rigoureuſe Qui fait vn crime del Amour?	,N'est-ce pas la plus rigoureuse Qui fait un crime del Amour?
,Vous qui dispenſeZ les beautez, ,Diuins autheurs des qualiteZ, ,Et des graces ineſtimàbles, ,Dequoy nous alleZ vous charmer?	,Vous qui dispensez les beautés, DIvins auteurs des qualités, âT des grâces inestimàbles, DEquoi nous allez vous charmer?
,Faites-vous des ſupets aymables, ,Pour deffendre de les aymer?	,Faites-vous des supets aimables, ,Pour défendre de les aimer?
Quel honneur ſi rart, e jounte ,Force les Nymphes de cacher Vne flame qui tout eſclaire, ,Pour chercher leur contentement	Quel honneur si rart, e ounte ,Force les Nymphes de cacher Vune flamme qui tout éclaire, ,Pour chercher leur contentement
Dans l’opiniondu vulgaire Pluſtoſt que dans leur ſentiment.	Dans l'opiniondu vulgaire Plutôt que dans leur sentiment.
,Les vœux qu'elles font d’obliger ,L’amour & la foy d’vn Berger Ont tant de doutes & d’obſtacles, ,Qu'en leur bouche la verité, Non plus qu’en celle des Oracles, N’eſt iamais ſans obſcurité.	,Les vœux qu'elles font d'obliger ,L'amour et la foi d'un Berger Ont tant de doutes et d'obstacles, ÊQu'en leur bouche la vérité, Non plus qu'en celle des Oracles, N'est jamais sans obscurité.
Elles redoutent leurs plaiſirs, Et contre leurs prôpres deſirs ,Elles disputent la victoire, ,Leur teint a perdu ſa couleur, ,Pluſtoſt que de perdre la gloire D’oſter la plainte à la douleur.	Elles redoutent leurs plaisirs, Et contre leurs prôpres désirs ,Elles disputent la victoire, LEur teint a perdu sa couleur, PLutôt que de perdre la gloire D'ôter la plainte à la douleur.
En fin l’Amour est le plus fort.	En fin l'Amour est le plus fort.
Nous esprouuons vn meſme ſort.	Nous éprouvons un homme sort.
Nimphes, on void ce qui vous touche.	Nymphes, on voit ce qui vous touche.
Vous aueZ beau dißimuler:	Vous avez beau dissimuler:
,Vos yeux deſmentent voſtre bouche;	,Vos yeux démentent votre bouche;
Et le feuneſe peut celer.	Et le feunée peut celer.
L’exemple nous conſole aſſez	L'exemple nous console assez
,Les Bergers des ſiecles paſſez.	,Les Bergers des siècles passez.
.	.
Aymoient comme au ſiecle où nous ſommes.	Aimaient comme au siècle où nous sommes.
Tous les conſeils n’ont point de lieu.	Tous les conseils n'ont point de lieu.
De l’Amour qui nous fait moins qu’hommes, Noſtre foibleſſe fait vn Dieu.	De l'Amour qui nous fait moins qu'hommes, Notre faiblesse fait un Dieu.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE' PREMIERE.	SCENE' PREMIÈRE.
MELITE, AMARANTHE.	MELITE, AMARANTHÉE.
VAmaranthe ſe plaiſt en ſon hu, meur oruelle!	VAmaranthe se plaît en son hu, meur oruelle!
Et que ceſte reſerue aux Nymphes naturelle D’vne ſeuere loy range ſes paßions, Et regle abſolument toures ſes actions.	Et que cette réserve aux Nymphes naturelle D'une sévère loi range ses passion, Et ré absolument toures ses actions.
Elle m'a pardonné la ruſe que i'ay faite, Bien que c'eſt la ſeruir au point qu'elle ſouhaite.	Elle m'a pardonné la ruse que j'ai faite, Bien que c'est la servir au point qu'elle souhaite.
Ie cognoy ſa penſee;	Je connais sa pensée;
& s’il faut en effet Luy demander pardondu plaiſir qu'on luy fait, Quel rigoureux empire!	et s'il faut en effet Lui demander pardondu plaisir qu'on tu fait, Quel rigoureux empire!
AMARANTHE.	AMARANTHÉE.
Al mon Dieu!	Al mon Dieu!
ie ſuis morte.	Il suis morte.
MELITE.	MELITE.
Qui te ſuit Amaranthe?	Qui te suit Amaranthe?
où fuis-tu de la ſorte?	où fuis-tu de la sorte?
Quel monſtre?	Quel montre?
ou quelamant?	ou quelamant?
AMARANT.	AMARANT.
HE.	HÉ.
Ie n'en puis plus.	Je n'en puis plus.
MELITE.	MELITE.
Dy moy;	Dis -moi;
Quel eſtrange accident?	Quel étrange accident?
quel trouble?	quel trouble?
quel effroy?	quel effroi?
De jys;	De jis;
AMARANTHE.	AMARANTHÉE.
Ah Melite!	Ah Mélite!
MELITE.	MELITE.
Oſte-moy donc de peine.	Oste-moi donc de peine.
Que tu me fais languir.	Que tu me fais languir.
AMARANTHE.	AMARANTHÉE.
Laiſſe moy prendre haleine.	Laisse -moi prendre haleine.
MELITE.	MELITE.
Non ie croy que mõ mal eſt plus grand que le ſien.	Non ie cy que mon mal est plus grand que le sien.
Vn cœur impatient n'aura iamais de bien.	Un cœur impatient n'aura jamais de bien.
Il craint tout, & ne ſçait ce qu’il doit le plus craindre;	Il craint tout, et ne sais ce qu'il doit le plus craindre;
Et plꝰ que ceux qu’il plaint, il eſt ſouuẽt à plaindre, Ton beau teint a perdu ſes roſes dans ces bois;	Et plꝰ que ceux qu'il plaint, il est souvent à plaindre, Ton beau teint a perdu ses roses dans ces bois;
Il n'a plus que les Lys.	Il n'a plus que les Lys.
AMARANTHE.	AMARANTHÉE.
Non, ie n'ay plus de voix.	Non, Seigneur n'ai plus de voix.
A force de crier, ie l’ay toute perduë.	À force de crier, Seigneur l'ai toute perdue.
Des hommes, ny des Dieux, ie n’eſtois entendue;	Des hommes, ni Se Dieux, ie n'étais entendue;
Et ceſion jaut de moy, mab te ſomu vn Derger Le plus gentil de tous m'a ſauué du danger.	Et cesion jaut de moi, mab te somu un Derger Le plus gentil de tous m'a sauvé du danger.
MELITE.	MELITE.
Ton accident est plein de nouueaittez eſtranges.	Ton accident est plein de nouueaittez étranges.
Quel Berger à la fin t’oblige à ſes loüanges?	Quel Berger à la fin t'oblige à ses louanges?
AMARANTHE.	AMARANTHÉE.
Appren-le tout par ordre, & tu ſçauras comment Eſtant auec Iſmene, & Phillis ſeulement, Qui, ſe paroient de fleurs aupres de la fontaine, Mes yeux ont de fort loin, du costé de la plaine, Deſcouuert Alexis qui venoit droit à nous.	Appren-le tout par ordre, et tu sauras comment Étant avec Ismene, et Phillis seulement, Qui, se paraient de fleurs auprès de la fontaine, Mes yeux ont de fort loin, du côté de la plaine, Descouvert Alexis qui venait droit à nous.
Ses ordinaires ſoins, ſon geſte, graue, & doux, Sa demarche, & ſon port, me l’õt fait recognoiſtre, Dés le premier inſtant que ie l’ay vei paroiſtre.	Ses ordinaires soins, son geste, grave, et doux, Sa demarche, et son port, me l'en fait reconnaître, Dès le premier instant que sans l'ai vie paraître.
Mon cœur s’eſt tout eſmeu, mon eſtrit s’eſt troublé, I’ay roug y tout à coup, i'ay pally, i'ay tremble.	Mon cœur s'est tout ému, mon étrit s'est troublé, J'ai roug y tout à coup, j'ai palli, j'ai tremble.
Lors ie me ſuis leuée, & pour n'eſtre apperceue, Comme penſant ailleurs, i'ay diuerty ma veue;	Lorsqu' ie me suis levée, et pour n'être aperçue, Comme pensant ailleurs, j'ai diverti ma vue;
Et feignant toutesfois de ne les quitter pas, I’ay tourné droit au bois mes inſenſibles pas:	Et feignant toutefois de ne les quitter pas, J'ai tourné droit au bois mes insensibles pas:
Du, ſi toſt qu'a leurs yeuxt ombre ma deſrobée, Fuyant vn mal, ie ſuis dans vnautre tombée.	Du, si tôt qu'a leurs yeuxt ombre ma dérobée, Fuyant un mal, sans suis dans vnautre tombée.
MELITE.	MELITE.
Mais à quoy penſes-tu de t'expoſer ainſi?	Mais à quoi penses-tu de t'exposer ainsi?
A MARANTHE.	À MARANTHÉE.
Tu ſçais bien ce vallon, cét endroit obſcurci, Ou les coudres esfais ſe panchent ſur la route, Où l’ombrage eſt ſi grand que preſque on n’y void goute.	Tu sais bien ce vallon, cet endroit obscurci, Ou les coudres éfais se penchent sur la route, Où l'ombrage est si grand que presque on n'y voit goute.
MELITE.	MELITE.
C’eſt vn mauuais paſſage, on s’y trouue empeſché.	C'est un mauvais passage, on s'y trouve empêché.
AMARANTHE.	AMARANTHÉE.
I à ſe tenoit vn Faune aux embuſches caché,	I à se tenait un Faune aux embûches caché,
