A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
Du moins contente toy de l’auoir eſtonnée, Et me laiſſe acheuer cette grande iournée, Tu me viens de reduire en vn eſtrange point, Ayme aſſez ton mary pour n’en triompher point, Va t’en & ne rends plus la victoire douteuſe, La diſpute deſia m’en eſt aſſez honteuſe, Souffre qu’auec honneur ie termine mes iours.	Du moins contente toi de l'avoir étonnée, Et me laisse achever cette grande journée, Tu me viens de réduire en un étrange point, Aime assez ton mari pour n'en triompher point, Va t'en et ne rends plus la victoire douteuse, La dispute déjà m'en est assez honteuse, Souffre qu'au honneurois termine mes jours.
ABINE.	ÀBINE.
Va, ceſſe de me craindre, on vient à ton ſecours.	Va, cesse de me craindre, on vient à ton secours.
SCE	SCE
TRAGEDIE.	TRAGÉDIE.
SCENE VII.	SCÈNE VII.
23 Le vieil HORACE, HORACE, CVRIACE, SABINE, CAMILLE.	23 Le vieil HORACE, HORACE, CURIACE, SABINE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
V’eſt ce cy mes enfans?	V'est ce cy mes enfants?
eſcoutez vous vos  flammes, Et perdez-vous encor le temps auec des femmes?	écoutez -vous vos flammes, Et perdez-vous encor le temps au des femmes?
preſts à verſer du ſang regardez-vous des pleurs?	prêts à verser du sang regardez-vous des pleurs?
Fuyez & laiſſez les déplorer leurs malheurs, Leurs plaintes ont pour vous trop d’art & de tendreſſe, Elles vous feroient part en fin de leur foibleſſe, Et ce n’eſt qu’en fuyant qu’on pare de tels coups.	Fuyez et laissez les déplorer leurs malheurs, Leurs plaintes ont pour vous trop d'art et de tendresse, Elles vous feraient part en fin de leur faiblesse, Et ce n'est qu'en fuyant qu'on pare de tels coups.
ABINE.	ÀBINE.
vous, N’apprehendez rien d’eux, ils ſont dignes de Malgré tous nos efforts vous en deuez attendre Ce que vous ſouhaittez & d’vn fils & d’vn gendre, Et ſi noſtre foibleſſe auoit peu les changer Nous vous laiſſons icy pour les encourager.	vous, N'appréhendez rien d'eux, ils sont dignes de Malgré tous nos efforts vous en devez attendre Ce que vous souhaitez et d'un fils et d'un gendre, Et si notre faiblesse avait pu les changer Nous vous laissons ici pour les encourager.
mes, Allons, ma ſœur, allons, ne perdons point de larContre tant de vertus ce ſont de foibles armes, Ce n’eſt qu’au deſeſpoir qu’il nous faut recourir, Tigres allés combatre, & nous allons mourir.	mes, Allons, ma sœur, allons, ne perdons point de larContre tant de vertus ce sont de faibles armes, Ce n'est qu'au désespoir qu'il nous faut recourir, Tigres allés combattre, et nous allons mourir.
SCENE VIII.	SCÈNE VIII.
Le vieil HORACE, HORACE, CVRIACE.	Le vieil HORACE, HORACE, CURIACE.
HORACE.	HORACE.
On pere retinés des femmes qui s’emportent, N Et de grace empeſchez ſur tout qu’elles ne ſortent.	On père retinez des femmes qui s'emportent, N Et de grâce empêchés sur tout qu'elles ne sortent.
Leur amour importun viendroit auec eſclat Par des cris & des pleurs troubler noſtre combat, Et ce quelles nous ſont feroit qu’auec iuſtice On nous imputeroit ce mauuais artifice, (peté L’honneur d’vn ſi beau choix ſeroit trop acheD 4 51 ori da nouoioap gumon de ſacuamomuniete,	Leur amour importun viendrait avec éclat Par des cris et des pleurs troubler notre combat, Et ce quelles nous sont ferait qu'avec justice On nous imputerait ce mauvais artifice, (pété L'honneur d'un si beau choix serait trop achD 4 51 ori da nouvoyoap gumon de sacuamomuniete,
Le vieil HORACE.	Le vieil HORACE.
I’en auray ſoin, allez, vos freres vous attendent, Ne pemez qu’aux devoirs que vos pays demandent.	J'en aurai soin, allez, vos frères vous attendent, Ne pemez qu'aux devoirs que vos pays demandent.
CVRIACE.	CURICE.
Quel Adieu vos diray-ie & par quels complimens.	Quel Adieu vos dirai-je et par quels compliments.
Le vieil HORACE.	Le vieil HORACE.
Ah!	Ah!
n’attendriſſez point icy mes ſentimens, Pour vous encourager ma voix manque de termes, (mes, Mon cœur ne forme point de penſers aſſez ferMoy-meſme en cét Adieu i’ay les larmes aux yeux, Faites voſtre devoir, & laiſſez faire aux Dieux.	n'attendrissez point ici mes sentiments, Pour vous encourager ma voix manque de termes, (mes, Mon cœur ne forme point de pensers assez ferMoi-même en cet Adieu j'ai les larmes aux yeux, Faites vôtre avoir, et laissez faire aux Dieux.
Fin du ſecond Acte.	Fin du second Acte.
AILEIT.	ÀILEIT.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SABINE.	SABINE.
Renons party mon ame, en de telles diſgraces, Soyons femme d’Horace, ou ſœur des Cutiaces, Ceſſons de partager nos inutiles ſoins, Souhaitons quelque choſe, & craignons vn peu moins.	Renons parti mon âme, en de telles disgrâces, Soyons femme d'Horace, ou sœur des Cutiaces, Cessons de partager nos inutiles soins, Souhaitons quelque chose, et craignons un peu moins.
traire?	traire?
Mais las!	Mais las!
quel party prendre en vn ſort ſi conQuel ennemy choiſir d’vn eſpous ou d’vn frere?	quel parti prendre en un sort si conQuel ennemi choisir d'un épous ou d'un frère?
La nature ou l’amour parlent pour chacun d’eux, Et la loy du deuoir m’attache à tous les d’eux.	La nature ou l'amour parlent pour chacun d'eux, Et la loi du devoir m'attache à tous les d'eux.
Sur leurs hauts ſentiments reglons pluſtoſt les noſtres, Soyons femme de l'vn enſemble & ſœur des autres, (bien, Regardons leur honneur comme vn ſouuerain Imi	Sur leurs hauts sentiments réglons plutôt les nôtres, Soyons femme de l'un ensemble et sœur des autres, (bien, Regardons leur honneur comme un souuerain Imi
I Ie ai e De a de Imitons leur conſtance, & ne craignont plus rien.	I Je ai e De a de Imitons leur constance, et ne craignont plus rien.
La mort qui les menace eſt vne mort ſi belle Qu’il en faut ſans frayeur attendre la nouuelle:	La mort qui les menace est une mort si belle Qu'il en faut sans frayeur attendre la nouvelle:
N’appellons point alors les deſtins inhumains, Songeons pour quelle cauſe, & non par quelles mains, (re Reuoyons les vainqueurs ſans penſer qu’à la gloiQue toute leur maiſon reçoit de leur victoité.	N'appelons point alors les destins inhumains, Songeons pour quelle cause, et non par quelles mains, (re Revoyons les vainqueurs sans penser qu'à la gloiQue toute leur maison reçoit de leur victaité.
Et ſans conſiderer aux deſpens de quel ſang Leut vertu les eſleue en cét i luſtre rang, 10 Faiſons nos intereſts de ceux de leur famille, En l’vne ie ſuis femme, en l’autre ie ſuis fille, Et tiens à toutes deux par de ſi forts liens Qu’on ne peut triompher que par les bras des miens.	Et sans considérer aux dépens de quel sang Leut vertu les élève en cet y lustre rang, 10 Faisons nos intérêts de ceux de leur famille, En l'une Princes suis femme, en l'autre je suis fille, Et tiens à toutes deux par de si forts liens Qu'on ne peut triompher que par les bras des miens.
Fortune, quelques maux que ta rigueur m’enuoye, I’ay trouué les moyens d’en tirer de la ioye, Et puis voir maintenant le combat ſans terreur, Les morts ſans deſeſpoir, les vainqueurs ſans horreur, Flauteuſe illuſion, erreur douce & groſſiere.	Fortune, quelques maux que ta rigueur m'envoie, J'ai trouvé les moyens d'en tirer de la joie, Et puis voir maintenant le combat sans terreur, Les morts sans désespoir, les vainqueurs sans horreur, Flauteuse illusion, erreur douce et grossière.
Vain effort de mon ame, impuiſſante lumiere, De qui le faux brillant prend droit de meſbloüir, Que tu ſçais peu durer, & toſt t’eſuanouïr!	Vain effort de mon âme, impuissante lumière, De qui le faux brillant prend droit de mesbloüir, Que tu sais peu durer, et tôt t'esuanouïr!
Pareille à ces eſclairs qui dans le fort des ombres, Pouſſent vn iour qui ſuit, & rend les nuits plus ſombres, Tu n’as frappé mes yeux d’vn moment de clarté.	Pareille à ces éclairs qui dans le fort des ombres, Poussent un jour qui suit, et rend les nuits plus sombres, Tu n'as frappé mes yeux d'un moment de clarté.
Que pour les abyſmer dãs plus d’obſcurité.	Que pour les abîmer dans plus d'obscurité.
ſche, Tu charmois trop ma peine, & le Ciel qui s’en faMe vend deſia bien cher ce moment de relaſche, Ie ſens mon triſte cœur percé de tous les coups Qui m’oſtent maintenant-vn frere, ou mon eſpous.	sche, Tu charmais trop ma peine, et le Ciel qui s'en faMe vend déjà bien cher ce moment de relâche, Je sens mon triste cœur percé de tous les coups Qui m'ôtent maintenant-un frère, ou mon épous.
poſe, Quand ie ſonge à leur mort, quoy que ie me proIe ſonge par quel bras, & non pour quelle cauſe, Et ne voy les vainqueurs en leur illuſtre rang, Que pour conſidere aux deſpens de quel ſang, La maiſon des vaincus touche ſeule mon ame, En l’vne ie ſuis fille, en l’autre ie ſuis femme, Et tiens à toutes deux par de ſi fors liens (miens.	pose, Quand der songe à leur mort, quoi que de me proIe songe par quel bras, et non pour quelle cause, Et ne vois les vainqueurs en leur illustre rang, Que pour considère aux dépens de quel sang, La maison des vaincus touche seule mon âme, En l'une je suis fille, en l'autre ie fois femme, Et tiens à toutes deux par de si fors liens (miens.
Qu’on ne peut triompher que par la mort des C’eſt là donc cette paix que i’ay tant ſouhaitée!	Qu'on ne peut triompher que par la mort des C'est là donc cette paix que j'ai tant souhaitée!
Trop favorables Dieux, vous m’auez eſcoutée!	Trop favorables Dieux, vous m'avez écoutée!
Quels foudres lancés vous quãd vous vous irritez, Si meſme vos faueurs ont tant de cruautez, Et de quelle façon pummiiez vous l’offenſe, Si vous traités ainſi les veux de l’innocence?	Quels foudres lancés vous quand vous vous irritez, Si même vos faveurs ont tant de cruautés, Et de quelle façon pummiés vous l'offense, Si vous traitez ainsi les veux de l'innocence?
SCENE II SABINE, IVLIE.	SCÈNE II SABINE, IVLIE.
SABINE.	SABINE.
E Neſt-ce fait, Iulie, & que m’apportez vous?	E Nêt-ce fait, Julie, et que m'apportez -vous?
D'Eſt ce la mort d’vn frere, ou celle d’vn eſpous?	D'Est ce la mort d'Han frère, ou celle d'un épous?
Ou ſi le triſte ſort de leurs armes impies Dt tous les combatans a fait autant d’hoſties, Et m’enuiant l’horreur que i’aurois des vainqueuls, (pleurs?	Ou si le triste sort de leurs armes impies Dt tous les combattants a fait autant d'hosties, Et m'enviant l'horreur que j'aurais des vainqueuls, (pleurs?
Pour tous tant qu’il eſtoient m’a condamnés aux	Pour tous tant qu'il étaient m'a condamnés aux
IVLIE.	IVLIE.
Quoy, ce qui s’eſt paſſé vous l’ignorez encore?	Quoi, ce qui s'est passé vous l'ignorez encore?
SABINE.	SABINE.
Vous faut-il eſtonner de ce que ie l’ignore, Et ne ſcavez vous point que de cette maiſon Pour Cainme d pour ſoy l'on fait viſe priſon?	Vous faut-il étonner de ce que ici l'ignore, Et ne savez -vous point que de cette maison Pour Cainme d pour soi l'on fait vise prison?
Iulie on nous renferme, on à peur de nos larmes, Sans cela nous ſerions au milieu de leurs armes, Et par les deſeſpoirs d’vne chaſte amitié Nous aurions des deux camps tiré quelque pitié.	Julie on nous renferme, on à peur de nos larmes, Sans cela nous serions au milieu de leurs armes, Et par les désespoirs d'une chaste amitié Nous aurions des deux camps tiré quelque pitié.
IVLIE.	IVLIE.
Il n’eſtoit pas beſoin d’vn ſi tendre ſpectacle, Leur veuë à leur combat apporte aſſez d’obſtacle, si toſt qu’ils ont paru preſts à ſe meſurer, Et l’vn & l’autre camp s’eſt mis à murmurer:	Il n'était pas besoin d'un si tendre spectacle, Leur vue à leur combat apporte assez d'obstacle, si tôt qu'ils ont paru prêts à se mesurer, Et l'un et l'autre camp s'est mis à murmurer:
Auoir de tels amis, des perſonnes ſi proches Venir pour leur patrie aux mortelles approches, L’vn s’eſmeut de pitié, l’autre eſt ſaiſi d’horreur.	Avoir de tels amis, des personnes si proches Venir pour leur patrie aux mortelles approches, L'un s'émut de pitié, l'autre est saisi d'horreur.
L’autre d’vn ſi grand zele admire la fureur, Tel porte iuſqu’aux Cieux leur vertu ſans égale, Ettel l’oſe nommer ſacrilege & brutale.	L'autre d'un si grand zèle admire la fureur, Tel porte jusqu'aux Cieux leur vertu sans égale, Étel l'ose nommer sacrilège et brutale.
Ces diuers ſentimens n’on pourtant qu’vne voix, Tous accuſent leurs chefs, tous deteſtent leur, choix, Et ne pouuant ſouffrir vn combat ſi barbare On s’eſcrie, on s’avance, en fin on les ſepare.	Ces divers sentiments n'on pourtant qu'une voix, Tous accusent leurs chefs, tous détestent leur, choix, Et ne pouvant souffrir un combat si barbare On s'écrie, on s'avance, en fin on les sépare.
SABINE.	SABINE.
xaucés!	xaucés!
IVLIE.	IVLIE.
Vous n’eſtes pas, Sabine, encor où vous penſés.	Vous n'êtes pas, Sabine, encor où vous pensez.
Vous pouuez eſperer, vous auez moins à craindre, Mais il vous reſte encor aſſez dequoy vous plainEn vain d’vn ſort ſi triſte on les veut garãtir, (dre, Ces cruels genereux n’y peuuent conſentir, La gloire de ce choix leur eſt ſi precieuſe Et charme tellement leur ame ambitieuſe, Qu’alors qu’on les deplore ils s’eſtiment heureux, Et prennent pour affront la pitié qu’on a d’eux, Le trouble des deux camps ſoüille leur renommée, Ils combatront pluſtoſt & l’vne & l’autre armée, Et mourront par les mains qui les ont ſeparés, Que quitter les honneurs qui leur ſont deferés.	Vous pouvez espérer, vous avez moins à craindre, Mais il vous reste encor assez dequoy vous plainEn on les veut garant triste on les veut garantir, (dre, Ces cruels généreux n'y peuvent consentir, La gloire de ce choix leur est si précieuse Et charme tellement leur âme ambitieuse, Qu'alors qu'on les déplore ils s'estiment heureux, Et prennent pour affront la pitié qu'on a d'eux, Le trouble des deux camps soüille leur renommée, Ils combatront plutôt et l'une et l'autre armée, Et mourront par les mains qui les mains separés, Que quitter les hommes qui leur sont deferés.
SABINE.	SABINE.
Quoy?	Quoi?
dans leur dureté ces cœurs de fers s’obſtinent?	dans leur dureté ces cœurs de fers s'obstinent?
IVLIE.	IVLIE.
Ils le font, mais d’ailleurs les deux camps ſe mutinent, (temps Et leurs cris des deux parts pouſſez en meſme Demandent la bataille ou d’autres combatans.	Ils le font, mais d'ailleurs les deux camps se mutinent, (temps Et leurs cris des deux parts poussez en même Demandent la bataille ou d'autres combattants.
La preſence des chefs à peine eſt reſpectée, Leur pouuoir eſt douteux, leur voix mal eſcoutée, Le Roy meſme s’eſtonne, & pour dernier effort, Puiſque chacun, dit-il, s’eſchauffe en ce diſcord, Conſultons des grands Dieux la Majeſté facrée Et voyons ſi ce change à leurs bontez agrée;	La présence des chefs à peine est respectée, Leur pouvoir est douteux, leur voix mal écoutée, Le Roi même s'étonne, et pour dernier effort, Puisque chacun, dit-il, s'échauffe en ce discord, Consultons des grands Dieux la Majesté sacrée Et voyons si ce change à leurs bontés agrée;
Quel impie oſera ſe prendre à leur vouloir, Lors qu’en vn ſacrifice ils nous l’auront fait voir?	Quel impie osera se prendre à leur vouloir, Lors qu'en un sacrifice ils nous l'auront fait voir?
Il ſe tait, & ces mots ſemblent eſtre des charmes, Meſme aux ſix combatans ils arrachent les armes, Et ce deſir d’honneur qui leur ferme les yeux Tout aueugle qu’il eſt reſpecte encor les Dieux;	Il se taît, et ces mots semblent être des charmes, Même aux six combattants ils arrachent les armes, Et ce désir d'honneur qui leur ferme les yeux Tout aveugle qu'il est respecte encor les Dieux;
