SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
Quand la belle Artemis ſe laſſant des boccages Pour les villes changea la douceur des villages, Les Bergers d’alentour, & les Nymphes du lieu Triſtes par ſon depart luy vindrent dire Adieu:	Quand la belle Artemis se lassant des bocages Pour les villes changea la douceur des villages, Les Bergers d'alentour, et les Nymphes du lieu Tristes par son départ lui vinrent dire Adieu:
I’en receus du regret comme eſtant ſa parente, Pour toy Cythere alors tu fus long teuips abſente.	J'en reçus du regret comme étant sa parente, Pour toi Cythère alors tu fus long teus absente.
Cette ieune Artemis nous baiſant mille fois, Quand elle eut pris congé des rochers & des bois, Graua ſur ſa houlette en forme de couronne, Au plus digne d’Amour, Artemis m'abandonne;	Cette jeune Artemis nous baisant mille fois, Quand elle eut pris congé des rochers et des bois, Grava sur sa houlette en forme de couronne, Au plus digne d'Amour, Artemis m'abandonne;
15	15
Apres l’enfonce en terre, & s’eſloignant de là Sans nous dire plus mot Artemis s'en alla.	Après l'enfonce en terre, et s'éloignant de là Sans nous dire plus mot Artemis s'en alla.
Quãd ces mots furẽt leus, que les plus ſçauãs leurẽt, D’vn ſilence profond tous les Bergers ſe teurent, Sinon le grand Terpandre inſpiré des douceurs Dont Apollon l’enflame, & les neuf doctes Sœurs.	Quand ces mots furent lus, que les plus savants leurment, D'un silence profond tous les Bergers se teurent, Sinon le grand Terpandre inspiré des douceurs Dont Apollon l'enflamme, et les neuf doctes Sœurs.
Fuſſe-je, dit Terpandre, à la trouppe attentiue En l’eſtat glorieux où i'eus l’ame captiue lal Des regards de Daphné qui par mes doux accens Prit ce mal dont ſes yeux m’auoiẽt charmé les ſens, Si toſt qu'en mes chanſons aux écots de la Seine, Comme vn Cygne mourant i'eus fait plaindre ma peine.	Fusse-je, dit Terpandre, à la troupe attentive En l'état glorieux où j'eus l'âme captive la Des regards de Daphné qui par mes doux accents Prit ce mal dont ses yeux m'avaient charmé les sens, Si tôt qu'en mes chansons aux écots de la Seine, Comme un Cygne mourant j'eus fait plaindre ma peine.
Heureux Terpãdre, heureux ce bõ-heur i’arriuãt, pus, Mais helas!	Heureux Terpendre, heureux ce bo-heur j'arrivant, pût, Aux hélas!
tu n'es plus que l’ombre d’vn viuant.	tu n'es plus que l'ombre d'un vivant.
C’eſt à vos ans nouueaux, agreable ieuneſſe, Aden Que d’vn ſi rare honneur la diſpute s’adreſſe.	C'est à vos ans nouveaux, agréable jeunesse, Aden Que d'un si rare honneur la dispute s'adresse.
Quand les beautez du Ciel diſputerent ce fruit, abſe Dont Venus tire encore vn ſi glorieux bruit, fous, es Pâris Berger du Xanthe eut l’adreſſe & l’audace D’appaiſer leur deſordre en iugeant de leur grace:	Quand les beautés du Ciel disputèrent ce fruit, abse Dont Venus tire encore un si glorieux bruit, fous, es Pâris Berger du Xanthe eut l'adresse et l'audace D'appaiser leur désordre en jugeant de leur grâce:
L’homme voit pour l’amour ce que la femme vaut, Mais de l’homme la femme en iuge comme il faut.	L'homme voit pour l'amour ce que la femme vaut, Mais de l'homme la femme en juge comme il faut.
C’eſt donc mon ſentiment qu’vne Bergere ordonne Du preſent d’Artemis, ſans complaire à perſonne Ainſi parla Terpãdre, & tous d’vn meſme accord, Sans prendre nulle excuſe ils m’eſleurent d’abord;	C'est donc mon sentiment qu'une Bergère ordonne Du présent d'Artemis, sans complaire à personne Ainsi la Terpendre, et tous d'un même accord, Sans prendre nulle excuse ils m'éleurent d'abord;
Et chacun pour l’honneur d’eſtre le plus aimable Voulut paroiſtre alors en eſtat fauorable, S’embelliſſant de fleurs, & ſe mirant dans l' au, Car là d’vn mont voiſin s’eſpãche vn clair ruiſſeau.	Et chacun pour l'honneur d'être le plus aimable Voulut paraître alors en état favorable, S'embellissant de fleurs, et se mirant dans l' Honneur, Car là d'un mont voisin s'espèche un clair ruisseau.
Quand i’eus veu ces Bergers d’vne ſi rare gloire, Thyrſis & Lucylis ſuspendoient la victoire, Mais Melindor dans l’onde encore ſe mirant Me careſſa des yeux & d’vn cœur ſouspirant;	Quand j'eus vu ces Bergers d'une si rare gloire, Thyrs et Lucilis suspendaient la victoire, Mais Melindor dans l'onde encore se mirant Me caressa des yeux et d'un cœur soupirant;
Puis me vint diſcourir d’vne paßion feinte, Qui me donna dans l’ame vne ſenſible atteinte.	Puis me vint discourir d'une passion feinte, Qui me donna dans l'âme une sensible atteinte.
Aveut eone et prejent que le garde pour lliy, Et que pour te mõſtrer ie veux prẽdre auiourd’huy.	Avut éone et préjent que le garde pour li, Et que pour te mõstrer ie veux prendre aujourd'hui.
Deſlors ſa paßion toucha ma fantaiſie, Paßion feinte alors, mais depuis freneſie.	Deslors sa passion toucha ma fantaisie, Passion feinte alors, mais depuis frénésie.
CYTHERE.	CYTHÉRE.
Ton diſcours eſt pareil aux murmurans Zephirs Lors qu'vn fueillage trebte a teurs ple uoux fouſpirs, Et me ſemble außi doux que le bruit d’vne ſourſe, Qui d’vn mont reſonnãt s'en va rompant ſa courſe.	Ton discours est pareil aux murmurants Zéphirs Lors qu'un fueillage trebte a teurs ple uoux fouspirs, Et me semble aussi doux que le bruit d'une sourse, Qui d'un mont résonnant s'en va rompant sa course.
Aſſemvions nos trouppeaux.	Assemvions nos troupeaux.
CYDIPPE.	CYDIPE.
I’approuue ton conſeil, dn En quelque vallon ſombre à couuert du Soleil.	J'approuve ton conseil, dîn En quelque vallon sombre à couvert du Soleil.
CENEII.	CENEII.
LVT PALEMON ſeul.	LUT PALÉMON seul.
Es yeux ne cherchez plus ces diuines merueilles, Ces glorieux attraits, ces graces nompareilles:	Es yeux ne cherchez plus ces divines merveilles, Ces glorieux attraits, ces grâces nompareilles:
Ne vous ſouuïent-il plus de vos ennuis paſſez?	Ne vous souvent-il plus de vos ennuis passez?
Voulez-vous rembrazer mes deſirs effacez?	Voulez-vous rembraser mes désirs effacés?
Eux qui m’ont tourmenté d’vne ſi longue geſne, Qu'helas!	Eux qui m'ont tourmenté d'une si longue gêne, Qu'hélas!
il eſt bien temps que ie rompe mà cheſne, Moy dont l’ame ſenſible aux appas de l’amour Aima preſqu'außi toſt que i'apperceus le iour, Iamais ie ne trouuay mon humeur offenſée Du plus faſcheux tourment qui tombe en la penſée.	il est bien tôt que je rompe mà chaîne, Moi dont l'âme sensible aux appas de l'amour Aima presqu'avez tôt que j'aperçus le jour, Jamais ie ne trouvai mon humeur offensée Du plus fâcheux tourment qui tombe en la pensée.
Mais quoy?	Mais quoi?
pour vne glace auoir de l’amitié;	pour une glace avoir de l'amitié;
Mourir à ſes regards ſans luy faire pitié;	Mourir à ses regards sans lui faire pitié;
Soit que ſon naturel touſiours la rende ingratte,	Soit que son naturel toujours la rende ingrate,
Ou qu’vn plus doux object l’entretienne & la flatte, Maintenant ma raiſon n’y pouuant conſentir D’vne ſi folle erreur me donne vn repentir.	Ou qu'un plus doux objet l'entretienne et la flatte, Maintenant ma raison n'y pouvant consentir D'une si folle erreur me donne un repentir.
Et quand meſme aujourd’huy nous reuerriõs encore Ces merueilles des Cieux que l’Vniuers adore, Se parer à l’enuy des plus diuins threſors, Ou deſcouurir à nud les beautez de leurs corps, Comme leur vanité parut aux yeux d’vn homme, qui contenta Venus de la fameuſe pomme, Ne pouuant aſpirer à gaigner leur grandeur En meſpriſant l’eſclat i'en eſteindrois l’ardeur.	Et quand même aujourd'hui nous réversion encore Ces merveilles des Cieux que l'Univers adore, Se parer à l'envi des plus divins trésors, Ou découvrir à nu les beauté de leurs corps, Comme leur vanité parut aux yeux d'un homme, qui contenta Venus de la fameuse pomme, Ne pouvant aspirer à gagner leur grandeur En méprisant l'éclat j'en éteindrais l'ardeur.
I’ay veu ſous deux Printemps les campagnes fleuries, Depuis que ie m'enuins parmy ces Bergeries Pour vn ſi rare object que iamais le Soleil Tournant tout l’Vniuers n’en connut vn pareil, Ny du Scyte glacé iuſqu’aux riues du More, Ny des bords du Couchant iuſqu’où leue l’Aurore.	J'ai vu sous deux Printemps les campagnes fleuries, Depuis que ie j'envins parmi ces Bergeries Pour un si rare object que jamais le Soleil Tournant tout l'Univers n'en connut un pareil, Ny du Scyte glacé jusqu'aux rives du More, Ny des bords du Couchant jusqu'où lève l'Aurore.
D’abord que i’apperceus ſa douce Majeſté, Sa grace nompareille égale à ſa beauté;	D'abord que j'aperçus sa douce Majesté, Sa grâce nompareille égale à sa beauté;
L’Amour comblant ſes yeux d’vn Empire ſeuere, Außi puiſſant qu’il eſt quand il pare ſa mere,	L'Amour comblant ses yeux d'un Empire sévère, Aussi puissant qu'il est quand il pare sa mère,
Et tous les cœurs rauis du charme de ſa vois Plus doux que Philomele au ſilence des bois, qui meſurant ſa plainte aux amoureuſes peines Arreſte les Zephirs, & le cours des fontaines;	Et tous les cœurs ravis du charme de sa vois Us doux que Philomèle au silence des bois, qui mesurant sa plainte aux amoureuses peines Arrête les Zéphirs, et le cours des fontaines;
Lors mon ame ſuiuant mes regards ébloüis Voulut abandonner mes ſens éuanoüis:	Lors mon âme suivant mes regards éblouis Voulut abandonner mes sens évanouis:
Mais alors dans l’ardeur dont i'eus l’ame ſurpriſe Du ieune Melindor ie vis la belle eſpriſe.	Mais alors dans l'ardeur dont j'eus l'âme surprise Du jeune Melindorablé vis la belle éprise.
Au nom de ce Berger vn ſecret mouuement Cauſoit en ſon viſage vn ſubit changement, Et dans ſes diuins yeux la clarté pure & belle Augmentoit deuant luy ſa douceur naturelle.	Au nom de ce Berger un secret mouvement Causait en son visage un subit changement, Et dans ses divins yeux la clarté pure et belle Augment devant quelque douceur naturelle.
Mais plus apparemment ie connus mon malheur Vn ſoir que le Soleil n’auoit plus de chaleur, que l’ombre s’eſtendoit dans le fond des vallees, Les Nymphes de ces bois erroient dans les allees qun' vn iardin, qui d’ombrage & de ſombres deſtours ré Me ſembloit bien commode à me donner fecours:	Mais plus apparemment nous connus mon malheur Un soir que le Soleil n'avait plus de chaleur, que l'ombre s'étendait dans le fond des vallées, Les Nymphes de ces bois erraient dans les allées qu' un jardin, qui d'ombrage et de sombres détours ré Me semblait bien commode à me donner secours:
du Car trouuant à propos l’heure tant deſiree I’apperceus la Bergere à l’eſcart retiree, Où d’abord l’adorant ie commence à loüer Les charmes dont les Dieux la voulurent doüer, D’vn diſcours tout confus luy figurant ſa grace,	du Car trouvant à propos l'heure tant désirée J'aperçus la Bergère à l'écart retirée, Où d'abord l'adorant avoir commence à louver Les charmes dont les Dieux la voulurent douer, D'un discours tout confus nous figurant sa grâce,
Comme l’euſt peu deſpeindre vn ruiſſeau dans ſa glace, qu’vn grand orage émeut en la froide ſaiſon, Car l’exceßsif amour ébranloit ma raiſon.	Comme l'eût pu dépeindre un ruisseau dans sa glace, qu'un grand orage émut en la froide saison, Car l'excesssif amour ébranlait ma raison.
I’ouuris donc le paſſage à ma flame cachee;	J'ouvris donc le passage à ma flamme cachée;
Mais quoy?	Mais quoi?
ſans me reſpõdre elle en parut faſchee.	sans me respendre elle en parut fâchée.
Alors ie dis encore accompagnant ſes pas:	Alors ici dis encore accompagnant ses pas:
quoy me deffendez-vous d’exprimer vos appas?	quoi me défendez-vous d'exprimer vos appas?
I’ay bien de vous desplaire vne éternelle crainte, Mais pardonnez, Cydippe, vne faute contrainte.	J'ai bien de vous déplaire une éternelle crainte, Mais pardonnez, Cydipe, une faute contrainte.
Voyez que la Nature en tous lieux vous dépeint, La blancheur de ces lys figure voſtre teint, Le Ciel maintenant calme & ſans aucun nuage Vous montre la douceur de voſtre beau viſage;	Voyez que la Nature en tous lieux vous dépeint, La blancheur de ces lys figure votre teint, Le Ciel maintenant calme et sans aucun nuage Vous montre la douceur de votre beau visage;
Tout ce iardin paré d’vn émail fleuriſſant Figure voſtre eſclat ſi doux & ſi puiſſant;	Tout ce jardin paré d'âme émail fleurissant Figure votre éclat si doux et si puissant;
Le Zephir parfumé parmy ces douces roſes Figure voſtre haleine en vos levres deſcloſes;	Le Zéphir parfumé parmi ces douces roses Figure votre haleine en vos lèvres descloses;
Cette belle fontaine en ſon paiſible cours Vous dépeint d’vn doux bruit l’accent de vos diſcours, Et meſme ſon ruiſſeau plein d’vne claire ſourſe, Pour vous repreſenter ſemble alentir ſa courſe.	Cette belle fontaine en son paisible cours Vous dépeint d'un doux bruit l'accent de vos discours, Et même son ruisseau plein d'une claire sourse, Pour vous représenter semble alentir sa course.
Que ſi la meſme glace aime tant vos portraits, Que doit faire mon cœur bruſlé de vos attraits?	Que si la même glace aime tant vos portraits, Que doit faire mon cœur brûlé de vos attraits?
Si bruſle que ces bois verront ma ſepulture, Si vous ne conſentez à guerir ma bleſſure.	Si brûle que ces bois verront ma sépulture, Si vous ne consentez à guérir ma blessure.
Lors s’eſloignant de moy, ſon viſage ſi doux Receut du changement de honte ou de courroux, Et ſe couurant vn peu d’vne couleur vermeille Parut tel que l'Aurore au poinct qu’elle s’eſueille:	Lors s'éloignant de moi, son visage si doux Receut du changement de honte ou de courroux, Et se couvrant un peu d'une couleur vermeille Parut tel que l'Aurore au point qu'elle s'éveille:
Si bien qu'en mon deſſein ie profite ſi mal, Que ſi d’Endymion ie deuenois riual, I’aurois pluſtoſt vaincu les froideurs de la Lune Qu'obtenu de Cydippe vne faueur commune.	Si bien qu'en mon dessein ie profite si mal, Que si d'Endymion apprendre devenais rival, J'aurais plutôt vaincu les froideurs de la Lune Qu'obtenu de Cydipe une faveur commune.
Las n'eſpere donc plus t’en voir recompenſer!	Las n'espère donc plus t'en voir récompenser!
Palemon deſormais il n'y faut plus penſer:	Palemon désormais il n'y faut plus penser:
Témoigne du meſpris à ta farouche Amante;	Témoigne du mépris à ta farouche Amante;
Quitte ces lieux charmez, dõt la douceur t’enchãte;	Quitte ces lieux charmés, dont la douceur t'enchamte;
Et ſonge à tes troupeaux qu'on rencõtre à tous coups Errans dans les foreſts à la mercy des loups.	Et songe à tes troupeaux qu'on rencaître à tous coups Erants dans les forêts à la merci des loups.
Combien ta douce ardeur ſera mieme occupée A cherir Corylis, Dryope, ou Panopee, Merueilleuſes beautez, qui d’amoureux regrets Ourant ta longue abſence ont comblé nos foreſts.	Combien ta douce ardeur sera mieme occupée A chérir Corylis, Dryope, ou Panope, Merveilleuses beautés, qui d'amoureux regrets Ouvant ta longue absence ont comblé nos forêts.
n'eſt pas ſans regret, il faut que ie l’auouë.	n'est pas sans regret, il faut que tu l'avoue.
qu’en ſeruant ſa beauté ma chaiſne ſe deſnouë:	qu'en servant sa beauté ma chaîne se dénoue:
Combien que i’en attende vn malheureux ſuccés Ma raiſon veut en vain m'en deffendre l’accés.	Combien que j'en attende un malheureux succès Ma raison veut en vain m'en défendre l'accès.
