A MADEMOISELLE	À MADEMOISELLE
que ton rare eſprit me tend vn grand ſeruice, Que ne te dois je point pour vn ſi bon office, Tu ſçais me redonner la vie & le repos.	que ton rare esprit me tend un grand service, Que ne te dois je point pour un si bon office, Tu sais me redonner la vie et le repos.
ISMENE.	ISMENE.
Voyez ce que pour vous ie luy mãde en deux mots, Ils ſont aſſez preſſans, & ce diſcours l’engage A venir ſur les lieux en ſçauoir dauantage.	Voyez ce que pour vous ie cy mande en deux mots, Ils sont assez pressants, et ce discours l'engage A venir sur les lieux en savoir davantage.
PARTHENIE.	PARTHENIE.
Il eſt fort bien:	Il est fort bien:
il reſte à luy faire tenit,	il reste à Seigneur faire tenit,
ISMENE.	ISMENE.
Laiſſez m'en le ſoucy;	Laissez m'en le souci;
mais ie le voy venir.	mais était le vois venir.
SCENE	SCÈNE
SCENE V PHILINTE.	SCÈNE V PHILINTE.
CLIDAMANT.	CLIDAMANT.
PARTHENIE	PARTHENIE
PHILINTE, à clidamant.	PHILINTE, à clidamant.
15 Diane enc iaiœur, ce le vens de l’apprenO dte.	15 Diane enc jaiœur, ce le vends de l'apprenO dte.
CLIDAMANT, à Parthenie.	CLIDAMANT, à Parthénie.
Madame, nous cherchons l’vn &l’autre, TherſandreAfin que de ſon heur uous ſoyons les teſmoins.	Madame, nous cherchons l'autre etl'autre, ThersandreAfin que de son heur -vous soyons les témoins.
ISMENE, bas à Clidamant.	ISMENE, bas à Clidamant.
Therſandre eſt bien heureux, mais tu ne les pai moins, Et parce qu'en ta main la mienne oſe remettre;	Thersandre est bien heureux, mais tu ne les pai moins, Et parce qu'en ta main la mienne ose remettre;
Voy que de ton bon-heur tu peux tout te promettre Sans ce jaloux.	Vois que de ton bonheur tu peux tout te promettre Sans ce jaloux.
PARTHENIE, à Iſmene.	PARTHENIE, à Ismene.
Mſom la Isympne nous attend.	Msom la Isympne nous attend.
ISMENE, bas à Clidamant.	ISMENE, bas à Clidamant.
Ne pouuant te parler, lis tu ſeras content.	Ne pouvant te parler, lis tu seras content.
CLIDAMANT.	CLIDAMANT.
Lis, tu ſeras content, qu’eſt-ce qu’elle veut dire?	Lis, tu seras content, qu'est-ce qu'elle veut dire?
PHILINTE.	PHILINTE.
Prens ſeulement la peine, & d’ouurir, & de lirez	Prends seulement la peine, et d'ouvrir, et de lirez
CLIDAMANT.	CLIDAMANT.
Ie croy que i’en puis bien faire teſmoins tes yeux, Ce n’eſt rien de ſecret, ny tien de ſerieux, Iſmene ayme à railler, & veut qu’on parle d’elle, ce dele de tulajon quorr paece uouuelle.	Je crois que j'en puis bien faire témoins tes yeux, Ce n'est rien de secret, ni tien de sérieux, Ismene aime à railler, et veut qu'on parle d'elle, ce déle de tulajon quorr paèce ouvelle.
PHILINTE.	PHILINTE.
Que l’ay a'mpatience, ouure uonc promptement.	Que l'ai a'mpatience, ouvre onc promptement.
LL-A CLIDAMANT.	LL-A CLIDAMANT.
Il faut voir, c’eſt autant de diuertiſſement, Detcouutons a pour moy quoique bon-heur s’explique.	Il faut voir, c'est autant de divertissement, Detcouutons à pour moi quoique bonheur s'explique.
Il lit.	Il lit.
Liſte de mes amans par ordre alphabetique.	Liste de mes amants par ordre alphabétique.
Qe C’eſt fort bien debuter, mais dans ce que ie ve y Ie ne remarque encor, ny Philinte ny moy.	Que C'est fort bien débuter, mais dans ce que Elle que y Je ne remarque encor, ni Ncilinte ni ici.
v.	v.
i 42  PHILINTE.	y 42 PHILINTE.
Ti rononce pour moy, tourne la fueille, auance.	Ti ronce pour moi, tourne la fueille, avance.
CLIDAMANT, lit.	CLIDAMANT, lit.
Stances de Dorilas ſur la meſme inconſtance.	Stances de Dorilas sur la même inconstance.
92 ace jouveye aynaulo duijals Part ue charmel, Et le te veux aymer;	92 ace jouveye ainaulo duijals Part ue charmel, Et le te veux aimer;
Ie trouueray tout bon, iuſqu’à ton inconſtance, Et n’imiteray point de peur de ton courroux Philiure le jaloux Que toute choſe offenſe.	Je trouverai tout bon, jusqu'à ton inconstance, Et n'imiterai point de peur de ton courroux Philivre le jaloux Que toute chose offense.
Enimto jaion uis tu?	Enimto jaion uis tu?
PHILINTE.	PHILINTE.
Ie voy par quel deſſein Iſmene t’a remis ces tablettes en main, Ie l’appellois tantoſt cocquette, elle en enrage, Et croit bien tepouſſer l’outrage par l’outrage.	Je vois par quel dessein Ismene t'a remis ces tablettes en main, Je l'appelais tantôt coquette, elle en rage, Et croit bien tepousser l'outrage par l'outrage.
CLIDAMANT, continuë de lire.	CLIDAMANT, continue de lire.
Sonnet de Syluio ſon plus fidele amant, Madrigal de Thyrſis:	Sonnet de Sylvio son plus fidèle amant, Madrigal de Thyrs:
ta berge.	ta berge.
biidamant.	biidamant.
En.	En.
Phiimte, ay moy, n’ay-je point la berluë, Voy ſi comme mes yeux ce nom frape ta veuë.	Phiimte, ai -moi, n'ai-je point la berlue, Vois si comme mes yeux ce nom frappe ta vue.
PHILINTE, regartmn uums tos tublettes.	PHILINTE, regartmn uums tos tublettes.
Il n'eſt rien plus certain, cela t’eſt adreſſé, Et tu te vois heureux, plus que tu n’as penſé,	Il n'est rien plus certain, cela t'est adressé, Et tu te vois heureux, plus que tu n'as pensé,
CLIDAMANT, lit.	CLIDAMANT, lit.
ineceno da lasum ee loi ee dais Pomorege, Ie veux t’entretenir;	inécéno da lasum ce loi ce dais Pomorege, Je veux t'entretenir;
On t’ayme, ſi tu veux en ſçauoir dauantage Ne manque d’y venir.	On t'aime, si tu veux en savoir davantage Ne manque d'y venir.
ISMENE.	ISMENE.
PHILINTE, voulant prendre ler tablettes.	PHILINTE, voulant prendre ler tablettes.
Que ie voye, accorde moy ce bien, Quiy, tu ne le veux pas :	Que quelque voie, accorde moi ce bien, Quii, tu ne le veux pas :
ne me déguiſe rien, Il eſt eſcrit Diane, & tu me lis Iſmene.	ne me déguise rien, Il est écrit Diane, et tu me lis Ismene.
CLIDAMANT.	CLIDAMANT.
Hà jaloux!	Hà jaloux!
iuſqu’à quand veux tu faire ta peine.	jusqu'à quand veux tu faire ta peine.
Monſtre moy.	Montre -moi.
PHILINTE.	PHILINTE.
CLIDAMANT.	CLIDAMANT.
Pour guerir ton eſprit agité.	Pour guérir ton esprit agité.
Ie veux vaincre d’abord ta curioſité, Et puis l’amant diſcret, quelqu’ardeur qui te preſſe Ne monſtre pas ainſi le nom de ſa maiſtreſſe.	Je veux vaincre d'abord ta curiosité, Et puis l'amant discret, quelqu'ardeur qui te presse Ne montre pas ainsi le nom de sa maîtresse.
Mais.	Mais.
PHILINTE.	PHILINTE.
CLIDAMANT.	CLIDAMANT.
Quitte tes ſoubçons, ſi toſt qu’il ſera nuit, Ie me rends à l’écho ſans teſmoius, & ſans bruit, Ie bruſle de ſçauoir ce qu’on me veut apprendre, Cependant chez la Nymphe allons chercher Ther.	Quitte tes soubçons, si tôt qu'il sera nuit, Je me rends à l'écho sans témoius, et sans bruit, Je brûle de savoir ce qu'on me veut apprendre, Cependant chez la Nymphe allons chercher Ther.
ſandre.	sandre.
PHILINTE, bas.	PHILINTE, bas.
Pour te croire, & pour mieux en informer ma foy, Ie veux au rendez-vous aller auecque toy.	Pour te croire, et pour mieux en informer ma foi, Je veux au rendez-vous aller auecque toi.
ACTE III.	ACTE III.
SCENE I.	SCÈNE I.
FELICIE.	FELICIE.
DIANE.	DIANE.
FELICIE.	FELICIE.
TE te le dis encor, i’ay grand plaiſir d’apprendre Que Diane eſt la ſœur du genereux Therſandre, Il vient de m’informet de l’eſtrange mal heur, Qui ſe para ſur mer le frete de la ſœur, En quels lieux, ſur vn aix, eſchappé du naufrage, De la mer en couroux le vint pouſſer l’orage, quels pays il a veus, ſes peines, ſon ſoucy, Et du bon-heur enfin qui la conduit icy;	TE te le dis encor, j'ai grand plaisir d'apprendre Que Diane est la sœur du généreux Thersandre, Il vient de m'informet de l'étrange mal heur, Qui se para sur mer le frète de la sœur, En quels lieux, sur un aix, échappé du naufrage, De la mer en courroux le vint pousser l'orage, quels pays il a vus, ses peines, son sou, Et du bonheur enfin qui la conduit ici;
I'en rends graces au Ciel qui te la fait connoiſtre, Dans mon cour comme au tien, la joye en vient de naiſtre;	J'en rends grâces au Ciel qui te la fait connaître, Dans mon cour comme au tien, la joie en vient de naître;
Il a des qualitez dignes du nom de Roy, Vous trouuerez tous deux vn azile chez moy, Et l'vn & l'autre icy vous n’aurez de fortune, Qui ne touche mon cœur, & ne me ſoit commune, Ie croy que de la pare Dlane en vie aiiii;	Il a des qualités dignes du nom de Roi, Vous trouverez tous deux un asile chez moi, Et l'un et l'autre ici vous n'aurez de fortune, Qui ne touche mon cœur, et ne me soit commune, Je crois que de la pare Dlane en vie aii;
Et que ce qui me touche enfin la touche auſſi.	Et que ce qui me touche enfin la touche aussi.
DIANE.	DIANE.
Il me ſouuient touſiours qu'eſtant ſur le riuage, Vn reſte mal heureux des flots & de l’orage, De moment ea moment n’attendant que la mort, Ie fencontre chez vous inon azile & mon port;	Il me souvient toujours qu'étant sur le rivage, Un reste mal heureux des flots et de l'orage, De moment ea moment n'attendant que la mort, Je fencontre chez vous inon azile et mon port;
Pour toutes ces bontez que n’ay ie la puiſſance De vous monſtre comuoien l'ay de reconnoiſſance.	Pour toutes ces bontés que n'a ie la puissance De vous montre comvoyen l'ai de reconnaissance.
Le se Fesne FELICIE.	Le se Fêne FELICIE.
DIANE.	DIANE.
Et comment.	Et comment.
FELICIE.	FELICIE.
N’attendant que la mort, Tu peux eſtre à ton tour mon azile & mon port, Tu peux vaincre à ton tour l'ennemy qui me braue, Qui d’vne fouucrame en veut lane vne eicraue, Il eſt en ton pouuoir, tu le peux mettre à bas.	N'attendant que la mort, Tu peux-mêmes à ton tour mon asile et mon port, Tu peux vaincre à ton tour l'ennemi qui me brave, Qui d'une fouucrame en veut lane une eicrave, Il est en ton pouvoir, tu le peux mettre à bas.
DIANE.	DIANE.
Quel eſt cét ennemy qui trouble vos Eſtats.	Quel est cet ennemi qui trouble vos États.
FELICIE.	FELICIE.
Vn qui des plus vaillans peut enchanter les armes, Qui des plus genereux peut arrachet des latmes, D.	Un qui des plus vaillants peut enchanter les armes, Qui des plus généreux peut arrachet des latine, D.
iij Qui ne voit rien de fort dont il ne vienne à bout, Et ians tien tespecer porte le leu pur tout.	ij Qui ne voit rien de fort dont il ne vienne à bout, Et jans tien tespecer porte le leu pur tout.
DIANE.	DIANE.
Ie ne le connois point encor pat ces marques.	Je ne le connais point encor pat ces marques.
FELICIE.	FELICIE.
Quoy?	Quoi?
tu ne connois point ce Tyran de:	tu ne connais point ce Tyran de:
Monarques?	Monarques?
Des pius grairasconquerans ce Ameux triomphant, Et qui n’eſt toutesfois qu’vn aueugle, vn enfant.	Des pius grairasconquerans ce Ameux triomphant, Et qui n'est toutefois qu'un aveugle, un enfant.
DIANE.	DIANE.
Si i’oſois m’expliquer, ie penſe le connoiſtre,	Si j'osais m'exprimer, on pense le connaître,
Ne crains rien.	Ne crains rien.
FELICIE.	FELICIE.
DIANE.	DIANE.
Cét enfant, cét aueugle, ce maiſtre, Il me ſemble auoir veu l’amour dé peint ainſi.	Cet enfant, cet aveugle, ce maître, Il me semble avoir vu l'amour de peint ainsi.
FELICIE.	FELICIE.
Et cent ce meme amour done le te puris auſſi,	Et cent ce même amour done le te puris aussi,
DIANE.	DIANE.
Quel eſt l’heureux amant qui fait voſtre martyre.	Quel est l'heureux amant qui fait votre martyre.
FELICIE.	FELICIE.
O nuict couure bien-toſt pour plaire à mon ardeur!	Ô nuit couvre bientôt pour plaire à mon ardeur!
Et ces lieux, & mon ſtont d’vne meſme couleut;	Et ces lieux, et mon stont d'une même couleut;
I’ayme, mais acheüons puiſque i’ay dit que i’ayme, Therſandre eſt mon obiect.	J'aime, mais acheuyons puisque j'ai dit que j'aime, Thersandre est mon objet.
D.	D.
IANE.	IANE.
Quoy mon frere?	Quoi mon frère?
FELICIE.	FELICIE.
Luy-meſme.	Lui-même.
si ſon cœur eſt vn prix difficile à gagner, Il n’eſt rien que pour luy ie vouluſſe épargner, l'armerois pour l’auoir, tout me ſeroit poſſible;	si son cœur est un prix difficile à gagner, Il n'est rien que pour notre femme voulusse épargner, l'armerais pour l'avoir, tout me serait possible;
Et nul obſtacle enfin ne ſeroit inuincible, Deſia par quelques mots qu’il n’a pas remarqué, Mon amour en paſſant s’en eſtoit expliaue.	Et nul obstacle enfin ne serait invincible, Désia par quelques mots qu'il n'a pas remarqué, Mon amour en passant s'en était expliave.
DIANE.	DIANE.
Goime a ce peuuu nomeue, iru otetor pretendre, Il ſeroit criminel, s’il croyoit vous entendre.	Goime à ce peuv nomève, iru otetor prétendre, Il serait criminel, s'il croyait vous entendre.
FELICIE.	FELICIE.
Et bien ſois donc icy la bouche de mon cœurs.	Et bien sois donc ici la bouche de mon cœurs.
De mon ame timide explique la chaleut, Dy luy que ſous ſes loix mon ame eſt aſſeruie, Qu’il peut ſe preſumer digne de Felicie, C ue ſon ambition peut allet iuſqu’à moy, Et qu’il peut ſoûpirer meſmes ſoûpirs qu’vn Roy;	De mon âme timide explique la chaleut, Disiblé que sous ses lois mon âme est asservie, Qu'il peut se présumer digne de Félicie, Ç ue son ambition peut allet jusqu'à moi, Et qu'il peut soupirer mêmes soupirs qu'un Roi;
Meſnage moy ce cœur, à qui le mien aſpire, Mais qu’il ne penſe pas que ie le face dire, A lepenſer ainſt mon honneur court hazard, Muuse say leulallleils les saclada dfae,	Mesnage moi ce cœur, à qui le mien aspire, Mais qu'il ne pense pas que Un le face dire, A lepenser ainst mon honneur court hasard, Muuse sa leulallleils les saclada dfae,
DIANE, Il ſe doit icy rendre, & ie veux l'en inſtruire.	DIANE, Il se doit ici rendre, et tu veux l'en instruire.
AEnIe IB.	ANIe IB.
Si toſt qu’il paroiſtra d’abord ie me retire, Et d’vn de ces endroits vous entendray tous deux.	Si tôt qu'il paraîtra d'abord ie me retire, Et d'un de ces endroits vous entendrai tous deux.
Mot à mot, & reſpondre, & par ler de mes feux.	Mot à mot, et répondre, et par ler de mes feux.
DIANE.	DIANE.
l'agirois ce me ſemble auec plus d’aſſeurance, Si ſeule auecques luy i’eſtois en confidence.	l'agirais ce me semble avec plus d'assurance, Si seule avec tu j'étais en confidence.
FELICIE.	FELICIE.
Non, ie veux eſcoutet ce qu’il penſe de moy, Mon oreille, & mes yeux m’en feront plus de ſoy.	Non, Seigneur veux écoutet ce qu'il pense de moi, Mon oreille, et mes yeux m'en feront plus de soi.
DIANE.	DIANE.
Mals, Madame, aples tout.	Mals, Madame, aples tout.
FELICIE.	FELICIE.
La choſe eſt reſoluë, Bergere, cependant iuſques à ſa venuë, Viens d’vn ait, ie te prie, entretenir ces bois, Et voyons ſi l’écho veut reſpondre à ta voix.	La chose est résolue, Bergère, cependant jusques à sa venue, Viens d'un ait, une te prie, entretenir ces bois, Et voyons si l'écho veut répondre à ta voix.
DIANE.	DIANE.
C’eſt vn commandement qu’vne telle priere, Quelques plaintes d’amour en feront la matiere.	C'est un commandement qu'une telle prière, Quelques plaintes d'amour en feront la matière.
ſua Et bien ſoupirs, ne faites point de bruit, Monſtrez mes ſenſibles atteintes, Mais ſeulement au cœur, qui vous produit Ne pouuant te parler, cher object de mes plaintes, Que l’écho qui m’entend, puiſſe dire pour moy, Que ſi j'ayme, c’eſt toy.	sua Et bien soupirs, ne faites point de bruit, Montrez mes sensibles atteintes, Mais seulement au cœur, qui vous produit Ne pouvant te parler, cher object de mes plaintes, Que l'écho qui m'entend, puisse dire pour moi, Que si j'aime, c'est toi.
CHANCON.	CHANCON.
Arbres, rochers, doux & charmans Zephyrs, Ruiſſeaux, murmurantes fontaines, Lus reme tem, caullez mes déplaiſirs, Seuls teſmoins de mes feux, confidens de mes peines, Dites moy ſi mon cœur n’oſant ſe declarer, Au moins peut ſoûpiter.	Arbres, rochers, doux et charmands Zéphyrs, Ruisseaux, murmurantes fontaines, Lus rem oi, caullez mes déplaisirs, Seuls témoins de mes feux, confidents de mes peines, Dites moi si mon cœur n'osant se déclarer, Au moins peut soupiter.
L’Echo, peut ſoûpirer.	L'Écho, peut soupirer.
SCENE II.	SCÈNE II.
THERSANDRE.	THÉRSANDRE.
FELICIE, DIANE,	FELICIE, DIANE,
THERSANDRE.	THÉRSANDRE.
Iane eſt en ces lieux, & ſa voix m’en aſſeute,	Jane est en ces lieux, et sa voix m'en assute,
FELICIE, à Diane bas:	FELICIE, à Diane bas:
Roiinteco vaue ly ypren, cette conjonotute;	Roiintecos vave li ypren, cette conjonotute;
Sur tout parle luy haut, toy ſeul es mon eſpoir, Ie vais de cét endroit t’eſcouter, & te voir.	Sur tout parle lui haut, toi seul es mon espoir, Je vais de cet endroit t'écouter, et te voir.
DIANE, bas.	DIANE, bas.
O Dieux!	Ô Dieux!
tout eſt perdu, Therfandre va tout dire.	tout est perdu, Therfandre va tout dire.
THERSANDRE.	THÉRSANDRE.
Enfin il n'eſt plus temps que noſtre cœur ſoûpite, Repreuons noſtre joye, & tariſſons nos pleurs, Changeons dans ce grand iout nos elpines en ſleurs, Ne renouuellons plus nos diſgraces paſſées, Formons noſtre entretien de plus douces penſées, Et qu’vn propos d’amour.	Enfin il n'est plus temps que notre cœur soupite, Répreuons notre joie, et tarissons nos pleurs, Changeons dans ce grand jout nos élpines en sleurs, Ne renouvelons plus nos disgrâces passées, Formons quelque entretien de plus douces pensées, Et qu'un propos d'amour.
DIANE.	DIANE.
Laiſſe m’en le ſoucy, Ie veux ſur ce ſufet t'enttetenit ſey.	Laisse m'en le souci, Je veux sur ce sujet t'enttetenit sei.
THERSANDRE.	THÉRSANDRE.
c’eſt à moy d'en parler, & quand ie conſidete De quels traits en mon cœur.	c'est à moi d'en parler, et quand je considète De quels traits en mon cœur.
DIANF.	DIANF.
le lo ſçay bieu mon frere, Ce n’eſt pas d’aujourd’huy que ie lis en ton cœur, let ron ne viciamais frete symer tantla lour.	le lo sais bieu mon frère, Ce n'est pas d'aujourd'hui que toujours lis en ton cœur, let ron ne viciamais frète symer tantla lour.
THERSANDRE.	THÉRSANDRE.
L'amout dont ie te veux ſaire voir les atteintes Paſſe celuy d’vn frere, il fait naiſtre des plaintes, Il m’a fait ſoûpirer, deſeſperer, mourir, L'amour pour vne lœur ne fait point tant ſouffrir, Mais i’ayme.	L'amout dont ie te veux zaïre voir les atteintes Passe celui d'un frère, il fait naître des plaintes, Il m'a fait soupirer, désespérer, mourir, L'amour pour lœur ne fait point tant souffrir, Mais j'aime.
DIANE.	DIANE.
Ie deuine, & tu bruſſes d’enuie De me parlet icy de l’amour de Celie.	Je devine, et tu brusses d'envie De me parlet ici de l'amour de Celieu.
