Avmndremire o	Avmndremire ô
ous découvrirez la ſi c’eſt ce qui vous charme, ui vous fit devant moy prendre ſi toſt l’alarme, t ſi c’eſt la beauté qui vous peut enflamer, e ne veux luy parler, ny la voir, ny l’aimer, oila les ſentimens que pour vous i’ay ſçeu prendre, t ce que d’un amy vous avez dû pretendre.	ous découvrirez la si c'est ce qui vous charme, Ui vous fit devant moi prendre si tôt l'alarme, si c'est la beauté qui vous peut enflamer, ne veux lui parler, ainsi la voir, ni l'aimer, oila les sentiments que pour vous j'ai su prendre, tel ce que d'un ami vous avez dû prétendre.
ous vous éclaircirez, & ie ſouhaitte fore lue vous ayez douté de Leonor a tort.	ous vous éclaircirez, et ainsi souhaite fore lue vous ayez douté de Leonor a tort.
DOM FERNAND.	DOM FERNAND.
e le ſouhaitte auſſy, mais ie n’oſe l’attendre, t ſur ce que ie crains ie ne puis rien comprendre.	Je le souhaite aussi, mais ainsi n'ose l'attendre, t t' est que ici crains ie ne puis rien comprendre.
DOM CARLOS.	DOM CARLOS.
le faittes rien paroiſtre, & reſtez avec moy, ſalmez voſtre chagrin, moderez voſtre effroy:	le faites rien paraître, et restez avec moi, salmez votre chagrin, modérez votre effroi:
Je ne ſçaürois penſer qu’elle ſoit infidelle, Et ie la crois du moins auſſy ſage que belle.	Je ne sçaürois penser qu'elle soit infidèle, Et tu la crois du moins aussi sage que belle.
Quel ſeroit ſon deſſein, puis que l’on m’a permis D’amener avec moy quelqu’un de mes amis?	Quel serait son dessein, puis que l'on m'a permis D'amener avec moi quelqu'un de mes amis?
Puis quelle ſçait de vous que vous eſtes l’unique Que familierement dans ces lieux ie pratique, Cela me fait juger que vous vous abuſez, Et que vous avez tort lors que vous l’acuſez:	Puis quelle sait de vous que vous êtes l'unique Que familièrement dans ces lieux ie pratique, Cela me fait juger que vous vous abusez, Et que vous avez tort lors que vous l'acusez:
Deplus vous connoiſtrez en la voyant paroiſtre Les ſentimens d’amour que vous avez fait naiſtre:	Déplus vous connaîtrez en la voyant paraître Les sentiments d'amour que vous avez fait naître:
Sa preſence rendra vos ſoupçons abatus, Ils ne pouront tenir contre tant de vertus:	Sa présence rendra vos soupçons abattus, Ils ne pourront tenir contre tant de vertus:
Vous perdrez ces ſoupçons en voſtre amour extreme Et vous n’aürez plus d’veux que pour ce qui vous aime Comme la jalousie accompagne vos pas, Vous croyez voir ſans ceſſe & vous ne voyez pas.	Vous perdrez ces soupçons en votre amour extrême Et vous n'aürez plus d'une Comme pour ce qui vous aime Comme la jalousie accompagne vos pas, Vous croyez voir sans cesse et vous ne voyez pas.
Mais lorſque la raiſon vous ſera revenüe, La vertu vous ſera plus aiſément connüe En cet aimable obiet qui vous a tant charmé;	Mais lorsque la raison vous sera revenue, La vertu vous sera plus aisément connue En cet aimable objet qui vous a tant charmé;
De ce crüel ſoupçon vous ſerez deſarmé.	De ce cruel soupçon vous serez désarmé.
Vous n’aurez plus dans l’ame aucune inquietude, A plaire ſeulement vous mettrez voſtre eſtude;	Vous n'aurez plus dans l'âme aucune inquiétude, A plaire seulement vous mettrez votre étude;
Vous aimerez ſans ceſſe & vous ſerez aimé, Vous verrez les effets d’un amour confirmé, Et l’Hymen ſe joignant á de ſi belles flames N’aûra plus de liens que pour joindre vos ames;	Vous aimerez sans cesse et vous serez aimé, Vous verrez les effets d'un amour confirmé, Et l'Hymen se joignant de si elles flammes N'aûra plus de liens que pour joindre vos âmes;
Vous ſerez enflamez ſans ceſſe tour à tour:	Vous serez enflamés sans cesse tour à tour:
Et voila les plaiſirs que nous donné l’amour.	Et voilà les plaisirs que nous donné l'amour.
DOM FERNAND.	DOM FERNAND.
Ah!	Ah!
qu’a ces doux propos vous me rendez ſenſible, Et que ſi Leonor n’eſt point voſtre inviſible, Je m’appreſte à gouſter un bonheur ſans êgal;	qu'a ces doux propos vous me rendez sensible, Et que si Leonor n'est point vôtre invisible, Je m'apprête à goûter un bonheur sans égal;
Jeverray mon amy ſans l’avoir pour rival;	Jeverrai mon ami sans l'avoir pour rival;
e verray ma maiſtreſſe avecque l’avantage De l’aimer ſans avoir aucun ſujet d’ombrage;	Je verrai ma maîtresse avec l'avantage De l'aimer sans avoir aucun sujet d'ombrage;
e verray ſans chagrin que vous ſerez heureux, Et vous auec plaiſir qu’on reſpond à mes vœux.	Je verrai sans chagrin que vous serez heureux, Et vous a plaisir qu'on répond à mes vœux.
Mais, helas je me flate, & c’eſt en vain que j’oſe Me flater que l’effet doit reſpondre à la cauſe.	Mais, hélas je me flatte, et c'est en vain que j'ose M flater que l'effet doit répondre à la cause.
Il eſt vray, j’aime encor, & ſi je ſuis jaloux, Je n’ay point de ſoupçon ſur d’autre que ſur vous, Et mon ame flotante, inégale, incertaine M’oſte tout ſentiment, & je n’agis qu’a peine, Quoy que ſur voſtre foy je doiue m’aſſurer, Et que dans mon amour j’oſe perſeverer, Je ne puis refuſer une importune crainte, Que inon eiprit regoit avet queique contrainceTant je ſuis attaqué par ce crüel ſoupçon Qui vient tyranniſer ma flamme ſans raiſon.	Il est vrai, j'aime encor, et si je suis jaloux, Je n'ai point de soupçon sur d'autre que sur vous, Et mon âme flotante, inégale, incertaine M'ôte tout sentiment, et je n'agis qu'a peine, Quoi que sur votre foi je doive m'assurer, Et que dans mon amour j'ose persévérer, Je ne puis refuser une importune crainte, Que inon eiprit règait avet que contrainTant je suis attaqué par ce cruel soupçon Qui vient tyranniser ma flamme sans raison.
GUSMAN.	GUSMAN.
Vous venez juſtement de faire la peinture De la peur qu’au palais a ſouffert ma figure.	Vous venez justement de faire la peinture De la peur qu'au palais a souffert ma figure.
Ouy, cet enlevement m’a rendu tout confus, Tantoſt j’eſtois ſurpris, puis je ne l’eſtois plus:	Oui, cet enlèvement m'a rendu tout confus, Tantôt j'étais surpris, puis je ne l'étais plus:
Ces gens qui nous gardoient me donoient de l’ombrage.	Ces gens qui nous gardaient me donaient de l'ombrage.
Quand ils eſtoient ſortis je reprenois courage:	Quand ils étaient sortis je reprenais courage:
La dame du logis --- les autres---ma douleur tandide ema couenane aloyjaros bien peur	La dame du logis -mis- les autres-ma douleur tandide ema couenane aloyiaros bien peur
Tay toy.	Tais -toi.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
Je parle bien, on doit me laiſſer dire	Je parle bien, on doit me laisser dire
DOM CARLOS.	DOM CARLOS.
Pour vous mettre en repos ma foy de vroit ſuffire, Ne vous affligez point, & vous verrez bien toſt,	Pour vous mettre en repos ma foi de voit suffire, Ne vous affligez point, et vous verrez bien tôt,
E 4 Que pour vous la prouver je feray ce qu’il faut.	 4 Que pour vous la prouver je ferai ce qu'il faut.
Je vous l’ay deſia dit, finiſſez voſtre peine, Et ne vous mettez plus par plaiſir à la geſne:	Je vous l'ai déjà dit, finissez votre peine, Et ne vous mettez plus par plaisir à la gêne:
Croyez moy fiez vous à ma ſincerité.	Croyez -moi fiez -vous à ma sincérité.
GUSMAN.	GUSMAN.
Ouy, mon maiſtre a, monſieur, beaucoup de probité.	Oui, mon maître a, monsieur, beaucoup de probité.
DOM CARLOS.	DOM CARLOS.
Quoy qu’il puiſſe arriver ie vous ſeray fidelle, Et ſi---mais nous allons ſçavoir quelque nouvelle.	Quo qu’il puisse arriver je vous serai fidèle, Et si-mais nous allons savoir quelque nouvelle.
SCENE SECONDE.	SCÈNE SECONDE.
DOM CARLOS.	DOM CARLOS.
DOM FERNAND.	DOM FERNAND.
GUSMAN BEATRIX maſquée.	GUSMAN BEATRIX masquée.
DOM CARLOS, Et bien?	DOM CARLOS, Et bien?
maſquée encor!	masquée encor!
& l’on m’avoit promis Que je verrois	et l'on m'avait promis Que je verrais
BFATRIX.	BFATRIX.
Monſieur, rien ne ſera remis.	Monsieur, rien ne sera remis.
Vous verrez ma maiſtreſſe, & ſans doute i’eſpere Que touchant ſa beauté vous ne vous plaindrez guere:	Vous verrez ma maîtresse, et sans doute j'espère Que touchant sa beauté vous ne vous plaindrez guère:
Ou vous ſerez beaucoup delieat-.	Ou vous serez beaucoup délieat-.
GUSMAN.	GUSMAN.
Quand á moy.	Quand „ -moi.
Tu ſçais que ſans te voir i'en tiéns auſſy pour toy, Tu n’as jamais eſté pourtant qu’vne Tygreſſe, De---	Tu sais que sans te voir j'en tièns aussi pour toi, Tu n'as jamais été pourtant qu'une Tigresse, De-
BEATRIX.	BEATRIX.
Si vous aviez vû, Monſieur, quelle triſteſſe Elle nous fit paroiſtre à voſtre enlevement, Vous ne douteriez pas de ſon cœur un moment.	Si vous aviez vu, Monsieur, quelle tristesse Elle nous fit paraître à votre enlèvement, Vous ne douteriez pas de son cœur un moment.
GUSMAN.	GUSMAN.
Situ ſçavois auſſy ce qu’il a fait pour elle, 'u dirois que le jeu ne vaut pas la chandelle.	Situ sçavois aussi ce qu'il a fait pour elle, ' dirois que le jeu ne vaut pas la chandelle.
s’en fallut fort peu, comme tu le ſçais bien, ue ie ne fiſſe un ſaut malgré moy deſſus rien.	s'en fallut fort peu, comme tu le sais bien, ue Qui ne fisse un saut malgré moi dessus rien.
ette dame enrageoit de ſe voir refuſée, et ie tremblois aſſez, ſe voyant meſpriſée, our mon maiſtre & pour moy, qu'elle n’euſt le deſſein e nous faire à peu prés perdre le gouſt du painlais tu ne me plains point.	Jette dame enrageait de se voir refusée, et a tremblois assez, se voyant méprisée, our mon maître et pour moi, qu'elle n'eût le dessein e nous faire à peu prés perdre le goût du painais tu ne me plains point.
Si pareille auanture arfivoſt une fois, ie ce plaindrois, ie jure.	Si pareille aventure arfivôt une fois, je ce plaindrais, tu jure.
in ſoupir furieux marqueroit ma douleur.	in soupir furieux marquerait ma douleur.
BEATRIX.	BEATRIX.
ort bien.	> bien.
j’ay compaty beaucoup á ton malheur;	j'ai compati beaucoup „ ton malheur;
u ſçais bien.	Elle sais bien.
que ie t’aime	que ici t'aime
Curiirts 'eſtoit point avec toy.	Curiirts 'était point avec toi.
AR!	AR!
ſi ta diaplerie	si ta diaplerie
BEATRIX.	BEATRIX.
Va, c’eſt blanche magie e n’eſt rien que cela, dés demain, ſi ie veux, m’en deferay bien.	Va, c'est blanche magie elle n'est rien que cela, dès demain, si toujours veux, m'en déferai bien.
duoſihN.	duosihN.
Que ie ſerois heureux!	Que était serais heureux!
ar vois tu ie te tiens fort belle ſous le maſque, tie ne te crois point une beauté fantaſque.	ar vois tu ie te tiens fort belle sous le masque, tye ne te crois point une beauté fantasque.
BEATRIX.	BEATRIX.
ſuis bien faitté aiſen pour plaire á ton minois.	suis bien faité aisen pour plaire ton minois.
GUSMAN.	GUSMAN.
oyons, demaſque toy ſeulement une fois.	oyons, demasque toi seulement une fois.
n’ay garde.	n'ai garde.
BEATRIX	BEATRIX
BEATRIX.	BEATRIX.
Je n’ay garde, te dis-je.	Je n'ai garde, te dis-je.
GUSMAN.	GUSMAN.
mas itu me diſois le deſſein qui t’oblige A me cacher ton nez, je ſerois ſatisfait.	mas itu me disais le dessein qui t'oblige À me cacher ton nez, je serais satisfait.
DEAIRIAe	DEAIRIAe
Tu le ſçavras bien toſt.	Tu le sçavras bien tôt.
DOM CARLOS.	DOM CARLOS.
A DOM FERNAND.	À DOM FERNAND.
Nous en verrons l'eſt Quoy qu’il puiſſe ariver, ie vous tiendray parole, Vous verrez,	Nous en verrons l'est Quoi qu'il puisse ariver, tu vous tiendrai parole, Vous verrez,
DOM FERNAND.	DOM FERNAND.
Ciier aniyie eie ce quine conſole:	Ciier aniie eye ce quine console:
C’eſt á vous que ie dois ce precieüx treſor, Puis que par vous enfin i’obtiendray Leonor.	C'est par vous que ici dois ce precieüx trésor, Puis que par vous enfin j'obtiendrai Leonor.
DoM enRLOs Vous ne me dévrez rien:	DoM enRLOs Vous ne me dévrez rien:
elle vous eſt fidelle, Mais ie la vois venir, allons au devant d’elle.	elle vous est fidèle, Mais ie la vois venir, allons au devant d'elle.
–	
SCENE IROISIEME LEONOR demaſquée BEATRIX maſquée D( CARLOS.	SCÈNE IROISIEME LEONOR demasquée BEATRIX masquée DÀ CARLOS.
DOM TERNAND GUSMAN.	DOM TERNAND GUSMAN.
LEONOR.	LEONOR.
Cette dame pour qui vous venez en ces lieüx Dans un petit moment va paroiſtre à vos yeux.	Cette dame pour qui vous venez en ces liex Dans un petit moment va paraître à vos yeux.
DOM CARLOS.	DOM CARLOS.
Je vous ſuis obligé de prendre tant de peine:	Je vous suis obligé de prendre tant de peine:
Mais voila mon amy, Madame, que i’amene.	Mais voilà mon ami, Madame, que j'amène.
LEONOR.	LEONOR.
Il ſera bien receu croyez moy Dom Carlos.	Il sera bien recev croyez moi Dom Carlos.
Il ne pouvoit venir icy plus á propos:	Il ne pouvait venir ici plus ★ propos:
Vous m’avez obligée en l’amenant vous meſmo, Et de le voir icy mon plaiſir eſt extreme:	Vous m'avez obligée en l'amenant vous mémo, Et de le voir ici mon plaisir est extrême:
auſſy bien nous avons quelque choſe à vuider Dont vous ſerez le juge, & qu’il faut decider;	aussi bien nous avons quelque chose à vider Dont vous serez le juge, et qu'il faut décider;
vẽ le voulez vous pas?	vendre le voulez -vous pas?
DOM FERNAND.	DOM FERNAND.
Eh!	Eh!
doucement, madame, Ine vous ſied pas bien de maltraitter ma flame, Et principalement devant un tel teſmoin;	doucement, madame, Ine vous sied pas bien de maltraiter ma flamme, Et principalement devant un tel témoin;
l ne vous ſouvient plus que vous priſtes le ſoin Aſſez adroitement vous meſme, de luy dire Que deſſus voſtre cœur vous n’auiez plus d’empire:	l ne vous souvient plus que vous prîtes le soin Assez adroitement vous -même, de lui dire Que dessus votre cœur vous n'aviez plus d'empire:
Qu’il éſtoit tout à moy:	Qu'il éstoit tout à moi:
qu’ay-je donc fait depuis Pour me joüer ſans ceſſe & me combler d’ennuys?	qu'ai-je donc fait depuis Pour me jouer sans cesse et me combler d'ennuis?
Depuis que dans vos yeux mon amour prit naiſſance, Ay-je manqué pour vous de quelque complaiſance?	Depuis que dans vos yeux mon amour prit naissance, Ai-je manqué pour vous de quelque complaisance?
Daignez donc m’éclaircir, madame, de mon ſort;	Daignez donc m'éclaircir, madame, de mon sort;
e me condamneray moy meſme, ſi j’aytort, Car enfin malgré moy je ſens que je vous aime.	Je me condamnerai moi -même, si j'aitort, Car enfin malgré moi je sens que je vous aime.
Ah!	Ah!
que ſi vous pouviez m’aimer encor de meſme, e regreſterois peu ces precieüx momens Qui me rendoient heureux plus que tous les Amans.	que si vous pouviez m'aimer encor de même, é regresterois peu ces precieüx forts Qui me rendaient heureux plus que tous les Amants.
lelas!	lélas!
ce temps n’eſt plus, tout eſt changé, madame, ous n’avez plus pour moy meſme cœur ny meſme ame, ’en ſuis persüadé, vous me l’avez fait voir, et la raiſon, pourquoy ne la puis-je ſçauoir?	ce temps n'est plus, tout est changé, madame, ous n'avez plus pour moi -même asin même âme, ellen suis persuadé, vous me l'avez fait voir, et la raison, pourquoi ne la puis-je savoir?
expliquez vous de grace, expliquez vous crüelle.	expliquez -vous de grâce, expliquez -vous cruelle.
LEONOR.	LEONOR.
Vous m’accuſez à tort de vous eſtre infidelle:	Vous m'accusez à tort de vous être infidèle:
e ne puis de viner d’oú naiſt ce grand courroux, Mais ſçachez que jamais je n’ay changé pour vous.	Je ne puis de viner d'où naît ce grand courroux, Mais sachez que jamais je n'ai changé pour vous.
’ay touſiours eu pour vous meſme cœur &meſme ame, et je vous ay touſiours conſervé meſme flame, lais vous n’avez pas fait meſme choſe pour moy.	Ç'ai toujours eu pour vous même cœur etmesme âme, et je vous ai toujours conservé même flamme, lais vous n'avez pas fait même chose pour moi.
Dom	Dom
DOM FERNAND.	DOM FERNAND.
Auez vous pû douter un moment de ma foy?	Avez -vous pu douter un moment de ma foi?
le conſerue pour vous une tendreſſe extreme, Et j’ay lieu de douter ſi vous m’aimez de meſme.	le conserve pour vous une tendresse extrême, Et j'ai lieu de douter si vous m'aimez de même.
LEONOR.	LEONOR.
Doutez, ſi vous voulez, puiſque ce que i’ay dic N’a pas eu le pouvoir de vous guerir l’eſprit;	Doutez, si vous voulez, puisque ce que j'ai dit N'a pas eu le pouvoir de vous guérir l'esprit;
Sçachez que ie vous ay touſiours eſté fidelle, Je vous le dis encor, appellez moy crüelle.	Sachez que personne vous ai toujours été fidèle, Je vous le dis encor, appelez -moi cruelle.
Et repetez vingt fois que vous eſtes trahy;	Et répétez vingt fois que vous êtes trahi;
Ce ſera le moyen d’eſtre bien toſt hay.	Ce sera le moyen d'être bien tôt haï.
DOM FERNAND.	DOM FERNAND.
Puis ie dire deux mots ſans vous mettre en colere:	Puis ie dire deux mots sans vous mettre en colère:
Si vous le ſouhaittez	Si vous le souhaitez
LEONOR Ouy, vous le pouvez faire.	LEONOR Oui, vous le pouvez faire.
Parlez, & faittes voir ſi mon cœur a changé, Et ſi du voſtre enfin ie me ſuis dégagé.	Parlez, et faites voir si mon cœur a changé, Et si du vôtre enfin tu me suis dégagé.
DOM FERNAND.	DOM FERNAND.
Pour le prouver, madame, il eſt aſſez poſsible:	Pour le prouver, madame, il est assez possible:
Lors que pour Dom Carlos vous eſtes l’in viſible, Et que vous vous trouvez en Leonor pour moy, Je ne dois plus douter de voſtre peu de foy, Et pour vous dire tout, lors que de la ſeneſtre Où Dom Carlos deuoit vous voir & vous connoiſtre,  ous uuez declaré que vous n’aimiez quo luy, Vous n’aviez pas deſſein deme combler d’ennuy;	Lors que pour Dom Carlos vous êtes l'in visible, Et que vous vous trouvez en Leonor pour moi, Je ne dois plus douter de votre peu de foi, Et pour vous dire tout, lors que de la senestre Où Dom Carlos devait vous voir et vous connaître, ous uuez déclaré que vous n'aimiez qu lui, Vous 'aimiez pas dessein de combler d'ennui;
Lors que vous luy parliez, & meſme en ma preſence?	Lors que vous lui parliez, et même en ma présence?
Il falloit s’expliquer auec moins d’eloquence, Si vous vouliez du moins m’obliger à douter.	Il fallait s'expliquer avec moins d'éloquence, Si vous vouliez du moins m'obliger à douter.
LEONOR.	LEONOR.
Pour me juſtifier voulez vous m'écouter?	Pour me justifier voulez -vous m'écouter?
Ce que je vous diray peut eſtre aſſez plauſible;	Ce que je vous dirai peut avoir assez plausible;
’ay parlé ſous le nom de la dame inviſible, leſt vray, j’aurois tort de ne le dire point, t ie vais en deux mots vous éclaircir ce point.	ay parlé sous le nom de la dame invisible, lest vrai, aurois tort de ne le dire point, ie ais en deux mots vous éclaircir ce point.
ay voulu vous broüiller icy la fantaiſie, En vous mettant en teſte un peu de jalouſie, 'ay voulu découvrir quel ſeu vous reſſentiez, et j’ay voulu ſçavoir de plus ſi vous m’aimiez;	ai voulu vous brouiller ici la fantaisie, En vous mettant en tête un peu de jalousie, 'ay voulu découvrir quel vous ressentiez, et ay voulu sçavoir de plus si vous aimiez;
ugez apres cela ſi ie ſuis inſenſible.	ugez apres cela si ie suis insensible.
et ſi pour voſtre amour	et si pour votre amour
DOM CARLOS.	DOM CARLOS.
quoy!	quoi!
je ſerois trompé?	je serais trompé?
Vous ſeriez l’inviſible?	Vous seriez l'invisible?
GUSMAN Ma foy, vous en tenez, Et l’on vous remercie auec un pied de nez.	GUSMAN Ma foi, vous en tenez, Et l'on vous remercie avec un pied de nez.
La princeſſe Porcie eſtoit mieux voſtre affaire, et vous auriez mieux fait de la prendre, & vous taire.	La princesse Porcie était mieux votre affaire, et vous auriez mieux fait de la prendre, et vous taire.
LEONOR.	LEONOR.
Ntomnuenadien vouma tojet aucity Que pour vous l’inviſible eſt un tres bon party, Que deuant qu’il ſoit peu vous la pourrez connoiſtre, Qu’elle eſtime vos feux--mais ie la vois paroiſtre.	Nontomnuenadien vouma tojet auciti Que pour vous l'invisible est un très bon parti, Que devant qu'il soit peu vous la pourrez connaître, Qu'elle estime vos feux-mais ie la vois paraître.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
LA PRINCESSE PORCIE, BEATRIX maſquees LEONOR demaſquée.	LA PRINCESSE PORCIE, BEATRIX masque LEONOR demasquée.
DOM CARLOS.	DOM CARLOS.
DOM Je dois recompenſer qui ſçait aimer ſi bien, Et le mettre en eſtat de ne douter de rien.	DOM Je dois récompenser qui sait aimer si bien, Et le mettre en état de ne douter de rien.
Ce que vous avez fait en faveur de ma flame, Ce refus obligeant a penetré moname, J’ay connu par ce coup voſtre fidelité, J’ay veu que vous m’aimiez avec ſincerité.	Ce que vous avez fait en faveur de ma flamme, Ce refus obligeant a pénétré moname, J'ai connu par ce coup votre fidélité, J'ai vu que vous m'aimiez avec sincérité.
Il faut me faire voir;	Il faut me faire voir;
mais je dois vous apprendre, Que l’inviſible en vous ceſſera de pretendre.	mais je dois vous apprendre, Que l'invisible en vous cessera de prétendre.
’ay ſçeu vous enlever pour la leconde IoIs, Jugez en.	ais su vous enlever pour la leconde IoIs, Jugez en.
Oſtant ſon maſque, & Beatrix auſſy	Ôtant son masque, et Beatrix aussi
GUSMAN.	GUSMAN.
Vous deviez bien aller juſqu’a trois, Mais dy moy, n’eſt-ce point un tour de ta magie, Qui nous découvre icy la princeſſe Porcie.	Vous deviez bien aller jusqu'a trois, Mais dy moi, n'est-ce point un tour de ta magie, Qui nous découvre ici la princesse Porcie.
Le diable n’a-t’il point joüé ſon petit jeu?	Le diable n'a-t-il point joué son petit jeu?
Come mon maiſtre, & moy nous nous connoiſſons pe A tous ces petits tours qu’enfante ton adreſſe, Tu pourrois avoir fait encor cette fineſſe.	Come mon maître, et moi nous nous connaissons pe À tous ces petits tours qu'enfante ton adresse, Tu pourrais avoir fait encor cette finesse.
DOM CARLOS.	DOM CARLOS.
Ah!	Ah!
que c’eſt me tromper bien agreablement.	que c'est me tromper bien agréablement.
Pouvois-je rece voir plus de contentement?	Pouvais-je rece voir plus de contentement?
Enfin c’eſt aujourdhuy la fin de mon ſupplice.	Enfin c'est aujourdhuy la fin de mon supplice.
Je ne puis trop loüer l’agreable caprice, Que vous m’avez fait voir, madame, dans ce jour Eii toulant éprouver ce que j’auois d’amour:	Je ne puis trop louer l'agréable caprice, Que vous m'avez fait voir, madame, dans ce jour É toulant éprouver ce que j'avais d'amour:
Je ne ſçavrois aſſez admirer voſtre adreſſe A trover les moyens de juger ma tendreſſe, De voir mes ſentimens, de lire dans mon cœur, Et pour vous dire plus de faire mon bonheur.	Je ne saurais assez admirer votre adresse À trouer les moyens de juger ma tendresse, De voir mes sentiments, de lire dans mon cœur, Et pour vous dire plus de faire mon bonheur.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Je n’ay point pretendu me fier qu’a moy-meſme, Pour vous faire ſçavoir à quel point je vous aime?	Je n'ai point prétendu me fier qu'a moi-même, Pour vous faire savoir à quel point je vous aime?
J’ay voulu m'éclaircir ſans vouloir rien tenter:	J'ai voulu m'éclaircir sans vouloir rien tenter:
