De Voſtre Majeſté,	De Votre Majesté,
Trleuste nut tende Parto, ce von meur que de toy, Que ie feray dans peu mon eſpoux & mon Roy:	Trluste nut tende Parto, ce von meur que de toi, Que ie ferai dans peu mon époux et mon Roi:
ARIS.	ARIS.
Il n'est ſi glorieux en la celeste bande Qui ne fist vanité d’vne faueur ſi grande, Et ie n'ay point en moy les rares qualitez Qui meritent le bien que vous me ſouhaittez.	Il n'est si glorieux en la céleste bande Qui ne fît vanité d'une faveur si grande, Et apprendre n'ai point en moi les rares qualités Qui méritent le bien que vous me souhaitez.
de ne piin centenetr ent jauem parcine, Sans que mon iugement démente mon oreille, Et ſongeant ſeulement à vostre intention, Ie croy repreſenter la fable d’Ixion;	de ne piin centenétr ent javem parcine, Sans que mon jugement démente mon oreille, Et songeant seulement à votre intention, Je crois représenter la fable d'Ixion;
emla r Quelle humeur frenetique égale ſa folie?	emla r Quelle humeur frénétique égale sa folie?
Ce mal-heur nous prouient de ceste Roſelie.	Ce malheur nous provient de cette Roselie.
Dieux !	Dieux !
est-il inſenſible à ce rare bon-heur, Comme i’ay plus d’eſprit, que n’ay-ie autant d’honneur?	est-il insensible à ce rare bonheur, Comme j'ai plus d'esprit, que n'ai-je autant d'honneur?
LA REINE.	LA REINE.
Paris exerce ailleurs ceſte bouche eloquente, Tu n'as pas à fleſchir vne orgueilleuſe amante;	Paris exerce ailleurs cette bouche éloquente, Tu n'as pas à fléchir une orgueilleuse amante;
Ie te croy ſans pareil entre les plus parfaits:	Je te crois sans pareil entre les plus parfaits:
Que tu le ſois ou non, c'eſt aſſez tume plais.	Que tu le sois ou non, c'est assez tume plais.
ARIS.	ARIS.
Le peu que i’ay de bon ie le veux reconnoistre, Seulement pour loüer vos ſentimens de l’estre;	Le peu que j'ai de bon apprendre le veux reconnaître, Seulement pour louer vos sentiments de l'être;
Mais combien verriez vous de Princes diſpoſe?	Mais combien verriez -vous de Princes dispose?
A receuoir l’honneur que vous me propoſez, Qui propres de Nature au fais d'vne Couronne, Meritent mieux que moy ce que le ſort me donne.	À recevoir l'honneur que vous me proposez, Qui propres de Nature au fais d'une Couronne, Méritent mieux que moi ce que le sort me donne.
LA REINE.	LA REINE.
Mais ie veux par mon chois t’eſleuer à ce point:	Mais ici veux par mon chois t'élever à ce point:
ARIS.	ARIS.
Madame, i'obeys, & ne replique point.	Madame, j'obéis, et ne replique point.
ARGANT.	ARGANT.
Vrayment c'est faire vn coup de grande obeyſſance, Qu'accepter en ces lieux vne entiere puiſſance;	Vraiment c'est faire un coup de grande obéissance, Qu'accepter en ces lieux une entière puissance;
Ie ne demanderois que d’obeïr ainſi, Ce poinct là ſuffiroit à borner mon ſoucy.	Je ne demanderais que d'obéir ainsi, Ce point là suffirait à borner mon souci.
IS.	IS.
Apres ceſte faueur qui n'a point de ſeconde, Ie feray des ialoux de tous les Rois du monde;	Après cette faveur qui n'a point de seconde, Je ferai des jaloux de tous les Rois du monde;
Cét eſpoir ſeulement rend tous mes vœus contens:	Cet espoir seulement rend tous mes vœus contents:
Mais il faut differer ce bon-heur pour vn temps;	Mais il faut différer ce bonheur pour un temps;
Ie dois reuoir mon Prince auant ce mariage;	Je dois revoir mon Prince avant ce mariage;
Ie luy dois le recit de cét heureux voyage,	Je lui dois le récit de cet heureux voyage,
ſuigez Iugez des trahiſons qu’il pourroit conceuoir, Oy te ne mueqmiitois de ce meneraenoirs	suivez Jugez des trahisons qu'il pourrait concevoir, Oi te ne mueqmiitois de ce meneraenoirs
LA REINE.	LA REINE.
Pour vn ſujet pareil, iamais on ne recule, Le tiltre de loyal eſt icy ridicule, Et tu ne deuſſes plus regarder de cét œil Vn Roy de qui ton bras doit creuſer le cercueil;	Pour un sujet pareil, jamais on ne recule, Le titre de loyal est ici ridicule, Et tu ne dusses plus regarder de cet œil Un Roi de qui ton bras doit creuser le cercueil;
Connois-tu bien le temps, la femme, & la fortune;	Connais-tu bien le temps, la femme, et la fortune;
Sçais-tu la qualité qui leur eſt ſi commune, Ne prenant aux cheueux ces obiects inconstans, Poſsible perdras tu, fortune, femme & temps.	Sais-tu la qualité qui leur est si commune, Ne prenant aux cheveux ces objets inconstants, Possible perdras tu, fortune, femme et temps.
Elle s’en va en cholere.	Elle s'en va en colère.
ARGANT.	ARGANT.
Quoy vous n'acceptez, pas ce qu'elle vous preſente?	Quoi vous n'acceptez, pas ce qu'elle vous présente?
Monſieur, vne Couronne eſt-elle ſi peſante?	Monsieur, une Couronne est-elle si pesante?
Ie m'offreà ſouſtenir la moitié de ce fais, Ou s’il ne vous ſuffit de l’offre que ie fais, Ie la porteray ſeul, i'accepte cette peine, Vous n’aurez qu’à cueillir les faueurs de la Reine.	Je m'offreà soutenir la moitié de ce fais, Ou s'il ne vous suffit de l'offre que tu fais, Je la porterai seul, j'accepte cette peine, Vous n'aurez qu'à cueillir les faveurs de la Reine.
ARIS.	ARIS.
Ha!	Ha!
qu'elle peſeroit ſur ton cerueau leger;	qu'elle pèserait sur ton cerveau léger;
Tu connois mal vn bien dont tucrois bien iuger;	Tu connais mal un bien dont tucrais bien juger;
Peu ſçauent ce qu'on ſouffre à regir vn Empire, Et c'eſt pourtant vn but où tout le monde aſpire.	Peu Pavent ce qu'on souffre à régir un Empire, Et c'est pourtant un but où tout le monde aspire.
Quand nous voyons du port des nauires flottans, Plains de riches butins, & careſſez du temps, Chacun eſt enuieux du bon-heur de leur maiſtre, Et des premiers, Argant, ſouhaitteroit de l’estre:	Quand nous voyons du port des navires flottants, Plains de riches butins, et caressez du temps, Chacun est envieux du bonheur de leur maître, Et des premiers, Argant, souhaitteroit de l'être:
Mais quand le vent combat contre les matelots, Qu'il leur faut applanir des montagnes de flots, Que l’orage fait naiſtre vne nuict ſans eſtoilles, Fend le flanc des vaiſſeaux & déchire les voiles;	Mais quand le vent combat contre les matelots, Qu'il leur faut applanir des montagnes de flots, Que l'orage fait naître une nuit sans étoilles, Fend le flanc des vaisseaux et déchire les voiles;
Il faut estre aßiſté par vn puiſſant demon, Pour ne ſe faſcher pas d’auoir pris le timon.	Il faut être assisté par un puissant démon, Pour ne se fâcher pas d'avoir pris le timon.
Nous enuions les Rois:	Nous envions les Rois:
mais connoiſſant leur vie, Nous ſçaurions bien ſouuent qu’ils nous portent enuie, Beaucoup euiteroient ce qu’ils ont deſiré, Le deſtin mediocre eſt le plus aſſeuré;	mais connaissant leur vie, Nous sçaurions bien souvent qu'ils nous portent envie, Beaucoup éviteraient ce qu'ils ont désiré, Le destin médiocre est le plus assuré;
Establiſſant mon throſne au ſein de Roſelie, de Medemple de joings Que melanemcie , Et ie ne puis auoir de ſi cuiſans ſoucis Que ſes moindres faueurs ne rendent adoucis.	Établissant mon trône au sein de Roselie, de Médemple de joings Que melanemcie , Et ie ne puis avoir de si cuisants soucis Que ses moindres faveurs ne rendent adoucis.
Partons, ſans differer, ie me ſens tout de flame Ie meurs que ie ne voy cét obiect de mon ame.	Partons, sans différer, Seigneur me sens tout de flamme Je meurs que tu ne vois cet objet de mon âme.
ARGANT.	ARGANT.
Et moy ie meurs außi:	Et moi ici meurs aussi:
mais de regret de voir Les biens & les honneurs ſur nos teſtes pleuuoir, Et que vous n'ayez, pas le iugement de prendre Ce qui tombe en vos mains, ſi vous les voulez tendre Comment ſe reſoudra mon esprit furieux!	mais de regret de voir Les biens et les honneurs sur nos têtes pluvoir, Et que vous n'ayez, pas le jugement de prendre Ce qui tombe en vos mains, si vous les voulez tendre Comment se résoudra mon esprit furieux!
Ie me croyois deſia Chancelier de ces lieux.	Je me croyais déjà Chancelier de ces lieux.
En Hongrie.	En Hongrie.
LE ROY, LYSANOR.	LE ROY, LYSANOR.
Mde LE ROY.	Mde LE ROY.
Voy!	Voi!
mon frere a fleſchy cette beauté eresene, Amour les fait brusler d’vne ardeur mutuelle ?	mon frère a fléchi cette beauté èresene, Amour les fait brûler d'une ardeur mutuelle ?
Où peux-tu Lyſanor, fonder ce iugement?	Où peux-tu Lysanor, fonder ce jugement?
Car s’ils traictent l’amour, c’est bien ſecrettement.	Car s'ils traitent l'amour, c'est bien secrètement.
LISANOR.	LISANOR.
Sire, en l'extréme point où leur flame eſt venuë.	Sire, en l'extrême point où leur flamme est venue.
Il eſt bien mal-aisé qu’elle ne ſoit connuë, Il faut bien ſe contraindre en ceste paßion, Et ſçauoir bien vſer de la diſcre tion.	Il est bien malaisé qu'elle ne soit connue, Il faut bien se contraindre en cette passion, Et savoir bien user de la discre tion.
Cét art auec l’amour rarement ſe rencontre, Souuent le tropgrand ſoin de la cacher la monſtre, N'oſer ouurir les yeux, retenir trop ſa voix, Si l’on parle d’amour, médire de ſes loix, Feindre deuant le monde vne froideur extréme, Penſant tromper autruy, c'est ſe tromper ſoy méme;	Cet art avec l'amour rarement se rencontre, Souvent le tropgrand soin de la cacher la montre, N'oser ouvrir les yeux, retenir trop sa voix, Si l'on parle d'amour, médire de ses lois, Feindre devant le monde une froideur extrême, Pensant tromper autrui, c'est se tromper soi -même;
Depuis qu'on eſt ſi froid, & qu'on parle ſi peu, Dés lors ie croy qu'on aime, & qu'on est tout de feu;	Depuis qu'on est si froid, et qu'on parle si peu, Dès lors il crois qu'on aime, et qu'on est tout de feu;
Außi voyant qu'Alcandre vſoit de cette feinte, Ie conçeus aisément qu’il auoit l’ame atteinte:	Aussi voyant qu'Alcandre usait de cette feinte, Je conçus aisément qu'il avait l'âme atteinte:
I'ay leu dedans ſes yeux, i’ay ſes pas eſpiez;	J'ai lu dedans ses yeux, j'ai ses pas épiés;
En fin i’ay veu les nœuds dont ſes bras ſont liez:	En fin j'ai vu les nœuds dont ses bras sont liés:
Ce Prince rend hommage aux yeux de Roſelie, C’eſt l’vnique ſujet de ſa melancholie;	Ce Prince rend hommage aux yeux de Roselie, C'est l'unique sujet de sa mélancolie;
Mille fois qu’ils ont creu ſe parler ſans teſmoins, Ma curioſité m'a fait trahir leurs ſoings;	Mille fois qu'ils ont cru se parler sans témoins, Ma curiosité m'a fait trahir leurs soins;
I’eſcoutois en faueur d’vne tapiſſerie mounee eque iemunoron teuntionte deſuerie.	J'écoutais en faveur d'une tapisserie mounée éque iemunoron teuntionte desuerie.
Ie croy qu’ils bruſleront d’vn braſier eternel, Ils en ont fait cent fois vn ſerment ſolemnel;	Je crois qu'ils brûleront d'un brasier éternel, Ils en ont fait cent fois un serment solennel;
Et vous auriez plustost vne roche ébranlee, Que leur fidelité pût estre violee.	Et vous auriez plutôt une roche ébranlée, Que leur fidélité pût être violée.
LE ROY.	LE ROY.
Liſanor, c’est beaucoup de connoistre le mal, I'y puis remedier, éloignant ce riual;	Lisanor, c'est beaucoup de connaître le mal, J'y puis remédier, éloignant ce rival;
Ou ſi ma gariſon ne vient de ce remede, Il faudra qu'à la fin la violence m'aide;	Ou si ma garison ne vient de ce remède, Il faudra qu'à la fin la violence m'aide;
Ma raiſon m’abandonne, & iamais vn amant N'a ſouffert ſans mourir vn ſemblable tourment.	Ma raison m'abandonne, et jamais un amant N'a souffert sans mourir un semblable tourment.
MESSAGER.	MESSAGER.
Sire, nous auons ſçeu qu'vne Reine animee Prepare contre vous vne puiſſante armee;	Sire, nous avons su qu'une Reine animée Prepare contre vous une puissante armée;
On dit que ſon affront a ce mal-heur produit, Toute nostre frontiere est pleine de ce bruit, Et nous n'eſperons pas ſurmonter cet orage, Si vostre Maiesté n’arme contre ſa rage.	On dit que son affront a ce malheur produit, Toute notre frontière est pleine de ce bruit, Et nous n'espérons pas surmonter cet orage, Si votre Majesté n'arme contre sa rage.
LE ROY.	LE ROY.
Ie propoſois deſia de pouruoir là deſſus, Et ie ne treuue point mes ſentimens deçeus;	Je proposais déjà de pourvoir là -dessus, Et tu ne trouve point mes sentiments déçus;
Ie me figurois bien, rompant ce mariage Qu'elle s’alloit armer pour vn ſecond voyage:	Je me figurais bien, rompant ce mariage Qu'elle s'allait armer pour un second voyage:
Mais ſi le Ciel permet ce que i’ay proietté, I’ay dequoy retenir ſon animoſité, Et dequoy m'acquerir le bon-heur que i'eſpere, Esloignant de ces lieux l’autheur de ma miſere.	Mais si le Ciel permet ce que j'ai proietté, J'ai dequoy retenir son animosité, Et dequoy m'acquérir le bonheur que j'espère, Éloignant de ces lieux l'auteur de ma misère.
Allez, querir Alcandre:	Allez, quérir Alcandre:
Il continuë, eſtant ſeul.	Il continue, étant seul.
heureuſe inuention!	heureuse invention!
Dernier, & ſeul eſpoir de mon affection!	Dernier, et seul espoir de mon affection!
Par toy ie fléchiray cette belle inhumaine, Elle ſera ſenſible à l’excés de ma peine;	Par toi ici fléchirai cette belle inhumaine, Elle sera sensible à l'excès de ma peine;
Elle ne pourra plus ſerrer que mes liens;	Elle ne pourra plus serrer que mes liens;
Elle n'aura plus d’yeux à ſecher que les miens:	Elle n'aura plus d'yeux à sécher que les miens:
E ii Depuis qu’on a perdu l’obiect de ſes penſees, Les inclinations ſont bien toſt effacees, Et le temps estouffant les regrets plus cuiſants, Nous a bien tost rangez ſouZ les obiects preſens;	E ji Depuis qu'on a perdu l'objet de ses pensées, Les inclinations sont bien tôt effacées, Et le temps étouffant les regrets plus cuisants, Nous a bien tôt rangés sous les objets présents;
Quelque apprehenſion que l’Hyuer face naistre, On s’y reſout pourtant quand l'Esté ceſſe d’eſtre;	Quelque appréhension que l'Hiver face naître, On s'y résout pourtant quand l'Été cesse d'être;
Quand elle n'aura plus à reſpondre qu'à moy, Atevise I’auray plus de moyen;	Quand elle n'aura plus à répondre qu'à moi, Atevise J'aurai plus de moyen;
Mais il vient, ie le voy.	Mais il vient, Seigneur le vois.
Il continuë.	Il continue.
Vous venez partager vne affaire importante, Où vos contentemens paſſeront voſtre attente;	Vous venez partager une affaire importante, Où vos contentements passeront votre attente;
La Couronne d’Hymen va ceindre voſtre front, Mille petits amours en Cythere la font, Et celle de Monarque en Dalmatie eſt preste De vous donner ce titre, & d’orner vostre teſte.	La Couronne d'Hymen va ceindre votre front, Mille petits amours en Cythère la font, Et celle de Monarque en Dalmatie est prête De vous donner ce titre, et d'orner votre tête.
La Reine veut vanger l’affront qu’elle a receu:	La Reine veut venger l'affront qu'elle a reçu:
Mais i’ay contre ce mal vn remede conçeu:	Mais j'ai contre ce mal un remède conçu:
Vous pouuez, de ſes mains faire tomber les armes, Aſſeurer mon repos, & ioüir de ſes charmes:	Vous pouvez, de ses mains faire tomber les armes, Assurer mon repos, et jouir de ses charmes:
Il faut vous diſpoſer à voir ſa Maieſté, Demmmepuuent Eeſmen que i'auois proietté;	Il faut vous disposer à voir sa Majesté, Demmepuent Eesmen que j'avais proietté;
Dire que ne pouuant à mes vœus ſatisfaire, Pour des raiſons d’Estat, & que nous deuons taire.	Dire que ne pouvant à mes vœus satisfaire, Pour des raisons d'État, et que nous devons taire.
En vous, ie croy moy-meſme accepter cét honneur, Si nous deuons encor eſperer ce bon-heur, I'enuerray de mes gens diſpoſer ſon courage, A ne pas reietter cét heureux mariage;	En vous, ie crois moi-même accepter cet honneur, Si nous devons encor espérer ce bonheur, J'enverrai de mes gens disposer son courage, À ne pas rejeter cet heureux mariage;
Icy, pour m'aſſeurer de vostre affection.	Ici, pour m'assurer de votre affection.
Reſponuez, ſeniement par l'execution.	Respondez, séniement par l'exécution.
Monſieur, ALCANDRE.	Monsieur, ALCANDRE.
E OY.	E OY.
que ſeruiront ces repliques friuoles, On peint l'obeiſſance aueugle & ſans paroles, Contre ceux que i’ay pris, tout autre aduis est vain.	que serviront ces répliques frivoles, On peint l'obéissance aveugle et sans paroles, Contre ceux que j'ai pris, tout autre avis est vain.
ALGANDRE.	ÀLGANDRE.
Au moins, qu'en ce depart ie baiſe voſtre main, Apres eſperez, tout de l’entiere puiſſance Que vous donnent ſur moy le Sceptre & la naiſſance.	Au moins, qu'en ce départ avait baise votre main, Après espérez, tout de l'entière puissance Que vous donnent sur moi le Sceptre et la naissance.
