ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
Adieu, je vay chercher vn favorable écueil, Qui deſrobe ma vie à ton farouche orgueil, Ne pouvant obtenir de mon ame rebelle, De te pouvoir haïr, ni de t’eſtre infidelle.	Adieu, je vay chercher un favorable écueil, Qui dérobe ma vie à ton farouche orgueil, Ne pouvant obtenir de mon âme rebelle, De te pouvoir haïr, ni de t'être infidèle.
SCENE V.	SCÈNE V.
MELISSE.	MÉLISSE.
VE mon ſort eſt eſtrange, & que mes triſtes maux En peuvent rencontrer mal-aiſément d’égaux!	VE mon sort est étrange, et que mes tristes maux En peuvent rencontrer mal-aisément d'égaux!
Deux Tyrans oppoſez, deux Megeres cruelles, Me donnent à l’envi des atteintes mortelles, Et d’vn coſté la Haine, & de l’autre l’Amour, Contre moy conſpirez me rongent tour à tour.	Deux Tyrans opposez, deux Mégères cruelles, Me donnent à l'envi des atteintes mortelles, Et d'un côté la Haine, et de l'autre l'Amour, Contre moi conspirés me rongent tour à tour.
Ie mépriſe vn Berger qui me ſuit & m’adore, Ie recherche vn Berger qui me fuit & m’abhorre;	Je méprise un Berger qui me suit et m'adore, Je recherche un Berger qui me fuit et m'abhorre;
L’indifferent me plaiſt, & de l’autre l’ardeur Au lieu de me toucher ne fait qu’aigrir mon cœur;	L'indifférent me plaît, et de l'autre l'ardeur Au lieu de me toucher ne fait qu'aigrir mon cœur;
De grace accordez-les, grands Dieux, s’il eſt poſſible, Que l’vn ceſſe d’aimer, que l’autre ſoit ſenſible:	De grâce accordez-les, grands Dieux, s'il est possible, Que l'un cesse d'aimer, que l'autre soit sensible:
Du ſi j’ay merité ce rude chaſtiment, lar vne prompte mort finiſſez mon tourment.	Du si j'ai mérité ce rude châtiment, lar prompte mort finissez mon tourment.
SCENEVI.	SCENEVI.
Manloos, e auasu	Manloos, e avasu
MELISSE.	MÉLISSE.
n lu rielistaru, orunte, ce, pendant ton abſence.	 nu rielistaru, orunte, ce, pendant ton absence.
Qu’vn eſtrange malheur m’a cauſé de ſouffrance!	Qu'un étrange malheur m'a causé de souffrance!
ORANTE.	ORANTE.
Le ſoin de mes troupeaux m’a toûjours retenu :	Le soin de mes troupeaux m'a toujours retenu :
Mais, Meliſſe, quel eſt ce malheur inconnu?	Mais, Mélisse, quel est ce malheur inconnu?
MELISSE.	MÉLISSE.
Que tu prevoyois bien tantoſt mon aventure, Philene a découvert ma ſecrette bleſſure, Et feignant qu’en la chaſſe Alexis eut peri, Il a vû ma douleur pour ce Berger cheri.	Que tu prévoyais bien tantôt mon aventure, Philène a découvert ma secrète blessure, Et feignant qu'en la chasse Alexis eut péri, Il a vu ma douleur pour ce Berger chéri.
Mais puiſque deſormais il n’eſt point de remede, Pour pouvoir déguiſer le mal qui me poſſede, Orante, oblige moy, va trouver Alexis, Conte-luy mon amour, conte-luy mes ſoucis, Porte-luy ce preſent, & luy dis que ma vie, S’il s’obſtine au refus, ſera bientoſt finie.	Mais puisque désormais il n'est point de remède, Pour pouvoir déguiser le mal qui me possède, Orante, oblige moi, va trouver Alexis, Conte-lui mon amour, contelui mes soucis, Porte-lui ce présent, et lui dis que ma vie, S'il s'obstine au refus, sera bientôt finie.
ORANTE.	ORANTE.
Prenez, prenez plutoſt vous-meſme cêt employ, Vous y reüſſirez ſans doute mieux que moy;	Prenez, prenez plutôt vous-même cet emploi, Vous y réussirez sans doute mieux que moi;
„On n’exprime pas bien vne ardeur violente, „Que le cœur ne ſent pas, & dont l’ame eſt exempte.	„On n'exprime pas bien une ardeur violente, „Que le cœur ne sent pas, et dont l'âme est exempte.
MELISSE.	MÉLISSE.
Eſpargne ma pudeur en cette occaſion, Vne fille ne peut qu’avec confuſion, Découvrir la premiere à l’objet qui l’enflamme, Le deſordre ſecret qu’il cauſe dans ſon ame.	Épargne ma pudeur en cette occasion, Une fille ne peut qu'avec confusion, Découvrir la première à l'objet qui l'enflamme, Le désordre secret qu'il cause dans son âme.
Va-t-en donc le trouver ce trop aimable ingrat, Tu ſçais ſeule ſon foible & l’endroit delicat, C iiij P'ai ou ron peut touener ton eſprit inflexible.	Va-t-en donc le trouver ce trop aimable ingrat, Tu sais seule son faible et l'endroit délicat, Ç iiij à ou ron peut touener ton esprit inflexible.
ORANTE.	ORANTE.
Ie vay donc travailler à le rendre ſenſible.	Je vais donc travailler à le rendre sensible.
MELISSE.	MÉLISSE.
Ie te ſuivray de loin, pour plus viſte ſçavoir, Ol le lueces repond a ce natteur erpoit.	Je te suivrai de loin, pour plus vite sçavoir, Ol le lues répond a ce natteur erpoit.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ALEXIS, PHILENE.	ALEXIS, PHILENE.
A LEXIS.	À LEXIS.
LLE n’eſt plus ici, pour ſe rendre au village, Elle a pris le ſentier le plus prés du rivage:	LLE n'est plus ici, pour se rendre au village, Elle a pris le sentier le plus près du rivage:
aiſé, Vous voyez, cher ami, s’il m’eſt rien malPour rendre ſatisfait voſtre eſprit abuſé:	aisé, Vous voyez, cher ami, s'il m'est rien malPour rendre satisfait votre esprit abusé:
Pleuſt au Ciel qu’en ce lieu la fortune proſpere Nous euſt fait rencontrer voſtre ingrate Bergere;	Plût au Ciel qu'en ce lieu la fortune prospère Nous eût fait rencontrer votre ingrate Bergère;
Par ma façon d’agir vous auriez reconnu, Que d’injuſtes ſoupçons vous eſtes prevenu.	Par ma façon d'agir vous auriez reconnu, Que d'injustes soupçons vous êtes prévenu.
Que Meliſſe pour moy ſemble des plus atteintes, Que pour ma fauſſe mort elle ait fait mille plaintes, Il m’importe fort peu, puiſque de mon coſté I’auray toûjours pour elle autant de dureté:	Que Mélisse pour moi semble des plus atteintes, Que pour ma fausse mort elle ait fait mille plaintes, Il m'importe fort peu, puisque de mon côté J'aurai toujours pour elle autant dé dureté:
„ Qui ſe laiſſe amollir aux ſoûpirs d’vne femme, „ A bien moins de pitié, que de foibleſſe en l’ame;	„ Qui se laisse amollir aux soupirs d'une femme, „ A bien moins de pitié, que de faiblesse en l'âme;
„Le courage conſiſte à mépriſer des pleurs, „Que l’on verſe par art pour émouvoir nos cœurs.	„Le courage consiste à mépriser des pleurs, „Que l'on verse par art pour émouvoir nos cœurs.
Non, non, ne craignez point que pour cette Bergere Ie hazarde vn ami, qui me tient lieu de frere;	Non, non, ne craignez point que pour cette Bergère Je hasarde un ami, qui me tient lieu de frère;
Ie vous la quitte toute, & je ſeray ravi, Quand je verray ſon cœur ſous vos loix aſſervi.	Je vous la quitte toute, et je serai ravi, Quand je verrai son cœur sous vos lois asservi.
PHILENE.	PHILENE.
Ah!	Ah!
genereux ami, quelle reconnoiſſance Peut à tant de bontez ſervir de recompenſe;	généreux ami, quelle reconnaissance Peut à tant de bontés servir de récompense;
Quelles graces te rendre, & pour vn tel bienfait Quels termes ne ſont point au deſſous de l’effet.	Quelles grâces te rendre, et pour un tel bienfait Quels termes ne sont point au dessous de l'effet.
Non, non, tous mes ſoupçons ſont allez en fumée, Ma raiſon a repris ſa force accouſtumée;	Non, non, tous mes soupçons sont allés en fumée, Ma raison a repris sa force accoutumée;
Et je voy clairement, que mon eſprit jaloux Me faiſoit deffier injuſtement de vous:	Et je vois clairement, que mon esprit jaloux Me faisait défier injustement de vous:
Ce que preſentement je vous demande en grace, Eſt que de ce projet la memoire s’enace, Et qu’à jamais Meliſſe ignore, qu’en ces lieux Nous la vinſmes chercher d’vn deſſein furieux.	Ce que présentement je vous demande en grâce, Est que de ce projet la mémoire s'enace, Et qu'à jamais Melisse ignore, qu'en ces lieux Nous la vinsmes chercher d'une dessein furieux.
ALEXIS.	ALEXIS.
Deja vouo repentii, cout mamtenant Philene Vous eſtiez enragé contre cette inhumaine, Et pouſſé, ce ſembloit, d’vn deſpit genereux, Vous deviez l’accabler de reproches honteux.	Déjà vouo repenti, coût mamtenant Philène Vous étiez enragé contre cette inhumaine, Et poussé, ce semblait, d'un dépit généreux, Vous deviez l'accabler de reproches honteux.
PHILENE.	PHILENE.
Alexis;	Alexis;
de l’amour le pouvoir eſt eſtrange, Vn Amant mille fois en vn moment ſe change, Et de ſes paſſions l’impetueux reflus Luy fait par fois haïr ce qu’il aime le plus.	de l'amour le pouvoir est range, Un Amant mille fois en un moment se change, Et de ses passions l'impétueux reflus Lui fait par fois haïr ce qu'il aime le plus.
Au fort de ſa douleur, aveugle il s’imagine Chaſſer facilement l’objet qui le domine, Et par le vain ſecours de ſa foible raiſon, Il croit rompre ſes fers, & briſer ſa priſon:	Au fort de sa douleur, aveugle il s'imagine Chasser facilement l'objet qui le domine, Et par le vain secours de sa faible raison, Il croit rompre ses fers, et briser sa prison:
Mais s’il voit ſeulement les yeux qui le maiſtriſent, Ses frivoles projets tout d’vn coup ſe détruiſent, Et de ſa lâcheté tel eſt le repentir, Qu’il redouble ſes fers pour n’en jamais ſortit.	Mais s'il voit seulement les yeux qui le maîtrisent, Ses frivoles projets tout d'un coup se détruisent, Et de sa lâcheté tel est le repentir, Qu'il redouble ses fers pour n'en jamais sortit.
Adieu, je vay chercher mon ingrate Bergere, Il me faut efforcer d’adoucir ſa cholere, Contre elle eſtrangement je me ſuis emporté, Quand ſon amour pour vous a tantoſt éclaté;	Adieu, je vay chercher mon ingrate Bergère, Il me faut efforcer d'adoucir sa colère, Contre elle étrangement je me suis emporté, Quand son amour pour vous a tantôt éclaté;
ne cruie que cette injure irritant ſon coûrage, Ne l’ait aigrie encor contre moy davantage.	ne cruie que cette injure irritant son courage, Ne l'ait aigrie encor contre moi davantage.
ALEATO.	ÀLEATO.
Que ne pourſuivez-vous voſtre premier projet?	Que ne poursuivez-vous votre premier projet?
PHILENE.	PHILENE.
I’aime juſqu’aux dédains de mon ingrat objet.	J'aime jusqu'aux dédains de mon ingrat objet.
ALEXIS.	ALEXIS.
Ioüiſſez donc en paix d’vne douleur ſi chere, „On ne plaint point vn mal quand il eſt volontaire.	Jouissez donc en paix d'une douleur si chère, „On ne plaint point un mal quand il est volontaire.
PHILENE.	PHILENE.
,Les Prez veulent des eaux, les Abeilles des fleurs, „La Brebis cherche l'herbe, & l’Amour vit de pleurs.	,Les Prez veulent des eaux, les Abeilles des fleurs, „La Brebis cherche l'herbe, et l'Amour vit de pleurs.
SCENE II.	SCÈNE II.
ALEXIS.	ALEXIS.
Bien-heureux celuy, qui dés ſon plus jeune âge OA pû ſe garantir de l’amoureux ſervage, Et qui n’a point receû dans ſon cœur ce poiſon, Qui trouble des mortels la premiere ſaiſon;	Bienheureux celui, qui dès son plus jeune âge ÔA pu se garantir de l'amoureux servage, Et qui n'a point reçu dans son cœur ce poison, Qui trouble des mortels la première saison;
Qui ne s’eſt point laiſſé ſurprendre par les charmes, D’vn objet ſuborneur, ſource de mille allarmes;	Qui ne s'est point laissé surprendre par les charmes, D'un objet suborneur, source de mille alarmes;
Et qui n’a point ſoümis au caprice d’autruy, Vn bonheur qui ne doit dépendre que de luy !	Et qui n'a point soumis au caprice d'autrui, Un bonheur qui ne doit dépendre que de Seigneur !
Il ne ſçait ce que c’eſt que ſoûpirs & que plaintes, Il n’eſt point agité de ſoucis & de craintes, Et des cruels ſoupçons le redoutable eſſein Ne mord point nuit & jour ſon miſerable ſein.	Il ne sait ce que c'est que soupirs et que plaintes, Il n'est point agité de soucis et de craintes, Et des cruels soupçons le redoutable essein Ne mord point nuit et jour son misérable sein.
Il n’eſt point en regrets conſumé par l’abſence, Il n’eſt point de deſirs flatté par la preſence, Et n’a jamais connu les ſouris affectez, Ni les fauſſes faveurs, ni les feintes fiertez.	Il n'est point en regrets consumé par l'absence, Il n'est point de des flatté par la présence, Et n'a jamais connu les souris affectez, Ni les fausses faveurs, ni les feintes fierté.
Il gouſte les plaiſirs où l’âge le conuie, Et voit ainſi couler heureuſement ſa vie.	Il goûte les plaisirs où l'âge le convie, Et voit ainsi couler heureusement sa vie.
Mais qui m’a tant appris des myſteres d’amour, Seroit-ce point poſſible vn preſage qu’vn jour, Ce Dieu vainquant enfin ma longue reſiſtance, M’en feroit malgré moy faire l’experience?	Mais qui m'a tant appris des mystères d'amour, Serait-ce point possible un présage qu'un jour, Ce Dieu vainquant enfin ma longue résistance, M'en ferait malgré moi faire l'expérience?
Mais ma frayeur eſt vaine, & les Cieux & les flots Retourneront plûtoſt dans leur premier chaos.	Mais ma frayeur est vaine, et les Cieux et les flots Retourneront plutôt dans leur premier chaos.
BCEAD III.	BCED III.
ALEXIS, ORANTE.	ALEXIS, ORANTE.
ORANTE.	ORANTE.
11, bon jour, nllekis, jay bierreu de la peine [ne.	11, bon jour, nllekis, jay bierreu de la peine [ne.
TYA vous pouvoir trouver, & j’en ſuis hors d’halei	TIA vous pouvoir trouver, et j'en suis hors d'haley
ALEXIS.	ALEXIS.
Que me voulez-vous donc?	Que me voulez-vous donc?
dites en peu de mots.	dites en peu de mots.
ORANTE.	ORANTE.
Laiſſez-moy me remettre, & prendre du repos.	Laissez-moi me remettre, et prendre du repos.
ALEXIS.	ALEXIS.
Ie ſuis vn peu preſſé, je ne ſçaurois attendre, Orante, vne autre fois je pourray vous entendre.	Je suis un peu pressé, je ne saurais attendre, Orante, une autre fois je pourrai vous entendre.
ORANTE.	ORANTE.
Ecoutez donc enfin:	Écoutez donc enfin:
je vous cherche en tous lieux, Pour vous faire vn preſent & riche & curieux;	je vous cherche en tous lieux, Pour vous faire un présent et riche et curieux;
Vne eſcharpe de ſoye avec la pannettiere,	Une écharpe de soie avec la pannettienne,
IDEICC- Le tout relevé d’or d’vne artiſte maniere;	JDEIC- Le tout relevé d'or d'une artiste manière;
Prenez, c’eſt de la part,	Prenez, c'est de la part,
ALEXIS.	ALEXIS.
De qui ?	De qui ?
ORANTE.	ORANTE.
Vous l’ignorez?	Vous l'ignorez?
ALEXIS.	ALEXIS.
Oüi certes, je l’ignore,	Oui certes, je l'ignore,
ORANTE.	ORANTE.
Hé bien vous le ſçaurez, Lors que vous l’aurez pris;	Hé bien vous le saurez, Lors que vous l'aurez pris;
tenez, voyez l’ouvrage.	tenez, voyez l'ouvrage.
ALEXIS.	ALEXIS.
Ie ne voy rien avant qu’en ſçavoir davantage;	Je ne vois rien avant qu'en savoir davantage;
Dites qui me le donne, Orante, où je m’en vas.	Dites qui me le donne, Orante, où je m'en vas.
e n ll le lDa Vne Bergere aimable, & brillante d’appas, Meliſſe,	Je nô ll le lDa Une Bergère aimable, et brillante d'appas, Melisse,
ALEXTS.	ALEXTS.
A moy, Meliſſe, & qu’eſt-ce qu’elle eſpere Me faiſant ce preſent?	À moi, Mélisse, et qu'est-ce qu'elle espère Me faisant ce présent?
& ne inna l da C’eſt que cette Bergere, Languiſſante d’amour, mourant ſous voſtre loy, Me fait vous apporter ce gage de ſa foy.	et ne inna l a L'est que cette Bergère, Languissante d'amour, mourant sous votre loi, Me fait vous apporter ce gage de sa foi.
ALEXIS.	ALEXIS.
Reportez vos preſens, & dites à Meliſſe, Qu’elle addreſſe ſes dons en pays plus propice;	Reportez vos présents, et dites à Melisse, Qu'elle adresse ses dons en pays plus propice;
Mon humeur n’eſtant pas inconnuë en ces lieux, Vous deviez toutes deux raiſonner vn peu mieux.	Mon humeur n'étant pas inconnue en ces lieux, Vous deviez toutes deux raisonner un peu mieux.
ORANTE.	ORANTE.
Depuis quand les Bergers ont-ils tant de rudeſſes, Pour celles qu’autrefois ils nõmoiẽt leurs Maiſtreſſes?	Depuis quand les Bergers ont-ils tant de rudesses, Pour celles qu'autrefois ils nõmoiẽt leurs Maîtresses?
