M BimN	M MimN
JUe demandez-vous, Monſieur?	JUe demandez-vous, Monsieur?
CLEANTE.	CLÉANTE.
Ce que je demande?	Ce que je demande?
TOINETTE.	TOINETTE.
Ah, ah, c’eſt vous!	Ah, ah, c'est vous!
quelle ſurpriſe!	quelle surprise!
Que ves nez-vous faire ceans?	Que vez nez-vous faire céans?
CLENRTE Sçavoir ma Deſtinée;	CLENRTE Savoir ma Destinée;
parler à l’aimable Angelique;	parler à l'aimable Angélique;
conſulter les ſentimens de ſon cœur, & luy demander ſes reſolutions ſur ce mariage fatal, dont on m’a averty.	consulter les sentiments de son cœur, et lui demander ses résolutions sur ce mariage fatal, dont on m'a averti.
TOINETTE.	TOINETTE.
Oüy;	Oui;
mais on ne parle pas comme cela de but on blanc à Angelique.	mais on ne parle pas comme cela de but on blanc à Angélique.
Il y faut des myſteres, & I'on vous a dit l’étroite garde où elle eſt retenuë.	Il y faut des mystères, et J'on vous a dit l'étroite garde où elle est retenue.
Qu’on ne la laiſſe ny ſortir, ny parler à perſonne, & que ce ne fut que la curioſité d’une vieille Tante qui nous fit accorder la liberté d’aller à cette Comedie, qui donna lieu à la naiſſance de voſtre paſſion, & nous nous ſommes bien gardez de parler de cette avanture.	Qu'on ne la laisse ici sortir, Seigneur parler à personne, et que ce ne fut que la curiosité d'une vieille Tante qui nous fit accorder la liberté d'aller à cette Comédie, qui donna lieu à la naissance de votre passion, et nous nous sommes bien gardez de parler de cette aventure.
CLEANTE.	CLÉANTE.
Auſſi ne viens-je pas icy comme Cleante, & ſous l’apparence de ſon Amant;	Aussi ne viens-je pas ici comme Cléante, et sous l'apparence de son Amant;
mais comme amy de ſon Maiſtre de Muſique, dont j’ay obtenu le pouvoir de dire qu’il m’envoye à ſa place.	mais comme ami de son Maître de Musique, dont j'ai obtenu le pouvoir de dire qu'il m'envoie à sa place.
A d AnesA A do Voicy ſon pere.	À d AnesA À do Voici son père.
Retirez-vous un peu, & me laiſſez luy dire que vous eſtes-là.	Retirez-vous un peu, et me laissez-même dire que vous êtes-là.
SCENDPI.	SCENDI.
ARGAN, TOINETTE, CLEANTE.	ARGAN, TOINETTE, CLEANTE.
ARGAN.	ARGAN.
Onſieur Purgon m’a dit de me promener *va le matin duns ma Chuilibre doure allées & venuës;	Onsieur Purgon m'a dit de me promener *va le matin duns ma Chuilibre dou allées et venues;
mais j’ay oublié à luy demander ſi c’eſt en long ou en large.	mais j'ai oublié à lui demander si c'est en long ou en large.
TOINETTE.	TOINETTE.
Monſieur, voila un.	Monsieur, voilà un.
ARGAN.	ARGAN.
Parle bas, Pendarde, tu viens m’ébranler tout le cerveau, & tu ne ſonges pas qu’il ne faut point parler ſi haut à des malades.	Parle bas, Pendarde, tu viens m'ébranler tout le cerveau, et tu ne songes pas qu'il ne faut point parler si haut à des malades.
TOINETTE.	TOINETTE.
Je voulois vous dire, Monſieur.	Je voulais vous dire, Monsieur.
ARGAN.	ARGAN.
parle bas, te dis-je.	parle bas, te dis-je.
Monſieur.	Monsieur.
OINETTE.	ÔINETTE.
Eh?	Eh?
ARGAN.	ARGAN.
TOINETTE.	TOINETTE.
Je vous dis que.	Je vous dis que.
ARGAN.	ARGAN.
Qu'eſt-ce que tu dis?	Qu'est-ce que tu dis?
TOINITTE.	TOINITTE.
Je dis que voila un homme qui veut parlez à vous.	Je dis que voilà un homme qui veut parlez à vous.
ARGAN.	ARGAN.
l vienne.	l vienne.
TOINETTE.	TOINETTE.
Ne parlez pas ſi haut, de peur d’ébranler le cerveau de Monſieur.	Ne parlez pas si haut, de peur d'ébranler le cerveau de Monsieur.
CLEANTE.	CLÉANTE.
Monſieur, je ſuis ravy de vous trouver debout, & de voir que vous vous portez mieux.	Monsieur, je suis ravi de vous trouver debout, et de voir que vous vous portez mieux.
TOINETTE.	TOINETTE.
comient quir le porte meuz!	comient quir le porte meuz!
cela eſt faun, Monſieur ſe porte toûjours mal.	cela est faun, Monsieur se porte toujours mal.
CLEANTE.	CLÉANTE.
J’ay oüy dire que Monſieur eſtoit mieux, & je luy trouve bon viſage.	J'ai ouï dire que Monsieur était mieux, et je lui trouve bon visage.
TOINETTE.	TOINETTE.
Que voulez-vous dire avec voſtre bon viſage;	Que voulez-vous dire avec votre bon visage;
Monſieur l’a fort mauvais, & ce ſont des impertinens qui vous ont dit qu’il eſtoit mieux, il ne s’eſt jamais ſi mal porté.	Monsieur l'a fort mauvais, et ce sont des impertinents qui vous ont dit qu'il était mieux, il ne s'est jamais si mal porté.
E iij	 Ejà
ARGAN.	ARGAN.
Elle a raiſon.	Elle a raison.
TOINETTE.	TOINETTE.
Il marche, dort, mange & boit tout comme lts eutres;	Il marche, dort, mange et boit tout comme lts eutres;
mais cela n’empeſche pas qu’il ne ſoit fort malade.	mais cela n'empêche pas qu'il ne soit fort malade.
nRell lo Cela eſt vray.	nRell ô Cela est vrai.
CLEANTE.	CLÉANTE.
Monſieur, j’en ſuis au deſeſpoir.	Monsieur, j'en suis au désespoir.
Je viens de la part du Maiſtre à chanter de Mademoiſelle voſtre Fille;	Je viens de la part du Maître à chanter de Mademoiselle votre Fille;
Il s’eſt veu obligé d’aller à la campagne pour quelques jours;	Il s'est vu obligé d'aller à la campagne pour quelques jours;
& comme ſon amy mtime, n'menvoye à la place pour luy continuer ſes leçons, de peur qu’en les interrompant, elle ne vinſt à oublier ce qu’elle Içait deja.	et comme son ami même, n'menvoie à la place pour lui continuer ses leçons, de peur qu'en les interrompant, elle ne vinst à oublier ce qu'elle Içait déjà.
ARGAN.	ARGAN.
Fort bien.	Fort bien.
Appellez Angelique.	Appelez Angélique.
TOINETTE.	TOINETTE.
jecioy, Momneur;	jeciais, Momneur;
qu’ir fera mieux de mener Monſieur à ſa Chambre.	qu'ir fera mieux de mener Monsieur à sa Chambre.
ARGAN.	ARGAN.
d Non, faites-la venir.	d Non, faites-la venir.
TOINETTE.	TOINETTE.
Il ne pourra luy donner leçon comme il faut, s’ils ne ſont en particulier.	Il ne pourra lui donner leçon comme il faut, s'ils ne sont en particulier.
olllet, Afet.	olllet, Afet.
ARGAN.	ARGAN.
TOINETTE.	TOINETTE.
Monfieur, cela ne fera que vous étourdir, & il ne faut rien pour vous émouvoir en l’eſtat où vous eſtes.	Monfieur, cela ne fera que vous étourdir, et il ne faut rien pour vous émouvoir en l'état où vous êtes.
ARGAN.	ARGAN.
Point, point, j’aime la Muſique, & je ſeray bienaiſe de.	Point, point, j'aime la Musique, et je serai bienaise de.
Ah l’a voicy.	Ah l'a voici.
Allez-vous-en voir, vous,	Allez-vous-en voir, vous,
SCENE III.	SCÈNE III.
lſcome, ANTOLENUE, CLEANTE.	lscome, ANTOLENUE, CLEANTE.
ARGAN.	ARGAN.
J'Enez, ma Fille, voſtre Maiſtre de MuſiV que eſt allé aux champs, & voila une pertomeqju frentoyeæ ſa place pour vous montrer.	J'Enez, ma Fille, votre Maistre de MusiU que est allé aux champs, et voilà une pertomeqju frentoieæ sa place pour vous montrer.
An cier:	An cier:
ANGELIQUE.	ANGELIQUE.
ARGAN.	ARGAN.
Qu’eſt-ce?	Qu'est-ce?
D’où vient cette ſurpriſe?	D'où vient cette surprise?
C’eſt.	C'est.
ANGELIQUE.	ANGELIQUE.
ARGAN.	ARGAN.
Qoy:	Qoi:
qui vous emeur de la ſorte?	qui vous emeur de la sorte?
ANGELIQUE.	ANGELIQUE.
C’eſt, mon Pere, une avanture lurprenante qui ſe rencontre icy.	C'est, mon Père, une aventure lurprenante qui se rencontre ici.
Comment?	Comment?
ARGAN.	ARGAN.
ANGELIQUE.	ANGELIQUE.
J’ay ſongé cette nuit que j’eſtois dans le plus grand embarras du monde, & qu’une perſonne faite tout comme Monſieur s'eſt preſentée à moy;	J'ai songé cette nuit que j'étais dans le plus grand embarras du monde, et qu'une personne faite tout comme Monsieur s'est présentée à moi;
à qui j’ay demandé ſecours, & qui m’eſt venu tirer de la peine où j’eſtois, & ma ſurpriſe a eſté grande de voir inopinément en arrivant icy, ce que j’ay eu dans l’idée toute la nuit.	à qui j'ai demandé secours, et qui m'est venu tirer de la peine où j'étais, et ma surprise a été grande de voir inopinément en arrivant ici, ce que j'ai eu dans l'idée toute la nuit.
CLEANTE.	CLÉANTE.
Ce n’eſt pas eſtre mal-heureux que d’occuper voſtre penſée ſoit en dormant ſoit en veillant, & mon bon-heur ſeroit grand ſans doute, ſi vous eſtiez dans quelque peine dont vous me jugeaſſiez digne de vous tirer;	Ce n'est pas être malheureux que d'occuper votre pensée soit en dormant soit en veillant, et mon bonheur serait grand sans doute, si vous étiez dans quelque peine dont vous me jugeassiez digne de vous tirer;
& il n’y a rien que je ne nlle pour.	et il n'y a rien que je ne nèlle pour.
SCENE IV.	SCÈNE IV.
POAŒTIE, CEDHRIDS MNGELIQUE, ARGAN.	POAATIE, CÉDHRIDS MNGELIQUE, ARGAN.
TOINETTE.	TOINETTE.
A foy, Monſieur, je ſuis pour vous maur Mtenant, & je me dedis de tout ce que je diſois hier.	À foi, Monsieur, je suis pour vous maur Enant, et je me dédis de tout ce que je disais hier.
Voicy Monſieur Dyafoirus le Pere, & Monſieur Dyafoirus le Fils qui viennent vous rendre viſite.	Voici Monsieur Dyafoirus le Père, et Monsieur Dyafoirus le Fils qui viennent vous rendre visite.
Que vous ſerez bien Engendré!	Que vous serez bien Engendré!
Vous allez voir le garçon le mieux rait du monde, & le plus ſpirituel;	Vous allez voir le garçon le mieux rait du monde, et le plus spirituel;
Il n’a dit que deux mots qui m’ont ravie, & voſtre Fille va eſtre charmée de luy.	Il n'a dit que deux mots qui m'ont ravie, et votre Fille va être charmée de jours.
ARGAN.	ARGAN.
Ne vous en allez point, Monſieur;	Ne vous en allez point, Monsieur;
c’eſt que je marie ma Fille, & voila qu’on luy amene ſon pretendu mary, qu’elle n’a point encore veu.	c'est que je marie ma Fille, et voilà qu'on lui amène son prétendu mari, qu'elle n'a point encore vu.
CLEANTE.	CLÉANTE.
C’eſt m’honorer beaucoup, Monſieur, de vouloir que je ſois témoin d’une entreveuë ſi agreable.	C'est m'honorer beaucoup, Monsieur, de vouloir que je sois témoin d'une entrevue si agréable.
ARGAN.	ARGAN.
C’eſt le Fils d’un habile Medecin, & Ie mariage le fera dans quatre jours.	C'est le Fils d'un habile Médecin, et Je mariage le fera dans quatre jours.
Fort bien.	Fort bien.
CLEANTE.	CLÉANTE.
ARGAN.	ARGAN.
Mandez-le un peu à ſon Maiſtre de Muſique, afin qu’il ſe trouve à la Nopce.	Mandez-le un peu à son Maître de Musique, afin qu'il se trouve à la Noce.
TOHHARTE.	TOHHARTE.
Je n’y manqueray pas.	Je n'y manquerai pas.
ARGAN.	ARGAN.
Je vous y prie auſſi.	Je vous y prie aussi.
CLEANTE.	CLÉANTE.
Vous me faites beaucoup d’honneur.	Vous me faites beaucoup d'honneur.
TOINETTE.	TOINETTE.
Allons qu’on ſe range, les voicy.	Allons qu'on se range, les voici.
SCENE V.	SCÈNE V.
M.	M.
DYAFOIRUS, THOMAS DYAFOIRUS, ARGAN, ANGELIQUE, CLEANTE, TOINETTE.	DYAFOIRUS, THOMAS DYAFOIRUS, ARGAN, ANGELIQUE, CLEANTE, TOINETTE.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Nous ſommes dans toutes nos viſites pour porter ſecours aux malades, & non pour leur porter de l’incommodité.	Nous sommes dans toutes nos visites pour porter secours aux malades, et non pour leur porter de l'incommodité.
ARGAN.	ARGAN.
Je reçois, Monſieur.	Je reçois, Monsieur.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Nous venons icy, Monſieur.	Nous venons ici, Monsieur.
IRGAN.	JRGAN.
Avec beaucoup de joye,	Avec beaucoup de joie,
M.	M.
DYATGIRUS.	DYATGIRUS.
Mon Fils Thomas & moy,	Mon Fils Thomas et moi,
ARGAN.	ARGAN.
L’honneur que vous me faites,	L'honneur que vous me faites,
M.	M.
DYAFOIRUS.	DYAFOIRUS.
vouu centeiguel ionenr,	vouu centeiguel ionenr,
ARGAN.	ARGAN.
Et j’aurois ſouhaité	Et j'aurais souhaité
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Le raviſſement où nous ſommes,	Le ravissement où nous sommes,
ARGAN.	ARGAN.
De pouvoir aller chez vous	De pouvoir aller chez vous
M DYAFOIRUS.	M MYAFOIRUS.
De la grace que vous nous faites	De la grâce que vous nous faites
ARGAN:	ARGAN:
Pour vous en aſſeurer	Pour vous en assurer
M.	M.
DTAPOIRUS.	DTAPOIRUS.
De vouionr citarnoudrecevoir,	De vouion citarnoudrecevoir,
ARGAN.	ARGAN.
Mais vous Içaver Moimeur,	Mais vous Içaver Moimeur,
M.	M.
DYAFOIRUS:	DYAFOIRUS:
Dans l’honneur, Monſieur,	Dans l'honneur, Monsieur,
ARGAN.	ARGAN.
Ce que c’eſt qu’un pauvre malade	Ce que c'est qu'un pauvre malade
M.	M.
DYAFOIRUS.	DYAFOIRUS.
De voſtre alliance.	De votre alliance.
ARGAN.	ARGAN.
Qui ne peut faire autre choſeEt vous aneurer,	Qui ne peut faire autre choseaut vous aneurer,
ARGAN.	ARGAN.
Que de vous dire icy	Que de vous dire ici
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Que dauo les choſes qui dépendront de noſtre meſtier.	Que davo les choses qui dépendront de notre métier.
ARGAIC.	ARGAIC.
Qu’il cherchera toutes les occaſions	Qu'il cherchera toutes les occasions
M.	M.
DYAFOIRUS.	DYAFOIRUS.
De meſme qu’en toute autre	De même qu'en toute autre
ARGAN.	ARGAN.
me rous luire conhontre momreul ,	me rous luire conhontre momreul ,
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Nous ferons toujours prents, Monneut,	Nous ferons toujours prents, Monnut,
ARGAN.	ARGAN.
Qu’il eſt tout à voſtre ſervice	Qu'il est tout à votre service
M.	M.
DYAFOIRUS.	DYAFOIRUS.
A vous témoigner noſtre zele.	À vous témoigner notre zèle.
Allons, Thomas.	Allons, Thomas.
avancez, lartes vos compirmnens.	avancez, lartes vos compirmnents.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
N’eſt-ce pas par le Pere qu’Il convient commencer.	N'est-ce pas par le Père qu'Il convient commencer.
oüy.	oui.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Monſieur, je viens ſalüer, reconnoiſtre, cherir, & reverer en vous un ſecond Pere:	Monsieur, je viens saluer, reconnaître, chérir, et révérer en vous un second Père:
mais un ſecond Pere auquel j’oſe dire que je me trouve plus redevable qu’au premier.	mais un second Père auquel j'ose dire que je me trouve plus redevable qu'au premier.
Le premier m’a engendré;	Le premier m'a engendré;
mais vous m’avez choiſi.	mais vous m'avez choisi.
Il m’a receu par neceſſité;	Il m'a reçu par nécessité;
mais vous m’avez accepté par grace.	mais vous m'avez accepté par grâce.
Ce que je tiens de luy eſt un ouvrage de lon corps;	Ce que je tiens de belle est un ouvrage de lon corps;
mais ce que je tiens de vous eſt un ouvrage de voſtre voionté;	mais ce que je tiens de vous est un ouvrage de votre voionté;
Et d’autant plus que Jes facultez Spirituelles ſont au deſſus des Corporelles, d’autant plus je vous dois, & d’autant plus je tiens precieuſe cette future Filiation, dont je viens aujourd’huy vous rendre par avance les tres-humbles, & tres-reſpectueux hom	Et d'autant plus que Jes facultés Spirituelles sont au dessus des Corporelles, d'autant plus je vous dois, et d'autant plus je tiens précieuse cette future Filiation, dont je viens aujourd'hui vous rendre par ance les très-humbles, et très-respectueux hom
mages.	mages.
TOINETTE.	TOINETTE.
Vive les Colleges d'ou P'on ſort ſi habile homme.	Vive les Collèges d'ou P'on sort si habile homme.
T.	T.
DYAFOTRUS.	DYAFOTRUS.
Cela a-t-il bien eſté, mon Pere?	Cela a-t-il bien été, mon Père?
Optime.	Optime.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
ARGAN.	ARGAN.
Allons, ſalüez Monſieur.	Allons, saluerez Monsieur.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Baiſeray-je;	Baiserai-je;
M.	M.
DYAFOIRUS Ouy, ouy.	DYAFOIRUS Oui, oui.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Madame, c’eſt avec juſtice que le Ciel vous a concedé le nom de belle-Mere, puiſque l’on.	Madame, c'est avec justice que le Ciel vous a concédé le nom de belle-Mère, puisque l'on.
ARGAN.	ARGAN.
Ce n’eſt pas ma Femme, c’eſt ma Fille à qui vous purlen	Ce n'est pas ma Femme, c'est ma Fille à qui vous purlen
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Où donc eſt-elle?	Où donc est-elle?
ARGAN.	ARGAN.
Elle va venir.	Elle va venir.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
inttenderay je, mon rere, qu’elle ſoit venuë?	intenderai -je, mon rere, qu'elle soit venue?
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Faites toûjours le compliment de Mademoiſelle.	Faites toujours le compliment de Mademoiselle.
T.	T.
DYA	DYA
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Mademoiſelle, ne plus ne moins que la Statuë de Memnon rendoit un ſon harmonieux lors qu’elle venoit à eſtre éclairée des rayons du Soleil, tout de meſme me ſens-je animé d’un doux tranſport à l’apartion du Soleil de vos beautez;	Mademoiselle, ne plus ne moins que la Statue de Memnon rendait un son harmonieux lors qu'elle venait à être éclairée des rayons du Soleil, tout de même me sens-je animé d'un doux transport à l'appartion du Soleil de vos beautés;
& comme les Naturaliſtes remarquent que la Fleur nommée Heliotrope tournle ſans ceſſe vers cét Aſtre du jour, auſſi mon cœur d’oreſ-en-avant tournera-t-il toûjours vers les Aſtres reſplandiſſans de vos yeux adorables, ainſi que vers ſon pole unique.	et comme les Naturalistes remarquent que la Fleur nommée Héliotrope tournle sans cesse vers cet Astre du jour, aussi mon cœur d'ores-en-avant tournera-t-il toujours vers les Astres resplandissants de vos yeux adorables, ainsi que vers son pôle unique.
Souffrez donc, Mademoiſelle, que j’apande aujourd’huy à l’Autel de vos charmes l’offrande de ce cœur, qui ne reſpire, & n’ambitionne autre gloire que l’eſtre toute ſa vie, Mademoiſelle, voſtre tres-humble, tres-obeïſſant, & tres-fidelle ſerviteur, & Mary.	Souffrez donc, Mademoiselle, que j'apande aujourd'hui à l'Autel de vos charmes l'offrande de ce cœur, qui ne respire, et n'ambitionne autre gloire que l'être toute sa vie, Mademoiselle, votre très-humble, très-obeïssant, et très-fidelle serviteur, et Mari.
