LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
THIRSIS, Mal-heureuſe, que dis-tu?	THIRSIS, Malheureuse, que dis-tu?
i’armerois beaucoup mieux manquer de bon-heur, que de reſpect.	j'armerais beaucoup mieux manquer de bonheur, que de respect.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
CHORILAS, ARONTE, THIRSIS, d MralDe	CHORILAS, ARONTE, THIRSIS, MralDe
HORILAS, Thirſis, voila cét homme excellent, le deuin Aronte, parle luy franchement, & mets ton cœur entre ſes mains, il y découurira la verité que nos Preſtres cherchent inutilement aux entrailles des victimes.	HORILAS, Thirsis, voilà cet homme excellent, le devin Aronte, parle jour franchement, et mets ton cœur entre ses mains, il y découvrira la vérité que nos Prêtres cherchent inutilement aux entrailles des victimes.
THIRSIS, Il eſt queſtion de ſçauoir l'iſſuë de l’embraſemẽt que ie ſouffre, & ſi celle qui me le cauſe en aura à l’auenir quelque pitié.	THIRSIS, Il est question de savoir l'issue de l'embrasement que ici souffre, et si celle qui me le cause en aura à l'avenir quelque pitié.
ARONTE, Ie t’en demande l’origine.	ARONTE, Je t'en demande l'origine.
THIRSIS, Il vient de deux Aſtres jumeaux, qu’on prendroit pour Caſtor & Pollux, n’eſtoit vn obſtacle qu’il y a, c’eſt que leur mere n'eſt pas laide.	THIRSIS, Il vient de deux Astres jumeaux, qu'on prendrait pour Castor et Pollux, n'était un obstacle qu'il y a, c'est que leur mère n'est pas laide.
Ce ſont les beaux yeux d'Vranie qui me brulent de la ſorte, qu'en arriuera-t’il?	Ce sont les beaux yeux d'Unanie qui me brûlent de la sorte, qu'en arrivera-t-il?
ARONTE, Il ne faut pas demander ſi le tourment que tu endures eſt tres-cuiſant, & tres-plein de violence.	ARONTE, Il ne faut pas demander si le tourment que tu endures est très-cuisant, et trèsplein de violence.
THIRSIS, Phlegeton qui roule aux enfers des torrens de flamme, eſt la ſeule comparaiſon de celle qui court dans mes veines.	THIRSIS, Phlégeton qui roule aux enfers des torrents de flamme, est la seule comparaison de celle qui court dans mes veines.
Tellement que mon ame eſt pluſtoſt logée dans vn bûcher allumé, que dans le corps d’vn homme.	Tellement que mon âme est plustost logée dans un bûcher allumé, que dans le corps d'un homme.
E iiij ARONTE, Ceſſe de t’en émerueiller;	 iiij ARONTE, Cesse de t'en émerveiller;
la meſme ardeur a fondu Iupiter en pluye d’or pour la fille d’Acriſie.	la même ardeur a fondu Iupiter en pluie d'or pour la fille d'Acrisie.
Les vagues de la mer n’en ont pû garentir Neptune.	Les vagues de la mer n'en ont pu garentir Neptune.
Vulcain, qui eſt le Dieu du feu, & Pluton qui ordonne ſon ſupplice, ont paſſé par là.	Vulcain, qui est le Dieu du feu, et Pluton qui ordonne son supplice, ont passé par là.
THIRSIS, Que deuiendra donc mon cœur, qui eſt iour & nuict dans ceſte fournaiſe?	THIRSIS, Que deviendra donc mon cœur, qui est jour et nuit dans cette fournaise?
ARONTE, Ce que deuindrent Deiphon & Achille, lors que Ceres mit it preriner, & Thetis le ſecond, deſſous la braiſe, afin de leur oſter tout ce qu'ils auolent de Morcen THIRSIS, Et à quoy ſe reſoudra Vranie?	ARONTE, Ce que devindrent Diphon et Achille, lors que Ceres mit it présiner, et Thétis le second, dessous la braise, afin de leur ôter tout ce qu'ils avolent de Morcen THIRS, Et à quoi se résoudra Vranie?
ARONTE, La beauté & la chaſteté ſe contrarient en elle;	ARONTE, La beauté et la chasteté se contrarient en elle;
la beauté veut qu’elle aime, & la chaſteté veut qu’elle n’aime pas.	la beauté veut qu'elle aime, et la chasteté veut qu'elle n'aime pas.
Ces deux diuines perfections ſe combattent, comme les Dieux ſe combattoient à la guerre de Troye.	Ces deux divines perfections se combattent, comme les Dieux se combattaient à la guerre de Troie.
Auſſi l’iſſuë en ſera preſque ſemblable:	Aussi l'issue en sera presque semblable:
c’eſt à dire;	c'est -à -dire;
cela finira par vn beau feu qui y ſera mis de la main d’Amour.	cela finira par un beau feu qui y sera mis de la main d'Amour.
THIRSIS, Aronte, ie prie les Dieux & ma Maiſtreſſe qu’ils t’en vueillent bien oüyr.	THIRSIS, Aronte, on prie les Dieux et ma Maîtresse qu'ils t'en veuillent bien ouïr.
Cependant ie ſuis encore trop heureux de reſpirer l’air qu’elle reſpire, de pouuoir reuerer ſon ombre & baiſer les traces de ſes pas.	Cependant esprit suis encore trop heureux de respirer l'air qu'elle respire, de pendant révérer son ombre et baiser les traces de ses pas.
DRIOPE, Apres tout il eſt euident que ce bon homme a atteint l’aage de reſuer, & il n’eſt pas certain qu’il ait le don de predire, joint qu’il y a vn ombrage de mauuais augure en cecy.	DRIOPE, Après tout il est évident que ce bon homme a atteint l'âge de rêver, et il n'est pas certain qu'il ait le don de prédire, joint qu'il y a un ombrage de mauvais augure en ceci.
Deuant hyer Vranie chantoit ſur ſon chalumeau la fuite de Daphné & la fierté de Diane;	Devant hier Vranie chantait sur son chalumeau la fuite de Daphné et la fierté de Diane;
vn Roſſignal piqué de gloire s’efforça tellement de le renuier par deſſus elle, qu’en fin il tomba tout haletant à ſes pieds, peu apres il rẽdit l’ame & la ialouſie, & ta Maiſtreſſe au lieu de le regretter monſtra d’en eſtre fort contente.	Elle Rossignal piqué de gloire s'efforça tellement de le renvier par -dessus elle, qu'en fin il tomba tout haletant à ses pieds, peu après il ramdit l'âme et la jalousie, et ta Maîtresse au lieu de le regretter montra d'en être fort contente.
Nous auons veu auiourd’huy ta diſpute auec elle, puis apres nous auons veu ton euanouiſſement, j’apprehende le reſte.	Nous avons vu aujourd'hui ta dispute avec elle, puis après nous avons vu ton évanouissement, j'appréhende le reste.
THIRSIS, Quoy qu’il en ſoit ie n’atendray plus gueres, ſoit mon remede, ſoit ma mort.	THIRSIS, Quoi qu'il en soit ici n'attendrai plus guère, soit mon remède, soit ma mort.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
INTERMEDE.	INTERMÈDE.
DRIOPE ET SIREINE.	DRIOPE ET SIREINE.
RIOPE, A qui en veut SireiSIREINE, Iuſtement à toy, où eſtce que i’ay enuoyé?	RIOPE, À qui en veut SireiSIREINE, Justement à toi, où estce que j'ai envoyé?
DRIOPE, Où le porteur m’a dit qu’il le falloit mettre, ie l’ay dans le ſein.	DRIOPE, Où le porteur m'a dit qu'il le fallait mettre, toujours l'ai dans le sein.
SIREI.	SIREI.
Et que dit on de nouueau?	Et que dit on de nouveau?
DRIOPE, On dit que tu n’es pas trop mal auec Amarille.	DRIOPE, On dit que tu n'es pas trop mal avec Amarille.
SIREINE, Médiſante.	SIREINE, Médisante.
DRIOPE, Diſſimulé.	DRIOPE, Dissimulé.
SIREINE, Artificieuſe.	SIREINE, Artificieuse.
DRIOPE, Inconſtant.	DRIOPE, Inconstant.
Corine, Licoris, Altée & depuis peu taNaïade, SIREINE, Hecate, Alecton, Tiſiphone, coniurez toutes trois ma ruine, ſoudain que ie deſiſteray d’eſtre à Driope ce que ie luy ſuis.	Corine, Licoris, Altée et depuis peu taNaïade, SIREINE, Hecate, Alecton, Tisiphone, conjurés toutes trois ma ruine, soudain que Seigneur désisterai d'être à Driope ce que ie tu suis.
cõnoiſſent tes legeretez.	cõnoissent tes légèretés.
C’eſt pourquoyie ne ſeray pas la premiere que tu auras changée.	C'est pourquoiie ne serai pas la première que tu auras changée.
DRIOPE, Poillble que s’en eſt deſia fait.	DRIOPE, Poillble que s'en est déjà fait.
SIREINE, Les ſoupçons ne ſont pas des preuues.	SIREINE, Les soupçons ne sont pas des preuves.
Amarille n’auroit garde de me preferer à Menalque, que chacun luy deſtine pour mary, outre la voix publique, il a au prix de moy des richeſſes infinies, à l’entrée de l’Automne il voit des fleuues de vin ſuſpendus en l’air par les eſtançons de ſes vignes, en tout temps il void courir par ſes plaines des fleuues de lait, quand ſes troupeaux y vont paiſtre, depuis le mont Olimpe iuſques aupres de Pamiſe, le PrinDRIOPE, Sans mentir ie te ſuis trop redeuable, de riche que tu es, tu te fais pauure pour moy:	Amarille n'aurait garde de me préférer à Ménalque, que chacun même destine pour mari, outre la voix publique, il a au prix de moi des richesses infinies, à l'entrée de l'Automne il voit des fleuves de vin suspendus en l'air par les étançons de ses vignes, en tout temps il void courir par ses plaines des fleuves de lait, quand ses troupeaux y vont paître, depuis le mont Olimpe jusques auprès de Pamise, le PrinDRIOPE, Quand mentir ie te suis trop redeuable, de riche que tu es, tu te fais pauure pour moi;
mais m’alleguer le contraire de ce que ie ſçay, c’eſt me prouuer le contraire de ce qu’on me dit, va leger va eſprit changeant.	mais m'alléguer le contraire de ce que Dieu sais, c'est me prouver le contraire de ce qu'on me dit, va léger va esprit changeant.
Ie le publieray par tout, tu n’as qu’vne ame de jonc & d’oſier dans vn corps d’homme, ta teſte eſt vne voliere & ton cœur en eſt vne autre, tes penſées & tes ſentimens en ſont les oyſeaux qui ne temps n’eſt verd ny l’Eſté n’eſt blõd que pour luy.	Je le publierai par tout, tu n'as qu'une âme de jonc et d'osier dans un corps d'homme, ta tête est une volière et ton cœur en est un autre, tes pensées et tes sentiments en sont les oiseaux qui ne temps n'est verds ni blEsté n'est blomb que pour lui.
De moy, ce n’eſt pas le meſme, il s’en faut beaucoup.	De moi, ce n'est pas le même, il s'en faut beaucoup.
Vne demy-lieuë d’aubeſpine cloſt l’heritage de mes Peres, hors de la gaiſie, enſemble quelques droits nobles, & quelques pieds d’arbres qui jettent la reſine ou pour mieux dire qui pleurent de la compaſſion qu’ils ont de ma pauureté.	Une demi-lieue d'aubépine clôt l'héritage de mes Pères, hors de la gaisie, ensemble quelques droits nobles, et quelques pieds d'arbres qui jettent la rés ou pour mieux dire qui pleurent de la compassion qu'ils ont de ma pauvreté.
cherchent que leur liberté.	cherchent que leur liberté.
Dés que tu viendras à la Chapelle, ie diray à Helenor qu’il t’enuoye offrir tes prieres à la Deeſſe Giroüette, c’eſt ta deuotiõ, dés que tu parleras de contracter auec quelqu’vn ie luy dedemanderay s’il veut paſſer cõtract auec les ondes de la mer & le ſable mouuant, ce ſont tes ſemblables:	Dès que tu viendras à la Chapelle, une dirai à Hélenor qu'il t'envoie offrir tes prières à la Déesse Giroüette, c'est ta dévotion, dès que tu parleras de contracter avec quelqu'être ie luy dedemanderai s'il veut passer cõtract avec les ondes de la mer et le sable mouvant, ce sont tes semblables:
dés que tu penſerasaborder quelque Bergere, ie ſçauray d’elle ſi elle a reſolu d’eſtre vne ſeconde Oritie, pour ſe laiſſer prendre à vn vent, & encore qui n’a d’amour que la ieuneſſe & les aiſles.	dès que tu penserasaborder quelque Bergère, Elle saurai d'elle si elle a résolu d'être seconde Oritie, pour se laisser prendre à un vent, et encore qui n'a d'amour que la jeunesse et les ailes.
Nagueres on eſtoit en peine de dõner vn nom qui fut propre à cette plãte qui change de couleur trois fois le iour.	Naguère on était en peine de donner un nom qui fut propre à cette plue qui change de couleur trois fois le jour.
Ie me vante de l’auoir trouué, elle s’appelle Sireine:	Je me vante de l'avoir trouvé, elle s'appelle Sireine:
auec de tels diſcours, le monde qui t’eſtime ſe deſabuſera peu à peu.	avec de tels discours, le monde qui t'estime se désabusera peu à peu.
SIREINE, Driope ie m’en reſioüis, ton eloquence eſt en ſa fleur, quand les feves y viennent.	SIREINE, Driope Elle m'en réjouis, ton éloquence est en sa fleur, quand les feu cette viennent.
DRIOPE, Tu m’obliges.	DRIOPE, Tu m'obliges.
SIREINE, Ouy ie t’oblige de t’aduertir d’vne choſe que i'auois oublié de te raporter.	SIREINE, Oui était t'oblige de t'avertir d'une chose que j'avais oublié de te rapporter.
Menalque t’accuſe enen lIelener durant que tu maccuſes icy.	Menalque t'accuse enen lIélener durant que tu maccuses ici.
DRIOPE, On m’accuſe chez Helenor, Et qui?	DRIOPE, On m'accuse chez Hélénor, Et qui?
& dequoy?	et dequoy?
voyez ces im poſteurs en mon abſence, voyez ces laſches.	voyez ces im posteurs en mon absence, voyez ces lâches.
Si ſçaurai-je toute à cette heure ce que c’eſt.	Si sçaurai-je toute à cette heure ce que c'est.
SIREINE, A la bonne heure, ie m’en ſuis défait & le breuet magique commence à operer, elle ne le quittera de quelque temps, afin de contenter ſa curioſité & de me plaire:	SIREINE, A la bonne heure, Elle m'en suis défait et le brevet magique commence à opérer, elle ne le quittera de quelque temps, afin de contenter sa curiosité et de me plaire:
Car ces menaces monſtrent ſeulement qu’elle voudroit de bon cœur ne me punir pas, ainſi le charme aura tout loiſir d’acheuer ſon effet.	Car ces menaces montrent seulement qu'elle voudrait de bon cœur ne me punir pas, ainsi le charme aura tout loisir d'achever son effet.
La deffiãce ſe tournera en amertume, l’amertume en degouſt & auerſion, l’auerſion en fuite, par ce moyen ie ſeray hors de peine de ce coſté-la.	La deffiãce se tournera en amertume, l'amertume en dégoût et aversion, l'aversion en fuite, par ce moyen cy serai hors de peine de ce côté-la.
RIIOEVR.	RIIOUR.
E Printemps eſt de retour, L Et ſon retour nous conuie A rechercher nuict & iour, Les delices de la vie, Ce qui n'eſt ny dona ny veau, N'eſt bon qu'au tombeau.	E Printemps est de retour, L y son retour nous convie A cher nuit et jour, Les délices de la vie, Ce qui n'est ni don ç veau, N'est bon qu'au tombeau.
L’an eſt comme les amours, Maintenant dedans l’enfance Les amours y ſont touſiours, Luy la perd plus il s'aduance Meſnageans accortement, Ce petit mo ment.	L'an est comme les amours, Maintenant dedans l'enfance Les amours y sont toujours, Lui la perd plus il s'avance Mesnageans accortement, Ce petit m ment.
mſons Faiſons mourir le chagrin Par l’exces de noſtre ioye, Qu'il aille ronger ſon frein Où ſa naiſſance l’enuoye, Puis que le ſiecle de fer Ejeyvpeme Dje.	mensons Faisons mourir le chagrin Par l'excès de notre joie, Qu'il aille ronger son frein Où sa naissance l'envoie, Puis que le siècle de fer Ejeyvpeme .
Cette agreable ſaiſon Doit reſioüir tout le monde, L’exemple ſuit la raiſon;	Cette agréable saison Doit réjouir tout le monde, L'exemple suit la raison;
Voyez l’air, la terre & l'onde, Ne ſont-ils pas trop contents, De ce beau Prin-temps?	Voyez l'air, la terre et l'onde, Ne sont-ils pas trop contents, De ce beau Printemps?
Il eſt deſcendu des Cieux Comme vn ſecond Hymenée, Pour marier à nos yeux La ieuneſſe de l’année, Et faire que nos plaiſirs Paſſent nos deſirs.	Il est descendu des Cieux Comme un second Hyménée, Pour marier à nos yeux La jeunesse de l'année, Et faire que nos plaisirs Passent nos désirs.
