LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Et crois que la machine De ce grand vniuers, Vn iour ſous ſa ruine Doibt tomber à l’enuers, Que la terre & la mer Iront ſe conſumer.	Et crois que la machine De ce grand univers, Un jour sous sa ruine Doibt tomber à l'envers, Que la terre et la mer Iront se consumer.
Que les voutes celeſtes Ne garentiront pas, Leurs flambeaux manifeſtes De ce dernier treſpas, Et qu’a la fin la mort Sentira ſon effort.	Que les voutes célestes Ne garentiront pas, Leurs flambeaux manifestes De ce dernier trépas, Et qu'a la fin la mort Sentira son effort.
Eſtourneô clair Phœbus le train de tes cheuaux, DMu milieu de leur courſe arreſte leurs trauaux, Ombrage ton beau front, que ta ſlame deſpite, Au point que ie mourray dans l’eau ſe precipite, Que d’vn grand voile obſcur tout le Ciel ſont tendu.	Estourneô clair Phœbus le train de tes chevaux, DU milieu de leur course arrête leurs travaux, Ombrage ton beau front, que ta slâme dépite, Au point que sans mourrai dans l'eau se précipite, Que d'un grand voile obscur tout le Ciel sont tendu.
Et qu’ilperde le iour quaudil m’aura perde.	Et qu'ilperde le jour quaudil m'aura perde.
Que la nuict ſoit par tout, que le cahos encore, Cache aux yeux de Iunoule mal qui me deuert, Croulle ô Pere immortel l’airain du ſimament, Et fay trembler les Cieux deſpuis leur fondement, Romps les piuots du monde au deuil de mes deſaſtres.	Que la nuit soit par tout, que le cahos encore, Cache aux yeux de Junoule mal qui me dévert, Croulle ô Père immortel l'air du simament, Et fais trembler les Cieux despuis leur fondement, Romps les piuots du monde au deuil de mes désastres.
Pere tu perds Hercule:	Père tu perds Hercule:
eſpargnes tu les aſtres, Veille de tous coſtei & prens garde à les cienx.	épargnes tu les astres, Veille de tous côtei et prends garde à les cienx.
Voy que les terrenez n’dillent audacieux, Eniamber ſur ton throſne y planter l’eſcalade, Qu’Oilrys ne ſoit legere en la main d’Encelade.	Vois que les terrenez n'dillent audacieux, Eniamber sur ton trône y planter l'escalade, Qu'Orys ne soit légère en la main d'Éncelade.
Et que ces ſiers geants par leur rebellion, N’entaſſent derechef ſur Oſſe Pelion.	Et que ces siers géants par leur rébellion, N'entassent derechef sur Osse Pélion.
Ie ſuperbe Pluton qui par voſtre partage, Ne ſe contente point du troyſieſme heritage.	Je superbe Pluton qui par notre partage, Ne se contente point du troisième héritage.
Peut ores ſans danger eſmouuoir ſes enferi, Ton Pere & les Titans deſchainer de leur ſers, Et leur rendre le Ciel, puis que moy qui ſauierre un Te ſeruois (Iupiter) de traicts & de tonnerre, Aux riuages deſcends de l’Acheron nuicteux.	Peut ores sans danger esmouuoir ses enferi, Ton Père et les Titans déchaîner de leur sers, Et leur rendre le Ciel, puis que moi qui savierre un Te servais (Iupiter) de traits et de tonnerre, Aux rivages descends de l'Acheron nuiteux.
Mta mort, te rend de l’air le royaume douteux, Du grand Ciel eſtoillé la voute lumineuſe Pere, s’en va bien toſt ta deſpouille orguilleuſe, Couun mon chef mourant du bris de l’vniuers.	Mta mort, te rend de l'air le royaume douteux, Du grand Ciel estoillé la voute lumineuse Père, s'en va bien tôt ta dépouille orguilleuse, Couun mon chef mourant du bris de l'vniuers.
Et romps à mon treſpas le pole que tu pers, Atoy vainqueur de la mert dont la force indomtée Me ceda ſa deſpouille au bord Acherontée, Qui meſpriſant le Stix par l’eſpace oblieux Tomphant de leur Roy reuint victonieux;	Et romps à mon trépas le pôle que tu perds, Atoi vainqueur de la mert dont la force indomtée Me céda sa dépouille au bord Acherontée, Qui méprisant le Stix par l'espace oblieux Tomphant de leur Roy uint victonieux;
Nonſtray ſon triple monſtre à ma maraſtre firre Et bien qu’il reculaſt de ſa force en arriere Eiblouy de rayons qu’il ne put ſupporter Traine de ſes cachots la forcé de monter.	Nontrai son triple montre à ma marâtre firre Et bien qu'il reculât de sa force en arrière Éibloui de rayons qu'il ne put supporter Aine de ses cachots la forcé de monter.
De ſon commandemient Iunon i’eſt repentie, Et le Soleil palliſt de crainte à la ſortie Moy diſis que des Dieux les trois regnes diuers Inumcble ont cogneu ie tombe ore à l’enuers, Ie treſpaſſe, ie meurs & ne ſens point frapee Ma poictrine du coup d’vne homieide eſpee, Ie ne meurs point nauré d’vn grand coup de rocher Tout vn mont elancé ne me faict point bronchei;	De son commandemient Junon j'est repentie, Et le Soleil pallît de crainte à la sortie Moi disis que des Dieux les trois règnes divers Inumcble ont connuet ie tombe ore à l'envers, Je trépasse, quelque meurs et ne sens point frappe Ma poitrine du coup d'une homieide espee, Je ne mois point nauré d'un grand coup de rocher Tout ont élancé ne me fait point bronchei;
Vn rebelle geant d’vn viſage effroyable Sous Pinde le ſainct mont mon cadaure n’accable Ie meurs ſaus ennemy ne le cognoiſtre point Inntille vertu, c’eſt le mal qui me poinct:	Un rebelle géant d'une visage effroyable Sous Pinde le saint mont mon cadaure n'accable Je meurs saus ennemi ne le connaître point Intille vertu, c'est le mal qui me point:
Perſonne ne m’oſfence, & ſouffre miſerable Sur ma dolente chair vn torment incurable, Sans faire vn bel exploict tont mon ſang ſe reſpend Ie ſens ce mal en moy ſecrettement rampant, Qui me pouſſe à ma fiutô grand Pere celeſte Veux tu par la ngueur d’vne peine moleſte Perdre ainſi ton Hercule?	Personne ne m'osfense, et souffre misérable Sur ma dolente chair torment incurable, Sans faire un bel exploit tont mon sang se respend Je sens ce mal en moi secrètement rampant, Qui me pousse à ma fiutô grand Père celeste Veux tu par la négueur d'une peine moleste Perdre ainsi ton Hercule?
& vous ô Dieux iadis Teſmoins de ma valeur & de mes faits hardis, Serez vous donc ainſi coulpables de ma honte?	et vous ô Dieux jadis Témoins de ma valeur et de mes faits hardis, Serez -vous donc ainsi coulpables de ma honte?
O vergongneux deſtinl vne ſemme me domte, ai’auez vous eſpargné par tant de maux, afin De conduire ma vie à ſi honteuſe ſin?	Ô vergongneux destinl une semme me domte, aiauez -vous épargné par tant de maux, afin De conduire ma vie à si honteuse sin?
Si l’inuincible ſort ordennoit que mon ame Deuſt panir de te corpipar la main d’vne femme	Si l'invincible sort ordennait que mon âme Deut panir de te corpipar la main d'une femme
Le courroux de Iunoume deuſt mettre au tombeau, Ie mourrois voyrement d’vne main femininę:	Le courroux de Junoume dût mettre au tombeau, Je mourrais vivrement d'une main femininę:
Atais coſte main ſeroit d’vne femme diuine.	Atais côte main serait d'une femme divine.
Ou s’il a trop de gloire, Herule receuoit Sous le Pole Scytique Hypolite deuoit Pour le moins me domter, mais, ô treſpas infame!	Ou s'il a trop de gloire, Hervle recevait Sous le Pole Scytique Hypolite devait Pour le moins me dompter, mais, ô trépas infâme!
Par la fraude ie meurs d'vne imbecile femme, Qui triomphe de moy, & moy victoneux Tnomphay de Iunon la Princeſſe des Dieux.	Par la fraude homme meurs d'une imbécile femme, Qui triomphe de moi, et moi victoneux Tnomphai de Junon la Princesse des Dieux.
Iunon rougis de honte, & voy ton impuiſſance, N’appelle plus ce iour iour de reiouiſſance?	Junon rougis de honte, et vois ton impuissance, N'appelle plus ce jour iour de réjouissance?
Vne femme te paſſe, & ton bras immortel Quelque puiſſant qu’il ſort ne peut oncq eſtre tel, Rougiſſex foibles Dieux, rougiſſez de voſtreire?	Une femme te passe, et ton bras immortel Quelque puissant qu'il sort ne peut onc être tel, Rougissex faibles Dieux, rougissez de vostreire?
Vne femme inbecille a pouuoir de me nuirt, Et vous ne l’auiez pas, le iour qui me ſinit D’vne mortelle main voſtre gloire ternit.	Une femme inbecille a pouvoir de me nuirt, Et vous ne l'aviez pas, le jour qui me sinit D'une mortelle main votre gloire ternit.
O que n’a de mon ſang la peste de Nemec Soulé la noire faim de ſa gorge affamée.	Ô que n'a de mon sang la peste de Nèmec Soulé la noire faim de sa gorge affamée.
Que ſon large eſtomac de mon corps ne paiſſoit Le ſerpent qui tronqué par ſa perte croiſſoit Que ne m’ont deſconfit les Centaures en guerre, Que ne fusie aux enfers aſtis ſar vue pierre Pour n’en leuer iamais, alors que le deſtin S’eſtonna de me voir entrainer leur matin.	Que son large estomac de mon corps ne paissait Le serpent qui tronqué par sa perte croissait Que ne m'ont déconfit les Centaures en guerre, Que ne susie aux enfers astis sar vue pierre Pour n'en lever jamais, alors que le destin S'étonna de me voir entraîner leur matin.
I’ayforcé les bas lieux ma dextre redoutee Chaſſa loing deuant moy la mort eſpounantee.	J'ayforcé les bas lieux ma dextre redoute Chassa loin devant moi la mort espounantee.
Helus me fuyout elle, afin que valheureux Ie per diſſe l’honneur d'vn treſpas gencreux.	Hélus me fuyout elle, afin que valheureux Je per disse l'honneur d'un trépas gencreux.
Perdu ie taut de fois vne mort honorable Pour perdre mon beau tiltre & meurir miſerable.	Perdu autre taut de fois une mort honorable Pour perdre mon beau titre et mûrir misérable.
Tiltre de mon tombeau dent ie fus ſi ſoigneux, Las!	Titre de mon tombeau dent Je fus si soigneux, Las!
ſerez vous ſals d’vn treſbas vergoigneux!	serez -vous sals d'un trèsbas vergoigneux!
Cho.	Cho.
Que c'eſt de la vertu que ſa force eſt eſtrange	Que c'est de la vertu que sa force est range
Vn eſpra vertueux content de ſa louange, A l'horreur de la mort ne va point paliſſant, Sans crainte des enfers aux enſers il deſcend.	Un épra vertueux content de sa louange, A l'horreur de la mort ne va point palissant, Sans crainte des enfers aux ensers il descend.
Hercule en faict ainſi, la mort point ne le faſche, Mais l’ennuy de mourir par vne fin ſi laſches Il voudroit bien mourir pourueu qu’vn geant fart, Vn ritan porte-mont le pouſſaſt à la mort:	Hercule en fait ainsi, la mort point ne le fâche, Mais l'ennui de mourir par une fin si lâches Il voudrait bien mourir pourvu qu'un géant fart, Un ritan porte-mont le poussât à la mort:
Qu'vne ſauuage Fere cuſt ſon ame rauit, » Carla mort gencreuſe orne toute la vie.	Qu'une sauvage Fère cust son âme ravit, " Carla mort gencreuse orne toute la vie.
Her.	Her.
Qu’elle eſcreuiſſehelus!	Qu'elle escreuissehelus!
iſſãt' des Cieux ardausi?	issant des Cieux ardausi?
Quel aſpre ſçorpion me ronge la dedans?	Quel âpre sçorpion me ronge la dedans?
Qui me ſaccage ainſi!	Qui me saccage ainsi!
qu’elle flame cruelle Me bourelle, me bruſle, & me cuit la mouelle?	qu'elle flamme cruelle Me bourelle, me brûle, et me cuit la mouelle?
Tous les vaiſſeaux çauex de mon foye eſtanchez Ne verſent plus de ſang aux membres aſſeichez.	Tous les vaisseaux çauex de mon foie étanchés Ne versent plus de sang aux membres asseichés.
Mes poulmons ſont tendus, tant mon fiel ſe conſum Cette lente vapeur en mes veines s’allume, M’en hume tout le ſang.	Mes poulons sont tendus, tant mon fiel se consum Cette lente vapeur en mes veines s'allume, M'en hume tout le sang.
& ſon venin puiſſant De la peau couſumee en mes membres deſcend, Me deuore la chair, les coſtes me deſnue, Et faict d’vn ſi grand corps vne carcaſſe nue;	et son venin puissant De la peau coutumée en mes membres descend, Mère dévore la chair, les côtes me dénue, Et fait d'un si grand corps une carcasse nue;
Ma mouelle eſt bruſles en mes os deſcharnez;	Ma mouelle est brûles en mes os décharnés;
Et ſi mes os encore aux tourments obſtinez Ne ſont pas ſuffiſants, ils rompens la iointure, Mon corps ne leur fournit aſſez de nourriture.	Et si mes os encore aux tourments obstinés Ne sont pas suffisants, ils rompens la jointure, Mon corps ne leur fournit assez de nourriture.
Que ce mal eſt extreme!	Que ce mal est extrême!
ô cruelle douleur!	ô cruelle douleur!
Douleur inſaportablel ô cuiſante chaleur!	Douleur insaportablel ô cuisante chaleur!
Voyez peuples voyez, voyez le peu qui reſte Du corps du grand Hercule englouty de la peſte!	Voyez peuples voyez, voyez le peu qui reste Du corps du grand Hercule englouti de la peste!
Et toy, pere immoriel regarde ton ſils cher Qui n’eſt ores plus rien qu’vn ſquellette ſans chair.	Et toi, père immoriel regarde ton sils cher Qui n'est ores plus rien qu'un squellette sans chair.
Eſt-ce donq la ce bras, dont la force eſtimee Deſpouilla le lion de la foreſt Nemee?	Est-ce donc la ce bras, dont la force estimée Dépouilla le lion de la forêt Née?
Eſt ce donq la ce bras qui contraint deualer De ſes traiz eſtancex les s'ymphales de l'air?	Est -ce donc la ce bras qui contraint dévaler De ses traiz étancex les s'ymphales de l'air?
Eſt ce doneq là ce bras qui nettoya la terre Des monſtres, des tyrans qui luy faiſoient la guerre?	Est -ce donc là ce bras qui nettoya la terre Des monstres, des tyrans qui lui taît la guerre?
Eſt cela ce grand corps, ce grand Coloſſe la?	Est cela ce grand corps, ce grand Colosse la?
Le ciel s’eſt-il aßis ſur ſes eſpaules la?	Le ciel s'est-il assis sur ses épaules la?
Ay je oppoſéles mains à la cheute celeſte?	Ai je opposé mains à la chute celeste?
Ont-elles attrainé de la plaine ſuneſte Le gardieu d’enſer?	Ont-elles attrainé de la plaine suneste Le gardieu d'enser?
Ce pied d’vn pai ſoudain A il-ouc emporté de viteſſe le daim?	Ce pied d'être pai soudain A il-ouc emporté de vitesse le daim?
Dont le front iauniſſoit d’vne corne doree.	Dont le front jaunissait d'une corne dorée.
Où eſt ce grand Hereule, où s’eſtoit retiree Son inuincible force, & ce grand Dieu tonnant Qui m’auoüoit pour fils où eſt il maintenan?	Où est ce grand Hereule, où s'était retirée Son invincible force, et ce grand Dieu tonnant Qui m'avouait pour fils où est il maintenan?
Où ce Ciel eſperé?	Où ce Ciel espéré?
à mon dam ie commanæ Croire que ie ſuis né de mortelle ſemence, Qu'Amphytrion m’eſtpere, & qu’à tort ſe van ꝑ] Celle qui m’enfanta, que Iupiter l’eſtoit.	à mon dam esprit commanæ Croire que je suis né de mortelle semence, Qu'Amphitrion m'estpère, et qu'à tort se van ] Celle qui m'enfanta, que Jupiter l'était.
Or quiconque tu ſoys peſte qui me tenailles Seactemanbtelteuu joar ue mnes entrailles, Monſtre toy, ſors dehors?	Or quiconque tu sois peste qui me tenailles Seactemanttelteu jaru joe unes entrailles, Monsieur toi, sors dehors?
pourquoy meſchant poiſon Pourquoyme liures tula gueme en trahiſon?	pourquoi méchant poison Pourquoime livres tula gume en trahison?
Quelle part t’engendra de la froide Scytie?	Quelle part t'engendra de la froide Scytie?
Dela morne Techys, de l’Atrique roſtie, Où pril ta naſſſance?	Déla morne Téchys, de l'Atrique rôtie, Où pril ta nassance?
és tu point vn ſerpent Dont le venin ſecret en mes os varampant?	es tu point un serpent Dont le venin secret en mes os varampant?
Ou vn monſtre inconnu?	Ou un monstre inconnu?
n’eſt tu point nee en Lerne, Ou ne te vomit point le chien portier d’Auerue?	n'est tu point née en Lerne, Ou ne te vomit point le chien portier d'Auerve?
Monſtre moy ton viſage, & me donne en mourant Connoiſſance du mal qui me va deuorant.	Montre moi ton visage, et me donne en mourant Connaissance du mal qui me va dévorant.
Mais telle que tu ſois peſte, ou cruelle fere Aſ’aſſaillant en public tu craindrois ma colere, Tu n’oſe te monſtrer ne paroiſtre dehors;	Mais telle que tu sois peste, ou cruelle sere As'assaillant en public tu craindrais ma colère, Tu n'ose te montrer ne paraître dehors;
