Par J.	Par Y.
Ie ne foey que ſorti de la couchi tout ore.	Je ne foi que sorti de la couchi tout ore.
LHAUDA.	LHAUDA.
Voz ayez deyjuna, ſe vet à voſtre lore.	Voz ayez deyjuna, se vêt à votre lore.
THONO.	THONO.
E't vray j’ai beu trey cou devan que de ſorti.	Et vrai j'ai bu trey cou devan que de sorti.
DHAUDA.	DHAUDA.
Quin ven vo mene-to?	Quin ven vo mène-to?
vou nez pa adverti De veni per ici.	vou nez pa adverti De veni per ici.
Quiat-to, dite veyre?	Quiat-to, dite vue?
THONO.	THONO.
Gnat ren que ben per ti, ſi ſou te me vou creyre.	Gnat ren que ben per ty, si sou te me vou créire.
LHAUDA.	LHAUDA.
A tout ce que l'on dit, je n’adjouſto pa fey, Gnat que trop qui me font bouquet de cheuraſey.	À tout ce que l'on dit, je n'adjousto pa fi, Génat que trop qui me font bouquet de cheurasei.
THONO.	THONO.
Tu po creire qu’un jour tu ſares ben heirouſa, Car un Monſieu per qui je porto l’arquabouſa, E't amoirou de ti, je te dio talamen, Qu’u l’en pert lo migié & lo bouvoillimen.	Tu pô crire qu'un jour tu sares ben ha, Car un Monsieu per qui je porto l'arquabousa, Et amou de ty, je te dyo talamen, Qu'u l'en pert lo migié et lo bouvoillimen.
LHAUDA.	LHAUDA.
Ne veni pa ver mi per conta cella bauda.	Ne veni pa ver mi per conta cela bauda.
THONO.	THONO.
Iamey je ne couvi din lo cour talla frauda.	Imei je ne couvi din lo cour talla frauda.
LHAUDA.	LHAUDA.
Alla, alla mocquou, vor eit un penouidie,	Alla, alla moquou, vor eit un pénouidie,
THONO.	THONO.
I’amarey mey cen fey de branche d’un cordié Pe le man, pe lou bra, & d’una corda longi Eſtre bien enfrangea, que dite una menſongi.	J'amarei mey cen fey de branche d'un cordié Pe le man, pe lou bra, et d'una corda longi Être bien enfrangea, que dite una mensongi.
Crei me donc ſi tu vou, ceu Monſieu t’ame tan, Que l’arma din lo corp luy vat toujour battan, V jette de ſouſpi qui font branda louz abro, Qui farion apida un cour plu dur que marbra, V let ſi eichaufa, qu’u brule de te vey, Mais devan que veni, de ti u vou ſçavey, Si t’y prendres pleiſi, regarda de bon hora, ol natura per leu a fat meura la mora.	Crei me donc si tu vou, ceu Monsieu t'âme tan, Que l'arma din lo corp luy vat toujour battan, V jette de soupi qui font branda louz abro, Qui farion apida un cour plu dur que marbra, V let si eichaufa, qu' hule de te vei, Mais devan que veni, de ty , de ty, Si t'y prendrez pleisi, regarda de bon hora, ol natura per lu a fat m la ora.
Di me ta volonta, deiclara-mi ton cout, Vou-tu qu’u veniey par te fare la cour?	Dis me ta volonta, deiclara-mi ton coût, Vou-tu qu'u venie par te sare la cour?
LHAUDA.	LHAUDA.
Me ſariet trop d’honou, mais à to bonna mina?	Me sariet trop d'honou, mais à to bonna mina?
THONO.	THONO.
Autra que ton Ianin tutou de la bovina, Egnat pa un ſi brave en tout noſtron canton, La barba ſolamen luy piquet u menton.	Autra que ton Janin tutou de la bovina, Egnat pa un si brave en tout nostron canton, La barba solamen cy piquet u menton.
Vo diria per ma fey, quand u ſaute qu’u vole, Et quand u danſe, u fat millante cabriole:	Vo diria per ma fey, quand u saute qu' vole, Et quand anse, fat millante cabriole:
En tout u l’et toûjour lo plu genti de tou, V n’ét pa ren bouſſu, ny borlio, ny boitou, V chante comm’un Ange, & parle comm’un livto, vretiobro ;	En tout u l'et toujours lo plu genti de tou, V 'est pa ren oussu, ni borlio, ni boit, V ante comm'un Ange, et parle comm'un livto, vretiobro ;
mco que d’amour u ſet yvro.	méco que d'amour u set yvro.
V bet quaſi tout d’eyga, & en chaque morcel, Vo diria, per ma fey, qu’u l’ét inco pucel.	V bet quasi tout d'éiga, et en chaque morcel, Vo diria, per ma fey, qu'u l'est inco pucel.
LHAUDA.	LHAUDA.
Ie lo voudrin ben vey, ſo pa que voz u cacho.	Je lo voudrin ben éi, so pa que vo cat.
THONO.	THONO.
Lo vet tu pauiley, umbragea d’un plumacho.	Lo vêt tu pavile, umbragea d'un plumacho.
018 LHAUDA.	018 LHAUDA.
de lo veyo vem, io veyqui qui s’en vat.	de lo véio vem, jo veyqui qui s'en vat.
THONO.	THONO.
Ne fat ren, ù l’atten que je torncizo avat.	Ne fat ren, ù l'atten que je torncio avat.
LHAUDA.	LHAUDA.
Sopa-lo vey, que to je ſçacho qu’u deſite.	Sopa-lo vey, que to je sacho qu' déité.
An o Ro.	An ô Ro.
Monſieu, venez icey, la Lhauda m’u fat dire.	Monsieu, venez icei, la Lhauda m'u fat dire.
AMIDOR.	AMIDOR.
Bergere à qui les fleurs prodiguent leur odeur, Après que vos beaux yeux (agreable ſplendeur) Les ont rempli d’amont, & lorti de la terre, Voici le priſonnier de voſtre doute guerre, Qui vous ſacrifiant ſon cœur & ſa raiſon, A fait vœu de jamais ne rompre ſa priſon.	Bergère à qui les fleurs prodiguent leur odeur, Après que vos beaux yeux (agréable splendeur) Les ont rempli d'amont, et lorti de la terre, Voici le prisonnier de votre doute guerre, Qui vous sacrifiant son cœur et sa raison, A fait vœu de jamais ne rompre sa prison.
LHAUBA.	LHAUBA.
N'entendo pa, Monſieu, celle belle parole.	N'entendo pa, Monsieu, celle belle parole.
Car l’on ne parle pa dinſi du flan de Crole.	Car l'on ne parle paya dinsi du flan de Crole.
AMIDOR.	AMIDOR.
Si mes paroles n’ont de perſuaſion Capable de vous faire oüir ma paſſion, 2 Mes yeux & mes ſoûpirs, prophetes de ma ſlame, nicenent auez le vray de ce que j’ay dans l’ame.	Si mes paroles n'ont de persuasion Capable de vous faire ouïr ma passion, 2 Mes yeux et mes soupirs, prophètes de ma soupirs, nicennent avez le vrai de ce que j'ai dans l'âme.
LH AUDA.	LH AUDA.
Excuſa-me, Monſieu, ſçavo pa francilié, Car j’ay un eſperit auſſi gro qu’un paillié,	Excusa-même, Monsieur, savo pa francilié, Car j'ai un espérit aussi gro qu'un paillié,
AMIDOR.	AMIDOR.
Puiſque vous poſſedez les qualitez d’un Angej Voſtre eſprit arreſté merité de loüange, Avant que vos beautez, de qui je ſuis captif, Ne me faites pas donc un compliment craintif.	Puisque vous possédez les qualités d'un Angej Outre esprit arrêté mérité de louange, Avant que vos beautés, de qui je suis captif, Ne me faites pas donc un compliment craintif.
Mais ſi par vos apas mon ame eſt aſſervie, Dites-moi ſi j’aurai le bien de mon envie.	Mais si par vos apas mon âme est asservie, Dites-moi si j'aurai le bien de mon envie.
LHAUDA.	LHAUDA.
Babilley qui voudra é n’ét pa mon meitié, Vna colagni vin ben mieu à mon couſtié, Et je l’amo ben mey, que mena l’entivella, Celley ét bon à fare a quoque Dameiſella, Qui per patireia at io uec ania, Non pa à mi qui n’ai ren apprey qu’à fila.	Babilley qui voudra é n'est pays mon meitié, Una colagni vin bénie mieu à mon coustié, Et je l'amo ben mey, que mena l'entivela, Celle est bon à sare à quoque Dameisela, Qui per patire at at uec ania, Non pay à mi qui n'ai ren appry qu'à fila.
AMIBOR.	AMIBOR.
Voſtre ramage dont le doux accent me charme, Prononcé par la voix qui la mienne deſarme, Eſt plus doux que le leur.	Votre ramage dont le doux accent me charme, Prononcé par la voix qui la mienne désarme, Est plus doux que le leur.
Outre que le maintien De vos beautez louime paus quenles d’entretien.	Outre que le maintien De vos beautés louime paus quenles d'entretien.
Preferez donc mon offre à tout autre ſervice, Et voyez que mon cœur ne catne poit de vice.	Préférez donc mon offre à tout autre service, Et voyez que mon cœur ne catne poit de vice.
LHAUDA.	LHAUDA.
2 Qu’en povo je ſçavey, je ne ſeu pa dedin.	2 Qu'en povo je sçavey, je ne s a dedin.
ARIDOR.	ARIDOR.
De cette belle fleur, mon cœur eſt le jardin, Car je vous ay choiſi au parterre de Flort, Pour adorer l’encens qui tout autre devore.	De cette belle fleur, mon cœur est le jardin, Car je vous ai choisi au parterre de Flort, Pour adorer l'encens qui tout autre dévore.
LHAUDA.	LHAUDA.
Ma fey n’en creyo ren, car é n’et pa reiſon, Que vo penſi en mi, & pui voſtra meiſon, Ne voudriet pa changié ſon fromen en aveina, Vo merita (Monſieu) de prendre quoque Reina,	Ma fey n'en créio ren, car é n'est pa izon, Que vo pensi en mi, et puy vostra meison, Ne voudriet pa changié son fromen en avina, V merita (Monsieu) de prendre quoque Reina,
AMIDOR.	AMIDOR.
Voila pourquoi amour (pour ſe montrer vainqueur) Vous a fait à l’inſtant la Reine de mon cœur.	Voilà pourquoi amour (pour se montrer vainqueur) Vous a fait à l'instant la Reine de mon cœur.
LHAUDA.	LHAUDA.
Vo vo mocqua de mi, j’u cogneuſſo ben ore.	Vo vo moqua de mi, j'u connusso ben ère.
AMIDOR.	AMIDOR.
na contrarre, de plus en plus je vous adore.	na contrarre, de plus en plus je vous adore.
LHAUDA.	LHAUDA.
Ie ne merito pa tant en voſtron endret.	Je ne mérito pa tant en vostron endret.
THONO.	THONO.
Eill'ét prou ben appreiſa, y parle ben à dret;	Eill'est prou ben appreisa, y parle ben à dret;
AMIDOR.	AMIDOR.
mons mnernterez plusn'vonte cœur le laiſſe Bleſſer du même trait que celuy qui me bleſſe.	mons mennernterez plusn'onte cœur le laisse Blesser du même trait que celui qui me blesse.
LHAUDA.	LHAUDA.
Ie m’en gardatey ben de me bleſſié lo cour, Perce que j’en mourrin (pot-eſtre) ſen ſecour.	Je m'en gardatey ben de me blessié lo cour, Perce que j'en mourrin (pot-être) sen secour.
AMIDOR.	AMIDOR.
Vous ne ſçauriez mourir en me domant la vie, Ni vivre, ſi l’amour ne vous remplit d’envie;	Vous ne sauriez mourir en me domant la vie, Ni vivre, si l'amour ne vous remplit d'envie;
Car c’eſt mourir que d’eſtte inſenſible à ſes traits, vous ne devez point donc dementir vos attraits, Qui ne peuvent ſouffrir que vous ſoyez rebelle, Mais vous montrer autant amoureuſe que belle.	Car c'est mourir que d'estte insensible à ses traits, vous ne devez point donc démentir vos attraits, Qui ne peuvent souffrir que vous soyez rebelle, Mais vous montrer autant amoureuse que belle.
LHAUDA.	LHAUDA.
Si je ne ſeu pa bella é n’en ſeu que meillou.	Si je ne seu pa bella é n'en seu que meillou.
AMIDOR.	AMIDOR.
Mais vous avez le cœur auſſi dur qu’un caillou, Et à tous mes doux offres, vous eſtes trop farouche:	Mais vous avez le cœur aussi dur qu'un caillou, Et à tous mes doux offres, vous êtes trop farouche:
Car vous ne voulez pas que mõ amour vous touche.	Car vous ne voulez pas que mon amour vous touche.
LHAUDA.	LHAUDA.
Mouſieu, ſi voz eſtia quoque po mon parcy, Ie voz amarin mey que mi-meſma ſocrey.	Mousieu, si vos étia quoque pô mon parci, Je voz amarin mei que mi-mesma socrei.
Mais celley ne ſe pot:	Mais cellei ne se pot:
car voz eſte trop bravo, I’en aurin quoque dan ſi en vo j’eſperavo.	car vœux este trop bravo, J'en aurin quoque dan si en vo j'espéravo.
AMIDOR.	AMIDOR.
Si mes deſirs eſtoient d’une flamme conceus, Voſtre Voſtre eſpoir, ny le mien, ne ſeroient point deceus, Rien ne refroidiroit nos amours naturelles, Iamais l’inimitié entre les torterelles, Ne produiſit ſes maux:	Si mes désirs étaient d'une flamme conçus, Votre Votre espoir, ni le mien, ne seraient point déçus, Rien ne refroidirait nos amours naturelles, Jamais l'inimitié entre les tortelles, Ne produisit ses maux:
ainſi ſera de nous Si vous eſtes à moy, comme je ſuis à vous:	ainsi sera de nous Si vous êtes à moi, comme je suis à vous:
LHAUDA.	LHAUDA.
ltiais va lle vouuta pa dua peula ccigeyi, Veyant que je n’ai pa per vo prou de vercheyri.	ltiais va lèle vouuta paya du peula ccigeyi, Véyant que je n'ai pay per vo prou de vercheyri.
AMIDOR.	AMIDOR.
Ie ne veux rien de vous qu’une chaſte amitié, Soyez tant ſeulement de mon cœur la moitié.	Je ne veux rien de vous qu'une chaste amitié, Soyez tant seulement de mon cœur la moitié.
Rien ne vous manquera;	Rien ne vous manquera;
car puis qu’à vous je cede;	car puis qu'à vous je cède;
Vous pourrez diſpofer de ce que je poſſede.	Vous pourrez disposer de ce que je possède.
Ie vous feray changer de jour en jour d’habits, vous ne ſanguirez pius autour de vos vrebis.	Je vous ferai changer de jour en jour d'habits, vous ne sanguirez pius autour de vos vrbis.
Notamment quand l’hyver décoiffe les campagnes;	Notamment quand l'hiver décoiffe les campagnes;
Parce que vous aurez les Dames pour compagnes.	Parce que vous aurez les Dames pour compagnes.
LHAUDA.	LHAUDA.
I’amo mey demoura ſoletta din lou boey, Entendre tullura le flutte, & lou auboey:	J'amo me demoura soleta din lou bo, Entendre tullura le flutte, et lou auboei:
Et chanta de per my, u pié de quoque rochi, Que d’eſtre accompagna de le Dame en carochi.	Et chanta de per mi, pié de quoque rochi, Que Et chanta de le Dame en mi,
AMIDOR.	AMIDOR.
Quoy?	Quoi?
vous ne voudriez pas abandonner ces bois, Ny moins vous retirer des charmes des aubois, Pour un parti qui doit vous rendre plus contente?	vous ne voudriez pas abandonner ces bois, Ni moins vous retirer des charmes des aubois, Pour un parti qui doit vous rendre plus contente?
Ce ſeroit rebuter le bonheur qui vous tente.	Ce serait rebuter le bonheur qui vous tente.
LHAUDA.	LHAUDA.
Ie n’u voud-in que trep, mais n’ét pa mon eitat, D’avei, ny de porta l’habit de tafatat, Ny de m’accompara à celle Dameiſelle, le ne focy pa ſi ben la prima hoûchi qu’elle.	Je n'habit-in que trep, mais n'est pa mon eitat, D'avei, ni de porta l'habit de tafat, Ni de m'accompara à celle Dameiselle, le ne foci paya si ben la prima houchi qu'elle.
AMIBOR.	AMIBOR.
Elles n’ont rien d’égal en leurs inventions, Au moindre échantillon de vos perfections.	Elles n'ont rien d'égal en leurs inventions, Au moindre échantillon de vos perfections.
Partant, ſi la pitié de vos douceurs ne m’ayde, A mon mal, je n’auray que la mort pour remede.	Partant, si la pitié de vos douceurs ne m'aide, À mon mal, je n'aurai que la mort pour remède.
LHAUDA.	LHAUDA.
nili que vo fgure cum aplagie lomnan, Comme cettou ſripon du couſtié de Voyron.	nili que vo figure cum applagie lomnan, Comme celou sripon du coutié de Voiron.
AMIDOR.	AMIDOR.
Mon diſcours eſt naif, car l’amour qui m’opptime Eſt encore plus vray que je ne vous l’exprime.	Mon discours est naïf, car l'amour qui m'optime Est encore plus vrai que je ne vous l'exprime.
LHAUDA.	LHAUDA.
Vo m’en diri ben tant, qu’à la fin me faudrat Creire que lou ſatin ét plu dou que lo drat.	Vo m'en diri ben tant, qu'à la fin me faudrat Créire que lou satin ét plu dou que lo drat.
AMIDOR.	AMIDOR.
Vous croirez à la fin, que je porte dans l’ame L’amitié d’un Leandre, & la foy d’un Pyrame.	Vous croirez à la fin, que je porte dans l'âme L'amitié d'un Léandre, et la foi d'un Pyrame.
LHAUDA.	LHAUDA.
Ie ne ſçavo qu’en dire, y at prou à brogié, Lou plu grou izeyu ſont quaſi tou paſſagié, Pot-eſtre, vo vene me baillié un’attaqua, Per m’engagié, & pui per me fare la gnaqua.	Je ne savo qu'en dire, y at prou à brogié, Lou plu groue izeyu sont quasi tou passagié, Pot-être, vo vene me baillié un attaqua, Per m'engagié, et pu per me sare la gnaqua.
AMIDOR.	AMIDOR.
I'en atteſte le Ciel, de ſon foudre je veux Eprouver le courroux, ſi je farde mes vœux:	J'en atteste le Ciel, de son foudre je veux Eprouver le courroux, si je farde mes vœux:
Mon inclination ne les offre ni donne, Qu’afin de recevoir d’un Hymen la couronne.	Mon inclination ne les offre ni donne, Qu'afin de recevoir d'un Hymen la couronne.
LHAUDA.	LHAUDA.
I’u creiray quand celley ſarat à bon eycien.	J' hréirai quand cellei sarat à bon Eycien.
AMIDOR.	AMIDOR.
Elle ne peut encor croite que je ſois ſien.	Elle ne peut encor croite que je sois sien.
LHAUDA.	LHAUDA.
Ma fey non:	Ma fey non:
car ne ſeu pa filli ſi creandeiri, I’ai trop pou d’enrouta en ſi granda brandeiri.	car ne seu pa filli si créandeiri, J'ai trop pou d'enrouta en si granda brandeiri.
AMIDOR.	AMIDOR.
Les ſermens que je fais ne pourront-ils bannir Voſtre incredulité?	Les serments que je fais ne pourront-ils bannir Votre incredulité?
Ou ſi pour obtenir De vous cette laveur, mfauura que je treuve Quelqu’autre expedient, dans la mort pour ma LHATDA.	Ou si pour obtenir De vous cette laveur, mauvra que je trouve Quelqu'autre expédient, dans la mort pour ma LHATDA.
[preuve.	[preuve.
Mais quey-to, ſen jura, ce que vo deſira.	Mais quei-to, sen jura, ce que vo désira.
AMIBOR.	AMIBOR.
vnl bulfet amouitan;	un bulfet amouitan;
qui nos cœurs unira.	qui nos cœurs unira.
LHAUDA.	LHAUDA.
Toblau, toblau (Merneujan te penſavo d’eſtre.	Toblau, toblau (Merneujan te pensavo d'être.
AMIDOR.	AMIDOR.
Au lieu où ma raiſon n’a que l’amour pour maiſtre.	Au lieu où ma raison n'a que l'amour pour maître.
