A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
Lors qu’il reſpire l’air auecques liberté, Se trouuent esbloüis d’vne grande clarté Dans ce bon heur preſent i’ay peine à me reſpondre, Mais quand les dieux deuroient m'eſcraſer de leur foudre, Et que tout deuroit eſtre à ma confuſion, Ie ne laiſſeray point perdre l’occaſion, Que ſes yeux toutefois à trauers leur paupieres, En depit du ſommeil me monſtrent de lumieres, Temeraire, oſeray-ie aprocher ce beau ſein;	Lors qu'il respire l'air avec liberté, Se vent éblouis d'une grande clarté Dans ce bon heur présent j'ai peine à me répondre, Mais quand les dieux devraient m'écraser de leur foudre, Et que tout devrait avoir à ma confusion, Je ne laisserai point perdre l'occasion, Que ses yeux toutefois à travers leur pauvres, En dépit du sommeil me montrent de lumières, Téméraire, oserai-je approcher ce beau sein,
Oſeray ie accomplir mon amoureux deſſein?	Oserai ici accomplir mon amoureux dessein?
Il me le faut oſer, ô douceur nompareille, Il faut baiſer encor ceſte bouche vermeille, Et prendre la deſſus plus de ſucrt & de miel, Qu'en mes trauaux paſſez ie n'ay trouué de fiel.	Il me le faut oser, ô douceur nompareille, Il faut baiser encor cette bouche vermeille, Et prendre la dessus plus de sucrt et de miel, Qu'en mes travaux passez Seigneur n'ai trouvé de fiel.
Reçoy donc ce baiſer, ô diuine merueille, Mais il me faut fuir, la voila qui s'éueille.	Reçois donc ce baiser, ô divine merveille, Mais il me faut fuir, la voilà qui s'éveille.
ASTREE.	ASTRE.
A l’aide ma Diane:	À l'aide ma Diane:
Ah!	Ah!
ma ſœur ie me meurs, Bergers eſtes vous ſourds à mes triſtes clameurs?	ma sœur Seigneur me meurs, Bergers êtes -vous sourds à mes tristes clameurs?
SILVANDRE.	SILVANDRE.
Dergere qu'aueZ-pous, quel atciuer vous preſſe?	Dergère qu'avez-pous, quel atciver vous presse?
ASTREE.	ASTRE.
De mes sẽs la douleur eſt tout à faict maiſtreſſe, L’ombre de Celadon apparue a mes youx Se plaint que ſans hõneur elle erre dans ces lieux	De mes sens la douleur est tout à fait maîtresse, L'ombre de Céladon apparue a mes youx Se plaint que sans honneur elle erre dans ces lieux
DIANE.	DIANE.
Il la faut contenter.	Il la faut contenter.
ASTREE.	ASTRE.
Ouy deuaut que l’aurore Se montre encor trois fois ſur le riuage more.	Oui devaut que l'aurore Se montre encor trois fois sur le rivage more.
TARIS.	TARIS.
Bergere i’en prendray ſur moy tout le ſoucy, Car ie ſçay ce qu’il faut en cet affaire icy.	Bergère j'en prendrai sur moi tout le souci, Car tu sais ce qu'il faut en cet affaire ici.
DIANE.	DIANE.
Il ſera plus ſeant qu’autre qu'elle luy rende L'honneur du vain tombeau que ſon ombre demande,	Il sera plus séant qu'autre qu'elle avait rende L'honneur du vain tombeau que son ombre demande,
ACTE SECOND.	ACTE SECOND.
ADAMAS,LEONIDE, PARIS, VACIE SILVANDRE, HILAS, CHOEVR, ASTREE, DIANE.	ADAMAS,LEONIDE, PARIS, VACIE SILVANDRE, HILAS, CHOEUR, ASTRE, DIANE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ADAMAS, LEONIDE, ADAMAS.	ADAMAS, LEONIDE, ADAMAS.
Ve les ſecrets des dieux ſont iuſtement cachez A nous pauures humains, accablez de pechez, Qui retenans noſtre ame en ſa priſon mortelle L’empeſchent de penſer à ſa ſource eternelle:	Ve les secrets des dieux sont justement cachés À nous pauvres humains, accablez de péchés, Qui retenants notre âme en sa prison mortelle L'empêchent de penser à sa source éternelle:
De la viennẽt les maux que ſouffrent les mortels Et le peu de profit que nous font les autels, I'ay depuis vn long temps pat mon experience Mais A mes propres deſpens apris ceſte ſcience;	De la viennent les maux que souffrent les mortels Et le peu de profit que nous font les autels, J'ai depuis un long temps pat mon expérience Mais À mes propres dépens apis cette science;
Où l’on pleint du berger l’imaginé treſpas, Et de geſte, & de voix auec vos larmes feintes, De toute cette troupe accompagner les plaintes.	Où l'on pleint du berger l'imaginé trépas, Et de geste, et de voix avec vos larmes feintes, De toute cette troupe accompagner les plaintes.
Tandis ie taſcheray de gaigner le berger, Et de le diſpoſer à l’habit menſonger, Dont ie voudrois cacher & ſon ſexe & ſa race, Et bien toſt le remettre auec Aſtree en grace, Et vous ferés courir diſcrettement le bruict Que ma fille Alexis doit venir ceſte nuict.	Tandis Seigneur tâcherai de gagner le berger, Et de le disposer à l'habit mensonger, Dont pu voudrais cacher et son sexe et sa race, Et bien tôt le remettre avec Astrez en grâce, Et vous ferez courir discrètement le bruit Que ma fille Alexis doit venir cette nuit.
LEONIDE.	LEONIDE.
Ie taſcheray touſiours par tout de vous complaire, Et principalement enceſte bonne affaire, D'où depend le repos que les dieux vos amis Ont par leur ſainct Oracle à vos vieux iours promis.	Je tâcherai toujours par tout de vous complaire, Et principalement encête bonne affaire, D'où dépend le repos que les dieux vos amis Ont par leur saint Oracle à vos vieux jours promis.
SCENE SECONDE, 1RIS VACIE, SILVANDRE, HIILAS, ASTREE, DIANE, LEONIDE.	SCÈNE SECONDE, 1RIS VACIE, SILVANDRE, HILAS, ASTRE, DIANE, LENIDE.
PARIS.	PARIS.
J Oicy l’endroit choiſi pour la ceremonie, V Que demãde de nous cét amoureux genie, Voila le tombeau vain, & le laict preparé, ax uetques t'ag nedu nou dont te ſront eſt dore:	 Jici l'endroit choisi pour la cérémonie, V Que demãde de nous cet amoureux génie, Voilà le tombeau vain, et le lait préparé, ax uetques t'ag nedu nou dont te sront est dore:
Le Vacie eſt tout preſt pour le ſainct ſacrifice, Et n’attend qu’apres nous à faire ſon office.	Le Vacie est tout prêt pour le saint sacrifice, Et n'attend qu'après nous à faire son office.
Vous qu’vn pieux deſſein oblige à ce debuoir, Adreſſez tous vos vœux chez le monarque noir, Tandis que de ce laict, & de cette victime I’appaiſeray les dieux de l’infernal abiſme, Grãds iuges de l’enfer, Eaque, & vous Minos, Qui là bas ordonnez la peine ou le repos, Suiuant que les espris ſont plus ou moins coulpables, Rendez vous maintenant à nos veux fauorables, Et ne permettez plus que l’auare Charon, Refuſe à cét eſprit de paſſer l’Acheron:	Vous qu'un pieux dessein oblige à ce débuoir, Adressez tous vos vœux chez le monarque noir, Tandis que de ce lait, et de cette victime J'apaiserai les dieux de l'infernal abîme, Grands juges de l'enfer, Eaque, et vous Minos, Qui là bas ordonnez la peine ou le repos, Suivant que les esprit sont plus ou moins coulpables, Rendez vous maintenant à nos veux favorables, Et ne permettez plus que l'auare Ables, Refuse à cet esprit de passer l'Acheron:
Que ce laict que ie verſe, & ce ſang que i'espanche, Du tribut qu’elle doit rendent cette ame frãche:	Que ce lait que Seigneur verse, et ce sang que j'épanche, Du tribut qu'elle doit rendent cette âme franche:
Et toy pour qui l’on faict ce tombeau ſolemnel, Va iouir chez les morts du repos eternel, N'erre plus deſormais en ces lieux ſolitaires, Y laiſſant en repos ſes hoſtes ordinaires.	Et toi pour qui l'on fait ce tombeau solennel, Va jouir chez les morts du repos éternel, N'erre plus désormais en ces lieux solitaires, Y laissant en repos ses hôtes ordinaires.
PARIS.	PARIS.
Bell' ame hoſteſſe autresfois, Du plus beau corps du monde, Eſcoute les ancens de nos plaintiues voix, Deuant que paſſer l’onde, Et receuoir le ioug des infernalles loix.	Bell' âme hôtesse autrefois, Du plus beau corps du monde, Escoute les ancents de nos plaintives voix, Devant que passer l'onde, Et recevoir le joug des infernales lois.
SILVANDRE.	SILVANDRE.
Reçoy de grace ces fleurs Que noſtre amitié ſaincte, Meſle ſur cette tombe, auec l’eaude nos pleurs Et parmy noſtre plainte, p gy nos ſouspirs tefmoins dt nos tuſtes douleurs.	Reçois de grâce ces fleurs Que notre amitié sainte, Mêle sur cette tombe, avec l'eaude nos pleurs Et parmi notre plainte, gy nos soupirs témoins dt nos tûtes douleurs.
HILAS.	HILAS.
Quand tu viuois parmi nous, La plaine eſtoit plus verte, Le ciel nous regardoit auec vn œil plus doux, Mais depuis cette perte, Dans l’eſclair & la foudre il marque ſon courroux.	Quand tu vivais parmi nous, La plaine était plus verte, Le ciel nous regardait toujours un œil plus doux, Mais depuis cette perte, Dans l'éclair et la foudre il marque son courroux.
CHOEVR des Bergers.	CHOEUR des Bergers.
Nos miſerables brebis, Ont de la peine à pêtre Les arbres de douleur quittẽt leurs verds habits, Et depuis l’on voit nêtre L’aurore tous les iours ſans perles, ny rubis.	Nos misérables brebis, Ont de la peine à pêtre Les arbres de douleur quittẽt leur verds habits, Et depuis l'on voit nêtre N'aurore tous les jours sans perles, ni rubis.
ASTREE, Ma ſœur ie n'en puis plus, * – c iij	ASTRE, Ma sœur ie n'en puis plus, * ç 
DIANE.	DIANE.
reprenez vos espris, Que vos ſens ne ſoient plus de ces obiets ſurpris, Faites voir maintenant auec voſtre conſtance, Q inmuneurs chez vous trouuent de reſiſtance.	reprenez vos épris, Que vos sens ne soient plus de ces objets surpris, Faites voir maintenant que vôtre constance, Q inmuneurs chez vous trouvent de résistance.
VACIE.	VACIE.
C’eſt aſſez mes amis, c’eſt aſſez ſouspiré, L’on a ſur ce tombeau ſuffiſamment pleuré, mummmpurjaiujuus, faiſons ce qui nous reſte, Pour conduire à ſa fin cét office funeſte, Qui fait ſon Epitaphe?	C'est assez mes amis, c'est assez soupiré, L'on a sur ce tombeau suffisamment pleuré, mummmpurjaijus, faisons ce qui nous reste, Pour conduire à sa fin cet office funeste, Qui fait son Épitaphe?
SILVANDRE.	SILVANDRE.
Il me faut ſeulement D’vn couteau la grauer deſſus le monument.	Il me faut seulement D'un couteau la graver dessus le monument.
ASTREE.	ASTRE.
Dieux que n’eſlancez vous ſur moy voſtre tonnerre!	Dieux que n'élancez -vous sur moi votre tonnerre!
Pourquoy pour m’engloutir n’ouurez vous point la terre?	Pourquoi pour m'engloutir n'ouvrez -vous point la terre?
Ah!	Ah!
vous ſeriez encor pour mon crime trop doux.	vous seriez encor pour mon crime trop doux.
4	4
DIANE.	DIANE.
ContraigneZ ces regrets on dles yeux ſur nous.	Contraignez ces regrets on dles yeux sur nous.
LEONIDE.	LEONIDE.
Celadon, Celadon, vois-tu point à cét heure Auec quels ſentimens ta bergere te pleure?	Céladon, Céladon, vois-tu point à cet heure Avec quels sentiments ta bergère te pleure?
IVon tis ne le pon pâs tar ſon aſ ſtiction, Sans doute amoliroit ton obſtination.	IVon tis ne le pon pâts tar son as stiction, Sans doute amolirait ton obstination.
SIL.	SIL.
lit l’Epitaphe.	lit l'Épitaphe.
Paſſant quand tu verras ce funeſte tombeau, Et le nom du berger pour qui l’on la fait faire, Tu ſçauras que l’Amour deuenu ſolitaire A de regret eſteint dans ſes pleurs ſon flambeau:	Passant quand tu verras ce funeste tombeau, Et le nom du berger pour qui l'on la fait faire, Tu sçauras que l'Amour devenu solitaire A de regret éteint dans ses pleurs son flambeau:
Pleure donc comme luy, La perte que nous auons faite, La mort de Celadon doit eſtre ſa defaite, Et te jhoiet de ton ennity.	Pleure donc comme lui, La perte que nous avons faite, La mort de Céladon doit être sa défaite, Et te jet de ton enniti.
HILAS.	HILAS.
Ie l’auois touſiours creu qu’à la fin ſa folie Mettroit là quelque traict de ſa melancholie.	Je l'avais toujours cru qu'à la fin sa folie Mettrait là quelque trait de sa mélancolie.
VACIE.	VACIE.
Tout eſt faict il eſt temps d’abandonner ce lieu, C iiij	Tout est fait il est temps d'abandonner ce lieu, Ç ijà
CHOEVR, Adieu bell' aine adieu.	CHOEUR, Adieu bell' aine adieu.
Et de ſe retirer.	Et de se retirer.
LEONIDE.	LEONIDE.
Puis que l’on a mis fin à la ceremonie, Ie vay prendre congé de cette compagnie, Fachee toutefois de la quitter ſi toſt, Mais ma ſeur Alexis doit arriuer bien toſt, Qui me rend ce depart maintenant neceſſaire, Ie laiſſeray pourtant auecques vous mõ frere, uurem uccompagnant vous dira la raiſon, Qui luy fait delaiſſer ceſte ſaincte maiſon, Où depuis ſi long temps elle eſtoit enfermee.	Puis que l'on a mis fin à la cérémonie, Je vais prendre congé de cette compagnie, Fachée toutefois de la quitter sitter tôt, Maister seur Mais ma sitter bien tôt, Qui me rend ce départ maintenant nécessaire, Je laisserai pourtant auecques vous mo frère, uurem uccompagnant vous dira la raison, Qui lui fait délaisser ceste saincte maison, depuis si long temps elle estoit re,
DIANE.	DIANE.
Noſtre ſimplicité ne ſera point blaſmee, Madame, ſi ſuiuant voſtre commandement, Nous vſons auec vous de peu de compliment, Puis que pous deſtrez de viure en ta franchiſe, Que dedans nos hameaux nous nous ſommes acquiſe, Tout ce qu’il vous plaira nous ſeruira de loy.	Notre simplicité ne sera point blâme, Madame, si suivant votre commandement, Nous usons avec vous de peu de compliment, Puis que pous destrez de vivre en ta franchise, Que dedans nos hameaux nous nous sommes acquise, Tout ce qu'il vous plaira nous servira de loi.
LEONIDE.	LEONIDE.
Adieu ſouueneZ vous l’vne & l’autre de moy.	Adieu souvenez -vous l'une et l'autre de moi.
ASTREE.	ASTRE.
Adieu Madame, adieu, nous demeurons cõfuſes, Et cét honneur nous rend tout à fait ſans excuſes.	Adieu Madame, adieu, nous demeurons comfuses, Et cet honneur nous rend tout à fait sans excuses.
SCENE TROISIESME, ADAMAS, CELADON, LEONIDE.	SCÈNE -TROISIÈME, ADAMAS, CÉLADON, LENIDE.
ADAMAS.	ADAMAS.
On fils ie veux ſur vous gaignerce point A71 icy Que vous me remettiés du tout voſtre ſoucy, Et ſuis fort ſatisfaict de voir voſtre viſage, De qui la gayeté me donne vn bon preſage:	On fils ie veux sur vous gagnerce point A71 ici Que vous me remetiez du tout votre souci, Et suis fort satisfait de voir votre visage, De qui la gayeté me donne un bon présage:
Mais ce n'eſt pas aſſez ie veux vous faire voir AR tœbeunte eſmomenu rouincunic en ſon pouuoir, Et veux dans l’entretiẽ que vous receurez d’elle, Que vous la trouuieZ douce à voſtre amour fidelle.	Mais ce n'est pas assez croire veux vous faire voir AR tœbeunte émomenu rouincunic en son pouvoir, Et veux dans l'entretiment que vous receviez d'elle, Que vous la trouviez douce à votre amour fidèle.
CELADON.	CÉLADON.
Ah mon pere, pluſtoſt, ie ſouffriray la mort – Ie ferois à ma flamme vn trop ſenſible tort, Car lors que ſon courroux m’osta de ſa preſence Elle me fit ouir cetre expreſſe deffence.	Ah mon père, plutôt, ie souffriray la mort > Je ferais à ma flamme trop sensible tort, Car lors que son courroux m'ôta de sa présence Elle me fit ouïr cet expresse défense.
Celadon ſi iamais tu te montres à moy, Que mon commandement ne t’en donne la loy, N’attends point de pouuoir apaiſer ma colere, Ny de faire pour moy rien qui me puiſſe plere, Et Celadon apres iroit deuant ſes yeux, Non, non facent de moy ce que voudront les dieux, Que ie perde à iamais pluſtoſt toute ma ioye.	Céladon si jamais tu te montres à moi, Que mon commandement ne t'en donne la loi, N'attends point de pouvoir apaiser ma colère, Ni de faire pour moi rien qui me puisse plere, Et Céladon après irait devant ses yeux, Non, non facent de moi ce que voudront les dieux, Que je perde à jamais plutôt toute ma joie.
ADAMAS.	ADAMAS.
Ce n’eſt pas Coladon que ie veux qu’elle voye, Mais ma fille Alexisint iernettuuté, Que i’auoy conſacree à la diuinité, Li qui comme Druide au temple reténue, Ie veux feindre auiourd’huy toutes fois reuenuë	Ce n'est pas Coladon que femme veux qu'elle voie, Mais ma fille Alexisint iernettuuté, Que j'avais consacrée à la divinité, Li qui comme Druide au temple retenue, Je veux feindre aujourd'hui toutes fois revenue
CELADON.	CÉLADON.
Quel bien de tout cela me peuſt-il reuenir?	Quel bien de tout cela me pût-il revenir?
ADAMAS.	ADAMAS.
Qu'Aſtree auecques vous pourra s’entretenir,	Qu'Astree après vous pourra s'entretenir,
CELADON.	CÉLADON.
Sa defence pourtant y ſert tonftours d’obſtacle.	Sa défense pourtant y sert tonfaitours d'obstacle.
ADAMAS.	ADAMAS.
Sans y contreuenir ie feray ce miracle, Croyez moy ſeulement.	Sans y contrevenir ie ferai ce miracle, Croyez moi seulement.
CELADON.	CÉLADON.
Helas mon pere alors V'ous redonnerez lame, & la ioye ate corps, Mais que faudra-il faire?	Hélas mon père alors V'ous redonnerez lame, et la joie ate corps, Mais que faudra-il faire?
ADAMAS.	ADAMAS.
Il faut prendre courage, Et ſortir auiourd’huy d’vn endroit ſi ſauuage, Où les dieux ont horreur de vous voir endurer, Pour prendre des habits que i’ay faict preparer, Et vous feindre ſi bien que toute la famille Vous prenne à mon logis pour Druide & pour fille, Et me laiſſeZ le ſoin du reſte abſolument.	Il faut prendre courage, Et sortir aujourd'hui d'un endroit si sauvage, Où les dieux ont horreur de vous voir endurer, Pour prendre des habits que j'ai fait préparer, Et vous feindre si bien que toute la famille Vous prenne à mon logis pour Druide et pour fille, Et me laissez le soin du reste absolument.
