TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
On fils ie veux ſur vous gaigner ce point icy IQue vous me remettiés du tout voſtre ſoucy, Et ſuis fort ſatisfaict de voir voſtre viſage, De qui la gayeté me donne vn bon preſage:	On fils de veux sur vous gagner ce point ici IQue vous me remetiez du tout votre souci, Et suis fort satisfait de voir votre visage, De qui la gaieté me donne un bon présage:
Mais ce n’eſt pas aſſez ie veux vous faire voir A la beauté qui tient voſtre ame en ſon pouuoir, Et iem uumt'entretien que vous receurez d’elle.	Mais ce n'est pas assez croire veux vous faire voir À la beauté qui tient votre âme en son pouvoir, Et iem uumt'entretien que vous recevrez d'elle.
Que vous la trouuiez douce à voſtre amour fidelle.	Que vous la trouviez douce à votre amour fidèle.
Celadon.	Céladon.
Ah mon pere pluſtoſt, ie ſouffriray la mort, Ie ferois à ma flamme vn trop ſenſible tort, Car lors que ſon courroux m’oſta de ſa preſence Elle me fit ouir cette expreſſe deffence.	Ah mon père plutôt, ie souffrirai la mort, Je ferais à ma flamme un trop sensible tort, Car lors que son courroux m'ôta de sa présence Elle me fit ouïr cette expresse défense.
Celadon ſi iamais tu te montres à moy, Que mon commandement ne t’en donne la loy, N'attends point de pouuoir apaiſer ma colere, Ny de faire pour moy rien qui me puiſſe plere, Et Celadon apres iroit deuant ſes yeux, Non, non facent de moy ce que voudront les dieux, Que ie perde à iamais pluſtoſt toute maioye.	Céladon si jamais tu te montres à moi, Que mon commandement ne t'en donne la loi, N'attends point de pouvoir apaiser ma colère, Ni de faire pour moi rien qui me puisse plere, Et Céladon après irait devant ses yeux, Non, non facent de moi ce que voudront les dieux, Que grande perde à jamais plutôt toute maie.
Adamas.	Adamas.
Ce n’eſt pas Celadon que ie veux qu’elle voye, Mais ma fille Alexis vne ieune beaute, Que i’auoy conſacree à la diuinité, Et qui comme Druide au temple retenuë, Ie veux feindre auiourd’huy toutesfois reuenuë.	Ce n'est pas Céladon que femme veux qu'elle voie, Mais ma fille Alexis une jeune beauté, Que j'avoi consacrée à la divinité, Et qui comme Druide au temple retenue, Je veux feindre aujourd'hui toutefois revenue.
Celadon.	Céladon.
Quel bien de tout cela me peuſt-il reuenir?	Quel bien de tout cela me pût-il revenir?
Adamas.	Adamas.
Qu'Aſtree autcques tons pourta s'entretenir, Celadot	Qu'Astre autcques tons pourta s'entretenir, Céladot
Celadon.	Céladon.
Sa defence pourtant y ſert touſiours d’obſtacle.	Sa défense pourtant y sert toujours d'obstacle.
Adamas.	Adamas.
vans y contrenemnte feumeummete, Croyez moy ſeulement.	vans y contrenemnte feumeumette, Croyez moi seulement.
Celadon.	Céladon.
Hetas mon pere dlors Vous redonnerez l’ame, & la ioye à ce corps.	Hélas mon père dlors Vous redonnerez l'âme, et la joie à ce corps.
Mais que faudra-il faire?	Mais que faudra-il faire?
Adamas.	Adamas.
Il faut prendre courage, Et ſortir auiourd’huy d’vn endroit ſi ſauuage, Où les dieux ont horreur de vous voir endurer, Pour prendre des habits que i’ay faict preparer, Et vous feinure ſi vien que tome la jamille 3 Vous prenne à mon logis pour Druide & pour fille, Et me laiſſez le ſoin du reſte abſolument.	Il faut prendre courage, Et sortir aujourd'hui d'un endroit si sauvage, Où les dieux ont horreur de vous voir endurer, Pour prendre des habits que j'ai fait préparer, Et vous feinure si viens que tome la jamille 3 Vous prenne à mon logis pour Druide et pour fille, Et me laissez le soin du reste absolument.
Celadon.	Céladon.
Quel bien dois-ie eſperer ſoubs ceſt habillement?	Quel bien dois-je espérer sous cet habillement?
diaulu De voir en peu de iours ſoulager voſtre flame.	diaulu De voir en peu de jours soulager votre flamme.
Celadon.	Céladon.
Ah!	Ah!
que i’ay de la peine à reſoudre mon ame.	que j'ai de la peine à résoudre mon âme.
Adamas.	Adamas.
Leonide reuient qui nous fera ſçauoir Tout ce que l’on a faict au funeſtre deuoir, Qu'Aſtree maintenant vient de vous faire rendre.	Léonide revient qui nous fera sçauoir Tout ce que l'on a fait au funêtre devoir, Qu'Astre maintenant vient de vous faire rendre.
Leonide.	Léonide.
Berger vous auriez tort de plus longtemps attendre A finir vos tourmens, en finiſſant les pleurs, Que voſtre Aſtree eſpand dans ſes iustes douleurs,	Berger vous auriez tort de plus longtemps attendre A finir vos tourments, en finissant les pleurs, Que votre Astre épand dans ses justes douleurs,
Celadon.	Céladon.
Elle m’a neantmoins commandé ceſte abſence,	Elle m'a néanmoins commandé cette absence,
Leonide.	Léonide.
Elle racheteroit bien cher voſtre preſence.	Elle rachèterait bien cher Roi présence.
Celauana Ie ne croy pas pourtant qu’elle me voulut voir.	Célavana Je ne crois pas pourtant qu'elle me voulut voir.
Adamas.	Adamas.
Non, croyãt que la mort vous tienne en ſon pouuoird nu tous routez pomtummnabey Qme croire, Ie vous feray bien toſt rentrer en voſtre gloire.	Non, croyant que la mort vous tienne en son pouvoir nu tous routez pomptummnabei Qme croire, Je vous ferai bien tôt rentrer en votre gloire.
Celadon.	Céladon.
Sans iuy dejobeir.	Sans jui déjobéir.
Adalllas.	Adalllas.
ſans aller nullement Contre le moindre mot de ſon commandement.	sans aller nullement Contre le moindre mot de son commandement.
Celadon.	Céladon.
Mon pere en ce cas là ie feray toute choſe.	Mon père en ce cas là ie ferai toute chose.
Leonide.	Léonide.
Suiuez donques l’aduis que Monſieur vous propoſe,	Suivez donc l'avis que Monsieur vous propose,
Celadon.	Céladon.
I'y ſuis tout diſposé, Adamas.	J'y suis tout disposé, Adamas.
allons, vn amoureux Pour ſon bien doit paroiſtre vn peu plus genereux	allons, un amoureux Pour son bien doit paraître un peu plus généreux
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
Siluandre, Aſtree, Diane, MAMRRMAII.	Silvandre, Astre, Diane, MAMRMAII.
Mour pour eſuiter les traits dont tu nous TY bleſſes, Que la raiſon humaine a de grandes foibleſſes:	Mour pour éviter les traits dont tu nous TY blesses, Que la raison humaine a de grandes faiblesses:
Helas qu'elle eſt fragile, & que facilement Le regard d’vn bel œil force le iugement.	Hélas qu'elle est fragile, et que facilement Le regard d'un bel œil force le jugement.
I'auois erré long temps dans ceſte freneſie, Que toute ta puiſſance eſtoit en fantaiſie, Et que tous les efforts de ta diuinité N'eſtoient que des effects de noſtre laſcheté:	J'avais erré long temps dans cette frénésie, Que toute ta puissance était en fantaisie, Et que tous les efforts de ta divinité N'étaient que des effets de notre lâcheté:
Mais helas!	Mais hélas!
auiourd’huy i’eſprouue à mon dõmage Qu'on ne peut reſiſter aux traicts d’vn beau viſage, Et que ſeul tu peux plus dans le criſtal des yeux, Que ne faict dans le Ciel tout le reſte des Dieux.	aujourd'hui j'éprouve à mon donner Qu'on ne peut résister aux traits d'un beau visage, Et que seul tu peux plus dans le cristal des yeux, Que ne fait dans le Ciel tout le reste des Dieux.
Diane la beauté qui faict que ie ſouſpire, D'vn ſeul de ſes regards eſtablit ton empire, Et le rend redoutable à ceux qui comme moy Se voudroient affranchir des rigueurs de ta loy.	Diane la beauté qui fait que de mire, D'un seul de ses regards établit ton empire, Et le rend redoutable à ceux qui comme moi Se voudraient affranchir des rigueurs de ta loi.
Il eſt außi bien vray qne la nature encore N’a rien faict de pareil aux beautez que i’adore, Et que ie recognoy que i’ay trop entrepris	Il est aussi bien vrai qne la nature encore N'a rien fait de pareil aux beautés que j'adore, Et que deux reconnais que j'ai trop entrepris
E ij	E ij
Me iettant dans les fers où ie me trouue pris:	Me jetant dans les fers où tu me trouve pris:
Mais l’aimable douceur qui paroiſt en ſa face Pourroit meſme embraſer vn courage de glace.	Mais l'aimable douceur qui paraît en sa face Pourrait même embraser un courage de glace.
L’homme le plus barbare en voyant ſa beauté Perd dans vn ſeul regard toute ſa crualté, Ses yeux ne trouuẽt point d’aſſez puiſſantes armes, Pour pouuoir reſiſter aux forces de leurs charmes.	L'homme le plus barbare en voyant sa beauté Perd dans un seul regard toute sa crualté, Ses yeux ne trouvent point d'assez puissantes armes, Pour pouvoir résister aux forces de leurs charmes.
Leur moindre mouuement, nous fait vne pri ſon En vain à!	Leur moindre mouvement, nous fait ton pri son En vain à!
leur effort s’oppoſe la raiſbn, Il leur faut obeyr, leur orgueilleux empire Eſtend ſes iuſtes loix ſur tout ce qui reſſire, Ses cheueux proprement en deſordre agencez Semblent de filets d’or l'vn dans l’autre enlacez, Son frõt beaucoup plus blãc & plus net que l’yuoire, En deux endroits diuers porte vne marque noire, Qui ſe courbant en arc forme deux beaux ſourcis, Cu comme dans ſon throne amour ſe tient aßis, Et de là d'vn maintien imperieux & graue Il voit qu’a ſes beaux yeux tout ſe vict rẽdre eſclaue, Son tein eſt faict de neige auec vn peu de ſang, Son col, rond & poly ſemble de marbre blanc, Sa bouche eſt de corail où les plus belles choſes Ont toutes leurs douceurs en abondance eſcloſes, Où le riche Orient a mis tous ces threſors, Où les plus doux Zephirs reſuſcitent les morts, Et de leurs mouuements nourriſſent vne flame, Qui faict tous les plaiſirs & du corps & de l’ame, Deux petits monts de laict luy releuent le ſein,	leur effort s'oppose la raisbon, Il leur faut obéir, leur orgueilleux empire Estend ses justes lois sur tout ce qui ressire, Ses cheveux proprement en désordre agences Semblent de filets d'or l'vn dans l'autre enlacez, Son front beaucoup plus blants et plus net que l'yvoire, En deux endroits divers porte un marque noire, Qui se courbant en arc forme deux beaux sourcis, Cu comme dans son throne amour se tient is,Sent de là d'un maintien impérieux et graue Il voit a ses beaux yeux tout se vict rẽdre esclaue, Son tein est faict de neige auec peu de sang, Son g, rond et poli semble de a blanc, Sa bouche est de corail les plus belles choses Ont toutes leurs douceurs en abondance écloses, le riche Orient a mis tous ces thresors, les plus doux Zephirs resuscitent les morts, Et de leurs mouuements nourrissent vé flame, Qui faict tous les plaisirs et du corps et de lâme, Deux petits monts de laict lui relèvent le sein,
Où l’on void les amours voler comme vn eſſein:	Où l'on voit les amours voler comme un essein:
Mais què diſie, andiſcret, ma coupable penſee Eſt elle inpunement iuſqu’à ce poinct paſſee?	Mais què disie, andiscret, ma coupable pense Est -elle inpunément jusqu'à ce point passe?
Ah!	Ah!
Diane pardon, i’en parle toutefois Sans pouuoir eſtre ouy que des prez e des bois, Bois qui ne voudroient pas, ma flãme eſtãt ſecrette, Faire vne trahiſon à mon amour diſcrette, Deſia depuis long temps ils ſçauent mes tourmẽs, Quoy qu'a peine on me croye au nombre des amants:	Diane pardon, j'en parle toutefois Sans pouvoir être ouï que des présents e des bois, Bois qui ne voudraient pas, ma flamme étant secrète, Faire une trahison à mon amour discrette, Désia depuis long temps ils savent mes tourments, Quoi qu'a peine on me croie au nombre des amants:
Ils ſçanent que depuis la gageure fatale, Que fit auecques moy cette feinte riuale, I'ayme leur ſolitude, & que i’ay dans les os Vn poiſon amoureux qui m'oſte le repos, Qui ſans doute bien toſt me couſtera la vie;	Ils sais que depuis la gageure fatale, Que fit avec moi cette feinte rivale, J'aime leur solitude, et que j'ai dans les ô n on amoureux qui m'ôte le repos, Qui sans doute bien tôt me coûtera la vie;
Pleuſt aux Dieux que le ſort me l’euſt deſia rauie, Car que peut esperer vn homme infortuné, Qui meſme ne ſçait pas ſous quel Ciel il eſt né, Eſtranger, incognu, ſans biens, ſans heritage, A qui tous les malheurs ſont tombez en partage.	Plût aux Dieux que le sort me l'eût déjà ravie, Car que peut espérer un homme infortuné, Qui même ne sait pas sous quel Ciel il est né, Étranger, inconnu, sans biens, sans héritage, À qui tous les malheurs sont tombez en partage.
Depuis le triſte iour que la meſme béauté D'Vn riual trop puiſſant ſurprit la liberté, Paris dont le merite eſgalle la naiſſance ient de ſes yeux diuins l’inuincible puiſſance, Et Diane qui voit mon ſort eſtre ſi bas, e laiſſera ſurprendre à ces charmants apas, Imour, ce ſera lors qu’vne mortelle rage rmera contre moy mes mains & mon courage, que ne pouuant plus ſupporter mes douleurs, Ie finiray ma vie auecques mes malheurs:	Depuis le triste jour que la même beauté D'Un ival trop puissant surprit la liberté, Paris dont le mérite égale la naissance jent de ses yeux divins l'invincible puissance, Et Diane qui voit mon sort être si bas, eût laissera surprendre à ces charmant apants, Imour, ce sera lors qu'une mortelle rage rmera contre moi mes mains et mon courage, que ne pouvant plus supporter mes douleurs, Je finirai ma vie avec mes malheurs:
Mais ie veux cependant attendre en patience Et contre cét obſtacle employer ma ſcience, Taſchant de l’obliger par ma diſcretion A recognoiſtre vn iour ma iuſte affection:	Mais fort veux cependant attendre en patience Et contre cet obstacle employer ma science, Tâchant de l'obliger par ma discrétion À reconnaître un jour ma juste affection:
Il n’est fille qu’en fin vn fidelle ſeruice N’engage tost ou tard à quelque bon office, Et Diane n’eſt pas:	Il n'est fille qu'en fin un fidèle service N'engage tôt ou tard à quelque bon office, Et Diane n'est pas:
mais la voicy venir Auecques ſon Aſtree icy s’entretenir, Ie veux feindre pourtant aßis ſur l’herbe verte Que ie ne l’auois point encore deſcouuerte.	mais la voici venir Avecques son Astre ici s'entretenir, Je veux feindre pourtant aussi sur l'herbe verte Que ils ne l'avais point encore découverte.
Aſtree.	Astreée.
Touι ſeαt μαμς tentcetιemue los penſtrs ſecrets.	Toute seαt ô tentcetιemue te penstrs secrets.
Siluandre.	Silvandre.
Tout ſeul dans l’entretien de mes iuſtes regrets.	Tout seul dans l'entretien de mes justes regrets.
Aſtree.	Astreée.
Quel en eſt le ſubiet?	Quel en est le sujet?
Silua.	Silua.
Mes dures deſtinees Qui de mille accidents ont troublé mes annees.	Mes dures destinées Qui de mille accidents ont troublé mes années.
Diauee Sans doute de vous voir incognu dans ces lieux.	Diave Sans doute de vous voir inconnu dans ces lieux.
Siluandre.	Silvandre.
Mais pluſtoſt de me voir eſclaue de vos yeux.	Mais plutôt de me voir esclaue de vos yeux.
Diane.	Diane.
Croyez vous que le ſort vous face de l’iniure Vous ayant obligé de m’aymer par gageure?	Croyez vous que le sort vous face de l'injure Vous ayant obligé de m'aimer par gageure?
Siluandre.	Silvandre.
Ouy, lors qu’il nia perms uuuoir ſi longuement Aupres de vous veſcu dans mon aueuglement, Sans auoir außi toſt que ie vy ce viſage Perdu de la franchiſe & le nom & l’vſage.	Oui, lors qu'il nia perms uvoir si longuement Auprès de vous vécu dans mon aveuglement, Sans avoir aussi tôt que je vi ce visage Perdu de la franchise et le nom et l'usage.
