JULIE, Fille d’Oronte.	JULIE, Fille d'Oronte.
Pour rien.	Pour rien.
L’EXEMPT.	L'EXEMPT.
Voila un diſcours qui marque quelque choſe, & je vous arreſte priſonnier.	Voilà un discours qui marque quelque chose, et je vous arrête prisonnier.
Mi PouionnudnAc.	Mi PouionnudAc.
Eh, Monſieur, de grace.	Eh, Monsieur, de grâce.
L’EXEMPT.	L'EXEMPT.
Non, non, à voſtre mine, & à vos diſcours, il faut que vous ſoyez ce Monſieur de Pourceaugnac que nous cherchons, qui ſe ſoit déguiſé de la ſorte;	Non, non, à votre mine, et à vos discours, il faut que vous soyez ce Monsieur de Pourceaugnac que nous cherchons, qui se soit déguisé de la sorte;
& rous viendrez en priſon tout-à-l’heure.	et rous viendrez en prison tout-à-l'heure.
Helas!	Hélas!
ul.	ul.
AOuReBAdORIe.	ÀOuReBAdORIe.
SCENE V.	SCÈNE V.
L’EXEMPT, ARCHERS, SBRIGANT, M.	L'EXEMPT, ARCHERS, SBRIGANT, M.
TOURC.	TOURC.
OBRTCANI.	ÔBRTCANI.
A H Ciel!	À H Ciel!
que veut dire cela?	que veut dire cela?
M.	M.
FOURCEAUGNAC.	FOURCEAUGNAC.
Ils m’ont reconnu.	Ils m'ont reconnu.
L’EXEMPT.	L'EXEMPT.
Ouy, ouy, c’eſt dequoy je ſuis ravi.	Oui, oui, c'est dequoy je suis ravi.
SBRIGANI.	SBRIGANI.
Ell, Mronieur;	Elle, Mronieur;
pour l'ailiour de moy;	pour l'ailiour de moi;
vous ſçavez que nous ſommes Amis il y a long-temps;	Vous savez que nous sommes Amis il y a longtemps;
je vous conjure de ne le point mener en prifon.	je vous conjure de ne le point mener en prison.
L’EXEMPT.	L'EXEMPT.
Non, il m’eſt impoſſible.	Non, il m'est impossible.
SBRIGANI.	SBRIGANI.
Vous eſtes Homme d’accommodement, n’y a-t-il pas moyen d’ajuſter cela avec quelques Piſtoles?	Vous êtes Homme d'accommodement, n'y a-t-il pas moyen d'ajuster cela avec quelques Pistoles?
L’EXEMPT à ſes Archers.	L'EXEMPT à ses Archers.
Retirez-vous un peu.	Retirez-vous un peu.
SBRI	SBRI
SBRIGANI.	SBRIGANI.
Il faut luy donner de l’argent pour vous laiſſer aller;	Il faut venir donner de l'argent pour vous laisser aller;
Faites viſte.	Faites vite.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ah maudite Ville!	Ah maudite Ville!
OBReTOIN I.	OBReTOIN I.
Tenez, Monſieur.	Tenez, Monsieur.
LEXEAPI.	LEXEPI.
Combien y a-t-il?	Combien y a-t-il?
SBRIGANI.	SBRIGANI.
Un, deux, trois, quatre, cinq, ſix, ſept, huit, meur, diſe	Un, deux, trois, quatre, cinq, six, sept, huit, meur, dise
L’EXEMET.	L'EXEMT.
Non, mon ordre eſt trop exprés.	Non, mon ordre est trop exprès.
BRIGANI.	BRIGANI.
Mon Dieu attendez.	Mon Dieu attendez.
Dépeſchez, donnez-luy-en encore autant.	Dépêchez, donnez-lui-en encore autant.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mais.	Mais.
D bCia HMI.	D bCia HMI.
Dépeſchez-vous, vous dis-je, & ne perdez point de temps:	Dépêchez-vous, vous dis-je, et ne perdez point de temps:
vous aunez un grand plaiſir, quand vous ſeriez pendu.	vous aunez un grand plaisir, quand vous seriez pendu.
Ah!	Ah!
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
SBRIGANI.	SBRIGANI.
Aelica, Mioimeur.	Aélica, Mioimeur.
L’EXEMPT.	L'EXEMPT.
Il faut donc que je m’enfuye avec luy, car il n’y auroit point icy de ſeureté pour moy.	Il faut donc que je m'enfuie avec lui, car il n'y aurait point ici de sûreté pour moi.
Laiſſez-le moy conduire, & ne bougez d’icy.	Laissez-le moi conduire, et ne bougez d'ici.
SBRIGANI.	SBRIGANI.
Je vous prie donc d’en avoir un grand ſoin.	Je vous prie donc d'en avoir un grand soin.
L’EXEMPT.	L'EXEMPT.
Je vous promets de ne le point quitter, que je ne I’aye mis en lieu de ſeureté.	Je vous promets de ne le point quitter, que je ne J'aie mis en lieu de sûreté.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Adieu.	Adieu.
Voila le ſeul honneſte Homme que j’ay trouvé en cette ville.	Voilà le seul honnête Homme que j'ai trouvé en cette ville.
BRIGANI.	BRIGANI.
Ne perdez point de temps;	Ne perdez point de temps;
je vous aime tant, que je voudrois que vous fuſſiez déja bien loin.	je vous aime tant, que je voudrais que vous fussiez déjà bien loin.
Que le oierte conduiſe!	Que le oite conduise!
Par ma foy, voila une grande dupe.	Par ma foi, voilà une grande dupe,
Mais voicy.	Mais voici.
SCENE VI.	SCÈNE VI.
ORONTE, SBRIGANI.	ORONTE, SBRIGANI.
SBRIGANI.	SBRIGANI.
AH quelle étrange avanture!	AH quelle étrange aventure!
quelle fâcheuſe a*nouvelle pour un reie!	quelle fâcheuse a*nouvelle pour un reie!
Fauvie oronte, que je te plains!	Fauvie oronte, que je te plains!
Que diras-tu?	Que diras-tu?
& de quelle façon pourrassu ſuporter cette douleur mortelle?	et de quelle façon pourrassu suporter cette douleur mortelle?
DRONTE.	DRONTE.
Qu’eſt-ce?	Qu'est-ce?
quel malheur me preſages-tu?	quel malheur me présages-tu?
BRIGANI.	BRIGANI.
Ah, Monſieur, ce perfide de Limoſin, ce traiſtre de Monſieur de Pourceaugnat, vous emere voſtre Fille.	Ah, Monsieur, ce perfide de Limosin, ce traître de Monsieur de Pourceaugnat, vous emère votre Fille.
ORONTE.	ORONTE.
Amnemtve ma Fille!	Amnetve ma Fille!
SERIGANI.	SERIGANI.
Ouy;	Oui;
elle en eſt devenuë ſi fole, qu’elle vous quitte pour le ſuivre;	elle en est devenue si sole, qu'elle vous quitte pour le suivre;
& l’on dit qu’il a un Caractere pour ſe faire aimer de toutes les Femmes.	et l'on dit qu'il a un Caractère pour se faire aimer de toutes les Femmes.
ORONTE.	ORONTE.
Allons viſte à la Juſtice.	Allons vite à la Justice.
Des Archers aprés eux.	Des Archers après eux.
SCENE VII.	SCÈNE VII.
DAchOIE, JODIE, oD ORON.	DAchOIE, JODIE, oD ORON.
A F.	À F.
ERASTE.	ERASTE.
Llons', vous viendrez malgré vous, & je veux vous remettre entre les mains de voſtre Pere.	Llons, vous viendrez malgré vous, et je veux vous remettre entre les mains de votre Père.
Tenez, Monſieur, voila voſtre Fille que j’ay tirée de force d’entre les mains de l’Homme avec qui elle s’enfuyoit;	Tenez, Monsieur, voilà votre Fille que j'ai tirée de force d'entre les mains de l'Homme avec qui elle s'enfuyait;
non pas pour l’amour d’elle, mais pour voſtre ſeule conſideration:	non pas pour l'amour d'elle, mais pour votre seule considération:
car aprés l’action qu’elle a faite, je dois la mépriſer, & me guerir abſolument de l’amour que j’avois pour elle.	car après l'action qu'elle a faite, je dois la mépriser, et me guérir absolument de l'amour que j'avais pour elle.
ORONTE.	ORONTE.
Ah infame que tu es!	Ah infâme que tu es!
ERASTE.	ERASTE.
Comment?	Comment?
me traiter de la ſorte aprés toutes les marques d’amitié que je vous ay données!	me traiter de la sorte après toutes les marques d'amitié que je vous ai données!
Je ne vous blâme point de vous eſtre ſoûmiſe aux volontez de Monſieur voſtre Pere;	Je ne vous blâme point de vous être soumise aux volontés de Monsieur votre Père;
il eſt ſage & judicieux dans les choſes qu’il fait, & je ne me plains point de luy de m’avoir rejetté pour un autre.	il est sage et judicieux dans les choses qu'il fait, et je ne me plains point de même de m'avoir rejetté pour un autre.
S’il a manqué à la parole qu’il m’avoit donnée, il a ſes raiſons pour cela.	S'il a manqué à la parole qu'il m'avait donnée, il a ses raisons pour cela.
On luy a fait croire que cet autre eſt plus riche que moy de quatre ou cinq mille écus;	On a a fait croire que cet autre est plus riche que moi de quatre ou cinq mille écus;
& quatre ou cinq mille écus eſt un denier conſiderable, & qui vaut bien la peine qu’un Homme manque à ſa parole:	et quatre ou cinq mille écus est un denier considérable, et qui vaut bien la peine qu'un Homme manque à sa parole:
Mais oublier en un moment toute l’ardeur que je vous ay montrée, vous laiſſer d’abord enflâmer d’amour pour un nouveau venu, & le ſuivre honteuſement ſans le conſentement de Monſieur voſtre Pere, aprés les crimes qu’on luy impute, c’eſt une choſe condamnée de tout le monde, & dont mon cœur ne peut vous faire d’aſſez ſanglans reproches.	Mais oublier en un moment toute l'ardeur que je vous ai montrée, vous laisser d'abord enflâmer d'amour pour un nouveau venu, et le suivre honteusement sans le consentement de Monsieur votre Père, après les crimes qu'on lui impute, c'est une chose condamnée de tout le monde, et dont mon cœur ne peut vous faire d'assez sanglants reproches.
ULIE.	ULIE.
Hé bien ouy, j’ay conceu de l’amour pour luy, & je je l’ay voulu ſuivre, puis que mon Pere me l’avoit choiſi pour Epous.	Hé bien oui, j'ai conçu de l'amour pour lui, et je je l'ai voulu suivre, puis que mon Père me l'avait choisi pour Épous.
Quoy que vous me diſiez, c’eſt un fort honneſte Homme;	Quoi que vous me disiez, c'est un fort honnête Homme;
& tous les crimes dont on l’accuſe, ſont fauſſetez épouvantables.	et tous les crimes dont on l'accuse, sont faussetés épouvantables.
ORONTE.	ORONTE.
Tanen dous.	Tanen dous.
vouy entes dne mmpermene;	voui entes dne mmpermène;
& je ſçay mieux que vous ce qui en eſt.	et je sais mieux que vous ce qui en est.
ULIE.	ULIE.
Ce ſont ſans doute des pieces qu’on luy fait, & e’eſt peut-eſtre luy qui a trouvé cet artifice pour vous en dégoûter.	Ce sont sans doute des pièces qu'on était fait, et e'est peut-être jours qui a trouvé cet artifice pour vous en dégoûter.
ERASTE.	ERASTE.
Moy, je ſerois capable de cela!	Moi, je serais capable de cela!
Ouy, vous.	Oui, vous.
ULIE.	ULIE.
ORONTE.	ORONTE.
Taiſez-vous, vous dis-je;	Taisez-vous, vous dis-je;
vous eſtes une ſotte.	vous êtes une sotte.
ERASTE.	ERASTE.
Non, non, ne vous imaginez pas que j’aye au« cune envie de détourner ce Mariage, & que ce ſoit ma paſſion qui m’ait forcé à courir aprés vous.	Non, non, ne vous imaginez pas que j'aie au " cune envie de détourner ce Mariage, et que ce soit ma passion qui m'ait forcé à courir après vous.
Je vous l’ay déja dit, ce n’eſt que la ſeule conſideration que j’ay pour Monſieur voſtre Pere, & je n’ay pû ſouffrir qu’un honneſte Homme comme luy fuſt expoſé à la honte de tous les bruits qui pourroient ſuivre une action comme la voſtre.	Je vous l'ai déjà dit, ce n'est que la seule considération que j'ai pour Monsieur votre Père, et je n'ai pu souffrir qu'un honnête Homme comme lui fût exposé à la honte de tous les bruits qui pourraient suivre une action comme la vôtre.
ORONTE.	ORONTE.
Je vous ſuis, Seigneur Eraſte, infiniment obligé.	Je vous suis, Seigneur Eraste, infiniment obligé.
ERASTE.	ERASTE.
Adieu, Monſieur, j’avois toutes les ardeurs du monde d’entrer dans voſtre Alliance;	Adieu, Monsieur, j'avais toutes les ardeurs du monde d'entrer dans votre Alliance;
j’ay fait tout ce que j’ay pû pour obtenir un tel honneur, mais j’ay eſté malheureux, & vous ne m’avez pas jugé digne de cette grace.	j'ai fait tout ce que j'ai pu pour obtenir un tel honneur, mais j'ai été malheureux, et vous ne m'avez pas jugé digne de cette grâce.
Cela n’empeſchera pas que je ne conſerve pour vous les ſentimens d’eſtime & de veneration où voſtre Perſonne m’oblige;	Cela n'empêchera pas que je ne conserve pour vous les sentiments d'estime et de vénération où votre Personne m'oblige;
& ſi je n’ay pû pû eſtre voſtre Gendre, au moins ſeray-je eternellement voſtre berviteur.	et si je n'ai pu pû être votre Gendre, au moins serai-je éternellement vôtre berviteur.
ORONTE.	ORONTE.
Arreſtez, Seigneur Eraſte, voſtre procedé me touche l’ame, & je vous donne ma Fille en mariage.	Arrêtez, Seigneur Eraste, votre procédé me touche l'âme, et je vous donne ma Fille en mariage.
ULIE.	ULIE.
je ne veua pomne daumle murj quo Monſieur de Pourceaugnac.	je ne veua pomne daumle murj out Monsieur de Pourceaugnac.
ORONTE.	ORONTE.
Et je veux moy, tout-a-l’heure, que tu prenes le Séigneur Eraſte.	Et je veux moi, tout-a-l'heure, que tu prenez le Séigneur Eraste.
çà, la main.	çà, la main.
ULIE.	ULIE.
Non, je n’en feray rien.	Non, je n'en ferai rien.
DRONTE.	DRONTE.
Je te donneray ſur les oreilles.	Je te donnerai sur les oreilles.
ERASTE.	ERASTE.
Non, non, Monſieur, ne luy faites point de vioſenet, je vous en prie.	Non, non, Monsieur, ne lui faites point de viosenet, je vous en prie.
ORONTE.	ORONTE.
C’eſt à elle à m’obeïr, & je ſçay me montrer leMaiſtre.	C'est à elle à m'obéir, et je sais me montrer leMaître.
ERASTE.	ERASTE.
Ne voyez-vous pas l’amour qu’elle a pour cet Homme-là?	Ne voyez-vous pas l'amour qu'elle a pour cet Homme-là?
& voulez vous que je poſſede un Corps, dont un autre poſſedera le cœur?	et voulez -vous que je possède un Corps, dont un autre possédera le cœur?
ORONTE.	ORONTE.
Geit ui foitilee qu'il fuy a donné, & vous verrez qu’elle changera de ſentiment avant qu’il ſoit peu.	Géit ui foitilèse qu'il fui a donné, et vous verrez qu'elle changera de sentiment avant qu'il soit peu.
Donnez-moy voſtre main.	Donnez-moi votre main.
Allons.	Allons.
Je ne.	Je ne.
ULIE.	ULIE.
ORONTE.	ORONTE.
Ah que de bruit.	Ah que de bruit.
Cà, voſtre main, vous dis-je.	Çà, votre main, vous dis-je.
Ah, ah, ah.	Ah, ah, ah.
ERASTE.	ERASTE.
Ne croyez pas que ce ſoit pour l’amour de vous que je vous donne la main;	Ne croyez pas que ce soit pour l'amour de vous que je vous donne la main;
ce n’eſt que Monſieur voſtre voſtre Pere dont je ſuis amoureux, & c’eſt luy que jepoule.	ce n'est que Monsieur votre vôtre Père dont je suis amoureux, et c'est rien que jepoule.
ORONTE.	ORONTE.
Je vous ſuis beaucoup obligé, & j’augmente de dix mille ecus le Mariage de ma Fille.	Je vous suis beaucoup obligé, et j'augmente de dix mille écus le Mariage de ma Fille.
Allons, qu’on faſſe venir le Notaire pour dreſſer le Contract.	Allons, qu'on fasse venir le Notaire pour dresser le Contrat.
ERASTE.	ERASTE.
En attendant qu’il vienne, nous pouvons joüir du divertiſſement de la Saiſon, & faire entrer les Maſques que le bruit des Nopces de M.	En attendant qu'il vienne, nous pouvons jouir du divertissement de la Saison, et faire entrer les Masques que le bruit des Noces de M.
de Pourceaugnac a attiré icy de tous les endroits de la Ville.	de Pourceaugnac a attiré ici de tous les endroits de la Ville.
SCENE VIII.	SCÈNE VIII.
PLUSIEURS MASQUES de toutes les manieres, dont les uns occupent pluſieurs Balcons, & les autres ſont dans la Place, qui par pluſieurs Chanſons & diverſes Dances & jeux, cherchent à ſe donner des plaiſirs innocens.	PLUSIEURS MASQUES de toutes les manières, dont les uns occupent plusieurs Balcons, et les autres sont dans la Place, qui par plusieurs Chansons et diverses Dances et jeux, cherchent à se donner des plaisirs innocents.
INE EGYPTIENNE.	INE ÉGYPTIENNE.
COrtez, ſortez de ces lieux Soucis, chagrins & triſteſſe, Venez, venez ris & jeux, Plaiſirs, amour & tendreſſe, Ne ſongeons qu’à nous rejoüir, La grande affaire eſt le plaiſir.	COrtez, sortez de ces lieux Soucis, chagrins et tristesse, Venez, venez ris et jeux, Plaisirs, amour et tendresse, Ne songeons qu'à nous réjouir, La grande affaire est le plaisir.
Chœur des Muſiciens.	Chœur des Musiciens.
Ne ſongeons qu’à nous réjoüir, La grande affaire eſt le plaiſir.	Ne songeons qu'à nous réjouir, La grande affaire est le plaisir.
L’EGYPTIENN A me ſuivre tous icy, Voſtre ardeur eſt non commune, Et vous eſtes en ſoucy De voſtre bonne fortune:	L'ÉGYPTIENN À me suivre tous ici, Votre ardeur est non commune, Et vous êtes en souci De votre bonne fortune:
Soyez toûjours amoureux, C’eſt le moyen d’eſtre heureux.	Soyez toujours amoureux, C'est le moyen d'être heureux.
E GPTIEN.	E GPTIEN.
Aimons juſques au trepas, La raiſon nous y convie:	Aimons jusques au trépas, La raison nous y convie:
Helas!	Hélas!
ſi l’on n’aimoit pas, Que ſeroit-ce de la vie?	si l'on n'aimait pas, Que serait-ce de la vie?
Ah!	Ah!
perdons plutoſt le jour, Que de perare nejrro aimami Tous deux en Dialogue.	perdons plutôt le jour, Que de pérare néjro aimi Tous deux en Dialogue.
LEGIPIIEN.	LÉGIPIEN.
Les Biens.	Les Biens.
L’EGYPTIENNE.	L'ÉGYPTIENNE.
La Gloire.	La Gloire.
L’EGYPTIEN.	L'ÉGYPTIEN.
Cer drhidens.	Cer drhidents.
L’EGYTTIENNE.	L'ÉGYTTIENNE.
Lts Oceptres qui font tant d'envie.	Lts Oceptres qui font tant d'envie.
L’EGYPTIEN.	L'ÉGYPTIEN.
Tout n’eſt rien, ſi l’amour n’y meſte ſes ardeurs.	Tout n'est rien, si l'amour n'y mette ses ardeurs.
LE C Y PIIENNE.	LE Ç Y PIIENNE.
Il n'eſt point, ſans l’amour, de plaiſir dans la vie:	Il n'est point, sans l'amour, de plaisir dans la vie:
Tous deuxememble.	Tous deuxememble.
Soyons toûjours amoureux, C’eſt le moyen d’eſtre heureux.	Soyons toujours amoureux, C'est le moyen d'être heureux.
Le petit Chœur chante aprés ces deux	Le petit Chœur chante après ces deux
derniers Vers.	derniers Vers.
Sus, ſus, chantons tous enſemble, Danjon3 juutens5 jeuuis nous.	Sus, sus, chantons tous ensemble, Danjon3 juutens5 jeuis nous.
Un Muſicien ſeul.	Un Musicien seul.
Lors que pour rire on s’aſſemble, Les plus ſages, ce me ſemble, Sont ceux qui ſont les plus fous.	Lors que pour rire on s'assemble, Les plus sages, ce me semble, Sont ceux qui sont les plus fous.
Tous enſemble.	Tous ensemble.
Ne ſongeons qu’à nous réjoüir, Le srande Maire et le pee,	Ne songeons qu'à nous réjouir, Le srande Maire et le pe,
