A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
Là deſſus m’approchant ie fus bien eſtonnee Que ie la vis par tout de pompe enuironnee, Son habit rayonnant d’vn eſclat ſomptueux N’auoit rien que d’auguſte & de majeſtueux;	Là -dessus m'approchant avoir bien étonnée Que tu la vis par tout de pompe environnée, Son habit rayonnant d'un éclat somptueux N'avait rien que d'auguste et de majestueux;
Iamais tant de beautez à mes yeux n’eſclaterent, Ny iamais ſi long temps mes regards n’arreſterent;	Jamais tant de beautés à mes yeux n'éclatèrent, Ni jamais si long temps mes regards n'arrêtèrent;
Ma mere, me dit-elle en m’embraſſant bien fort, Ne craignons plus les vents, nous ſommes dans le port, Voyez-vous ce Berger, c'eſt luy qui m'a tiree	Ma mère, me dit-elle en m'embrassant bien fort, Ne craignons plus les vents, nous sommes dans le port, Voyez-vous ce Berger, c'est lui qui m'a tirée
Des horreurs d'vne mort qu’on m’auoit preparee, C’eſt luy qui m'a donné ce riche habillement, Et c’eſt luy ſeul außi que i’aime vniquement.	Des horreurs d'une mort qu'on m'avait préparée, C'est toujours qui m'a donné ce riche habillement, Et c'est lui seul aussi que j'aime uniquement.
Souſriant à ces mots elle acheuoit à peine, Qu'vne foule de monde apparut dans la plaine, Bergeres & Bergers chantans confusément Certains airs qui pourtant s’entendoient aisément, Meſlez comme ils eſtoient le reſpect ſur la face Ils nous ont ſalué d’vne fort bonne grace;	Sousriant à ces mots elle achevait à peine, Qu'une foule de monde apparut dans la plaine, Bergères et Bergers chant confusément Certains airs qui pourtant s'entendaient aisément, Mêlés comme ils étaient le respect sur la face Ils nous ont salué d'une fort bonne grâce;
Apres ſe diuiſant, les hommes revnis Ont rendu aux Bergers des honneurs infinis, Les filles d’autre part s’adreſſant à la mienne A l’imitation de la plus ancienne, Ainſi que les Bergers ont ployé les genoux Toutes à meſme temps s’inclinant deuant nous, Vne en fin s’aduançant & fort belle & fori grande Sur le front de Syluie a mis vne guirlande.	Après se divisant, les hommes réunis Ont rendu aux Bergers des honneurs infinis, Les filles d'autre part s'adressant à la mienne A l'imitation de la plus ancienne, Ainsi que les Bergers ont ployé les genoux Toutes à même temps s'inclinant deuant nous, Une en fin s'avançant et fort belle et fori grande Sur le front de Sylui a mis guirlande.
La deſſus noſtre coq au retour du Soleil De ſon chant importun a rompu mon ſommeil.	La dessus notre coq au retour du Soleil De son chant importun a rompu mon sommeil.
EET--du Pama qmm --	CET-du Pama qm --
DAMON.	DAMON.
Tout großier que ie ſuis ie ne m’attache guere A ces ſottes erreurs qui touchent le vulgaire, Les ſuperſtitions n'engagent point ma foy, Mon iugement s’en moque & leur donne la loy.	Tout grossière que sans suis mieux ne m'attache guère À ces sottes erreurs qui touchent le vulgaire, Les superstitions n'engagent point ma foi, Mon jugement s'en moque et leur donne la loi.
MACEE.	MACE.
Ie ſuis d’auecque vous, Damon, que d’ordinaire Le preſage d’vn ſonge eſt moins qu’imaginaire, Mais il faut aduoüer qu’on en a faict außi Dont les predictions ont fort bien reußi, Ie cognois vne femme en noſtre voiſinage Q ml aan jue palmuare page.	Je suis d'avec vous, Damon, que d'ordinaire Le présage d'un songe est moins qu'imaginaire, Mais il faut avouer qu'on en a fait aussi Dont les prédictions ont fort bien reussi, Je connais une femme en notre voisinage Q ml aan j almuare page.
OCEADAT.	OCEDAT.
DAMON.	DAMON.
MACEE.	MACE.
PHILENE.	PHILENE.
SYLVIE.	SYLVIE.
DAMON.	DAMON.
R ſus, quoy que c’en ſoit, ie m'en remets  aux Dieux Qui reglent nos deſtins, & font tout pour le mienx:	 Rus, quoi que c'en soit, on m'en remets aux Dieux Qui règlent nos destins, et font tout pour le mienx:
Cependant inuentons quelques ruſes ſecrettes Afin de diuertir ces folles amourettes, Ie croy que le meilleur eſt de la marier, Et de treuuer quelqu'vn a qui l’apparier.	Cependant inventons quelques ruses secrètes Afin de divertir ces folles amourettes, Je crois que le meilleur est de la marier, Et de trouver quelqu'un à qui l'apparier.
MACEE.	MACE.
I plaiſe, Grace à Pan, nous auons, pourueu qu’elle nous Des biens ſuffiſammẽt pour la mettre à ſon aiſe.	I plaise, Grâce à Pan, nous avons, pourvu qu'elle nous Des bien suffisamment pour la mettre à son aise.
DAMON.	DAMON.
Philene en ce hameau Berger tres-opulent A touſiours eu pour elle vn deſir violent, Cent fois il m'a prié de luy donner pour femme, Si cette affection luy tient encor dans l’ame Il luy faut accorder, & ſans plus de façon.	Philène en ce hameau Berger très-opulent A jours eu pour elle un désir violent, Cent fois il m'a prié de lui donner pour femme, Si cette affection lui tient encor dans l'âme Il lui faut accorder, et sans plus de façon.
MACEE.	MACE.
aet je ordy que Iunent eſt vien gemtit garcon, Et tres-bon meſnager, mais ie crains que Syluie Pour le meſme ſujet n’ait pas la meſme enuie.	aet je ordi que Junent est vien gémit garçon, Et très-bon ménager, mais jour crains que Syluie Pour le même sujet n'ait pas la même envie.
DAMON.	DAMON.
Ait ou non, ſon deſir du noſtre dependant Ne nous peut qu’obeyr:	Ait ou non, son désir du sent dépendant Ne nous peut qu'obéir:
taiſons nous cependant, Car ie voy ce Paſteur qui vers nous s’achemine Auecque la fason d’vn eſprit qui rumine.	taisons nous cependant, Car ie vois ce Pasteur qui vers nous s'achemine Avec la fason d'Hommes esprit qui rumine.
MACEE.	MACE.
Il ne fait pas ſemblant de nous voir ſeulement, Le ſauei adejſein.	Il ne fait pas semblant de nous voir seulement, Le savei adejin.
DAMON.	DAMON.
A deſſein, nullement.	À dessein, nullement.
Vois-tu pas que ſa veue aux herbes attachee Deſcouure quelque eſpine en ſon ame cachee?	Vois-tu pas que sa vue aux herbes attachée Découvre quelque épine en son âme cachée?
Allons le retirer de ce penſer profond, Dont le fiel en ſon cœur de plus en plus ſe fond.	Allons le retirer de ce penser profond, Dont le fiel en son cœur de plus en plus se fond.
Berger, l’affection m’oblige à vous diſtraire D’vne humeur à vostre âge entierement con traire, Quelle honte, mon fils, que tout vieux que ie ſuis Il faille m’employer à chaſſer vos ennuis, Vous qui franc des chagrins qu’vn longâgé nous laiſſe, Deuriez à voſtre exemple en ſauuer la vieilleſſe;	Berger, l'affection m'oblige à vous distraire D'une humeur à votre âge entièrement con traire, Quelle honte, mon fils, que tout vieux que je suis Il faille m'employer à chasser vos ennuis, Vous qui franc des chagrins qu'un longâgé nous laisse, Deuriez à votre exemple en sauver la vieillesse;
Ne me le cacheZ point, dittes moy franchement Qui cauſe en voſtre humeur ce nouueau changement, Quelque loup auroit il dedans vos Bergeries Auec ſes dents graué l’horreur de ſes furies?	Ne me le cachez point, dites -moi franchement Qui cause en votre humeur ce nouveau changement, Quelque loup aurait -il dedans vos Bergeries Avec ses dents gravé l'horreur de ses furies?
PHILENE.	PHILENE.
Vn mortel baſilic ſurpris à l’impourueue A a coue jon penin dans i'ame par la veue.	Un mortel basilic surpris à l'impourvue A a coue jon penin dans j'âme par la vue.
DAMON.	DAMON.
Bons Dieux!	Bons Dieux!
vn baſilic, pourtant ie m’eſbahis Qu'vn ſemblable ſerpent ſe treuue en ce pays.	un basilic, pourtant ainsi m'ébahis Qu'un semblable serpent se trouve en ce pays.
MACEE.	MACE.
Comtuge arentijune, te ſpay vnt rucine Qui peut à voſtre mal apporter medecine.	Comtuge arentijune, te spay unt rucine Qui peut à votre mal apporter médecine.
DAMON.	DAMON.
Et moyie ſçay außi certains vers ambigus Qui ſeruent d’antidote aux venins plus aigus.	Et moiie sais aussi certains vers ambigus Qui servent d'antidote aux venins plus aigus.
HILENE.	HILENE.
Vos racines, vos vers, ny vos ſciences vaines de urraent ront iamao et poijon de mes veines, Outre qu’il me tourmente auec tant de plaiſir, Que pouuant bien guerir i'en perdray le deſir.	Vos racines, vos vers, Seigneur vos sciences vaines de urrent ront jamao et poijon de mes veines, Outre qu'il me tourmente avec tant de plaisir, Que pouvant bien guérir j'en perdrai le désir.
DAMON.	DAMON.
Comprends-tu le ſujet de cette maladie?	Comprends-tu le sujet de cette maladie?
MACEE.	MACE.
Ie le pourray ſçauoir pourueu qu’il me la die En termes plus exprés, & dont le ſens ouuert dert monique perton.	Je le pourrai savoir pourvu qu'il me la die En termes plus exprès, et dont le sens ouvert dert monique perton.
Q uomoragt couhert.	Q omoragt couhert.
DAMON.	DAMON.
Je cognois le poiſon qui ſon eſprit altere, Tout cecy n'eſt ſinon vn amoureux myſtere:	Je connais le poison qui son esprit altère, Tout ceci n'est sinon un amoureux mystère:
Vat enquerir Syluie.	Vat enquérir Syluie.
MACEE.	MACE.
A le deſennuyer.	À le désennuyer.
Efferqea uoue santets	Éfferqea uoue santets
DAMON.	DAMON.
Fais ce que ie te dis:	Fais ce que Seigneur te dis:
Si bien pauure Berger que la funeſte œillade D’vn meſchant baſilic vous a rendu malade:	Si bien pauvre Berger que la funeste œillade D'un méchant basilic vous a rendu malade:
Mais ne croyez vous pas qu’on vous peut ſeculrlle	Mais ne croyez vous pas qu'on vous peut séulrlle
HILENE.	HILENE.
Mapins ferme creance eſt celle de mourir.	Mapins ferme créance est celle de mourir.
uie.	uie.
PHILENE.	PHILENE.
Dieux!	Dieux!
pourquoy dreſſeZ vous cette embuſche à ma vie?	pourquoi dressez -vous cette embûche à ma vie?
Voila ces meſmes yeux qui d’appas animeZ	Voilà ces mêmes yeux qui d'appas animés
DAMON.	DAMON.
Non, vous n’en mourrez pas, venez veneZ Syl M'ont d’vn filtre amoureux les ſens enuent mez, A leurs moindres regards ie bruſle & ie fri ſonne.	Non, vous n'en mourrez pas, venez venez Syl Mont d'une filtre amoureux les sens envent mez, À leurs moindres regards mille brûle et un fry sonne.
SYLVIE.	SYLVIE.
ParleZ mieux, mes regards n’ont faict mal à perſonne, deigti qui vint encor ntes un piaindroit qu'a tort.	Parlez mieux, mes regards n'ont fait mal à personne, deigti qui vint encor ntes un piaindrait qu'a tort.
PHTLENE.	PHTLENE.
Il eſt vray ſi Philene eſt compté pour vn mort.	Il est vrai si Philène est compté pour un mort.
DAMON.	DAMON.
Sus, ſus, ne faiſons point icy la diſcoureuſe, onujeeui uomniu ne ece poui toustungoureuſe Merite deſormais qu’on le prenne à mercy, Outre que mon vouloir vous le commande ainſi.	Sus, sus, ne faisons point ici la discoureuse, onujeeui omniv ne ece pouy toustungoureuse Mérite désormais qu'on le prenne à merci, Outre que mon vouloir vous le commande ainsi.
PHILENE.	PHILENE.
Puiſque c’eſt à ce coup qu'à l’aiſe & ſans contraintes Ie dois rompre la digue au courant de mes plaintes, Bergere eſcouteZ les, vous en eſtes l’objet, Et voſtre mrrefere cruamiemenu juiet le ſujes,	Puisque c'est à ce coup qu'à l'aise et sans contraintes Je dois rompre la digue au courant de mes plaintes, Bergère écoutez les, vous en êtes l'objet, Et votre mrrefère cruamiemenu juite le sujères,
SYLVIE.	SYLVIE.
Ie ne bous entends point.	Je ne bous entend point.
PHILENE.	PHILENE.
Vous auez donc l'oreille Ou bien l’intelligence à voſtre ame pareille.	Vous avez donc l'oreille Ou bien l'intelligence à votre âme pareille.
MACEE.	MACE.
Ramon reitrous nom,muens vijage Cleden Ne ſeruent que d’obſtacle à leur libre entretien.	Ramon reitrous nom,ments vijage Cléden Ne servent que d'obstacle à leur libre entretien.
PHILENE.	PHILENE.
Iuſques à quand en fin, Bergere inexorable, Tiendrez vous à la geſne vn Amãt deplorable?	Jusqu' à quand en fin, Bergère inexorable, Tiendrez -vous à la gêne un Amants déplorable?
Vous ſçauez les tourments que mon ame aſouffers Depuis deux ans paſſez qu'elle eſt dedahs vos fers, Vous cognoiſſez le feu dont elle eſt conſommee, Feu dont autre que vous n’a la flame allumee, Et qui pour vn objet plus ingrat ou plus beau Ne peut eſtre couuert des cendres du tombeau.	Vous savez les tourments que mon âme asoufferts Depuis deux ans passez qu'elle est dedahs vos fers, Vous connaissez le feu dont elle est consommée, Feu dont autre que vous n'a la flammée allée, Et qui pour un objet plus ingrat ou plus beau Ne peut être couvert des cendres du tombeau.
YLVIE.	YLVIE.
Ie veux d’oreſnauant afin de vous complaire Croire que vous m’aimez d’vn amour exemplaire, Et qu’à mon grand regret vous porteZz dans le ſein Vn mal que d’y cauſer ie n’eus iamais deſſein, Au contraire le Ciel m’eſt teſmoin que i'eſſaye Par fuitte & par meſpris à guerir voſtre playe.	Je veux d'oresnavant afin de vous complaire Croire que vous m'aimez d'un amour exemplaire, Et qu'à mon grand regret vous portez dans le sein Vn mal que d'y causer jusqu'eus jamais dessein, Au contraire le Ciel m'est témoin que j'essaie Par fuite et par mépris à guérir votre plaie.
PHILENE.	PHILENE.
O façon de guerir mille fois augmentant La cruauté du mal!	Ô façon de guérir mille fois augmentant La cruauté du mal!
SYLVIE.	SYLVIE.
Neceſſaire pourtant.	Nécessaire pourtant.
PHILENE.	PHILENE.
Neceſſaire, il eſt vray, ſi vous aueZ enuie De finir les langueurs de ma mourante vie, Si pour vous deliurer d’vn miſerable Amant P ous le vontez mien toſt concner au monument.	Nécessaire, il est vrai, si vous avez envie Do finir les langueurs de ma mourante vie, Si pour vous délivrer d'un misérable Amant P ous le vontés mien tôt concner au monument.
Bien, bien, puiſque Philene en viuãt vous afflige Il faudra qu'en mourant au moins il vous oblige.	Bien, bien, puisque Philène en vivant vous afflige Il faudra qu'en mourant au moins il vous oblige.
SYLVIE.	SYLVIE.
Vous vous pourriez tromper.	Vous vous pourriez tromper.
–-	–-
PHILENE.	PHILENE.
Pourquoy?	Pourquoi?
e--- SYLVIE.	est- SYLVIE.
Pource, Berger, que vons pontilez montti,e no purmobliger.	Pource, Berger, que vons pontilés montti,e nô purmobliger.
DAMON.	DAMON.
Hé bien, la treuuez-vous maintenant plus traittable.	Hé bien, la trouvez-vous maintenant plus traitable.
PHILENE.	PHILENE.
Ainſi qu’auparauant, voire plus indomptable.	Ainsi qu'auparavant, voire plus indomptable.
DAMON.	DAMON.
Comment, depuis le temps que vous eſtes icy l ous n'aueZ point du tout jon courage adoucy.	Comment, depuis le temps que vous êtes ici l ous n'avez point du tout jon courage adouci.
La treuuez-vous touſiours de cruauté ſi pleine?	La trouvez-vous toujours de cruauté si pleine?
PHILENE.	PHILENE.
Elle eſt touſiours Syluie, & moy touſiours Philene.	Elle est toujours Syluie, et moi toujours Philène.
DAMON.	DAMON.
Hal certes mon enfant ta conſtante amitié M’arrache ou peu s’en faut des larmes de pitié, Il la faut excuſer, ieune encor' & niaiſe Elle eſtime l’amour vn tyran de ſon aiſe, Mais le temps luy doit faire vn iugement plus meur, Et moy reduire au ioug ſa libertine humeur:	Hal certes mon enfant ta constante amitié M'arrache ou peu s'en faut des larmes de pitié, Il la faut excuser, jeune encor et niaise Elle estime l'amour un tyran de son aise, Mais le temps lui doit faire un jugement plus meur, Et moi réduire au joug sa libertine humeur:
Cependant, beau Paſteur, ne perdeZ point courage, H ij Nous aurõs vn long ealme apres vn long orage Tandis en ma maiſon preneZ tout le pouuoir Qu'au logis deſon pere vn gendre peut auoir, Aſſeuré que dans peu viſiblement changee A ma deuotion elle ſera rangee.	Cependant, beau Pasteur, ne perdez point courage, H aj Out auront un long ealme après un long orage Tandis en ma maison preneZ tout le pouvoir Qu'au logis des père un gendre peut avoir, Assuré que dans peu visiblement change A ma dévotion elle sera range.
