A.	A.
ô mots ſorciers, de tien & de mien, dont l’efficace donne tant de trauaux aux pauures humains, faict faict des mers de ſang acharné le frere contre le frere, le pere contre le fils, & rend l’home qui auparauant eſtoit Dieu, à l’hõme loup, à l’hõme vous eſtes bien le venin plus dangereux, & peſtilent, que les Dieux ayent l’ogé dans l’etuy de Pandore, puis que par vous la ſocieté ſe diſſoult, les Empires ſe deſolent, les villes ſe ſacagent, la campagne deuient deſerte, & les Elemens meſme sõt violẽtez par vous;	ô mots sorciers, de tien et de mien, dont l'efficace donne tant de travaux aux pauvres humains, fait faict des mers de sang acharné le frère contre le frère, le père contre le fils, et rend l'home qui auparavant estoit Dieu, à l'homme loup, à l'homme vous êtes bien le venin plus dangereux, et pestilent, que les Dieux aient l'ogé dans l'étui de Pandore, puis que par vous la société se dissoult, les Empires se désolent, les Empires se sacagn, de campagne de deserte, et les Elemens même solut violẽtez par vous;
le feu iadis aplique au ſeruice des Dieux, à nous garantir de l’iniure de l’air, & à leruir à la neceſſitè de noſtre vie, & employé à desfaire J deſtruire & ruiner noſtre eſpece, a façonner le fer duquel nous deſchirons & nos entrailles & celles de noſtre commune mere, pour en tirer directement ou indirectement l’Or & les richeſſes, ſans leſquelles, l’homme viuroit auec autant de repos, qu’il a d’inquietude par vous:	le feu jadis applique au service des Dieux, à nous garantir de l'injure de l'air, et à lervir à la necessitè de notre vie, et employé à défaire Y détruire et ruiner notre espèce, a façonner le fer duquel nous déchirons et nos entrailles et celles de notre commune mère, pour en tirer directement ou indirectement l'Or et les richesses, sans lesquelles, l'homme vivrait avoir autant de repos, qu'il a d'inquiétude par vous:
les eaux ont veu la temerité, ainçoys l’auaricedes hommes trauercer leurs flots, qui ſembloient ſeruir de bornes aux nations;	les eaux ont vu la témérité, ainçoys l'avaricedes hommes travercer leurs flots, qui semblaient servir de bornes aux nations;
& l’Occean meſme ſi grand, ſi furieux, a ploié les eſpaulles ſoubs les maiſons vogãtes des mortels;	et l'Océan même si grand, si furieux, a ployé les épaulles soups les maisons vogtes des mortels;
lesfleuues ont eſté ſechez les exſerciſe & debordés parle ſang qui ont verſé en leurs ondes, l’air impalpable, dont le corps leger, lucide & tranſparant, tient la terre & les eaux ſuſpendues ſe void par vous infecté de la quantité des cadauers que renuerſe ceſte enuie, d’auoir & de maintenir & l’homme, a qui;	lesfleuves ont été séchez les exsercise et débordés parle sang qui ont versé en leurs ondes, l'air impalpable, dont le corps luger, lucide et transparant, tient la terre et les eaux suspendues se voit par vous infecté de la quantité des caders que renverse cette envie, d'avoir et de maintenir et l'homme, à qui;
il ne faut que ſept pieds de terre, à peine eſt content de toute la terre, le mal que vous cauſés, n’eſt poinct comme quelques vns pẽſent, particulier, il infecte auſſi bien nos cabanes que les Palais des Roys, Princes, & grands D ij C Seigneurs, mon pere, & mere, qui ont des ia paſſé leur an cli.	il ne faut que sept pieds de terre, à peine est content de toute la terre, le mal que vous causez, n'est point comme quelques uns pensent, particulier, il infecte aussi bien nos cabanes que les Palais des Rois, Princes, et grands D ij Ç Seigneurs, mon père, et mère, qui ont des ja passé leur an cli.
matericque que les iours cotraignent a regarder perpetuellemẽt le lieu dont ils ſont ſortis, & à qui ils doiuẽt bien toſt rendre le depoſt de leurs corps riches autat que la pauureté de leur cõditiõ le porte, ſe deſeſperent pour le larcin qui leur a eſtéfaitd’vn bœuf & nous baniſſent mes freres & moy come ſi nous en eſtiõs la cauſe, nous contraignas par l’excés de leur auarice d’auoir recours a ce qui ne ſe doit pas meſme tenter pour la prolongation de la vie, manutenſiõ de la ſante, & acquiſition de la ſageſſe, qui sõtles trois choſes deſquelles l’on doit auoir le plus de ſoing, mais ie pen:	materique que les jours cotraignent a regarder perpétuellement le lieu dont ils sont sortis, et à qui ils doivent bien tôt rendre le dépôt de leurs corps riches autat que la pauvreté de leur cõditiõ le porte, se désespèrent pour le larcin qui leur a estéfaitd’un bœuf et nous bannissent mes frères et moi come si nous en étiez la cause, nous contraignas par l'excès de leur avarice d'avoir recours à ce qui ne se doit pas un tenter pour la prolongation de la vie, manutensiõ de la santé, et acquisition de la sagesse, qui sõtles trois choses desquelles on doit a le plus de se, qui s' on:
ſe voir mes freres, ce ſont eux ſans doute, voſtre voyage eſt extremement long, il y a plus de deux heures que ie vous attés en celieu, (Gilon) Nous auons eſté retardez par vn eſtrange accident, & pour vn bon œuure.	se voir mes frères, ce sont eux sans doute, votre voyage est extrêmement long, il y a plus de deux heures que enfin vous attès en celieu, (Gilon) Nous avons été retardez par un étrange accident, et pour un bon œuvre.
Nicandre) contez le moy.	Nicandre) comptez le moi.
I Gilon ] Ainſi que nous en reuenios de l’antre de Targante paſſant dedãs la foreſt de l’Echo enchanté, nous auons aperceu Angeralde de loing ayant a roir enapeau vne teſte de mort d’yuoi re entre deux branches de mirthe & de ciprés;	I Gilon ] Ainsi que nous en revenios de l'antre de Targante passant dedans la forêt de l'Écho enchanté, nous avons aperçu Angèralde de loin a a roir enapeau un tête de mort d'yvoi re entre deux branches de mirthe et de cyprès;
au bas de laquelle y a quelques paroles que nous n’auos peu lire pour ce qu’il apeu arreſt auec nous, (Nicandre) Ie les ay veuës, ce beleſprit ne peut eſtre du tout Iuffoque par le poix deſes deſplaiſirs, il faict à trauers ces nuages paroiſtre touſiours quelque traict de ſagẽtilleſſe;	au bas de laquelle y a quelques paroles que nous n'avos peu lire pour ce qu'il apeu arrêt avec nous, (Nicandre) Je les ai vues, ce belesprit ne peut être du tout Juffoque par le poix des déplaisirs, il fait à travers ces nuages paraître toujours quelque trait de sagẽtillesse;
elles ſont Eſpagnolles, & qui expriment viuement ſon deſespoir.	elles sont Espagnolles, et qui expriment vivement son désespoir.
Perrot, ) dites les nous.	Perrot, ) dites -les -les.
Nicandre), Il y a (no quiero mas) faiſant alluſion de ſa girlande & de ceſte teſte de mort, à ſes deſirs que ne reſpirent que la mort apres le tres pas de Phemce, conthrdez voſtre diſcours, (Gilot] Il nous aſaluez auec ſa courtoiſie accouſtumeé, mais auec vn maintien ſi triſte, que la triſteſſe meſme en euſt eu pitie:	Nicandre), Il y a (no quiéro mas) faisant allusion de sa girlande et de cette tête de mort, à ses désirs que ne respirent que la mort après le très pas de Phemce, conthrdez votre discours, (Got] Il nous asaluez sous sa courtoisie accoutumée, mais avec un maintien si triste, que la tristesse même en eût eu pitié:
nous luy auons demandè où il alloit ainſi ſeul?	nous lui avait demandé où il allait ainsi seul?
il nous a dict qu’il ſe pourmenoit en ce lieu ſolitaire pour mieux en tretenir ſes d’ouloureuſes peſees, & interrompu par ſes ſouſpirs, & par ſes larmes, nous a quités;	il nous a dit qu'il se pourmenait en ce lieu solitaire pour mieux en tretenir ses d'ouloureuses pères, et interrompu par ses soupirs, et par ses larmes, nous a quités;
s’acheminat au grand pas à trauers vne peti8 te route, où il n’a ſi toſt entré, que nous n’ayons veu paroiſtre Philandre & Phalerine, courat vers nous qui de loin;	s'acheminât au grand pas à travers une peti8 te route, où il n'a si tôt entré, que nous n'ayons vu paraître Philandre et Pherine, courat vers nous qui de loin;
8 nous ont- huché que nous D iiij O2 L DCMTCAX l’arreſtaſſions, & qu’il s’eſtoit derobe d’eux, en intention de ſe mesfaire, cela nous a faict le ſuiure, ce qu’il n’a ſi toſt recogneu qu’il n’aye cõmencéa fuir de toute ſa force.	8 nous ont- huché que nous D ijà MUCHÉ DCTCAX l'arrêtassions, et qu'il s'était derobe d'eux, en intention de se mesfaire, cela nous a fait le suivre, ce qu'il n'a si tôt reconnu qu'il n'aie cõmencéa fuir de toute sa force.
Mais l’ennuy & le long ieuſne l’auoyent tellement affoibly, qu’il n’euſt pas couru cẽt pas, que nous le veiſſiõs tomber comme mort:	Mais l'ennui et le long jeûne l'avaient tellement affaibli, qu'il n'eût pas couru content pas, que nous le véissions tomber comme mort:
nous ariuaſmes & le prenans quaſi ſuuoqué, chacun taſche à le ſecourir, mais ie croy que c’euſt eſté en vain, ſi Phalerine n’y fuſt ſuruenue qui nous le feit promptemẽt porter à la fontaine del’Echo là où apres luy auoir arrou olulacej pour le faire reuenir de pamaiso, elle luy fit ſentir certaines eaux.	nous ariuasmes et le prenants quasi suuoqué, chacun tâche à le secourir, mais ainsi crois que c'eût été en vain, si Phalerine n'y fût survenue qui nous le fit promptemẽt porter à la fontaine délAine là où après lui avoir arrou olulacej pour le faire revenir de pô, elle lui fit sentir certaines eaux.
qui ont rauiué ſes eſprits, elle luy en a voulu faire prendre, mais elle n’a ſçeu, il ne parloit point, mais ſon geſte le faiſoit recognoiſtre tellemẽt reſolu à mourir, & auoir tant à contre cœur noſtre ſecours, que ie n’eſpere pas que l’on le puiſſe empeſcher d’vne choſe qui ſẽble eſtre en noſtre diſpo ſitiõ en tous lieux & en toutes heures.	qui ont ravivé ses esprits, elle lui en a voulu faire prendre, mais elle n'a su, il ne parlait point, mais son geste le faisait reconnaître tellement résolu à mourir, et avoir tant à contre cœur notre secours, que sans n'espère pas que l'on le puisse empêcher d'une chose qui sẽble être en notre dispo sitiõ en tous lieux et en tous heures.
Dautres paſteurs y ſont ſuruenus & nous auons ſuiuy noſtre deſſein nous voyans inutiles tus leeours.	Dautres pasteurs y sont survenus et nous avons suivi notre dessein nous voyant inutiles tus leeours.
Nicandre) Vous me cõrés là vn effet pitoyable de l’amour l’on peut bien dire quil a entré dans le cœur de ce paſteur pour y eſtre auſſi domageable, que celuy des panthenaux animaux terreſtres, du poulpe & du Dauphin aux aquatiques.	Nicandre) Vous me cõrés là un effet pitoyable de l'amour l'on peut bien dire quil a entré dans le cœur de ce pasteur pour y être aussi domageable, que celui des panthénaux animaux terrestres, du poulpe et du Dauphin aux aquatiques.
Heureux veritablement celuy qui ayme & eſt aymé, & plus heureux encore qui n’aime poinct du tout, ou qui d’vne ſubtille main, d’vn delicat iugement cueille les roſes du parterre d’amour, ſans ſe laiſſer toucher aux eſpines qui les enuironnent;	Heureux véritablement celui qui aime et est aimé, et plus heureux encore qui n'aime point du tout, ou qui d'une subtille main, d'un délicat jugement cueille les roses du parterre d'amour, sans se laisser toucher aux épines qui les environnent;
le mal de ce paſteur eſt plus deplorable que remediable:	le mal de ce pasteur est plus déplorable que remédiable:
continue à nous dire ce que tu as apprins de -C- ** Targante, touchãt le ſubiect des ton voyage:	continue à nous dire ce que tu as apprins de -Ç- * Targante, touchant le sujet des ton voyage:
il nous a demandè terme, affin de nous reſpondre, & donné charge de luy mener vn enfant ſoubs l’aage de ſept ans;	il nous a demandé terme, afin de nous répondre, et donné charge de même mener un enfant soups l'âge de sept ans;
nous auons auiſé que L’eſbin noſtre nepueu ſeroit propre a cela(Nicandre) Vous eſtes vous engagez à de luy amener?	nous avons avisé que L'ébin notre nepueu serait propre à cela (Nicandre) Vous êtes vous engagez à de rendre amener?
Perrot) Fort bien, autrement il ne nous euſt aſſeurés de rien.	Perrot) Fort bien, autrement il ne nous eût assurés de rien.
[ Nicandre, ] Miſerables!	[ Nicandre, ] Misérables!
que ſçauez vous s’il le veut point deuoüer aux demons?	que Savez -vous s'il le veut point dévouer aux démons?
& ſi pour recouurer vn bœuf, nous ne perdrons point par noſtre impudence vne creature noſtre proche pa rente [ Gillon ] Non, non Targante eſt tel qu’il commãde aux eſprits pour les forcer à faire du bien, & non de ceux qui leur obeiſſent à faire du mal:	et si pour recouvrer un bœuf, nous ne perdrons point par notre impudence une créature à faire du rente [ Gillon ] Non, non Targante est tel qu'il command aux esprits pour les forcer à faire du bien, et non de ceux qui leur obéissent à faire du mal:
ie voy bien que tu ignores la diſtinctiõ qui eſt entre le magicien, & le ſorcier, dont l’vn commande aux eſprits en maiſtre, & l’autre leur obeiſt en vallet.	Les vois bien que tu ignores la distinctions qui est entre le magicien, et le sorcier, dont l'un commande aux esprits en maître, et l'autre leur obéît en valet.
I Nicandre ] Iapprouue, eſtime & loue tout ce qui ſe peut faire par voyes natureles, & ſçay que les aſtres, les animaux mineraux & vegetaux ont des vertus occultes, dont les effets ſemblent ſupernaturels, mais deſpuis qu’on vient a lacomDeſeſpere.	I Nicandre ] Japprouve, estime et loue tout ce qui se peut faire par voies natureles, et sais que les astres, les animaux minéraux et végetaux ont des vertus occultes, dont les effets semblent supernaturels, mais despuis qu'on vient a lacomDesespère.
