Voſtre tres-humble & tres.	Votre très-humble et très.
Elle diſpoſe vn Corps, dont le commencement Ne marque membre, chef, trait, ny linéament.	Elle dispose un Corps, dont le commencement Ne marque membre, chef, trait, Seigneur linéament.
En ſuite, elle s’occupe à cette vile maſſe, Forme chaque partie & luy regle ſa place, Aſſortit la ſubſtance auec les accidens, Le moins noble au dehors, le plus noble au dedans, Et fait que par ſes ſoins la matiere conuie Les puiſſances d’enhaut à luy donner la vie.	En suite, elle s'occupe à cette vile masse, Forme chaque partie et lui règle sa place, Assortit la substance était les accidents, Le moins noble au dehors, le plus noble au dedans, Et fait que par ses soins la matière convie Les puissances d'enhaut à lui donner la vie.
L’ame, quis’introduit par de ſecrets reſſors, Prenant ſon ſiege au Cœur anime tout ce Corps, D'abord elle le rend mobile, actif, ſenſible?	L'âme, qu'introduit par de secrets ressorts, Prenant son siège au Cœur anime tout ce Corps, D'abord elle le rend mobile, actif, sensible?
Et quoy que ſa clarté ne nous ſoit pas viſible, Néantmoins elle enuoye au dehors des rayons, Qui font les agrémens qu’à ce Corps nous voyons.	Et quoi que sa clarté ne nous soit pas visible, Néanmoins elle envoie au dehors des rayons, Qui font les agrémens qu'à ce Corps nous voyons.
Mais ſi l’ame n’a plus ſa beauté naturelle, Quand elle eſt diſſemblable à ſon diuin modele;	Mais si l'âme n'a plus sa beauté naturelle, Quand elle est dissemblable à son divin modèle;
Lors que nous mépriſons le titre glorieux, Par lequel nous pouuons nous dire Enfans des Dieux;	Lors que nous méprisons le titre glorieux, Par lequel nous penons nous dire Enfants des Dieux;
Que bien loin d’honorer ces Peres débonnaires, Nous diſons que ce ſont objets imaginaires;	Que bien loin d'honorer ces Pères débonnaires, Nous disons que ce sont objets imaginaires;
Que c’eſt idolâtrie, ou trouble de nos ſens, De leur offrir des vœux & brûler de l’encens;	Que c'est idolâtrie, ou trouble de nos sens, De leur offrir des vœux et brûler de l'encens;
Qu’enfin leur déniant tous ces cultes ſuprémes, Aulieu de nos reſpects ils n’ont que des blaſphémes;	Qu'enfin leur déniant tous ces cultes suprême, Aulieu de nos respects ils n'ont que des blasphémes;
Sile Corps n’eſt réduit en ſon premier état, Au moins il eſt priué de ce céleſte éclat:	Sile Corps n'est réduit en son premier état, Au moins il est privé de ce céleste éclat:
Et comme hay des Dieux, ſi l’on leur ſacrifie, la Narure s’égaye, elle ſe puriſie, Et l’Empire ne peut ſe ſatisfaire plus Qu’en voyant retrancher ſes membres corrompus.	Et comme hais des Dieux, si l'on leur sacrifie, la Narre s'égaie, elle se purisie, Et l'Empire ne peut se satisfaire plus Qu'en voyant retrancher ses membres corrompus.
DIOCLETIAN Contentons donc les Dieux, la Nature & l’Empire;	DIOCLETIAN Contentons donc les Dieux, la Nature et l'Empire;
Mais quoy que vous penilles & que vous puiſſiez dire, Nous voyons bien ſouuent par la ſuite du temps, Que les plus criminels ſont les plus pénitens.	Mais quoi que vous pénilles et que vous puissiez dire, Nous voyons bien souvent par la suite du temps, Que les plus criminels sont les plus pénitents.
Sa beauté me ſera différer pour quelque heure.	Sa beauté me sera différer pour quelque heure.
MACE DONE Ia Iuſtice, Seigneur, demande qu’elle meure.	MACE DONE Ia Justice, Seigneur, demande qu'elle meure.
SOLILOQVE de	SOLILOQUE de
SVSANNE Ie vous ay ſuppliée, inéfable Bonté!	SUSANE -Je vous ai suppliée, inéfable Bonté!
Qu’afin de rechaufer ma froide volonté, De mon entendement diſſipant le nuage, La foy luy fiſt de vous vne brillante Image.	Qu'afin de réchauffer ma froide volonté, De mon entendement dissipant le nuage, La foi-même fît de vous une brillante Image.
Mais, outre ces beautez, pour la mieux émouuoir, Et l’ob liger d’aimer par vn double deuoir;	Mais, outre ces beautés, pour la mieux émouuoir, Et l'ob liger d'aimer par un double devoir;
Que de tant de bien-faits la ſuite reprochante, La preſſe inceſſamment, luy ſoit toûjours preſente.	Que de tant de bienfaits la suite reprochante, La presse incessamment, lui soit toujours présente.
Faites qu’elle contemple auec étonnement L’origine du Monde & ſon commencement:	Faites qu'elle contemple était étonnement L'origine du Monde et son commencement:
Cét object des Reſueurs, qu’ils cherchent ſans lumiers Sous le nom ſupoſé de Matiere premiere:	Cet object des Résueurs, qu'ils cherchent sans lumiers Sous le nom suposé de Matière première:
Ce Rien réaliſé, dont créant l’Vniuers, Voſtre main donna l’eſtre à tant d’Eſtres diuers;	Ce Rien réalisé, dont créant l'Univers, Votre main donna l'être à tant d'Êtres divers;
Sur leſquels vous m’auez miſe en cét auentage, Qu’ils ſemblent n’eſtre faits que pour mon ſeul vſage, Apres auoir adioint au plus bas Element, Afin de me former, vn ſouffle ſeulement.	Sur lesquels vous m'avez mise en cet aventage, Qu'ils semblent n'être faits que pour mon seul usage, Apres avoir adjoint au plus bas Élement, Afin de me former, un souffle seulement.
Ce pouuoir ſouuerain, ſi digne qu’on l’obſerue, Eſt celuy qui depuis m’appuye & me conſerue:	Ce pouvoir souverain, si digne qu'on l'observe, Est celui qui depuis m'appuie et me conserve:
De ſorte que ie ſuis, à parler proprement L’ouurage de vos mains, produit inceſſenient.	De sorte que je suis, à parler proprement L'ouvrage de vos mains, produit incessénient.
Mais s’il faut plus auant cette ingrate pourſuiure, Ne mourûtes vous pas pour me faire reuiure?	Mais s'il faut plus avant cette ingrate poursuivre, Ne mourûtes -vous pas pour me faire revivre?
Voſtre amour, qui ne peut du monde eſtre compris, Me voulant racheter, fit voſtre ſang mon prix.	Votre amour, qui ne peut du monde être compris, Me voulant racheter, fit votre sang mon prix.
Que ma foible memoire à ces graces fidelle.	Que ma faible mémoire à ces grâces fidèle.
Soit iointe au doux eſpoir de la gloire éternelle.	Soit jointe au doux espoir de la gloire éternelle.
Que ces deux appétits, ſource des Paſſions, Ne troublent plus l’eſprit par leurs rebellions:	Que ces deux appétits, source des Passions, Ne troublent plus l'esprit par leurs rébellions:
Qu'embraſez d’vne ardeur auſſi ſaincte que viue, Le premier vous deſire & l’autre vous pourſuiue, Sur tout, Eſtre infini, puis que la Chaſteté A l’heur d’eſtre conforme à voſtre volonté;	Qu'embrasez d'une ardeur aussi sainte que vive, Le premier vous désire et l'autre vous poursuive, Sur tout, Être infini, puis que la Chasteté A l'heur d'être conforme à votre volonté;
Que d’vnamour impur iamais mon cœur ne brûle;	Que d'unamour impur jamais mon cœur ne brûle;
Que ma virginité demeure ſans macule;	Que ma virginité demeure sans macule;
Que les tentations qui pourroient m’approcher, Soient ſemblables aux vents, qui choquent vn Rocher?	Que les tentations qui pourraient m'approcher, Soient semblables aux vents, qui choquent un Rocher?
Qu’ayant de mes pechez vne douleur extréme, le viue pour vous ſeul & lieure tout de hemie:	Qu'ayant de mes péchés une douleur extrême, le vive pour vous seul et lièvre tout de hémie:
Et qu’apres ce paſſage étroit & dangereux, Il vous plaiſe me mettre au rang des Bien-heureux.	Et qu'après ce passage étroit et dangereux, Il vous plaise me mettre au rang des Bienheureux.
SOLILOQVE de MAXIMIAN	SOLILOQUE de MAXIMIAN
TANCES.	TANCES.
Paſſion, cruelle ennemie, Qui viens combattre ma vertu, Aquel deſſein te portes-tu, Que de me combler d’imaine :	Passion, cruelle ennemie, Qui viens combattre ma vertu, Aquel dessein te portes-tu, Que de me combler d'imaine :
Tant d’actes glorieux qui fondent mon bon-heur, Qu’auroient-ils, qu’vne fin tragique, Apres qu’vne flame impudique Auroit conſumé mon honneur?	Tant d'actes glorieux qui fondent mon bonheur, Qu'auraient-ils, qu'une fin tragique, Après qu'une flamme impudique Aurait consumé mon honneur?
Que dis-je?	Que dis-je?
à preſent il faut ſuiure La iuſte loy de mes tranſports;	à présent il faut suivre La juste loi de mes transports;
Qui refiſte à de doux efforts, Par la rigueur ſe doit pourſuiure.	Qui résiste à de doux efforts, Par la rigueur se doit poursuivre.
* Ce peut-il que ma gloire ait quelque fondement, Et ſouffre l’orgueil qui m’outrage?	* Ce peut-il que ma gloire ait quelque fondement, Et souffre l'orgueil qui m'outrage?
Ne ſerois-je pas ſans courage Si i’eſtois ſans reſſentiment?	Ne serais-je pas sans courage Si j'étais sans ressentiment?
Amour!	Amour!
conſidere ſes charmes Entremeſlez de grauité, Aurois-tu la temerité D’oſer luy prouoquer des larmes?	considère ses charmes Entremêlés de gravité, Aurais-tu la témérité D'oser toujours provoquer des larmes?
Si tu conois ſes yeux ſi brillans & ſi beaux;	Si tu conais ses yeux si brillants et si beaux;
Sources en lumiere fécondes;	Sources en lumière fécondes;
Ne fais pas que de triſtes ondes, Viennent éteindre ces flambeaux.	Ne fais pas que de tristes ondes, Viennent éteindre ces flambeaux.
Que tes mouuemens ſont timides!	Que tes mouvements sont timides!
Amour, en prouoquant ſes pleurs, Sur ſon teint parſemé de fleurs, Tu verras des perles liquides.	Amour, en proquant ses pleurs, Sur son teint parsemé de fleurs, Tu verras des perles liquides.
Sçais-tu pas que le feu rechaufe beaucoup mietix, Lors que l’eau ſa chaleur irrite?	Sais-tu pas que le feu rechauffe beaucoup miétix, Lors que l'eau sa chaleur irrite?
Si le Soleil l’onde viſite, C’eſt pour eſtre plus radieux.	Si le Soleil l'onde visite, C'est pour être plus radieux.
Sa voix qui produit des merueilles Par la douceur de ſes accens, Et donne enuie à tous les ſens, D’eſtre placez dans les aureilles:	Sa voix qui produit des merveilles Par la douceur de ses accents, Et donne envie à tous les sens, D'être placés dans les oreilles:
Elle, qui tant de fois te cauſa du mépris Pour la plus charmante armonie, En exagerant ta manie, Fera de lamentables cris.	Elle, qui tant de fois te causa du mépris Pour la plus charmante armonie, En exagérant ta manie, Fera de lamentables cris.
Ma voix, dont l’office fidelle, Exagérant ma paſſion, Ne pût faire d’impreſſion Sur l’eſprit de cette rebelle:	Ma voix, dont l'office fidèle, Exagérant ma passion, Ne pût faire d'impression Sur l'esprit de cette rebelle:
Elle, dont la douceur aigriſſoit ſa rigueur, Veut que la ſienne aux cris s’employe;	Elle, dont la douceur aigrissait sa rigueur, Veut que la sienne aux cris s'emploie;
La triſteſſe comme la ioye, Sert au triomphe du vainqueur.	La tristesse comme la joie, Sert au triomphe du vainqueur.
Quoy laſche amour, tu deliberes!	Quoi lâche amour, tu délibères!
Et dois paroître le plus fort;	Et dois paraître le plus fort;
Tous mes ſentimens ſont d’accord, Il ne faut plus que tu differes:	Tous mes sentiments sont d'accord, Il ne faut plus que tu diffères:
D'vne illuſtre Conqueſte, anont ceui le fruict, Prenons vne douce vengeance.	D'une illustre Conquête, anont ceui le fruit, Prenons une douce vengeance.
Peut-on blâmer ma violence, ol la cruaute m’y reduit?	Peut-on blâmer ma violence, ol la cruauté m'y réduit?
SOLILOQVE de	SOLILOQUE de
SERENE Funeſte aſſortiment!	SERENE Funeste assortiment!
ridicule aſſemblage!	ridicule assemblage!
Deſordre, déguiſé du nom de Mariage!	Désordre, déguisé du nom de Mariage!
Triſte condition!	Triste condition!
ſe peut-il que ton cours, Doiue durer autant que celuy de mes iours?	se peut-il que ton cours, Doive durer autant que celui de mes jours?
Ne vous offenſez pas, amitié conjugale, A conſeruer vos droits, ie ſuis toûjours égale:	Ne vous offensez pas, amitié conjugale, À conserver vos droits, Seigneur suis toujours égale:
Ie garde le reſpect dans l’indignation, Ma vertu ſe tient ferme en cette émotion :	Je garde le respect dans l'indignation, Ma vertu se tient ferme en cette émotion :
Mon cœur, quey qu’embraſé de l’ardeur qui l’anime, Ne forme aucun deſir qui ne ſoit legitime.	Mon cœur, quei qu'embrasé de l'ardeur qui l'anime, Ne forme aucun désir qui ne soit légitime.
Si par diuers objets il paroît partagé, Pour l’vn, plein d’vn ſaint zele, & pour l’autre affligé, Dans l’intereſt des deux il rencontre le voſtre, Dans la gloire de l’vn, l'vrilité de l’autre:	Si par divers objets il paraît partagé, Pour l'un, plein d'un saint zèle, et pour l'autre affligé, Dans l'intérêt des deux il rencontre le vôtre, Dans la gloire de l'un, l'unité de l'autre:
Il eſt fidele à Dieu, fidele à l’Empereur, Et ne le peut aimer ſans haïr ſon Erreur.	Il est fidèle à Dieu, fidèle à l'Empereur, Et ne le peut aimer sans haïr son Erreur.
En cette auerſion la raiſon m’authoriſe, Elle n’a pour ſujet que cẽ qui nous diuiſe.	En cette aversion la raison m'autorise, Elle n'a pour sujet que comp qui nous divise.
I’honore lelien duquel nos corps ſont ioints;	J'honore lelien duquel nos corps sont joints;
Ces mouuemens m’en ſont de fideles témoins?	Ces mouvements m'en sont de fidèles témoins?
Et ſur noſtre vnion, tout ce que ie ſouhaitte, C’eſt afin de la rendre & durable & parfaite, Que l’vnité d’eſprit faſſe voir en nous deux, Meſme Religion, meſme Dieu, meſmes Vœux.	Et sur notre vnion, tout ce que femme souhaite, C'est afin de la rendre et durable et parfaite, Que l'vnité d'esprit fasse voir en nous deux, Même Religion, même Dieu, mêmes Vœux.
Qu’aux clartez de la foy, ſon ame ſoit ouuerte;	Qu'aux clartés de la foi, son âme soit ouverte;
Qu’il pourſuiue ſon bien, qu’il éuite ſa perte?	Qu'il poursuive son bien, qu'il éuite sa perte?
Qu’il craigne, qu’il eſpere, & qu’il aime ardamment Celuy qui recompenſe & fait le chaſtiment.	Qu'il craigne, qu'il espère, et qu'il aime ardamment Celui qui récompense et fait le châtiment.
Qu’il prie en l’adorant, le priant qu’il obtienne Le don auentageux de la vertu Chreſtienne:	Qu'il prie en l'adorant, le priant qu'il obtienne Lé on aventageux de la vertu Chrétienne:
Que ſes Loix il réuére, & que ſes Charitez Se répanchent ſur ceux qu’il a perſecutéz.	Que ses Lois il réuére, et que ses Charités Se répanchent sur ceux qu'il a persécutés.
Qu’ainſi noſtre vnion ſainctement reformée, Chaque partie enſoit de l’autre plus aimée.	Qu'ainsi notre imion sainte réformée, Chaque partie ensait de l'autre plus aimée.
Qu’il n’arriue aucun trouble à ſa tranquilité;	Qu'il n'arrive aucun trouble à sa tranquillité;
Et pour comble de gloire & de felicité, 44 12 Apres que nous aurons détruit l’Idolâtrie, Qu’elle ſe continuë en vne autre Patrie.	Et pour comble de gloire et de félicité, 44 12 Apres que nous aurons détruit l'Idolâtrie, Qu'elle se continue en une autre Patrie.
SECOND ENTRETIEN.	SECOND ENTRETIEN.
DIOCLETIAN, MAXIMIAN.	DIOCLETIAN, MAXIMIAN.
DIOCLETIAN Si cette viſion, dont l’éclat vous ſurprit, Ne vous laiſſe à preſent aucun trouble d’eſprit, Si vos ſens ont repris leur premiere aſſeurance, Faites-nous le détail de chaque circonſtance.	DIOCLETIAN Si cette vision, dont l'éclat vous surprit, Ne vous laisse à présent aucun trouble d'esprit, Si vos sens ont repris leur première assurance, Faites-nous le détail de chaque circonstance.
MAXIMIAN En pareille rencontre, vn autre comme moy, Auroit eſtéſaiſi de merueille & d’éfroy;	MAXIMIAN En pareille rencontre, un autre comme moi, Aurait estésaisi de merveille et d'éfroi;
Seigneur, ſans repugner ie vous en rendrois conte, Si ma ſeule frayeur deuoit cauſer ma honte;	Seigneur, sans répugner vôtre vous en rendrais compte, Si ma seule frayeur devait causer ma honte;
Elle fut raiſonnable & ie n’en rougis pas:	Elle fut raisonnable et ici n'en rougis pas:
Mais l’iniuſte deſſein qui conduiſoit mes pas, Ne ſe peut declarer & receuoir d'exeuſe, Qui ne laiſſe mon ame agitée & confuſe.	Mais l'injuste dessein qui conduisait mes pas, Ne se peut déclarer et recevoir d'exeuse, Qui ne laisse mon âme agitée et confuse.
Siie vous dis, Seigneur, la choſe comme elle eſt, Ie prefere voſtre ordre à mon propre intereſt:	Siie vous dis, Seigneur, la chose comme elle est, Je préfère votre ordre à mon propre intérêt:
Ie découure vn ſecret, qui m’attire le blame Des eſprits, ennemis d’vne action infame:	Je découvre un secret, qui m'attire le blâme Des esprits, ennemis d'une action infâme:
Infidele à moy-meſme & fidele au deuoir, Ie m’accuſe d’vn crime horrible à conceuoir.	Infidèle à moi-même et fidèle au devoir, Je m'accuse d'un crime horrible à concevoir.
Que l’amour eſt fatal aux ames généreuſes!	Que l'amour est fatal aux âmes généreuses!
Et que l’honneur eſt foible aux ames amoureuſes!	Et que l'honneur est faible aux âmes amoureuses!
Le plus grand Cœur eſt lâche & manque de vertu Incontinent qu’il eſt par l’amour abatu,	Le plus grand Cœur est lâche et manque de vertu Incontinent qu'il est par l'amour abattu,
Et celuy dont l’honneur par l’amour ne s’égare Eſt, à mon ſentiment, la choſe la plus rare.	Et celui dont l'honneur par l'amour ne s'égare Est, à mon sentiment, la chose la plus rare.
Des mépris de Suſanne, outré de déplaiſirs, Sa froideur échaufant dautant plus mes deſirs, Ie conſulte, ſçauoir, ſi par la violence Ie dois m’en acquerir l’aimable ioüiſſance.	Des mépris de Susanne, outré de déplaisirs, Sa froideur échauffant dautant plus mes désirs, Je consulte, Savoir, si par la violence Je dois m'en acquérir l'aimable jouissance.
Lors mon honneur s’oppoſe & mes eſprits flotans En ce doute incertain balancent quelque temps:	Lors mon honneur s'oppose et mes esprits flottants En ce doute incertain balancent quelque temps:
Mais aux tranſports d’amour, mon ame s’abandonne, Aueuglement ie ſuy le conſeil qu’il me donne, Ie n’ay d’autre clarté que ſon flambeau fatal;	Mais aux transports d'amour, mon âme s'abandonne, Aveuglement ie zvi le conseil qu'il me donne, Je n'ai d'autre clarté que son flambeau fatal;
Ma raiſon ſe transforme en mouuement brutal, Ie cours pour l’aſſouuir par vn acte tragique;	Ma raison se transforme en mouvement brutal, Je cours pour l'assouvir par un acte tragique;
I’entre, ſans rencontrer Pere ny domeſtique, Et ie me rends au lieu, malgré l'obſcurité, Que ie faiſois le but de ma félicité.	J'entre, sans rencontrer Père ici domestique, Et tu me rends au lieu, malgré l'obscurité, Que te faisois le but de ma félicité.
4 11 Seigneur, qu’en peu de temps l’état des hommes change!	4 11 Seigneur, qu'en peu de temps l'état des hommes change!
Et que ie fus changé par ce prodige étrange!	Et que ici fus changé par ce prodige étrange!
I’allois pour la forcer, & ſon premier aſpect, M’inſpire puiſſamment la crainte & le reſpect.	J'allais pour la forcer, et son premier aspect, M'inspire puissamment la crainte et le respect.
Plus ie veux l’obſeruer, plus mon eſprit s’étonne, De la grande ſplendeur dont l’éclat l’enuironne, Et ie doute, en voyant ſa face qui reluit, Si ce nouueau Soleil vient éclairer la nuict.	Plus ie veux l'observer, plus mon esprit s'étonne, De la grande splendeur dont l'éclat l'environne, Et ie doute, en voyant sa face qui reluit, Si ce nouveau Soleil vient éclairer la nuit.
Aucune majeſté ne fut iamais ſi graue.	Aucune majesté ne fut jamais si grave.
Ie ne puis ſoûtenir ſon regard qui me braue, Et meſle à ſes rayons de la ſéuérité, Aſin de me paint de ne temernte.	Je ne puis soutenir son regard qui me brave, Et mêle à ses rayons de la séuérité, Regard qui me paint de ne témernte.
Ainſi ie ſuis contraint à fuir ce que i’admire, 2 La fureur m’y pouſſa, la frayeur m’en retire;	Ainsi ie mai contraint à fuir ce que j'admire, 2 La fureur m'y poussa, la frayeur m'en retire;
Ie fay pour me haſter des efforts impuiſſans:	Je fais pour me hâter des efforts impuissants:
Il me reſte ſi peu de l’vſage des ſens;	Il me reste si peu de l'usage des sens;
Que ie n’en auois pas aſſez pour ma conduite, Lois que l'ay rericontre quelques gens de ma ſuite.	Que était n'en avais pas assez pour ma conduite, Lois que l'ai rericontre quelques gens de ma suite.
DIOCLETIAN Ce prodige eſt cauſé par vn magique ſort;	DIOCLETIAN Ce prodige est causé par un magique sort;
Mais Macédone vient nous anoncer ſa mort.	Mais Macédone vient nous anoncer sa mort.
TROISTESME ENTRETIEN.	TROISTESME ENTRETIEN.
MACEDONE Seigneur, ſuiuant voſtre ordre, exerçant mon office, Le plus modérément que permet la Iuſtice;	MACEDONE Seigneur, suivant votre ordre, exerçant mon office, Le plus modérément que permet la Justice;
Apres auoir tenté ce que i’ay crû de mieux, Pour engager Suſanne au ſeruice des Dieux, Exactement cité dans vn diſcours tres-ample, Pluſieurs Chreſtiens punis, pour luy ſeruir d’exemple;	Après avoir tenté ce que j'ai cru de mieux, Pour engager Susanne au service des Dieux, Exactement cité dans un discours très -ample, Plusieurs Chrétiens punis, pour lui servir d'exemple;
Ie la preſſe & luy dis que ſans plus différer, Le puiſſant Iupiter il faloit adorer.	Je la presse et lui dis que sans plus différer, Le puissant Jupiter il fallait adorer.
Lors, les yeux & les mains au Ciel on luy void tendre, Elle dit quelques mots que l’on ne peut entendre, Et l’on vid à l’inſtant par leur forte vertu, Son ſacré Simulacre en la place abatu.	Lors, les yeux et les mains au Ciel on lui voit tendre, Elle dit quelques mots que l'on ne peut entendre, Et l'on vit à l'instant par leur forte vertu, Son sacré Simulacre en la place abattu.
Comme cét incident la rend plus criminelle, Ie ne puis differer la Sentence mortelle, Les Loix, de mon office exigent ce deuoir;	Comme cet incident la rend plus criminelle, Je ne puis différer la Sentence mortelle, Les Lois, de mon office exigent ce devoir;
Cét inflexible Cœur l’entend ſans s’émouuoir.	Cet inflexible Cœur l'entend sans s'émouvoir.
Le funeſte appareil qu’on fait pour les ſupplices, Paroit à ſon eſprit comme vn lieu de delices, D’vn œil brillant de ioye elle void le Bourreau, Son aſſeurance ſemble animer ſon couteau:	Le funeste appareil qu'on fait pour les supplices, Parait à son esprit comme un lieu dé lices, D'un œil brillant de joie elle voit le Bourreau, Son assurance semble animer son couteau:
Elleparle tout bas dans le temps qu’il s’appreſte;	Elleparle tout bas dans le temps qu'il s'apprête;
Puis, ſans qu’on le commande, elle baiſſe la Teſte, Et traite le ſuplice auec tant de mépris, Qu’en receuant le coup elle fait vn ſouris.	Puis, sans qu'on le commande, elle baisse la Tête, Et traite le suplice avec tant de mépris, Qu'en recevant le coup elle fait un souris.
Son viſage en ſa chûte acquiert de nouueaux charmes, Les Spectateurs ont peine à retenir leurs larmes:	Son visage en sa chute acquiert de nouveaux charmes, Les Spectateurs ont peine à retenir leurs larmes:
Auſſi fait-elle voir l’égalité du ſort;	Aussi fait-elle voir l'égalité du sort;
D’vne admirable vie, vne admirable mort.	D'une admirable vie, une admirable mort.
DIOCLETIAN Telles punitions dans le ſein de l’Hiſtoire, Seruent de monumens à conſeruer ma gloire, Et laiſſent pour Maxime à la poſterité, Qu’on ne peur eſtre Impie auec impunité.	DIOCLETIAN Telles punitions dans le sein de l'Histoire, Servent de monuments à conserver ma gloire, Et laissent pour Maxime à la postérité, Qu'on ne peur être Impie avec impunité.
