LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Il n’est rien icy-bas qui plus aille nuiſant, Que l’impudent caquet d’vn homme mediſant.	Il n'est rien ici-bas qui plus aille nuisant, Que l'impudent caquet d'un homme médisant.
Celidon.	Celidon.
Adieu ma belle Nymphe, adieu ma belle aurore, Adieu deſſous l’eſpoir de vous reuoir encore, Penſez à Celidon que l’archer de Cypris, A de voſtre beauté eſperdument eſpris, Faites qu’à ſon retour vers vostre belle face, Il ſe trouue en vn lieu de voſtre bonne grace.	Adieu ma belle Nymphe, adieu ma belle aurore, Adieu dessous l'espoir de vous revoir encore, Pensez à Celidon que l'archer de Cypris, A de votre beauté éperdument épris, Faites qu'à son retour vers votre belle face, Il se trouve en un lieu de votre bonne grâce.
Y damie.	Y damie.
Adieu gentil Paſteur reſpirez en eſpoir.	Adieu gentil Pasteur respirez en espoir.
Le temps deſſus l’amour tient vn puiſſant pouuoir, Et bien ſouuent il peut (quand l’on s’y monſtre ſage Ouurir ææ amoureux pour s’aymer vn paſſage.	Le temps dessus l'amour tient un puissant pouvoir, Et bien souvent il peut (quand l'on s'y montre sage Ouvrir æ amoureux pour s'aimer un passage.
Ne tire plus Amour, ie mets les armes bas:	Ne tire plus Amour, votre mets les armes bas:
Les grands perfections, & les mignards apas De ce gaillard Pasteur, ont rauy ma franchiſe:	Les grands perfections, et les mignards appas De ce gaillard Pasteur, ont ravi ma franchise:
Mon ame de ce coup par aſſaut est ſurpriſe, Elle te recognoist ores pour ſon vainqueur, Et bien aiſe ſe tient que tu bruſles ſon cœur:	Mon âme de ce coup par assaut est surprise, Elle te reconnaît ores pour son vainqueur, Et bien aise se tient que tu brûles son cœur:
D’autant que le ſubiet grandement le merite, Qui pourroit eſchauffer la plus belle Carite:	D'autant que le sujet grandement le mérite, Qui pourrait échauffer la plus belle Carite:
Mais ià la nuit s’approche & Phœbus dans la mer, 8 ſemond mon troupeau aux leges r'enſermer.	Mais ià la nuit s'approche et Phœbus dans la mer, 8 semond mon troupeau aux léges rensermer.
Cydon.	Cydon.
Terpin.	Terpin.
Le rombre deuedon,	Le rombre deuedon,
Cydon.	Cydon.
N vain ie pers le temps aymant cette Melice, E Qui ne veut, deſdaigneuſe, accepter mon ſeruice Pour quelque affection que ie luy face voir.	 vain ie pers le temps aimant cette Mélice, E Qui ne veut, dédaigneuse, accepter mon service Pour quelque affection que sans sens face voir.
Mais plus ie vois l’aymant, & moins elle fait conte De moy & de l’amour qui ſi fort me ſurmonte:	Mais plus grande vois l'aimant, et moins elle fait compte De moi et de l'amour qui si fort me surmonte:
Elle fait ſon esbat de me voir tant patir Dans la priſon d’amour ſans pouuoir en ſortir:	Elle fait son ébat de me voir tant pâtir Dans la prison d'amour sans pouvoir en sortir:
Priſon que le destin, helas!	Prison que le destin, hélas!
me rend fatalle, Et qui va reſemblant l’ouurage que Dedale Fabrica pour loger le laid Mino-taurus, Fils du lubrique amour de la fille à Phœbus, Où l’on pouuoit entrer d’vn pas aſſez facile, Mais d’en ſortir aprez eſtoit peine inutile.	me rend fatale, Et qui va résemblant l'ouvrage que Dédale Fabrica pour loger le laid Mino-taurus, Fils du lubrique amour de la fille à Phœbus, Où l'on pouvait entrer d'un pas assez facile, Mais d'en sortir aprez était peine inutile.
Toutesfois le grand fils du Prince Athenien, Eut dit-on le pouuoir de rompre le lien De ces ſubtils destours aydé par la ficelle Que (l’aymant) luy donna la Minoce pucelle:	Toutefois le grand fils du Prince Athenien, Eut dit-on le pouvoir de rompre le lien De ces subtils détours aidé par la ficelle Que (l'aimant) avait donna la Minoce pucelle:
Mais pour vouloir ſortir des ceps de la priſon D’amour, il failliroit le fil de la raiſon, Dont nous laiſſons le bout ſans lier à la porte, Qui, laſche ſe deffait, quand il faut que l’on ſorte.	Mais pour vouloir sortir des ceps de la prison D'amour, il faillirait le fil de la raison, Dont nous laissons le bout sans lier à la porte, Qui, lâche se défait, quand il faut que l'on sorte.
Ah!	Ah!
que l’homme pourroit bien-heureux ſe vanter, Si cet te paßion ne le pouuoit dompter, Et ſi contre ces coups il ſe pouuoit deffendre Sans, ainſi comme il fait, ſi laſchement ſe rendre.	que l'homme pourrait bienheureux se vanter, Si cet te passion ne le pouvait dompter, Et si contre ces coups il se pouvait défendre Sans, ainsi comme il fait, si lâchement se rendre.
Mais qui ſeroit celuy qui pourroit l’euiter, Puis que meſmes ne peut s’en parer Iupiter?	Mais qui serait celui qui pourrait l'éviter, Puis que mêmes ne peut s'en parer Jupiter?
Ny celuy qui regit de ſon ſceptre l’Auerne:	Ni celui qui régit de son sceptre l'Auerne:
Ny celuy qui les flots de ſon Tridan gouuerne?	Ni celui qui les flots de son Tridan gouverne?
Mais de l’amour des Dieux le nostre est different:	Mais de l'amour des Dieux le nôtre est différent:
Car leur obiet aymé bien-toſt vers eux ſe rend:	Car leur objet aimé bientôt vers eux se rend:
Pour à leur volonté (bien-humble) ſe ſouſmettre, Et ſelon qu’il leur plaiſt leur deſir leur permettre.	Pour à leur volonté (bienhumble) se soumettre, Et selon qu'il leur plaît leur désir leur permettre.
D’autant que tout celà qu’on apperçoit mouuoir Par ce rond Vniuers, recognoit leur pouuoir.	D'autant que tout celà qu'on aperçoit mouvoir Par ce rond Univers, reconnaît leur pouvoir.
Et nous pauures humains qui craignons leur puiſſance, Comme eux, de nos amours n’auons la iouiſſance:	Et nous pauvres humains qui craignons leur puissance, Comme eux, de nos amours n'avons la jouissance:
Touſiours quelque accident, pront, ſi vient oppoſer Alors que nous penſons, contens, en diſpoſer:	Toujours quelque accident, pront, si vient opposer Alors que nous pensons, contents, en disposer:
Et l’heur de nostre bien, bien ſouuent ſe retarde, Enuié d’vn riual, dont on ne ſe prend garde:	Et l'heur de notre bien, bien souvent se retarde, Envié d'une rival, dont on ne se prend garde:
Ainſi que fait celuy de ma Melice amour Par le Berger Terpin:	Ainsi que fait celui de ma Mélice amour Par le Berger Terpin:
mais ie iure du iour Le flambeau reluiſant que ſi ie le puis prendre, Il ſentira le mal d’oſer tant entreprendre:	mais ainsi jure du jour Le flambeau reluisant que si tu le puis prendre, Il sentira le mal d'oser tant entreprendre:
M’eſtant inferieur, tant en bien de vertu, Qu’en celuy là qui peut du ſort estre abatu:	M'étant inférieur, tant en bien de vertu, Qu'en celui là qui peut du sort être abattu:
Apres ſon cœur ſera bien fourny de courage, S’il retourne à ma belle encore faire homage.	Après son cœur sera bien fourni de courage, S'il retourne à ma belle encore faire hommage.
Que ſe fuſt le plaiſir de quelqu’vn des grands Dieux, Qu’il peut or arriuer que ie ſuis en ces lieux, Que te ſerois content.	Que se fût le plaisir de quelqu'un des grands Dieux, Qu'il peut or arriver que sans suis en ces lieux, Que te serais content.
O priere exaucee Des Dieux, tout aifst toſt quet anon tommencee, Ie l’auiſe venir par ce chemin batu:	Ô prière exauce Des Dieux, tout aifst tôt quet ânon tommence, Je l'avise venir par ce chemin battu:
Il me faut retirer pres de ce roc pointu Pour voir ce qu’il fera, außs pour qu’il approche, Afin que deſſus luy ma fureur ie deſcoche.	Il me faut retirer pres de ce roc pointu Pour voir ce qu'il fera, aussi pour qu'il approche, Afin que dessus ion ma fureur Seigneur décoche.
Terpin.	Terpin.
Ren ne peut demeurer ferme & constant touſie En ſon premier eſtat:	Ren ne peut demeurer ferme et constant tousie En son premier état:
de Saturne le cours En gliſſant rondement d’vne viteſſe estrange, Les biens & volontez, de nous mortels, il change;	de Saturne le cours En glissant rondement d'une vitesse étrange, Les biens et volontés, de nous mortels, il change;
Ie le ſçay depuis peu pour l’auoir eſprouué, Et tel que l’on le dit veritable trouué.	Je le sais depuis peu pour l'avoir éprouvé, Et tel que l'on le dit véritable trouvé.
Contre Amour longuement i’auois fait reſiStanes, Mais voicy que le temps a vaincu ma constance, Me ſaiſant or aymer vne douce beauté, Qui long-temps a ſenty ma fiere cruauté:	Contre Amour longuement j'avais fait résiStanes, Mais voici que le temps a vaincu ma constance, Me saisant or aimer une douce beauté, Qui longtemps a senti ma fière cruauté:
Melice, qui me fut vn iour tant fauorable, Qu'elle me retira de la mort effroyable, Iors que le ſot Mirtin m’en auoit affligé, Et ce de l’honorer m’a bien fort obligé.	Mélice, qui me fut un jour tant favorable, Qu'elle me retira de la mort effroyable, Jors que le sot Mirtin m'en avait affligé, Et ce de l'honorer m'a bien fort obligé.
Cydon.	Cydon.
Ie ne puis-plus tenir en mon cœur ma colers, Oyant que tels propos à mon dan il profere:	Je ne puis-plus tenir en mon cœur ma colers, Oyant que tels propos à mon dan il profère:
Haie vois l’aſommer, il n’y a nul teſmoin.	Haie vois l'asommer, il n'y a nul témoin.
Mais non, tardons vn peu, il eſt encor trop loin, Il pourroit s’enfuir, & cet heure attenduë, De long-temps ne ſeroit entre mes mains renduä	Mais non, tardons un peu, il est encor trop loin, Il pourrait s'enfuir, et cet heure attendue, De longtemps ne serait entre mes mains renduä
Terpin.	Terpin.
Or afin d’acquiter vers elle mon deuoir, Ie m’enuois de ce pas en ſa maiſon la voir.	Or afin d'acquiter vers elle mon devoir, Je m'envois de ce pas en sa maison la voir.
Cydon.	Cydon.
Tu mentiras coquin, voicy ta derniere heure Et le iour ordonné que par mon bras tu meure:	Tu mentiras coquin, voici ta dernière heure Et le jour ordonné que par mon bras tu meure:
C’eſt par trop entrepris, & trop d’ambition, De vouloir de ma Nymphe auoir l’affection, Qui n’appartient qu’à moy, & qui ſeul la merite.	C'est par trop entrepris, et trop d'ambition, De vouloir de ma Nymphe avoir l'affection, Qui n'appartient qu'à moi, et qui seul la mérite.
Terpin.	Terpin.
Ha, Ha qui parle à moy de façon ſi deſpite, Et qui pour menacer croit me donner effroy, Ie ſuis bon compagnon, c’eſt Cydon que ie croy, Ie le recognois-bien, à toy petitfolastre,	Ha, Ha qui parle à moi de façon si dépite, Et qui pour menacer croit me donner effroi, Je suis bon compagnon, c'est Cydon que un crois, Je le reconnais-bien, à toi petitfolâtre,
iij Tu m’as quaje fars pom do jumt umſt devutre.	ijà Tu m'as quaje fars pom do jumt umt devtre.
Cydon.	Cydon.
Folaſtre ny demy, ſus, ſus, il faut mourir Sans venir m’abuſer de voſtre diſcourir:	Folâtre Seigneur demi, sus, sus, il faut mourir Sans venir m'abuser de votre discourir:
Ie vous tiens au collet, vous auez beau ſecourre, Si pouuez empeſcher que mon dard ie ne fourre Cent ſois en vostre corps qu’on ſe mette à genoux, Et requerez Pluton qu’il vous ſoit iuge doux, pnmren ferec ia vas deant ſon conſistoire, Pour iuger ves meffaits dont il ſçait-bien l’hiſtoire.	Je vous tiens au collet, vous avez beau secourre, Si pouvez empêcher que mon dard ie ne fourre Cent sois en votre corps qu'on se mette à genoux, Et requérez Pluton qu'il vous soit juge doux, pnmren fèrec ja vas de son consistoire, Pour juger vez méfaits dont il sait-bien l'histoire.
Terpin.	Terpin.
Quoy?	Quoi?
que dites-vous-là, vous mocquez-vous Cidou Helas!	que dites-vous-là, vous moquez-vous Cidou Hélas!
toubeau Berger, ie vous requiers pardon:	toubeau Berger, votre vous requiers pardon:
Ne me faites mourir, que la pitié vous touche, Que te baiſe vos pieds de ma priante bouche, Et ne faites rougir vestre garrot pointu, Oans le ſang d’vn chetifà vos pieds abatn Et d’armes denué:	Ne me faites mourir, que la pitié vous touche, Que te baise vos pieds de ma priante bouche, Et ne faites rougir vêtre garrot pointu, Ans le sang d'être chétifà vos pieds abat Et armes denué:
ce ſeroit plutoſt rage D’vn Tygre Ircanien, qu’acte d’humain courage De m’aſſommer ainſi, & vaincre en cruauté Meſmes le fier lion, qui tout plein de bonté, N’exerce ſa fureur deſſus la creature Qui ſe iette à genoux honorant ſa figure.	ce serait plutôt rage D'un Tigre Ircanien, qu'acte d'humain courage De m'assommer ainsi, et vaincre en cruauté Mêmes le fier lion, qui tout plein de bonté, N'exerce sa fureur dessus la créature Qui se jette à genoux honorant sa figure.
muntmeor unes-moy, quel mal veus ay-ie fait, Pour estre de vos mains ſi meſchanment deffait?	muntmeor unes-moi, quel mal vus ai-je fait, Pour ra de vos mains si méchanment défait?
Si ie le puis ſçauoir, ie vous veux ſatisfaire, Car ce n’eſt moy, Cydon, qui vueille vous deſplaire.	Si personne le puis savoir, je vous veux satisfaire, Car ce n'est moi, Cydon, qui veuille vous déplaire.
Cydon.	Cydon.
O le bon harangueur!	Ô le bon harangueur!
le bon rethoriqueur:	le bon rethoriqueur:
Vrayment il a quaſi ſait amolir mon cœur A ſa mort reſolu, pour payment de l’iniure D’auoir en mon amour fait ma maiſtreſſe dure.	Vraiment il a quasi sait amolir mon cœur A sa mort résolu, pour paiment de l'injure D'avoir en mon amour fait ma maîtresse dure.
Mais c’est trop diſputé, commande-toy à Dieu:	Mais c'est trop disputé, commande-toi à Dieu:
l'obaſte departi,ie yayen autrelien	l'obaste départi,ie yaien autrelien
Terpin.	Terpin.
Patagone cruel, hé poir le moins encore Eſtonte mauepeute, a teta te timpiore.	Patagone cruel, hé poir le moins encore Étonte mauvepeute, a téta te timpiore.
Cydon.	Cydon.
Hé quelle, dy le moy, ie t’en donne pouuoir.	Hé quelle, dis le moi, une t'en donne pouvoir.
Terpin.	Terpin.
Deſſus mon triſte chef ton dard ne fais donc voir, Qui me fait endurer de Democte la peine, Puis ie te la diray veritable & certaine,	Dessus mon triste chef ton dard ne fais donc voir, Qui me fait endurer de Democte la peine, Puis ie te la dirai véritable et certaine,
Cydon.	Cydon.
Hé bien le voilà bas, or conte promtement.	Hé bien le voilà bas, or compte promtement.
Terpin.	Terpin.
Ie m’en vois vous conter le tout entierement.	Je m'en vois vous conter le tout entièrement.
Sçachez donc que l’amour que ie porte à Melice, N’est-pas pour attenter ſur vous vn malefice, Ny pour la deſtourner de vous voir & cherir:	Sachez donc que l'amour que je porte à Mélice, N'est-pas pour attenter sur vous un maléfice, Ni pour la détourner de vous voir et chérir:
Ie iure tous les Dieux, i’aymerois-mieux perir) Mais pour me reuancher d’vn plaiſir receu d’elle, Vn iour que m’offença d’vne playe cruelle, Mirtin, Berger-chaſſeur, d’vn enchanté eſpieu, Et elle de haz ard me trouua ſur le lieu Prefque rendant l’eſprit, où d’vn cœur pitoyable, A mon triste mal-heur, elle fut ſecourable.	Je jure tous les Dieux, j'aimerais-mieux périr) Mais pour me revancher d' plaisir reçu d'elle, Un jour que m'offensa d'une plaie cruelle, Mirtin, Berger-chasseur, d'un enchanté épieu, Et elle de has ard me trouva sur le lieu Prefque rendant l'esprit, où d'un cœur pitoyable, A mon triste malheur, elle fut secourable.
Auecques vn Berger, qui là ſu ruint außi, Qui comme elle, de moy, prit meſmement ſoucy.	Avec ici Berger, qui là su ruint aussi, Qui comme elle, de moi, prit mesmement souci.
Et pour ne demeurer taché d’ingratitude, De la gratifier ie mettois mon eſtude.	Et pour ne demeurer taché d'ingratitude, De la gratifier personne mettais mon étude.
Mais puis que ie cognois que vous en auez dueil, Ie vous promets ma foy de ne voir plus ſon œil:	Mais puis que ici connais que vous en avez deuil, Je vous promets ma foi de ne voir plus son œil:
Car l’on ne doit iamais vne choſe pourſuyure, Qui ſoit occaſion d’acourcir nostre viure, Si ſon eſtre ne vient de la belle vertu Qui ne laiſſe du temps vn bel acte abatu.	Car l'on ne doit jamais une chose poursuivre, Qui soit occasion d'acourcir notre vivre, Si son être ne vient de la belle vertu Qui ne laisse du temps un bel acte abattu.
